project_description_type,coordinates,mass_mailing_3_received_date,borough_approval_date,design_completion_date_op,design_consultant_op,contractor_for_construction_permit_firm_name,construction_manager_op,current_phase,mass_mailing_2_received_date,sponsoring_agency_entity,permit_issuance_date,final_inspection_date,substantial_completion_date_op,final_acceptance_of_park_by_borough,latest_permit_expiration_date
"D’Onofrio will perform marine construction services for EDC’s East Midtown Waterfront Esplanade Pile Repairs project along the East River and FDR Drive, between E. 38th and E. 41st St. The project repairs are intended to protect the precast concrete substructure pilings that support the waterfront esplanade. The work consists of in-water repairs and will be staged from barges on the river. No closures, restrictions, or repair work on the park esplanade are anticipated. Egress pathways to/from barges will use temporary ballast barriers and locking fence gates along the existing railing to protect the public. Equipment/vehicles transiting the esplanade will utilize flaggers. Parks has management responsibility for the surface area of the pier.","40.745600, -73.969930",,2018-03-23T00:00:00.000,,,D'Onofrio General Contractors Corp,,Presumed Complete,,EDC,,,,,2018-09-30T00:00:00.000
"Vesey Street Reconstruction from Church Street to Broadway including water main, street lighting, traffic signal, and private utilities work","40.711762, -74.009407",,,,,,,Presumed Complete,,DDC,,,,,
Gas main construction due to upcoming DDC project GE3516 (water mains),,,,,,,,Presumed Complete,,National Grid,,,,,
Construction of a MTA NYCT Substation below Maspeth Avenue adjacent to Memorial Gore.,"40.714886,-73.942522",,2018-02-02T00:00:00.000,,,"L.K. Comstock & Company, Inc.",,Conditional-Accepted (Subst. Compl.),,MTA NYCT,,,,,
"Relocation of gas mains in advance of sewer installation SE812. Work in unbuilt street on forested park edge. National Grid shall install approximately 4,985ft of 12in wrapped steel high pressure Gas Main, part of which will be on the east (south) side of Amboy Rd between Page Ave & Richmond Valley Rd.",,,2017-05-30T00:00:00.000,,,National Grid,,Presumed Complete,,National Grid,2017-05-30T00:00:00.000,,,,
"Greenpoint Partners LLC applied for a construction permit for the development of a new 90,000 ft2 building adjacent to WNYC Transmitter Park. The scope of work includes demolition of all existing structures, installation of a new foundation, and erection of 120’ building. Developer is installing overhead protections and a construction fence along the lot line, and building a permanent wall between their development and the park.","40.729920, -73.960370",,2018-02-09T00:00:00.000,,,Wonder Works Construction Corp,,Final-Accepted (Closed Out),,Parks - Planning,,2018-10-12T00:00:00.000,,2018-10-12T00:00:00.000,2018-10-19T00:00:00.000
Bridge Preservation at the RFK Bridge and As-Needed and General Facility Painting Authority Wide,"40.783535, -73.929354",,,,,"Ahern Painting Contractors, Inc.",,Construction,,MTA B&T,,,,,
Access and Work to Facilitate Reconstruction of the East Springfield Playground MPPA,"40.698223, -73.740288",,,,,Marla Construction,,Final-Accepted (Closed Out),,SCA,,,,,2018-11-30T00:00:00.000
Water and Combined Sewer Mains Reconstruction,"40.682761, -73.971806",,,,,,,Presumed Complete,,DDC,,,,,
Access to facilitate the delivery of a temporary boiler to the PS 18Q school grounds,"40.731275, -73.732243",,,,,Central Mechanical Systems Inc.,,Construction,,SCA,,,,,
"non-emergency reconstruction of sewers, run by DEP and procured by DDC",,,,,,ADC CONSTRUCTION LLC,,Construction,,DEP,,,,,
clear drainage outfalls 1 through 9 along Henry Hudson Bridge North and South parkway by Inwood Hill Park,,,,,,"Unicorn Construction Enterprises, Inc.",,Construction,,MTA B&T,2016-11-15T00:00:00.000,,,,2019-06-21T00:00:00.000
Construction of Storm and Sanitary Sewers and Replacement of Water Mains,,,,,,,,Presumed Complete,,DDC,,,,,
Construction of a new Plaza,"40.829266, -73.874332",,,,,,,Construction,,DDC,,,,,
Temporary ramp for George Washington Bridge contract 244.024.,"40.846958, -73.943656",,2018-04-26T00:00:00.000,,,El Sol Contracting & Construction,,Construction,,PANYNJ,,,,,
"Construction of high level storm sewers, construction of combined sewers, replacement of water mains.","40.651904, -73.895874",,,,,,,Presumed Complete,,DDC,,,,,
"Replacement of Poles 3508, 3510, 3601 along Veterans Road West.","40.532108,-74.225085",,,,,"Consolidated Edison Company of New York, Inc.",,Presumed Complete,,ConEd,,,,,
B250.E.20201203: Perform subsurface investigations in a portion of an existing synthetic turf field ;,"40.637706, -73.946810",,,,,"Aquifer Drilling & Testing, Inc.",,Construction,,DDC,,,,,
E 87th Street ADA Path,"40.775527, -73.944099",,2019-09-13T00:00:00.000,,,City & County Paving,,Final-Accepted (Closed Out),,EDC,,,,,2019-11-29T00:00:00.000
City Hall Park,,,2016-08-02T00:00:00.000,,,Forte Construction Corp.,,Final-Accepted (Closed Out),,MTA NYCT,2016-08-03T00:00:00.000,2017-07-27T00:00:00.000,2017-07-27T00:00:00.000,2017-07-27T00:00:00.000,2017-07-31T00:00:00.000
Replacement of utility poles in the curbside planting strip adjacent to Marconi Park,"40.692815,-73.795274",,,,,,,Permitting,,ConEd,,,,,
"Emerging Contaminant Groundwater Sampling for NYSDEC wells located on N 10th, N 11th, N 12th Streets between Kent Ave and East River.","40.723686, -73.960419",,,,,National Grid,,Final-Accepted (Closed Out),,Parks - Planning,,,,,2019-03-31T00:00:00.000
"Combined sewer main installation and water main replacement in Dean Street between 6th Avenue and Vanderbilt Avenue, etc.","40.681283, -73.973169",,,,,,,Presumed Complete,,DDC,,,,,
AKRF on behalf of Lower Manhattan Development Corporation is performing 9 test trenches in areas that will be disturbed by the Battery Playscape to determine the presence or absence of archaeological resources.,"40.701905, -74.014545",,2018-06-05T00:00:00.000,,,"AKRF, Inc.",,Final-Accepted (Closed Out),,Parks - Partner Group,,,,,2018-06-29T00:00:00.000
NYU CoGen Expansion Project - Test Pit,"40.727108, -73.997234",,2018-11-15T00:00:00.000,,,Turner Construction,,Final-Accepted (Closed Out),,Parks - Partner Group,,2020-11-13T00:00:00.000,2020-11-16T00:00:00.000,2020-11-13T00:00:00.000,2020-04-30T00:00:00.000
"This project will install pedestrian ramps at corners. All ramps will be designed and constructed to the maximum extent feasible and, therefore, must comply with applicable PROWAG and Federal ADA 2010 requirements. (2019 CPI)",,,,,,,,Presumed Complete,,DDC,,,,,
Project to fill-in bridges passing over an abandoned sub-grade freight train line in the Melrose neighborhood of the Bronx. Potential work area and staging area on parks property. Potential tree impacts.,"40.823690, -73.911201",,2019-04-12T00:00:00.000,,,Perfetto Contracting Co. Inc.,EIC,Conditional-Accepted (Subst. Compl.),,CDOT,,,,,
MTA NYCT In House Repairs to a masonry wall/vent grate at at 5th Ave-59 St.,"40.765150,-73.974721",,2018-11-05T00:00:00.000,,,MTA NYCT,,Presumed Complete,,MTA NYCT,,,,,2019-05-31T00:00:00.000
This project will realign Madison Square Park’s entrance at 24th Street and 5th Avenue to accentuate the prominence of the park’s Eternal Light Flagstaff. The redesign will close the park entrance south of the monument and replace it with a new entrance plaza with the monument at its center. The decommissioned entrance will be in-filled with shrubs and ground cover and morph into the neighboring plant beds. Project received PDC final approval on 2/12/18.,"40.742360, -73.988810",,2018-03-26T00:00:00.000,,,Kelco Construction,,Final-Accepted (Closed Out),,Parks - Partner Group,,2018-10-05T00:00:00.000,,,2018-09-30T00:00:00.000
Replace damaged ventilation duct for existing restaurant,,,,,,J & S Construction Inc,,Presumed Complete,,Private Developer,2017-01-23T00:00:00.000,,,,
"Production of Security Planters and their Placement on Sidewalks along Gansevoort Street, 9th Avenue, and West 14th Street","40.739523, -74.006205",,,,,,,Presumed Complete,,DDC,,,,,
W 20th Street Extension in Coney Island,"40.574054, -73.986412",,,,,Triumph Construction Corp,,Permitting,,EDC,,,,,
Replace Turf Soccer Field #7,"40.746544, -73.841626",,2019-06-13T00:00:00.000,,,Ace Sufaces,,Final-Accepted (Closed Out),,Parks - Partner Group,,,,,2019-07-31T00:00:00.000
"Sign panel replacement on the Grand Central, Bronx River, and Richmond Parkways. Generally focused on moving to ground-mounted structures when possible.",,,,,,Con Star,EIC,Construction,,SDOT,2017-09-07T00:00:00.000,,,,
Installation of a compressor in support of Main Bridge Cable Inspection and Rehabilitation at the Robert F. Kennedy Bridge,"40.776600, -73.924163",,2020-08-26T00:00:00.000,,,Skanska Koch,,Construction,,MTA B&T,,,,,
Installation of a high to low pressure governor in road and sidewalk directly west of the park,,,3016-04-25T00:00:00.000,,,,,Conditional-Accepted (Subst. Compl.),,National Grid,2016-05-01T00:00:00.000,,,,
Security camera installation at the RFK Bridge,"40.778267, -73.925626",,,,,Hellman Electric LLC,,Presumed Complete,,MTA B&T,,,,,
Periodic dredging of the forebay and channel draining stormwater from the Grand Central Parkway into Willow Lake,"40.717452, -73.830077",,,,,New York State Department of Transportation,,Presumed Complete,,SDOT,,,,,
"Annual Inspection for a Foam Fire Suppression System at the
American Museum of Natural History","40.781597, -73.975184",,2020-10-20T00:00:00.000,,,United Fire Protection Corporation,,Permitting,,DCulA,,,,,
HWKP2029,"40.682543,-73.961800",,2018-05-04T00:00:00.000,,,NY Asphalt,,Conditional-Accepted (Subst. Compl.),,DDC,,,,,
"New Trunk Water Main in Broadway between West 93rd Street and West 97th Street, and in West 97th Street from Broadway to Columbus Avenue","40.795348, -73.971313",,,,,,,Presumed Complete,,DDC,,,,,
"76  11th Avenue, Installing a temporary heavy duty sidewalk bridge 250 ft. (Block 689 / Lot 17)",,,2018-02-28T00:00:00.000,,,Ed,,Construction,,Private Developer,,,,,
Fix Leaky Pipe in Fountain in Block 2 of Bella Abzug Park,"40.755784, -74.000416",,2020-09-10T00:00:00.000,,,IMP Plumbing & Heating Co,,Construction,,Parks - Partner Group,,,,,2020-11-30T00:00:00.000
"Installation of traffic signals, ped ramps, lighting, roadway repaving and striping, to make a safer corridor. No landscape work.",,,,,,Tully,EIC,Final-Accepted (Closed Out),,SDOT,,,,,
"Replacement of Combined Sewers, Water Mains and appurtenances",,,,,,,,Presumed Complete,,DDC,,,,,
"Sidewalk corner quadrant modification for installation of new pedestrian ramps along with pavement restoration along the curb, relocation of street light poles, traffic signals, drainage structures and other incidental work.",,,,,,,,Presumed Complete,,DDC,,,,,
Access to perform three (3) exploratory borings to facilitate the design of a proposed expansion of the PS 32Q school facility. Construction on pause due to COVID.,"40.765630, -73.794536",,,,,D&B Engineers & Architects PC,,Construction,,SCA,,,,,
"Full demolition and rebuild of the above-ground portions of the head house at the end of Jackson Avenue, on the East River Promenade. This is a property leased by ConEd from DPR.","40.711041, -73.980484",,2016-06-03T00:00:00.000,,,Con Edison,,Conditional-Accepted (Subst. Compl.),,ConEd,,2017-04-28T00:00:00.000,2017-04-28T00:00:00.000,,
also SE793. Roadway reconstruction with sewer work. Work is close to two greenstreet tree medians and one larger landscaped triangle. Work ended up being within one GS without permit,"40.594080, -74.078822",,2016-11-22T00:00:00.000,,,,RE,Construction,,DDC,,,,,
"The East Side Coastal Resiliency (ESCR) Project  is a coastal protection initiative, jointly funded by the City of New York and the federal government, aimed at reducing flood risk due to coastal storms and sea level rise on Manhattan's East Side from East 25th Street to Montgomery Street. The project design intends to integrate flood protection into the community fabric, improving access to the waterfront rather than walling off the neighborhood.","40.724210, -73.972850",,2018-01-26T00:00:00.000,,,AKRF,,Final-Accepted (Closed Out),,DDC,,,,,2018-11-30T00:00:00.000
Redevelopment of playground area directly adjacent to JHS 57 to redo the basketball courts.,"40.691370, -73.932217",,,,,LaShay Construction,,Presumed Complete,,SCA,,,,,2017-11-07T00:00:00.000
445 West 45th Street – Exterior wall stucco coating repairs – ground floor (access only),,,,,,RSG Construction Corp.,,Construction,,Private Developer,,,,,
Installation of new bridge in new Starlight Park.  Parks Capital project by DDC.,"40.829464, -73.883840",,2021-02-16T00:00:00.000,,,MLJ Contracting Corp,,Construction,,DDC,,,,,
Pest Control Treatment,,,2018-05-02T00:00:00.000,,,Target Exterminating Inc.,,Construction,,Other,,,,,
NatGrid's NAPL Recovery Well Rehabilitation and Reinstallation,"40.723313, -73.960546",,,,,National Grid,,Final-Accepted (Closed Out),,Parks - Planning,,2019-07-05T00:00:00.000,2019-07-05T00:00:00.000,2019-07-05T00:00:00.000,2019-07-03T00:00:00.000
Column replacement at the 157th St station,,,,,,,,Final-Accepted (Closed Out),,MTA NYCT,2013-02-08T00:00:00.000,2016-11-02T00:00:00.000,,2016-11-02T00:00:00.000,2016-02-01T00:00:00.000
Maintenance of various viaducts including parts of the FDR,"40.745027, -73.970565",,,,,,EIC,Presumed Complete,,SDOT,,,,,
(X-ref M104.20180606: JVD). Access and Work to,"40.799564, -73.926383",,,,,,,Construction,,NYPD,,,,,
Rehabilitation of the Anchorages at the Verrazano Narrows Bridge (including underdeck protection at JJ Carty Park),"40.612306, -74.031006",,2021-04-02T00:00:00.000,,,"EE Cruz & Company, Inc.",,Construction,,MTA B&T,,,,,
"Project includes infrastructure, pedestrian safety, and accessibility improvements for transit riders along 86th Street between 19th and 25th Avenues, along with pavement and intersection safety improvements on 20th Avenue from Benson Avenue to 86th Street. Work will include installation of bus bulbs, bus pads, upgrading curb ramps for ADA compliance, pedestrian signal improvements, consolidating signage, providing conduits for future lighting below the D-train, and water main replacement.  (2021 Intro Letter)",,,,,,,,Presumed Complete,,DDC,,,,,
Installation of Keim Coating and Chain-Link Fence for the Belt Parkway Ramps:,"40.613263, -74.030153",,2020-09-08T00:00:00.000,,,El Sol Contracting & Construction,,Construction,,MTA B&T,,,,,
Replacement and Extension of Storm Sewers in Maguire Avenue between Depew Place and Sagona Court and New Storm and Sanitary Sewers in Fonda Place,"40.527873, -74.210686",,,,,,,Presumed Complete,,DDC,,,,,
Access to perform one (1) exploratory boring in an area of asphalt pavement,"40.804389, -73.931905",,,,,"Consolidated Edison Company of New York, Inc.",,Construction,,ConEd,,,,,2019-07-15T00:00:00.000
Tatti Art Conservation is de-installing the Time Capsule Sculpture at AMNH on the night of July 19 and into the morning of July 20. They received relocation approval from PDC. They are working with professional art riggers to de-install the sculpture and the surrounding granite skirt.,"40.781499, -73.974615",,2018-07-16T00:00:00.000,,,Tatti Art Conservation,,Final-Accepted (Closed Out),,DCulA,,,,,2018-07-23T00:00:00.000
X-Ref with M104.20180607 (Vorcom). Access and Work to Facilitate the Installation of a New Fiber Optic Network to Support Existing NYPD Facilities in Randall's Island Park,"40.799535, -73.926384",,,,,JVD Industries Ltd.,,Presumed Complete,,NYPD,,,,,
Complex Pedestrian Ramps,,,,,,,,Presumed Complete,,DDC,,,,,
Pile Rehabilitation along the FDR Drive from East 18th Street to East 96th Street. Staging on East 60th Street & York Ave location with its field offices.,,,,,,D'Onofrio General Contractors Corp.,,Construction,,CDOT,,,,,
"5x5 hole and excavation to cap a gas main under the sidewalk. Pending layout review, this is adjacency only.","40.652347, -73.956166",,,,,,,Presumed Complete,,National Grid,,,,,
stoop in-kind repairs at the front of the mansion,,,,,,,,Permitting,,DCulA,,,,,
NatGrid Gauging and Recovery of NAPL,"40.723313, -73.960546",,,,,National Grid,,Construction,,Parks - Planning,,,,,2022-05-05T00:00:00.000
"Design-Build Project in TWO PHASES. Had major impacts on Sgt Dougherty Park but those impacts are to be mitigated and tracked in the separate project X731.43. Phase I, however, was supposed to plant street trees towards mitigation for tree removals in Sgt D Park.","40.724422, -73.936971",,,,,,,Final-Accepted (Closed Out),,SDOT,,,,,
Component repairs on masonry walls on the underside of bridge.,"40.878490, -73.869194",,2018-07-18T00:00:00.000,,,Beaver Concrete,,Construction,,CDOT,,,,,
Installation of Coastal Storm Mechanical Closure Devices (MCD's) at various locations in Manhattan,,,2017-06-06T00:00:00.000,,,MTA New York City Transit,,Presumed Complete,,MTA NYCT,2017-05-04T00:00:00.000,,,,
Installations and exterior work on school building that requires park closures for access and security.,,,,,,,,Construction,,SCA,,,,,
"Abandonment and construction of water mains and sewers. Work involves manhole removal within Pelham Parkway landscapes, technically part of the Hutch ROW.","40.855701, -73.830463",,2021-03-17T00:00:00.000,,,"Maspeth Supply Co., LLC",Resident Engineer,Construction,2018-12-19T00:00:00.000,DDC,,,,,
"This contract involves deck  replacement of the Bruckner viaduct, two new ramps from and to Leggett Ave from the Bruckner Expwy viaduct above, removal of the exit ramp to 138th St, numerous improvements to the Bruckner Blvd below including new signalized intersections, several intersection improvements, new shared use paths, lighting, etc. The viaduct will be widened to accommodate the new exit and entrance ramps at Leggett Ave. DESIGN-BUILD.","40.804685, -73.912750",,,,AECOM; Dewberry; MNLA,El Sol / Defoe JV,,Permitting,,SDOT,,,,,
Paerdegat Basin Boat Dock Replacement - Temporary Dock Installation,,,,,,"United States Rowing Association And Row New York, Inc.",,Presumed Complete,,National Grid,2016-10-13T00:00:00.000,,,,
Upland and bathymetric survey of the creek,"40.753000, -73.840000",,,,,AECOM Technology Corporation,,Presumed Complete,,DEP,,,,,
"aka Battery Park Underpass Emergency Work. Replacement of Hurricane Sandy-damaged electrical components of sump motors, exhaust fans, ventilation chambers, lighting, etc","40.701240, -74.014368",,,,,El Sol Contracting - Hylan Datacom JV,,Final-Accepted (Closed Out),,CDOT,,,,2020-03-03T00:00:00.000,2019-12-31T00:00:00.000
"Deck replacement on the Van Wyck viaduct over Flushing Meadows Corona Park: Van Wyck Expressway (678I) / Long Island Expressway Interchange (495I) Structures rehabilitation Phase 1 in Queens County, NY to extend service life of structures. BINs:1055789, 105578E","40.750266, -73.835267",,2019-12-12T00:00:00.000,,AECOM,El Sol Contracting/ES II Enterprises JV,,Construction,2019-10-03T00:00:00.000,SDOT,,,,,
"Work Order for WIN 1-907-102 under where and when contract, State-owned staircase in park west of W72 St Dog Run in Riverside Park","40.781661, -73.987073",,,,,,,Permitting,,SDOT,,,,,
Installing temporary construction fence,,,,,,316 Kent Construction LLC,,Final-Accepted (Closed Out),,Private Developer,2017-03-22T00:00:00.000,2018-07-13T00:00:00.000,,2018-07-13T00:00:00.000,
Installation of stand by generator on roofs of the building in Astoria Housing Project (4-21 Astoria Blvd),,,,,,"Navillus Tile, Inc.",,Construction,,NYCHA,2016-10-21T00:00:00.000,,,,2019-11-01T00:00:00.000
"Reconfiguration of expressway and parkway interchange ramps to improve traffic flow, NYSDOT running project partially on behalf of NY Thruway Authority, who asserts rights to interchange. Scope will include landscape, natural area restoration, improved bike/ped facility, and removal and restoration of grove associated with the Bronx Victory Memorial. 

Permanent easements will be acquired through Eminent Domain Procedure and Highway Law, technically reducing parkland by est 2.67 acres. In reality, no effective loss of parkland is anticipated.","40.857479, -73.825591",2021-04-22T00:00:00.000,,,,,,Permitting,2021-01-26T00:00:00.000,SDOT,,,,,
"This Vision Zero capital project will construct seven curb and sidewalk extensions along the east side of Lexington Avenue between East 41st and East 48th Streets, in the vicinity of Grand Central Terminal.",,,,,,,,Presumed Complete,,DDC,,,,,
High Line at 515 West 18th Street -  Demolishing the current guardrail and concrete perimeter of the highline and installing Structural Steel Beams,,,2020-07-24T00:00:00.000,,,"18th Highline Associates, L.L.C., c/o Related Construction, LLC",,Construction,,Other,,,,,
Install Timber Rail and Gate  for Soundview Ferry Landing,"40.805501, -73.848757",,2019-12-19T00:00:00.000,,,City & County Paving,,Construction,,EDC,,,,,2020-04-30T00:00:00.000
Accessibility Upgrades at the Avenue H Station on the Brighton Line (BMT),"40.629963, -73.961840",,,,,Scalamandre-Gramercy JV,,Construction,,MTA NYCT,,,,,
Installation of a sidewalk vault next to Quaker Parrot Park at the Dust Bowl,"40.632027, -74.013165",,2016-06-30T00:00:00.000,,,"Consolidated Edison Company of New York, Inc.",,Presumed Complete,,ConEd,2016-07-15T00:00:00.000,,,,
Highline (14th Street and 10th Ave) Removal and Installation of new Bilco Sidewalk Vault Door,,,2020-09-28T00:00:00.000,,,Alpine Construction & Landscaping Corp,,Construction,,Other,,,,,
Miscellaneous Structural Steel Repairs and Replacement of the Overcoat Painting System at the Henry Hudson Bridge,"40.878050, -73.921767",,2020-05-15T00:00:00.000,,,Tully-NUCO JV LLC,,Permitting,,MTA B&T,,,,,
Pedestrian Safety Improvement with DEP components,,,,,RBA Group,,,Presumed Complete,2016-01-21T00:00:00.000,DDC,,,,,
Subsurface Geotechnical Investigations,,,,,,,,Construction,,Other,,,,,
Broad Channel Streets and Bulkheads Reconstruction.,"40.601875, -73.822184",,2020-07-30T00:00:00.000,,NV5,JR Cruz,DDC EIC,Construction,2017-09-15T00:00:00.000,DDC,,,,,
Tourism Sign Installation,,,,,,,,Presumed Complete,,SDOT,,,,,
Pedestrian ramps next to transit entrances.,"40.764420, -73.973636",,,,,C.A.C. Indsustries,,Presumed Complete,,DDC,,,,,
"Construction of storm and sanitary sewers in Meredith Ave etc, and Canon Avenue BMP. Per Melissa. FORMERLY SER002308","40.595753, -74.190561",2017-04-07T00:00:00.000,2018-10-16T00:00:00.000,,,JR Cruz,EIC,Construction,,DDC,,,,,
Multisite requirements contract for accessibility upgrades next to highways. No impact on parklands.,"40.834236, -73.873760",,,,,Triumph Construction,EIC,Conditional-Accepted (Subst. Compl.),,SDOT,,,,,
Access and work to facilitate service upgrades to two (2) existing electrical manholes,"40.756269, -73.947563",,,,,"Consolidated Edison Company of New York, Inc.",,Presumed Complete,,ConEd,,,,,
Repair of cast in place concrete at five locations along the High Line,,,,,,Roofus Restoration LLC,,Presumed Complete,,Parks - Partner Group,2016-07-22T00:00:00.000,,,,2016-12-31T00:00:00.000
Water Main Replacement,"40.694085, -73.821190",,,,,,,Presumed Complete,,DDC,,,,,
Alben Triangle Refurb,"40.639492, -73.994608",,2019-03-11T00:00:00.000,,,TBO Sitescapes Inc,,Final-Accepted (Closed Out),,Parks - Partner Group,,,,,2019-05-31T00:00:00.000
"This project will construct a two-way, grade-separated greenway path along Shore Parkway Service Road North, Rockaway Parkway, and Canarsie Veterans Circle The Greenway will provide safer access to parks and recreational spaces along the Parkway, and Canarsie Veterans Circle The Greenway will provide safer access to parks and recreational spaces along the serve to build out a missing segment of the existing NYS Bike Network connecting the Canarsie neighborhood to Canarsie serve to build out a missing segment of the existing NYS Bike Network connecting the Canarsie neighborhood to Canarsie northeast corner of Shore Parkway Service Road North and Rockaway Parkway, as well as at the Belt Parkway eastbound entrance ramp from Canarsie Veterans Circle, providing a safer crossing to Canarsie Pier. (2017 CPI)","40.630245, -73.885239",,,,,,,Presumed Complete,,DDC,,,,,
Demolition of Abandoned Manhattan-to-Queens Pedestrian Bridge ramp for the RFK Bridge,,,2017-08-11T00:00:00.000,,,KSR Construction Corp.,,Presumed Complete,,MTA B&T,2017-08-11T00:00:00.000,,,,
"CAPIS ID NO. PW348-64
Marine Park Garage
2900 Flatbush Avenue Brooklyn, NY
Block: 8590 Lot: 700
Request for Permit to Perform Work on Park Property - replace damaged groundwater monitoring well road boxes at three (3) well
locations. The wells, LMW-06, LMW-07, and MW-06. In addition to the well manhole replacements, two
wells, LMW-03 and LMW-09, will be replaced by drilling and installing new wells",,,2019-04-26T00:00:00.000,,,"Aquifer Drilling & Testing, Inc",,Construction,,DDC,,,,,
"Bridge Repair: concrete removal, bearing replacement, painting and concrete repair","40.886137, -73.897453",,2017-05-11T00:00:00.000,,,Kiska Construction,RE,Final-Accepted (Closed Out),,SDOT,2017-05-09T00:00:00.000,2018-04-24T00:00:00.000,,2018-04-24T00:00:00.000,
Stormwater capture system to retrofit impervious surface,"40.735912, -73.872511",,,,,,,Construction,,DEP,,,2018-07-03T00:00:00.000,,2018-06-30T00:00:00.000
"Starlight Park consists of two triangular parcels located along the banks of the Bronx River between Westchester Avenue and East 172nd Street.  The project includes greenway and trail construction, park plazas and overlooks, construction of active and passive recreational spaces, site grading and drainage, various retaining walls, pedestrian lighting, wetland mitigation, soil remediation, planting, as well as a small amount of curb and sidewalk work on Westchester Avenue. (2015 P-1PBSTAR MM1 Letter)","40.831608, -73.883164",,,,,,,Presumed Complete,,DDC,,,,,
Preventative maintenance cleaning of drainage systems on selected state-owned bridges in all counties in the years of 2019 and 2020.,,,,,,NYSDOT,,Presumed Complete,,SDOT,,,,,
Emergency Sewer Replacements,,,,,,Perfetto Enterprises Company,Deputy Chief,Construction,,DDC,,,,,
Staging to facilitate Build-It-Back's reconstruction activities in Staten Island,"40.572654, -74.086922",,,,,"SLSCO, Ltd.",,Presumed Complete,,DDC,,,,,2018-03-31T00:00:00.000
"Various structural repairs, removal of the tuned masss damper system, and via change order, the installation of ORT gantries.",,,,,,Halmar International,,Construction,,MTA B&T,,,,,
Tree Planting Materials Storage,"40.574584, -73.985940",,2020-02-28T00:00:00.000,,,"Northeast Remsco Construction, Inc",,Final-Accepted (Closed Out),,EDC,,,,,2020-05-01T00:00:00.000
Restore power to the Eternal Light Monument,,,,,,River Bend Construction Corp.,,Presumed Complete,,Parks - Partner Group,2016-08-16T00:00:00.000,,,,
Right-of-Way Bioswales,"40.686439, -73.866709",,,,,,,Permitting,,Parks - Green Infrastructure,,,,,
