citizenstatus,ethnicity,pa_adj,serialno,sex,off_pov_stat,hht,semp_adj,oi_adj,esr,ftptwork,lanx,schg
3,3,0.0,16640,2,2,1,0.0,0.0,6.0,3,1.0,0
1,3,0.0,10877,2,2,6,0.0,0.0,1.0,1,2.0,0
3,3,0.0,16947,1,2,1,0.0,0.0,1.0,1,1.0,0
2,4,0.0,6009,1,2,1,0.0,0.0,6.0,3,1.0,0
1,3,0.0,10009,1,2,1,0.0,0.0,6.0,2,1.0,15
1,2,0.0,414,1,2,1,0.0,0.0,,3,2.0,0
3,3,0.0,14144,2,2,1,0.0,0.0,6.0,3,1.0,0
2,3,0.0,18100,1,2,1,0.0,0.0,1.0,2,2.0,15
3,3,0.0,882,2,2,1,0.0,0.0,6.0,3,1.0,15
2,4,0.0,6009,2,2,1,0.0,0.0,1.0,2,1.0,0
1,4,0.0,13890,2,2,1,0.0,0.0,1.0,1,2.0,0
1,3,0.0,16640,1,2,1,0.0,0.0,,3,1.0,2
1,2,0.0,6549,1,2,4,0.0,0.0,1.0,1,2.0,0
3,1,0.0,463,2,2,1,0.0,0.0,6.0,3,1.0,0
3,2,0.0,20073,1,2,1,0.0,0.0,1.0,1,2.0,0
1,4,0.0,15342,1,2,1,0.0,0.0,6.0,3,1.0,13
1,2,0.0,8530,2,1,3,0.0,0.0,,3,2.0,12
1,2,0.0,19427,1,2,1,0.0,0.0,1.0,1,2.0,0
1,1,0.0,14401,1,1,1,0.0,0.0,1.0,1,1.0,0
2,4,0.0,18277,1,2,1,0.0,0.0,6.0,3,1.0,15
3,3,0.0,19704,2,1,3,0.0,0.0,6.0,3,1.0,0
1,3,0.0,4410,2,2,7,0.0,0.0,1.0,1,2.0,0
1,4,0.0,5637,2,1,3,0.0,0.0,1.0,2,2.0,15
1,4,0.0,13726,1,2,1,0.0,0.0,1.0,1,1.0,0
1,1,0.0,18618,1,2,4,0.0,0.0,1.0,1,2.0,0
2,5,0.0,19370,2,2,1,0.0,0.0,1.0,2,2.0,0
3,4,0.0,1982,1,2,1,0.0,0.0,1.0,1,1.0,0
2,2,0.0,2387,2,2,6,0.0,0.0,6.0,3,2.0,0
3,4,0.0,9405,1,2,1,0.0,0.0,1.0,1,1.0,0
1,4,0.0,10448,2,2,1,10130.97,0.0,1.0,2,1.0,0
1,1,0.0,18508,1,2,1,0.0,0.0,,3,,1
2,3,0.0,17483,2,2,2,0.0,0.0,1.0,1,2.0,0
1,2,0.0,798,1,2,1,0.0,0.0,1.0,2,2.0,0
2,3,0.0,2476,1,1,1,0.0,0.0,6.0,3,1.0,0
3,1,0.0,3876,2,2,1,0.0,0.0,6.0,3,1.0,0
1,4,0.0,8211,1,1,1,0.0,0.0,,3,2.0,9
1,4,0.0,15342,2,2,1,0.0,0.0,6.0,3,1.0,15
1,1,0.0,10352,2,2,6,0.0,0.0,1.0,1,2.0,0
1,1,0.0,17479,1,2,1,0.0,0.0,,3,2.0,5
1,2,0.0,4082,1,2,1,0.0,0.0,,3,1.0,5
1,1,0.0,721,1,1,1,0.0,0.0,6.0,3,2.0,13
2,4,0.0,16760,2,2,3,0.0,0.0,1.0,2,1.0,0
1,1,0.0,16690,1,2,4,0.0,0.0,6.0,3,2.0,0
3,3,0.0,5666,2,2,1,0.0,0.0,1.0,2,1.0,0
1,1,0.0,7462,2,2,6,0.0,16614.791,6.0,3,2.0,0
3,3,0.0,882,2,2,1,0.0,0.0,1.0,2,1.0,0
3,1,0.0,1021,2,1,2,0.0,0.0,3.0,3,1.0,0
3,1,0.0,3765,2,1,1,0.0,0.0,6.0,3,1.0,0
1,1,0.0,11534,2,2,1,0.0,0.0,6.0,3,2.0,0
2,3,0.0,11780,1,2,1,0.0,0.0,1.0,1,2.0,0
1,1,0.0,6587,2,2,6,0.0,0.0,1.0,1,2.0,0
2,2,0.0,10776,1,2,1,0.0,0.0,1.0,1,1.0,0
2,5,0.0,10907,1,2,3,0.0,0.0,3.0,3,2.0,0
1,1,0.0,7356,2,2,5,0.0,0.0,1.0,2,2.0,16
1,1,0.0,19757,1,2,2,0.0,0.0,1.0,1,2.0,16
3,3,0.0,9063,1,1,2,0.0,0.0,6.0,3,1.0,16
2,3,0.0,15283,2,2,1,0.0,0.0,1.0,2,1.0,0
2,1,0.0,6972,2,2,6,0.0,0.0,1.0,1,1.0,0
2,4,0.0,6684,2,2,1,0.0,0.0,1.0,1,1.0,0
1,4,0.0,18277,2,2,1,0.0,0.0,,3,,0
1,5,0.0,9105,2,2,3,0.0,0.0,,3,,0
2,3,0.0,10212,1,2,2,0.0,0.0,6.0,2,2.0,0
1,2,0.0,20716,2,2,3,0.0,0.0,6.0,3,2.0,0
1,2,0.0,20008,2,2,1,0.0,0.0,1.0,1,2.0,15
1,1,0.0,1761,2,2,1,0.0,0.0,,3,2.0,8
1,4,0.0,13890,1,2,1,0.0,0.0,,3,2.0,7
2,4,0.0,1845,1,2,1,0.0,0.0,6.0,3,2.0,0
1,2,0.0,4082,1,2,1,0.0,0.0,,3,1.0,2
1,5,0.0,19370,1,2,1,0.0,0.0,,3,2.0,8
1,2,0.0,19503,1,2,2,0.0,0.0,3.0,3,1.0,0
3,3,0.0,20044,2,2,1,0.0,0.0,1.0,1,1.0,0
3,4,0.0,8786,2,2,3,0.0,0.0,,3,1.0,9
2,3,0.0,20828,2,2,1,0.0,0.0,3.0,2,1.0,15
3,3,0.0,20828,1,2,1,0.0,0.0,1.0,1,1.0,0
1,1,0.0,1969,1,2,1,0.0,0.0,,3,,1
1,1,0.0,3959,1,1,1,0.0,0.0,6.0,3,1.0,12
3,3,0.0,7879,2,2,1,0.0,0.0,6.0,3,1.0,0
1,1,0.0,9918,1,2,1,0.0,0.0,,3,2.0,6
1,1,0.0,7268,2,2,1,0.0,0.0,,3,2.0,2
1,1,0.0,3959,2,1,1,0.0,0.0,,3,1.0,10
2,1,0.0,1127,1,2,1,0.0,0.0,1.0,1,1.0,0
1,4,0.0,1358,1,2,1,0.0,0.0,2.0,2,1.0,0
1,2,0.0,4410,2,2,7,0.0,0.0,1.0,1,2.0,0
1,4,0.0,19286,2,2,1,0.0,0.0,1.0,1,2.0,0
1,3,0.0,14139,1,2,4,0.0,0.0,1.0,1,1.0,0
2,3,0.0,14064,2,2,7,0.0,0.0,6.0,3,1.0,0
1,1,0.0,18002,1,2,4,0.0,0.0,6.0,3,2.0,0
1,4,0.0,19286,1,2,1,0.0,0.0,1.0,1,2.0,0
3,3,0.0,19704,1,1,3,0.0,0.0,,3,1.0,9
1,4,0.0,8108,2,2,3,0.0,0.0,,3,1.0,12
1,1,0.0,14401,2,1,1,0.0,0.0,,3,1.0,6
2,3,0.0,4498,2,2,1,0.0,0.0,1.0,1,2.0,0
2,3,0.0,19725,1,2,1,0.0,0.0,3.0,3,1.0,15
2,1,0.0,19783,1,2,4,0.0,0.0,1.0,1,1.0,0
1,1,0.0,13811,2,2,2,11346.687,0.0,6.0,2,2.0,0
1,2,0.0,17656,1,2,1,0.0,0.0,3.0,3,1.0,0
2,5,0.0,6445,2,2,1,0.0,0.0,1.0,2,2.0,0
3,2,0.0,10776,1,2,1,0.0,0.0,,3,1.0,6
3,2,0.0,10776,2,2,1,0.0,0.0,1.0,2,1.0,0
3,4,0.0,3335,2,2,1,0.0,0.0,6.0,3,1.0,0
1,2,0.0,3622,1,2,3,0.0,0.0,,3,2.0,6
1,1,0.0,13296,2,2,7,0.0,0.0,1.0,1,1.0,0
2,1,0.0,967,2,2,1,0.0,0.0,6.0,3,2.0,0
1,4,0.0,18748,2,2,3,0.0,0.0,1.0,1,2.0,0
2,4,0.0,19079,2,2,1,0.0,0.0,1.0,1,1.0,15
1,4,0.0,6070,2,2,6,0.0,0.0,1.0,1,1.0,0
2,3,0.0,15630,2,2,1,0.0,0.0,1.0,2,2.0,0
1,1,0.0,20527,2,2,1,0.0,0.0,1.0,1,2.0,16
1,3,0.0,9063,1,1,2,0.0,0.0,6.0,3,1.0,16
1,2,0.0,2876,1,2,1,0.0,0.0,6.0,3,2.0,0
1,1,0.0,1969,2,2,1,0.0,0.0,1.0,2,2.0,0
3,3,0.0,14144,1,2,1,0.0,0.0,1.0,1,1.0,0
2,2,0.0,6445,1,2,1,0.0,0.0,1.0,2,2.0,0
1,2,0.0,14854,1,2,3,0.0,0.0,1.0,1,2.0,0
1,1,0.0,13811,1,2,2,0.0,0.0,6.0,3,2.0,0
3,4,0.0,10584,1,2,2,0.0,0.0,1.0,1,1.0,0
1,1,0.0,3194,2,2,1,0.0,0.0,6.0,3,2.0,15
1,4,0.0,6842,2,1,2,0.0,0.0,,3,1.0,4
1,2,0.0,8168,1,2,1,0.0,0.0,1.0,1,2.0,0
1,5,0.0,17537,2,2,1,0.0,0.0,,3,1.0,11
3,4,0.0,10584,1,2,2,0.0,0.0,1.0,1,1.0,0
1,1,0.0,8945,1,2,1,0.0,0.0,6.0,2,2.0,0
2,4,0.0,783,1,2,1,0.0,0.0,6.0,3,1.0,0
1,5,0.0,17537,2,2,1,0.0,0.0,,3,1.0,5
1,1,0.0,13725,1,2,4,0.0,0.0,3.0,2,2.0,0
1,1,0.0,16306,2,1,1,0.0,0.0,6.0,3,2.0,0
2,2,0.0,14932,1,2,4,0.0,0.0,1.0,1,2.0,0
1,1,0.0,14401,2,1,1,0.0,0.0,1.0,2,1.0,0
1,1,0.0,17479,1,2,1,0.0,0.0,,3,2.0,8
2,4,384.97687,11519,1,1,2,0.0,0.0,6.0,3,1.0,0
1,1,0.0,13296,2,2,7,0.0,0.0,1.0,1,1.0,0
2,4,0.0,14534,1,2,1,0.0,0.0,6.0,3,1.0,0
1,1,0.0,9909,1,1,5,0.0,0.0,3.0,3,2.0,0
2,1,0.0,15101,2,2,1,0.0,0.0,6.0,3,1.0,0
1,2,0.0,2876,2,2,1,0.0,0.0,1.0,2,2.0,0
1,2,0.0,16280,2,2,3,0.0,0.0,,3,2.0,4
1,1,0.0,9268,1,2,4,0.0,0.0,6.0,3,2.0,0
3,3,0.0,17833,1,2,4,0.0,0.0,1.0,1,1.0,0
1,1,0.0,3194,2,2,1,0.0,0.0,6.0,3,2.0,0
2,2,0.0,12574,1,2,1,0.0,0.0,1.0,1,2.0,0
2,2,0.0,9278,2,2,6,0.0,0.0,1.0,1,2.0,0
3,4,0.0,14534,2,2,1,0.0,0.0,2.0,1,1.0,0
1,2,0.0,8150,2,2,6,0.0,0.0,1.0,1,2.0,0
1,1,0.0,3194,1,2,1,0.0,0.0,,3,2.0,7
1,2,0.0,9909,1,1,5,0.0,0.0,1.0,2,2.0,0
1,2,0.0,5750,2,2,2,0.0,0.0,6.0,3,2.0,0
1,1,0.0,3273,1,2,3,0.0,0.0,,3,1.0,3
2,1,0.0,3359,1,2,2,0.0,0.0,1.0,1,1.0,0
1,1,0.0,18040,1,2,1,0.0,0.0,6.0,2,2.0,15
3,3,0.0,1545,2,2,1,0.0,0.0,1.0,1,1.0,0
2,3,0.0,15800,2,2,7,0.0,0.0,1.0,1,1.0,0
2,1,0.0,3359,1,2,2,0.0,0.0,1.0,1,1.0,0
2,3,0.0,3346,1,2,1,0.0,0.0,6.0,2,1.0,0
1,1,0.0,18040,2,2,1,0.0,0.0,6.0,2,2.0,15
2,4,0.0,3872,2,2,6,0.0,0.0,1.0,1,1.0,0
3,3,0.0,8007,2,2,1,0.0,9117.873,3.0,3,1.0,0
3,2,0.0,9485,1,1,4,0.0,0.0,1.0,1,1.0,0
2,4,0.0,11833,1,2,2,0.0,0.0,1.0,1,1.0,0
1,1,0.0,4920,2,2,6,0.0,0.0,6.0,3,2.0,0
3,1,0.0,3765,1,1,1,0.0,0.0,6.0,3,1.0,14
3,2,810.4776,16280,2,2,3,0.0,0.0,6.0,2,2.0,15
1,1,0.0,9248,2,2,6,0.0,0.0,1.0,2,2.0,0
2,3,0.0,20828,2,2,1,0.0,0.0,6.0,3,1.0,0
1,3,0.0,7964,1,2,4,0.0,0.0,1.0,1,1.0,0
3,4,0.0,1982,1,2,1,0.0,0.0,6.0,3,1.0,0
1,1,0.0,13169,2,2,3,0.0,0.0,6.0,3,1.0,0
1,1,0.0,16792,1,2,3,0.0,0.0,3.0,3,2.0,0
3,1,0.0,10595,2,2,1,0.0,0.0,,3,1.0,7
1,3,0.0,16640,2,2,1,0.0,0.0,,3,,0
2,3,0.0,3865,1,2,3,0.0,0.0,1.0,2,2.0,15
1,2,0.0,5676,2,2,3,0.0,0.0,2.0,2,2.0,0
3,1,0.0,10595,2,2,1,0.0,0.0,,3,1.0,5
