address_1,weather_normalized_site_energy,multifamily_housing_number_4,financial_office_computer,college_university_number,manufacturing_industrial,multifamily_housing_total_1,hotel_worker_density_number,percent_of_electricity_that,alert_energy_no_meters,data_center_ups_output_meter,data_center_pdu_output_meter,property_gfa_calculated_1,multifamily_housing_percent,electricity_use_generated_2,indoor_water_use_all_water,default_values,food_service_gross_floor,office_gross_floor_area_ft,municipally_supplied_potable_1,energy_star_certification,medical_office_number_of_1,estimated_data_flag_fuel_2,supermarket_grocery_gross,_3rd_largest_property_use,distribution_center_gross,last_modified_date_non,latitude,medical_office_gross_floor,avoided_emissions_onsite,avoided_emissions_offsite,other_gross_floor_area_ft,_3rd_largest_property_use_1,last_modified_date_gas_meters,hospital_general_medical_4,medical_office_weekly,county,weather_normalized_site_1,third_party_certification,total_ghg_emissions_metric,weather_normalized_source,other_computer_density_number,office_percent_that_can_be_1,electricity_use_grid_purchase_1,water_current_date,multifamily_housing_number_2,last_modified_date_electric
975 Georgia Ave.,5652713.7,,,,,,,0.0,Ok,,,66000.0,,,139.5,No,,,139.5,,,,,,,,40.653227,,,0.0,,,04/03/2018 03:20 PM EDT,,,Kings,0.6,,346.7,148.8,,,544439.9,2017-12-31T00:00:00.000,,04/03/2018 03:24 PM EDT
1410 Broadway,22606543.2,,,,,,,0.0,Ok,,,426287.0,,,,No,,420293.0,,,,No,,,,03/15/2018 04:47 PM EDT,40.753497,,,0.0,,,03/20/2018 02:32 PM EDT,,,USA,0.0,,1846.5,126.0,,90.75,4299271.0,2017-12-31T00:00:00.000,,03/20/2018 02:28 PM EDT
1530-1532 Townsend Ave,4068358.5,0.0,,,,1.05322,,0.0,Ok,,,52221.0,60.0,,2982.5,No,,,2982.5,,,,,,,,40.842804,,,0.0,,,03/20/2018 11:42 AM EDT,,,,0.6,,223.7,108.9,,,198414.2,2017-12-31T00:00:00.000,5.0,03/20/2018 11:42 AM EDT
815 Second Avenue,9574462.7,,,,,,,0.0,Ok,,,139824.0,,,2580.4,No,,139824.0,2580.4,,,,,,,02/15/2018 12:24 PM EST,40.750856,,,0.0,,,,,,usa,,,691.5,147.8,,100.0,1368072.6,2017-12-31T00:00:00.000,,02/15/2018 03:27 PM EST
60 East 42nd Street,88122389.2,,2.30468,,,,,0.0,Ok,,,1158407.0,,,15989.4,No,,1111437.0,15989.4,201720162015,,,,Fast Food Restaurant,,02/15/2018 11:07 AM EST,40.752532,,,0.0,,5125.0,02/15/2018 10:55 AM EST,,,,0.0,,6306.0,151.0,,100.0,10651567.5,2017-12-31T00:00:00.000,,02/19/2018 01:45 PM EST
43-01 22nd street,8385378.0,,,,75000.0,,,0.0,Ok,,,210260.0,,,,No,,30260.0,,,,,,Office,,03/28/2018 04:03 PM EDT,40.750081,,,0.0,105000.0,30260.0,03/15/2018 03:56 PM EDT,,,,0.0,,589.8,63.4,1.71429,100.0,669319.3,2017-12-31T00:00:00.000,,03/15/2018 03:41 PM EDT
1901 Ocean Parkway,18215739.0,,,,,,,0.0,Ok,,,86690.0,,,,No,,,,,,,,,,,40.60211,,,0.0,,,02/23/2018 10:39 AM EST,,,,1.3,,1200.3,382.5,,,1967359.8,,,02/23/2018 10:36 AM EST
117 West 70th St,9497943.3,,,,,,,0.0,Ok,,,75000.0,,,8088.7,No,,,8088.7,,,,,,,03/05/2018 05:22 PM EST,40.776376,,,0.0,,,03/07/2018 11:55 AM EST,,,,0.1,,705.0,208.2,,,835262.0,2017-12-31T00:00:00.000,,03/12/2018 10:09 AM EDT
380 BROADWAY,30533.7,,,,,,,0.0,Ok,,,27500.0,,,573.1,No,,,573.1,,,,,,,,40.718112,,,0.0,27500.0,,,,,,,,2.7,3.5,,,8948.9,2018-01-31T00:00:00.000,,02/27/2018 04:00 PM EST
24-41 31st St,1206672.6,,,,,,,0.0,Ok,,,14700.0,,,74.1,Yes,,,74.1,,,,,,,,40.771338,,,0.0,,,,,,,0.1,,101.0,234.4,,,308170.0,2017-12-31T00:00:00.000,,
119 West 57th Street,9194561.5,,,,,,,0.0,Ok,,,113707.0,,,,Yes,,103707.0,,,,,,,,02/08/2018 12:41 PM EST,40.764655,,,0.0,,,,,,,,,699.9,187.1,,100.0,1566913.8,2015-11-30T00:00:00.000,,03/16/2018 01:45 PM EDT
34-24 Hunters Point Avenue,4468824.3,,,,,,,0.0,Ok,,,65500.0,,,276.2,No,,,276.2,,,,,,,,40.738227,,,0.0,65500.0,,,,,,0.7,,212.2,72.2,0.39695,,4752.0,2017-12-31T00:00:00.000,,04/03/2018 05:13 PM EDT
165-01 Chapin Parkway,,,,,,,,,Ok,,,98642.0,,,,Yes,,,,,,,,,,,40.714279,,,,,,,,,,,,,,,,,2016-12-31T00:00:00.000,,
250 West 57th Street,36576027.3,,,,,,,0.0,Ok,,,479349.0,,,5787.0,No,,427105.0,5787.0,2017,,,,Bank Branch,,02/13/2018 04:26 PM EST,40.766391,,,0.0,,7296.0,02/13/2018 04:30 PM EST,,,,0.0,,2929.9,177.3,,100.0,6674241.7,2017-12-31T00:00:00.000,,02/19/2018 01:52 PM EST
1295 Madison Avenue,11433347.2,,,,,,0.65369,0.0,Ok,,,53542.0,,,,No,,,,,,,,,,03/26/2018 12:07 PM EDT,40.78476,,,0.0,,,,,,,0.4,,833.0,372.5,,,1156646.5,,,03/26/2018 11:56 AM EDT
1301 Surf Avenue,,,,,,,0.0,,Ok,,,55278.0,,,,No,,,,,,,,,,,40.575574,,,0.0,,,,,,,,,0.0,,,,,,,04/26/2018 11:46 AM EDT
116 West Houston St.,,,,,,,,0.0,Ok,,,28500.0,,,1071.3,Yes,,20265.0,1071.3,,,,,Single Family Home,,04/04/2018 11:21 AM EDT,40.727455,,,0.0,,1191.0,04/04/2018 10:57 AM EDT,,,,,,70.2,,,100.0,19502.4,2017-12-31T00:00:00.000,,04/04/2018 11:14 AM EDT
51-01 Grand Ave,3401633.4,,,,,,,0.0,Ok,,,120200.0,,,1227.4,No,,,1227.4,,,,,,,,40.7178,,,0.0,,,,,,,,,305.0,88.9,,,1008356.4,2017-12-31T00:00:00.000,,02/06/2018 08:15 AM EST
102-01 66th Road,62956611.7,,,,,,,0.0,Ok,,,190934.0,,,0.0,No,,,0.0,,,,,,,03/25/2018 06:49 PM EDT,40.729265,,,0.0,,,03/25/2018 06:57 PM EDT,312.0,,,2.0,,4241.6,609.6,,,7137781.7,2017-12-31T00:00:00.000,,03/25/2018 06:36 PM EDT
95 West 162nd Street,2415277.1,0.0,,,,0.98413,,0.0,Ok,,,31500.0,90.0,,2826.9,No,,,2826.9,,,,,,,03/28/2018 10:01 AM EDT,40.831393,,,0.0,,,03/27/2018 01:04 PM EDT,,,,0.5,,148.6,103.4,,,104725.6,2017-12-31T00:00:00.000,5.0,03/26/2018 09:10 AM EDT
40 Worth Street,61050032.6,,,,,,,0.0,Ok,,,735174.0,,,9670.1,No,,735174.0,9670.1,,,No,,,,03/29/2018 02:28 PM EDT,40.717363,,,0.0,,,03/29/2018 01:56 PM EDT,,,USA,0.0,,4744.7,177.2,,100.0,9457501.9,2017-12-31T00:00:00.000,,03/29/2018 01:35 PM EDT
2766 university avenue,,0.0,,,,0.98246,,0.0,Ok,,,57000.0,90.0,,,No,,,,,,,,,,02/02/2018 01:06 PM EST,40.870587,,,0.0,,,03/26/2018 09:11 AM EDT,,,,0.1,,173.3,,,,194932.8,,6.0,03/26/2018 09:10 AM EDT
300 Vanderbilt Avenue,,,,,,,,0.0,Ok,,,64959.0,,,,No,,,,,,,,Other,,01/23/2018 03:13 PM EST,40.688451,,,0.0,8191.0,8191.0,01/23/2018 03:10 PM EST,,,,0.1,,132.4,,0.73251,,72042.5,,,01/23/2018 04:24 PM EST
380 EAST 18 ST,12060483.3,0.0,,,,0.90885,,0.0,Ok,,,147088.0,90.0,,13377.7,Yes,,,13377.7,,4.07,,,,,,40.641763,1850.0,,0.0,,,03/02/2018 10:22 AM EST,,65.0,,0.7,,676.1,113.2,,,564808.5,2017-12-31T00:00:00.000,5.0,03/05/2018 09:05 AM EST
777 East 31 St,10872733.8,0.0,,,,1.02742,,0.0,Ok,,,121664.0,90.0,,11801.3,No,,,11801.3,,,,,,,,40.632671,,,0.0,,,03/02/2018 10:23 AM EST,,,,0.8,,609.3,121.8,,,477341.0,2017-12-31T00:00:00.000,3.0,03/08/2018 09:24 AM EST
28 Second Ave,1778956.4,,,,,,,0.0,Ok,,,61111.0,,,68.8,No,,,68.8,,,,,,,,40.7246,,,0.0,,,03/26/2018 11:07 AM EDT,,,,0.2,,108.9,53.4,,,191326.0,2017-12-31T00:00:00.000,,03/15/2018 04:00 PM EDT
15-30 Petracca Place,6768721.4,,,,,,,0.0,Ok,,,92705.0,,,1829.8,No,,,1829.8,,,,,,,,40.783399,,,0.0,,,,,,United States,0.4,,464.8,156.1,,,1041798.5,2017-12-31T00:00:00.000,,
2753 Ocean Avenue,4220047.1,0.0,,,,0.85366,,0.0,Ok,,,49200.0,0.0,,3390.3,No,,,3390.3,,,,,,,,40.594122,,,0.0,,,01/29/2018 04:37 PM EST,,,,0.8,,213.6,93.8,,,25250.7,2018-01-31T00:00:00.000,5.0,03/09/2018 01:27 PM EST
508-516 West 26th Street,5641383.2,,,,,,,0.0,Ok,,,146416.0,,,,No,,,,,,,,,,,40.749957,,,0.0,146416.0,,,,,,,,416.3,63.2,0.0683,,488663.9,2017-12-31T00:00:00.000,,03/13/2018 09:27 AM EDT
2357 Prospect Ave.,5936533.5,0.0,,,,1.2,,0.0,Ok,,,40500.0,,,3161.2,Yes,,,3161.2,,,,,,,03/29/2018 02:10 PM EDT,40.853047,,,0.0,,,03/27/2018 03:48 PM EDT,,,,0.1,,448.8,178.3,,,169190.3,2017-12-31T00:00:00.000,,03/27/2018 03:48 PM EDT
1864 85 st.,,0.0,,,,1.06944,,0.0,Ok,,,72000.0,100.0,,5703.1,No,,,5703.1,,,,,,,03/06/2018 04:45 PM EST,40.607039,,,0.0,,,02/25/2018 02:43 PM EST,,,kings,0.6,,348.6,,,,318809.1,2017-12-31T00:00:00.000,8.0,03/04/2018 11:12 AM EST
2446 University Avenue,4391592.6,0.0,,,,0.95765,,,Ok,,,56388.0,0.0,,5056.0,Yes,,,5056.0,,,,,,,,40.863867,,,,,,04/04/2018 09:24 AM EDT,,,,0.8,,218.0,81.8,,,,2017-12-31T00:00:00.000,13.0,04/04/2018 09:24 AM EDT
134 Ocean Parkway,,0.0,,,,1.14286,,,Ok,,,35000.0,0.0,,29.0,No,,,29.0,,,,,,,,40.647116,,,,,,03/03/2018 09:50 AM EST,,,Kings,,,52.7,,,,,2017-12-31T00:00:00.000,8.0,
600 Burke Ave,6902113.2,0.0,,,,1.04882,,0.0,Ok,,,55300.0,0.0,,4433.7,No,,,4433.7,,,,,,,,40.8715,,,0.0,,,04/03/2018 01:30 PM EDT,,,Bronx,1.1,,370.5,158.8,,,214073.4,2017-12-31T00:00:00.000,4.0,04/03/2018 01:31 PM EDT
114 East 85th Street,,,,,,,,,Ok,,,61917.0,,,,Yes,,,,,,,,,,,40.779191,,,,,,,,,,,,0.0,,,,,,,
665 Fifth Ave,10368470300.0,,,,,,,0.0,Ok,,,123371.0,,,,No,,109514.0,,,,,,,,03/06/2018 09:29 AM EST,40.760184,,,0.0,,,,,,,,,682299.8,101248.6,,100.0,2634349.6,2017-12-31T00:00:00.000,,03/06/2018 09:26 AM EST
1181 Sheridan Ave.,8174136.2,0.0,,,,1.2,,0.0,Ok,,,72000.0,100.0,,,Yes,,,,,,,,,,,40.833496,,,0.0,,,03/27/2018 02:18 PM EDT,,,,1.0,,442.5,148.5,,,293070.3,2011-12-31T00:00:00.000,,03/27/2018 02:12 PM EDT
175 Varick Street,8056786.6,,,,,,,0.0,Ok,,,174137.0,,,,No,,170437.0,,20172016,,,,,,03/14/2018 04:02 PM EDT,40.727392,,,0.0,,,03/08/2018 11:28 PM EST,,,,0.0,,642.4,114.5,,100.0,1565826.4,2017-12-31T00:00:00.000,,03/08/2018 11:28 PM EST
3077 Cross Bronx Expressway,,0.0,,,,1.11894,,0.0,Ok,,,127800.0,10.0,,7707.9,No,,,7707.9,,,,,,,03/21/2018 03:22 PM EDT,40.821967,,,0.0,,,03/30/2018 08:52 PM EDT,,,,0.6,,582.9,,,,754524.9,2017-12-31T00:00:00.000,0.0,03/30/2018 08:52 PM EDT
1610-1618 Walton Ave,5205842.1,0.0,,,,0.92653,,0.0,Ok,,,53965.0,60.0,,2580.8,No,,,2580.8,,,,,,,,40.843955,,,0.0,,,03/21/2018 11:59 AM EDT,,,,0.8,,284.7,131.3,,,226903.3,2017-12-31T00:00:00.000,5.0,03/21/2018 11:57 AM EDT
1170 Broadway,16711605.0,,,,,,2.0,0.0,Ok,,,125000.0,,,10762.6,No,,,10762.6,,,,,,,,,,,0.0,,,02/07/2018 11:40 AM EST,,,,0.7,,1150.2,274.7,,,2354605.3,2017-12-31T00:00:00.000,,02/06/2018 12:41 PM EST
188 Montague Street,,,,,,,,0.0,Ok,,,48050.0,,,,No,,48050.0,,,,,,,,,40.694007,,,0.0,,,,,,,,,244.9,,,100.0,403484.1,2018-02-28T00:00:00.000,,
3525 Baychester Avenue,,,,,,,,0.0,Ok,,,80844.0,,,5750.6,Yes,,,5750.6,,,,,,,,40.881703,,,0.0,,,,55.8,,,,,355.3,,,,1102979.2,2017-12-31T00:00:00.000,,
655 Sixth Avenue,5937009.1,0.0,,,,0.37346,,0.0,Ok,,,131206.0,100.0,,,No,,,,,,,,,,02/12/2018 09:06 AM EST,40.741135,,,0.0,,,03/26/2018 11:58 AM EDT,,,,0.0,,519.6,141.7,,,1713168.6,,0.0,03/26/2018 11:56 AM EDT
74-12 88th Street,63005.8,,,,,,,0.0,Ok,,,27920.0,,,26.2,No,,,26.2,,,,,,27920.0,,40.708191,,,0.0,,,02/26/2018 03:11 PM EST,,,,,,5.4,7.1,,,17734.2,2017-12-31T00:00:00.000,,03/02/2018 02:39 PM EST
3 Bryant Park,128584524.0,,,,,,,0.0,Ok,,,1437148.0,,,48754.3,Yes,,1437148.0,48754.3,,,,,,,01/19/2018 01:08 PM EST,40.754515,,,0.0,,,,,,,,,10283.4,213.3,,100.0,22981597.4,2017-12-31T00:00:00.000,,03/03/2018 08:09 PM EST
1 Jacobus Pl,11695159.9,0.0,,,,1.10818,,0.0,Ok,,,75800.0,70.0,,,No,,,,,,,,,,,40.875146,,,0.0,,,03/21/2018 04:55 PM EDT,,,,1.4,,623.7,194.5,,,349607.8,,0.0,03/21/2018 04:55 PM EDT
118 W 22nd St,5703861.8,,,,,,,0.0,Ok,,,90000.0,,,2010.0,No,,82500.0,2010.0,,,,,,,02/08/2018 12:20 PM EST,40.742562,,,0.0,,,03/09/2018 01:37 PM EST,,,,0.0,,472.1,133.2,,100.0,868761.5,2017-12-31T00:00:00.000,,03/09/2018 01:38 PM EST
39-21 Crescent Street,,,,,,,,0.0,Ok,,,93300.0,,,,No,,,,20162015,,,,Worship Facility,,,40.754378,,,0.0,,15633.0,03/02/2018 10:08 AM EST,,,,0.2,,433.5,,,,542389.3,,,03/02/2018 10:11 AM EST
1 Jacobus Pl,,0.0,,,,1.10818,,,Ok,,,75800.0,70.0,,,No,,,,,,,,,,,40.875146,,,,,,03/21/2018 04:55 PM EDT,,,,,,0.0,,,,,,0.0,03/21/2018 04:55 PM EDT
2241 WESTCHESTER AVENUE,3591513.5,,,,,,,0.0,Ok,,,26827.0,,,1366.3,No,,,1366.3,,,,,,,,40.834324,,,0.0,,,03/23/2018 03:44 PM EDT,,,,0.6,,265.4,305.2,,,629727.1,2017-12-31T00:00:00.000,,03/23/2018 03:42 PM EDT
35-20 73rd Street,,0.0,,,,0.96432,,0.0,Ok,,,99552.0,0.0,,,Yes,,,,,,,,,,,40.750574,,,0.0,,,02/06/2018 12:07 PM EST,,,,,,,,,,35382.0,2016-02-29T00:00:00.000,14.0,01/31/2018 03:27 PM EST
115-10 14th Rd,12359692.2,,,,,,,0.0,Ok,,,55000.0,,,641.8,No,55000.0,,641.8,,,,,,,,,,,0.0,,,03/06/2018 12:55 PM EST,,,,1.9,,718.1,301.9,,,508444.5,2017-12-31T00:00:00.000,,03/05/2018 05:17 PM EST
"10,20,30,40 Richman Plaza",187478135.6,1654.0,,,,1.03508,,0.0,Ok,,,1613528.0,0.0,,,Yes,,,,,,,12300.0,Supermarket/Grocery Store,,,,,,0.0,1140.0,12300.0,03/22/2018 12:55 PM EDT,,,,0.9,,10686.0,166.7,,,10105899.0,,108.0,03/22/2018 12:55 PM EDT
94-11 Shore Road,7474798.5,0.0,,,,0.89659,,0.0,Ok,,,110418.0,90.0,,,No,,,,,,,,,,,40.617523,,,0.0,,,03/23/2018 12:28 PM EDT,,,,0.6,,420.3,97.5,,,410341.5,2016-12-31T00:00:00.000,4.0,03/23/2018 10:13 AM EDT
500 Seaview Avenue,929906.4,,,,,,,0.0,Ok,,,50000.0,,,394.9,Yes,,40000.0,394.9,,22.0,,,,,,40.583265,10000.0,,0.0,,,,,65.0,,,,83.0,58.4,,100.0,274243.3,2017-12-31T00:00:00.000,,03/30/2018 07:55 PM EDT
113 Prospect Park,2732333.4,0.0,,,,0.48611,,0.0,Ok,,,197487.0,90.0,,,No,,,,,,,,,,,40.661354,,,0.0,,,,,,,,,220.0,43.4,,,727369.7,2013-12-31T00:00:00.000,6.0,04/04/2018 09:16 AM EDT
270   NEVINS ST,625991.8,,,,,,,0.0,Ok,,,41297.0,,,61.0,No,,,61.0,,,,,,,,40.680019,,,0.0,41297.0,,,,,,,,52.9,47.6,,,174947.6,2018-02-28T00:00:00.000,,03/23/2018 12:08 PM EDT
40 Exchange Place,14585785.4,,,,,,,0.0,Ok,,,237000.0,,,,Yes,,213300.0,,,,,,,,03/28/2018 04:34 PM EDT,40.705939,,,0.0,,,03/28/2018 04:00 PM EDT,,,,0.2,,1121.4,154.4,,100.0,2906194.4,2018-02-28T00:00:00.000,,03/28/2018 04:00 PM EDT
1694-1698 Selwyn Avenue,5900640.5,0.0,,,,1.19117,,0.0,Ok,,,51210.0,90.0,,,No,,,,,,,,,,02/12/2018 08:54 AM EST,40.844242,,,0.0,,,04/04/2018 12:36 PM EDT,,,,0.1,,428.8,153.0,,,258182.8,,0.0,04/04/2018 12:35 PM EDT
40-40 75th Street,2961240.1,0.0,,,,0.74359,,0.0,Ok,,,78000.0,100.0,,2893.5,No,,,2893.5,,,,,,,,40.745889,,,0.0,,,,,,,,,247.6,119.2,,,818361.6,2017-12-31T00:00:00.000,0.0,03/13/2018 11:37 AM EDT
4907 1st Avenue,2164674.5,,,,,,,0.0,Ok,,,40000.0,,,253.8,Yes,,,253.8,,,,,,,,40.650866,,,0.0,,,03/20/2018 05:26 PM EDT,,,,0.3,,147.2,111.3,,,305668.9,2017-12-31T00:00:00.000,,03/20/2018 05:23 PM EDT
83-33 Austin Street,,0.0,,,,1.2,,0.0,Ok,,,133140.0,,,3903.3,Yes,,,3903.3,,,,,,,03/28/2018 01:14 PM EDT,40.708829,,,0.0,,,03/28/2018 01:16 PM EDT,,,,0.8,,611.2,,,,154058.6,2016-12-31T00:00:00.000,,03/28/2018 01:00 PM EDT
2900 St. Theresa Avenue,5885253.5,0.0,,,,1.05228,,,Ok,,,51317.0,0.0,,,Yes,,,,,,,,,,,40.849372,,,,,,04/03/2018 01:25 PM EDT,,,,1.1,,288.3,120.4,,,,2015-12-31T00:00:00.000,7.0,
101 East 77th Street,,,,,,,,0.0,Ok,,,873000.0,,,0.0,No,,,0.0,,,,,,,03/25/2018 04:29 PM EDT,40.774192,,,0.0,,,,652.0,,,,,17735.8,,,,29073618.0,2017-12-31T00:00:00.000,,03/25/2018 04:14 PM EDT
270-05 76th Avenue,628658372.3,,,,,,,0.0,Ok,,,1493589.0,,,0.0,No,,,0.0,,,,,,,03/25/2018 08:39 PM EDT,40.753347,,,0.0,,,03/24/2018 06:43 PM EDT,644.0,,,3.2,,49014.1,641.3,,,41841652.0,2017-12-31T00:00:00.000,,03/25/2018 08:44 PM EDT
989 E 149th Street,1436514.3,,,,,,,,Ok,,,150000.0,,,,No,,,,,,,,,,,40.80666,,,,,,02/09/2018 08:36 AM EST,,,,0.1,,67.9,10.1,,,,2017-12-31T00:00:00.000,,02/14/2018 11:48 AM EST
116 East Mosholu,7655969.9,0.0,,,,0.72102,,15.39521,Ok,,,83215.0,90.0,0.0,,No,,,,,,,,,,,,,30.4,0.0,,,03/26/2018 09:11 AM EDT,,,,0.8,,407.7,120.6,,,280216.9,,6.0,03/26/2018 09:10 AM EDT
140 Clarkson Ave,6031006.3,0.0,,,,0.77185,,0.0,Ok,,,76440.0,90.0,,3714.8,No,,,3714.8,,,,,,,,40.655119,,,0.0,,,03/02/2018 10:22 AM EST,,,,0.7,,326.5,107.4,,,266888.6,2017-12-31T00:00:00.000,2.0,03/05/2018 09:06 AM EST
3900 Bailey Avenue,10489184.4,60.0,,,,0.76354,,0.0,Ok,,,247530.0,100.0,,,No,,,,,,,,,,,40.885298,,,0.0,,,03/26/2018 11:58 AM EDT,,,,0.3,,693.5,78.0,,,1148479.9,,0.0,03/26/2018 11:57 AM EDT
808 West End Avenue,9361849.3,132.0,,,,1.23226,,0.0,Ok,,,107120.0,0.0,,4094.1,No,,,4094.1,,,,,,,02/20/2018 09:48 AM EST,40.797234,,,0.0,,,03/26/2018 09:10 AM EDT,,,,0.7,,511.9,118.4,,,405196.6,2017-12-31T00:00:00.000,6.0,03/27/2018 09:55 PM EDT
1564 Unionport Road,33258456.4,0.0,,,,1.00716,,0.0,Ok,,,371009.0,60.0,,,Yes,,,,,,,10253.0,Retail Store,,03/23/2018 10:44 AM EDT,40.839382,,,0.0,,5300.0,03/12/2018 09:30 AM EDT,,,,0.3,,2089.0,127.1,,,1322566.4,,0.0,03/12/2018 09:38 AM EDT
488-500 Southern Boulevard,12846197.3,0.0,,,,0.51698,,0.0,Ok,,,275000.0,0.0,,12072.1,Yes,,,12072.1,,,,,,,,40.811043,,,0.0,,,03/30/2018 09:25 PM EDT,,,,0.4,,697.1,61.8,,,493025.6,2017-12-31T00:00:00.000,8.0,03/30/2018 09:24 PM EDT
330 W 38th,,,,,,,,,Ok,,,195000.0,,,1422.0,No,,,1422.0,,,,,,,,,,,,195000.0,,03/22/2018 11:26 AM EDT,,,New York,,,,,0.06154,,,2017-12-31T00:00:00.000,,03/22/2018 11:25 AM EDT
