property_id,property_name,automobile_dealership_gross,source_eui_kbtu_ft,energy_star_certification_5,multifamily_housing_number_4,ice_curling_rink_gross_floor,aquarium_gross_floor_area,medical_office_gross_floor,energy_star_certification_4,retail_store_gross_floor,investment_in_energy_projects,parent_property_name,other_gross_floor_area_ft,office_weekly_operating_hours,race_track_gross_floor_area,office_computer_density_number,nyc_building_identification,percent_better_than_national,costar_property_id,municipally_supplied_potable_1,total_ghg_emissions_metric,fuel_oil_5_6_use_kbtu,weather_normalized_site_1,office_gross_floor_area_ft,site_eui_kbtu_ft,estimated_savings_from_energy_1,supermarket_grocery_gross,multifamily_housing_number_3,investment_in_energy_projects_1,multifamily_housing_total,casino_gross_floor_area_ft,hospital_general_medical_15,percent_of_total_electricity,national_median_source_eui,college_university_number,metered_areas_energy,fast_food_restaurant_gross,data_center_cooling_equipment,hospital_general_medical_11,energy_star_certification_1,retail_store_number_of_walk,data_center_pdu_output_site,transportation_terminal,energy_star_certification,natural_gas_use_kbtu,municipally_supplied_potable,medical_office_weekly,borough
2598405,Queens Boulevard,Not Available,217.5,No,Not Available,Not Available,Not Available,Not Available,Not Available,56916,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,4050967,2.2,Not Available,Not Available,320.8,Not Available,1155671,Not Available,69.3,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,212.8,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS
2558329,GC 200 Madison,Not Available,195.9,No,Not Available,Not Available,Not Available,Not Available,Not Available,25704,0,Not Applicable: Standalone Property,28259,65,Not Available,3.22251,1017122,-28.8,Not Available,Not Available,4316.3,Not Available,10162633.5,603877,78.2,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,274.9,Not Available,Whole Building,Not Available,Not Available,Not Available,11/13/2013,0,Not Available,Not Available,"2013, 2012, 2009",1123.5,Not Available,Not Available,
1560916,UJA 732 Lexington Avenue,Not Available,143.9,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,56.42,Not Available,1.66994,1087267,-40.1,Not Available,Not Available,1183.9,Not Available,3267092.9,269470,53,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,240.2,Not Available,Whole Building,Not Available,Not Available,Not Available,01/13/2014,Not Available,Not Available,Not Available,2013,Not Available,Not Available,Not Available,MANHATTAN
2493544,120 Fifth,Not Available,225.3,No,Not Available,Not Available,Not Available,Not Available,Not Available,13961,0,Not Applicable: Standalone Property,Not Available,48.55,Not Available,5.5819,1015419,-5.9,Not Available,Not Available,436.3,Not Available,1315777.8,54820,84.8,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,239.4,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,1346189.8,Not Available,Not Available,MANHATTAN
2614197,40 Wall Street,Not Available,151.5,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,60,Not Available,4.32528,1001018,-47.1,Not Available,Not Available,6121.2,Not Available,13244815.1,1155995,63,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,286.8,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
2612621,Parker Jewish Institute For Health Care & Rehabilitation,Not Available,212.7,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,4173982,-0.7,Not Available,56.16,4610.5,Not Available,5699182.8,Not Available,101.6,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,214.1,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15461427.4,Not Available,Not Available,QUEENS
2607418,GC 63 Madison Ave,Not Available,240.5,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,0,60,Not Available,4.85199,1016889,-20.5,Not Available,Not Available,8177.3,Not Available,11222751.7,786069,121.4,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,302.4,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
2544329,122 Greenwich Avenue,Not Available,223.4,No,62,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,1570,Not Available,Not Available,Not Available,1011095,Not Available,Not Available,Not Available,581.9,Not Available,1543792.3,Not Available,93.1,0,Not Available,Not Available,0,33,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2889179.8,Not Available,Not Available,MANHATTAN
2388507,201 West 72nd Street - The Alexandria House Condominium,Not Available,176.4,No,200,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1077846,Not Available,Not Available,Not Available,1592.1,Not Available,2295373,Not Available,104.8,0,Not Available,Not Available,0,220,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18010355.1,Not Available,Not Available,MANHATTAN
2587818,2730 W33 (Oceangate 33),Not Available,195.2,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,3328935,Not Available,Not Available,Not Available,1162.6,Not Available,2919593.8,Not Available,85.4,0,Not Available,Not Available,0,200,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6813185,Not Available,Not Available,BROOKLYN
