manhattan_cooperatives_comparable_properties_boro_block_lot,comparable_rental_2_year_built,comparable_rental_1_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_year_built,comparable_rental_2_boro_block_lot,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_total_units,comparable_rental_1_full_market_value,manhattan_cooperatives_comparable_properties_full_market_value,bin,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_1_market_value_per_sqft,latitude,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_neighborhood,comparable_rental_2_gross_sqft,manhattan_cooperatives_comparable_properties_building_classification,comparable_rental_2_address
1-00576-0001,2002.0,40.2,1960,1-00734-0037,0.7,261.0,26900000,24600000,,1.35,197.0,,38.1,GREENWICH VILLAGE-CENTRAL,214594.0,D4-ELEVATOR,"{'latitude': '40.653659214593', 'longitude': '-74.004884156347', 'human_address': '{""address"": ""400 37 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01887-0016,1921.0,20.71,1929,1-01889-0046,0.85,36.0,2110000,2220000,,0.25,78.0,,24.5,UPPER WEST SIDE (96-116),23244.0,D4-ELEVATOR,"{'latitude': '40.612615977379', 'longitude': '-74.034687433699', 'human_address': '{""address"": ""329 101 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01427-0034,1940.0,23.07,1932,1-01490-0122,0.2,87.0,7840000,13900000,,0.5,96.0,,33.0,UPPER EAST SIDE (59-79),75854.0,D4-ELEVATOR,"{'latitude': '40.626474707903', 'longitude': '-74.022244986526', 'human_address': '{""address"": ""555 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01625-0050,1900.0,16.65,1910,1-01688-0050,0.4,13.0,642000,431000,,1.0,56.0,,18.05,HARLEM-EAST,12900.0,C6-WALK-UP,"{'latitude': '40.797521559727', 'longitude': '-73.937389385828', 'human_address': '{""address"": ""2274 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01397-0001,1966.0,66.0,1910,1-01448-0001,0.9,66.0,18600000,8080000,1042023.0,0.65,323.0,40.764771,30.0,UPPER EAST SIDE (59-79),56980.0,D4-ELEVATOR,"{'latitude': '40.769606603937', 'longitude': '-73.957750036571', 'human_address': '{""address"": ""1404 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02076-0039,1930.0,18.96,1910,1-02079-0029,0.45,18.0,865000,426000,,0.15,71.0,,16.0,HARLEM-UPPER,14828.0,C6-WALK-UP,"{'latitude': '40.826641607035', 'longitude': '-73.946580456968', 'human_address': '{""address"": ""1760 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01877-0025,1920.0,25.9,1925,1-01867-0054,0.5,30.0,3030000,3630000,,0.5,107.0,,26.0,UPPER WEST SIDE (96-116),27821.0,D4-ELEVATOR,"{'latitude': '40.805475495151', 'longitude': '-73.959869721899', 'human_address': '{""address"": ""403 115 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01122-0029,1927.0,35.2,1929,1-01210-0001,0.1,80.0,23600000,33200000,1000000.0,0.55,164.0,40.782295,34.0,UPPER WEST SIDE (59-79),106521.0,D4-ELEVATOR,"{'latitude': '40.783357237765', 'longitude': '-73.978173639857', 'human_address': '{""address"": ""401 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00566-0001,1930.0,41.5,1955,1-00643-0001,0.2,279.0,10100000,76600000,1009222.0,0.85,204.0,40.732338,39.8,GREENWICH VILLAGE-CENTRAL,389376.0,D4-ELEVATOR,"{'latitude': '40.738630720876', 'longitude': '-74.009874393957', 'human_address': '{""address"": ""521 WEST STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01195-0054,1900.0,33.5,1900,1-01196-0046,0.35,30.0,1860000,2120000,,0.05,156.0,,32.0,UPPER WEST SIDE (79-96),17755.0,C6-WALK-UP,"{'latitude': '40.627694266097', 'longitude': '-74.038713483748', 'human_address': '{""address"": ""28 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01520-0027,1936.0,56.0,1941,1-01472-0034,1.45,47.0,13000000,7500000,,0.85,277.0,,35.0,UPPER EAST SIDE (79-96),44856.0,D4-ELEVATOR,"{'latitude': '40.628063410359', 'longitude': '-74.024967128814', 'human_address': '{""address"": ""440 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00858-0032,1920.0,34.6,1910,1-00860-0015,0.3,13.0,4240000,3600000,,0.15,161.0,,29.0,MURRAY HILL,34545.0,D0-ELEVATOR,"{'latitude': '40.745342895587', 'longitude': '-73.98471171101', 'human_address': '{""address"": ""118 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01369-0024,1929.0,39.5,1930,1-01379-0030,1.6,40.0,5230000,6520000,1040543.0,0.7,194.0,40.757512,31.0,MIDTOWN EAST,41692.0,D4-ELEVATOR,"{'latitude': '40.641033064985', 'longitude': '-74.024793769845', 'human_address': '{""address"": ""47 64 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00634-0036,1900.0,41.4,1900,1-00537-0037,0.3,44.0,7810000,5890000,,0.65,204.0,,38.5,GREENWICH VILLAGE-WEST,26892.0,C6-WALK-UP,"{'latitude': '40.728336716013', 'longitude': '-73.999514551612', 'human_address': '{""address"": ""151 BLEECKER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01183-0029,1917.0,29.7,1925,1-01162-0046,0.3,170.0,15900000,16300000,,0.15,139.0,,33.0,UPPER WEST SIDE (59-79),106920.0,D4-ELEVATOR,"{'latitude': '40.634636339275', 'longitude': '-74.02861742798', 'human_address': '{""address"": ""228 71 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00556-0044,1930.0,41.5,1921,1-00643-0001,0.3,279.0,10100000,30900000,1008977.0,1.15,204.0,40.732642,40.2,GREENWICH VILLAGE-CENTRAL,389376.0,D4-ELEVATOR,"{'latitude': '40.738630720876', 'longitude': '-74.009874393957', 'human_address': '{""address"": ""521 WEST STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00924-0013,1910.0,41.2,1920,1-00921-0039,0.15,26.0,3210000,2330000,,0.2,203.0,,35.0,KIPS BAY,14130.0,D4-ELEVATOR,"{'latitude': '40.6634135995', 'longitude': '-73.984930260423', 'human_address': '{""address"": ""348 15 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00626-0004,1910.0,38.6,1947,1-00618-0046,0.25,24.0,2130000,1750000,1011639.0,0.25,190.0,40.738418,37.5,GREENWICH VILLAGE-WEST,13000.0,C6-WALK-UP,"{'latitude': '40.605290763605', 'longitude': '-74.01090930841', 'human_address': '{""address"": ""213 13 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01948-0001,1910.0,23.86,1909,1-01906-0064,0.85,14.0,1570000,796000,,0.4,99.0,,23.86,HARLEM-CENTRAL,15972.0,C6-WALK-UP,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2031 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00348-0073,1920.0,20.49,1920,1-00282-0011,0.55,24.0,871000,528000,1004212.0,0.55,77.0,40.717598,20.45,LOWER EAST SIDE,11706.0,C6-WALK-UP,"{'latitude': '40.713152113395', 'longitude': '-73.993088976115', 'human_address': '{""address"": ""91 HENRY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01333-0023,1929.0,29.9,1930,1-01302-0033,3.7,310.0,46800000,64300000,1038647.0,0.45,139.0,40.747977,33.0,MIDTOWN EAST,297703.0,D4-ELEVATOR,"{'latitude': '40.754255176897', 'longitude': '-73.971905365313', 'human_address': '{""address"": ""760 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01889-0036,1923.0,22.42,1940,1-01891-0026,0.2,94.0,11200000,14600000,1057146.0,0.2,93.0,40.798941,22.0,UPPER WEST SIDE (96-116),118591.0,D4-ELEVATOR,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""915 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02243-0354,1953.0,15.93,1940,1-02250-0018,0.3,52.0,2310000,2390000,,0.05,54.0,,15.0,INWOOD,42933.0,D4-ELEVATOR,"{'latitude': '40.871850411595', 'longitude': '-73.919043459998', 'human_address': '{""address"": ""580 215 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00442-0021,1900.0,39.5,1920,1-00445-0018,0.6,26.0,2560000,2570000,,0.15,194.0,,37.1,EAST VILLAGE,14459.0,C6-WALK-UP,"{'latitude': '40.676889923516', 'longitude': '-73.993579732758', 'human_address': '{""address"": ""104 4 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00921-0019,1962.0,43.8,1965,1-00939-0038,0.4,201.0,33100000,30700000,,0.9,215.0,,38.0,KIPS BAY,142260.0,D4-ELEVATOR,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""340 34 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02239-0029,1920.0,13.1,1925,1-02239-0007,0.2,22.0,655000,480000,1064967.0,0.0,34.0,40.867505,13.0,INWOOD,18200.0,C6-WALK-UP,"{'latitude': '40.868046393264', 'longitude': '-73.925248538433', 'human_address': '{""address"": ""77 SEAMAN AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00621-0035,1960.0,40.3,1910,1-00589-0011,0.2,26.0,1390000,1740000,1011244.0,0.3,197.0,40.734871,38.3,GREENWICH VILLAGE-WEST,9293.0,C6-WALK-UP,"{'latitude': '40.731250519387', 'longitude': '-74.002572246512', 'human_address': '{""address"": ""32 CORNELIA STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00929-0001,1985.0,34.7,1970,1-00966-0001,0.2,707.0,119000000,61000000,1078824.0,0.55,144.0,40.737175,31.0,KIPS BAY,835279.0,D4-ELEVATOR,"{'latitude': '40.744146797288', 'longitude': '-73.973272334797', 'human_address': '{""address"": ""606 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01186-0048,1903.0,33.6,1926,1-01129-0059,0.65,149.0,22200000,23300000,1031111.0,0.5,157.0,40.784111,34.0,UPPER WEST SIDE (59-79),113309.0,D4-ELEVATOR,"{'latitude': '40.631611484358', 'longitude': '-74.035167641442', 'human_address': '{""address"": ""52 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00355-0039,1910.0,27.6,1920,1-00310-0004,0.15,17.0,799000,437000,1004328.0,0.4,114.0,40.721089,28.3,LOWER EAST SIDE,7350.0,C6-WALK-UP,"{'latitude': '40.716258821159', 'longitude': '-73.990314487252', 'human_address': '{""address"": ""40 LUDLOW STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01409-0032,1910.0,34.9,1915,1-01431-0038,1.0,20.0,1530000,1590000,,0.15,162.0,,36.0,UPPER EAST SIDE (59-79),9945.0,D4-ELEVATOR,"{'latitude': '40.630508050814', 'longitude': '-74.030573015348', 'human_address': '{""address"": ""216 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00773-0022,1959.0,36.5,1898,1-00767-0043,0.65,65.0,3030000,4100000,,0.3,170.0,,33.5,CHELSEA,46812.0,D0-ELEVATOR,"{'latitude': '40.740882258321', 'longitude': '-73.997985704162', 'human_address': '{""address"": ""128 7 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01460-0001,,29.9,1962,,1.15,,17800000,19000000,1045391.0,,139.0,40.763509,29.3,UPPER EAST SIDE (59-79),,D4-ELEVATOR,
1-01225-0023,1930.0,22.0,1936,1-01211-0052,1.25,38.0,3500000,4020000,,0.7,91.0,,22.0,UPPER WEST SIDE (79-96),37251.0,D4-ELEVATOR,"{'latitude': '40.628097061935', 'longitude': '-74.033908104011', 'human_address': '{""address"": ""158 81 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00614-0032,1905.0,43.4,1915,1-00619-0081,0.15,22.0,3530000,3090000,,0.2,213.0,,39.9,GREENWICH VILLAGE-WEST,10950.0,C6-WALK-UP,"{'latitude': '40.733462851579', 'longitude': '-74.003804317692', 'human_address': '{""address"": ""85 CHRISTOPHER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02033-0024,1910.0,16.01,1926,1-02051-0093,0.0,20.0,692000,434000,,0.3,54.0,,16.01,HARLEM-CENTRAL,12360.0,C6-WALK-UP,"{'latitude': '40.821623390112', 'longitude': '-73.94480879257', 'human_address': '{""address"": ""145 EDGECOMBE AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01603-0014,1920.0,34.1,1904,1-01602-0050,0.1,48.0,7600000,6640000,,0.1,159.0,,31.0,UPPER EAST SIDE (96-110),44184.0,D4-ELEVATOR,"{'latitude': '40.787673983506', 'longitude': '-73.953846978964', 'human_address': '{""address"": ""1391 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01324-0009,1967.0,29.7,1957,1-00927-0009,0.8,76.0,3760000,5510000,,1.45,138.0,,33.0,MIDTOWN EAST,44919.0,D4-ELEVATOR,"{'latitude': '40.659917760594', 'longitude': '-73.990991539616', 'human_address': '{""address"": ""311 21 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01497-0007,1923.0,27.4,1928,1-01391-0002,0.4,38.0,4170000,5880000,,0.45,113.0,,34.0,UPPER EAST SIDE (79-96),39030.0,D4-ELEVATOR,"{'latitude': '40.775329430265', 'longitude': '-73.964904228432', 'human_address': '{""address"": ""952 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01386-0006,1987.0,41.1,1948,1-01510-0020,0.9,61.0,16200000,11700000,,0.6,202.0,,31.0,UPPER EAST SIDE (59-79),78874.0,D4-ELEVATOR,"{'latitude': '40.776477424241', 'longitude': '-73.957777016232', 'human_address': '{""address"": ""1195 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02047-0001,1910.0,16.01,1910,1-02051-0093,0.3,20.0,692000,459000,,0.55,54.0,,16.01,HARLEM-CENTRAL,12360.0,C6-WALK-UP,"{'latitude': '40.821623390112', 'longitude': '-73.94480879257', 'human_address': '{""address"": ""145 EDGECOMBE AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01554-0013,1920.0,40.2,1915,1-01545-0031,0.45,20.0,1830000,1490000,,0.45,197.0,,33.0,UPPER EAST SIDE (79-96),9212.0,C6-WALK-UP,"{'latitude': '40.625409664131', 'longitude': '-74.029096073729', 'human_address': '{""address"": ""338 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01058-0026,1920.0,37.2,1901,1-01053-0012,0.15,20.0,1680000,1470000,,0.25,173.0,,31.0,CLINTON,9855.0,C6-WALK-UP,"{'latitude': '40.649745745118', 'longitude': '-74.007375750848', 'human_address': '{""address"": ""447 43 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01550-0045,1920.0,38.0,1957,1-01531-0028,0.55,40.0,8250000,7770000,,0.15,177.0,,34.0,UPPER EAST SIDE (79-96),54763.0,D4-ELEVATOR,"{'latitude': '40.623785539247', 'longitude': '-74.032539487879', 'human_address': '{""address"": ""244 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00348-0011,1900.0,32.5,1910,1-00285-0011,0.1,21.0,1250000,1080000,1004168.0,0.35,151.0,40.71905,32.3,LOWER EAST SIDE,8360.0,C6-WALK-UP,"{'latitude': '40.713605821173', 'longitude': '-73.987589541504', 'human_address': '{""address"": ""199 HENRY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01384-0069,,31.1,1927,,0.65,,10300000,13700000,1041322.0,,145.0,40.7709,39.0,UPPER EAST SIDE (59-79),,D4-ELEVATOR,
1-01446-0042,1931.0,65.0,1930,1-01438-0006,0.4,111.0,45600000,20300000,,0.4,321.0,,33.0,UPPER EAST SIDE (59-79),164567.0,D4-ELEVATOR,"{'latitude': '40.639820136466', 'longitude': '-74.021252210061', 'human_address': '{""address"": ""305 63 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01145-0061,1927.0,30.5,1913,1-01124-0059,0.6,213.0,15900000,17000000,1030038.0,0.2,142.0,40.779579,32.0,UPPER WEST SIDE (59-79),143791.0,D4-ELEVATOR,"{'latitude': '40.6354694992', 'longitude': '-74.03531367271', 'human_address': '{""address"": ""50 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00916-0023,1928.0,49.7,1963,1-00894-0052,0.2,140.0,17300000,13000000,,0.2,243.0,,34.0,MURRAY HILL,90871.0,D4-ELEVATOR,"{'latitude': '40.65592025491', 'longitude': '-74.011603159258', 'human_address': '{""address"": ""150 39 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01310-0059,1957.0,26.1,1962,1-01309-0050,0.6,200.0,20700000,20200000,,0.1,109.0,,26.0,MIDTOWN CBD,204269.0,D4-ELEVATOR,"{'latitude': '40.646696794034', 'longitude': '-74.020555585681', 'human_address': '{""address"": ""136 55 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02157-0042,1922.0,13.64,1923,1-02170-0356,0.05,42.0,945000,852000,,0.35,42.5,,14.0,WASHINGTON HEIGHTS UPPER,35470.0,C6-WALK-UP,"{'latitude': '40.857308488234', 'longitude': '-73.929916019765', 'human_address': '{""address"": ""96 WADSWORTH TERRACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00387-0015,1900.0,28.3,1900,1-00399-0026,0.4,31.0,1880000,1050000,,0.1,117.0,,27.6,ALPHABET CITY,18690.0,C6-WALK-UP,"{'latitude': '40.672559667481', 'longitude': '-73.984612529007', 'human_address': '{""address"": ""234 4 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01836-0036,1900.0,15.74,1929,1-01843-0020,0.15,81.0,6160000,7250000,1000000.0,0.35,53.0,40.782295,19.29,MANHATTAN VALLEY,75164.0,D4-ELEVATOR,"{'latitude': '40.799643959716', 'longitude': '-73.960744778929', 'human_address': '{""address"": ""152 MANHATTAN AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01217-0006,1926.0,22.0,1914,1-01210-0012,0.4,61.0,7830000,8630000,,0.35,91.0,,25.0,UPPER WEST SIDE (79-96),76193.0,D4-ELEVATOR,"{'latitude': '40.629612150649', 'longitude': '-74.033321842043', 'human_address': '{""address"": ""147 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00143-0021,1939.0,34.9,1931,1-00882-0028,0.85,77.0,8290000,8750000,1001553.0,2.15,163.0,40.717939,33.7,TRIBECA,52092.0,D4-ELEVATOR,"{'latitude': '40.74175460069', 'longitude': '-73.983128904238', 'human_address': '{""address"": ""95 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00515-0031,1920.0,30.4,1910,1-00506-0016,0.15,86.0,5510000,10700000,1008015.0,0.25,142.0,40.725825,40.0,SOHO,44256.0,D0-ELEVATOR,"{'latitude': '40.727057891887', 'longitude': '-74.004897077844', 'human_address': '{""address"": ""30 CHARLTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00904-0029,1905.0,36.1,1950,1-00905-0042,0.2,38.0,4780000,4120000,1078776.0,0.05,168.0,40.738249,35.0,GRAMERCY,17364.0,C6-WALK-UP,"{'latitude': '40.599601375349', 'longitude': '-74.002292784112', 'human_address': '{""address"": ""230 25 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00507-0018,1900.0,26.6,1920,1-00494-0039,0.3,16.0,825000,813000,1007859.0,0.15,110.0,40.723802,26.0,LITTLE ITALY,7330.0,C6-WALK-UP,"{'latitude': '40.721780658419', 'longitude': '-73.995827331292', 'human_address': '{""address"": ""37 SPRING STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00498-0005,1920.0,36.2,1900,1-00504-0031,0.35,60.0,7470000,10000000,1007573.0,0.25,169.0,40.724013,40.0,SOHO,38880.0,D0-ELEVATOR,"{'latitude': '40.725890560093', 'longitude': '-74.00282405668', 'human_address': '{""address"": ""112 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00485-0022,1920.0,36.2,1900,1-00504-0031,0.35,60.0,7470000,4480000,1007267.0,0.25,169.0,40.723132,35.0,SOHO,38880.0,D0-ELEVATOR,"{'latitude': '40.725890560093', 'longitude': '-74.00282405668', 'human_address': '{""address"": ""112 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01443-0011,1931.0,65.0,1928,1-01438-0006,0.25,111.0,45600000,20300000,,0.25,321.0,,32.9,UPPER EAST SIDE (59-79),164567.0,D4-ELEVATOR,"{'latitude': '40.639820136466', 'longitude': '-74.021252210061', 'human_address': '{""address"": ""305 63 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00064-0008,1926.0,36.9,1911,1-00077-0001,0.15,164.0,27300000,27900000,1001084.0,0.15,172.0,40.708642,35.8,FINANCIAL,160000.0,D4-ELEVATOR,"{'latitude': '40.708335794081', 'longitude': '-74.006673154965', 'human_address': '{""address"": ""87 JOHN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01119-0050,1900.0,40.1,1917,1-01241-0046,0.9,68.0,18700000,14500000,,1.4,197.0,,37.0,UPPER WEST SIDE (59-79),62280.0,D4-ELEVATOR,"{'latitude': '40.793150854664', 'longitude': '-73.97275072802', 'human_address': '{""address"": ""2512 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00803-0014,1939.0,30.4,1910,1-00882-0028,0.3,77.0,5860000,2790000,,0.6,141.0,,30.0,CHELSEA,52092.0,D0-ELEVATOR,"{'latitude': '40.74175460069', 'longitude': '-73.983128904238', 'human_address': '{""address"": ""95 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00885-0074,1900.0,33.5,1900,1-00740-0011,0.8,15.0,1540000,1050000,,1.05,156.0,,32.7,MURRAY HILL,8590.0,C6-WALK-UP,"{'latitude': '40.662559033733', 'longitude': '-73.984791855166', 'human_address': '{""address"": ""345 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00575-0057,,39.0,1923,,0.35,,5110000,9570000,,,191.0,,38.2,GREENWICH VILLAGE-CENTRAL,,D4-ELEVATOR,
