queens_condominium_property_boro_block_lot,latitude,longitude,queens_condominium_property_year_built,_comparable_rental_1_boro_block_lot,borough,comparable_rental_2_dist_from_coop_in_miles,queens_condominium_property_building_classification,bin,comparable_rental_2_year_built,comparable_rental_1_building_classification
4-05125-7501,,,1965,4-04256-0030,4,0.05,R2-WALK-UP,,1991.0,C1-WALK-UP
4-05186-7501,40.754306,-73.823295,1938,4-05182-0015,4,0.05,R9-CONDOPS,4117147.0,1932.0,D1-ELEVATOR
4-01775-7504,40.750799,-73.861648,2006,4-00040-0015,4,3.05,R2-WALK-UP,4536911.0,2005.0,D9-ELEVATOR
4-01527-7504,40.74238,-73.883091,2003,4-01561-0025,4,2.0,R4-ELEVATOR,4530148.0,2001.0,D7-ELEVATOR
4-02075-7501,40.732482,-73.867842,1985,4-02098-0018,4,3.2,R4-ELEVATOR,4071942.0,1999.0,D1-ELEVATOR
4-01855-7501,40.73797,-73.8735,1964,4-01519-0028,4,0.45,R4-ELEVATOR,4530770.0,1965.0,D1-ELEVATOR
4-00577-7501,40.766515,-73.923914,1963,4-00567-0007,4,0.05,R4-ELEVATOR,4006953.0,1963.0,D9-ELEVATOR
4-05102-7502,40.753385,-73.831602,2005,4-04977-0017,4,0.45,R4-ELEVATOR,4534923.0,1999.0,D6-ELEVATOR
4-01527-7503,40.742382,-73.883091,2002,4-01561-0025,4,0.3,R4-ELEVATOR,4540122.0,1963.0,D7-ELEVATOR
4-03637-7501,40.701703,-73.894876,0,4-03874-0078,4,1.85,R4-ELEVATOR,4436539.0,1950.0,C9-WALK-UP
4-02313-7501,40.741828,-73.907281,1998,4-02324-0035,4,4.35,R9-CONDOPS,4454475.0,2000.0,D9-ELEVATOR
4-09832-7501,40.710457,-73.786652,2006,4-09760-0022,4,3.7,R2-WALK-UP,4535148.0,2001.0,D6-ELEVATOR
4-03115-7501,40.72182,-73.866864,1952,4-03155-0027,4,0.5,R4-ELEVATOR,4449369.0,1950.0,D3-ELEVATOR
4-03169-7501,40.724366,-73.854127,1941,4-03155-0027,4,0.65,R4-ELEVATOR,4075094.0,1941.0,D3-ELEVATOR
4-01267-7501,40.751619,-73.886352,1942,4-01261-0035,4,0.2,R4-ELEVATOR,4029191.0,1949.0,D1-ELEVATOR
4-04977-7501,40.761981,-73.829332,1983,4-05182-0009,4,0.55,R4-ELEVATOR,4112390.0,1972.0,D1-ELEVATOR
4-05180-7502,40.75722,-73.82468,1990,4-05145-0049,4,0.2,R4-ELEVATOR,4116933.0,1962.0,D7-ELEVATOR
4-00676-7501,40.592387,-73.772609,2005,4-00531-0059,4,0.9,R4-ELEVATOR,,2002.0,D6-ELEVATOR
4-05027-7501,40.762656,-73.818219,1987,4-05025-0064,4,0.5,R2-WALK-UP,4309374.0,1987.0,D1-ELEVATOR
4-05387-7501,40.759995,-73.808758,1987,4-04994-0041,4,1.1,R4-ELEVATOR,,1963.0,D7-ELEVATOR
4-02858-7501,40.73306,-73.87417,1987,4-01505-0076,4,2.25,R4-ELEVATOR,4064886.0,1964.0,D1-ELEVATOR
4-05192-7501,40.754058,-73.822512,2005,4-03169-0021,4,0.75,R4-ELEVATOR,4534925.0,2000.0,D3-ELEVATOR
4-05051-7501,40.759827,-73.820605,1990,4-04994-0041,4,0.45,R4-ELEVATOR,4436541.0,1996.0,D7-ELEVATOR
4-05315-7501,40.763488,-73.789287,1986,4-07117-0189,4,3.2,R4-ELEVATOR,4309870.0,1962.0,D7-ELEVATOR
4-01857-7501,40.736835,-73.872607,2004,4-01561-0025,4,0.1,R4-ELEVATOR,4045951.0,1975.0,D7-ELEVATOR
4-05022-7503,40.762561,-73.822522,2007,4-04977-0017,4,4.1,R4-ELEVATOR,4537242.0,2003.0,D6-ELEVATOR
4-05598-7501,,,1982,4-04995-0024,4,3.2,R2-WALK-UP,,1977.0,C1-WALK-UP
4-02090-7501,40.730552,-73.860186,1992,4-02098-0018,4,3.1,R4-ELEVATOR,4312030.0,1999.0,D1-ELEVATOR
4-03097-7503,40.72713,-73.861214,1961,4-03087-0021,4,0.3,R4-ELEVATOR,4072550.0,1957.0,D3-ELEVATOR
4-02476-7501,40.73661,-73.880406,1962,4-02474-0022,4,0.65,R4-ELEVATOR,4057301.0,1962.0,D1-ELEVATOR
4-00946-7501,40.771628,-73.89208,1929,4-01272-0025,4,1.65,R2-WALK-UP,4430192.0,1922.0,C1-WALK-UP
4-03159-7501,40.727579,-73.85543,1939,4-03080-0001,4,0.5,R4-ELEVATOR,4074783.0,1941.0,D1-ELEVATOR
4-05192-7503,40.754342,-73.821364,2005,4-04977-0017,4,3.5,R4-ELEVATOR,4117233.0,2003.0,D6-ELEVATOR
4-01540-7501,40.73779,-73.88268,2006,4-00531-0060,4,4.05,R4-ELEVATOR,4535031.0,2007.0,D1-ELEVATOR
4-00579-7502,40.765584,-73.926139,1950,4-00571-0001,4,0.3,R4-ELEVATOR,4311892.0,1963.0,D1-ELEVATOR
4-04956-7501,40.764198,-73.828799,1987,4-04954-0131,4,0.15,R4-ELEVATOR,,1987.0,D1-ELEVATOR
4-05024-7504,40.763508,-73.819025,2002,4-05182-0009,4,2.4,R4-ELEVATOR,4000000.0,2000.0,D1-ELEVATOR
4-01492-7501,40.745916,-73.884193,1987,4-01505-0076,4,0.0,R4-ELEVATOR,4307358.0,1963.0,D1-ELEVATOR
4-01837-7501,40.739185,-73.875302,1959,4-01251-0030,4,1.0,R4-ELEVATOR,4045238.0,1950.0,D1-ELEVATOR
4-02756-7501,40.718012,-73.900998,1987,4-02004-0043,4,3.85,R4-ELEVATOR,4307993.0,1996.0,D1-ELEVATOR
4-16233-7501,,,1986,4-16226-0074,4,5.2,R9-CONDOPS,,1981.0,D1-ELEVATOR
4-05024-7503,40.763433,-73.820047,1989,4-04994-0041,4,0.05,R4-ELEVATOR,4113674.0,1963.0,D7-ELEVATOR
4-05192-7502,40.754124,-73.822415,2006,4-04977-0017,4,3.5,R4-ELEVATOR,4535115.0,2003.0,D6-ELEVATOR
4-01518-7502,40.742664,-73.881647,1932,4-01525-0030,4,0.2,R9-CONDOPS,4311947.0,1956.0,D1-ELEVATOR
4-00946-7501,40.772066,-73.891202,1929,4-01272-0025,4,1.6,R2-WALK-UP,4021013.0,1922.0,C1-WALK-UP
4-00159-7502,40.746741,-73.921764,1936,4-00160-0009,4,0.2,R4-ELEVATOR,4001835.0,1931.0,D7-ELEVATOR
4-05004-7502,40.766189,-73.820599,2003,4-09760-0022,4,0.55,R4-ELEVATOR,4529628.0,2000.0,D6-ELEVATOR
4-05040-7501,40.754801,-73.832822,2004,4-04977-0021,4,3.9,R4-ELEVATOR,4114205.0,2003.0,D1-ELEVATOR
4-09245-7501,40.706998,-73.827078,1982,4-01606-0052,4,4.2,R2-WALK-UP,4193155.0,1976.0,C1-WALK-UP
4-05186-7504,40.75463,-73.822991,2007,4-04977-0017,4,2.7,R4-ELEVATOR,4537246.0,2001.0,D6-ELEVATOR
4-04970-7501,40.743742,-73.825647,2003,4-04977-0017,4,4.25,R4-ELEVATOR,4140175.0,2003.0,D6-ELEVATOR
4-00570-7502,40.766573,-73.928232,2008,4-00021-0060,4,0.25,R4-ELEVATOR,4540106.0,2002.0,D8-ELEVATOR
4-04954-7501,40.768559,-73.826723,2007,4-04977-0017,4,4.6,R4-ELEVATOR,4112061.0,2003.0,D6-ELEVATOR
4-04516-7501,40.790933,-73.813732,2006,4-00531-0060,4,2.1,R2-WALK-UP,4534593.0,1964.0,D1-ELEVATOR
4-03171-7501,40.725583,-73.853363,1941,4-02214-0040,4,0.65,R4-ELEVATOR,4075150.0,1936.0,D1-ELEVATOR
4-09177-7501,40.698233,-73.848086,1959,4-09181-0026,4,0.15,R2-WALK-UP,4312522.0,1931.0,C1-WALK-UP
4-05105-7501,40.75248,-73.831933,1987,4-04995-0024,4,0.15,R4-ELEVATOR,4309785.0,1991.0,C1-WALK-UP
4-01766-7501,40.749972,-73.86549,0,4-00531-0060,4,1.95,R4-ELEVATOR,4536914.0,2001.0,D1-ELEVATOR
4-05020-7502,40.761777,-73.82652,2001,4-05182-0009,4,0.2,R4-ELEVATOR,4467623.0,2000.0,D1-ELEVATOR
4-01336-7501,40.744648,-73.902723,1992,4-01376-0032,4,0.3,R2-WALK-UP,4031453.0,1928.0,C1-WALK-UP
4-04981-7501,40.76654,-73.826956,1967,4-04981-0050,4,0.5,R4-ELEVATOR,4112574.0,1963.0,D1-ELEVATOR
4-00161-7501,40.744302,-73.919432,1936,4-00160-0018,4,0.1,R9-CONDOPS,4435590.0,1930.0,D1-ELEVATOR
4-05893-7501,40.779083,-73.781518,1983,4-05865-0112,4,0.35,R4-ELEVATOR,4131229.0,1973.0,D3-ELEVATOR
4-03354-7501,40.709608,-73.828723,1923,4-03353-0001,4,0.2,R4-ELEVATOR,4080123.0,1936.0,D3-ELEVATOR
4-07353-7501,40.7534,-73.778379,1950,4-12311-0050,4,3.95,R2-WALK-UP,4312456.0,1965.0,C9-WALK-UP
4-05134-7501,40.756781,-73.826501,1985,4-05145-0049,4,0.7,R4-ELEVATOR,4115673.0,1987.0,D7-ELEVATOR
4-00504-7501,40.769879,-73.934832,2006,4-00884-0012,4,0.25,R4-ELEVATOR,4000000.0,2001.0,D1-ELEVATOR
4-01505-7501,40.745974,-73.882388,1937,4-01504-0080,4,0.05,R4-ELEVATOR,4037178.0,1939.0,D1-ELEVATOR
