queens_condominium_property_condo_section,queens_condominium_property_boro_block_lot,comparable_rental_2_gross_sqft,comparable_rental_1_gross_sqft,comparable_rental_1_market_value_per_sqft,queens_condominium_property_total_units,queens_condominium_property_gross_sqft,nta
401-R1,4-05042-7504,67324.0,54496,111.0,58,83284,Flushing                                                                   
157-R1,4-05043-7501,58282.0,58399,45.0,103,92000,Flushing                                                                   
586-R1,4-00047-7502,22662.0,46333,105.0,23,36875,Hunters Point-Sunnyside-West Maspeth                                       
614-R1,4-06801-7504,54496.0,52477,104.0,14,14514,Pomonok-Flushing Heights-Hillcrest                                         
293-R1,4-03292-7501,72800.0,75084,54.0,69,71210,Forest Hills                                                               
316-R1,4-05005-7501,51125.0,53860,66.0,84,66756,Murray Hill                                                                
481-R1,4-05281-7501,62954.0,87978,49.9,70,53175,Murray Hill                                                                
30-R1,4-01536-7501,89772.0,42924,54.0,75,105000,Elmhurst-Maspeth                                                           
490-R1,4-00541-7501,25920.0,22662,101.0,18,18833,Old Astoria                                                                
14-R1,4-06713-7501,263883.0,235016,35.4,458,454660,Kew Gardens Hills                                                          
501-R1,4-05193-7502,54496.0,52477,104.0,24,62800,Flushing                                                                   
146-R1,4-05390-7501,19836.0,19489,54.0,20,18010,East Flushing                                                              
203-R1,4-02500-7501,16900.0,57600,93.0,12,11782,Maspeth                                                                    
606-R1,4-09828-7501,46333.0,54496,111.0,55,60600,Jamaica                                                                    
484-R1,4-00082-7501,33078.0,53000,70.0,237,310173,Hunters Point-Sunnyside-West Maspeth                                       
98-R1,4-01842-7501,108120.0,18000,42.2,100,104150,Elmhurst                                                                   
558-R1,4-00030-7501,,460000,79.0,121,113450,Hunters Point-Sunnyside-West Maspeth                                       
467-R1,4-16226-7501,54496.0,55628,70.0,93,74400,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
33-R1,4-01536-7502,89772.0,42924,54.0,22,27450,Elmhurst-Maspeth                                                           
73-R1,4-01010-7501,52040.0,180804,41.9,257,254910,Steinway                                                                   
172-R1,4-02186-7501,72000.0,75246,40.8,20,22736,Forest Hills                                                               
607-R1,4-00061-7501,46333.0,460000,79.0,72,80874,Hunters Point-Sunnyside-West Maspeth                                       
611-R1,4-06801-7503,54496.0,52477,104.0,42,66085,Pomonok-Flushing Heights-Hillcrest                                         
64-R1,4-01433-7501,83238.0,80754,56.0,89,73800,Jackson Heights                                                            
262-R1,4-03102-7501,57600.0,66962,56.0,78,67502,
63-R1,4-03340-7501,72800.0,73020,68.0,95,84954,Forest Hills                                                               
483-R1,4-01337-7502,24464.0,29636,76.0,24,20298,Woodside                                                                   
654-R1,4-06283-7502,22662.0,24464,106.0,11,17287,Bayside-Bayside Hills                                                      
580-R1,4-05186-7503,54496.0,52477,104.0,21,26892,Flushing                                                                   
492-R1,4-05374-7501,53860.0,52477,104.0,20,16385,East Flushing                                                              
226-R1,4-03667-7501,12304.0,9053,51.0,12,9969,Middle Village                                                             
403-R1,4-05193-7501,71456.0,53860,66.0,23,16383,Flushing                                                                   
655-R1,4-00660-7501,22662.0,46333,105.0,13,9767,Astoria                                                                    
229-R1,4-02082-7501,66962.0,239000,33.6,206,190498,Rego Park                                                                  
74-R1,4-04672-7501,33000.0,19188,33.2,20,14950,Whitestone                                                                 
536-R1,4-05181-7501,54496.0,52477,104.0,14,15229,Flushing                                                                   
