longitude,nta,nocrim_n,school_year,register,nypd_site_code,latitude-schools_in_building
-73.888267,Belmont                                                                    ,50.0,2016 - 17,2397.0,1402.0,"40.860043-Kingsbridge International High School |  International School for Liberal Arts |  High School for Teaching and the Professions |  Celia Cruz Bronx High School of Music, The |  Walton Yabc |  Discovery High School |  2780 RESERVOIR AVENUE CONSOLIDATED LOCATION"
-73.920711,Bushwick North                                                             ,3.0,2016 - 17,258.0,1399.0,40.698021-P.S. 371 - Lillian L. Rashkis
-73.939407,Bushwick South                                                             ,,2016 - 17,318.0,92.0,40.705204-P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION
-73.881114,Starrett City                                                              ,,2016 - 17,324.0,190.0,40.64726-P.S. 346 Abe Stark |  Frederick Douglass Academy VIII Middle School |  1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION
-73.967574,Upper West Side                                                            ,1.0,2016 - 17,806.0,586.0,40.789526-P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION
-73.927794,Crown Heights North                                                        ,,2016 - 17,281.0,154.0,40.674656-P.S. 335 Granville T. Woods |  M.S. 584 |  130 ROCHESTER AVENUE CONSOLIDATED LOCATION
-73.984753,Lincoln Square                                                             ,,2016 - 17,408.0,537.0,"40.774351-High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION"
-73.959779,Homecrest                                                                  ,,2016 - 17,657.0,95.0,40.601617-School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION
-73.957138,Erasmus                                                                    ,0.0,2016 - 17,738.0,199.0,40.64859-P.S. 006
-73.856167,Soundview-Castle Hill-Clason Point-Harding Park                            ,,2016 - 17,323.0,527.0,40.82229-Pablo Neruda Academy|Millennium Art Academy|Antonia Pantoja Preparatory Academy: A College Boa|Bronx Community High School|BRONX BRIDGES HIGH SCHOOL|Bronx Guild|Stevenson Yabc|Bronx Compass High School|1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION
-73.955611,Williamsburg                                                               ,0.0,2016 - 17,285.0,142.0,40.705898-The Maurice Sendak Community School
-73.933114,East Flatbush-Farragut                                                     ,0.0,2016 - 17,698.0,231.0,40.65364-P.S. 132 The Conselyea School
-73.908194,Brownsville                                                                ,,2016 - 17,218.0,182.0,40.670986-P.S. 298 Dr. Betty Shabazz |  Brownsville Collaborative Middle School |  85 WATKINS STREET CONSOLIDATED LOCATION
-73.942143,Washington Heights South                                                   ,3.0,2016 - 17,1046.0,661.0,40.831227-Marta Valle High School |  Lower East Side Preparatory High School |  School for Global Leaders |145 STANTON STREET CONSOLIDATED LOCATION
-73.947152,Bedford                                                                    ,23.0,2016 - 17,926.0,193.0,40.685004-Boys and Girls High School |  Research and Service High School | NELSON MANDELA HIGH SCHOOL |1700 FULTON STREET CONSOLIDATED LOCATION
-73.924835,Marble Hill-Inwood                                                         ,1.0,2016 - 17,247.0,581.0,40.866053-P.S. 050 Vito Marcantonio I NY Center for Autism Charter School |433 East 100 Street
-74.001377,Carroll Gardens-Columbia Street-Red Hook                                   ,2.0,2016 - 17,1333.0,234.0,40.68007-P.S. 146 |  Brooklyn Secondary School for Collaborative Studie |  610 HENRY STREET CONSOLIDATED LOCATION
-73.976855,Upper West Side                                                            ,,2016 - 17,551.0,559.0,40.780822-M.S. M245 The Computer School |  The Anderson School |  P.S. 452 |  100 WEST  77 STREET CONSOLIDATED LOCATION
-73.868328,park-cemetery-etc-Brooklyn                                                 ,,2016 - 17,230.0,315.0,40.691146-Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION
-73.915263,Bushwick South                                                             ,,2016 - 17,375.0,195.0,40.694018-P.S. 377 Alejandrina B. De Gautier|ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL(BN)|200 WOODBINE STREET CONSOLIDATED LOCATION
-73.957482,Morningside Heights                                                        ,1.0,2016 - 17,350.0,578.0,40.81027-P.S. 034 Franklin D. Roosevelt
-73.946845,Hamilton Heights                                                           ,0.0,2016 - 17,588.0,1054.0,40.826295-P.S. 152 Dyckman Valley
-73.952908,Manhattanville                                                             ,,2016 - 17,598.0,1065.0,40.815458-I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION
-73.877785,West Farms-Bronx River                                                     ,17.0,2016 - 17,1671.0,529.0,40.831416-Pan American International High School at Monroe|The Metropolitan Soundview High School|High School of World Cultures|Monroe Academy for Visual Arts & Design|1300 BOYNTON AVENUE CONSOLIDATED LOCATION 
-73.939407,Bushwick South                                                             ,3.0,2016 - 17,712.0,92.0,40.705204-P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION
-74.017818,Battery Park City-Lower Manhattan                                          ,1.0,2016 - 17,563.0,546.0,40.70644-Washington Heights Academy
-73.943652,Stuyvesant Heights                                                         ,1.0,2016 - 17,686.0,209.0,40.696733-P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION
-74.005166,Carroll Gardens-Columbia Street-Red Hook                                   ,,2016 - 17,327.0,1057.0,40.677564-Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION
-73.886215,Middle Village                                                             ,0.0,2016 - 17,388.0,1209.0,40.715344-P.S. 242 Leonard P. Stavisky Early Childhood Schoo
-73.967203,Turtle Bay-East Midtown                                                    ,5.0,2016 - 17,2697.0,1063.0,40.75924-Fiorello H. LaGuardia High School of Music & Art a
-73.966046,Flatbush                                                                   ,0.0,2016 - 17,850.0,278.0,40.64971-P.S. 247 Brooklyn
-73.932407,Crown Heights North                                                        ,,2016 - 17,265.0,193.0,40.67944-Boys and Girls High School |  Research and Service High School | NELSON MANDELA HIGH SCHOOL |1700 FULTON STREET CONSOLIDATED LOCATION
-73.965613,Morningside Heights                                                        ,6.0,2016 - 17,246.0,613.0,40.802917-M.S. 328 - Manhattan Middle School for Scientific |  401 WEST 164 STREET CONSOLIDATED LOCATION
-73.986015,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,2016 - 17,449.0,148.0,"40.694926-George Westinghouse Career and Technical Education|City Polytechnic High School of Engineering, Archi|105 TECH PLACE CONSOLIDATED LOCATION"
-73.961695,Crown Heights South                                                        ,,2016 - 17,420.0,140.0,40.670349-International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION
-73.947712,Central Harlem North-Polo Grounds                                          ,3.0,2016 - 17,354.0,658.0,40.817372-P.S. 134 Henrietta Szold |  293 EAST BROADWAY CONSOLIDATED LOCATION
-73.887023,East New York                                                              ,0.0,2016 - 17,201.0,1140.0,40.660134-P.S. 326
-73.94756,Bedford                                                                    ,,2016 - 17,321.0,59.0,40.69407-P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION
-73.979287,Park Slope-Gowanus                                                         ,,2016 - 17,421.0,138.0,40.669629-Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION
-73.940941,Central Harlem North-Polo Grounds                                          ,,2016 - 17,281.0,626.0,40.821535-P.S. 192 Jacob H. Schiff| Hamilton Grange Middle School| P.S. 325| 500 WEST 138 STREET CONSOLIDATED LOCATION
-73.986381,East Village                                                               ,0.0,2016 - 17,1012.0,663.0,40.724117-The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION
-73.995087,Chinatown                                                                  ,9.0,2016 - 17,518.0,556.0,40.714201-P.S. 123 Mahalia Jackson I Success Academy Charter School Harlem 5
-73.983031,Gramercy                                                                   ,,2016 - 17,411.0,539.0,40.732447-The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION
-73.949251,Central Harlem South                                                       ,0.0,2016 - 17,277.0,620.0,40.798511-Professor Juan Bosch Public School
-73.977642,Kensington-Ocean Parkway                                                   ,6.0,2016 - 17,370.0,244.0,40.640463-P.S. 178 Saint Clair Mckelway
-73.976497,Park Slope-Gowanus                                                         ,,2016 - 17,166.0,298.0,40.678983-P.S. K077 |  M.S. K266 - Park Place Community Middle School |  M.S. K266 - Park Place Community Middle School
-73.923948,Marble Hill-Inwood                                                         ,1.0,2016 - 17,703.0,545.0,40.866706-P.S. 173 |  Harbor Heights |  306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION
-73.98027,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,2016 - 17,522.0,1226.0,40.683559-The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION
-73.942458,Prospect Lefferts Gardens-Wingate                                          ,17.0,2016 - 17,1956.0,184.0,"40.658893-Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION"
-73.911499,Brownsville                                                                ,1.0,2016 - 17,682.0,44.0,40.668856-P.S. 109
-73.993092,Chinatown                                                                  ,,2016 - 17,457.0,1275.0,40.716553-M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION
-73.944538,East Harlem South                                                          ,3.0,2016 - 17,1128.0,692.0,40.788952-M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION
-73.845091,Forest Hills                                                               ,1.0,2016 - 17,508.0,1266.0,40.725098-SPRUCE STREET SCHOOL
-73.937696,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,,2016 - 17,434.0,10.0,40.594124-Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION
-73.9955,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,2016 - 17,386.0,637.0,40.739178-Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School |  26 BROADWAY CONSOLIDATED LOCATION
-73.907948,Morrisania-Melrose                                                         ,,2016 - 17,389.0,399.0,40.823289-P.S. / I.S. 224 |  International Community High School |  Academy of Applied Mathematics and Technology |  345 BROOK AVENUE CONSOLIDATED LOCATION
-73.934635,Crown Heights North                                                        ,0.0,2016 - 17,471.0,22.0,40.669001-New Bridges Elementary|  1025 EASTERN PARKWAY CONSOLIDATED LOCATION
-73.907972,University Heights-Morris Heights                                          ,1.0,2016 - 17,1094.0,444.0,40.858103-The Family School |  Sheridan Academy for Young Leaders |  1116 SHERIDAN AVENUE CONSOLIDATED LOCATION
-73.892022,Canarsie                                                                   ,3.0,2016 - 17,322.0,131.0,40.647323-I.S. 364 Gateway
,,2.0,2016 - 17,1428.0,218.0,nan-P.S. 102 The Bayview
-73.927794,Crown Heights North                                                        ,,2016 - 17,78.0,154.0,40.674656-P.S. 335 Granville T. Woods |  M.S. 584 |  130 ROCHESTER AVENUE CONSOLIDATED LOCATION
-73.945229,Bedford                                                                    ,1.0,2016 - 17,317.0,28.0,40.686076-Brighter Choice Community School |  280 HART STREET CONSOLIDATED LOCATION
-73.919777,Bushwick North                                                             ,2.0,2016 - 17,584.0,299.0,40.697781-P.S. 380 John Wayne Elementary
-73.949381,East Harlem South                                                          ,,2016 - 17,427.0,575.0,40.793763-Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION
-73.990895,Chinatown                                                                  ,1.0,2016 - 17,699.0,682.0,40.715905-P.S. 041 Greenwich Village
-73.956329,Brighton Beach                                                             ,2.0,2016 - 17,976.0,165.0,40.579737-P.S. K225 - The Eileen E. Zaglin |  P.S. K771 |  1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION
-73.947809,Bedford                                                                    ,4.0,2016 - 17,325.0,182.0,40.697781-Evergreen Middle School for Urban Exploration
-73.962071,Brighton Beach                                                             ,,2016 - 17,434.0,280.0,40.579607-Middle School for Art and Philosophy|  KINGS COLLEGIATE CHARTER SCHOOL(BS)|  1084 LENOX ROAD CONSOLIDATED LOCATION
-73.929076,Prospect Lefferts Gardens-Wingate                                          ,3.0,2016 - 17,900.0,166.0,40.65843-East Flatbush Community Research School |  Arts & Media Preparatory Academy |  Middle School of Marketing and Legal Studies |  905 WINTHROP STREET CONSOLIDATED LOCATION
-73.907015,Mott Haven-Port Morris                                                     ,22.0,2016 - 17,864.0,448.0,40.810803-School for Tourism and Hospitality |New Visions Charter HS for Advanced Match and Science II |900 TINTON AVENUE CONSOLIDATED LOCATION 
-73.960275,North Side-South Side                                                      ,2.0,2016 - 17,268.0,19.0,40.711704-J.H.S. 050 John D. Wells
-73.968769,Fort Greene                                                                ,6.0,2016 - 17,240.0,80.0,40.682533-P.S. K753 - School for Career Development
-73.91287,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,1.0,2016 - 17,934.0,78.0,40.621224-J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION
,,3.0,2016 - 17,462.0,37.0,nan-P.S. 279 Herman Schreiber
-73.935688,Crown Heights North                                                        ,5.0,2016 - 17,226.0,,40.676094-Olympus Academy 755 East 100 Street
-73.943641,East Williamsburg                                                          ,,2016 - 17,244.0,207.0,"40.709941-Brooklyn Latin School, The |  Green School: An Academy for Environmental Careers |  Lyons Community School 223 GRAHAM AVENUE CONSOLIDATED LOCATION"
-73.945123,Central Harlem North-Polo Grounds                                          ,1.0,2016 - 17,1808.0,1069.0,40.815016-M.S. 319 - Maria Teresa| M.S. 324 - Patria Mirabal| KIPP Washington Heights Middle School| 21 JUMEL PLACE CONSOLIDATED LOCATION
-73.881114,Starrett City                                                              ,2.0,2016 - 17,639.0,128.0,40.64726-P.S. 345 Patrolman Robert Bolden
-73.945446,Bedford                                                                    ,,2016 - 17,293.0,284.0,40.681572-P.S. K140|Leadership Prep Bedford Stuyvesant Charter School|141 MACON STREET CONSOLIDATED LOCATION
-73.907245,Brownsville                                                                ,,2016 - 17,200.0,25.0,40.656068-Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION
-73.984661,Bensonhurst East                                                           ,4.0,2016 - 17,1090.0,304.0,40.60754-IS 096 Seth Low|  Success Academy Charter School| 99 AVENUE P CONSOLIDTED LOCATION
-73.885387,East New York                                                              ,2.0,2016 - 17,371.0,240.0,40.66011-P.S. 165 Ida Posner
-73.940002,Bushwick South                                                             ,,2016 - 17,357.0,251.0,40.708723-P.S. 196 Ten Eyck |  M.S. 582 |  207 BUSHWICK AVENUE CONSOLIDATED LOCATION
-73.925313,Mott Haven-Port Morris                                                     ,2.0,2016 - 17,880.0,342.0,40.813641-M.S. 180 Dr. Daniel Hale Williams
-73.97618,Windsor Terrace                                                            ,0.0,2016 - 17,536.0,1196.0,40.657472-P.S. 153 Homecrest
-73.906552,Brownsville                                                                ,2.0,2016 - 17,802.0,1100.0,40.672462-PS/IS 30 Mary White Ovington
-73.930868,East Harlem North                                                          ,0.0,2016 - 17,884.0,560.0,40.797467-P.S. 199 Jessie Isador Straus
-73.85658,Soundview-Castle Hill-Clason Point-Harding Park                            ,0.0,2016 - 17,276.0,1026.0,40.814833-P.S. 170 | 1598 Townsend Avenue
-73.942458,Prospect Lefferts Gardens-Wingate                                          ,,2016 - 17,246.0,149.0,"40.658893-School for Human Rights, The |  School for Democracy and  Leadership |  International Arts Business School |  High School for Public Service: Heroes  of Tomorro |  Brooklyn Institute for Liberal Arts |  600 KINGSTON AVENUE CONSOLIDATED LOCATION"
-73.947152,Bedford                                                                    ,,2016 - 17,328.0,5.0,40.685004-Brooklyn Academy High School|Bedford Stuyvesant Preparatory High School|Bedford Stuyvesant Collegiate -Uncommon Collegiate Charter High School|Brownsville Collegiate Charter School|832 MARCY AVENUE CONSOLIDATED LOCATION 
-74.00806,Bath Beach                                                                 ,10.0,2016 - 17,268.0,147.0,40.606792-Khalil Gibran International Academy
-73.893754,East New York (Pennsylvania Ave)                                           ,1.0,2016 - 17,1352.0,55.0,40.663673-P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION
-73.939872,Central Harlem North-Polo Grounds                                          ,0.0,2016 - 17,656.0,695.0,40.809672-Dos Puentes Elementary School | P.S. 132 Juan Pable Duarte| 185 WADSWORTH AVENUE CONSOLIDATED LOCATION
-73.907925,Canarsie                                                                   ,,2016 - 17,792.0,25.0,40.634085-Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION
-73.984452,Lower East Side                                                            ,7.0,2016 - 17,382.0,533.0,40.718383-P.S. 140 Nathan Straus
-73.952929,Flatbush                                                                   ,20.0,2016 - 17,1902.0,1162.0,40.633237-International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION
-73.898254,Canarsie                                                                   ,7.0,2016 - 17,1478.0,10.0,40.641474-Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION
-74.011035,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,2016 - 17,321.0,1065.0,40.71602-I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION
-73.91287,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,,2016 - 17,588.0,78.0,40.621224-J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION
-73.909896,Spuyten Duyvil-Kingsbridge                                                 ,,2016 - 17,400.0,456.0,40.879368-Academy for Scholarship and Entrepreneurship: A Co |  New World High School |  The Bronxwood Preparatory Academy |  921 EAST 228TH STREET CONSOLIDATED LOCATION
-73.908734,Ocean Hill                                                                 ,0.0,2016 - 17,530.0,235.0,40.677415-The Windsor Terrace School
-73.965613,Morningside Heights                                                        ,,2016 - 17,,613.0,40.802917-M.S. 328 - Manhattan Middle School for Scientific |WHIN Music Community |  401 WEST 164 STREET CONSOLIDATED LOCATION
-73.943819,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,3.0,2016 - 17,519.0,103.0,40.579451-P.S. 194 Raoul Wallenberg
-73.947828,Central Harlem South                                                       ,,2016 - 17,182.0,632.0,40.802136-River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION
-73.95465,North Side-South Side                                                      ,1.0,2016 - 17,606.0,58.0,40.709647-Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION
-73.991949,Carroll Gardens-Columbia Street-Red Hook                                   ,1.0,2016 - 17,518.0,62.0,40.680445-P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION 
-73.922894,Marble Hill-Inwood                                                         ,1.0,2016 - 17,610.0,,40.85899-P.S. 004 Duke Ellington
-73.915843,Ocean Hill                                                                 ,,2016 - 17,165.0,287.0,40.677805-Mott Hall IV |  Eagle Academy for Young Men II |Ocean Hill Collegiate Charter School |1137 HERKIMER STREET CONSOLIDATED LOCATION
-73.987659,Gramercy                                                                   ,,2016 - 17,,706.0,40.735494-Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION
-73.811701,South Ozone Park                                                           ,0.0,2016 - 17,939.0,915.0,40.665058-P.S. 121 Queens
-73.933319,East Harlem North                                                          ,,2016 - 17,161.0,559.0,40.798884-Coalition School for Social Change|Harlem Village Academy Leadership Charter School|2351 1ST AVENUE CONSOLIDATED LOCATION
-74.004625,SoHo-TriBeCa-Civic Center-Little Italy                                     ,13.0,2016 - 17,1671.0,674.0,40.7244-The High School of Fashion Industries
-73.939349,East Harlem North                                                          ,,2016 - 17,375.0,676.0,40.801007-P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION
-73.974614,Upper West Side                                                            ,,2016 - 17,460.0,709.0,40.785803-George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION
-73.985016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,2016 - 17,268.0,232.0,"40.697339-Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION"
-74.017818,Battery Park City-Lower Manhattan                                          ,0.0,2016 - 17,401.0,546.0,"40.70644-East Side Elementary School, PS 267"
-73.919867,Melrose South-Mott Haven North                                             ,,2016 - 17,,448.0,40.818232-Bronx Haven High School |  Bronx Design and Construction Academy |  Alfred E. Smith Campus YABC |  Alfred E. Smith Career and Technical Education Hig |  333 EAST 151 STREET CONSOLIDATED LOCATION
-73.907774,Canarsie                                                                   ,2.0,2016 - 17,814.0,156.0,40.64883-P.S. 66
-73.953146,Williamsburg                                                               ,7.0,2016 - 17,596.0,1262.0,40.703624-Juan Morel Campos Secondary School
-73.98577,Gravesend                                                                  ,,2016 - 17,273.0,1162.0,40.594291-International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION
-73.981528,Borough Park                                                               ,,2016 - 17,1004.0,267.0,40.634875-J.H.S. 223 The Montauk |  Urban Assembly School for Criminal Justice |  4200 16 AVENUE CONSOLIDATED LOCATION
-73.907355,Brownsville                                                                ,5.0,2016 - 17,476.0,66.0,40.660306-P.S. 041 Francis White
-73.946279,Midwood                                                                    ,0.0,2016 - 17,1270.0,1401.0,40.623561-Mark Twain I.S. 239 for the Gifted & Talented
-73.944356,East Harlem South                                                          ,,2016 - 17,542.0,537.0,"40.790543-High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION"
