american_indian_alaskan_native_3,unknown_other_average_years_5,asian_average_years_in_title_2,white_average_years_at_school,white_average_years_at_school_2,black_african_american_count,hispanic_average_years_at_2,other_staff
*,,,,,13,,21
*,,7.8,11.3,9.7,*,10.5,48
*,,,14.1,9.7,*,7.4,15
*,,,9.8,,*,10.4,21
*,,,9.2,,*,,7
*,,,11.6,11.0,12,9.9,29
*,,10.8,12.8,18.0,*,8.1,51
*,,,17.0,13.1,25,,28
*,,,7.8,,14,,19
*,,,2.4,,*,4.6,16
*,,,,,35,10.7,19
*,,,1.9,,15,,7
*,,,2.9,,*,6.3,8
*,,,1.1,,*,,7
*,,,8.5,,*,6.1,12
*,,,13.0,3.3,*,,10
*,,,8.8,6.9,19,,24
*,,,10.5,6.5,*,,16
*,,,11.6,9.1,8,7.1,17
*,,,3.2,3.5,15,,13
*,,,9.2,,13,,9
*,,,9.0,11.8,*,,14
*,,,8.6,,*,,9
*,,,3.8,,7,11.0,15
*,,,13.5,,13,3.9,26
*,,7.1,8.9,,11,7.2,18
*,,,5.6,,5,,8
*,,,5.9,,18,2.5,29
*,,,8.2,5.5,*,6.1,24
*,,,2.8,,5,5.0,7
*,,,9.2,,*,,13
*,,,8.7,8.9,*,,12
*,,,8.7,,*,8.2,9
*,,15.6,7.6,9.1,*,,36
*,,,14.0,,15,12.0,18
*,,,9.2,,11,,7
*,,,6.3,,18,,19
*,,,3.6,,11,,6
*,,,8.9,7.5,*,5.0,11
*,,,2.2,,*,8.4,12
*,,,4.9,,*,5.7,11
*,,,6.3,,*,,10
*,,,6.6,,*,7.5,15
*,,8.3,9.9,4.3,*,,21
*,,4.2,9.7,,*,9.2,35
*,,,8.0,,6,,14
*,,,3.1,,12,4.3,15
*,,,4.6,,*,4.0,16
*,,,11.0,7.4,*,11.5,21
*,,,14.4,4.7,*,6.8,23
*,,,3.9,,6,6.8,16
*,,,4.5,,*,3.9,15
*,,,2.0,,7,9.1,8
*,,,8.5,,*,,9
*,,,8.0,,8,8.4,12
*,,,10.3,8.8,27,5.1,19
*,,,10.3,,*,,8
*,,,4.6,,7,,4
