hawaiian_pacific_islander_3,hispanic_average_years_in_1,hispanic_count_2,leadership,unknown_other_count_2,white_count,multiple_count,black_african_american_count_2,hispanic_average_years_at
*,,*,3,*,16,*,6,
*,,10,4,*,54,*,*,11.6
*,,*,2,*,10,*,*,3.7
*,,*,4,*,42,*,*,16.4
*,,6,2,*,8,*,*,
*,,10,4,*,62,*,7,7.7
*,,*,1,*,*,*,*,
*,,*,2,*,38,*,*,
*,,19,2,*,23,*,*,4.7
*,,5,2,*,25,*,*,6.7
*,,*,2,*,12,*,*,
*,,10,4,5,35,*,9,3.0
*,,*,3,*,25,*,17,
*,,*,3,*,8,*,*,17.5
*,,*,1,*,8,*,*,
*,,*,4,*,67,*,*,8.6
*,,*,2,*,7,*,*,5.6
*,,*,1,*,15,*,*,
*,,10,3,*,50,*,6,12.2
