asian_count_2,asian_average_years_in_title,white_count_2,multiple_count_2,multiple_count_1,white_average_years_in_title_1,hawaiian_pacific_islander_6,wite_average_years_in_title,asian_average_years_at_school_2,hispanic_count,black_african_american_average_4,unknown_other_average_years_1,teachers,asian_count_1,hispanic_average_years_at_1,unknown_other_count_1,white_average_years_in_title,white_average_years_at_school_1,white_count_1
*,,5,*,*,4.7,*,,,19,,,72,*,,*,14.3,,*
*,,*,*,*,,*,,,*,,,11,*,,*,,,*
*,,*,*,*,,*,,,*,14.0,,27,*,,*,,,*
5,11.8,7,*,*,13.9,*,,5.8,20,,,97,*,,*,12.6,,*
*,,*,*,*,,*,,,*,11.9,,27,*,,*,,,*
*,,*,*,*,,*,,,*,6.7,,16,*,,*,,,*
*,,32,*,*,11.9,*,,,*,12.2,,78,*,,*,14.2,,*
*,,*,*,*,,*,,,5,,,37,*,,*,10.5,,*
*,,*,*,*,,*,,,5,,,16,*,,*,5.0,,*
*,6.9,*,*,*,,*,,,5,5.8,,31,*,,*,,,*
*,,*,*,*,,*,,,7,,,42,*,,*,7.2,,*
*,,11,*,*,16.2,*,,,*,,,64,*,,*,14.7,,*
*,8.0,21,*,*,6.6,*,,,10,,4.4,107,*,,*,8.2,,*
*,3.5,*,*,*,,*,,,5,13.7,,33,*,,*,7.8,,*
*,,*,*,*,,*,,,12,,,14,*,,*,,,*
*,,*,*,*,,*,,,13,7.6,,45,*,,*,12.7,,*
*,,*,*,*,,*,,,*,15.8,,32,*,,*,19.2,,*
*,,*,*,*,,*,,,*,17.0,,25,*,,*,8.8,,*
*,,9,*,*,5.1,*,,,11,,,48,*,,*,7.2,,*
*,,*,*,*,,*,,,15,,,52,*,,*,8.5,,*
*,,*,*,*,,*,,,*,10.9,,27,*,,*,8.2,,*
*,,*,*,*,,*,,,*,,,22,*,,*,6.0,,*
10,11.3,20,*,*,9.8,*,,10.2,5,,,86,*,,*,11.2,,*
*,,*,*,*,,*,,,7,9.5,,34,*,,*,8.8,,*
*,,*,*,*,,*,,,15,,,52,*,,*,10.0,,*
*,,14,*,*,7.0,*,,,*,10.6,,45,*,,*,11.1,,*
*,,*,*,*,,*,,,*,,,20,*,,*,4.7,,*
*,,*,*,*,,*,,,*,,,42,*,,*,13.2,,*
*,6.4,*,*,*,,*,,,29,14.7,,88,*,,*,10.4,,*
5,,22,*,*,4.8,*,,6.2,8,,4.8,68,*,,*,10.8,,*
*,,*,*,*,,*,,,*,,,43,*,,*,7.8,,*
*,,*,*,*,,*,,,*,12.4,,44,*,,*,,,*
*,,26,*,*,7.3,*,,,*,,,59,*,,*,11.8,,*
*,7.1,*,*,*,,*,,,*,,,30,*,,*,8.2,,*
*,,7,*,*,5.5,*,,,9,,,49,*,,*,14.1,,*
*,,*,*,*,,*,,,5,,,27,*,,*,9.8,,*
*,,7,*,*,6.1,*,,,16,,,63,*,,*,10.3,,*
*,,*,*,*,,*,,,22,,,46,*,,*,14.2,,*
7,14.2,13,*,*,15.8,*,,7.8,7,,,69,*,,*,16.1,,*
5,10.9,8,*,*,12.2,*,,1.7,*,,,41,*,,*,13.5,,*
*,,15,*,*,6.9,*,,,11,,,57,*,,*,9.5,,*
*,,*,*,*,,*,,,9,,,48,*,,*,12.9,,*
*,,*,*,*,,*,,,11,,,39,*,,*,10.2,,*
*,,12,*,*,6.7,*,,,*,,,38,*,,*,7.3,,*
*,,*,*,*,,*,,,*,,,8,*,,*,16.2,,*
*,6.0,5,*,*,7.8,*,,,25,,,91,*,,*,10.5,,*
*,,*,*,*,,*,,,*,,,33,*,,*,5.3,,*
*,11.6,*,*,*,,*,,,*,,,29,*,,*,14.0,,*
*,,15,*,*,9.8,*,,,5,,,65,*,,*,10.4,,*
*,6.0,*,*,*,,*,,,6,,,48,*,,*,9.1,,*
*,,*,*,*,,*,,,*,,,7,*,,*,,,*
*,,*,*,*,,*,,,*,9.4,,33,*,,*,15.9,,*
*,,*,*,*,,*,,,11,,,33,*,,*,5.1,,*
*,4.0,*,*,*,,*,,,7,,,70,*,,*,6.7,,*
*,,*,*,*,,*,,,*,7.9,,34,*,,*,16.3,,*
*,,*,*,*,,*,,,*,,,28,*,,*,17.8,,*
*,,*,*,*,,*,,,*,11.5,,24,*,,*,15.1,,*
*,,*,*,*,,*,,,16,,,42,*,,*,12.4,,*
*,4.8,*,*,*,,*,,,24,13.4,,50,*,,*,6.8,,*
*,,*,*,*,,*,,,*,10.0,,29,*,,*,,,*
*,13.0,*,*,*,,*,,,19,11.3,,86,*,,*,15.7,,*
*,,*,*,*,,*,,,*,,,10,*,,*,,,*
*,,6,*,*,11.9,*,,,30,,,66,*,,*,13.7,,*
*,,*,*,*,,*,,,33,,,94,*,,*,6.6,,*
*,,*,*,*,,*,,,7,,,29,*,,*,9.0,,*
*,,*,*,*,,*,,,23,8.4,,45,*,,*,7.2,,*
12,11.1,*,*,*,,*,,5.0,*,,,42,*,,*,12.2,,*
*,,13,*,*,10.0,*,,,*,,,37,*,,*,15.9,,*
*,,*,*,*,,*,,,*,9.0,,43,*,,*,9.5,,*
*,,*,*,*,,*,,,13,10.9,,47,*,,*,13.7,,*
*,,*,*,*,,*,,,*,8.6,,12,*,,*,,,*
*,,*,*,*,,*,,,9,4.1,,30,*,,*,9.8,,*
*,,8,*,*,5.1,*,,,*,,,30,*,,*,13.4,,*
*,9.0,*,*,*,,*,,,14,7.5,,52,*,,*,10.4,,*
*,,*,*,*,,*,,,18,,,35,*,,*,7.7,,*
*,,*,*,*,,*,,,20,,,37,*,,*,3.0,,*
*,,*,*,*,,*,,,*,,,28,*,,*,7.7,,*
*,,*,*,*,,*,,,13,,,40,*,,*,4.6,,*
*,,8,*,*,17.5,*,,,12,,,60,*,,*,17.7,,*
5,13.1,19,*,*,10.6,*,,3.5,6,,,74,*,,*,10.7,,*
*,,*,*,*,,*,,,23,11.8,,63,*,,*,11.1,,*
*,,*,*,*,,*,,,*,,,10,*,,*,,,*
*,,*,*,*,,*,,,*,10.5,,21,*,,*,17.8,,*
*,,*,*,*,,*,,,*,16.9,,25,*,,*,,,*
*,,27,*,*,8.9,*,,,*,,,52,*,,*,15.0,,*
*,11.2,*,*,*,,*,,,9,20.9,,95,*,,*,11.4,,*
*,,*,*,*,,*,,,15,19.6,,37,*,,*,17.0,,*
*,,7,*,*,12.0,*,,,*,,,35,*,,*,12.3,,*
*,10.2,*,*,*,,*,,,*,,,29,*,,*,13.8,,*
*,,*,*,*,,*,,,8,,,31,*,,*,8.4,,*
*,,*,*,*,,*,,,*,,,14,*,,*,19.8,,*
*,11.5,*,*,*,,*,,,6,,,69,*,,*,8.2,,*
*,,*,*,*,,*,,,6,5.5,,31,*,,*,,,*
*,,6,*,*,13.4,*,8.5,,18,,,98,*,,*,11.4,10.6,5
9,8.8,*,*,*,,*,,3.7,5,,,55,*,,*,11.4,,*
*,,*,*,*,,*,,,*,,,23,*,,*,9.2,,*
*,,*,*,*,,*,,,*,20.5,,34,*,,*,2.4,,*
*,,8,*,*,11.4,*,,,7,,,35,*,,*,12.1,,*
*,9.9,*,*,*,,*,,,26,,,53,*,,*,8.1,,*
*,,7,*,*,7.8,*,,,*,13.8,,41,*,,*,14.9,,*
*,,*,*,*,,*,,,20,,,52,*,,*,8.4,,*
*,,8,*,*,6.6,*,,,*,16.8,,45,*,,*,12.4,,*
