building_id_espm,facility_name,warehouse_unrefrigerated,current_total_site_energy,energy_star_application_status,bbl10,warehouse_unrefrigerated_2,facility_type,hospital_laundry_facility,hotel_quantity_of_laundry,retail_percent_cooled,multifamily_home_primary,national_median_site_eui,city,emissions_factor_kg_co2e,retail_workers_density,current_source_energy,current_energy_period_ending,senior_care_facility_percent,current_rating_1_100,other_workers_on_main_shift,retail_open_closed_refrig,total_indoor_and_outdoor,borough,release_date,data_center_it_energy,current_indirect_ghg_emissions,district_steam_use_kbtu,hotel_gross_floor_area_sq,chilled_water_absorption,electricity_use_kwh,k_12_school_gross_floor_area,natural_gas_use_kbtu,supermarkets_grocery_number,temporary_data_flag_diesel,office_workers_density,outdoor_water_use_kgal,multifamily_home_laundry,retail_number_of_open_or,current_site_energy_intensity,hospital_laboratory_y_1_n,current_site_ups_output_energy,supermarkets_grocery_walk,multifamily_home_percent,current_source_it_energy,indoor_water_use_per_sq_ft,supermarkets_grocery_workers,multifamily_home_total_number,latitude,hotel_onsite_laundry_short
2831030,ELLIOTT,,,No Status Available,1007240015,,Multifamily Housing,,,,,,MANHATTAN,,,,2011-09-30T00:00:00.000,,0,,,,,2012-06-27T16:15:48.000,,,,,,,,,,,,,0.0,,,,,,0.0,,,,1329.0,,
2825722,Kimmel Center,,7232105.2,No Status Available,1005380040,,Social/Meeting,,,,,43.0,New York,,,84.0,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-30T17:28:28.000,,541.25,,,,1689600.0,,1467190.0,,,,,,,29.2,,,,,,,,,40.730148,
2830982,CAMPOS PLA,,3402397.2,No Status Available,1003950022,,Multifamily Housing,,,,,,MANHATTAN,,,24.8,2012-03-31T00:00:00.000,,0,,,,,2012-06-27T16:15:48.000,,162.47,,,,507180.6,,1671897.06,,,,,0.0,,11.2,,,,0.0,,,,694.0,,
2614197,40 Wall Street,,,No Status Available,1000430002,,Office,,,,,,New York,,,,2010-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-26T11:22:19.000,,,,,,,,,,,,,,,,,,,,,,,,40.706625,
3129002,(7554) - The Setai,,26958686.8,No Status Available,1000247501,,Multifamily Housing,,,100.0,Electricity,,New York,,1.0,269.1,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-05-01T18:03:21.000,,2275.92,10442724.0,,,4530968.0,,1056300.0,,,,,0.0,0.0,111.0,,,,100.0,,,,159.0,40.706021,
2975793,Ironclad A,,6341139.1,No Status Available,1004730051,,Multifamily Housing,,,,Fuel Oil (No. 2),,Manhattan,,,96.2,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-05-01T14:25:17.000,,12.82,,,,40023.3,,52712.9,,,,,0.0,,90.7,,,,90.0,,,,30.0,40.720382,
2425340,101 Ludlow,,9273698.7,No Status Available,1004107501,,Residence Hall/Dormitory,,,,,85.8,New York,,,185.9,2012-05-31T00:00:00.000,,43,,,,MANHATTAN,2012-07-26T16:00:49.000,,398.51,,,,1244010.3,,5029135.48,,,,,,,88.7,,,,,,,,,40.719111,
2817542,740 Broadw,,29157082.0,No Status Available,1005450026,,Office,,,100.0,,102.6,NY,,1.66,258.0,2011-12-31T00:00:00.000,,59,,0.21,,MANHATTAN,2012-05-29T20:22:41.000,,2102.08,,,,6561931.3,,3086649.0,,,1.35,,,6.0,92.0,,,,,,,,,40.729884,
2831062,HERNANDEZ,,30698351.5,No Status Available,1004170001,,Multifamily Housing,,,,,,MANHATTAN,,,289.4,2012-02-29T00:00:00.000,,0,,,,,2012-06-27T16:15:48.000,,334.85,,,,1045270.6,,27131888.24,,,,,0.0,,220.3,,,,0.0,,,,229.0,,
3114446,Tate,,29715308.6,No Status Available,1006950015,,Multifamily Housing,,,,Natural Gas,,New York,,,174.0,2011-12-31T00:00:00.000,,0,34.0,,,MANHATTAN,2012-07-31T11:11:05.000,,863.54,,,,2695659.1,,20517719.76,,,,,0.0,,99.1,,,,100.0,,,,313.0,40.748241,
2717837,718 Broadw,,7143865.0,No Status Available,1005450011,,Multifamily Housing,,,,,,New York,,,148.0,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-26T23:03:09.000,,185.54,,,,579198.8,,172162.0,,,1.37,,3.0,,89.4,,,,70.0,,,,60.0,40.729146,
2379262,Trinity -,,86184615.3,Application - Label Sent (19-DEC-11),1005980058,,Office,,,40.0,,131.9,New York,,0.85,259.5,2011-12-31T00:00:00.000,,85,8.0,0.23,,MANHATTAN,2012-03-26T16:39:01.000,IT Energy is not currently metered at this facility - Apply estimates.,6007.62,573061.46,,,18612408.2,,19794435.48,,,2.67,,,4.0,94.8,,,,,,,,,40.72754,
2815137,Manhattan,,18907923.8,No Status Available,1001420100,,College/University (Campus-Level),,,,,104.0,New York,,,257.8,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-05-01T09:26:57.000,,700.14,,,,2185600.0,,11113500.0,,,,,,,132.1,,,,,,,,,40.715068,
2811083,409 Lafaye,,5383973.7,No Status Available,1005440008,,Office,,,,,88.7,New York,,,153.4,2011-12-31T00:00:00.000,,79,,,,,2012-06-06T13:27:06.000,,324.98,,,,1014481.9,,1922561.29,,,1.15,,,,60.8,,,,,,,,,,
2787039,Snug Harbo,,7250027.2,No Status Available,1005480024,,Multifamily Housing,,,,,,New York,,,114.2,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-20T17:50:19.000,,102.03,,,,318514.7,,123467.74,,,,,5.0,,84.0,,,,0.0,,,,128.0,40.730579,
2715852,The Tower 270 Condominium,,,No Status Available,1001357504,,Multifamily Housing,,,,,,New York,,,,2011-12-31T00:00:00.000,,0,,,984792.1,,2012-04-24T08:34:01.000,,,,,,,,,,,31.58,,,,,,,,,,4558.1,,,,
3119603,West 27th Street,,1135066.8,No Status Available,1006980056,,Entertainment/Culture,,,,,46.0,New York,,,26.7,2012-03-31T00:00:00.000,,0,,,,MANHATTAN,2012-05-01T10:52:34.000,,42.47,,,,132586.1,,682683.09,,,,,,,13.6,,,,,,,,,40.75075,
1413685,175 Water,,49211122.1,No Status Available,1000717501,,Office,,,100.0,,96.4,New York,,0.77,288.0,2012-02-29T00:00:00.000,,49,,0.15,,MANHATTAN,2012-05-01T16:34:37.000,,4456.71,7515777.44,,,12059967.9,,546734.27,,,3.21,,,2.0,96.3,,,,,,,,,40.706699,
2736217,53 Park Place - Lionshead 53 Dev. LLC,,10015080.5,No Status Available,1001260013,,Multifamily Housing,,,,Natural Gas,,New York,,,141.8,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-05-01T13:28:13.000,,375.36,,,,1171725.4,,6017153.37,,,,,44.0,,72.3,,,,80.0,,,,161.0,40.713764,
2654417,Milstein -,,17173499.4,No Status Available,1000167509,,Multifamily Housing,,,100.0,Natural Gas,,New York,,1.0,145.8,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-04-30T08:06:30.000,,624.57,,,,1949677.4,,,,,,,0.0,0.0,76.2,,,,0.0,,,,203.0,40.708114,
2831187,SEWARD PAR,,42470777.2,No Status Available,1003470080,,Multifamily Housing,,,,,,MANHATTAN,,,182.5,2012-03-31T00:00:00.000,,0,,,,,2012-06-27T16:15:48.000,,1998.39,13874574.19,,,2818812.9,,18978413.28,,,,,0.0,,112.7,,,,0.0,,,,691.0,,
1423560,55 Broad S,,45731322.3,No Status Available,1000250001,,Office,,,,,115.9,New York,,,292.5,2012-01-31T00:00:00.000,,55,18.0,,9097.1,MANHATTAN,2012-05-01T09:38:19.000,,4064.18,15358807.16,,,8901675.0,,,,,2.18,,,,111.5,,,,,,22.17,,,40.705189,
2650518,555 West 23rd Street,,27486583.0,No Status Available,1006957503,,Multifamily Housing,,,,,,New York,,,175.5,2011-12-31T00:00:00.000,,0,1.0,,92.6,MANHATTAN,2012-04-23T11:33:43.000,,1053.41,,,,3288385.1,,16266613.13,,,0.63,,6.0,,88.5,,,,,,0.3,,352.0,40.7484,
2273784,80 Wall Street,,1118594.4,No Status Available,1000390004,,Office,,,,,90.7,New York,,,66.3,2012-02-29T00:00:00.000,,100,,,,MANHATTAN,2012-05-01T09:06:34.000,,104.98,2667.31,,,327059.5,,,,,6.66,,,,19.9,,,,,,,,,40.705456,
2782231,568 Broadway,,25564913.5,No Status Available,1005110001,,Office,,,100.0,,96.1,New York,,3.29,212.3,2011-12-31T00:00:00.000,,73,,0.03,,MANHATTAN,2012-04-26T13:35:49.000,,1982.58,,,,6188910.0,,,,,1.46,,,1.0,72.3,,,,,,,,,40.724398,
2591922,111 JOHN R,,22463805.0,No Status Available,1000750030,,Office,,,,,123.9,NEW YORK,,,188.3,2011-12-31T00:00:00.000,,86,,,,MANHATTAN,2012-04-29T12:02:40.000,,1977.44,8812417.05,,,4000992.9,,,,,4.99,,,,75.2,,,,,,,,,40.707833,
3171179,Hester Gar,,2343938.1,No Status Available,1002047501,,Multifamily Housing,,,100.0,,,New York,,1.93,84.2,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-05-25T09:21:58.000,,167.85,,,,523971.7,,556146.67,,,,,,0.0,30.1,,,,,,,,,40.717481,
2676432,(7510) - 20 Pine St.,,35517572.5,No Status Available,1000447501,,Multifamily Housing,,,100.0,District Steam,,New York,,1.01,192.1,2011-12-31T00:00:00.000,,0,40.0,0.0,,MANHATTAN,2012-05-01T17:59:33.000,,3044.91,13000541.61,,,6301095.6,,1017692.69,,,,,0.0,0.0,77.0,,,,20.0,,,,475.0,40.707555,
2662272,Walter & Samuels- 10 E 34th Street,,2979104.7,No Status Available,1006830075,,Office,,,,,115.0,New York,,,125.5,2011-12-31T00:00:00.000,,93,,,,MANHATTAN,2012-05-01T10:43:24.000,,146.86,,,,458436.2,,0.0,,,3.85,,,,56.2,,,,,,,,,40.748251,
2806873,(7600) - Downtown Condominium,,52641679.2,No Status Available,1000267501,,Multifamily Housing,,,100.0,District Steam,,New York,,1.0,126.0,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-05-01T18:03:21.000,,4491.59,27540804.0,,,7233600.0,,419832.0,,,,,4.0,0.0,57.1,,,,100.0,,,,324.0,40.706531,
2737257,(7410) - Greenwich Place Condominium,,4850224.8,No Status Available,1000537501,,Multifamily Housing,,,100.0,District Hot Water,,New York,,1.0,122.9,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-05-01T18:03:21.000,,128.37,,,,400718.4,,130645.66,,,,,6.0,0.0,73.7,,,,100.0,,,,107.0,40.709089,
2614196,323 W 39th Street,,,No Status Available,1007637502,,Office,,,,,,New York,,,,2010-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-26T15:52:21.000,,,,,,,,,,,,,,,,,,,,,,,,40.755707,
2710412,Brittany Hall,,77821940.0,No Status Available,1005620030,,Residence Hall/Dormitory,,,,,144.2,New York City,,,571.1,2011-12-31T00:00:00.000,,1,,,,MANHATTAN,2012-04-30T17:28:28.000,,230.65,,,,720000.0,,233300.0,,,,,,,527.0,,,,,,,,,40.731954,
2812277,Newmark - 90 John Street,,18976044.8,No Status Available,1000697502,,Multifamily Housing,,,,,,New York,,,154.4,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-30T11:29:20.000,,1781.61,,,,5561560.6,,,,,1.7,,,,46.2,,,,,,,,,40.708173,
3115551,140 Frankl,16555.0,5696392.7,No Status Available,1001897507,50.0,Multifamily Housing,,,,Natural Gas,,New York,,,182.3,2012-01-31T00:00:00.000,,0,,,,MANHATTAN,2012-05-01T08:58:53.000,,278.61,,,,869734.1,,2728860.0,,,,,0.0,,81.4,,,,100.0,,,,39.0,40.719191,
2692940,31 Jane Street,,8031291.4,No Status Available,1006160001,,Multifamily Housing,,,100.0,,,New York,,1.0,130.4,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-04-26T23:18:01.000,,188.45,,,,588263.6,,266106.0,,,,,7.0,0.0,81.9,,,,90.0,,,,168.0,40.738146,
3119187,609 Greenwich,,12304248.7,No Status Available,1006010047,,Office,,,,,87.5,New York,,,306.1,2011-12-31T00:00:00.000,,34,,,,MANHATTAN,2012-05-01T10:52:34.000,,956.51,,,,2985883.9,,2116412.9,,,2.3,,,,103.9,,,,,,,,,40.729988,
2709808,715-719 Broadway,,2665181.4,No Status Available,1005470030,,College/University (Campus-Level),,,,,104.0,New York,,,91.1,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-30T17:28:28.000,,250.23,,,,781120.0,,,,,,,,,27.3,,,,,,,,,40.729099,
2803664,258 Broadway,,8563978.9,No Status Available,1001340025,,Multifamily Housing,,,0.0,Fuel Oil (No. 5 and No. 6),,New York,,0.0,120.3,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-04-30T11:51:06.000,,188.22,,,,587545.0,,132200.0,,,,,5.0,0.0,77.3,,,,100.0,,,,60.0,40.713764,
2810560,KVI Mezz Corp. 12,,9227972.7,No Status Available,1002530001,,Multifamily Housing,,,,Fuel Oil (No. 5 and No. 6),,NY,,,149.7,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-27T15:44:53.000,,209.98,,,,655477.1,,451451.61,,,,,4.0,,95.0,,,,90.0,,,,179.0,40.711461,
2782259,92 Laight,,12732873.5,No Status Available,1002187501,,Multifamily Housing,,,27.27,Natural Gas,,New York,,0.27,163.5,2012-01-31T00:00:00.000,,0,4.0,0.18,,,2012-05-01T08:58:53.000,,513.07,,,,1601624.7,,7268130.0,,,2.67,,0.0,2.0,80.5,,,,100.0,,,,190.0,,
2722015,55 East 9t,,18478183.5,No Status Available,1005610037,,Multifamily Housing,,,,Fuel Oil (No. 5 and No. 6),,New York City,,,178.3,2011-12-31T00:00:00.000,,0,,,8312.0,MANHATTAN,2012-07-31T11:11:05.000,,316.96,,,,989425.8,,452620.22,,,,,15.0,,124.1,,,,90.0,,55.83,,180.0,40.731556,
2664521,Abro - 280,,10313068.4,No Status Available,1001531002,,Office,,,100.0,,103.0,New York,,1.0,257.6,2011-12-31T00:00:00.000,,40,,0.0,,MANHATTAN,2012-04-30T08:06:30.000,,889.98,5241361.5,,,1486432.3,,,,,2.3,,,0.0,114.1,,,,,,,,,40.714417,
2796780,254 W 54th,,3164425.2,No Status Available,1001250058,,Office,,,,,121.4,New York,,,79.3,2011-12-31T00:00:00.000,,99,,,,MANHATTAN,2012-05-02T09:46:13.000,,264.56,2178417.88,,,288982.2,,,,,1.14,,,,42.3,,,,,,,,,40.764338,
2266206,41 Park Ro,,9217354.3,No Status Available,1001010002,,College/University (Campus-Level),,,,,104.0,New York,,,187.6,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-08-01T12:04:43.000,,818.69,3126524.82,,,1785120.0,,,,,,,,,71.7,,,,,,,,,40.711835,
2649532,201 E 12,,8760637.6,No Status Available,1004680001,,Multifamily Housing,,,100.0,Natural Gas,,New York,,2.81,93.9,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-05-02T09:54:13.000,,234.55,,,,732168.6,,6262478.34,,,,,8.0,0.0,55.2,,,,0.0,,,,136.0,40.731931,
2826164,University Hall,,18665602.8,No Status Available,1005590012,,Residence Hall/Dormitory,,,,,84.5,New York,,,187.5,2011-12-31T00:00:00.000,,47,,,,MANHATTAN,2012-04-30T17:28:28.000,,834.3,,,,2604400.0,,9779390.0,,,,,,,87.7,,,,,,,,,40.734075,
2653588,306 Gold Street - The 306 Gold Street Condominium,,20489572.1,No Status Available,1001337501,,Multifamily Housing,,,,Natural Gas,,Brooklyn,,,131.2,2011-12-31T00:00:00.000,,0,,,,BROOKLYN,2012-04-26T14:19:28.000,,993.07,,,,3099998.4,,9912377.42,,,,,0.0,,58.8,,,,80.0,,,,338.0,40.694978,
1426421,24 State S,,117931545.0,No Status Available,1000090029,,Office,,,,,124.3,New York,,,311.9,2012-01-31T00:00:00.000,,41,,,5728.3,MANHATTAN,2012-05-01T09:38:19.000,,10190.38,59040680.9,,,17259925.0,,,,,2.4,,,,137.2,,,,,,6.66,,,40.703534,
2658416,100 - Duan,,2664525.0,No Status Available,1001460023,,Hotel,,0.0,,,122.3,Tribeca,,,392.2,2012-02-29T00:00:00.000,,12,,,134459.2,MANHATTAN,2012-05-01T17:06:20.000,,171.24,,17778.0,,534556.0,,840619.97,,,,,,,149.9,,,,,,7563.24,,,40.716114,No laundry facility
2503789,Trinity- 2,,18323821.5,No Status Available,1002250008,,Office,,,,,68.0,New York,,,98.5,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-03-26T16:39:01.000,,760.31,,,,2373414.7,,1298523.15,,,1.16,,,,48.2,,,,,,,,,40.723352,
2708789,99 John Deco Lofts Condominium,,34311037.7,No Status Available,1000767502,,Multifamily Housing,,,58.27,Natural Gas,,New York,,2.28,160.4,2011-12-31T00:00:00.000,,0,,0.95,,MANHATTAN,2012-05-01T09:23:18.000,,1695.47,,,,5292640.4,,15559096.32,,,,,24.0,20.0,71.2,,,,100.0,,,,518.0,40.708006,
2798246,411-417 We,,10836889.5,No Status Available,1006467501,,Office,,,100.0,,95.6,New York,,1.58,466.3,2011-12-31T00:00:00.000,,12,,0.0,,MANHATTAN,2012-04-23T09:25:38.000,,878.66,,,,2742875.0,,1478200.0,,,4.18,,,0.0,154.0,,,,,,,,,40.74058,
3115591,478 West B,,2293951.6,No Status Available,1005160026,,Multifamily Housing,,,100.0,Natural Gas,,New York,,0.98,58.5,2012-01-31T00:00:00.000,,0,20.0,0.0,,MANHATTAN,2012-05-01T08:58:53.000,,51.24,,,,159965.3,,1748150.0,,,,,0.0,0.0,36.7,,,,70.0,,,,34.0,40.726566,
2679416,DEPM 2472,,7942412.2,No Status Available,1005257506,,Multifamily Housing,,,100.0,Natural Gas,,New York,,1.0,141.7,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-04-30T08:06:30.000,,231.87,,,,723824.3,,5472723.58,,,,,16.0,0.0,80.5,,,,0.0,,,,147.0,40.727988,
2533061,Five Nine,,9087829.3,No Status Available,1000787507,,Multifamily Housing,,,100.0,District Steam,,New York,,0.0,172.0,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-05-16T11:02:28.000,,689.12,4601234.22,,,1017189.2,,1015945.45,,,,,0.0,0.0,85.8,,,,30.0,,,,121.0,40.7089,
