facility_name,multifamily_home_dishwasher,warehouse_unrefrigerated_5,total_green_power_purchased,census_tract,hotel_floor_area_of_full,number_of_staffed_beds,data_center_gross_floor_area,k_12_school_presence_of,current_site_pdu_input_energy,other_weekly_operating_hours,multifamily_home_percent_1,natural_gas_use_therms,other_space_type_name,energy_use_alerts,data_center_annual_it_energy,residence_halls_dormitories_2,fuel_oil_2_use_kbtu,metering_configuration,diesel_2_use_kbtu,parking_non_enclosed_floor,senior_care_facility_gross,parking_gross_floor_area,service_and_product_provider,swimming_pool_size,weather_normalized_site_eui,hospital_gross_floor_area,house_of_worship_presence,office_weekly_operating_hours,temporary_data_flag_fuel_1,k_12_school_pc_density,bank_financial_institution_5,hospital_number_of_buildings,indoor_water_use_kgal,warehouse_unrefrigerated_1,k_12_school_high_school_y,hotel_floor_area_of_gym,full_time_equivalent_fte,senior_care_facility_number_2,medical_office_gross_floor,office_pc_density,retail_weekly_operating_hours,target_site_energy_intensity,retail_number_of_walk_in,temporary_data_flag_district_2,hotel_presence_of_cooking,number_of_mri_machines,total_avoided_ghg_emissions,bank_financial_institution,county,current_direct_ghg_emissions,other_gross_floor_area_sq,hotel_average_occupancy
Ironclad A,15.0,,,45.0,,,,,,,10.0,527.1,,,,,6151866.77,No Selection Made,,,,,,,90.7,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,455.38,,
101 Ludlow,,,,18.0,,,,,,,,50291.4,,,,0.0,,No Selection Made,,,,,,,88.7,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,267.55,,
740 Broadw,,,,57.0,,,,,,,,30866.5,,Data > 120 days old<br>,,,3681123.25,No Selection Made,,,,,US Energy Group,,91.0,,,89.0,,,,,,,,,,,,1.43,168.0,0.0,0.0,,,,,,NEW YORK,435.02,,
HERNANDEZ,0.0,,,,,,,,,,,271318.9,,,,,,No Selection Made,,,,,,,220.3,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,1443.42,,
Tate,313.0,,,99.0,,,,,,64.0,20.0,205177.2,Other,,,,,No Selection Made,,,,,Bright Power,,98.5,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,1091.54,19422.0,
718 Broadw,37.0,,,57.0,,,,,,,30.0,1721.6,,,,,4995476.71,Whole Facility Energy Consumption,,,,,American Utility Consultants,,88.3,,,75.0,,,,,,,,,,,,1.18,,0.0,,,,,,,NEW YORK,376.66,,
Trinity -,,,,37.0,,,44459.0,,,78.0,,197944.4,Restaurant/Cafeteria,,0.0,,2311581.59,No Selection Made,,,,,"CodeGreen Solutions, Inc.",,96.2,,,56.0,,,14.0,,,,,,,,,2.87,60.0,0.0,0.0,,,,,2835.0,NEW YORK,1223.12,2305.0,
Manhattan,,,,21.0,,,,,,,,111135.0,Other,Data > 120 days old<br>,,0.0,337156.61,Whole Facility Energy Consumption,,,,,Great Forest Inc,,131.5,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,616.04,113971.0,
409 Lafaye,,,,,,,,,,,,19225.6,,,,,,Whole Facility Energy Consumption,,,,,The Daylight Savings Company,,60.8,,,65.0,,,,,,,,,,,,1.1,,0.0,,,,,,,NEW YORK,102.28,,
Snug Harbo,30.0,,,59.0,,,,,,,10.0,1234.7,,,,,,No Selection Made,,,,,,,84.2,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,485.01,,
The Tower 270 Condominium,,,,,,,,,,,,,,,,,,No Selection Made,,,,,,,,,,40.0,,,,,984792.1,,,,,,,21.05,,,,,,,,,NEW YORK,,,
West 27th Street,,,,99.0,,,,,,,,6826.8,Entertainment/Culture,,,,,No Selection Made,,,,,GRANT engineering,,13.6,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,36.32,83349.0,
175 Water,,,,1502.0,,,,,,,,5467.3,,,,,,No Selection Made,,,,,Great Forest Inc,,97.6,,,57.0,,,,,,,,,,,,3.31,60.0,0.0,2.0,,,,,,NEW YORK,29.09,,
53 Park Place - Lionshead 53 Dev. LLC,115.0,,,21.0,,,,,,,15.0,60171.5,,,,,,Whole Facility Energy Consumption,,,,,,,71.7,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,320.11,,
Milstein -,183.0,,,31704.0,,,,,,,10.0,,,,,,,No Selection Made,,,,,,,75.5,,,,No,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,774.02,,
SEWARD PAR,0.0,,,,,,,,,,,189784.1,,,,,,No Selection Made,,,,,,,112.1,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,1009.65,,
55 Broad S,,,,9.0,,,,,,65.0,,,Retail (Misc),,,,,Whole Facility Energy Consumption,,,,,"MCEnergy, Inc.",,113.1,,,65.0,,,,,9097.1,,,,,,,4.06,,0.0,,,,,,,NEW YORK,,8952.0,
555 West 23rd Street,223.0,,,99.0,,,,,,40.0,,162666.1,Other,,,,,No Selection Made,,0.0,,0.0,R3 Energy Management Audit & Review,,90.4,,,22.0,,,,,92.6,,,,,,,0.81,,0.0,,,,,,,NEW YORK,865.38,4000.0,
3 Washington Mews,,,,59.0,,,,,,,,,,,,,,No Selection Made,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,,
the door 555,,,,37.0,,,,0.0,,,,,,Data > 120 days old<br>,,,,No Selection Made,,,,,,,34.9,,,53.0,,2.45,,,,,1.0,,,,,2.19,,0.0,,,,,,,NEW YORK,,,
90 Church,,,,21.0,,,7000.0,,,,,,,,0.0,,,No Selection Made,,,,,,,65.9,,,76.0,,,,,,,,,,,,1.35,,0.0,,,,,,,NEW YORK,,,
262 Mott S,0.0,60.0,,43.0,,,,,,,10.0,,,Data > 120 days old<br>,,,,No Selection Made,,,,,Associated Renewable,,24.7,,,65.0,,,,,,0.0,,,,,,2.2,65.0,0.0,0.0,,,,,,NEW YORK,,,
The Standa,,,,79.0,,,,,,,,86938.4,,,,,,No Selection Made,,,,,,,162.2,,,,,,,,,,,1564.0,,,,,,0.0,,,1.0,,,,NEW YORK,462.51,,87.0
The Lee,0.0,,,2201.0,,,,,,,25.0,1380.4,,,,,,No Selection Made,,,,,Bright Power,,89.4,,,,,,,,4508.6,,,,,,,,,0.0,,,,,,,NEW YORK,7.34,,
20 Vesey,,,,21.0,,,,,,70.0,,,Entertainment/Culture,,,,,No Selection Made,,,,,NYG/DE Green Partners LLC,,71.0,,,50.0,No,,,,1334.3,,,,,,,3.48,,0.0,,,,,,,NEW YORK,215.01,3000.0,
140 Thomps,39.0,,,49.0,,,,,,,20.0,,,Data > 120 days old<br>,,,,No Selection Made,,,,,US Energy Group,,9.1,,,,No,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,,
Pratt Manh,,,,71.0,,,,0.0,,,,15997.0,,> 65 days in electrical meter entry<br>,,,,Whole Facility Energy Consumption,,,,,,,103.1,,,,,7.69,,,,,0.0,,,,,,,0.0,,,,,,,NEW YORK,85.1,,
128-138 Mott Street,,,,41.0,,,,,,,,19823.0,,,,,,No Selection Made,,,,,Associated Renewable,,69.1,,,91.0,,,,,,,,,,,,1.98,77.0,0.0,1.0,,,,,,NEW YORK,105.46,,
James Soho,,,,47.0,0.0,,,,,,,32006.0,,,,,,No Selection Made,,,,,,,110.1,,,,,,,,,,,800.0,,,,,,0.0,,,0.0,,,,NEW YORK,170.27,,95.0
Trinity- 3,,,,37.0,,,1300.0,,,,,26718.4,Other,,0.0,,,No Selection Made,,,,,"CodeGreen Solutions, Inc.",,113.6,,,55.0,,,,,,,,,,,,2.71,,0.0,,,,,,,NEW YORK,142.14,8211.0,
721-725 Broadway,,,,57.0,,,,,,,,,College/University (Campus-Level),,,,,No Selection Made,,,,,,,0.1,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,262739.0,
Waterman-,,,,49.0,,,250.0,,,57.0,,2871.0,Retail (Misc),,0.0,,,No Selection Made,,,,,"CodeGreen Solutions, Inc.",,66.4,,,46.0,,,,,1056.5,,,,,,,3.18,50.0,0.0,0.0,,,,,,NEW YORK,15.27,11867.0,
173-175 Ea,30.0,,,6.0,,,,,,,8.0,15657.0,,,,,,No Selection Made,,,,,,,57.4,,,40.0,,,,,,,,,,,,0.52,,0.0,,,,,,,NEW YORK,83.3,,
1 Whitehal,,,,9.0,,,,,,92.0,,,Convenience Store (with or without Gas Station),,,,,Whole Facility Energy Consumption,,,,,"MCEnergy, Inc.",,111.3,,,53.0,,,,,4276.3,,,,,,,2.83,,0.0,,,,,,,NEW YORK,,7231.0,
Renaissanc,,,,5502.0,,,,,,,,25924.0,,,,,,No Selection Made,,,,,iAG Energy Benchmarking Services,,87.3,,,48.0,,,,,,,,,,,8500.0,3.96,88.0,0.0,0.0,,,,,,NEW YORK,137.92,,
