ownerstreetaddress,tenantpostcode,tenantstreetname,routetoelevators,noofbicycleaccomodate,locationofentrances,ownerzipcode,regularhoursofoperation,census_tract,dobdevicenumber,floorsuiterequested,tenantnotificationexcept
622 Third Avenue,10017,Third Avenue,"Bicyclists will enter the loading dock on 41 Street and proceed to the security window and present their Building ID Card. Bicyclist will proceed to the freight elevator and wait for the freight car operator who will take them to the respective floor with their bicycle. For departure from the building, the bicyclist will use the freight elevator which will deliver them back to the loading dock for departure from the building.",,Bicyclists will enter and exit through the loading dock entrance located on 41st Street. Access into the loading dock area for bicyclists is not allowed before 8 AM or after 6 PM.,10017,Monday through Friday 8:00AM to 6:00PM ONLY,80.0,,2nd and 3rd floors,2011-05-27T00:00:00.000
1251 Avenue of the Americas,10020,Avenue of the Americas,,,,10020,,125.0,,20th,1999-01-31T00:00:00.000
295 Madison Avenue,10036,W 44th St,,,,10017,,96.0,,302B,1999-01-31T00:00:00.000
60 East 42nd Street,10165,East 42nd Street,,,,10165,,82.0,,764,
195 Broadway,10007,Broadway,Loading dock up ramp to freight elevator.,,Loading dock located on Fulton Street between Broadway and Church Street.,10007,8:00 a.m. to 4:45 p.m.,13.0,,29,1999-01-31T00:00:00.000
551 5th Avenue,10176,5th Avenue,Proceed through basement to utilize interior freight elevator.,,45th street freight entrance. Bike owners are to proceed through the basement to enter interior freight elevator.,10176,7am-5pm,94.0,,501,1999-01-31T00:00:00.000
295 Madison Avenue,10017,Madison Avenue,The freight corridor leads directly to the freight elevator.,,"Freight entrance on 41st St., loacted immediately to the right of the building's Main Entrance between Madison and Park Avenues.",10017,Monday - Friday 9am-5pm,82.0,,29 Floor,1999-01-31T00:00:00.000
866 UN Plaza,10017,UN Plaza,"To access the main frt elev, cyclists shall enter the loading dock & proceed up the entr ramp and check in with the Sec Guard. The sec officer will direct and grant access to the frt car. The freight elev will bring the bicycle(s) up to the applicable Tnt fls.",,All bicycles are to enter and exit the Building through the loading dock at the eastern end of the Building on 48th Street.,10017,"8:00 AM - 4:00 PM, Monday through Friday, excluding weekends and Holidays",8603.0,,"2,3,and 6 floors",1999-01-31T00:00:00.000
7 Penn Plaza,10010,Park Avenue South,,,,10001,,50.0,,Floor 11,1900-01-31T00:00:00.000
101 Park Avenue,10178,Park Avenue,,Fifteen.,,10178,,80.0,,"37, 38, 39, 40, 42, 43, 44, 45 and 46",1999-01-31T00:00:00.000
55 East 52nd Street,10022,East 52nd Street,Take hydro elevators from the loading dock to the basement and walk bike to the freight elevators.  Take the freight elevator to the 33rd floor.No riding is allowed in the building.,,53rd Street Loading Dock during regular business hoursBikers must dismount and walk the bike to the loading dock security booth,10055,Normal business hours Monday - Friday,102.0,,33 Floor,1999-01-31T00:00:00.000
1065 Avenue of the Americas,10018,Avenue of the Americas,Loading Dock entrance - Freight elevator access via ramp,,110 West 41st Street - Loading Dock entrance,10018,"8 a.m. to 5 p.m., Monday through Friday during normal business hrs. excluding bldg/national holiday",113.0,,7,1999-01-31T00:00:00.000
7 Times Square,10036,Times Square,"From the 41st Street Entrance, the registered bicycleusers must follow the pedestrian Ramp up to theLoading Dock Platform for screening by BuildingSecurity. The Bicycle User must present a valid BuildingIdentification Card with the appropiate decaldesignating them as a registered and authorized Bicycleuser. After screening the Bicycle User shall access theadjacent Freight Elevator.",,The designated entrance and exit for bicycles to 7Times Square is the Building's Receiving/Loading DockFacility located on the north side of West 41st Streetbetween Broadway and 7th Avenue.,10036,"8:00am-4:45pm, Monday to Friday, excluding Holidays.",113.0,,"C1, 27th and 28th floors",1999-01-31T00:00:00.000
122 East 42nd Street,10168,East 42nd Street,41st Street freight car to basement. Change to hi-rise elevator to access tenant's floor.,,125 East 41st Street. Entrance permitted at 41st Street building entrance only.,10168,"Business days only (Mon - Fri), 8:00 a.m. - 5:00 p.m.",80.0,,"Suite 2308, lobby, basement",1999-01-31T00:00:00.000
380 Lexington Avenue,10168,Lexington avenue,41st Street freight elevator to subbasement.  Interior hi-rise freight elevator then used to access all floors.,,"125 East 41st Street, Entrance permitted at 41st Street building entrance only.",10168,"Business days only (mon-Fri), 8 a.m. to 5 p.m.",80.0,,1920,
"101 Park Avenue, RM 2500",10178,Park Avenue,,Fifteen,,10178,,80.0,,15th Floor,1999-01-31T00:00:00.000
444 Madison Avenue,10022,Madison Avenue,,,,10022,,102.0,,28B,
712 5th Avenue,10019,Fifth Avenue,,,,10019,,104.0,,23,
1 Metrotech Center N,11201,Metrotech Center,"Once in the Loading Dock, all Bicycle will be carried up the access ramp to the Loading Dock Platform and through the double swing doors, to access the Freight Elevator(s).Bicycle access will be restricted to the Freight Elevator(s) and only during the specified building operating hours.",,"All Bicycle will enter through the Loading Dock Entrance, which is located under the building drive-through, aka MetroTech Roadway off Lawrence Street.",11201,"Monday through FridayOpen: 8AM to 12PM & 1PM to 5PMClosed: 12PM to 1PM, SAT, SUN & HOLIDAYS",11.0,,20th floor,
120 West 45th Street,10036,West 45th Street,"Enter building through loading dock and take a ramp to the service corridor, which leads to the high rise elevators.  The freight car services floors 2 - 39.",,"Loading dock entrance located on 45th street, west of building entrance.",10036,7:00am-12:00pm & 1:00pm-5:30pm,119.0,,25th Floor,2012-05-27T00:00:00.000
320 Park Avenue,10022,Park Avenue,From 50th Street loading area into freight elevator to tenant floor.,,Enter through 50th Street loading dock into freight elevator.,10022,Monday through Friday 6:00AM through 6:00PM.,102.0,,27th floor,1999-01-31T00:00:00.000
77 Water Street,10005,Water Street,,,,10005,,7.0,,12,1999-01-31T00:00:00.000
381 Park Avenue South,10016,Park Avenue South,Aprroximately 70 feet south of the freight entrance.,,Freight entrance at 108 East 27th Street,10016,Hours are Monday through Friday (except holidays) from 8 AM till noon and from 1 PM to 4:50 PM.,68.0,,1001,1999-01-31T00:00:00.000
100 Park Avenue,10017,Park Avenue,"The loading dock freight elevator will take the tenant to the basement, where the tenant will proceed down a corridor to the service freight elevator.  The service freight can access all floors.",,The loading dock is located on 40th Street between Park Avenue and Madison Avenue.,10017,8:00 am to 5:00 pm,82.0,,7th Floor and 2nd Floor,
1350 Avenue of the Americas,10019,Avenue of the Americas,,,,10019,,104.0,,"2nd, 3rd, and 4th",1999-01-31T00:00:00.000
444 Madison Ave.,10022,Madison Avenue,,,,10022,,102.0,,22,
485 Lexington Avenue,10017,Third Avenue,,,,10017,,92.0,,2400,
520 Madison Ave,10022,Madison Ave,,,,10022,,102.0,,"29, 30, 31",
215 Park Avenue South,10003,Park Avenue South,,,,10003,,50.0,,1,1999-01-31T00:00:00.000
