requestid,indexnumber,tenantname,dateofelevator,tenantbuildingnumber,tenantcity,alternateparkinglocation,dateofrequest,tenantstatecode,alternateparkingdescription,dateofbuilding,iscartop,requestdateofentry,ownerstatecode,tenantfloor,methodofelevator
1204,BIB12000142,Prince Street Capital Management LLC,,888,New York,,2012-05-21T00:00:00.000,NY,,,,2012-05-21T00:00:00.000,NY,26,
1276,BIB12000214!,Langan Engineering & Environmental Services,,360,New York,,2012-06-25T00:00:00.000,NY,,,,2012-06-25T00:00:00.000,NY,8,
1152,BIB12000090,Integrative Nutrition Inc,,3,New York,,2012-04-13T00:00:00.000,NY,,,,2012-04-13T00:00:00.000,NY,12,
345,BIB10000268,StrawberryFrog LLC,,60,New York,,2010-04-14T00:00:00.000,NY,,,,2010-04-14T00:00:00.000,NY,Penthouse,
509,BIB10000432,"Tweedy, Browne Company LLC",,350,New York,,2010-06-03T00:00:00.000,NY,,,,2010-06-03T00:00:00.000,NY,9th Floor,
1199,BIB12000137,Condenast,,750,New York,,2012-05-17T00:00:00.000,NY,,,,2012-05-17T00:00:00.000,NY,8,
1429,BIB12000367,Starvest Partners/Law Offices of Jeffrey Lichtman,,750,New York,,2012-12-07T00:00:00.000,NY,,,,2012-12-07T00:00:00.000,NY,15th Floor,
588,BIB10000511,Netik LLC,,40,New York,,2010-07-12T00:00:00.000,NY,,,,2010-07-12T00:00:00.000,NY,11,
1374,BIB12000312,Mcgladrey llp,,1185,New york,,2012-09-07T00:00:00.000,NY,,,,2012-09-07T00:00:00.000,NY,6th,
2702,BIB18000080,Reform Pension Board,,355,New York,,,NY,,,,,NY,5th Floor,
2404,BIB16000156,Lazard Middle Market LLC,,600,New York,,,NY,,,,,NY,8th Floor,
2314,BIB16000066,Testing the application,,55,NY,,,NY,,,,,NY,55,
514,BIB10000437,Soversa LLC,,215,New York,,2010-06-07T00:00:00.000,NY,,,,2010-06-07T00:00:00.000,NY,1302,
888,BIB11000161,Carabba Locke LLP,,100,New York,,2011-06-24T00:00:00.000,NY,,,,2011-06-24T00:00:00.000,NY,310,
2458,BIB16000210,New York Pilates,,611,New York,,,NY,,,,,NY,534,
1666,BIB13000221,"Tyndall Management, LLC",,599,New York,,,NY,,,,2013-08-02T15:38:55.000,NY,41,
739,BIB11000012,New York Water Taxi,,655,New York,Alternate Bicycle Parking will be provided at a secured convenient area located at 210 East 43rd Street (see attached plan).,2011-02-24T00:00:00.000,NY,"Sufficient bicycle parking will be accommodated via self supported bicycle storage racks located within the premises identified in ""A"" above.",,,2011-02-24T00:00:00.000,NY,14th Floor,
601,BIB10000524,Tiffany & Company,,600,New York,,2010-07-19T00:00:00.000,NY,,,,2010-07-19T00:00:00.000,NY,14,
2029,BIg15000005,kim McMillin,,156,New York,,2015-01-05T00:00:00.000,NY,,,,2015-01-05T16:32:16.000,NY,300,
104,BIB10000027,Conifer Securities,,767,New York,,2010-01-14T00:00:00.000,NY,,,,2010-01-14T00:00:00.000,NY,32,
1888,BIB14000137,"OSK Marketing & Communications, Inc.",,122,New York,,,NY,,,,2014-07-11T11:45:44.000,NY,5100,
67,BIB09000067,TV Guide Online Holdings L.L.C.,,11,New York,Secure storage space off of the 43rd street loading dock.,2009-12-21T00:00:00.000,NY,"Covered 1,117 sf space accessable only via the loading dock or 11 west lobby controlled by our security staff",,,2009-12-21T00:00:00.000,NY,16th Floor,
1895,BIB14000144,"FIT Consulting, Inc",,750,New York,,,NY,,,,2014-07-16T16:16:46.000,NY,27th fl,
449,BIB10000372,United Nations,1963-12-13T00:00:00.000,330,New York,,,NY,,1963-12-13T00:00:00.000,Yes,2010-05-13T14:12:52.000,NY,FF-220,Electronic
2708,BIB18000086,Godiva Chocolatier,,333,New York,,,NY,,,,,NY,6,
1178,BIB12000116,NEP Studios,,112,New York,,2012-04-30T00:00:00.000,NY,,,,2012-04-30T00:00:00.000,NY,21,
2775,BIB18000153,US Bank,,1095,New York,,,NY,,,,,NY,1500,
2287,BIB16000039,REAVIS PARENT LEHRER LLP,,41,NEW YORK,,,NY,,,,,NY,4102,
1198,BIB12000136,"Tangoe, Inc.",,205,New York,,2012-05-17T00:00:00.000,NY,,,,2012-05-17T00:00:00.000,NY,10th,
673,BIB10000596,Fairfield-Maxwell Ltd.,,60,New York,,2010-09-15T00:00:00.000,NY,,,,2010-09-15T00:00:00.000,NY,55,
848,BIB11000121,"Michael Baker Engineering, Inc.",,112,New York,,2011-05-25T00:00:00.000,NY,,,,2011-05-25T00:00:00.000,NY,903,
444,BIB10000367,United Nations,,305,New York,,2010-05-13T00:00:00.000,NY,,,,2010-05-13T00:00:00.000,NY,FF-220,
2622,BIB17000150,Doctors Without Borders,,40,New York,,,NY,,,,,NY,16,
643,BIB10000566,Water Isalnd Capital,,41,New York,,2010-08-16T00:00:00.000,NY,,,,2010-08-16T00:00:00.000,NY,28,
2675,BIB18000053,Adjaye Associates,,1,New York,,,NY,,,,,NY,2701,
1457,BIB13000012,Gallatin Capital LLC,,444,New York,,2013-01-29T00:00:00.000,NY,,,,2013-01-29T00:00:00.000,NY,29,
933,BIB11000206,King &Spalding,,1185,New York,,2011-08-01T00:00:00.000,NY,,,,2011-08-01T00:00:00.000,NY,35,
5,BIB09000005-,Red Kite Management,,1211,new york,,2009-12-11T00:00:00.000,NY,,,,2009-12-11T00:00:00.000,NY,2700,
2316,BIB16000068,Cloud9 Technologies LLC,,565,New York,,,NY,,,,,NY,17th floor,
1054,BIB11000327,Eladian Partners LLC,,101,New York,,2011-12-13T00:00:00.000,NY,,,,2011-12-13T00:00:00.000,NY,15th Floor,
2740,BIB18000118,Steptoe & Johnson LLP,,1114,New York,,,NY,,,,,NY,35,
1876,BIB14000125,"The British Consulate-General, New York",,845,New York,,,NY,,,,2014-07-07T09:16:01.000,NY,10,
2288,BIB16000040,United Stations Radio Networks,,485,New York,,,NY,,,,,NY,3,
897,BIB11000170,Hiscox,,520,New York,,2011-06-30T00:00:00.000,NY,,,,2011-06-30T00:00:00.000,NY,32,
2312,BIB16000064,WWE Inc,,780,New York,,,NY,,,,,NY,5,
521,BIB10000444,Benchmark Solutions Inc.,,101,New York,Storage for all permitted bicycles will be provided in a fully locked and secured room directly off the loading dock platform of 101 Park Avenue.,2010-06-07T00:00:00.000,NY,"On the loading dock, the employee must show his or her building ID to the security gaurd in the security office adjacent to the ramp. After doing so, the security gaurd will escort the employee and bicycle to the locked bicycle storage room for storage.",,,2010-06-07T00:00:00.000,NY,7th Floor,
2054,BIB15000027,Leading Edge Administrators,,1430,new york,,,NY,,,,,NY,13,
1679,BIB13000234,Joy Construction,,40,New York,,,NY,,,,2013-08-14T17:07:47.000,NY,21,
563,BIB10000486,Thailand Board of Investment,,61,New York,,2010-06-22T00:00:00.000,NY,,,,2010-06-22T00:00:00.000,NY,2810,
1493,BIB13000048,"Analytic Partners, Inc",,360,New York,,,NY,,,,2013-03-26T16:32:26.000,NY,17,
1687,BIB13000242,"Life Itself NYC, Inc",,40,New York,,2013-08-19T00:00:00.000,NY,,,,2013-08-19T00:00:00.000,NY,11th Floor,
510,BIB10000433,VEVO LLC,,825,New York,,2010-06-03T00:00:00.000,NY,,,,2010-06-03T00:00:00.000,NY,23,
305,BIB10000228,"NYS Supreme Court Appellate Division, First Dept.",,41,New York,,2010-04-01T00:00:00.000,NY,,,,2010-04-01T00:00:00.000,NY,B-01,
2475,BIB17000003,Teneo Holdings,,280,New York,,,NY,,,,,NY,4,
2792,BIB18000170,MQS Management LLC,,41,New York,,,NY,,,,,NY,34th Floor,
586,BIB10000509,Madison Square Investors,,1180,New York,,2010-07-08T00:00:00.000,NY,,,,2010-07-08T00:00:00.000,NY,21st Floor,
2049,BIB15000022,The Street/Deal,,20,NEW YORK,,,NY,,,,,NY,6th floor,
2009,BIB14000258,Gartner,,1325,New York,,,NY,,,,2014-10-29T09:38:50.000,NY,17th Floor,
1640,BIB13000195,Brixmor Property Group,,420,NY,,,NY,,,,2013-07-08T14:24:42.000,NY,7,
1623,BIB13000178,Standard Chartered Bank,,1095,New York,,,NY,,,,2013-06-13T16:52:10.000,NY,36,
1832,BIB14000081,"WeWork 79 Madison, LLC",,79,New York,,,NY,,,,2014-06-04T15:10:29.000,NY,2,
298,BIB10000221,"Story Worldwide, LLC",,360,New York,,2010-03-26T00:00:00.000,NY,,,,2010-03-26T00:00:00.000,NY,19th Floor,
2561,BIB17000089,Kriss & Feuerstein LLP,,360,New York,,,NY,,,,,NY,1200,
131,BIB10000054,The Riverside Company,,630,New York,,2010-01-26T00:00:00.000,NY,,,,2010-01-26T00:00:00.000,NY,2400,
731,BIB11000004,GDS International,,40,New York,,2011-01-26T00:00:00.000,NY,,,,2011-01-26T00:00:00.000,NY,5,
2419,BIB16000171,Grand Central Tech,,335,New York,,,NY,,,,,NY,3,
2084,BIB15000057,ING Financial Holdings Corporation LLC,,1325,New York,,2015-04-28T00:00:00.000,NY,,,,2015-07-14T00:00:00.000,NY,7th floor,
2031,BIB15000007,Rouse Properties,,1114,New York,,,NY,,,,,NY,28th FLoor,
1471,BIB13000026,Heineken,,245,new York,,,NY,,,,2013-03-01T11:54:25.000,NY,40th,
1747,BIB13000302,Grey Healthcare Group,,200,New York,,2013-12-11T00:00:00.000,NY,,,,2013-12-11T00:00:00.000,NY,5th Floor,
81,BIB10000004,Horizon Capital Advisors,,601,New York,"We've installed bike racks on our loading dock where tenants can park and lock their bikes at no cost. It is a supervise area all day long. There is a security camera which monitors the area were the bikes are parked, which can be seen at all times at the security desk.",2010-01-04T00:00:00.000,NY,"The loading dock is a covered area, where there is a supervisor on duty from 7am-8pm Mon-Fri and 7am-2pm Sat. The rest of the time the loading dock is closed and locked, but tenants can gain access by asking the security guard by the concierge desk to open it for them.",,,2010-01-04T00:00:00.000,NY,Suite M254,
614,BIB10000537,Michael Kors (USA),,11,NEW YORK,,2010-07-23T00:00:00.000,NY,,,,2010-07-23T00:00:00.000,NY,23RD FL,
999,BIB11000272,Moses & Singer LLP,,405,New York,666 Thirs Ave loading dock,2011-09-19T00:00:00.000,NY,A secure room off the loading dock,,,2011-09-19T00:00:00.000,NY,12,
784,BIB11000057,Arrowgrass Capital Partners (US) LP,,1330,New York,,2011-04-07T00:00:00.000,NY,,,,2011-04-07T00:00:00.000,NY,32,
1912,BIB14000161,OTR Global,,420,New York,,,NY,,,,2014-07-30T09:08:22.000,NY,300,
2071,BIB15000044,Grey Global Group,,200,New York,,,NY,,,,,NY,Mailroom,
348,BIB10000271,Virgo Business Center,,380,New York,,2010-04-14T00:00:00.000,NY,,,,2010-04-14T00:00:00.000,NY,17,
2112,BIB1500 0085,Ashurst LLP,,7,New York City,,,NY,,,,,NY,19,
2102,BIB15000075,"WW 205 E 42nd St Tenant, LLC",,205,New York,,,NY,,,,,NY,20,
2157,BIB15000130,YTest,,55,NY,,,NY,,,,,NY,7,
653,BIB10000576,The Dreyfus Corporation,,200,New York,Secure storage space off of the 666 Third Ave (Chrysler East) loading dock.,2010-08-27T00:00:00.000,NY,"Covered 1,106 sf space accessible only via the loading dock.",,,2010-08-27T00:00:00.000,NY,7th fl.,
788,BIB11000061,"O'Melveny & Myers, LLP",,7,New YOrk,,2011-04-12T00:00:00.000,NY,,,,2011-04-12T00:00:00.000,NY,34 Floor,
2286,BIB16000038,Lbrands,,1740,New York,,,NY,,,,,NY,23,
2480,-BIB17000008,Vanke Operations USA LLC,,130,New York,,,NY,,,,,NY,16,
457,BIB10000380,LinkShare Corporation,,215,New York,,2010-05-14T00:00:00.000,NY,,,,2010-05-14T00:00:00.000,NY,9th Floor,
1007,BIB11000280,Covington & Burling,,620,New York,,2011-09-26T00:00:00.000,NY,,,,2011-09-26T00:00:00.000,NY,42nd floor,
505,BIB10000428,Zielger Capital Markets,,1185,New York,,2010-06-03T00:00:00.000,NY,,,,2010-06-03T00:00:00.000,NY,32,
1909,BIB14000158,Shearman & Sterling LLP,,599,New York,,,NY,,,,2014-07-29T12:50:07.000,NY,1604,
260,BIB10000183,"Polshek Partnership Architects, LLP",,320,New York,,2010-03-12T00:00:00.000,NY,,,,2010-03-12T00:00:00.000,NY,8th floor,
519,BIB10000442,CBS Television Distribution,,1700,New York,,2010-06-07T00:00:00.000,NY,,,,2010-06-07T00:00:00.000,NY,33,
332,BIB10000255,"Trilogy Global Advisors, LLC",,1114,New York,,2010-04-12T00:00:00.000,NY,,,,2010-04-12T00:00:00.000,NY,28th floor,
670,BIB10000593,"TPG Planning & Design, LLC",,360,NEW YORK,,2010-09-15T00:00:00.000,NY,,,,2010-09-15T00:00:00.000,NY,19TH FLOOR,
1218,BIB,Deanco Digital Printing,,767,New York,,2012-05-29T00:00:00.000,NY,,,,2012-05-29T00:00:00.000,NY,Sub-Concrs,
1216,BIB12000154,APA International Placement Consultants LLC,,551,New York,,2012-05-29T00:00:00.000,NY,,,,2012-05-29T00:00:00.000,NY,Suite 322,
1131,BIB12000069,"Cerberus Capital Management, LP",,875,New York,,2012-04-04T00:00:00.000,NY,,,,2012-04-04T00:00:00.000,NY,11,
1052,BIB11000325,"Dexter Systems, Inc.",,221,New York,,2011-12-09T00:00:00.000,NY,,,,2011-12-09T00:00:00.000,NY,Floor 8,
2325,BIB16000077,NBCUniversal,,30,New York,,,NY,,,,,NY,S9C,
482,BIB10000405,government kingdom of the netherlands,,1,new york,,2010-05-25T00:00:00.000,NY,,,,2010-05-25T00:00:00.000,NY,11,
404,BIB10000327,Athilon Capital Corp.,,140,New York,,2010-05-04T00:00:00.000,NY,,,,2010-05-04T00:00:00.000,NY,32a,
1954,BIB14000203,Marex Spectron,,360,New York,,2014-09-05T00:00:00.000,NY,,,,2014-09-05T00:00:00.000,NY,3,
2690,BIB18000068,Education Counsel,,122,New York,,,NY,,,,,NY,2600,
2137,BIB15000110,Douglas Howell,,7,New York,,,NY,,,,,NY,4,
2768,BIB18000146,OSK Marketing & Communications,,122,New York,,,NY,,,,,NY,5100,
935,BIB11000208,Fiduciary Trust Company International,,600,New York,,2011-08-02T00:00:00.000,NY,,,,2011-08-02T00:00:00.000,NY,2nd FL,
723,BIB10000646,Heraeus,,540,New York,,2010-12-03T00:00:00.000,NY,,,,2010-12-03T00:00:00.000,NY,16,
2484,BIB17000012,Kelley Enterprises Inc.,,250,New York,,,NY,,,,,NY,7,
961,BIB11000234,Schafer Cullen Capital Management,,645,New York,,2011-08-16T00:00:00.000,NY,,,,2011-08-16T00:00:00.000,NY,700,
2090,BIB15000063,Permanent Mission of Burkina Faso,,633,New York,,,NY,,,,,NY,31st floor,
2351,BIB16000103,Reproductive specialists of N.Y.,,16,brooklyn,,,NY,,,,,NY,27,
2293,BIB16000045,Virgo Chanin Business Centers LLC,,122,New York,,,NY,,,,,NY,17,
884,BIB11000157,"Scarpati & Associates, LLP",,131,New York,,2011-06-22T00:00:00.000,NY,,,,2011-06-22T00:00:00.000,NY,1105,
527,BIB10000450,VEVO LLC,,825,New York,,2010-06-08T00:00:00.000,NY,,,,2010-06-08T00:00:00.000,NY,23rd,
1001,BIB11000274,Warner Bros. Entertainment Inc,,1325,NY,,2011-09-20T00:00:00.000,NY,,,,2011-09-20T00:00:00.000,NY,32,
2595,BIB17000123,Conduent,,420,New York,,2017-09-12T00:00:00.000,NY,,,,2017-09-12T00:00:00.000,NY,2220,
2613,BIB17000141,Resources Global Professionals,,7,New York,,,NY,,,,,NY,26,
2061,BIB15000034,Rebellion Design Co.,,611,New York,,,NY,,,,,NY,819,
1353,BIB12000291,Enso Capital Management LLC,,540,New York,,2012-08-23T00:00:00.000,NY,,,,2012-08-23T00:00:00.000,NY,18A,
1894,BIB14000143,Quanta US Holdings Inc.,,40,New York,,,NY,,,,2014-07-16T15:55:42.000,NY,12,
2064,BIB15000037,GrubHub/Seamless,,1065,New York,,2015-04-07T00:00:00.000,NY,,,,2015-04-07T00:00:00.000,NY,15,
341,BIB10000264,EMI Music,,150,New York,,2010-04-13T00:00:00.000,NY,,,,2010-04-13T00:00:00.000,NY,7th,
282,BIB10000205,Firmenich,,625,New York,,2010-03-23T00:00:00.000,NY,,,,2010-03-23T00:00:00.000,NY,17,
2644,BIB18000022,Legance LLP,,780,New York,,,NY,,,,,NY,25,
821,BIB11000094,Amnesty International USA,,5,New York,,2011-05-05T00:00:00.000,NY,,,,2011-05-05T00:00:00.000,NY,16th Floor,
660,BIB10000583,The Economist Group,,750,New York,,2010-09-07T00:00:00.000,NY,,,,2010-09-07T00:00:00.000,NY,5th floor,
1024,BIB11000297,DOITT,,2,New York,,2011-10-14T00:00:00.000,NY,,,,2011-10-14T00:00:00.000,NY,2nd floor,
1714,BIB13000269,Dow Jones and Company,,1155,New York,,,NY,,,,2013-09-18T15:55:59.000,NY,8,
2584,BIB17000112,HQ Global Workplace/Regus,,100,New York,,,NY,,,,,NY,1600,
892,BIB11000165,Shira Finkel,,350,New York,,2011-06-27T00:00:00.000,NY,,,,2011-06-27T00:00:00.000,NY,21,
153,BIB10000076,Auda International L.P.,,888,New Yor,,2010-02-03T00:00:00.000,NY,,,,2010-02-03T00:00:00.000,NY,41,
1844,BIB14000093,Wendy Gall at the Canadian Consulate General,,1251,New York,,,NY,,,,2014-06-11T15:33:08.000,NY,C1-15,
2336,BIB16000088,McCullough Ginsberg Montano & Partners LLP,,122,New York,,,NY,,,,,NY,3505,
1075,BIB12000013,Allianz Global Investors,,1633,New York,,2012-01-31T00:00:00.000,NY,,,,2012-01-31T00:00:00.000,NY,42nd Floor,
2156,BIB15000129,Cornell Tech,,620,New York,,2015-07-06T00:00:00.000,NY,,,,2015-07-13T00:00:00.000,NY,38th Floor,
269,BIB10000192,"Schrodinger, LLC",,120,New York,,2010-03-17T00:00:00.000,NY,,,,2010-03-17T00:00:00.000,NY,17,
2619,BIB1 7000147,Music Theatre International,,423,New York,,,NY,,,,,NY,2nd Floor,
931,BIB11000204,Mongoose Atlantic,,61,New York,,2011-07-29T00:00:00.000,NY,,,,2011-07-29T00:00:00.000,NY,3024,
2403,BIB16000155,"Fareportal, Inc.",,135,New York,,,NY,,,,,NY,5,
2051,BIB15000024,"Millhouse Peck Properties, LLC",,420,New York,,,NY,,,,,NY,Suite 2048,
1344,BIB12000282,Chris  Pedersen at the Canadian Consulate General,,1251,Brooklyn,,2012-08-17T00:00:00.000,NY,,,,2012-08-17T00:00:00.000,NY,Mezannine,
2493,BIB17000021,DeWitt Stern / Risk Strategies Company,,420,New York,,,NY,,,,,NY,2700/2600,
1910,BIB14000159,Videology Inc,,1500,new york,,,NY,,,,2014-07-29T14:04:26.000,NY,400,
405,BIB10000328,Kelly Services,,237,new york,,2010-05-04T00:00:00.000,NY,,,,2010-05-04T00:00:00.000,NY,ground,
2318,BIB16000070,Cloud9 Technologies LLC,,565,New York,,,NY,,,,,NY,17th floor,
1919,BIB14000168,Paramount SPB Realty LLC,,36,new york,,2014-08-07T00:00:00.000,NY,,,,2014-08-07T00:00:00.000,NY,801,
587,BIB10000510,TJM Institutional Services,,220,New York,,2010-07-09T00:00:00.000,NY,,,,2010-07-09T00:00:00.000,NY,3400,
1164,BIB12000102,Cassin & Cassin LLP,,711,New York,,2012-04-18T00:00:00.000,NY,,,,2012-04-18T00:00:00.000,NY,20th floor,
2276,BIB16000028,Midtown Orthopaedic Specialists Management LLC,,485,New York,,,NY,,,,,NY,8th FL,
1462,BIB13000017,Lucidus Capital Partners,,7,New York,,,NY,,,,2013-02-05T10:59:33.000,NY,4304,
2220,BIB15000193,"Mitsubishi Chemical Holdings America, Inc.",,655,New York,Alternate bicycle parking will be provided at a secured convenient area located at 210 East 43rd Street (see attached plan).,,NY,"Sufficient bicycle parking will be accommodated via self supported bicycle storage racks located within the premises identified in ""A"" above.",,,,NY,15th Floor,
2085,BIB15000058,N.S. Bienstock,,250,New York,,,NY,,,,,NY,Suite 333,
2024,BIB14000273,Offerpop Corporation,,360,New York,,,NY,,,,,NY,20,
1322,BIB,Caravel Management LLC,,888,New York,,2012-08-03T00:00:00.000,NY,,,,2012-08-03T00:00:00.000,NY,37,
895,BIB11000168,Integreon Managed Solutions,,622,New York,,2011-06-28T00:00:00.000,NY,,,,2011-06-28T00:00:00.000,NY,35th Floor,
749,BIB11000022,Agence France-Presse,,747,New York,,2011-03-03T00:00:00.000,NY,,,,2011-03-03T00:00:00.000,NY,35 Floor,
1123,BIB12000061,Permal,,900,New York,,2012-04-02T00:00:00.000,NY,,,,2012-04-02T00:00:00.000,NY,27,
2188,BIB15000161,Unicom Capital,,280,New York,,,NY,,,,,NY,28th fl,
455,BIB10000378,Stanton & Co.,,1270,New York City,,2010-05-14T00:00:00.000,NY,,,,2010-05-14T00:00:00.000,NY,208,
2094,BIB15000067,Commerzbank,,225,New York,,2015-05-05T00:00:00.000,NY,,,,2015-07-14T00:00:00.000,NY,34th,
136,BIB10000059,Progressive States Network,,101,New York,,2010-01-27T00:00:00.000,NY,,,,2010-01-27T00:00:00.000,NY,3rd,
1593,BIB13000148,National Institute for the Psychotherapies,,250,New York,,,NY,,,,2013-05-23T10:06:01.000,NY,501,
1539,BIB13000094,Michael Kahn,,79,New York,,,NY,,,,2013-04-29T14:29:36.000,NY,17,
106,BIB10000029,Ford Foundation,,320,New York,,2010-01-15T00:00:00.000,NY,,,,2010-01-15T00:00:00.000,NY,C level,
