bx_westchester_unionport,bk_gravesend,qn_rego_park,bk_brighton_beach,qn_briarwood_jamaica_hills,mn_manhattanville,bk_williamsburg,mn_washington_heights_south,bx_university_heights_morris,mn_stuyvesant_town_cooper,qn_maspeth,mn_gramercy,qn_east_flushing,si_stapleton_rosebank,bk_starrett_city,bin,street_address_mailing_address,qn_glendale,qn_middle_village,bx_north_riverdale_fieldston,bx_hunts_point,boroughs_served,si_rossville_woodrow,bx_highbridge,qn_springfield_gardens_north,mn_murray_hill_kips_bay,mn_west_village,city,longitude,bx_soundview_castle_hill,bk_crown_heights_south,mn_east_harlem_north,mn_lincoln_square,interest_areas,bk_east_new_york_pennsylvania,qn_pomonok_flushing_heights,nta,bk_kensington_ocean_parkway
Westchester-Unionport,,Rego Park,,Briarwood-Jamaica Hills,Manhattanville,,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,,3000924.0,420 Atlantic Avenue,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,BK,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Brooklyn,-73.984142,Soundview-Castle Hill-Clason Point-Harding Park,,East Harlem North,Lincoln Square,"Children and youth related, Education and literacy",,Pomonok-Flushing Heights-Hillcrest,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,3116396.0,1221 Church Avenue,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,All Boroughs,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Brooklyn,-73.968177,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Children and youth related, Sandlot Baseball (5 years to 21 year)/ Education",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Flatbush,Kensington-Ocean Parkway
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,3177186.0,485 kings hwy,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,BK,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Brooklyn,-73.971654,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Advocacy and organizing, Arts and culture, Education and literacy, Emergency management and disaster response, Senior Services",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Homecrest,Kensington-Ocean Parkway
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,1001245.0,222 Broadway,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,All Boroughs,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,New York,-74.008661,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,Employment and workforce development,East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Battery Park City-Lower Manhattan,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,1051430.0,1428 Fifth Avenue,,,,,"MN, BX",,,,,,New York,-73.946121,,,,,"Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Environment and sustainability, Health and medicine, Human services, People with disabilities, Senior Services, Women's issues, Technology",,,Central Harlem South,
,,,,,,,,,,,,,,,2008183.0,1711 Townsend Ave,,,,,BX,,,,,,The Bronx,-73.912051,,,,,"Advocacy and organizing, Human services, Senior Services, Wellness And Fitness",,,Mount Hope,
,,Rego Park,,,Manhattanville,,Washington Heights South,,,,Gramercy,,,,1081091.0,2205 1st Avenue,,,,,MN,,,,,,New York,-73.93665,Soundview-Castle Hill-Clason Point-Harding Park,,,,"Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Human services, Senior Services",,,East Harlem North,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,1027193.0,1855 Broadway,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,All Boroughs,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,New York,-73.982122,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Environment and sustainability, Health and medicine, Homeless and shelter",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Lincoln Square,Kensington-Ocean Parkway
,,,,Briarwood-Jamaica Hills,,,Washington Heights South,,,,,,,,3000937.0,460 Atlantic Avenue,,,,,"BK, QN",,,Springfield Gardens North,,,Brooklyn,-73.983223,,,East Harlem North,,Senior Services,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,4459315.0,53-21 Vernon Boulevard,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,All Boroughs,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Long Island City,-73.954871,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Children and youth related, Education and literacy, Environment and sustainability",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Hunters Point-Sunnyside-West Maspeth,Kensington-Ocean Parkway
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,4436448.0,c/o 443 Beach 54 St.,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,QN,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Arverne,-73.784697,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Children and youth related, Education and literacy, Emergency management and disaster response, Employment and workforce development, Faith-based, Health and medicine",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Hammels-Arverne-Edgemere,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,1001018.0,"40 Wall Street, Suite 708",,,,,All Boroughs,,,,,,New York,-74.009875,,,,,Children and youth related,,,Battery Park City-Lower Manhattan,
,,,,,,,,,,,,,,,,P.O. BOX 328,,,,,BX,,,,,,The Bronx,,,Crown Heights South,East Harlem North,,Emergency management and disaster response,,,,
,,,,,,,,,,,,,,,1087856.0,2006 Madison Ave,,,,,"BK, MN, BX",,,,,,New York,-73.939484,,,,,"Advocacy and organizing, Education and literacy, Employment and workforce development, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, LGBTQIA+, People with disabilities, Women's issues",,,Central Harlem North-Polo Grounds,
,,,,,Manhattanville,,Washington Heights South,,Stuyvesant Town-Cooper Village,,Gramercy,,,,4301622.0,131 Beach 19 St,,,,,QN,,,,Murray Hill-Kips Bay,West Village,Far Rockaway,-73.753207,,,East Harlem North,Lincoln Square,"Advocacy and organizing, Legal services, Senior Services",,,Far Rockaway-Bayswater,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,2004795.0,809 Westchester Ave,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,"BK, MN, BX",Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,The Bronx,-73.902661,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Advocacy and organizing, Children and youth related, Employment and workforce development, Human rights, Justice-related, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Melrose South-Mott Haven North,Kensington-Ocean Parkway
,,,,,,,,,,,,East Flushing,,,4432149.0,"112-20 72 Dr, Apt A29",,,,,QN,,,,,,Forest Hills,-73.837577,,,,,"Advocacy and organizing, Environment and sustainability, NYC Parks Stewardship",,,Forest Hills,
,,,,,,,Washington Heights South,,,,,,,,2096396.0,3450 Dekalb Avenue,,,,,BX,,,,,,The Bronx,-73.881226,,,,,"Children and youth related, Employment and workforce development, Human services, Immigrants and/or refugees, Legal services, Senior Services",,,Norwood,
,,,,,,,,,,,,,,,1054232.0,"2042 Madison Avenue, #1",,,,,MN,,,,,,New York,-73.938619,,,,,"Children and youth related, Education and literacy, Health and medicine, Women's issues",,,Central Harlem North-Polo Grounds,
,,,,,,,,,,,,,,,2096674.0,1380 Metropolitan Ave,,,,,BX,,,,,,The Bronx,-73.861061,,,,,Senior Services,,,Parkchester,
,,,,,,,,,,,,,,,2018218.0,3400 Reservoir Oval East,,,,,BX,,,,,,The Bronx,-73.87581,,,,,"Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Environment and sustainability, Health and medicine, Homeless and shelter, Human rights, Human services, Immigrants and/or refugees, LGBTQIA+, People with disabilities, Senior Services",,,Norwood,
,,Rego Park,,,,,,,Stuyvesant Town-Cooper Village,,Gramercy,,,,3341487.0,1720 Church Avenue,,,,,All Boroughs,,,,,West Village,Brooklyn,-73.963307,,,,,"Education and literacy, Employment and workforce development, Health and medicine, Human rights, Human services, Immigrants and/or refugees, LGBTQIA+, Legal services, People with disabilities, Women's issues, HIV+ Individuals",,,Flatbush,
,,,,,,,,,,,,,Stapleton-Rosebank,,3002242.0,44 Court Street,,,,,BK,Rossville-Woodrow,,,,,Brooklyn,-73.990963,,,,,"Justice-related, Legal services, Senior Services",,,Brooklyn Heights-Cobble Hill,
,,,,,,,,,,,,,,,2092455.0,"2719 Sedgwick Ave., APT 2E",,,,,BX,,,,,,The Bronx,-73.902908,,,,,"Advocacy and organizing, Animals, Arts and culture, Children and youth related, Education and literacy, Environment and sustainability, Human rights, LGBTQIA+, People with disabilities, Senior Services, Women's issues",,,Van Cortlandt Village,
,Gravesend,,Brighton Beach,,,Williamsburg,,,,,,,,Starrett City,1057032.0,1090 Amsterdam Avenue,,,,,MN,,,,,,New York,-73.962231,,Crown Heights South,,,Health and medicine,East New York (Pennsylvania Ave),,Morningside Heights,Kensington-Ocean Parkway
,Gravesend,,,,,,,,Stuyvesant Town-Cooper Village,,,,,,1014459.0,"500 7th Avenue, 18th Floor",,,,Hunts Point,All Boroughs,,,,,,New York,-73.989186,,,East Harlem North,,"Human rights, Human services, Women's issues",,,Midtown-Midtown South,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,1000820.0,"50 Broad Street, Suite 1720",Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,"BK, MN, QN",Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,New York,-74.011455,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Children and youth related, Education and literacy",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Battery Park City-Lower Manhattan,Kensington-Ocean Parkway
,Gravesend,,Brighton Beach,,,Williamsburg,,,,,,,,Starrett City,4437841.0,"59-03 Summerfield Street, GRYC",,,,,QN,,,,,,Ridgewood,-73.897855,,Crown Heights South,,,"Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development",East New York (Pennsylvania Ave),,Ridgewood,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,1001967.0,185 W Broadway,,,,,All Boroughs,,,Springfield Gardens North,,,New York,-74.007114,,,,,"Children and youth related, Human rights, Human services, Immigrants and/or refugees, Justice-related, Legal services",,,SoHo-TriBeCa-Civic Center-Little Italy,
,,,,,,,,,,,,,,,1087316.0,179 Rivington Street #4,,,,,All Boroughs,,,,,,New York,-73.984362,,,,,"Advocacy and organizing, Animals, Arts and culture, Children and youth related, Education and literacy, Employment and workforce development, Environment and sustainability, Justice-related",,,Lower East Side,
,Gravesend,,Brighton Beach,Briarwood-Jamaica Hills,,,,,,,,,,,2019744.0,4234 Vireo Avenue,,,,Hunts Point,"BK, BX, QN",,,,,,The Bronx,-73.864524,,,East Harlem North,,"Homeless and shelter, People with disabilities",,,Woodlawn-Wakefield,
,,,,,,,,,,,,East Flushing,,,1080966.0,520 West 49th St,,,,,All Boroughs,,,,,,New York,-73.993509,,,,,"Children and youth related, Emergency management and disaster response, Human services",,,Clinton,
,,,,,,,,,,,,,,,1064720.0,569 Academy St. Suite 2,,,,,"MN, BX",,,,,,New York,-73.923027,,,,,"Children and youth related, Education and literacy",,,Marble Hill-Inwood,
,,,,,,,,,,,,,,,1063861.0,515 Audubon Avenue,,,North Riverdale-Fieldston-Riverdale,,MN,,,,,,New York,-73.927909,,,,,Senior Services,,,Washington Heights North,
,,,,,,,,,,,,,,,1080807.0,"110 East 23rd Street, 5th Floor",,,,,All Boroughs,,,,,,New York,-73.985732,,,,Lincoln Square,"Children and youth related, Education and literacy, Agency for Youth",,,Gramercy,
,,,,,,,Washington Heights South,,,,,,,,,2390 29th # 2,,,,,"BK, MN, BX, QN",,,,,,Queens,,,,East Harlem North,,"Children and youth related, Education and literacy, Women's issues",East New York (Pennsylvania Ave),,,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,3045125.0,"562-574 Madison Street, Lower Level",Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,BK,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Brooklyn,-73.935295,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,Senior Services,East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Stuyvesant Heights,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,1034201.0,"4 W 43 Street, Suite 407",,,,,"BK, MN, BX, QN",,,,,,New York,-73.980932,,,,,"Advocacy and organizing, Faith-based, Homeless and shelter",,,Midtown-Midtown South,
,,,,,,,,,,,,,,,,PO Box 2009,,,,,"BK, MN",,,,,,New York,,,,,,Education and literacy,,,,
,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,,Stuyvesant Town-Cooper Village,Maspeth,,East Flushing,,,,P.O. Box 2223,,Middle Village,,Hunts Point,QN,,,Springfield Gardens North,,West Village,Southern Pines,,,Crown Heights South,East Harlem North,,Arts and culture,East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,,Kensington-Ocean Parkway
,,,,,Manhattanville,Williamsburg,Washington Heights South,,,,Gramercy,,,,1020416.0,240 Second Avenue,,,,,All Boroughs,,,,,West Village,New York,-73.984665,Soundview-Castle Hill-Clason Point-Harding Park,,East Harlem North,Lincoln Square,"Advocacy and organizing, Children and youth related, Education and literacy, Immigrants and/or refugees, Legal services",,,Gramercy,
Westchester-Unionport,Gravesend,,Brighton Beach,,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,,Gramercy,,,Starrett City,1083091.0,415 East 73rd Street,,,North Riverdale-Fieldston-Riverdale,Hunts Point,MN,,Highbridge,,Murray Hill-Kips Bay,West Village,New York,-73.954935,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Advocacy and organizing, Senior Services",East New York (Pennsylvania Ave),,Lenox Hill-Roosevelt Island,Kensington-Ocean Parkway
Westchester-Unionport,,,,,,,,University Heights-Morris Heights,,,,,,,1039972.0,"1011 First Avenue, 11th Floor",,,North Riverdale-Fieldston-Riverdale,Hunts Point,"MN, SI, BX",,Highbridge,,,,New York,-73.963692,Soundview-Castle Hill-Clason Point-Harding Park,,,,We serve all New Yorkers in need,,,Turtle Bay-East Midtown,
Westchester-Unionport,,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,,,PO Box 20488,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,MN,Rossville-Woodrow,,Springfield Gardens North,,West Village,New York,,,Crown Heights South,East Harlem North,Lincoln Square,"Advocacy and organizing, Education and literacy, Environment and sustainability",,Pomonok-Flushing Heights-Hillcrest,,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,2017787.0,"3424 Kossuth Avenue, Suite 3H-16",Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,BX,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,The Bronx,-73.88164,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,Health and medicine,East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Norwood,Kensington-Ocean Parkway
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,4540095.0,53-51 111th Street,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,QN,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Corona,-73.847986,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Animals, Children and youth related, Education and literacy, Environment and sustainability",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,park-cemetery-etc-Queens,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,1082736.0,"520 Second Ave, Ground Floor",,,,,MN,,,,,,New York,-73.978225,,,,,"Advocacy and organizing, Arts and culture, Human services, Immigrants and/or refugees, Legal services, Senior Services, Case Management Services",,,Murray Hill-Kips Bay,
Westchester-Unionport,,,,,,,Washington Heights South,University Heights-Morris Heights,,,,,,,4096960.0,13-28 123rd Street,,,North Riverdale-Fieldston-Riverdale,Hunts Point,QN,,Highbridge,,,,College Point,-73.844772,Soundview-Castle Hill-Clason Point-Harding Park,,East Harlem North,,"Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Environment and sustainability, Human rights, Human services, Immigrants and/or refugees, Legal services, Senior Services",,,College Point,
,,Rego Park,,Briarwood-Jamaica Hills,,,,,,Maspeth,,East Flushing,,,4432198.0,"59-55 47th Avenue, 2G",Glendale,Middle Village,,,QN,,,Springfield Gardens North,,,Woodside,-73.904419,,,,,Senior Services,,Pomonok-Flushing Heights-Hillcrest,Woodside,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,1001162.0,199 Water Street,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,"BK, MN, BX",Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,New York,-74.004314,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Children and youth related, Education and literacy",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Battery Park City-Lower Manhattan,Kensington-Ocean Parkway
,,,Brighton Beach,,,,,,,,,,,,3092631.0,"3208 Fulton Street, Ground Level",,,,,"BK, QN",,,,,,Brooklyn,-73.876771,,Crown Heights South,,,"Advocacy and organizing, Arts and culture, Education and literacy, Senior Services",,,Cypress Hills-City Line,
,,,,,,,,,,,,,,,1058844.0,"216 West 135th St., Ground Floor",,,,,"BK, MN, BX",,,,,,New York,-73.944411,,,,,"Children and youth related, Education and literacy",,,Central Harlem North-Polo Grounds,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,3048341.0,760 BROADWAY,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,BK,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Brooklyn,-73.941604,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Health and medicine, Human services, LGBTQIA+, People with disabilities",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Bushwick South,Kensington-Ocean Parkway
