q37_1_1,weight,q37_11,q34_1,q37_3,q25_6,q2,q46_7,q49a_1,q46_3,q46_5
1.0,0.1262,1.0,2.0,1.0,2,1,1.0,0,1.0,2.0
,0.2122,,,,2,1,,0,,
,0.8524,,,,2,1,,0,,
,1.4108,,,,2,1,,0,,
,1.3721,,,,2,1,,0,,
,0.2967,,,,2,1,,0,,
,3.1533,,,,1,1,,0,,
,0.136,,,,1,1,1.0,0,1.0,1.0
,6.0853,,,,2,1,,1,,
1.0,0.0178,2.0,2.0,2.0,2,1,,0,,
,0.108,,,,2,1,,0,,
,1.1287,,,,2,1,1.0,0,1.0,1.0
,0.366,,,,2,1,,0,,
,1.5538,,,,2,1,,0,,
,0.8622,,,,2,1,,0,,
2.0,1.4825,2.0,2.0,2.0,1,1,2.0,0,2.0,2.0
,0.0178,,,,2,1,,0,,
1.0,1.0472,1.0,1.0,1.0,2,1,,0,,
,0.3144,,,,2,1,,0,,
,0.372,,,,2,2,,0,,
,0.229,,,,-1,1,,0,,
,1.7907,,,,2,1,,0,,
,3.0826,,,,2,1,2.0,0,2.0,2.0
,0.901,,,,1,1,,0,,
,0.1047,,,,1,1,2.0,0,2.0,2.0
,1.5118,,,,1,1,1.0,0,1.0,1.0
,0.5885,,,,1,1,,0,,
,3.4782,,,,2,1,2.0,0,1.0,2.0
2.0,0.2032,1.0,2.0,1.0,2,1,,0,,
,0.3453,,,,2,1,2.0,0,2.0,2.0
,6.0853,,,,2,1,,0,,
,0.1348,,,,1,2,,0,,
2.0,1.357,2.0,2.0,2.0,2,1,2.0,0,2.0,2.0
,3.5381,,,,2,1,,0,,
,0.0462,,,,2,1,,0,,
1.0,0.4231,2.0,1.0,2.0,2,1,1.0,0,1.0,2.0
2.0,0.8786,1.0,2.0,2.0,2,1,2.0,0,2.0,2.0
,5.1711,,,,2,1,,0,,
2.0,1.7488,1.0,2.0,2.0,1,1,2.0,1,2.0,2.0
,6.0853,,,,2,1,,0,,
,0.0471,,,,2,1,,0,,
2.0,0.0563,1.0,2.0,2.0,2,1,,0,,
2.0,0.1541,1.0,2.0,2.0,2,1,1.0,0,2.0,2.0
,0.0178,,,,2,1,,0,,
,0.7272,,,,2,1,,0,,
,0.2246,,,,1,1,,0,,
,1.8571,,,,2,1,,0,,
2.0,2.3275,2.0,1.0,2.0,2,1,1.0,0,2.0,2.0
,2.6372,,,,2,1,2.0,0,2.0,2.0
