address_1,enclosed_mall_gross_floor,number_of_buildings,last_modified_date_property_2,hospital_general_medical,property_gfa_calculated_2,strip_mall_gross_floor_area,data_center_ups_output_meter,parking_completely_enclosed,data_center_it_source_energy,municipally_supplied_potable_2,national_median_source_eui,city,supermarket_grocery_number_1,data_center_it_site_energy,last_modified_date_electric,municipally_supplied_potable,multifamily_housing_gross,natural_gas_weather_normalized_1,wholesale_club_supercenter,weather_normalized_source,metered_areas_energy,community_board,bank_branch_gross_floor_area,_2nd_largest_property_use,financial_office_weekly,green_power_onsite_and_offsite,alert_energy_meter_has_gaps,data_center_ups_system,national_median_total_location,data_center_national_median,estimated_values_energy,multifamily_housing_number_2,senior_living_community_living,district_hot_water_use_kbtu,financial_office_number_of_1,water_use_all_water_sources,retail_store_gross_floor,target_energy_star_score,borough,kerosene_use_kbtu,hospital_general_medical_7,electricity_weather_normalized,medical_office_number_of_1,k_12_school_gross_floor_area,senior_living_community_gross,percent_of_recs_retained
409 Edgecombe Ave,Not Available,1,2020-03-10T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4947.6,108.6,New York,Not Available,Not Available,2023-04-17T00:00:00.000,Not Available,169147,0,Not Available,91.7,Whole Property,109.0,Not Available,Not Available,Not Available,0,Ok,Not Available,1165.6,Not Available,No,0,Not Available,Not Available,Not Available,4947.6,Not Available,90,MANHATTAN,Not Available,Not Available,344747.7,Not Available,Not Available,Not Available,Not Available
105 Jersey Street,Not Available,1,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Staten Island,Not Available,Not Available,,Not Available,Not Available,0,Not Available,0,Whole Property,501.0,Not Available,Not Available,Not Available,0,Ok,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,STATEN IS,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available
35-20 147th Street,Not Available,1,2020-03-17T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4617.7,118.1,Flushing,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,71783,0.7,Not Available,123.7,Whole Property,407.0,Not Available,Office,Not Available,0,Ok,Not Available,464.6,Not Available,No,0,Not Available,Not Available,Not Available,4617.7,11140,90,QUEENS,Not Available,Not Available,551678.7,Not Available,Not Available,Not Available,Not Available
"841 7 Avenue,",Not Available,1,2020-02-26T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,112.6,Manhattan,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,79309,50.9,Not Available,124.7,Whole Property,105.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,371.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,6000,Not Available,MANHATTAN,Not Available,Not Available,635679.1,Not Available,Not Available,Not Available,Not Available
241 Centre Street,Not Available,1,2021-09-02T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,893.1,131.4,New York,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,Not Available,0,Not Available,67.4,Whole Property,102.0,Not Available,Not Available,Not Available,0,Ok,Not Available,103.8,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,893.1,Not Available,Not Available,MANHATTAN,Not Available,Not Available,182669.5,Not Available,Not Available,Not Available,Not Available
3214 Beverly Road,Not Available,1,2023-07-25T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2238.2,99.4,Brooklyn,Not Available,Not Available,2023-07-26T00:00:00.000,Not Available,25675,Not Available,Not Available,57.5,Whole Property,317.0,Not Available,Not Available,Not Available,0,Ok,Not Available,128.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,2238.2,Not Available,Not Available,BROOKLYN,Not Available,Not Available,81151.2,Not Available,Not Available,Not Available,Not Available
941 Southern Blvd,Not Available,1,2023-05-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,411.1,208.9,Bronx,Not Available,Not Available,2023-05-01T00:00:00.000,Not Available,Not Available,5.3,Not Available,649,Whole Property,202.0,Not Available,Not Available,Not Available,0,Ok,Not Available,335.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,411.1,Not Available,Not Available,BRONX,Not Available,Not Available,329678,Not Available,Not Available,Not Available,Not Available
52-15 Metropolitan Avenue,Not Available,1,2023-07-12T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,120.5,87.2,Queens,Not Available,Not Available,2023-07-07T00:00:00.000,Not Available,Not Available,0.1,Not Available,12.3,Whole Property,405.0,Not Available,Office,Not Available,0,Ok,Not Available,174.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,120.5,Not Available,Not Available,QUEENS,Not Available,Not Available,5364,Not Available,Not Available,Not Available,Not Available
141 west 28th street,Not Available,1,2019-03-24T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,266.1,136.2,New York,Not Available,Not Available,2023-06-02T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,435.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,266.1,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
263 Eastern Parkway,Not Available,1,2014-08-05T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5329.8,129.8,Brooklyn,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,74990,1,Not Available,127.4,Whole Property,308.0,Not Available,Not Available,Not Available,0,Ok,Not Available,448.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,5329.8,Not Available,77,BROOKLYN,Not Available,Not Available,209145.3,Not Available,Not Available,Not Available,Not Available
996 Aldus Street,Not Available,1,2022-05-22T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,125.4,Bronx,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,46068,0.1,Not Available,129.6,Whole Property,202.0,Not Available,Not Available,Not Available,0,Ok,Not Available,320.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,233469.4,Not Available,Not Available,Not Available,Not Available
23 East 39 St,Not Available,1,2022-10-19T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1924,142.9,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,27.8,Not Available,148.6,Whole Property,106.0,Not Available,Not Available,Not Available,0,Ok,Not Available,194.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,1924,Not Available,Not Available,MANHATTAN,Not Available,Not Available,499759.6,Not Available,Not Available,Not Available,Not Available
195 Bowery St,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,619,120.1,Manhattan,Not Available,Not Available,2023-04-26T00:00:00.000,Not Available,44203,0.6,Not Available,133.8,Whole Property,103.0,Not Available,Not Available,Not Available,0,Ok,Not Available,211.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,619,Not Available,Not Available,MANHATTAN,Not Available,Not Available,324560,Not Available,Not Available,Not Available,Not Available
1975   CRESTON AVE,Not Available,1,2020-01-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4690.3,136.4,Bronx,Not Available,Not Available,2023-04-22T00:00:00.000,Not Available,37960,1,Not Available,135.7,Whole Property,205.0,Not Available,Not Available,Not Available,0,Ok,Not Available,236.4,Not Available,No,0,Not Available,Not Available,Not Available,4690.3,Not Available,Not Available,BRONX,Not Available,Not Available,127181.9,Not Available,Not Available,Not Available,Not Available
1150 Metropolitan Ave,Not Available,1,2019-10-12T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,64.1,Brooklyn,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,Not Available,0,Not Available,0.9,Whole Property,301.0,Not Available,Not Available,Not Available,0,Ok,Not Available,207,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,4497,Not Available,Not Available,Not Available,Not Available
43 Bleecker Street,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,118.1,Manhattan,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,37993,0,Not Available,17.4,Whole Property,102.0,Not Available,Not Available,Not Available,0,Ok,Not Available,139.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,MANHATTAN,Not Available,Not Available,66276,Not Available,Not Available,Not Available,Not Available
33-01 Vernon Blvd,Not Available,1,2023-04-18T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,215.4,151.1,Queens,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,0.5,Not Available,196.1,Whole Property,401.0,Not Available,Not Available,Not Available,0,Ok,Not Available,145.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,215.4,Not Available,Not Available,QUEENS,Not Available,Not Available,417763.8,Not Available,Not Available,Not Available,Not Available
2821 Briggs Avenue,Not Available,1,2020-12-08T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7845.6,132.2,Bronx,Not Available,Not Available,2023-03-24T00:00:00.000,Not Available,30780,1.2,Not Available,169.8,Whole Property,207.0,Not Available,Not Available,Not Available,0,Ok,Not Available,183.3,Not Available,No,0,Not Available,Not Available,Not Available,7845.6,Not Available,Not Available,BRONX,Not Available,Not Available,142740.8,Not Available,Not Available,Not Available,Not Available
456 Hudson St,Not Available,1,2023-03-14T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3217.5,120,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,32.2,Not Available,145.2,Whole Property,102.0,Not Available,Restaurant,Not Available,0,Ok,Not Available,59.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,3217.5,8897,Not Available,MANHATTAN,Not Available,Not Available,164751.1,Not Available,Not Available,Not Available,Not Available
55 East 196 street,Not Available,1,2021-03-15T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2472.9,110.1,Bronx,Not Available,Not Available,2023-04-21T00:00:00.000,Not Available,35532,Not Available,Not Available,Not Available,Whole Property,207.0,Not Available,Not Available,Not Available,0,Ok,Not Available,162.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,2472.9,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
43-07 39th Place,Not Available,1,2020-04-12T00:00:00.000,Not Available,3235,Not Available,Not Available,3235,Not Available,2422.2,118.4,Sunnyside,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,67775,0.5,Not Available,79.7,Whole Property,402.0,Not Available,Parking,Not Available,0,Ok,Not Available,360.9,Not Available,Yes,0,Not Available,Not Available,Not Available,2422.2,Not Available,90,QUEENS,Not Available,Not Available,202501.5,Not Available,Not Available,Not Available,Not Available
809 Madison Ave,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2822.5,123.4,Manhattan,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,41371,0,Not Available,153.4,Whole Property,108.0,Not Available,Not Available,Not Available,0,Ok,Not Available,242.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,2822.5,Not Available,Not Available,MANHATTAN,Not Available,Not Available,198312.3,Not Available,Not Available,Not Available,Not Available
14 East 75th Street,Not Available,1,2020-06-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2106.5,118.1,New York,Not Available,Not Available,2023-04-13T00:00:00.000,Not Available,135824,0.4,Not Available,90.8,Whole Property,108.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,668.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,2106.5,6927,Not Available,MANHATTAN,Not Available,Not Available,760102.6,0,Not Available,Not Available,Not Available
2280 Andrews Ave,Not Available,1,2020-03-12T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4835.9,105.5,Bronx,Not Available,Not Available,2023-04-13T00:00:00.000,Not Available,81144,0.5,Not Available,82.5,Whole Property,207.0,Not Available,Not Available,Not Available,0,Ok,Not Available,389.5,Not Available,No,0,Not Available,Not Available,Not Available,4835.9,Not Available,90,BRONX,Not Available,Not Available,226638.3,Not Available,Not Available,Not Available,Not Available
147-25 Northern Blvd,Not Available,1,2022-12-15T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11231.3,120.4,Queens,Not Available,Not Available,2023-03-17T00:00:00.000,Not Available,140000,0.9,Not Available,123.9,Whole Property,407.0,Not Available,Not Available,Not Available,0,Ok,Not Available,759,Not Available,No,Not Available,Not Available,Not Available,Not Available,11231.3,Not Available,Not Available,QUEENS,Not Available,Not Available,469885.1,Not Available,Not Available,Not Available,Not Available
1952 Benedict Avenue,Not Available,1,2022-05-05T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,439.2,135.5,Bronx,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,33.1,Not Available,220.2,Whole Property,209.0,Not Available,Not Available,Not Available,0,Ok,Not Available,159.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,439.2,Not Available,Not Available,BRONX,Not Available,Not Available,684938.9,Not Available,35298,Not Available,Not Available
802 Avenue U,Not Available,1,2021-10-26T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1056.2,112,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,41000,27.8,Not Available,50.3,Whole Property,315.0,Not Available,Not Available,Not Available,0,Ok,Not Available,192.8,Not Available,No,20,Not Available,Not Available,Not Available,1056.2,Not Available,Not Available,BROOKLYN,Not Available,Not Available,90745.5,Not Available,Not Available,Not Available,Not Available
409 Hewes Street,Not Available,1,2022-05-15T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2783.2,147.8,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,27774,0.9,Not Available,147.7,Whole Property,301.0,Not Available,Not Available,Not Available,0,Ok,Not Available,177.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,2783.2,Not Available,Not Available,BROOKLYN,Not Available,Not Available,146693.5,Not Available,Not Available,Not Available,Not Available
383 West Broadway,Not Available,1,2020-03-18T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,118.1,New York,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,60036,0,Not Available,93.5,Whole Property,102.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,433.1,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,14500,90,MANHATTAN,Not Available,Not Available,397073.9,Not Available,Not Available,Not Available,Not Available
"22 W 32ND STREET, 10001",Not Available,1,2022-04-07T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,146,NEW YORK,Not Available,Not Available,2023-03-21T00:00:00.000,Not Available,Not Available,0.2,Not Available,Not Available,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,651.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,837832.9,Not Available,Not Available,Not Available,Not Available
310 W 40th St,Not Available,1,2021-04-20T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,177.4,New York,Not Available,Not Available,2023-04-18T00:00:00.000,Not Available,Not Available,0.3,Not Available,180.8,Whole Property,104.0,Not Available,Not Available,Not Available,0,Ok,Not Available,699,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,1737972.7,Not Available,Not Available,Not Available,Not Available
145 Henry Street,Not Available,1,2022-04-26T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,967.2,128.7,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,40410,20.4,Not Available,62.6,Whole Property,302.0,Not Available,Not Available,Not Available,0,Ok,Not Available,193.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,967.2,Not Available,Not Available,BROOKLYN,Not Available,Not Available,174277,Not Available,Not Available,Not Available,Not Available
127-92 Garage Willets Point Boulevard,Not Available,1,2022-09-23T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95,Corona,Not Available,Not Available,2023-03-04T00:00:00.000,Not Available,Not Available,Not Available,Not Available,3174.2,Whole Property,,Not Available,Not Available,Not Available,0,Ok,Not Available,5.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,664513.3,Not Available,Not Available,Not Available,Not Available
23-23 Borden Avenue,Not Available,1,2023-02-21T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,89.3,Queens,Not Available,Not Available,2023-03-06T00:00:00.000,Not Available,Not Available,0.1,Not Available,109.8,Whole Property,402.0,Not Available,Manufacturing/Industrial Plant,Not Available,0,Ok,Not Available,149.5,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,511862.9,Not Available,Not Available,Not Available,Not Available
279 East 44th Street,Not Available,1,2020-04-12T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5005.4,123.8,New York,Not Available,Not Available,2023-04-03T00:00:00.000,Not Available,213397,0.1,Not Available,162.3,Whole Property,106.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,1437.7,Not Available,No,0,Not Available,Not Available,Not Available,5005.4,12170,90,MANHATTAN,Not Available,Not Available,1889168.9,Not Available,Not Available,Not Available,Not Available
1615 Avenue I,Not Available,1,2020-06-02T00:00:00.000,Not Available,17500,Not Available,Not Available,17500,Not Available,3904.8,123.2,Brooklyn,Not Available,Not Available,2023-03-27T00:00:00.000,Not Available,159088,0.6,Not Available,86.3,Whole Property,314.0,Not Available,Parking,Not Available,0,Ok,Not Available,875.8,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,3904.8,Not Available,85,BROOKLYN,Not Available,Not Available,412869.3,Not Available,Not Available,Not Available,Not Available
1000 Pennsylvania Ave,Not Available,1,2022-05-25T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3500.1,95.8,Brooklyn,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,Not Available,0.2,Not Available,88.1,Whole Property,305.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,1431.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,3500.1,96250,90,BROOKLYN,Not Available,Not Available,3006525.4,Not Available,Not Available,Not Available,Not Available
68 Richardson St,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,136.6,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,32532,0.1,Not Available,81.9,Whole Property,301.0,Not Available,Not Available,Not Available,0,Ok,Not Available,143.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,249646.6,Not Available,Not Available,Not Available,Not Available
2011 Mott Ave,Not Available,1,2021-06-10T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,484,89.3,Far Rockaway,Not Available,Not Available,2023-04-06T00:00:00.000,Not Available,Not Available,0.2,Not Available,136.7,Whole Property,414.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,106.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,484,17598,Not Available,QUEENS,Not Available,Not Available,408983.3,Not Available,Not Available,Not Available,Not Available
2471 Grand Avenue,Not Available,1,2018-03-11T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,112.6,Bronx,Not Available,Not Available,2023-04-21T00:00:00.000,Not Available,43000,Not Available,Not Available,Not Available,Whole Property,207.0,Not Available,Not Available,Not Available,0,Ok,Not Available,206.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2175 Cedar Avenue,Not Available,1,2020-01-21T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6278.2,119.2,Bronx,Not Available,Not Available,2023-04-03T00:00:00.000,Not Available,90650,0.7,Not Available,108.8,Whole Property,207.0,Not Available,Not Available,Not Available,0,Ok,Not Available,469.8,Not Available,No,0,Not Available,Not Available,Not Available,6278.2,Not Available,90,BRONX,Not Available,Not Available,343854.9,Not Available,Not Available,Not Available,Not Available
330 West 58th Street,Not Available,1,2020-03-16T00:00:00.000,Not Available,9788,Not Available,Not Available,9788,Not Available,Not Available,118.1,New York,Not Available,Not Available,2023-04-17T00:00:00.000,Not Available,259636,0.3,Not Available,51.2,Whole Property,104.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,1958.9,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,124330,Not Available,MANHATTAN,Not Available,Not Available,720461.3,Not Available,Not Available,Not Available,Not Available
341 Broome Street,Not Available,1,2022-03-30T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,211.4,New York,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,Not Available,110.6,Not Available,312.7,Whole Property,102.0,Not Available,Not Available,Not Available,0,Ok,Not Available,291.5,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,751532.9,Not Available,Not Available,Not Available,Not Available
