indicator_1_6,indicatoroverall_4,indicator_2_6,start_date,indicator_4_7,indicator_5_2,indicatoroverall_5,indicator_1_4,indicator_1_3
No Data,P,No Data,39163,WD,P,P,P,WD
No Data,WD,No Data,39160,WD,WD,WD,WD,WD
No Data,P,No Data,39059,P,P,P,P,P
No Data,WD,No Data,39064,P,P,P,P,P
No Data,U,No Data,38985,P,U,U,U,U
No Data,P,No Data,39031,P,P,P,P,WD
No Data,P,No Data,39163,WD,P,P,P,U
No Data,P,No Data,39112,P,P,P,P,P
No Data,P,No Data,38867,P,P,P,P,P
No Data,WD,No Data,39139,P,P,P,P,P
No Data,WD,No Data,39121,WD,WD,WD,WD,WD
No Data,WD,No Data,39167,WD,WD,WD,WD,P
No Data,P,No Data,39104,P,U,U,P,U
No Data,P,No Data,39146,WD,P,P,P,WD
No Data,P,No Data,39160,P,P,U,U,U
No Data,WD,No Data,39167,WD,WD,WD,P,WD
No Data,P,No Data,39021,WD,WD,P,P,WD
No Data,P,No Data,38852,P,P,P,P,P
No Data,WD,No Data,39038,WD,P,P,P,WD
No Data,U,No Data,39058,U,U,U,U,U
No Data,WD,No Data,39141,WD,WD,WD,WD,WD
No Data,WD,No Data,38812,WD,P,P,P,P
No Data,WD,No Data,39167,WD,P,P,P,P
No Data,WD,No Data,39160,WD,WD,WD,WD,WD
No Data,P,No Data,39006,P,U,U,U,U
No Data,WD,No Data,39127,WD,WD,P,WD,P
No Data,P,No Data,39121,WD,P,P,P,P
No Data,P,No Data,39112,P,U,P,U,P
No Data,P,No Data,39051,WD,P,P,P,P
No Data,WD,No Data,39000,P,WD,WD,WD,WD
No Data,WD,No Data,39062,WD,WD,WD,WD,WD
No Data,WD,No Data,39107,WD,P,P,P,P
No Data,WD,No Data,38852,WD,P,P,P,P
No Data,WD,No Data,39024,WD,WD,WD,P,WD
No Data,WD,No Data,39107,WD,WD,WD,P,WD
No Data,P,No Data,39113,WD,P,P,P,U
No Data,P,No Data,39015,WD,WD,P,WD,WD
No Data,WD,No Data,38985,WD,WD,WD,WD,WD
No Data,WD,No Data,38985,WD,WD,P,WD,WD
No Data,WD,No Data,39065,WD,WD,WD,P,WD
No Data,P,No Data,39009,WD,P,P,P,U
No Data,P,No Data,39002,P,U,U,U,U
No Data,WD,No Data,39153,WD,P,P,P,WD
No Data,P,No Data,39100,WD,P,P,P,P
No Data,P,No Data,38996,P,U,P,P,U
No Data,WD,No Data,38831,WD,WD,WD,WD,WD
No Data,WD,No Data,39057,WD,WD,WD,WD,WD
No Data,WD,No Data,38993,WD,WD,WD,WD,WD
No Data,P,No Data,39031,P,P,P,WD,WD
No Data,P,No Data,39063,P,P,P,P,P
No Data,WD,No Data,39057,WD,WD,WD,WD,WD
No Data,WD,No Data,39035,WD,P,WD,WD,WD
No Data,P,No Data,39146,WD,P,P,P,P
No Data,WD,No Data,39112,WD,WD,WD,P,P
No Data,P,No Data,39086,P,P,P,P,P
No Data,P,No Data,39168,WD,P,U,U,P
No Data,WD,No Data,39120,P,P,U,WD,P
No Data,WD,No Data,39057,WD,WD,WD,WD,WD
No Data,P,No Data,39014,P,P,P,U,P
No Data,WD,No Data,39148,WD,P,WD,P,P
No Data,WD,No Data,39121,WD,P,P,P,P
No Data,WD,No Data,39038,WD,WD,WD,WD,P
No Data,P,No Data,39092,WD,P,P,P,P
No Data,WD,No Data,39049,WD,WD,WD,WD,WD
No Data,WD,No Data,39118,WD,WD,WD,WD,WD
No Data,P,No Data,39127,P,P,P,P,P
No Data,WD,No Data,39063,WD,P,WD,WD,WD
No Data,WD,No Data,39048,WD,WD,WD,WD,WD
No Data,P,No Data,39106,WD,P,P,P,P
No Data,WD,No Data,38993,P,P,P,WD,WD
No Data,P,No Data,39114,WD,P,P,P,P
No Data,P,No Data,39049,P,P,P,P,P
No Data,P,No Data,38861,P,P,P,P,P
No Data,WD,No Data,38847,WD,P,P,WD,WD
No Data,WD,No Data,39062,P,P,P,P,P
No Data,P,No Data,38995,P,P,P,P,P
No Data,P,No Data,39141,WD,P,U,U,P
No Data,P,No Data,39112,P,P,P,WD,P
No Data,P,No Data,38854,P,P,P,P,P
No Data,P,No Data,39031,P,P,P,WD,WD
No Data,WD,No Data,39003,WD,WD,WD,P,WD
No Data,P,No Data,38996,P,P,P,P,P
No Data,WD,No Data,39065,WD,WD,P,WD,WD
No Data,WD,No Data,39119,WD,P,WD,WD,WD
No Data,P,No Data,39006,P,U,U,U,U
No Data,WD,No Data,38835,WD,WD,WD,WD,WD
No Data,WD,No Data,39112,WD,WD,WD,WD,WD
No Data,U,No Data,39142,P,U,U,U,U
No Data,WD,No Data,39160,WD,P,P,P,WD
No Data,WD,No Data,39126,WD,P,P,WD,WD
No Data,P,No Data,39107,P,U,U,U,P
No Data,WD,No Data,39086,WD,WD,WD,P,WD
No Data,P,No Data,39048,P,P,P,P,U
No Data,P,No Data,39056,P,P,P,P,P
No Data,P,No Data,39063,P,P,P,P,P
No Data,WD,No Data,39153,WD,WD,P,U,P
No Data,WD,No Data,39051,WD,WD,WD,P,P
No Data,P,No Data,38859,P,P,P,P,P
No Data,WD,No Data,39100,WD,WD,WD,WD,WD
No Data,WD,No Data,39090,WD,P,WD,WD,WD
No Data,P,No Data,39022,P,P,P,WD,P
No Data,P,No Data,39162,P,U,U,P,P
No Data,P,No Data,39112,P,P,P,P,P
No Data,WD,No Data,38985,WD,P,WD,WD,WD
No Data,WD,No Data,39036,WD,WD,WD,WD,WD
No Data,WD,No Data,39057,WD,WD,WD,WD,WD
No Data,P,No Data,39013,P,U,U,U,U
No Data,WD,No Data,39169,WD,WD,WD,WD,P
No Data,WD,No Data,39036,WD,WD,WD,WD,WD
No Data,WD,No Data,39057,WD,WD,WD,WD,WD
No Data,WD,No Data,39112,WD,P,WD,P,P
