property_id,address_1,data_center_pue,last_modified_date_gas_meters,third_party_certification,wastewater_treatment_plant,hospital_general_medical_9,annual_maximum_demand_kw,estimated_data_flag_fuel_3,weather_normalized_site,national_median_site_eui,financial_office_weekly,energy_power_station_gross,multifamily_housing_gross,total_ghg_emissions_metric,bank_branch_gross_floor_area,urgent_care_clinic_other,electricity_use_grid_purchase_2,parking_partially_enclosed,occupancy,national_median_total_ghg,multifamily_housing_number_2,medical_office_percent_that,adult_education_gross_floor,office_number_of_workers,direct_ghg_emissions_intensity,performing_arts_gross_floor,hospital_general_medical_2,office_percent_that_can_be,fuel_oil_1_use_kbtu,natural_gas_use_kbtu,medical_office_gross_floor,hospital_general_medical_7,automobile_dealership_gross,retail_store_number_of_open,difference_from_national,generation_date,alert_water_meter_has_less,municipally_supplied_potable,list_of_all_property_use,year_ending,last_modified_date_water,college_university_gross,manufacturing_industrial,costar_property_id,senior_care_community_living,direct_ghg_emissions_metric,social_meeting_hall_gross,_2nd_largest_property_use
1633616,2707 Albermarle Road,Not Available,04/17/2020 10:27 AM EDT,Not Available,Not Available,Not Available,260,Not Available,15.5,74.5,Not Available,Not Available,Not Available,305.2,Not Available,Not Available,2056753.6,Not Available,100,219.8,Not Available,Not Available,Not Available,Not Available,3.7,Not Available,Not Available,Not Available,Not Available,6800,Not Available,Not Available,Not Available,Not Available,38.8,2020-08-28T16:18:24.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,141.8,Not Available,Not Available
1634339,4210 Arthur Kill Road,Not Available,08/19/2020 10:12 AM EDT,Not Available,Not Available,Not Available,75.2,Not Available,5.8,94.3,Not Available,Not Available,Not Available,84.2,Not Available,Not Available,429639.0,Not Available,100,125.3,Not Available,Not Available,Not Available,Not Available,2.3,Not Available,Not Available,Not Available,Not Available,941900,Not Available,Not Available,Not Available,Not Available,-32.8,2020-08-28T16:17:39.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,50,Not Available,Not Available
1633092,170 Gates Avenue,Not Available,04/14/2020 02:38 PM EDT,Not Available,Not Available,Not Available,190.4,Not Available,5.8,86.1,Not Available,Not Available,Not Available,378.1,Not Available,Not Available,1995883.5,Not Available,100,535.7,Not Available,Not Available,Not Available,Not Available,2.2,Not Available,Not Available,Not Available,Not Available,4132399.8,Not Available,Not Available,Not Available,Not Available,-29.4,2020-08-28T16:17:40.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,219.5,Not Available,Not Available
1633163,345 Dean Street,Not Available,04/14/2020 02:38 PM EDT,Not Available,Not Available,Not Available,228,Not Available,2.9,122.7,Not Available,Not Available,Not Available,500.9,Not Available,Not Available,1529940.8,Not Available,100,1163.6,Not Available,Not Available,Not Available,Not Available,2.5,Not Available,Not Available,Not Available,Not Available,5395499.7,Not Available,Not Available,Not Available,Not Available,-57.0,2020-08-28T16:16:15.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:06 PM EDT,Not Available,Not Available,Not Available,Not Available,379.4,Not Available,Not Available
1633579,6500 16th Avenue,Not Available,04/17/2020 10:26 AM EDT,Not Available,Not Available,Not Available,304,Not Available,4.8,75.1,Not Available,Not Available,Not Available,567.7,Not Available,Not Available,2380211.2,Not Available,100,663.8,Not Available,Not Available,Not Available,Not Available,2.6,Not Available,Not Available,Not Available,Not Available,6742099.8,Not Available,Not Available,Not Available,Not Available,-14.5,2020-08-28T16:18:21.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:14 PM EDT,Not Available,Not Available,Not Available,Not Available,378.6,Not Available,Not Available
1634399,510 East 141st Street,Not Available,04/10/2020 05:35 PM EDT,Not Available,Not Available,Not Available,220.8,No,4.8,109.4,Not Available,Not Available,Not Available,575.9,Not Available,Not Available,1643765.1,Not Available,100,838.6,Not Available,Not Available,Not Available,Not Available,4.4,Not Available,Not Available,Not Available,Not Available,83700,Not Available,Not Available,Not Available,Not Available,-31.3,2020-08-28T16:16:48.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,445.3,Not Available,Not Available
1633610,29 Fort Greene Place,Not Available,04/14/2020 02:39 PM EDT,Not Available,Not Available,Not Available,862.9,No,4.4,91.7,Not Available,Not Available,Not Available,4716.3,Not Available,Not Available,10781920.0,Not Available,100,4893.4,Not Available,Not Available,Not Available,Not Available,5.4,Not Available,Not Available,Not Available,Not Available,2227300,Not Available,Not Available,Not Available,Not Available,-3.6,2020-08-28T16:16:52.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:28 PM EDT,Not Available,Not Available,Not Available,Not Available,3859.5,Not Available,Not Available
1633444,161 Park Avenue,Not Available,04/17/2020 12:53 PM EDT,Not Available,Not Available,Not Available,128.8,Not Available,8.3,104.3,Not Available,Not Available,Not Available,244.9,Not Available,Not Available,985931.5,Not Available,100,273.5,Not Available,Not Available,Not Available,Not Available,4.8,Not Available,Not Available,Not Available,Not Available,200100,Not Available,Not Available,Not Available,Not Available,-10.5,2020-08-28T16:17:42.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:14 PM EDT,Not Available,Not Available,Not Available,Not Available,166.6,Not Available,Not Available
1633464,1025 Morrison Avenue,Not Available,04/10/2020 05:35 PM EDT,Not Available,Not Available,Not Available,214,No,3.6,74.3,Not Available,Not Available,Not Available,882.7,Not Available,Not Available,1928735.4,Not Available,100,895.3,Not Available,Not Available,Not Available,Not Available,4.6,Not Available,Not Available,Not Available,Not Available,105300,Not Available,Not Available,Not Available,Not Available,-1.4,2020-05-01T21:41:54.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,719.3,Not Available,Not Available
1633209,80 Maple Parkway,Not Available,04/17/2020 12:54 PM EDT,Not Available,Not Available,Not Available,270.4,Not Available,5.9,79.5,Not Available,Not Available,Not Available,463.5,Not Available,Not Available,2326711.0,Not Available,100,591.8,Not Available,Not Available,Not Available,Not Available,2.4,Not Available,Not Available,Not Available,Not Available,4127000,Not Available,Not Available,Not Available,Not Available,-21.7,2020-08-28T16:17:36.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,278.6,Not Available,Not Available
1633786,37-15 13th Street,Not Available,04/13/2020 03:27 PM EDT,Not Available,Not Available,Not Available,172.8,No,5.0,88.7,Not Available,Not Available,Not Available,465.6,Not Available,Not Available,1770145.6,Not Available,100,547.1,Not Available,Not Available,Not Available,Not Available,3.1,Not Available,Not Available,Not Available,Not Available,6117699.7,Not Available,Not Available,Not Available,Not Available,-14.9,2020-08-28T16:17:50.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:29 PM EDT,Not Available,Not Available,Not Available,Not Available,324.9,Not Available,Not Available
1634462,1625 11th Avenue,Not Available,04/14/2020 02:37 PM EDT,Not Available,Not Available,Not Available,133.2,Not Available,4.9,73.7,Not Available,Not Available,Not Available,220.2,Not Available,Not Available,882070.2,Not Available,100,242.5,Not Available,Not Available,Not Available,Not Available,2.8,Not Available,Not Available,Not Available,Not Available,2213499.8,Not Available,Not Available,Not Available,Not Available,-9.2,2020-08-28T16:16:12.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:48 PM EDT,Not Available,Not Available,Not Available,Not Available,150.1,Not Available,Not Available
1634295,14-14 29th Avenue&,Not Available,04/13/2020 03:27 PM EDT,Not Available,Not Available,Not Available,214.6,Not Available,3.1,80.4,Not Available,Not Available,Not Available,544.2,Not Available,Not Available,1699967.6,Not Available,100,986.1,Not Available,Not Available,Not Available,Not Available,2.5,Not Available,Not Available,Not Available,Not Available,17500,Not Available,Not Available,Not Available,Not Available,-44.8,2020-08-28T16:18:40.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,409.2,Not Available,Not Available
1634040,50-05 31st Avenue,Not Available,04/13/2020 03:27 PM EDT,Not Available,Not Available,Not Available,152,Not Available,3.3,92.3,Not Available,Not Available,Not Available,381.0,Not Available,Not Available,1059084.8,Not Available,100,642.8,Not Available,Not Available,Not Available,Not Available,3.2,Not Available,Not Available,Not Available,Not Available,190800,Not Available,Not Available,Not Available,Not Available,-40.7,2020-08-28T16:16:23.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 09:14 PM EDT,Not Available,Not Available,Not Available,Not Available,296.8,Not Available,Not Available
1633300,1716 Southern Boulevard,Not Available,04/10/2020 05:35 PM EDT,Not Available,Not Available,Not Available,320,Not Available,17.4,60.9,Not Available,Not Available,Not Available,394.8,Not Available,Not Available,4173558.4,Not Available,100,314.9,Not Available,Not Available,Not Available,Not Available,0.9,Not Available,Not Available,Not Available,Not Available,1188900,Not Available,Not Available,Not Available,Not Available,25.4,2020-08-28T16:16:05.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,63.1,Not Available,Not Available
1261447,10 Columbus Circle,Not Available,03/16/2020 01:00 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,18.9,43.9,Not Available,Not Available,Not Available,25150.7,Not Available,Not Available,175967246.6,0,100,8988.0,Not Available,Not Available,Not Available,2300,0.4,174570,Not Available,100,Not Available,21267886.7,Not Available,Not Available,Not Available,51,179.8,2020-07-27T17:00:38.000,Ok,115914.4,"Data Center, Hotel, Office, Parking, Performing Arts, Residence Hall/Dormitory, Retail Store, Supermarket/Grocery Store",2019-12-31T00:00:00.000,04/10/2020 10:56 AM EDT,Not Available,Not Available,Not Available,Not Available,1157.3,Not Available,Residence Hall/Dormitory
1633792,4305 7th Avenue,Not Available,04/14/2020 02:37 PM EDT,Not Available,Not Available,Not Available,326,Not Available,5.8,95.7,Not Available,Not Available,Not Available,556.7,Not Available,Not Available,2466193.6,Not Available,100,737.8,Not Available,Not Available,Not Available,Not Available,2.9,Not Available,Not Available,Not Available,Not Available,5634500,Not Available,Not Available,Not Available,Not Available,-24.5,2020-08-28T16:16:07.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:28 PM EDT,Not Available,Not Available,Not Available,Not Available,360.7,Not Available,Not Available
1634425,456 White Plains Road,Not Available,04/10/2020 05:34 PM EDT,Not Available,Not Available,Not Available,344,No,4.4,82.0,Not Available,Not Available,Not Available,663.7,Not Available,Not Available,3038044.5,Not Available,100,1273.7,Not Available,Not Available,Not Available,Not Available,2.1,Not Available,Not Available,Not Available,Not Available,81700,Not Available,Not Available,Not Available,Not Available,-47.9,2020-08-28T16:17:20.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,422.3,Not Available,Not Available
1836374,348 Deisius Street,Not Available,04/17/2020 12:54 PM EDT,Not Available,Not Available,Not Available,144.8,Not Available,6.9,72.0,Not Available,Not Available,Not Available,158.2,Not Available,Not Available,970836.8,Not Available,100,198.4,Not Available,Not Available,Not Available,Not Available,2,Not Available,Not Available,Not Available,Not Available,1118100,Not Available,Not Available,Not Available,Not Available,-20.3,2020-08-28T16:17:58.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 06:07 PM EDT,Not Available,Not Available,Not Available,Not Available,81.1,Not Available,Not Available
1674432,3W5S,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17.8,100.7,70,Not Available,Not Available,4712.0,Not Available,Not Available,49594853.0,0,100,6738.9,Not Available,Not Available,Not Available,2176.74,0,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-30.1,2020-05-15T13:46:38.000,Ok,Not Available,"Data Center, Financial Office, Office, Parking",2019-12-31T00:00:00.000,05/12/2020 12:00 PM EDT,Not Available,Not Available,Not Available,Not Available,0,Not Available,Financial Office
1677104,1301 Avenue of the Americas,Not Available,04/13/2020 09:16 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,10.4,129.7,Not Available,Not Available,Not Available,14684.0,Not Available,Not Available,71809327.3,0,100,18683.8,Not Available,Not Available,Not Available,4657,0.7,Not Available,Not Available,100,Not Available,28282529.4,Not Available,Not Available,Not Available,0,-21.4,2020-05-15T13:46:39.000,Ok,Not Available,"Data Center, Office, Parking, Retail Store",2019-12-31T00:00:00.000,04/14/2020 08:58 AM EDT,Not Available,Not Available,Not Available,Not Available,1502.2,Not Available,Retail Store
1634533,33-09 35th Avenue,Not Available,04/13/2020 03:27 PM EDT,Not Available,Not Available,Not Available,452.9,Not Available,6.6,76.7,Not Available,Not Available,Not Available,608.1,Not Available,Not Available,2860620.8,Not Available,100,605.1,Not Available,Not Available,Not Available,Not Available,3,Not Available,Not Available,Not Available,Not Available,6088600,Not Available,Not Available,Not Available,Not Available,0.5,2020-08-28T16:17:56.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,380.8,Not Available,Not Available
1633100,364 Sackman Street,Not Available,04/14/2020 02:37 PM EDT,Not Available,Not Available,Not Available,166,Not Available,5.8,72.7,Not Available,Not Available,Not Available,445.5,Not Available,Not Available,2257379.2,Not Available,100,537.9,Not Available,Not Available,Not Available,Not Available,2.3,Not Available,Not Available,Not Available,Not Available,3583200.2,Not Available,Not Available,Not Available,Not Available,-17.2,2020-08-28T16:18:08.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:05 PM EDT,Not Available,Not Available,Not Available,Not Available,266.1,Not Available,Not Available
1634277,1119 Bedford Avenue,Not Available,04/14/2020 02:37 PM EDT,Not Available,Not Available,Not Available,104,Not Available,16.5,74.9,Not Available,Not Available,Not Available,179.8,Not Available,Not Available,1435769.6,Not Available,100,128.0,Not Available,Not Available,Not Available,Not Available,2.6,Not Available,Not Available,Not Available,Not Available,1236400,Not Available,Not Available,Not Available,Not Available,40.4,2020-08-28T16:17:31.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:48 PM EDT,Not Available,Not Available,Not Available,Not Available,65.7,Not Available,Not Available
1634195,330 Rugby Road,Not Available,04/17/2020 10:27 AM EDT,Not Available,Not Available,Not Available,195.2,No,4.0,93.6,Not Available,Not Available,Not Available,496.8,Not Available,Not Available,1457060.5,Not Available,100,763.6,Not Available,Not Available,Not Available,Not Available,3.5,Not Available,Not Available,Not Available,Not Available,193600,Not Available,Not Available,Not Available,Not Available,-34.9,2020-08-28T16:18:17.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:48 PM EDT,Not Available,Not Available,Not Available,Not Available,381,Not Available,Not Available
163373400.00%,1717 Fulton Avenue,Not Available,04/10/2020 05:34 PM EDT,Not Available,Not Available,Not Available,166,Not Available,11.0,63.1,Not Available,Not Available,Not Available,239.4,Not Available,Not Available,1536764.8,Not Available,100,162.9,Not Available,Not Available,Not Available,Not Available,2.9,Not Available,Not Available,Not Available,Not Available,2207700.1,Not Available,Not Available,Not Available,Not Available,46.9,2020-08-28T16:17:07.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,117.3,Not Available,Not Available
1633279,4011 Monticello Avenue,Not Available,04/10/2020 05:35 PM EDT,Not Available,Not Available,Not Available,270.4,Not Available,8.0,84.7,Not Available,Not Available,Not Available,673.2,Not Available,Not Available,2589298.2,Not Available,100,608.9,Not Available,Not Available,Not Available,Not Available,4.9,Not Available,Not Available,Not Available,Not Available,278000,Not Available,Not Available,Not Available,Not Available,10.6,2020-08-28T16:16:05.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,467.5,Not Available,Not Available
1633419,120-45 235th Street,Not Available,04/17/2020 12:54 PM EDT,Not Available,Not Available,Not Available,312,Not Available,8.7,48.6,Not Available,Not Available,Not Available,728.4,Not Available,Not Available,3862384.0,Not Available,100,470.8,Not Available,Not Available,Not Available,Not Available,3.1,Not Available,Not Available,Not Available,Not Available,1865099.9,Not Available,Not Available,Not Available,Not Available,54.7,2020-05-01T21:41:42.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:14 PM EDT,Not Available,Not Available,Not Available,Not Available,401.3,Not Available,Not Available
1634211,511 Seneca Avenue,Not Available,04/13/2020 03:27 PM EDT,Not Available,Not Available,Not Available,39.4,Not Available,3.3,53.1,Not Available,Not Available,Not Available,56.9,Not Available,Not Available,204760.9,Not Available,100,59.5,Not Available,Not Available,Not Available,Not Available,2.3,Not Available,Not Available,Not Available,Not Available,571200,Not Available,Not Available,Not Available,Not Available,-4.4,2020-08-28T16:17:28.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,40.6,Not Available,Not Available
1633118,116-01 116 Avenue,Not Available,04/17/2020 12:54 PM EDT,Not Available,Not Available,Not Available,105.6,Not Available,3.5,88.4,Not Available,Not Available,Not Available,401.4,Not Available,Not Available,1074370.6,Not Available,100,479.7,Not Available,Not Available,Not Available,Not Available,3.5,Not Available,Not Available,Not Available,Not Available,4774500,Not Available,Not Available,Not Available,Not Available,-16.3,2020-08-28T16:16:51.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:05 PM EDT,Not Available,Not Available,Not Available,Not Available,316.1,Not Available,Not Available
1.633968E+6,2951 West 3rd Street,Not Available,04/17/2020 10:27 AM EDT,Not Available,Not Available,Not Available,164.8,No,3.8,96.5,Not Available,Not Available,Not Available,545.8,Not Available,Not Available,1208666.9,Not Available,100,677.4,Not Available,Not Available,Not Available,Not Available,4.8,Not Available,Not Available,Not Available,Not Available,333800,Not Available,Not Available,Not Available,Not Available,-19.4,2020-08-28T16:18:06.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 09:14 PM EDT,Not Available,Not Available,Not Available,Not Available,449.8,Not Available,Not Available
1719778,24-01 44th Road,Not Available,04/13/2020 12:55 PM EDT,Not Available,Not Available,Not Available,822,Not Available,13.5,112.0,Not Available,Not Available,Not Available,1388.9,Not Available,Not Available,12632077.0,Not Available,100,2297.9,Not Available,Not Available,Not Available,943,1.2,Not Available,Not Available,100,Not Available,6007675.2,Not Available,Not Available,Not Available,Not Available,-39.6,2020-04-13T16:13:27.000,Ok,Not Available,"Data Center, Office",2019-12-31T00:00:00.000,04/13/2020 12:49 PM EDT,Not Available,Not Available,Not Available,Not Available,319.1,Not Available,Data Center
1633032,212 West 120th Street,Not Available,04/13/2020 05:46 PM EDT,Not Available,Not Available,Not Available,248,Not Available,4.5,101.5,Not Available,Not Available,Not Available,526.3,Not Available,Not Available,1683344.3,Not Available,100,843.6,Not Available,Not Available,Not Available,Not Available,3.6,Not Available,Not Available,Not Available,Not Available,69100,Not Available,Not Available,Not Available,Not Available,-37.6,2020-08-28T16:16:19.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,392.6,Not Available,Not Available
1633535,1871 Walton Avenue,Not Available,04/10/2020 05:34 PM EDT,Not Available,Not Available,Not Available,284,Not Available,12.5,77.4,Not Available,Not Available,Not Available,231.3,Not Available,Not Available,1860222.4,Not Available,100,236.6,Not Available,Not Available,Not Available,Not Available,1.9,Not Available,Not Available,Not Available,Not Available,1146299.9,Not Available,Not Available,Not Available,Not Available,-2.3,2020-08-28T16:18:09.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,83.4,Not Available,Not Available
1633415,18-25 212th Street,Not Available,04/13/2020 03:27 PM EDT,Not Available,Not Available,Not Available,120,No,4.3,76.4,Not Available,Not Available,Not Available,486.9,Not Available,Not Available,1372750.0,Not Available,100,530.8,Not Available,Not Available,Not Available,Not Available,4.1,Not Available,Not Available,Not Available,Not Available,330200,Not Available,Not Available,Not Available,Not Available,-8.3,2020-08-28T16:18:09.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,377.8,Not Available,Not Available
1633516,2024 Mohegan Avenue,Not Available,04/10/2020 05:35 PM EDT,Not Available,Not Available,Not Available,235.6,Not Available,4.2,88.8,Not Available,Not Available,Not Available,695.8,Not Available,Not Available,1920819.5,Not Available,100,881.6,Not Available,Not Available,Not Available,Not Available,4.1,Not Available,Not Available,Not Available,Not Available,179300,Not Available,Not Available,Not Available,Not Available,-21.1,2020-08-28T16:18:02.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,543.2,Not Available,Not Available
