building_id_espm,address_1,hotel_number_of_rooms,bank_financial_institution_2,senior_care_facility_number,current_weather_normalized,senior_care_facility_total,house_of_worship_weekly,k_12_school_walk_in_refrig,residence_halls_dormitories,hotel_percent_cooled,parking_open_floor_area_w,bin_unique_building_identifier,supermarkets_grocery_number_2,retail_exterior_entrance,senior_care_facility_average,retail_cash_register_density,temporary_data_flag_fuel,eligibility_for_energy_star,residence_halls_dormitories_1,last_modified_date,office_office_air_conditioned,office_gross_floor_area_sq,supermarkets_grocery_presence,fuel_oil_56_use_kbtu,total_floor_space_sq_ft,warehouse_unrefrigerated_3,temporary_data_flag_fuel_2,other_number_of_pcs,difference_from_national_1,k_12_school_open_weekends,national_median_source_eui,retail_pc_density,senior_care_facility_number_4,temporary_data_flag_natural,bank_financial_institution_1,approval_date_last_energy,temporary_data_flag,water_use_alerts,medical_office_percent_cooled,multifamily_home_number_of_1,temporary_data_flag_district,warehouse_unrefrigerated_6,address_2,senior_care_facility_number_1,k_12_school_percent_cooled,nta,postcode,current_total_source_energy
2831236,636 WATER ST. ETAL / VLADECK HSES,,,,,,,,,,,1077520;1077521;1077522;1077523;1077524;1077524;1077526;1077527;1077528;1077529;1083388;1083389;1083390;1083391;1083392;1083393;1083394;1083395;1083404;1083405,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-18T10:37:11.000,,,,,1190112.0,,,,,,,,,No,,,,,,1518.0,,,,,,Lower East Side,10001,
2921875,110 Greenwich Street,,,,106.2,,,,,,,,,1.0,,0.17,,Not Eligible: Rating must be 75 or above,,2012-05-04T14:59:54.000,,,,,61300.0,,,0.0,,,,0.33,,No,,,No,,,60.0,,,,,,Battery Park City-Lower Manhattan,10003,6293382.4
2712491,100 Church Street,,,,111.1,,,,,,,1001409,,,,,,Not Eligible: Less than one year since the period ending date of the last ENERGY STAR application.,,2012-04-24T21:06:04.000,83.61,1553505.0,,,1553505.0,,,,-55.4,,248.9,,,,,2011-11-16T14:19:43.000,No,,,,No,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10007,172623802.6
2732119,670 Broadway,,,,186.3,,,,,,,1008467,,1.0,,0.3,No,Not Eligible: Rating must be 75 or above,,2012-04-03T13:31:16.000,93.19,42500.0,,,65000.0,,,0.0,-4.0,,201.0,0.0,,,,,Yes,,,,,,,,,West Village,10012,12539025.0
1423089,80 Pine Street,,,,322.6,,,,,,0.0,1000880,,1.0,,0.72,,Not Eligible: Rating must be 75 or above,,2012-04-30T15:38:47.000,100.0,1062681.0,,,1084110.0,,,,12.7,,290.5,0.54,,,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10005,354797169.0
2660516,200 East 5th Street,,,,112.1,,,,,,,1006580,,,,,,Not Eligible: Rating must be 75 or above,,2012-07-12T09:24:11.000,,,,,122689.0,,,,,,,,,No,,,No,,,151.0,,,,,,East Village,10003,13634077.0
2640841,180 Varick Street,,,,143.2,,,,,,,1008117,,1.0,,0.59,,Eligible,,2012-04-10T14:10:49.000,100.0,350000.0,,5664760.07,370000.0,,No,,-46.5,,273.4,0.59,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10014,54161081.3
2921353,8 Washington Mews,,,,0.1,,,,,,,1078082,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-24T03:24:27.000,,,,,2739.0,,,,,,,,,No,,,No,,,,,,,,,West Village,10003,227.9
3115614,684 Broadway,,,,183.2,,,,,,,1008506,,1.0,,0.0,,Not Eligible: Rating must be 75 or above,,2012-04-30T14:14:17.000,,,,,65011.0,,,,,,,0.0,,No,,,No,,,22.0,,,,,,West Village,10012,11909338.5
2640847,584 Broadway,,,,172.2,,,,,,,1079998,,1.0,,0.55,,Eligible,,2012-04-23T16:04:37.000,100.0,226000.0,,2702711.41,246000.0,,No,,-37.3,,279.0,0.5,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10012,43053130.4
2806001,400 W. 37th St.,,,,151.5,,,,,,0.0,2806001,,1.0,,0.0,,Not Eligible: Rating must be 75 or above,,2012-05-01T17:07:36.000,100.0,2000.0,,,214954.0,,,,,,,0.31,,No,,,No,,,259.0,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10018,32573928.5
2921358,16 Washington Mews,,,,64.2,,,,,,,1082547,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-24T03:30:59.000,,,,,2604.0,,,,-72.6,,244.0,,,,,,No,,,,,,,,,West Village,10003,174154.9
2660336,41 East 11th St,,,,188.0,,,,,,,1009127,,,,,No,Not Eligible: Rating must be 75 or above,,2012-04-25T18:17:21.000,100.0,176607.0,,,220000.0,,,,14.6,,164.0,,,No,,,No,,90.0,,,,,,,West Village,10003,41354343.5
2921365,10 Washington Mews,,,,,,,,,,,1078084,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-24T03:17:27.000,,,,,2576.0,,,,,,144.0,,,,,,No,,,,,,,,,West Village,10003,
2704649,24 Fifth Avenue,,,,182.7,,,,,,,1009482,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T03:21:38.000,100.0,3000.0,,21978678.89,269119.0,,No,,,,,0.2,,,,,No,,100.0,420.0,,,,,,West Village,10011,49221162.3
2684802,11 Waverly Place,,,,164.5,,,,,,,,,1.0,,2.12,,Not Eligible: Rating must be 75 or above,,2012-04-13T16:09:52.000,100.0,4300.0,,,82500.0,,,,,,,0.2,,No,,,No,,,,,,,,,West Village,10003,13809856.8
2704587,37 West 12th Street,,,,115.4,,,,,,0.0,1077930;1077932,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T03:21:35.000,,,,,225875.0,,,,,,,,,,,,No,,100.0,103.0,No,,,,,West Village,10011,26254417.1
2831030,427 WEST 26TH STREET - ELLIOT HOUSE,,,,,,,,,,,1012828;1083578;1083579;1083582,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-18T10:13:27.000,,,,,515848.0,,,,,,,,,No,,,No,,,607.0,,,,,,,10001,
2825722,60 Washington Square South,,,,84.4,,,,,,,1008662,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-24T03:30:38.000,,,,,247639.0,,,,18.3,,71.0,,,No,,,No,,,,,,,,,West Village,10012,20790964.7
2830982,635 EST 12TH ST.- CAMPUS PLAZA BLD #1,,,,24.8,,,,,,,1079061;1082803,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-18T10:06:43.000,,,,,303090.0,,,,,,,,,No,,,No,,,269.0,,,,,,,10001,7530346.8
2614197,40 Wall Street,,,,,,,,,,,1001018,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-25T17:04:24.000,,,,,,,,,,,,,,,,,,,,,,,,,,Battery Park City-Lower Manhattan,10005,
3129002,40 Broad St,,,,265.1,,,,,,,1078985,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-30T15:51:58.000,,,,,242953.0,,,,,,,0.2,,No,,,No,,,159.0,No,,,,,Battery Park City-Lower Manhattan,10004,65376915.9
2975793,134-140 Grand Street,,,,96.2,,,,,,,1084588;1007030,,,,,No,Not Eligible: Rating must be 75 or above,,2012-04-16T16:31:28.000,,,,,69928.0,,,,,,,,,No,,,No,,,17.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,6724684.5
2425340,101 Ludlow St,,,,185.9,,,,104570.0,,,1005320,,,,,,Not Eligible: Rating must be 75 or above,80.0,2012-07-16T10:21:04.000,,,,,104570.0,,,,3.3,,179.9,,,No,,,No,,,,,,,,,Chinatown,10002,19442346.0
2817542,740 Broadway,,,,254.3,,,,,,,1080092,,1.0,,0.45,No,Not Eligible: Rating must be 75 or above,,2012-05-28T21:22:14.000,70.33,287886.0,,,316832.0,,,,-10.3,,287.7,0.17,,No,,,No,,,,,,,,,West Village,10003,81729950.5
2831062,189 ALLEN STREET - HERNANDEZ HOUSES,,,,289.4,,,,,,,1005537,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-18T10:15:54.000,,,,,139321.0,,,,,,,,,No,,,No,,,149.0,,,,,,,10001,40319074.2
3114446,535 West 23rd Street,,,,172.2,,,,,,,1012347,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T20:46:20.000,,,,,300000.0,,,36.0,,,,,,No,,,No,,,313.0,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10011,52201999.3
2717837,718 Broadway,,,,144.4,,,,,,,1008793,,,,,No,Not Eligible: Rating must be 75 or above,,2012-04-18T03:31:45.000,100.0,10200.0,,,79900.0,,,,,,,,,No,,,No,,,40.0,,,,,,West Village,10003,11826281.1
2379262,345 Hudson street,,6.0,,261.0,,,,,,,1010378,,1.0,,0.23,No,Not Eligible: Less than one year since the period ending date of the last ENERGY STAR application.,,2012-03-19T13:26:08.000,100.0,841601.0,,,908818.0,,,2.0,-28.1,,361.1,0.23,,No,100.0,2011-11-30T11:24:37.000,No,,,,No,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10014,235861368.7
2815137,101 Murray St,,,,256.4,,,,29120.0,,,,,,,,No,Not Eligible: Rating must be 75 or above,100.0,2012-04-30T23:44:15.000,,,,,143091.0,,,,5.7,,244.0,,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10007,36883635.1
2811083,409 Layfayette St.,,,,153.4,,,,,,,1008771,,,,,,Not Eligible: Current period ending over 120 days,,2012-04-26T16:17:43.000,100.0,88500.0,,,88500.0,,,,-31.4,,223.7,,,No,,,No,,,,,,,,,,10003,13574039.0
2787039,303 Mercer Street,,,,114.8,,,,,,,1008836;1084933,,,,,,Not Eligible: Rating must be 75 or above,,2012-03-06T11:25:18.000,,,,6039787.14,86322.0,,No,,,,,,,No,,,No,,,62.0,,,,,,West Village,10003,9859275.2
2715852,270 Broadway (80 Chambers St.),,,,,,,,,,,1079153,,,,,,Not Eligible: Rating must be 75 or above,,2012-02-29T09:00:32.000,100.0,95000.0,,,216053.0,,,,,,,,,No,,,No,,,90.0,No,,,,,,10007,
3119603,530-542 W 27th St.,,,,26.7,,,,,,,1012398;1012399;1012400,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-30T22:56:03.000,,,,,83349.0,,,,-71.6,,94.0,,,No,,,No,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10001,2225730.9
1413685,175 Water Street,,,,288.3,,,,,,,"1001137
1804058",,1.0,,0.23,,Not Eligible: Rating must be 75 or above,,2012-04-17T11:36:47.000,83.7,497902.0,,,510858.0,,,,0.0,,288.1,0.15,,No,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10038,147102880.1
2736217,53 Park Place,,,,141.2,,,,,,,1001412,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-24T17:02:55.000,,,,,138600.0,,,,,,,,,No,,,No,,,115.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10007,19653036.3
2654417,21 South End Avenue,,,,143.2,,,,,,,1075698,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-03-20T08:31:13.000,,,,,225262.0,,,,,,,0.2,,,,,No,,,183.0,,,,,,Battery Park City-Lower Manhattan,10280,32845091.9
2831187,62 ESSEX ST - SEWARD PRK ENT BLDG 1,,,,180.4,,,,,,,1004158;1083428;1083429;1087106,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-18T10:32:42.000,,,,,376859.0,,,,,,,,,No,,,No,,,364.0,No,,,,,,10001,68782051.3
1423560,55 Broad Street,,,,293.3,,,,,,,1000821,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T14:40:49.000,100.0,401343.0,,,410295.0,,,6.0,-3.8,,304.1,,,,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10004,120028357.1
2650518,555 West 23rd Street,,,,175.4,,,,,,0.0,1012345,,,,,,Not Eligible: Rating must be 75 or above,,2012-03-20T15:34:01.000,81.25,16000.0,,,310612.0,,,1.0,,,,,,No,,,No,,,336.0,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10011,54505843.2
2440154,335 West 16th Street,,,,,,,,,,,1013048,,,,,,Not Eligible: Rating must be 75 or above,,2012-07-16T10:41:32.000,25.0,48800.0,,,68329.0,,,75.0,,,164.0,,,No,,,No,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10011,
2481300,55 Water St,,,,401.8,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-03T09:16:13.000,100.0,3471525.0,,,3667682.0,,,,6.8,,376.3,,,No,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10041,1473812695.0
2715783,25 Beekman Place,,,,,,,,,,,1001279,,,,,,Not Eligible: Rating must be 75 or above,,2012-03-12T08:22:10.000,,,,,36246.0,,,,,,,,,No,,,No,,,7.0,,,,,,Turtle Bay-East Midtown,10022,
3106426,33 Greenwich Avenue,,,,92.3,,,,,,,1010852,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T16:27:03.000,,,,7734876.37,142941.0,,No,,,,,,,No,,,No,,,151.0,,,,,,West Village,10014,13396299.6
2604384,23 East 10th Street,,,,164.9,,,,,,,1082677,,1.0,,0.13,,Not Eligible: Rating must be 75 or above,,2012-04-19T03:30:17.000,,,,,199822.0,,,6.0,,,,0.5,,No,,,No,,,205.0,,,,,,West Village,10003,33098516.9
2679425,605 Water Street,,,,157.4,,,,,,,1003141;1805579,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T03:21:06.000,,,,,136070.0,,,,,,,,,,,,No,,,124.0,No,,,,,Lower East Side,10002,21237233.2
3115568,20 North Moore Street,,,,90.7,,,,,,,1002147,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-27T11:32:42.000,,,,,66918.0,,,,,,,,,No,,,No,,,20.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,6066640.0
2831100,175 ELDRIDGE ST LOWER E.S. INFILL I,,,,117.4,,,,,,,1005602;1077628;1077629;1077637;1077638;1077638,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-18T10:18:34.000,,,,,201034.0,,,,,,,,,No,,,No,,,189.0,,,,,,Chinatown,10001,22907118.8
2656428,72-78 Spring Street,,,,162.4,,,,,,,1007214,,1.0,,0.96,,Eligible,,2012-03-16T12:43:06.000,100.0,120000.0,,,130000.0,,,1.0,-46.4,,303.2,1.73,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10012,21108501.0
3114399,"39 East 12th Street, NYC 10003",,,,120.0,,,,,,,1009204,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-24T10:54:57.000,,,,,89970.0,,,,,,,,,No,,,No,,,96.0,,,,,,West Village,10003,10698723.2
3114445,400 West 12th Street,,,,191.7,,,,,,0.0,1012048,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-21T17:05:48.000,,,,,182810.0,,,,,,,,,No,,,No,Less than 1 year of data<br>,,75.0,,,,,,West Village,10014,35038552.8
1329973,55 Fifth Avenue,,,,236.4,,,,,,,"BBL: 1-00570-7501    
Previously submitted as: 1-00570-1015

7/18/2011 We called 311 Benchmarking help center and were told to put Cardozo Law School as Office space, because there wasn't a space type option for a single vertical campus. Case # 0718114",,,,,,Not Eligible: Rating must be 75 or above,,2012-04-30T19:25:16.000,100.0,305153.0,,,305153.0,,,,-25.1,,310.4,,,No,,,No,,,,No,,,,,West Village,10003,70913011.5
2817616,137/145/149 W 12th St,,,,27.8,,,,,,,1078120,,,,,,Not Eligible: Rating must be 75 or above,,2012-05-28T21:22:41.000,,,,,52200.0,,,,,,,,,No,,,No,,,104.0,,,,,,,10011,1477079.0
2702022,40 Worth Street,,,,,,,,,,,1001622,,,,,,Not Eligible: Current period ending over 120 days,,2012-03-14T15:19:22.000,,,,,,,,,,,,,,,,,,Less than 1 year of data<br>,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,
2745662,2 Cornelia Street,,,,,,,,,,,1010086,,,,,,Not Eligible: Rating must be 75 or above,,2012-02-28T09:02:02.000,,,,,48500.0,,,,,,,,,,,,No,There is no water use for the time period specified.,,43.0,,,,,,West Village,10014,
2706312,120 East 12th Street,,,,32.2,,,,189261.0,,,1087924,,,,,,Not Eligible: Current period ending over 120 days,100.0,2012-04-24T18:00:22.000,,,,,189261.0,,,,-84.1,,185.4,,,No,,,No,,,,,,,,,East Village,10003,5577514.5
2830967,251 EAST 3RD STREET - BRACETTI PLAZA,,,,187.6,,,,,,,1004617,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-18T10:04:14.000,,,,,128654.0,,,,,,,,,No,,,No,,,108.0,,,,,,,10001,24408755.8
2649514,305 West 13th Street,,,,131.2,,,,,,,1011714,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-23T11:12:12.000,,,,5275573.2,76125.0,,No,,,,,,,No,,,No,,,77.0,,,,,,West Village,10014,10153638.2
2637906,167 Perry Street,,,,141.1,,,,,,,1012011,,,,,No,Not Eligible: Rating must be 75 or above,,2012-04-25T15:49:17.000,,,,,60000.0,,,,,,,,,No,,,No,,,75.0,,,,,,West Village,10014,8463319.1
2710795,11 East 1st Street,,,,319.9,,,,,,0.0,1087255,,1.0,,0.41,,Not Eligible: Rating must be 75 or above,,2012-04-23T15:22:44.000,,,,,209910.0,,,4.0,,,,0.16,,No,,,No,,,206.0,,,,,,East Village,10003,69051813.2
2379738,395 Hudson Street,,,,323.6,,,,,,0.0,1010382,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-17T09:01:25.000,100.0,575230.0,,,622142.0,,,,96.9,,164.0,,,No,,,No,,,,No,,,,,West Village,10014,200872396.3
2810288,38-50 W 9th St,,,,115.3,,,,,,,1009416,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T13:37:19.000,,,,5660695.95,73098.0,,No,,,,,,,No,,,No,,,54.0,,,,,,West Village,10011,8470106.5
2677897,65 Columbia St,,,,181.3,,,,,,,1082664;1082667;1086089;1082666;1082665;1811540;1811543;1811544;1811545,,1.0,,0.0,,Not Eligible: Rating must be 75 or above,,2012-04-16T12:06:37.000,100.0,15080.0,,,1191180.0,,,,,,,2.19,,No,,,No,Less than 1 year of data<br>,,1109.0,No,,,,,Lower East Side,10002,214602068.2
2799292,226-230 East 12th Street,,,,136.5,,,,,,,1006834,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-13T15:04:04.000,,,,,62530.0,,,,,,,,,No,,,No,,,87.0,,,,,,East Village,10003,8651308.8
2794284,218 2nd Ave,,,,470.7,,,,,,,South Building,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-23T13:18:55.000,,,,,60828.0,,,,85.7,,254.0,,,No,,,No,,90.0,,No,,,,,East Village,10003,28694864.4
2742017,240 East 10 Street (New Theater),,,,91.7,,,,,,,1085794,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-18T03:32:52.000,,,,,88208.0,,,5.0,,,,,,No,,,No,,,35.0,,,,,,East Village,10003,7912790.2
2669183,199 Bowery,,,,133.2,,,,,,,1087253,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T17:17:24.000,,,,,87845.0,,,2.0,,,,,,No,,,No,There is no water use for the time period specified.,,67.0,,,,,,Chinatown,10002,11531619.4
2831044,401 WEST 16TH STREET - FULTON HOUSES,,,,207.6,,,,,,,1012576;1078408;1078409;1078410;1078411;1078411;1078419;1078420;1078443;1078444;1078445;1087110,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-18T10:14:40.000,,,,,932450.0,,,,,,,,,No,,,No,,,946.0,No,,,,,,10001,195607353.6
2826188,251 Mercer Street,,,,10141.4,,,,,,,1008627,,,,,No,Not Eligible: Rating must be 75 or above,,2012-04-24T03:36:23.000,,,,,158590.0,,,,4056.3,,244.0,,,No,,,No,,,,,,,,,West Village,10012,1608316992.0
2038377,9605 QUEENS BLVD,,,,166.8,,,,,,,4050415,,1.0,,0.21,,Not Eligible: Rating must be 75 or above,,2012-04-29T23:56:45.000,,,,,197645.0,,,,-21.5,,211.8,0.3,,No,,,No,,,,,,,,,Rego Park,11374,32862268.0
2972892,Twenty nine - Third Ave,,,,122.8,,,,60000.0,,,1006737,,,,,,Not Eligible: Current period ending over 120 days,100.0,2012-04-30T14:16:28.000,,,,,60000.0,,,,-29.1,,175.1,,,No,,,No,,,,,,,,,,10003,7450258.2
2637355,44 Wall Street,,,,215.1,,,,,,,1001017,,1.0,,0.64,,Not Eligible: Rating must be 75 or above,,2012-04-09T11:10:25.000,100.0,331877.0,,,341291.0,,,,-19.1,,261.9,0.32,,,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10005,72306324.7
2675431,2 Charlton Street,,,,112.8,,,,,,,1007832,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T15:48:38.000,,,,11995120.77,205022.0,,No,,,,,0.2,,No,,,No,,,176.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10014,23683457.7
3110030,175 Varick St.,,,,49.2,,,,,,,1009754,,1.0,,0.3,,Not Eligible: Default space values used,,2012-04-24T15:51:53.000,18.5,125240.0,,,143264.0,,,,-74.9,,196.0,0.2,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10014,7044456.9
2671365,170/180 Park Row,,,,138.5,,,,,,0.0,1077438,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-20T16:16:46.000,100.0,2000.0,,,308862.0,,,,,,,,,No,,,No,,80.0,231.0,No,,,,,,10038,42760184.8
2682108,75 Broad Street,,,,674.9,,,0.01,,,,1000849,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-04T19:47:43.000,100.0,562260.0,,,671172.0,,,,140.7,0.0,281.5,0.2,,,,,No,,,,No,,,,100.0,Battery Park City-Lower Manhattan,10004,454770395.5
3091992,25 Cooper Square,145.0,,,,,,,,100.0,,,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-02T15:28:52.000,,,,,85000.0,,,,,,169.0,,,No,,,No,,,,,,,,,East Village,10003,
2676435,75 Wall Street,,,,206.2,,,,,,,1085950,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-23T14:38:10.000,,,,,545969.0,,,,,,,,,No,,,No,,,349.0,No,,,,,Battery Park City-Lower Manhattan,10005,113148084.1
3129420,22 Mercer Street,,,,146.8,,,,,,,1003023,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-30T19:13:02.000,,,,,59244.0,,,,,,,,,No,,,No,,,16.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,8697654.3
2706343,12-16 Washington Place,,,,98.0,,,,,,,1008812,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-24T03:18:05.000,,,,9417485.91,134387.0,,No,,,,,,,No,,,No,,,,,,,,,West Village,10003,13168188.5
2672525,21 Astor Place,,,,144.9,,,,,,,1008807,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T03:21:11.000,,,,,100000.0,,,,,,,0.2,,No,,,No,,,50.0,,,,,,West Village,10003,14649665.4
2430753,225 Varick St,,5.1,,171.0,,,,,,,1009758,,,,,No,ENERGY STAR Application In Process,,2012-04-12T12:02:05.000,100.0,339634.0,,,382353.0,,,,-34.8,,261.2,,,No,100.0,2011-03-08T16:14:39.000,No,,,,,,,,,West Village,10014,65160801.7
3089482,100 Maiden Lane,,,,103.6,,,,,,,1001014,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-30T03:15:01.000,,,,,304622.0,,,,,,,,,No,,,No,,,340.0,No,,,,,Battery Park City-Lower Manhattan,10038,31678264.2
2805335,636 E 11th Street,,,,72.7,,,,,,,1088356;1004887,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T14:33:32.000,,,,,121000.0,,,,,,,,,,,,Yes,,,58.0,,,,,,Lower East Side,10009,8766081.1
2706453,13-19 University Place,,,,271.9,,,,,,,1008833,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-20T11:42:04.000,,,,,69021.0,,,,14.1,,244.0,,,,,,No,,,,,,,,,West Village,10003,19209232.4
