address_1,supermarkets_grocery_gross,bank_financial_institution_4,medical_office_number_of,chilled_water_other_kbtu,longitude,council_district,hotel_room_density,community_board,difference_from_national,other_water_use_kgal,senior_care_facility_workers,multifamily_home_government,year_s_labeled,multifamily_home_gross_floor,house_of_worship_gross_floor,retail_walk_in_refrig_density,fuel_oil_4_use_kbtu,house_of_worship_pc_density,warehouse_unrefrigerated_4,senior_care_facility_number_3,parking_weekly_hours_of_access,current_water_period_ending,medical_office_weekly,senior_care_facility_total_1,multifamily_home_resident,chilled_water_electric_driven,supermarkets_grocery_number_1,multifamily_home_number_of,supermarkets_grocery_percent,rating,electricity_use_kbtu,swimming_pool_months_in_use,hospital_maximum_number_of,parking_enclosed_floor_area,hotel_workers_density,target_rating_1_100,swimming_pool_indoor_outdoor,bank_financial_institution_3,chilled_water_engine_driven,residence_halls_dormitories_4,multifamily_home_laundry_1,current_total_ghg_emissions,residence_halls_dormitories_3,supermarkets_grocery_weekly,national_average_pue,space_use_alerts,retail_gross_floor_area_sq,year_built
41 East 11th St,,,35.0,,-73.993148,2.0,,102.0,-1.8,,,,,,,,,,,,,2200-01-01T00:00:00.000,70.0,,,,,,,0.0,11363916.23,,,,,0.0,,,,,,1293.87,,,1.82,"""Other"" space types must be <=10% of Total Floor Space.<br>Weekly operating hours is much lower than normal for Vacant Office Space.<br>",,1906.0
10 Washington Mews,,,,,-73.995811,1.0,,102.0,,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,,,,,,,,,,,,,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1939.0
24 Fifth Avenue,,,3.0,,-73.995811,3.0,,102.0,,,,0.0,,249075.0,,0.0,,,,,,2200-01-01T00:00:00.000,65.0,,No specific resident population,,,19.0,,0.0,8090627.73,,,,,0.0,,,,,8.0,2500.63,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",15680.0,1926.0
11 Waverly Place,,,,,-73.994173,1.0,,102.0,,,,0.0,,74900.0,,0.91,5017798.29,,,,,2011-08-31T00:00:00.000,,,,,,,,0.0,2563475.74,,,,,0.0,,,,,,618.96,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",3300.0,1932.0
37 West 12th Street,,,11.0,,-73.995847,3.0,,102.0,,,,0.0,,220875.0,,,,,,,112.0,2200-01-01T00:00:00.000,65.0,,No specific resident population,,,13.0,,0.0,3351135.86,,,10000.0,,0.0,,,,,10.0,1297.37,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1963.0
427 WEST 26TH STREET - ELLIOT HOUSE,,,,,,,,,,,,0.0,,515848.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,12.0,,0.0,,,,,,,,,,,0.0,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1947.0
60 Washington Square South,,,,,-73.997806,1.0,,102.0,-32.1,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,5764915.2,,,,,0.0,,,,,,619.31,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2001.0
635 EST 12TH ST.- CAMPUS PLAZA BLD #1,,,,,,,,,,,,0.0,,303090.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,17.0,,0.0,1730500.16,,,,,0.0,,,,,0.0,251.42,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1979.0
40 Wall Street,,,,,-74.009875,1.0,,101.0,,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,1900.0
40 Broad St,,,,,-74.011332,1.0,,101.0,,,,0.0,,154343.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,31.0,,0.0,15459662.82,,,,,0.0,,,,,159.0,2332.12,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",88610.0,1982.0
134-140 Grand Street,,,,,-73.99974,1.0,,102.0,,,,0.0,,69928.0,,,,,,,,2200-01-01T00:00:00.000,,,Artist,,,6.0,,0.0,136559.47,,,,,0.0,,,,,15.0,468.2,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1890.0
101 Ludlow St,,,,,-73.988864,1.0,,103.0,3.4,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,47.0,4244563.22,,,,,0.0,,,,144.0,,666.06,0.0,,,,,2008.0
740 Broadway,,,,,-73.992993,2.0,,102.0,-10.3,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,59.0,22389309.73,,,,,0.0,,,,,,2537.1,,,,Using default values for Space Use attributes.<br>,28946.0,1910.0
189 ALLEN STREET - HERNANDEZ HOUSES,,,,,,,,,,,,0.0,,139321.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,20.0,,0.0,3566463.25,,,,,0.0,,,,,0.0,1778.26,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1971.0
535 West 23rd Street,,,,,-74.005453,3.0,,104.0,,,,0.0,,280578.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,27.0,,0.0,9197588.82,,,,,0.0,,,,,313.0,1955.08,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2002.0
718 Broadway,,,,,-73.993617,2.0,,102.0,,,,0.0,,69700.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,13.0,,0.0,1976226.34,,,,,0.0,,,,,6.0,562.21,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1908.0
345 Hudson street,,4.94,,,-74.007295,3.0,,102.0,-28.1,,,,20102011.0,,,0.0,,,,,,2010-05-31T00:00:00.000,,,,,,,,85.0,63505536.82,,,,,0.0,,68.0,,,,7230.74,,,1.82,Weekly operating hours is much lower than normal for Vacancy.<br>,17618.0,1931.0
101 Murray St,,,,,-74.012243,1.0,,101.0,27.1,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,7457267.2,,,,,0.0,,,,188.0,,1316.19,0.0,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1985.0
409 Layfayette St.,,,,,,,,,-31.4,,,,,,,,,,,,,2011-12-31T00:00:00.000,,,,,,,,79.0,3461412.36,,,,,0.0,,,,,,427.26,,,,Weekly operating hours is much lower than normal for OFFICE-VACANT.<br>,,1891.0
303 Mercer Street,,,,,-73.99357,1.0,,102.0,,,,0.0,,86322.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,6.0,,0.0,1086772.3,,,,,0.0,,,,,62.0,587.04,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1900.0
270 Broadway (80 Chambers St.),,,,,,,,,,,,0.0,,121053.0,,,,,,,,2011-12-31T00:00:00.000,,,,,,28.0,,0.0,,,,,,,,,,,,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using temporary values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1928.0
530-542 W 27th St.,,,,,-74.003642,3.0,,104.0,-70.4,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,452383.74,,,,,0.0,,,,,,78.79,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1920.0
175 Water Street,,,,,-74.005208,1.0,,101.0,0.0,,,,,,,0.15,,,,,,2200-01-01T00:00:00.000,,,,,,,,50.0,41148610.38,,,,,0.0,,,,,,4485.8,,,,,12956.0,1983.0
53 Park Place,,,,,-74.010356,1.0,,101.0,,,,0.0,,138600.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,12.0,,0.0,3997927.16,,,,,0.0,,,,,0.0,695.47,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1921.0
21 South End Avenue,,,,,-74.01763,1.0,,101.0,,,,0.0,,196798.0,,0.0,10521200.02,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,9.0,,0.0,6652299.35,,,,,0.0,,,,,183.0,1398.59,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",28464.0,1988.0
62 ESSEX ST - SEWARD PRK ENT BLDG 1,,,,,,,,,,,,0.0,,376859.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,22.0,,0.0,9617789.76,,,,,0.0,,,,,0.0,3008.04,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1973.0
55 Broad Street,,,,,-74.011505,1.0,,101.0,-3.8,,,,,,,,,,,,,2012-01-31T00:00:00.000,,,,,,,,53.0,30372515.1,,,,,0.0,,,,,,4064.18,,,,,,1967.0
555 West 23rd Street,,,,,-74.005836,3.0,,104.0,,,,0.0,,290612.0,,,,,,,168.0,2012-02-29T00:00:00.000,,,,,,,,0.0,11219969.84,,,0.0,,0.0,,,,,,1918.8,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using temporary values for Space Use attributes.<br>Weekly operating hours is much lower than normal for Office - Gallery Elizabeth Balogh/Leo Koenig Inc.<br> Weekly operating hours",,2005.0
50 Broadway,,,,,-74.012761,1.0,,101.0,-22.4,,,,,,,,,,,,,2012-02-29T00:00:00.000,,,,,,,,71.0,15887416.67,,,,,0.0,,,,,,2021.72,,,,,,1927.0
20 5 Avenue,,,,,-73.996323,3.0,,102.0,,,,0.0,,132420.0,,,8838884.26,,,,,2200-01-01T00:00:00.000,,,,,,17.0,,0.0,2484621.81,,,,,0.0,,,,,,897.07,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1940.0
25 Broadway,,,,,-74.013374,1.0,,101.0,27.1,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,27.0,80363518.4,12.0,,,,0.0,Indoor,,,,,9667.46,,,,,,1921.0
652 Hudson Street,,,,,-74.005366,3.0,,102.0,,,,0.0,,37500.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,6.0,,0.0,2350496.09,,,,,0.0,,,,,24.0,372.71,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",17450.0,1890.0
520 West 19th Street,,,,,-74.006853,3.0,,104.0,,,,0.0,,53356.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,10.0,,0.0,1145882.67,,,,,0.0,,,,,25.0,200.32,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",5334.0,1970.0
375 Greenwich Street,,,,,-74.010242,1.0,,101.0,99.9,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,5904255.08,,,,,0.0,,,,,,669.73,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>",,1956.0
636 Greenwich Street,,,,,-74.007988,3.0,,102.0,,,,0.0,,74615.0,,,,,,,,2200-01-01T00:00:00.000,,,Dedicated Student,,,9.0,,0.0,2233119.88,,,,,0.0,,,,,0.0,411.84,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1911.0
3 Washington Square Village,,,,,-73.998557,1.0,,102.0,,,,0.0,,322355.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,2038188.91,,,,,0.0,,,,,,223.11,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1960.0
90 William Street,,,,,-74.007787,1.0,,101.0,,,,0.0,,112074.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,13.0,,0.0,5249020.8,,,,,0.0,,,,,,523.26,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",9398.0,1967.0
826 Broadway,,,,,-73.991077,2.0,,102.0,-27.8,,,,,,,0.0,,,0.0,,,2200-01-01T00:00:00.000,,,,,,,,74.0,5445139.15,,,,,0.0,,,,,,742.67,,,,,34650.0,1900.0
14 E 4th St,,,,,-73.993578,1.0,,102.0,,,,0.0,,105290.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,12.0,,0.0,7178092.08,,,,,0.0,,,,,7.0,1133.38,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",79264.0,1912.0
160 BROADWAY,,,,,-74.01024,1.0,,101.0,-26.2,,,,,,,,7241313.72,,,,,2011-01-31T00:00:00.000,,,,,,,,75.0,7155304.58,,,,,0.0,,,,,,1250.45,,,,,,1908.0
100 John Street,,,,,-74.006164,1.0,,101.0,,,,0.0,,359054.0,,,,,,,112.0,2200-01-01T00:00:00.000,,,No specific resident population,,,24.0,,0.0,4889125.02,,,13310.0,,0.0,,,,,0.0,1490.0,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1998.0
25 5th Ave,,,,,-73.995782,2.0,,102.0,,,,0.0,,97105.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,15.0,,0.0,1961081.12,,,,,0.0,,,,,0.0,735.97,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1921.0
225 Lafayette St (60 Spring St),,,,,-73.997348,1.0,,102.0,,,,0.0,,86219.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,13.0,,0.0,6378235.85,,,,,0.0,,,,,82.0,716.82,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",7859.0,1926.0
"77 Water Street, 13 th Floor",,,,,-74.008681,1.0,,101.0,-42.6,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,88.0,17419314.62,,,,,0.0,,,,,,4273.76,,,,Weekly operating hours is much lower than normal for Vacant Space.<br>,,1969.0
63 East 9th St,,,,,-73.992509,2.0,,102.0,,,,0.0,,224309.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,13.0,,0.0,6703975.24,,,,,0.0,,,,,0.0,1797.7,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",23600.0,1955.0
345 West 13th Street,,,,,-74.004947,3.0,,102.0,,,,0.0,,122976.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,7.0,,0.0,5642278.03,,,,,0.0,,,,,94.0,669.15,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1985.0
110-114 West 3rd Street,,,,,-73.999885,1.0,,102.0,-96.9,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,100.0,30025.6,,,,,0.0,,,,140.0,,39.36,0.0,,,,,1986.0
10 Rutgers Street,,,,,-73.990174,1.0,,103.0,,,,,,,,,,,,,,2011-10-31T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0
114 HORATIO STREET,,,,,-74.009061,3.0,,102.0,,4158.9,,0.0,,111280.0,,,,,,,,2011-12-31T00:00:00.000,,,,,,,,0.0,2661308.72,,,,,0.0,,,,,,602.74,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1900.0
80 Warren St; 76 Warren St.,,,,,-74.010313,1.0,,101.0,,,,0.0,,69000.0,,,,,,,,2012-02-29T00:00:00.000,,,No specific resident population,,,6.0,,0.0,1353680.23,,,,,0.0,,,,,15.0,375.35,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1915.0
229 Chrystie Street,,,,,-73.991248,1.0,,103.0,,,,0.0,,460311.0,,0.07,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,16.0,,0.0,28948536.15,,,,,0.0,,,,,200.0,4178.44,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",71186.0,2003.0
504 Grand St,,,,,-73.982328,1.0,,103.0,,,,0.0,,216200.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,6.0,,0.0,41567585.15,,,,,0.0,,,,,0.0,4357.59,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1929.0
1 State Street,,,,,-74.012948,1.0,,101.0,35.1,,,,,,,1.97,,,,,,2200-01-01T00:00:00.000,,,,,,,,23.0,96625110.4,,,,,0.0,,,,,,12077.53,,,,,5089.0,1969.0
565 Broadway,,,,,-73.997987,1.0,,102.0,,,,0.0,,46180.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,9.0,,0.0,598123.6,,,,,0.0,,,,,,56.16,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",0.0,1870.0
47-25 48th Street,,,,,-73.917348,26.0,,402.0,,,,,,,,,,,,,,2001-12-31T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,1922.0
