building_classification_3,neighborhood,address_3,market_value_per_sqft,estimated_expense_2,distance_from_condo_in_miles_1,neighborhood_1,estimated_expense_3,net_operating_income_3,gross_sqft_3,year_built_2
D1  -ELEVATOR,UPPER EAST SIDE (79-96),425 EAST 80 STREET,316.11,179516.0,0.05,UPPER EAST SIDE (79-96),365068.0,917267.0,23568.0,1910.0
D1  -ELEVATOR,UPPER WEST SIDE (79-96),20 WEST 87 STREET,200.76,736825.0,0.23,UPPER WEST SIDE (79-96),357114.0,397172.0,17046.0,1930.0
D1  -ELEVATOR,WASHINGTON HEIGHTS LOWER,664 WEST 163 STREET,82.96,451987.0,0.17,WASHINGTON HEIGHTS LOWER,513906.0,624748.0,59274.0,1910.0
D1  -ELEVATOR,UPPER EAST SIDE (79-96),423 EAST 90 STREET,205.8,350000.0,0.17,UPPER EAST SIDE (79-96),521327.0,770724.0,30866.0,1995.0
D3  -ELEVATOR,GREENWICH VILLAGE-CENTRAL,122 EAST 13 STREET,281.58,576568.0,0.66,GREENWICH VILLAGE-CENTRAL,113293.0,354501.0,10225.0,1900.0
D1  -ELEVATOR,MORRISANIA/LONGWOOD,894 ROGERS PLACE,46.42,1023427.0,0.55,MORRISANIA/LONGWOOD,418122.0,342432.0,52200.0,2004.0
D3  -ELEVATOR,UPPER WEST SIDE (96-116),523 WEST 112 STREET,173.15,395779.0,0.21,UPPER WEST SIDE (96-116),577865.0,1163368.0,54567.0,1920.0
C1  -WALK-UP,KINGSBRIDGE/JEROME PARK,3044 KINGSBRIDGE AVENUE,75.07,436787.0,0.19,KINGSBRIDGE/JEROME PARK,319925.0,369293.0,38873.0,1926.0
D6  -ELEVATOR,UPPER WEST SIDE (59-79),244 WEST 74 STREET,363.69,3036386.0,0.18,UPPER WEST SIDE (59-79),619173.0,1793439.0,40050.0,1925.0
D1  -ELEVATOR,HARLEM-EAST,222 EAST 111 STREET,267.14,544828.0,0.33,HARLEM-EAST,490007.0,1352042.0,41108.0,1925.0
,CLINTON,,422.56,1678320.0,1.65,UPPER WEST SIDE (59-79),,,,1962.0
C4  -WALK-UP,MANHATTAN VALLEY,69 WEST 107 STREET,166.71,155495.0,0.05,MANHATTAN VALLEY,181795.0,264324.0,12875.0,1925.0
D3  -ELEVATOR,MIDTOWN CBD,422 EAST 58 STREET,288.96,1217315.0,0.5,MIDTOWN EAST,225340.0,682923.0,18654.0,1957.0
D6  -ELEVATOR,MIDTOWN EAST,311 WEST 50 STREET,328.68,3305320.0,1.06,MIDTOWN CBD,1238873.0,4685689.0,101050.0,1987.0
D1  -ELEVATOR,RIVERDALE,3555 OXFORD AVENUE,76.49,1152915.0,0.95,RIVERDALE,601464.0,739315.0,72553.0,1939.0
D1  -ELEVATOR,GREENWICH VILLAGE-CENTRAL,136 WEST 4 STREET,227.98,794481.0,0.55,GREENWICH VILLAGE-CENTRAL,389509.0,585933.0,20874.0,1900.0
D3  -ELEVATOR,MIDTOWN WEST,4 EAST 65 STREET,253.88,673164.0,0.49,MIDTOWN WEST,475257.0,683279.0,22344.0,1900.0
D5  -ELEVATOR,GREENWICH VILLAGE-WEST,123 BANK STREET,390.82,719040.0,0.19,GREENWICH VILLAGE-WEST,544470.0,1733483.0,37064.0,1965.0
,UPPER WEST SIDE (79-96),,325.35,4240425.0,0.4,UPPER WEST SIDE (79-96),,,,1999.0
,UPPER EAST SIDE (59-79),,328.1,571002.0,0.27,UPPER EAST SIDE (59-79),,,,1930.0
D1  -ELEVATOR,FASHION,337 WEST 30 STREET,216.61,847001.0,0.42,FASHION,336514.0,656536.0,24617.0,1920.0
D1  -ELEVATOR,SOHO,223 EAST 6 STREET,200.41,637286.0,0.27,SOHO,1349530.0,2280998.0,91680.0,1920.0
,CLINTON,,231.69,89019.0,0.0,CLINTON,,,,1930.0
D1  -ELEVATOR,GREENWICH VILLAGE-CENTRAL,136 WEST 4 STREET,237.96,686277.0,0.44,GREENWICH VILLAGE-CENTRAL,343795.0,611608.0,20874.0,1900.0
D7  -ELEVATOR,HARLEM-CENTRAL,370 LENOX AVENUE,212.7,492460.0,0.13,HARLEM-CENTRAL,385913.0,1691169.0,62244.0,2007.0
D1  -ELEVATOR,UPPER WEST SIDE (59-79),41 WEST 71 STREET,271.77,124462.0,0.44,UPPER WEST SIDE (59-79),348588.0,692622.0,20700.0,1900.0
D1  -ELEVATOR,CHELSEA,434 WEST 19 STREET,278.74,567836.0,0.28,CHELSEA,384720.0,759570.0,21000.0,1900.0
D1  -ELEVATOR,MURRAY HILL,121 EAST 37 STREET,301.22,195147.0,0.19,MURRAY HILL,93810.0,243835.0,7080.0,1930.0
D6  -ELEVATOR,MURRAY HILL,30 PARK AVENUE,322.83,4278134.0,0.51,MURRAY HILL,3899198.0,7583348.0,236315.0,1981.0
C4  -WALK-UP,CHELSEA,208 WEST 17 STREET,270.58,126847.0,0.05,CHELSEA,128290.0,362255.0,10872.0,1901.0
C1  -WALK-UP,SOUTHBRIDGE,24 JAMES STREET,183.55,159551.0,0.74,LOWER EAST SIDE,164500.0,265465.0,11552.0,1900.0
D1  -ELEVATOR,EAST VILLAGE,223 EAST 6 STREET,346.95,128903.0,0.05,EAST VILLAGE,1167086.0,3900984.0,91680.0,1950.0
,HARLEM-CENTRAL,,108.23,331266.0,0.26,HARLEM-CENTRAL,,,,1900.0
D1  -ELEVATOR,HARLEM-UPPER,135 HAMILTON PLACE,239.72,470844.0,0.29,HARLEM-UPPER,628144.0,1220957.0,41082.0,1920.0
D1  -ELEVATOR,CHELSEA,258 WEST 22 STREET,382.2,312914.0,0.15,CHELSEA,607196.0,1456785.0,30375.0,1920.0
D9  -ELEVATOR,ALPHABET CITY,518 EAST 12 STREET,252.1,187934.0,0.4,ALPHABET CITY,348075.0,1076670.0,31500.0,1900.0
,HARLEM-EAST,,165.88,464920.0,0.22,HARLEM-EAST,,,,1920.0
,UPPER EAST SIDE (59-79),,206.93,911689.0,0.3,UPPER EAST SIDE (59-79),,,,1938.0
D1  -ELEVATOR,KIPS BAY,145 EAST 22 STREET,293.93,349805.0,0.28,KIPS BAY,444148.0,1125371.0,32610.0,1910.0
D1  -ELEVATOR,LOWER EAST SIDE,53 PITT STREET,224.25,367709.0,0.56,LOWER EAST SIDE,201215.0,406313.0,14938.0,2015.0
D1  -ELEVATOR,HARLEM-CENTRAL,15 WEST 123 STREET,187.34,1126318.0,0.49,HARLEM-CENTRAL,293817.0,547406.0,23946.0,1973.0
,MANHATTAN VALLEY,,114.26,592134.0,0.05,MANHATTAN VALLEY,,,,1920.0
D3  -ELEVATOR,LOWER EAST SIDE,51 LUDLOW STREET,306.5,290925.0,0.66,LOWER EAST SIDE,282462.0,992562.0,26300.0,1912.0
D6  -ELEVATOR,GREENWICH VILLAGE-CENTRAL,300 MERCER STREET,238.37,670263.0,0.05,GREENWICH VILLAGE-CENTRAL,8961675.0,14152590.0,489709.0,1930.0
D1  -ELEVATOR,HARLEM-EAST,222 EAST 111 STREET,174.57,473320.0,0.31,HARLEM-EAST,544681.0,883822.0,41108.0,1910.0
D3  -ELEVATOR,UPPER EAST SIDE (59-79),7 EAST 75 STREET,271.74,372583.0,0.44,UPPER EAST SIDE (59-79),187268.0,470547.0,13580.0,1940.0
D3  -ELEVATOR,LOWER EAST SIDE,51 LUDLOW STREET,223.65,407025.0,0.41,LOWER EAST SIDE,418170.0,724302.0,26300.0,1912.0
D3  -ELEVATOR,MIDTOWN WEST,355 WEST 51 STREET,266.63,437526.0,0.52,MIDTOWN WEST,432852.0,813275.0,24848.0,1945.0
D1  -ELEVATOR,UPPER WEST SIDE (59-79),9 WEST 73 STREET,247.71,125804.0,0.3,UPPER WEST SIDE (59-79),121639.0,285706.0,8303.0,1920.0
D3  -ELEVATOR,GRAMERCY,217 EAST 25 STREET,308.58,495816.0,0.18,GRAMERCY,94997.0,362290.0,9415.0,1985.0
D3  -ELEVATOR,UPPER WEST SIDE (79-96),680 WEST END AVENUE,245.43,857500.0,0.18,UPPER WEST SIDE (79-96),2936556.0,4565052.0,154800.0,1972.0
,ELMHURST,,119.88,,,ELMHURST,,,,
D1  -ELEVATOR,MANHATTAN VALLEY,403 WEST 115 STREET,191.74,179317.0,0.25,MANHATTAN VALLEY,293790.0,608445.0,27821.0,1905.0
C5  -WALK-UP,GREENWICH VILLAGE-CENTRAL,20 WEST 10 STREET,238.81,122044.0,0.09,GREENWICH VILLAGE-CENTRAL,159394.0,305113.0,11492.0,1910.0
D3  -ELEVATOR,JAVITS CENTER,530 WEST 47 STREET,345.73,438772.0,0.3,JAVITS CENTER,327825.0,957825.0,22500.0,1900.0
D8  -ELEVATOR,MIDTOWN EAST,150 EAST 57 STREET,274.82,3600354.0,0.1,MURRAY HILL,2932069.0,5952652.0,158063.0,1986.0
D3  -ELEVATOR,UPPER WEST SIDE (79-96),265 WEST 81 STREET,246.32,1391228.0,0.2,UPPER WEST SIDE (79-96),562343.0,1229585.0,41137.0,1929.0
D3  -ELEVATOR,FLATIRON,20 EAST 22 STREET,303.25,456365.0,0.1,FLATIRON,107328.0,389995.0,10512.0,1907.0
D1  -ELEVATOR,SCHUYLERVILLE/PELHAM BAY,2900 ST THERESA AVENUE,84.22,347760.0,0.37,SCHUYLERVILLE/PELHAM BAY,456721.0,561408.0,51317.0,1935.0
D1  -ELEVATOR,BEDFORD PARK/NORWOOD,285 EAST 199 STREET,55.41,233856.0,0.29,BEDFORD PARK/NORWOOD,218435.0,229328.0,28666.0,1959.0
,CROTONA PARK,,64.18,385464.0,0.34,CROTONA PARK,,,,1931.0
C1  -WALK-UP,BELMONT,2350 BEAUMONT AVENUE,79.67,112925.0,0.16,BELMONT,294946.0,256362.0,28580.0,1924.0
,JAVITS CENTER,,259.0,271125.0,0.73,JAVITS CENTER,,,,1999.0
,MIDTOWN WEST,,259.02,231938.0,0.1,MIDTOWN WEST,,,,1959.0
C1  -WALK-UP,HARLEM-UPPER,464 WEST 150 STREET,149.74,138648.0,0.09,HARLEM-UPPER,246778.0,374862.0,19982.0,1940.0
D5  -ELEVATOR,HARLEM-CENTRAL,222 WEST 144 STREET,219.71,559996.0,0.27,HARLEM-CENTRAL,369984.0,699924.0,28200.0,1921.0
D1  -ELEVATOR,FASHION,327 WEST 30 STREET,318.76,322729.0,0.19,FASHION,530212.0,1471388.0,40016.0,1987.0
D9  -ELEVATOR,UPPER EAST SIDE (79-96),165 EAST 89 STREET,319.34,384300.0,0.14,UPPER EAST SIDE (79-96),884801.0,1941991.0,49680.0,1960.0
D1  -ELEVATOR,CHELSEA,220 WEST 21 STREET,318.86,360751.0,0.14,CHELSEA,310109.0,945537.0,25778.0,1939.0
D1  -ELEVATOR,CLINTON,437 WEST 54 STREET,277.34,309120.0,0.1,CLINTON,163382.0,347895.0,9920.0,1910.0
D1  -ELEVATOR,SOHO,110 SULLIVAN STREET,242.28,448538.0,0.15,SOHO,558317.0,1150459.0,38880.0,1920.0
D1  -ELEVATOR,UPPER WEST SIDE (59-79),306 WEST 76 STREET,321.61,2464942.0,0.21,UPPER WEST SIDE (59-79),185796.0,463320.0,11700.0,1927.0
D1  -ELEVATOR,LITTLE ITALY,304 EAST 12 STREET,179.73,167299.0,0.3,EAST VILLAGE,1403822.0,2252834.0,101800.0,1910.0
D1  -ELEVATOR,HARLEM-CENTRAL,5 WEST 116 STREET,190.33,1031693.0,0.87,HARLEM-CENTRAL,1357962.0,2616278.0,106008.0,2012.0
D3  -ELEVATOR,MANHATTAN VALLEY,431 CENTRAL PARK WEST,115.34,229037.0,0.22,MANHATTAN VALLEY,1106819.0,1686856.0,115776.0,1908.0
D1  -ELEVATOR,HARLEM-CENTRAL,656 ST NICHOLAS AVENUE,179.89,496217.0,0.18,HARLEM-CENTRAL,262747.0,421056.0,20640.0,1926.0
D1  -ELEVATOR,UPPER EAST SIDE (79-96),229 EAST 80 STREET,262.32,142381.0,0.24,UPPER EAST SIDE (79-96),307070.0,497162.0,15392.0,1976.0
D8  -ELEVATOR,CHELSEA,120 WEST 21 STREET,306.66,285516.0,0.2,CHELSEA,1840505.0,6686238.0,174621.0,1907.0
,MIDTOWN WEST,,321.86,2392632.0,1.16,MIDTOWN WEST,,,,1924.0
D1  -ELEVATOR,UPPER WEST SIDE (79-96),20 WEST 87 STREET,228.85,596479.0,0.19,UPPER WEST SIDE (79-96),224496.0,480356.0,17046.0,1972.0
D1  -ELEVATOR,MORRISANIA/LONGWOOD,777 FOX STREET,73.98,716507.0,0.78,MORRISANIA/LONGWOOD,416772.0,566100.0,61200.0,1912.0
D3  -ELEVATOR,UPPER WEST SIDE (96-116),143 WEST 96 STREET,337.61,549415.0,0.22,UPPER WEST SIDE (96-116),1626240.0,3946560.0,96000.0,1910.0
D1  -ELEVATOR,MANHATTAN VALLEY,140 WEST 105 STREET,230.17,114514.0,0.41,MANHATTAN VALLEY,125124.0,594970.0,20994.0,1920.0
C1  -WALK-UP,HARLEM-CENTRAL,129 WEST 133 STREET,146.63,297865.0,0.1,HARLEM-CENTRAL,164127.0,224298.0,12230.0,1910.0
D9  -ELEVATOR,ALPHABET CITY,184 EAST 3 STREET,263.32,232998.0,0.36,ALPHABET CITY,285768.0,658368.0,21600.0,2000.0
C4  -WALK-UP,HARLEM-EAST,171 EAST 102 STREET,207.65,156158.0,0.2,HARLEM-EAST,112778.0,242723.0,9590.0,1900.0
D1  -ELEVATOR,HARLEM-CENTRAL,55 WEST 129 STREET,180.67,317810.0,0.43,HARLEM-CENTRAL,571212.0,818505.0,38700.0,1950.0
D1  -ELEVATOR,TRIBECA,30 CHARLTON STREET,197.75,654350.0,0.55,SOHO,693934.0,1059489.0,44256.0,1920.0
D1  -ELEVATOR,GREENWICH VILLAGE-WEST,772 GREENWICH STREET,392.03,847695.0,0.13,GREENWICH VILLAGE-WEST,1422477.0,3243839.0,70350.0,1957.0
D3  -ELEVATOR,RIVERDALE,3611 HENRY HUDSON PARKWAY W,98.44,840164.0,0.12,RIVERDALE,1613360.0,1553060.0,134000.0,1960.0
C5  -WALK-UP,GREENWICH VILLAGE-WEST,244 WAVERLY PLACE,312.96,147968.0,0.09,GREENWICH VILLAGE-WEST,93776.0,264316.0,6860.0,1901.0
D3  -ELEVATOR,UPPER EAST SIDE (59-79),425 EAST 72 STREET,233.82,450232.0,0.47,UPPER EAST SIDE (59-79),1114223.0,1702316.0,57375.0,1915.0
D1  -ELEVATOR,UPPER WEST SIDE (59-79),312 WEST 73 STREET,294.97,560703.0,0.2,CLINTON,183167.0,507564.0,14025.0,1940.0
D1  -ELEVATOR,BRONXDALE,679 WARING AVENUE,59.34,642536.0,0.14,BRONXDALE,422833.0,387398.0,47886.0,1931.0
D3  -ELEVATOR,EAST VILLAGE,254 EAST 10 STREET,241.39,176369.0,0.27,EAST VILLAGE,178809.0,376628.0,12264.0,1920.0
D3  -ELEVATOR,MIDTOWN EAST,307 EAST 50 STREET,223.99,423597.0,0.24,MIDTOWN EAST,1301807.0,1961959.0,71137.0,1960.0
D3  -ELEVATOR,MIDTOWN CBD,320 EAST 65 STREET,291.81,378901.0,0.33,MIDTOWN EAST,458435.0,2261260.0,58325.0,1942.0
D1  -ELEVATOR,EAST VILLAGE,304 EAST 12 STREET,338.98,142884.0,0.49,EAST VILLAGE,991532.0,4249132.0,101800.0,1930.0
D6  -ELEVATOR,MIDTOWN EAST,330 EAST 46 STREET,243.29,2464342.0,0.38,MIDTOWN EAST,2192427.0,4633717.0,152676.0,1959.0
D1  -ELEVATOR,MORRISANIA/LONGWOOD,825 MELROSE AVENUE,52.86,275324.0,0.9,MORRISANIA/LONGWOOD,567600.0,485760.0,66000.0,1922.0
D1  -ELEVATOR,MIDTOWN WEST,352 WEST 46 STREET,334.85,366686.0,0.1,MIDTOWN WEST,484548.0,1340800.0,32520.0,1945.0
C1  -WALK-UP,EAST VILLAGE,56 EAST 7 STREET,320.3,160118.0,0.14,EAST VILLAGE,131290.0,371911.0,9425.0,1900.0
D1  -ELEVATOR,TRIBECA,110 SULLIVAN STREET,175.32,474863.0,0.38,LITTLE ITALY,589032.0,813758.0,38880.0,1920.0
D3  -ELEVATOR,GREENWICH VILLAGE-CENTRAL,63 EAST 11 STREET,207.42,129551.0,0.32,GREENWICH VILLAGE-CENTRAL,311996.0,596436.0,23353.0,1900.0
D1  -ELEVATOR,CHELSEA,416 WEST 23 STREET,262.17,233730.0,0.21,CHELSEA,219298.0,565873.0,18079.0,1986.0
D1  -ELEVATOR,MURRAY HILL,221 EAST 33 STREET,322.02,876851.0,0.15,MURRAY HILL,497822.0,1407892.0,35508.0,1920.0
D1  -ELEVATOR,WASHINGTON HEIGHTS LOWER,548 WEST 164 STREET,167.24,568505.0,0.12,WASHINGTON HEIGHTS LOWER,559544.0,1134379.0,56634.0,1915.0
D1  -ELEVATOR,GREENWICH VILLAGE-WEST,60 LEROY STREET,354.83,375003.0,0.25,GREENWICH VILLAGE-WEST,254448.0,971753.0,22242.0,1920.0
C4  -WALK-UP,HARLEM-EAST,227 EAST 96 STREET,205.19,121716.0,0.28,HARLEM-EAST,192089.0,342682.0,13386.0,1910.0
D1  -ELEVATOR,UPPER EAST SIDE (59-79),427 EAST 76 STREET,293.59,1010220.0,0.17,UPPER EAST SIDE (59-79),297535.0,866062.0,24131.0,1937.0
C4  -WALK-UP,ALPHABET CITY,181 EAST 2 STREET,297.51,650607.0,0.17,ALPHABET CITY,376609.0,962620.0,26208.0,1900.0
D1  -ELEVATOR,HARLEM-CENTRAL,287 EDGECOMBE AVENUE,161.71,366311.0,0.12,HARLEM-CENTRAL,332210.0,562974.0,27870.0,1904.0
D3  -ELEVATOR,MIDTOWN EAST,20 BEEKMAN PLACE,283.76,674710.0,0.39,MIDTOWN EAST,1300313.0,3475078.0,98808.0,1928.0
D5  -ELEVATOR,CHINATOWN,85 ATTORNEY STREET,315.8,114743.0,0.62,LOWER EAST SIDE,72720.0,436425.0,10359.0,2001.0
D1  -ELEVATOR,EAST VILLAGE,223 EAST 6 STREET,331.74,101381.0,0.0,EAST VILLAGE,914966.0,3729543.0,91680.0,1950.0
D5  -ELEVATOR,LOWER EAST SIDE,85 ATTORNEY STREET,315.47,218566.0,0.61,LOWER EAST SIDE,144612.0,436010.0,10359.0,2001.0
D3  -ELEVATOR,UPPER WEST SIDE (79-96),158 WEST 81 STREET,357.68,569747.0,0.13,UPPER WEST SIDE (79-96),506614.0,1628613.0,37251.0,1900.0
D1  -ELEVATOR,CHELSEA,329 WEST 14 STREET,229.83,206010.0,0.25,CHELSEA,90072.0,221080.0,7812.0,1986.0
D1  -ELEVATOR,KIPS BAY,337 EAST 33 STREET,271.09,136764.0,0.19,KIPS BAY,128417.0,233353.0,7247.0,1910.0
D3  -ELEVATOR,GRAMERCY,219 EAST 25 STREET,277.26,748950.0,0.15,GRAMERCY,351254.0,753199.0,22430.0,1985.0
D1  -ELEVATOR,UPPER EAST SIDE (59-79),1510 YORK AVENUE,251.52,2150874.0,0.71,UPPER EAST SIDE (59-79),321086.0,735841.0,22902.0,1975.0
C4  -WALK-UP,GREENWICH VILLAGE-WEST,11 JONES STREET,218.74,114442.0,0.09,GREENWICH VILLAGE-WEST,162602.0,252461.0,9725.0,1875.0
D1  -ELEVATOR,HARLEM-CENTRAL,188 ST NICHOLAS AVENUE,140.48,492616.0,0.08,HARLEM-CENTRAL,795600.0,1043505.0,64058.0,1926.0
D3  -ELEVATOR,MIDTOWN EAST,307 EAST 50 STREET,243.32,335924.0,0.2,MIDTOWN EAST,1035755.0,2131264.0,71137.0,1960.0
D1  -ELEVATOR,CHELSEA,329 WEST 14 STREET,269.89,148847.0,0.28,CHELSEA,115383.0,255921.0,7812.0,2004.0
D1  -ELEVATOR,UPPER WEST SIDE (59-79),9 WEST 73 STREET,279.46,364346.0,0.1,UPPER WEST SIDE (59-79),121639.0,285706.0,8303.0,1930.0
D5  -ELEVATOR,LOWER EAST SIDE,85 ATTORNEY STREET,210.64,216471.0,0.41,LOWER EAST SIDE,143265.0,302068.0,10359.0,2001.0
C1  -WALK-UP,HARLEM-EAST,212 EAST 105 STREET,98.96,147537.0,0.2,HARLEM-EAST,197688.0,176719.0,13188.0,1920.0
C4  -WALK-UP,SOHO,552 BROOME STREET,371.33,118430.0,0.21,SOHO,111550.0,363702.0,8470.0,1989.0
D3  -ELEVATOR,CHINATOWN,51 LUDLOW STREET,290.52,328950.0,0.7,LOWER EAST SIDE,326909.0,940751.0,26300.0,1912.0
D1  -ELEVATOR,WILLIAMSBRIDGE,4138 BARNES AVENUE,60.37,416647.0,0.51,WILLIAMSBRIDGE,416235.0,445623.0,53432.0,1935.0
D1  -ELEVATOR,CHELSEA,274 WEST 19 STREET,314.38,657468.0,0.36,CHELSEA,225510.0,912393.0,22506.0,1930.0
D3  -ELEVATOR,CLINTON,520 WEST 48 STREET,304.24,193200.0,0.19,CLINTON,1135348.0,3358288.0,90107.0,1940.0
D3  -ELEVATOR,HARLEM-CENTRAL,134 EAST 122 STREET,172.79,318956.0,0.41,HARLEM-CENTRAL,1265621.0,1801599.0,84941.0,1950.0
D3  -ELEVATOR,CLINTON,444 WEST 45 STREET,393.24,260820.0,0.19,CLINTON,835279.0,3177078.0,65615.0,1910.0
D1  -ELEVATOR,HARLEM-UPPER,144 HAMILTON PLACE,88.89,250920.0,0.2,HARLEM-UPPER,461440.0,668919.0,56688.0,1920.0
D3  -ELEVATOR,ALPHABET CITY,15 BIALYSTOKER PLACE,331.79,571147.0,0.71,LOWER EAST SIDE,1938488.0,4256437.0,98052.0,1993.0
D3  -ELEVATOR,GREENWICH VILLAGE-CENTRAL,82 WEST WASHINGTON PLACE,431.26,195698.0,0.27,GREENWICH VILLAGE-CENTRAL,220117.0,1439435.0,27108.0,1970.0
C1  -WALK-UP,EAST VILLAGE,418 EAST 9 STREET,222.45,102769.0,0.0,EAST VILLAGE,146847.0,260440.0,9474.0,1910.0
D1  -ELEVATOR,HARLEM-CENTRAL,130 WEST 142 STREET,152.5,486297.0,0.05,HARLEM-CENTRAL,561356.0,1037240.0,55143.0,1910.0
D1  -ELEVATOR,LITTLE ITALY,160 MOTT STREET,521.89,2762318.0,0.4,EAST VILLAGE,362480.0,769000.0,11967.0,1996.0
D1  -ELEVATOR,UPPER WEST SIDE (59-79),27 WEST 71 STREET,240.32,1007179.0,0.11,UPPER WEST SIDE (59-79),150842.0,339933.0,11316.0,1941.0
C4  -WALK-UP,HARLEM-CENTRAL,32 WEST 131 STREET,147.22,164780.0,0.0,HARLEM-CENTRAL,110486.0,232136.0,12685.0,1900.0
D1  -ELEVATOR,CHINATOWN,160 MOTT STREET,344.11,176335.0,0.58,LOWER EAST SIDE,187284.0,495194.0,11967.0,1900.0
C1  -WALK-UP,THROGS NECK,236 EAST 165 STREET,130.62,199499.0,6.2,MELROSE/CONCOURSE,79776.0,200825.0,12583.0,1924.0
D1  -ELEVATOR,TRIBECA,160 MOTT STREET,253.23,145598.0,0.7,LOWER EAST SIDE,153178.0,361283.0,11967.0,1900.0
D5  -ELEVATOR,MORRISANIA/LONGWOOD,960 TIFFANY STREET,88.03,260564.0,0.91,MORRISANIA/LONGWOOD,173394.0,283309.0,24700.0,1931.0
D3  -ELEVATOR,UPPER WEST SIDE (59-79),115 WEST 71 STREET,341.26,372674.0,0.05,UPPER WEST SIDE (59-79),505096.0,1488742.0,36364.0,1930.0
D1  -ELEVATOR,HARLEM-CENTRAL,188 ST NICHOLAS AVENUE,165.77,280738.0,0.1,HARLEM-CENTRAL,820583.0,1280519.0,64058.0,1920.0
D3  -ELEVATOR,UPPER EAST SIDE (59-79),352 EAST 76 STREET,274.02,1064306.0,0.17,UPPER EAST SIDE (59-79),204768.0,364392.0,10800.0,1938.0
C7  -WALK-UP,GRAMERCY,231 EAST 24 STREET,218.27,281227.0,0.0,GRAMERCY,250009.0,355813.0,13242.0,1925.0
,GREENWICH VILLAGE-WEST,,258.91,1252230.0,0.26,GREENWICH VILLAGE-WEST,,,,1950.0
D1  -ELEVATOR,CHELSEA,274 WEST 19 STREET,273.13,589035.0,0.26,CHELSEA,292353.0,798063.0,22506.0,2000.0
D3  -ELEVATOR,CLINTON,444 WEST 45 STREET,289.7,258930.0,0.3,CLINTON,829374.0,2299805.0,65615.0,1910.0
D3  -ELEVATOR,CLINTON,444 WEST 45 STREET,268.73,320670.0,0.26,CLINTON,1022282.0,2130519.0,65615.0,1910.0
C4  -WALK-UP,UPPER EAST SIDE (59-79),314 EAST 62 STREET,299.15,135479.0,0.17,UPPER EAST SIDE (59-79),165524.0,365317.0,10050.0,1900.0
D3  -ELEVATOR,UPPER WEST SIDE (96-116),250 RIVERSIDE DRIVE,134.3,981197.0,0.05,UPPER WEST SIDE (96-116),1217876.0,1779726.0,107019.0,1927.0
D3  -ELEVATOR,UPPER WEST SIDE (59-79),115 WEST 71 STREET,203.61,309256.0,0.0,UPPER WEST SIDE (59-79),413822.0,911646.0,36364.0,1930.0
