neighborhood_3,boro_block_lot,estimated_expense_1,year_built_1,distance_from_condo_in_miles_2,year_built_3
,1-01063-7502,2846381,1906,,
MANHATTAN VALLEY,1-01841-7501,95673,1900,0.11,1900.0
MIDTOWN EAST,1-01309-7502,374488,1939,0.51,1939.0
MIDTOWN WEST,1-01343-7503,2932069,1997,1.21,2001.0
RIVERDALE,2-05780-7501,1184039,1928,0.33,1960.0
GREENWICH VILLAGE-CENTRAL,1-00529-7507,469072,1900,0.42,1929.0
UPPER EAST SIDE (59-79),1-01005-7501,514482,1945,0.68,1915.0
GREENWICH VILLAGE-WEST,1-00630-7502,888832,1979,0.23,1930.0
,1-01234-7501,1899381,1920,,
,1-01401-7501,3055272,1975,,
FASHION,1-00831-7501,395888,1987,0.56,1987.0
EAST VILLAGE,1-00500-7501,488700,1920,0.62,1996.0
,1-01058-7501,132300,1901,,
GREENWICH VILLAGE-CENTRAL,1-00535-7501,411295,1900,0.34,1929.0
HARLEM-CENTRAL,1-01954-7501,270770,1921,0.48,1921.0
UPPER WEST SIDE (59-79),1-01117-7501,514823,1939,0.34,1929.0
CHELSEA,1-00717-7504,1218362,1930,0.04,1986.0
MURRAY HILL,1-00892-7501,254173,1925,0.1,1920.0
MURRAY HILL,1-00920-7501,1991868,1987,0.37,1955.0
CHELSEA,1-00764-7502,154290,1900,0.1,1930.0
CHINATOWN,1-00090-7501,148658,1921,0.49,1890.0
EAST VILLAGE,1-00469-7506,1292860,1940,0.33,1996.0
,1-01721-7501,271033,1950,,
HARLEM-CENTRAL,1-01948-7502,1022221,1901,0.26,1920.0
CLINTON,1-01056-7501,265275,1999,0.1,1926.0
HARLEM-CENTRAL,1-01623-7501,1351760,1973,0.24,1983.0
LOWER EAST SIDE,1-00234-7501,345845,2000,0.59,1900.0
MIDTOWN EAST,1-01322-7502,721257,1938,0.27,1957.0
HARLEM-CENTRAL,1-01942-7502,2419240,1980,0.28,2009.0
CHELSEA,1-00746-7504,734854,1930,0.17,1920.0
CLINTON,1-01061-7501,2191377,1987,0.34,1926.0
LOWER EAST SIDE,1-00238-7503,398182,2000,0.6,1910.0
ALPHABET CITY,1-00392-7502,221303,1900,0.23,1920.0
MANHATTAN VALLEY,1-01614-7501,283890,1935,0.71,1939.0
HARLEM-CENTRAL,1-01960-7502,190997,1926,0.1,1920.0
UPPER WEST SIDE (59-79),1-01117-7502,949000,1986,0.19,1925.0
GREENWICH VILLAGE-CENTRAL,1-00542-7501,287226,1929,0.35,1910.0
LITTLE ITALY,1-00228-7501,424913,1920,0.43,1910.0
MIDTOWN EAST,1-01346-7501,262462,1939,0.2,1939.0
MORRISANIA/LONGWOOD,2-02369-7501,154960,1925,0.48,1912.0
CHELSEA,1-00701-7501,462894,1927,0.29,1926.0
UPPER WEST SIDE (59-79),1-01171-7505,150068,1920,0.42,1930.0
GREENWICH VILLAGE-WEST,1-00620-7502,106904,1901,0.0,1920.0
CLINTON,1-01051-7501,1084616,1926,0.3,1999.0
UPPER EAST SIDE (59-79),1-01397-7502,193071,1910,0.37,1910.0
MIDTOWN EAST,1-01344-7501,275893,1939,0.45,1928.0
CROTONA PARK,2-03710-7501,766775,1966,0.84,1931.0
UPPER EAST SIDE (79-96),1-01539-7502,754142,1975,0.2,1960.0
GREENWICH VILLAGE-WEST,1-00609-7502,470580,1910,0.32,1910.0
UPPER WEST SIDE (79-96),1-01244-7501,305694,1950,0.2,1910.0
UPPER EAST SIDE (79-96),1-01373-7504,938566,1960,0.64,1937.0
,2-02609-7501,559996,1904,,
,4-00573-7501,146417,2010,,
CHELSEA,1-00766-7503,340702,1900,0.09,1920.0
GREENWICH VILLAGE-CENTRAL,1-00559-7501,582830,1900,0.19,1970.0
,1-01120-7501,724061,1916,,
TRIBECA,1-00142-7501,594358,1920,0.0,1975.0
HARLEM-UPPER,1-02064-7502,590439,1907,0.09,1910.0
MANHATTAN VALLEY,1-01842-7502,174950,1900,0.16,1915.0
,1-00346-7501,97789,1910,,
FLATIRON,1-00849-7503,144014,1925,0.29,1907.0
LOWER EAST SIDE,1-00274-7503,166305,1900,0.34,2000.0
MURRAY HILL,1-00917-7501,564553,1924,0.24,1920.0
UPPER WEST SIDE (79-96),1-01240-7501,744761,1925,0.05,1917.0
UPPER WEST SIDE (59-79),1-01118-7501,439391,1939,0.4,1900.0
WASHINGTON HEIGHTS UPPER,1-02180-7503,764910,1940,0.12,1939.0
LITTLE ITALY,1-00474-7504,386438,1920,0.29,1910.0
MURRAY HILL,1-00866-7501,577034,1924,0.21,1930.0
MIDTOWN WEST,1-01325-7503,1067541,1928,0.74,1923.0
UPPER WEST SIDE (59-79),1-01158-7501,172928,1920,0.19,1910.0
RIVERDALE,2-05792-7501,1281026,1928,0.25,1956.0
,2-03432-7501,113696,1913,,
GREENWICH VILLAGE-WEST,1-00618-7503,194662,1900,0.12,1915.0
SOHO,1-00150-7501,133911,1910,0.75,1920.0
UPPER WEST SIDE (59-79),1-01128-7502,87725,1910,0.05,1910.0
UPPER WEST SIDE (79-96),1-01210-7501,559138,1930,0.24,1900.0
MANHATTAN VALLEY,1-01837-7501,1684651,1927,0.1,1930.0
MORRISANIA/LONGWOOD,2-02696-7501,213104,1922,0.67,1922.0
MIDTOWN EAST,1-01338-7501,753915,1928,0.27,1957.0
MIDTOWN EAST,1-01310-7502,216013,1939,0.44,1957.0
EAST VILLAGE,1-00469-7505,1775392,1940,0.33,1996.0
PARKCHESTER,2-03944-7501,399426,1929,0.49,1928.0
LOWER EAST SIDE,1-00273-7501,332695,2000,0.13,1900.0
CHELSEA,1-00746-7505,993876,1930,0.17,1920.0
CHELSEA,1-00767-7506,257469,1920,0.09,1925.0
EAST VILLAGE,1-00441-7501,184818,1990,0.31,1920.0
UPPER WEST SIDE (96-116),1-01846-7502,736876,1920,0.49,1910.0
MURRAY HILL,1-00915-7501,146109,1920,0.05,1900.0
CLINTON,1-01075-7501,352800,1999,0.19,1926.0
HARLEM-CENTRAL,1-01823-7503,192454,1920,0.12,2004.0
MANHATTAN VALLEY,1-01843-7501,149397,1900,0.16,1925.0
GREENWICH VILLAGE-CENTRAL,1-00558-7502,688458,1900,0.18,1970.0
,1-00607-7503,220605,1900,,
LITTLE ITALY,1-00499-7502,367538,1920,0.38,1910.0
UPPER EAST SIDE (59-79),1-01432-7501,218153,1920,0.2,1910.0
UPPER EAST SIDE (59-79),1-01447-7501,997090,1937,0.14,1938.0
EAST TREMONT,2-03083-7501,416123,1931,0.29,1925.0
MURRAY HILL,1-00806-7501,477477,1987,0.62,1920.0
UPPER WEST SIDE (96-116),1-01848-7505,794840,1914,0.4,1910.0
SOHO,1-00180-7512,164546,1910,0.63,1920.0
HARLEM-CENTRAL,1-01728-7501,182902,1900,0.05,1910.0
UPPER EAST SIDE (59-79),1-01467-7501,554730,1921,0.42,1930.0
CHELSEA,1-00769-7508,231383,1900,0.04,1920.0
UPPER WEST SIDE (79-96),1-01228-7501,526965,1900,0.09,1916.0
CLINTON,1-01061-7502,2332917,1987,0.34,1926.0
MANHATTAN VALLEY,1-01846-7503,358873,1901,0.18,1939.0
GREENWICH VILLAGE-WEST,1-00629-7501,546030,1910,0.28,1930.0
CHELSEA,1-00768-7502,407809,1920,0.22,2000.0
MURRAY HILL,1-00887-7501,960805,1920,0.26,1920.0
GREENWICH VILLAGE-WEST,1-00631-7503,838656,1979,0.19,1930.0
,1-00625-7501,1252230,1950,,
UPPER WEST SIDE (79-96),1-01253-7501,267480,1930,0.05,1925.0
MORRISANIA/LONGWOOD,2-02651-7501,331896,1928,0.51,1904.0
,2-03236-7501,1708850,1972,,
CHELSEA,1-00792-7501,425895,1939,0.0,1940.0
,2-02748-7501,132491,1901,,
HARLEM-CENTRAL,1-02045-7502,881701,1910,0.11,1920.0
UPPER WEST SIDE (59-79),1-01152-7501,441505,1940,0.62,1920.0
GREENWICH VILLAGE-WEST,1-00592-7501,377205,1920,0.05,1930.0
GREENWICH VILLAGE-CENTRAL,1-00572-7501,57400,1900,0.05,1900.0
CIVIC CENTER,1-00552-7504,1828431,1920,1.29,1930.0
UPPER EAST SIDE (59-79),1-01473-7502,889338,1960,0.3,1938.0
HARLEM-CENTRAL,1-02041-7502,215006,1926,0.3,1920.0
HARLEM-UPPER,1-02092-7501,431429,1919,0.19,1920.0
HARLEM-CENTRAL,1-02051-7501,720336,1920,1.06,1901.0
CHELSEA,1-00695-7505,836544,1930,0.29,1986.0
SCHUYLERVILLE/PELHAM BAY,2-04174-7502,509574,1929,0.51,1963.0
MIDTOWN EAST,1-01349-7501,311708,1939,0.1,1930.0
HARLEM-CENTRAL,1-01828-7501,179597,1910,0.0,1920.0
LOWER EAST SIDE,1-00309-7502,274572,2000,0.46,2015.0
MIDTOWN EAST,1-01338-7502,884945,1928,0.27,1957.0
MIDTOWN WEST,1-01263-7501,483572,1900,0.53,1939.0
,1-01008-7502,434732,1940,,
SCHUYLERVILLE/PELHAM BAY,2-04163-7501,212273,1963,0.29,1960.0
HARLEM-CENTRAL,1-01946-7502,139889,1910,0.38,1920.0
CLINTON,1-01063-7503,2391198,1987,0.44,1926.0
SCHUYLERVILLE/PELHAM BAY,2-04174-7501,177413,1963,0.09,1929.0
,1-01753-7504,517343,1930,,
MIDTOWN EAST,1-01303-7501,702789,1938,0.39,1957.0
MORRISANIA/LONGWOOD,2-02976-7501,387285,2001,0.82,2005.0
GREENWICH VILLAGE-CENTRAL,1-00542-7502,367109,1970,0.67,1900.0
MELROSE/CONCOURSE,2-02419-7501,346608,1920,0.36,1927.0
HARLEM-EAST,1-01795-7502,175174,1950,0.36,1925.0
SOHO,1-00502-7501,610416,1920,0.17,1920.0
UPPER WEST SIDE (79-96),1-01235-7501,316072,1930,0.24,1928.0
SOHO,1-00140-7503,3546947,1998,0.55,1920.0
HARLEM-EAST,1-01643-7501,261316,1900,0.66,1890.0
MURRAY HILL,1-00859-7502,765534,1920,0.17,1930.0
CHELSEA,1-00751-7501,642758,1930,0.44,1920.0
RIVERDALE,2-05745-7501,655041,1951,0.58,1951.0
MIDTOWN EAST,1-01320-7503,523099,1938,0.32,1957.0
WASHINGTON HEIGHTS UPPER,1-02180-7501,304149,1927,0.18,1928.0
CHELSEA,1-00857-7502,163356,1925,0.44,2000.0
MIDTOWN WEST,1-01344-7503,5262660,1981,1.22,1974.0
CHELSEA,1-00796-7502,552997,2000,0.18,1920.0
PARKCHESTER,2-03929-7501,429200,1929,0.26,1928.0
HARLEM-CENTRAL,1-01718-7501,193487,1910,0.33,1920.0
,1-00352-7501,1362541,1982,,
CHELSEA,1-00742-7501,708632,1930,0.18,1900.0
