total_units_3,gross_sqft_2,expense_per_sqft_3,gross_income_per_sqft_3,market_value_per_sqft_3,net_operating_income_2
25.0,98808.0,14.22,47.21,271.59,3537326.0
47.0,47530.0,9.51,17.68,49.18,428721.0
39.0,14922.0,9.79,40.55,238.52,457508.0
35.0,44256.0,16.95,61.09,222.53,1917613.0
61.0,51190.0,6.36,15.87,49.8,472484.0
24.0,57375.0,13.96,51.78,219.06,2103367.0
,25452.0,,,,491732.0
86.0,34760.0,7.54,15.53,74.62,253748.0
39.0,37030.0,10.72,48.54,183.35,1367518.0
154.0,390953.0,14.09,53.52,290.45,15098605.0
16.0,41750.0,12.44,43.38,277.07,1199060.0
14.0,31455.0,15.11,54.2,323.27,1371438.0
44.0,47540.0,8.23,16.9,56.65,434515.0
42.0,44743.0,7.11,16.91,28.23,423716.0
81.0,67536.0,11.89,18.77,220.01,562575.0
48.0,25017.0,11.76,28.08,107.69,407527.0
25.0,38700.0,14.88,23.71,84.73,270513.0
23.0,22392.0,12.77,49.12,295.21,862315.0
36.0,56688.0,8.62,19.81,67.14,659281.0
22.0,25840.0,6.38,11.92,40.94,124548.0
48.0,12750.0,14.32,47.75,217.77,431077.0
45.0,30336.0,13.32,31.32,167.53,558486.0
42.0,107019.0,8.21,30.56,91.84,2312680.0
25.0,98808.0,16.51,51.48,271.59,3732966.0
70.0,30777.0,14.78,57.18,334.65,1340954.0
86.0,33750.0,13.52,45.49,310.01,1092825.0
12.0,21000.0,16.04,62.81,326.42,941640.0
33.0,43770.0,12.43,64.35,224.13,2297050.0
