expense_per_sqft_1,gross_sqft_1,full_market_value_2,neighborhood_2,expense_per_sqft_2,gross_income_per_sqft_2,full_market_value,building_classification_1,building_classification,boro_block_lot_1,address_1,net_operating_income_1,expense_per_sqft,distance_from_condo_in_miles
9.28,42000,1403000.0,KINGSBRIDGE/JEROME PARK,8.98,18.24,3605015,C1  -WALK-UP,R2  -WALK-UP,2-03253-0023,2704 KINGSBRIDGE TERRACE,394380,8.21,0.07
14.68,131476,30500000.0,UPPER WEST SIDE (59-79),16.08,61.4,28069002,D6  -ELEVATOR,R4  -ELEVATOR,1-01169-0029,360 AMSTERDAM AVENUE,5795462,15.46,0.0
12.14,42570,3773000.0,HARLEM-EAST,11.41,43.88,2911000,D1  -ELEVATOR,R4  -ELEVATOR,1-01644-0001,101 EAST 116 STREET,1399276,11.92,0.33
13.1,217281,40749000.0,UPPER EAST SIDE (79-96),10.79,62.82,63804003,D6  -ELEVATOR,R4  -ELEVATOR,1-01126-0029,135 CENTRAL PARK WEST,10907506,10.79,1.01
12.88,7428,2236000.0,MANHATTAN VALLEY,12.39,35.82,3445998,C4  -WALK-UP,R2  -WALK-UP,1-01841-0059,66 WEST 106 STREET,160519,14.12,0.0
12.39,30225,19584000.0,MIDTOWN EAST,12.32,47.9,38201985,D1  -ELEVATOR,R4  -ELEVATOR,1-01350-0035,330 EAST 58 STREET,1057573,12.32,0.38
18.55,158063,59747000.0,MIDTOWN WEST,17.37,56.03,43768998,D8  -ELEVATOR,R4  -ELEVATOR,1-01311-0045,150 EAST 57 STREET,5952652,15.74,0.39
8.79,134703,8401000.0,RIVERDALE,7.61,18.0,7271000,D1  -ELEVATOR,R4  -ELEVATOR,2-05780-0940,3900 GREYSTONE AVENUE,1336254,8.29,0.0
17.78,26382,14467000.0,GREENWICH VILLAGE-CENTRAL,16.08,45.56,5679000,D5  -ELEVATOR,R4  -ELEVATOR,1-00532-0030,81 BLEECKER STREET,795153,18.66,0.08
20.19,25482,5775000.0,MIDTOWN WEST,20.7,51.96,60580998,D3  -ELEVATOR,R4  -ELEVATOR,1-01041-0038,306 WEST 51 STREET,834025,20.7,0.35
17.36,51200,16016000.0,GREENWICH VILLAGE-WEST,13.44,61.56,3176999,D5  -ELEVATOR,R4  -ELEVATOR,1-00631-0030,697 GREENWICH STREET,2325504,13.44,0.05
13.88,136843,81407000.0,UPPER WEST SIDE (79-96),13.79,51.16,134043000,D3  -ELEVATOR,R9  -CONDOPS,1-01235-0061,570 WEST END AVENUE,5481930,13.88,0.05
19.56,156200,19379000.0,UPPER EAST SIDE (59-79),9.79,50.7,81310000,D3  -ELEVATOR,R4  -ELEVATOR,1-01426-9035,218 EAST 72 STREET,6554152,15.71,0.27
15.43,25657,15825000.0,MURRAY HILL,13.62,38.57,3988003,D1  -ELEVATOR,R4  -ELEVATOR,1-00754-0016,345 WEST 30 STREET,667338,13.67,0.56
14.48,33750,13720000.0,SOHO,14.4,38.68,4159000,D1  -ELEVATOR,R4  -ELEVATOR,1-00504-0036,100 SULLIVAN STREET,832950,14.48,0.18
13.33,9925,1429000.0,CLINTON,14.51,43.19,1810000,C4  -WALK-UP,R9  -CONDOPS,1-01058-0051,436 WEST 49 STREET,323853,16.05,0.0
15.59,26382,14467000.0,GREENWICH VILLAGE-CENTRAL,13.89,44.6,69125000,D5  -ELEVATOR,R9  -CONDOPS,1-00532-0030,81 BLEECKER STREET,827604,16.47,0.08
5.34,50706,10554000.0,HARLEM-CENTRAL,6.75,32.94,40531000,D7  -ELEVATOR,RR  -CONRENT,1-01951-0014,281 ST NICHOLAS AVENUE,1376161,6.75,0.18
13.65,37716,2321000.0,UPPER WEST SIDE (59-79),14.99,50.13,2537001,D1  -ELEVATOR,R4  -ELEVATOR,1-01117-0047,34 WEST 65 STREET,1387949,16.84,0.0
19.05,63956,7097000.0,CHELSEA,20.05,53.35,12781010,D1  -ELEVATOR,R4  -ELEVATOR,1-00719-0020,433 WEST 21 STREET,2194970,19.05,0.09
12.54,20269,5617000.0,MURRAY HILL,12.41,49.75,13589993,D3  -ELEVATOR,R4  -ELEVATOR,1-00918-0010,213 EAST 37 STREET,751777,12.54,0.13
11.28,176584,81067000.0,MURRAY HILL,15.64,52.13,76170010,D8  -ELEVATOR,R4  -ELEVATOR,1-00889-0055,150 EAST 34 STREET,7061594,11.52,0.32
13.91,11092,3135000.0,CHELSEA,12.97,44.41,5406000,C1  -WALK-UP,R2  -WALK-UP,1-00764-0053,226 WEST 15 STREET,368365,11.8,0.0
14.37,10345,1917000.0,LOWER EAST SIDE,16.1,36.44,48402000,C1  -WALK-UP,RR  -CONRENT,1-00276-0022,53 MARKET STREET,233797,14.37,0.62
12.7,101800,2873000.0,EAST VILLAGE,12.88,55.6,35439995,D1  -ELEVATOR,R4  -ELEVATOR,1-00453-0011,304 EAST 12 STREET,4372310,12.88,0.17
11.82,22930,2159000.0,HARLEM-CENTRAL,13.0,23.73,2929999,D5  -ELEVATOR,R4  -ELEVATOR,1-01771-0014,135 EAST 122 STREET,374217,12.41,0.39
14.77,82065,53222000.0,UPPER EAST SIDE (59-79),14.77,45.12,28739000,D3  -ELEVATOR,R9  -CONDOPS,1-01431-0016,231 EAST 76 STREET,2555504,15.68,0.2
11.39,49914,4183000.0,MIDTOWN EAST,15.28,41.7,18361000,D1  -ELEVATOR,RR  -CONRENT,1-01320-0018,235 EAST 46 STREET,1513393,11.39,0.1
17.06,6750,2183000.0,LOWER EAST SIDE,17.96,63.17,1317000,C1  -WALK-UP,R2  -WALK-UP,1-00350-0065,165 ATTORNEY STREET,302738,17.45,0.16
8.5,66033,2268000.0,EAST TREMONT,8.49,16.32,5577000,D1  -ELEVATOR,RR  -CONRENT,2-03061-0026,2019 MONTEREY AVENUE,514397,8.5,0.7
14.09,8965,3744000.0,UPPER WEST SIDE (79-96),13.55,46.99,7495997,D3  -ELEVATOR,R4  -ELEVATOR,1-01217-0113,147 WEST 86 STREET,287418,13.55,0.06
16.92,9110,1656000.0,SOHO,16.31,45.89,3060000,C1  -WALK-UP,R2  -WALK-UP,1-00489-0005,63 SULLIVAN STREET,269383,16.31,0.48
16.68,41423,3655000.0,CHELSEA,16.46,55.95,5252001,D1  -ELEVATOR,R4  -ELEVATOR,1-00797-0074,160 WEST 22 STREET,1602241,16.68,0.29
9.3,63720,4840000.0,WASHINGTON HEIGHTS LOWER,9.83,28.97,5219997,D1  -ELEVATOR,R4  -ELEVATOR,1-02110-0037,421 WEST 162 STREET,1222150,9.64,0.22
19.59,51200,16016000.0,GREENWICH VILLAGE-WEST,15.66,52.01,11475002,D5  -ELEVATOR,R4  -ELEVATOR,1-00631-0030,697 GREENWICH STREET,1722368,15.66,0.14
9.63,15075,2827000.0,HARLEM-CENTRAL,11.4,32.12,4009004,D3  -ELEVATOR,R4  -ELEVATOR,1-02012-0012,147 WEST 143 STREET,337680,11.4,0.25
13.55,402707,115896000.0,UPPER WEST SIDE (59-79),14.37,51.95,82976000,D6  -ELEVATOR,RR  -CONRENT,1-01151-0017,517 WEST 59 STREET,15580734,13.55,0.0
10.93,16037,2629000.0,UPPER EAST SIDE (59-79),9.16,43.65,13325000,D3  -ELEVATOR,R4  -ELEVATOR,1-01485-0050,1380 YORK AVENUE,525854,10.93,0.1
14.67,244617,76684000.0,MIDTOWN EAST,14.46,46.95,13432999,D8  -ELEVATOR,R4  -ELEVATOR,1-00016-0221,450 NORTH END AVENUE,8013653,14.67,2.35
9.87,60200,4095000.0,KINGSBRIDGE/JEROME PARK,10.26,22.2,5047000,D1  -ELEVATOR,RR  -CONRENT,2-03240-0011,2680 HEATH AVENUE,740460,9.32,0.88
9.85,145691,7363000.0,HARLEM-UPPER,9.24,18.05,8617000,D3  -ELEVATOR,RR  -CONRENT,1-02065-0001,1821 AMSTERDAM AVENUE,1181554,9.85,0.19
9.15,16160,3862000.0,HARLEM-EAST,7.59,43.05,6722008,D3  -ELEVATOR,R4  -ELEVATOR,1-01645-0059,126 EAST 118 STREET,531341,9.15,0.57
11.28,176584,64912000.0,MIDTOWN EAST,20.78,52.34,58143009,D8  -ELEVATOR,R4  -ELEVATOR,1-00889-0055,150 EAST 34 STREET,7061594,17.8,0.66
13.56,87365,7141000.0,HARLEM-UPPER,13.16,26.6,36831002,D1  -ELEVATOR,R4  -ELEVATOR,1-02089-0045,620 WEST 143 STREET,1934262,13.56,0.55
15.03,8525,14676000.0,CHELSEA,12.32,49.87,2619000,D1  -ELEVATOR,R4  -ELEVATOR,1-00770-0033,209 WEST 20 STREET,319602,12.1,0.35
15.42,36364,26865000.0,UPPER WEST SIDE (59-79),15.89,54.39,29995008,D3  -ELEVATOR,R4  -ELEVATOR,1-01143-0027,115 WEST 71 STREET,1420378,15.89,0.1
8.77,56688,5306000.0,HARLEM-UPPER,8.48,24.23,5317002,D1  -ELEVATOR,R4  -ELEVATOR,1-02075-0036,144 HAMILTON PLACE,882065,8.77,0.13
16.44,49680,6713000.0,UPPER EAST SIDE (79-96),16.93,51.84,68918993,D9  -ELEVATOR,R4  -ELEVATOR,1-01518-0031,165 EAST 89 STREET,1793448,16.44,0.13
12.93,9630,1781000.0,HARLEM-CENTRAL,13.33,24.92,5861003,C4  -WALK-UP,R2  -WALK-UP,1-01945-0058,360 WEST 119 STREET,115175,13.33,0.05
13.19,10470,3354000.0,HARLEM-CENTRAL,11.13,43.26,1933000,C4  -WALK-UP,R2  -WALK-UP,1-01926-0006,206 ST NICHOLAS AVENUE,310122,12.49,0.1
10.02,63284,22114000.0,HARLEM-CENTRAL,8.9,25.62,7294000,D1  -ELEVATOR,RR  -CONRENT,1-01735-0040,10 WEST 138 STREET,1097344,8.9,0.44
17.53,10512,21195000.0,FLATIRON,20.73,58.78,38301998,D3  -ELEVATOR,R4  -ELEVATOR,1-00850-0062,20 EAST 22 STREET,399772,18.36,0.2
13.94,62188,7628000.0,MURRAY HILL,14.07,47.75,74091990,D5  -ELEVATOR,R4  -ELEVATOR,1-00888-0031,153 EAST 32 STREET,2176580,14.07,0.11
9.53,9251,19504000.0,GRAMERCY,10.42,47.2,1789000,D3  -ELEVATOR,R4  -ELEVATOR,1-00881-0063,73 LEXINGTON AVENUE,363472,10.42,0.11
11.62,18654,3957000.0,MIDTOWN EAST,9.53,46.03,18253000,D3  -ELEVATOR,R4  -ELEVATOR,1-01369-0037,422 EAST 58 STREET,638527,11.62,0.41
14.78,82065,53222000.0,UPPER EAST SIDE (59-79),14.79,44.44,56223000,D3  -ELEVATOR,R9  -CONDOPS,1-01431-0016,231 EAST 76 STREET,2498879,14.79,0.1
17.78,65692,8214000.0,UPPER EAST SIDE (79-96),17.11,50.84,80444972,D3  -ELEVATOR,R4  -ELEVATOR,1-01521-0007,115 EAST 92 STREET,2175719,17.78,0.11
12.32,26382,4611000.0,GREENWICH VILLAGE-CENTRAL,13.2,55.11,5860000,D5  -ELEVATOR,R9  -CONDOPS,1-00532-0030,81 BLEECKER STREET,1160281,12.32,0.19
10.9,48168,1626000.0,WASHINGTON HEIGHTS LOWER,10.04,25.3,4366005,D1  -ELEVATOR,R4  -ELEVATOR,1-02132-0018,227 AUDUBON AVENUE,688321,10.9,0.05
14.3,22344,3070000.0,UPPER EAST SIDE (59-79),14.48,47.7,6921002,D3  -ELEVATOR,R4  -ELEVATOR,1-01379-0066,4 EAST 65 STREET,723052,14.48,0.1
15.8,10785,6636000.0,LOWER EAST SIDE,17.08,54.56,1337000,D3  -ELEVATOR,R4  -ELEVATOR,1-00274-0014,75 MONROE STREET,400339,14.89,0.2
13.28,30225,19584000.0,MIDTOWN EAST,13.2,46.04,33611000,D1  -ELEVATOR,R9  -CONDOPS,1-01350-0035,330 EAST 58 STREET,974454,13.2,0.25
6.7,135463,14568000.0,UPPER WEST SIDE (96-116),6.86,41.22,409000,D3  -ELEVATOR,R4  -ELEVATOR,1-01868-0001,740 WEST END AVENUE,4615225,6.86,0.1
14.98,39617,8050000.0,HARLEM-UPPER,12.5,32.3,10661012,D1  -ELEVATOR,R4  -ELEVATOR,1-02092-0046,684 RIVERSIDE DRIVE,720633,13.29,0.15
11.49,78936,4760000.0,HARLEM-CENTRAL,11.41,34.06,6163997,D1  -ELEVATOR,R4  -ELEVATOR,1-01949-0001,92 MORNINGSIDE AVENUE,1868415,11.16,0.39
22.24,51200,16016000.0,GREENWICH VILLAGE-WEST,18.32,50.47,23036997,D5  -ELEVATOR,R4  -ELEVATOR,1-00631-0030,697 GREENWICH STREET,1507840,18.32,0.18
17.1,20670,8541000.0,SOHO,18.18,50.93,9799997,D7  -ELEVATOR,R4  -ELEVATOR,1-00501-0006,423 WEST BROADWAY,712288,13.97,0.46
9.79,58325,17593000.0,UPPER EAST SIDE (59-79),15.78,46.29,88341003,D3  -ELEVATOR,R4  -ELEVATOR,1-01439-0042,320 EAST 65 STREET,2386076,12.41,0.24
9.49,58325,10287000.0,UPPER EAST SIDE (59-79),13.19,52.7,7150004,D3  -ELEVATOR,R4  -ELEVATOR,1-01439-0042,320 EAST 65 STREET,2541221,13.19,0.19
14.81,23353,5205000.0,GREENWICH VILLAGE-CENTRAL,15.26,44.67,12606004,D3  -ELEVATOR,R4  -ELEVATOR,1-00563-0043,63 EAST 11 STREET,668596,14.12,0.1
10.8,8303,26865000.0,UPPER WEST SIDE (59-79),11.16,42.9,3558002,D1  -ELEVATOR,R4  -ELEVATOR,1-01126-0026,9 WEST 73 STREET,275909,10.8,0.18
14.55,8740,1537000.0,UPPER EAST SIDE (79-96),13.9,46.93,2069998,C1  -WALK-UP,R2  -WALK-UP,1-01551-0018,331 EAST 88 STREET,290081,13.9,0.05
16.31,52850,43675000.0,MIDTOWN WEST,20.56,51.33,12399000,D1  -ELEVATOR,RR  -CONRENT,1-01076-0015,525 WEST 47 STREET,1471344,16.31,0.1
17.66,145299,126886000.0,GRAMERCY,11.0,55.85,101082005,D6  -ELEVATOR,R4  -ELEVATOR,1-00878-0004,295 PARK AVENUE SOUTH,8611872,19.92,0.0
13.95,63956,7097000.0,CHELSEA,14.95,49.0,14915998,D1  -ELEVATOR,R4  -ELEVATOR,1-00719-0020,433 WEST 21 STREET,2242937,14.95,0.18
10.77,11967,11997000.0,SOHO,10.36,43.24,5540999,D1  -ELEVATOR,R4  -ELEVATOR,1-00470-0005,160 MOTT STREET,398381,10.36,0.69
7.17,38873,1688000.0,MELROSE/CONCOURSE,8.79,17.4,3019990,C1  -WALK-UP,R2  -WALK-UP,2-05703-0183,3044 KINGSBRIDGE AVENUE,353356,7.98,5.64
7.29,23000,1011000.0,MORRISANIA/LONGWOOD,6.45,14.89,5888000,D5  -ELEVATOR,RR  -CONRENT,2-02697-0019,939 EAST 163 STREET,198720,7.66,0.08
9.62,72553,11816000.0,RIVERDALE,10.07,19.25,10053000,D1  -ELEVATOR,R9  -CONDOPS,2-05793-0467,3555 OXFORD AVENUE,726255,9.62,0.16
16.27,51200,16016000.0,GREENWICH VILLAGE-WEST,12.35,39.54,11912000,D5  -ELEVATOR,R9  -CONDOPS,1-00631-0030,697 GREENWICH STREET,1253888,12.35,0.06
8.06,53500,6576000.0,GREENWICH VILLAGE-WEST,8.14,52.22,6879001,D5  -ELEVATOR,R4  -ELEVATOR,1-00634-0047,337 WEST 11 STREET,2412850,8.06,0.26
14.26,169828,64912000.0,MIDTOWN EAST,13.79,47.91,97309006,D6  -ELEVATOR,R4  -ELEVATOR,1-01318-0019,245 EAST 44 STREET,5818308,13.79,0.2
11.82,31455,10383000.0,LOWER EAST SIDE,13.94,54.36,2574002,D1  -ELEVATOR,R4  -ELEVATOR,1-00350-0069,155 ATTORNEY STREET,1400377,13.94,0.44
11.21,64049,12882000.0,FLATIRON,8.84,53.05,24549993,D9  -ELEVATOR,R4  -ELEVATOR,1-00818-0010,43 WEST 16 STREET,2816875,8.84,0.09
16.44,25657,57355000.0,MURRAY HILL,16.66,51.64,69303000,D1  -ELEVATOR,RR  -CONRENT,1-00754-0016,345 WEST 30 STREET,945204,16.66,0.54
7.97,78936,4760000.0,HARLEM-CENTRAL,7.89,30.78,10748999,D1  -ELEVATOR,R4  -ELEVATOR,1-01949-0001,92 MORNINGSIDE AVENUE,1886570,7.97,0.22
17.51,17526,19504000.0,GRAMERCY,17.14,46.14,15348000,D2  -ELEVATOR,R9  -CONDOPS,1-00903-0013,217 EAST 22 STREET,532615,17.71,0.14
14.23,11160,3764000.0,ALPHABET CITY,10.67,40.66,5191000,D5  -ELEVATOR,R9  -CONDOPS,1-00373-0060,291 EAST 3 STREET,345737,10.67,0.28
8.62,41060,2478000.0,HIGHBRIDGE/MORRIS HEIGHTS,6.8,16.13,3449000,D5  -ELEVATOR,RR  -CONRENT,2-02872-0365,1601 MACOMBS ROAD,288241,7.4,0.78
19.29,31460,7328000.0,GREENWICH VILLAGE-WEST,19.27,50.24,3805000,D1  -ELEVATOR,R9  -CONDOPS,1-00588-0071,33 GROVE STREET,1037866,22.39,0.09
15.06,20784,5195000.0,UPPER WEST SIDE (96-116),12.96,33.19,6811998,D1  -ELEVATOR,R4  -ELEVATOR,1-01883-0042,512 WEST 112 STREET,374320,15.06,0.0
12.09,34640,4486000.0,UPPER WEST SIDE (79-96),11.26,43.22,7283995,D2  -ELEVATOR,R4  -ELEVATOR,1-01245-0061,317 WEST 83 STREET,1092545,12.09,0.05
13.71,76300,9051000.0,HARLEM-CENTRAL,12.92,33.86,18921000,D1  -ELEVATOR,RR  -CONRENT,1-01825-0059,164 WEST 116 STREET,1587040,12.7,0.19
11.38,87600,4939000.0,INWOOD,11.03,24.16,7536990,D3  -ELEVATOR,R4  -ELEVATOR,1-02220-0043,10 POST AVENUE,1086240,11.38,0.12
20.25,11044,15825000.0,MURRAY HILL,18.09,56.61,63996998,D5  -ELEVATOR,R4  -ELEVATOR,1-00911-0028,249 EAST 30 STREET,414592,18.01,0.05
11.88,16400,17791000.0,GREENWICH VILLAGE-WEST,13.09,46.52,4371998,D1  -ELEVATOR,R4  -ELEVATOR,1-00592-0042,84 GROVE STREET,521192,12.61,0.32
13.02,156200,4554000.0,UPPER EAST SIDE (59-79),11.39,56.32,15345004,D3  -ELEVATOR,R4  -ELEVATOR,1-01426-9035,218 EAST 72 STREET,6872800,11.39,0.37
11.33,15292,2036000.0,HARLEM-CENTRAL,10.11,25.44,6012995,C1  -WALK-UP,R2  -WALK-UP,1-02025-0043,208 WEST 140 STREET,251707,10.18,0.0
9.8,27108,3104000.0,HARLEM-CENTRAL,14.33,32.84,11999000,D1  -ELEVATOR,RR  -CONRENT,1-02053-0058,742 ST NICHOLAS AVENUE,625924,6.57,0.42
10.0,22506,14676000.0,CHELSEA,11.24,45.83,6538999,D1  -ELEVATOR,R4  -ELEVATOR,1-00768-0077,274 WEST 19 STREET,850502,11.26,0.0
21.22,22902,5545000.0,UPPER EAST SIDE (79-96),22.14,56.08,5135001,D1  -ELEVATOR,R4  -ELEVATOR,1-01576-0049,1510 YORK AVENUE,791723,21.22,0.05
9.56,49408,2833000.0,GREENWICH VILLAGE-CENTRAL,10.6,32.99,4134000,D5  -ELEVATOR,R4  -ELEVATOR,1-00570-0008,6 EAST 13 STREET,1085494,10.6,0.56
15.57,20599,8925000.0,ALPHABET CITY,15.34,46.78,15748006,C4  -WALK-UP,R2  -WALK-UP,1-00392-0022,374 EAST 10 STREET,651753,15.34,0.54
15.97,53500,14265000.0,GREENWICH VILLAGE-WEST,17.22,52.4,6282998,D5  -ELEVATOR,R4  -ELEVATOR,1-00634-0047,337 WEST 11 STREET,1953820,17.22,0.08
16.37,30999,2881000.0,ALPHABET CITY,15.69,42.22,38550001,D6  -ELEVATOR,R4  -ELEVATOR,1-00134-0011,33 WARREN STREET,770635,16.03,0.09
10.99,53525,2827000.0,HARLEM-CENTRAL,11.94,35.2,9183024,D9  -ELEVATOR,R4  -ELEVATOR,1-02009-0054,164 WEST 141 STREET,1235357,11.94,0.24
15.84,22344,9322000.0,UPPER EAST SIDE (59-79),13.14,51.94,40600009,D3  -ELEVATOR,R4  -ELEVATOR,1-01379-0066,4 EAST 65 STREET,806618,13.14,0.3
8.96,17490,685000.0,SOUNDVIEW,8.26,14.78,2868992,C1  -WALK-UP,R2  -WALK-UP,2-02958-0020,1841 MOHEGAN AVENUE,118758,7.91,2.93
4.45,47106,2306000.0,HARLEM-EAST,6.88,37.09,6311002,D3  -ELEVATOR,R4  -ELEVATOR,1-01639-0057,138 EAST 112 STREET,1518226,6.88,0.21
14.16,57375,53222000.0,UPPER EAST SIDE (59-79),13.25,49.57,65377000,D3  -ELEVATOR,RR  -CONRENT,1-01467-0018,425 EAST 72 STREET,2045419,14.16,0.46
12.52,9700,2410000.0,HARLEM-EAST,14.0,24.22,916997,C4  -WALK-UP,R2  -WALK-UP,1-01628-0048,180 EAST 101 STREET,123481,14.68,0.1
9.57,29303,5372000.0,UPPER WEST SIDE (79-96),9.07,46.19,18103004,D3  -ELEVATOR,R4  -ELEVATOR,1-01248-0051,340 WEST 87 STREET,1107067,10.0,0.13
11.01,72000,46507000.0,RIVERDALE,14.32,27.34,6924005,D1  -ELEVATOR,R4  -ELEVATOR,2-05769-0132,3660 WALDO AVENUE,1402560,5.08,0.39
15.99,16120,6249000.0,CHINATOWN,15.42,51.48,7816999,D7  -ELEVATOR,R4  -ELEVATOR,1-00206-0026,203 CANAL STREET,527607,15.99,0.09
17.42,41750,2833000.0,GREENWICH VILLAGE-CENTRAL,14.69,55.93,30659000,D5  -ELEVATOR,RR  -CONRENT,1-00558-0044,115 EAST 12 STREET,1629085,14.69,0.05
18.26,24848,55785000.0,CLINTON,17.68,58.93,90696997,D3  -ELEVATOR,R4  -ELEVATOR,1-01042-0007,355 WEST 51 STREET,839863,10.71,0.0
14.28,26300,5285000.0,LOWER EAST SIDE,14.48,47.65,5707004,D3  -ELEVATOR,R4  -ELEVATOR,1-00309-0022,51 LUDLOW STREET,870793,14.28,0.2
14.23,12685,1113000.0,HARLEM-CENTRAL,12.58,37.65,1571000,C4  -WALK-UP,R2  -WALK-UP,1-01829-0008,269 WEST 113 STREET,317505,13.24,0.1
13.2,27847,2800000.0,UPPER EAST SIDE (79-96),11.18,38.96,11675996,D3  -ELEVATOR,R4  -ELEVATOR,1-01567-0031,440 EAST 88 STREET,722352,11.18,0.11
17.42,11212,53222000.0,UPPER EAST SIDE (59-79),15.02,92.72,160516005,D3  -ELEVATOR,R4  -ELEVATOR,1-01377-0043,44 EAST 63 STREET,863660,14.91,0.1
8.38,63750,7599000.0,PARKCHESTER,9.21,15.69,170758531,D1  -ELEVATOR,R4  -ELEVATOR,2-03927-0011,1585 WHITE PLAINS ROAD,474938,7.12,0.24
13.39,41423,10460000.0,CHELSEA,11.87,54.1,9837002,D1  -ELEVATOR,R4  -ELEVATOR,1-00797-0074,160 WEST 22 STREET,1577802,13.39,0.05
16.25,14022,17905000.0,EAST VILLAGE,15.8,55.07,14896001,D5  -ELEVATOR,R4  -ELEVATOR,1-00468-0013,208 EAST 13 STREET,583735,15.8,0.15
