unique_squirrel_id,geocoded_column,tail_flags,eating,:@computed_region_sbqj_enih,highlight_fur_color,indifferent,x,chasing,approaches,location,y,date,above_ground_sighter,age,:@computed_region_92fq_4b7q,combination_of_primary_and,other_activities
21G-PM-1007-04,"{'type': 'Point', 'coordinates': [-73.9634563222926, 40.780992836417]}",True,True,13,Cinnamon,False,-73.9634563222926,False,False,Ground Plane,40.780992836417,10072018,FALSE,,19,Gray+Cinnamon,
42D-PM-1013-01,"{'type': 'Point', 'coordinates': [-73.954482814186, 40.7987031768001]}",False,False,13,Cinnamon,True,-73.954482814186,False,True,Ground Plane,40.7987031768001,10132018,FALSE,Adult,19,Gray+Cinnamon,watching passers-by
14E-AM-1008-02,"{'type': 'Point', 'coordinates': [-73.9692883970928, 40.7768553703082]}",False,False,13,,False,-73.9692883970928,False,False,Ground Plane,40.7768553703082,10082018,FALSE,Adult,19,Gray+,walking
13H-PM-1010-09,"{'type': 'Point', 'coordinates': [-73.96793990973822, 40.7742813149957]}",False,False,13,,True,-73.9679399097382,False,False,Ground Plane,40.7742813149957,10102018,FALSE,Adult,19,Gray+,
30C-AM-1014-01,"{'type': 'Point', 'coordinates': [-73.9626881234742, 40.7905208345549]}",False,True,13,Cinnamon,True,-73.9626881234742,False,False,Ground Plane,40.7905208345549,10142018,FALSE,Adult,19,Gray+Cinnamon,
14D-AM-1014-11,"{'type': 'Point', 'coordinates': [-73.9714921188372, 40.776758371867]}",False,False,13,"Cinnamon, White",True,-73.9714921188372,False,False,Ground Plane,40.776758371867,10142018,FALSE,Adult,19,"Gray+Cinnamon, White",
33I-PM-1006-09,"{'type': 'Point', 'coordinates': [-73.9547423290276, 40.7899702628835]}",False,False,13,,True,-73.9547423290276,False,False,Ground Plane,40.7899702628835,10062018,FALSE,Adult,19,Black+,
32I-AM-1013-04,"{'type': 'Point', 'coordinates': [-73.9552880892701, 40.7889040503316]}",True,False,13,Cinnamon,True,-73.9552880892701,False,False,Ground Plane,40.7889040503316,10132018,FALSE,Adult,19,Gray+Cinnamon,
14E-PM-1017-05,"{'type': 'Point', 'coordinates': [-73.9700879096644, 40.7765899724756]}",False,True,13,White,False,-73.9700879096644,False,False,Ground Plane,40.7765899724756,10172018,FALSE,Adult,19,Gray+White,
39D-AM-1008-03,"{'type': 'Point', 'coordinates': [-73.9563661256875, 40.7966823114508]}",False,False,13,,False,-73.9563661256875,False,False,Above Ground,40.7966823114508,10082018,5,Adult,19,Gray+,
5D-PM-1018-04,"{'type': 'Point', 'coordinates': [-73.9763791121438, 40.770281512254]}",False,False,13,White,False,-73.9763791121438,True,False,Ground Plane,40.770281512254,10182018,FALSE,Adult,19,Gray+White,chasing (dog chasing)
21F-AM-1018-01,"{'type': 'Point', 'coordinates': [-73.9649590119935, 40.7822107920769]}",False,False,13,,True,-73.9649590119935,False,False,Above Ground,40.7822107920769,10182018,15,Adult,19,Gray+,
30B-PM-1019-08,"{'type': 'Point', 'coordinates': [-73.9639832886071, 40.7909532437095]}",False,True,13,"Cinnamon, White",False,-73.9639832886071,False,False,Ground Plane,40.7909532437095,10192018,FALSE,Adult,19,"Gray+Cinnamon, White",
