address1,part_time,prep_for_others,monday,borough,fiscal_year_amount,nonkosher_budget,total_fy20_personnel_budget,comb_cost_per_person,site_type,thursday,months_in_hhs
138 BAY 20TH STREET,2,-,08:00 AM - 04:00PM,BROOKLYN,702875.0,0.0,64408.78,9518.53,SENIOR CENTER,08:00 AM - 04:00PM,12.0
4520 4 AVENUE,0,Yes,08:00 AM - 04:00PM,BROOKLYN,320928.0,175035.38,393693.22,4898.86,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
720 NEREID AVENUE,0,No,08:00 AM - 04:00PM,BRONX,384142.0,296654.19,389385.21,2529.15,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
9502 SEAVIEW AVENUE,0,No,08:00 AM - 04:00PM,BROOKLYN,357392.0,0.0,237623.66,,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
135 WEST  106 STREET,12,No,08:30 AM - 04:00PM,MANHATTAN,597647.0,130508.63,471184.65,1881.2,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:00PM,7.0
135 EINSTEIN LOOP,0,No,08:00 AM - 04:00PM,BRONX,387679.0,112942.28,111400.34,1063.39,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
441 WEST   26 STREET,13,No,08:30 AM - 05:30PM,MANHATTAN,568375.0,308882.14,657105.07,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 05:30PM,7.0
80-45 WINCHESTER BOULEVARD,10,Yes,08:30 AM - 04:30 PM,QUEENS,1648998.0,399524.62,,5566.58,INNOVATIVE SENIOR CENTERS,08:30 AM - 04:30 PM,
515 JACKSON AVENUE,3,No,08:00 AM - 04:00PM,BRONX,260029.0,124980.15,274545.5,1903.79,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
280 RALPH AVENUE,3,No,09:00 AM - 07:00PM,BROOKLYN,978390.0,119203.71,153404.45,2876.56,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 07:00PM,7.0
155-55 CROSS BAY BOULEVARD,1,No,08:00 AM - 04:00PM,QUEENS,456887.0,253070.73,305603.88,2699.06,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
420 BALTIC STREET,1,No,09:00 AM - 05:00PM,BROOKLYN,665208.0,61321.89,58717.71,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
159-36 HARLEM RIVER DRIVE,0,-,08:00 AM - 04:00PM,MANHATTAN,963874.0,0.0,176990.5,6380.13,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
179 NORTH    6 STREET,0,Yes,08:30 AM - 04:30PM,BROOKLYN,288756.0,214949.35,306945.14,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:30PM,7.0
711C SEAGIRT AVENUE,0,No,08:00 AM - 04:00PM,QUEENS,347300.0,196327.97,278335.25,6466.79,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
817 AVENUE H,0,No,08:00 AM - 04:00PM,BROOKLYN,426694.0,0.0,469729.08,1887.74,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
196 ALBANY AVENUE,0,No,09:00 AM - 05:00PM,BROOKLYN,395508.0,321669.05,420205.73,2814.93,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
1777 PITKIN AVENUE,4,-,09:00 AM - 05:00PM,BROOKLYN,670924.0,21780.89,146255.81,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
5901 13TH AVENUE,1,No,08:30 AM - 04:30PM,BROOKLYN,478422.0,388803.26,542848.63,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:30PM,7.0
176 JAVA STREET,0,-,08:00 AM - 04:00PM,BROOKLYN,495590.0,0.0,101449.49,,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
125 CASSIDY PLACE,7,-,09:00 AM - 05:00PM,STATEN ISLAND,606434.0,324358.18,373804.59,2204.5,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
3208 FULTON STREET,0,Yes,08:15 AM - 04:15PM,BROOKLYN,479671.0,307903.66,464743.56,,NEIGHBORHOOD SENIOR CENTERS,08:15 AM - 04:15PM,7.0
308 EAST  145 STREET,1,No,08:00 AM - 04:00PM,BRONX,351987.0,51353.12,45752.52,,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
887 SOUTHERN BOULEVARD,1,No,08:00 AM - 04:00PM,BRONX,399399.0,195992.5,374064.0,,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
966 FULTON STREET,0,No,09:00 AM - 05:00PM,BROOKLYN,871174.0,360638.66,579157.51,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 07:00PM,7.0
150 MALCOLM X BOULEVARD,3,No,09:00 AM - 07:00PM,BROOKLYN,978390.0,99810.38,167868.14,3380.34,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 07:00PM,7.0
98-19 ASTORIA BOULEVARD,8,No,09:00 AM - 05:00PM,QUEENS,254597.0,195942.01,303601.75,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
2424 BOSTON ROAD,0,No,08:00 AM - 04:00PM,BRONX,384892.0,285717.59,431461.22,2862.66,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
625 CASTLE HILL AVENUE,0,No,08:00 AM - 04:00PM,BRONX,339950.0,336014.28,355251.67,1376.64,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
5625 ARLINGTON AVENUE,8,No,08:30 AM - 04:00PM,BRONX,376210.0,362199.69,428491.71,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:00PM,7.0
70 MULBERRY STREET,10,-,09:00 AM - 05:00PM,MANHATTAN,710953.0,473201.93,673318.01,1575.07,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
3000 FILLMORE AVENUE,0,No,08:00 AM - 04:00PM,BROOKLYN,362705.0,229653.25,286589.15,1516.74,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,8.0
208-11 26TH AVENUE,10,No,08:30 AM - 04:00PM,QUEENS,411238.0,304107.75,420529.29,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:00PM,7.0
35-24 83RD ST,0,No,08:30 AM - 04:30PM,QUEENS,670811.0,350335.93,472003.87,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:30PM,7.0
