floor_id,floor_outlets,sign_sq_footage,fee_amount,floor_kw,sign_circuits,floor_att_receptacles
384A0CB0-DCE3-E811-811B-005056B627E4,170,0,146.5,7,0,90
0,0,0,8.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,240.0,0,0,0
0,0,0,90.0,0,0,0
017FD57A-8C51-E911-8120-005056B627E4,1810,0,1422.5,0,0,750
FF235D13-FC10-E811-8117-005056B627E4,45,0,28.75,0,0,19
0,0,0,105.0,0,0,0
0,0,0,125.0,0,0,0
0,0,0,2280.0,0,0,0
0,0,0,30.0,0,0,0
0,0,0,37.5,0,0,0
0,0,0,37.5,0,0,0
0,0,0,24.0,0,0,0
FF12A007-5AC2-E811-811B-005056B627E4,300,0,83.25,0,0,150
002D7088-0D38-E811-8117-005056B627E4,10,0,16.0,0,0,0
0,0,0,15.0,0,0,0
FE4094FF-9B21-E811-8117-005056B627E4,196,0,75.75,0,0,80
0,0,0,450.0,0,0,0
0,0,0,100.0,0,0,0
0,0,0,30.0,0,0,0
5F1A90D3-FAE8-E811-811A-005056B627E6,10,0,3.25,0,0,4
0,0,0,90.0,0,0,0
0,0,0,60.0,0,0,0
0,0,0,24.0,0,0,0
0,0,0,15.0,0,0,0
EF5CA134-0668-E811-8119-005056B627E6,311,0,935.5,0,0,81
002C7CEF-C50E-E911-811C-005056B627E4,848,0,221.0,0,0,450
0,0,0,60.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,300.0,0,0,0
0,0,0,15.0,0,0,0
FE25F0AE-C070-E811-811A-005056B627E4,24,0,3.5,0,0,0
0,0,0,15.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,30.0,0,0,0
FFC0EE0A-7642-E911-811F-005056B627E6,91,0,76.5,0,0,50
0,0,0,15.0,0,0,0
A2D841EF-1E1B-E811-8117-005056B627E4,10,0,10.0,0,0,5
3A19062F-8742-E811-8117-005056B627E4,85,0,67.5,0,0,30
0,0,0,8.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,45.0,0,0,0
0,0,0,37.5,0,0,0
0,0,0,50.0,0,0,0
0,0,0,15.0,0,0,0
49B48E1D-3161-E911-8120-005056B627E6,35,0,44.5,0,0,11
0,0,83,115.0,0,1,0
0,0,0,300.0,0,0,0
C9BAC55D-0568-E811-8119-005056B627E6,378,0,935.5,0,0,138
FFC0BDD8-953C-E911-811F-005056B627E6,204,0,48.5,0,0,90
0,0,0,24.0,0,0,0
AE1A90F6-943E-E811-8117-005056B627E4,46,0,26.0,0,0,11
000BFC40-A334-E811-8117-005056B627E4,45,0,8.75,0,0,25
0,0,0,8.0,0,0,0
1A5B953D-9B21-E811-8117-005056B627E4,21,0,75.75,0,0,10
F617DE3D-2A5D-E911-8120-005056B627E6,22,0,3.0,0,0,10
F5147EBB-6C58-E811-8117-005056B627E4,0,0,6.0,0,0,0
0,0,0,45.0,0,0,0
3F4A0CB0-DCE3-E811-811B-005056B627E4,1,0,146.5,0,0,1
0,0,0,45.0,0,0,0
0,0,0,100.0,0,0,0
0,0,0,45.0,0,0,0
0,0,0,15.0,0,0,0
01CB7F09-0D38-E811-8117-005056B627E4,34,0,16.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,8.0,0,0,0
0,0,0,8.0,0,0,0
9F88C643-4010-E811-8117-005056B627E4,29,0,33.5,0,0,15
191AB0C2-F29E-E811-811B-005056B627E4,103,0,23.25,0,0,28
0,0,0,37.5,0,0,0
0,0,0,125.0,0,0,0
0,0,0,24.0,0,0,0
FF3808AE-DA41-E911-811F-005056B627E6,43,0,10.25,0,0,6
FF209EAF-3676-E811-811A-005056B627E4,14,0,1.0,0,0,0
0,0,0,15.0,0,0,0
B9C8113C-FEFB-E711-8116-005056B627E6,31,0,5.25,0,0,14
0,0,0,30.0,0,0,0
0,0,0,75.0,0,0,0
0,0,0,83.0,0,0,0
00280C73-2236-E911-811F-005056B627E6,303,0,87.5,8,0,112
11FF3CD8-59C2-E811-811B-005056B627E4,40,0,83.25,0,0,10
20C6BA3E-4D0F-E911-811C-005056B627E4,10,0,57.75,0,0,3
0,0,0,45.0,0,0,0
FFFA3661-FAE0-E711-8117-005056B627E4,28,0,4.5,0,0,0
00324589-C01D-E911-811E-005056B627E6,63,0,15.0,0,0,34
001A0AFF-5929-E911-811E-005056B627E6,6,0,81.0,0,0,1
0,0,0,37.5,0,0,0
0,0,0,8.0,0,0,0
0,0,0,60.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,45.0,0,0,0
0,0,0,150.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,30.0,0,0,0
0,0,0,8.0,0,0,0
0,0,0,30.0,0,0,0
0,0,0,112.0,0,0,0
FF055C50-C612-E911-811D-8CFAEDA547D3,19,0,2.25,0,0,0
0,0,0,30.0,0,0,0
0,0,0,270.0,0,0,0
0,0,0,8.0,0,0,0
0,0,0,30.0,0,0,0
F9362BAF-7142-E811-8117-005056B627E4,193,0,46.5,0,0,80
0,0,0,15.0,0,0,0
0,0,0,30.0,0,0,0
0,0,0,50.0,0,0,0
FFC23AD8-AB0D-E811-8117-005056B627E4,272,0,69.25,12,0,134
0,0,0,8.0,0,0,0
0,0,0,45.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,30.0,0,0,0
B76BD918-5C6B-E911-8120-005056B627E6,140,0,76.25,0,0,30
FF8BD395-6533-E811-8117-005056B627E4,3,0,38.25,0,0,1
0,0,0,15.0,0,0,0
0CF4534E-3F17-E811-8117-005056B627E4,11,0,60.5,0,0,1
0,0,0,105.0,0,0,0
C7D6A75D-4362-E911-8120-005056B627E6,60,0,46.5,0,0,20
0,0,0,15.0,0,0,0
972A5247-8D51-E911-8120-005056B627E4,962,0,1422.5,0,0,500
7C002DC6-5A14-E911-811D-8CFAEDA547D3,30,0,55.25,0,0,12
0,0,0,24.0,0,0,0
FF83538A-F141-E911-811F-005056B627E6,0,0,3.0,0,0,0
0,0,0,30.0,0,0,0
0E57CA15-8FFD-E811-811B-005056B627E4,21,0,28.25,0,0,0
0,0,0,100.0,0,0,0
FE00EC5E-202D-E811-8117-005056B627E4,43,0,8.25,0,0,8
FF0203A4-3C39-E911-811F-005056B627E6,10,0,7.5,0,0,5
0,0,0,45.0,0,0,0
FF89E8EC-F088-E811-811A-005056B627E4,4,0,97.25,0,0,0
0,0,0,8.0,0,0,0
FFF064ED-A61A-E911-811C-005056B627E6,16,0,1.5,0,0,0
0,0,0,75.0,0,0,0
0,0,0,50.0,0,0,0
FF19E4C1-15D9-E811-811B-005056B627E4,15,0,1.25,0,0,12
FF2EF77D-9058-E811-8117-005056B627E4,0,0,3.0,0,0,0
002F9B52-A736-E911-811F-005056B627E6,58,0,12.0,0,0,0
0,0,0,15.0,0,0,0
2046DC80-F6DD-E811-811A-005056B627E6,172,0,62.75,0,0,70
0,0,0,650.0,0,0,0
FBB13336-5B14-E911-811D-8CFAEDA547D3,62,0,55.25,0,0,25
FFCF66A6-C2E9-E811-811A-005056B627E6,16,0,1.5,0,0,0
0,0,0,30.0,0,0,0
0,0,0,60.0,0,0,0
FEDDB56A-4DBC-E811-811B-005056B627E4,42,0,17.75,0,0,18
FEA31E42-D92B-E911-811E-005056B627E6,1148,0,284.5,0,0,648
0,0,0,30.0,0,0,0
003A8E41-FF13-E911-811D-8CFAEDA547D3,53,0,10.75,0,0,25
0,0,0,150.0,0,0,0
0,0,0,15.0,0,0,0
FF6A9298-73F1-E711-8116-005056B627E6,62,0,13.0,0,0,32
FFB8B216-1547-E811-8117-005056B627E4,15,0,1.25,0,0,12
FF08E7A1-DBC8-E811-811B-005056B627E4,7,0,1.25,0,0,0
BFD50D21-7307-E811-8117-005056B627E4,60,0,14.25,0,0,0
0,0,0,50.0,0,0,0
