latitude,longitude,comparable_rental_1_address,comparable_rental_2_total_units,brooklyn_condominium_property_gross_sqft,comparable_rental_1_market_value_per_sqft,brooklyn_condominium_property_building_classification,comparable_rental_2_building_classification,community_board,bbl,brooklyn_condominium_property_est_gross_income
40.694954,-73.933347,248 HANCOCK STREET,20.0,15600,72.0,R2-WALK-UP,C1-WALK-UP,3.0,3015937501.0,278772
40.700559,-73.956344,276 SOUTH 1 STREET,29.0,21528,44.6,R4-ELEVATOR,D9-ELEVATOR,1.0,3022357505.0,471893
40.722482,-73.94919,536 GRAHAM AVENUE,20.0,12806,63.0,R4-ELEVATOR,C1-WALK-UP,1.0,3026977502.0,284165
40.703417,-73.950798,158 BROADWAY,35.0,26819,50.0,R4-ELEVATOR,D9-ELEVATOR,1.0,3022377511.0,403200
40.695445,-73.948543,1084 BEDFORD AVENUE,,58244,76.0,R2-WALK-UP,,3.0,3017557501.0,953454
40.64744,-73.951113,255 LINDEN STREET,16.0,29125,72.0,R2-WALK-UP,C1-WALK-UP,17.0,3051307501.0,0
40.625938,-73.981624,4711 12 AVENUE,40.0,49800,24.72,R4-ELEVATOR,C1-WALK-UP,12.0,3054747502.0,597600
40.694425,-73.957411,88 CHAUNCEY STREET,,15957,43.7,R4-ELEVATOR,,3.0,3019137507.0,0
40.683236,-73.941002,399 PUTNAM AVENUE,11.0,11030,51.0,R2-WALK-UP,C1-WALK-UP,3.0,3018407501.0,141294
40.700285,-73.956769,276 SOUTH 1 STREET,29.0,29200,44.6,R4-ELEVATOR,D9-ELEVATOR,1.0,3022357509.0,640064
40.665793,-73.941836,993 PRESIDENT STREET,33.0,31068,40.3,R2-WALK-UP,C1-WALK-UP,9.0,3013007501.0,377942
40.619427,-73.978326,970 42 STREET,,52632,34.6,R2-WALK-UP,,12.0,3054957501.0,857902
40.577353,-73.954678,80 GREENE AVENUE,20.0,26656,108.0,R4-ELEVATOR,C1-WALK-UP,13.0,3087237502.0,559776
40.664647,-73.949735,1030 PRESIDENT STREET,26.0,65071,36.1,R2-WALK-UP,C1-WALK-UP,9.0,3013097501.0,1107508
40.631803,-73.974907,392 EAST 4 STREET,16.0,14630,53.0,R4-ELEVATOR,C1-WALK-UP,14.0,3054167501.0,193848
40.695619,-73.957328,2160 78 STREET,13.0,15531,42.4,R4-ELEVATOR,C7-WALK-UP,3.0,3018997503.0,264027
40.673986,-73.984019,150 PROSPECT PARK WEST,40.0,48738,105.0,R4-ELEVATOR,D1-ELEVATOR,6.0,3009747501.0,1041531
40.703158,-73.947307,84 BROADWAY,29.0,23938,92.0,R4-ELEVATOR,D9-ELEVATOR,1.0,3022517502.0,526636
40.675704,-73.982735,206 BERKELEY PLACE,18.0,15740,119.0,R4-ELEVATOR,D1-ELEVATOR,6.0,3009587501.0,336403
,,354 SOUTH 2 STREET,22.0,17639,39.6,R4-ELEVATOR,D9-ELEVATOR,,,320500
40.581387,-73.959903,854 GATES AVENUE,,16542,62.0,R4-ELEVATOR,,13.0,3086687504.0,0
40.703043,-73.990688,99 GOLD STREET,137.0,158053,148.0,R4-ELEVATOR,D6-ELEVATOR,2.0,3000367501.0,3654000
40.709782,-73.963966,84 BROADWAY,36.0,36290,92.0,R4-ELEVATOR,D9-ELEVATOR,1.0,3021327501.0,704962
40.677616,-73.97507,150 PROSPECT PARK WEST,25.0,38430,105.0,R4-ELEVATOR,D1-ELEVATOR,6.0,3009457501.0,772827
40.703809,-73.990652,205 STATE STREET,137.0,227916,104.0,R4-ELEVATOR,D6-ELEVATOR,2.0,3000277501.0,4984800
40.69885,-73.957823,385 SOUTH 2 STREET,24.0,24635,38.3,R4-ELEVATOR,D9-ELEVATOR,1.0,3022627505.0,432836
40.705967,-73.966908,84 BROADWAY,33.0,67712,92.0,R4-ELEVATOR,D7-ELEVATOR,1.0,3021657503.0,1512000
40.603545,-74.004138,2920 WEST 21 STREET,,14462,33.6,R4-ELEVATOR,,11.0,3064057501.0,0
40.709942,-73.967552,276 SOUTH 1 STREET,30.0,14820,44.6,R4-ELEVATOR,D9-ELEVATOR,1.0,3021297504.0,301883
40.706317,-73.962457,200 ROSS STREET,30.0,25704,32.7,R4-ELEVATOR,D9-ELEVATOR,1.0,3021737501.0,327600
40.685924,-74.001302,200 CLINTON STREET,67.0,41786,101.0,R2-WALK-UP,D3-ELEVATOR,6.0,3003197502.0,851181
40.686135,-73.962346,295 WASHINGTON AVENUE,,59400,40.4,R2-WALK-UP,,2.0,3019697501.0,772200
40.660222,-73.990027,206 BERKELEY PLACE,20.0,13070,119.0,R4-ELEVATOR,D7-ELEVATOR,7.0,3008867501.0,294075
40.62562,-73.979545,1005 45 STREET,,28960,65.0,R2-WALK-UP,,12.0,3054627501.0,499560
40.708044,-73.962683,242 SOUTH 3 STREET,24.0,21746,96.0,R2-WALK-UP,C7-WALK-UP,1.0,3021477503.0,397570
40.585287,-73.944027,2024 JEROME AVENUE,86.0,22625,55.0,R4-ELEVATOR,D1-ELEVATOR,15.0,3087827502.0,509063
40.634528,-74.007977,1691 65 STREET,20.0,9999,50.0,R4-ELEVATOR,C1-WALK-UP,12.0,3057147501.0,238038
40.678003,-73.973952,586 PRESIDENT STREET,83.0,68505,153.0,R4-ELEVATOR,D5-ELEVATOR,6.0,3009397502.0,1681112
40.677158,-73.978239,288 6 STREET,17.0,13731,67.0,R2-WALK-UP,C1-WALK-UP,6.0,3009477501.0,239469
40.718816,-73.959311,84 BROADWAY,29.0,30567,92.0,R4-ELEVATOR,D9-ELEVATOR,1.0,3023267501.0,648000
40.710581,-73.966426,193 NORTH 9 STREET,112.0,147926,155.0,R4-ELEVATOR,D5-ELEVATOR,1.0,3021307501.0,2869764
40.686709,-74.000898,419 DE GRAW STREET,114.0,84000,89.0,R4-ELEVATOR,C1-WALK-UP,6.0,3003207502.0,1650051
40.701659,-73.953144,354 SOUTH 2 STREET,22.0,15052,39.6,R4-ELEVATOR,D9-ELEVATOR,1.0,3022407513.0,273494
40.69602,-73.957385,345 JEFFERSON AVENUE,16.0,18965,26.9,R4-ELEVATOR,C1-WALK-UP,3.0,3019007513.0,375300
40.608719,-73.991392,1501 BAY RIDGE AVENUE,,28800,33.5,R2-WALK-UP,,11.0,3062517501.0,328608
40.652699,-73.956195,625 MARLBOROUGH ROAD,98.0,14055,41.1,R4-ELEVATOR,D9-ELEVATOR,14.0,3050837501.0,0
40.694798,-73.957162,345 JEFFERSON AVENUE,12.0,17958,26.9,R4-ELEVATOR,C1-WALK-UP,3.0,3018997501.0,289124
40.583001,-73.959444,2024 JEROME AVENUE,16.0,24371,55.0,R4-ELEVATOR,C1-WALK-UP,13.0,3088117501.0,418206
40.684094,-73.91696,1631 EASTERN PARKWAY EXT,16.0,13640,29.1,R2-WALK-UP,C1-WALK-UP,16.0,3014987501.0,143084
40.644519,-74.012381,158 26 STREET,,10819,144.0,R4-ELEVATOR,,7.0,3008077502.0,357027
40.689111,-73.966026,295 WASHINGTON AVENUE,16.0,29054,40.4,R2-WALK-UP,C1-WALK-UP,2.0,3019317501.0,426803
40.676927,-73.965379,356 ST JOHN'S PLACE,50.0,40755,41.0,R4-ELEVATOR,C7-WALK-UP,8.0,3011600004.0,611325
40.692226,-73.954697,640 LAFAYETTE AVENUE,20.0,24200,138.0,R4-ELEVATOR,C1-WALK-UP,3.0,3017637503.0,0
40.699992,-73.958757,385 SOUTH 2 STREET,24.0,22844,38.3,R4-ELEVATOR,D9-ELEVATOR,1.0,3022247502.0,387205
40.5849,-73.939984,5411 2 AVENUE,16.0,37350,67.0,R2-WALK-UP,C1-WALK-UP,15.0,3087927502.0,634950
40.66799,-73.949004,658 MONTGOMERY STREET,,22128,39.8,R2-WALK-UP,,9.0,3012767501.0,283366
40.70184,-73.986739,65 WASHINGTON STREET,364.0,301131,75.0,R4-ELEVATOR,D1-ELEVATOR,2.0,3000537501.0,6064800
40.695983,-73.955467,640 LAFAYETTE AVENUE,,7297,138.0,R4-ELEVATOR,,3.0,3017347516.0,211613
40.615125,-74.012801,98 GRAND AVENUE,,9626,92.0,R2-WALK-UP,,10.0,3063227501.0,214852
40.645592,-74.002076,873 45 STREET,34.0,54770,68.0,R4-ELEVATOR,C7-WALK-UP,7.0,3007417501.0,492930
40.690112,-73.99215,205 STATE STREET,187.0,248762,104.0,R4-ELEVATOR,D6-ELEVATOR,2.0,3002777501.0,7686745
40.671487,-73.974423,40 WYCKOFF STREET,42.0,17680,63.0,R2-WALK-UP,C7-WALK-UP,6.0,3010730001.0,261664
40.702323,-73.984059,254 WATER STREET,23.0,35389,90.0,R4-ELEVATOR,D5-ELEVATOR,2.0,3000557502.0,842258
40.677429,-73.974594,256 GATES AVENUE,16.0,14835,33.6,R2-WALK-UP,C1-WALK-UP,6.0,3009457504.0,0
40.658292,-73.991339,5319 6 AVENUE,16.0,12930,43.4,R2-WALK-UP,C1-WALK-UP,7.0,3009007502.0,277736
40.682437,-73.918213,495 HOWARD AVENUE,16.0,53760,28.8,R2-WALK-UP,C1-WALK-UP,3.0,3015097501.0,708019
40.632467,-74.001935,838 42 STREET,20.0,29346,52.0,R2-WALK-UP,C1-WALK-UP,12.0,3057037502.0,453102
40.701783,-73.948946,84 BROADWAY,30.0,39000,92.0,R4-ELEVATOR,D9-ELEVATOR,1.0,3022507501.0,837330
40.699616,-73.957715,385 SOUTH 2 STREET,24.0,24331,38.3,R4-ELEVATOR,D9-ELEVATOR,1.0,3022627503.0,427495
40.638716,-73.990661,814 40 STREET,11.0,11375,91.0,R2-WALK-UP,C7-WALK-UP,12.0,3056047506.0,241036
40.704978,-73.949412,318 GRAND STREET,25.0,61764,118.0,R4-ELEVATOR,D2-ELEVATOR,1.0,3022387504.0,1326073
40.682932,-74.003209,104 LUQUER STREET,14.0,15394,97.0,R4-ELEVATOR,D1-ELEVATOR,6.0,3003487501.0,340900
40.66226,-73.984202,466 15 STREET,16.0,13550,103.0,R2-WALK-UP,C1-WALK-UP,7.0,3011047505.0,272152
40.717735,-73.96051,94 HAVEMEYER STREET,25.0,35169,70.0,R4-ELEVATOR,D9-ELEVATOR,1.0,3023347501.0,684000
40.654088,-73.885105,360 SNEDIKER AVENUE,84.0,445921,18.92,R4-ELEVATOR,C1-WALK-UP,5.0,3044157501.0,4100438
40.647341,-73.998897,206 BERKELEY PLACE,20.0,10194,119.0,R4-ELEVATOR,D7-ELEVATOR,7.0,3009157501.0,194400
40.698765,-73.958357,276 SOUTH 1 STREET,30.0,16303,44.6,R4-ELEVATOR,D9-ELEVATOR,1.0,3022627506.0,332092
40.696157,-73.956444,640 LAFAYETTE AVENUE,,21442,138.0,R4-ELEVATOR,,3.0,3017347505.0,621818
40.685885,-73.991025,104 LUQUER STREET,47.0,49690,97.0,R4-ELEVATOR,D3-ELEVATOR,2.0,3003917501.0,967961
40.714157,-73.956226,84 BROADWAY,21.0,29315,92.0,R4-ELEVATOR,D9-ELEVATOR,1.0,3023467502.0,616787
40.684931,-73.999524,142 REMSEN STREET,47.0,52529,75.0,R4-ELEVATOR,D3-ELEVATOR,6.0,3003317501.0,973887
40.709814,-73.962018,84 BROADWAY,29.0,20661,92.0,R4-ELEVATOR,D9-ELEVATOR,1.0,3021337502.0,432641
40.661724,-73.945538,64 WEST 9 STREET,,24834,28.5,R2-WALK-UP,,9.0,3047937502.0,272429
40.642334,-74.006043,873 45 STREET,12.0,32805,68.0,R4-ELEVATOR,C1-WALK-UP,7.0,3007937503.0,803723
,,784 4 AVENUE,11.0,12490,77.0,R2-WALK-UP,C7-WALK-UP,,,220800
40.663714,-73.978514,288 6 STREET,17.0,13352,67.0,R2-WALK-UP,C1-WALK-UP,6.0,3010977501.0,232858
40.684225,-73.990276,131 JORALEMON STREET,32.0,25047,143.0,R4-ELEVATOR,D3-ELEVATOR,6.0,3004037508.0,561600
40.663229,-73.936511,40 WYCKOFF STREET,,15785,63.0,R2-WALK-UP,,9.0,3014297501.0,238985
40.687148,-73.962125,477 CLINTON AVENUE,14.0,11700,201.0,R2-WALK-UP,C1-WALK-UP,2.0,3019527501.0,355212
40.716384,-73.946388,84 BROADWAY,29.0,25438,92.0,R4-ELEVATOR,D9-ELEVATOR,1.0,3027497501.0,504000
40.709934,-73.967476,276 SOUTH 1 STREET,30.0,14820,44.6,R4-ELEVATOR,D9-ELEVATOR,1.0,3021297503.0,301883
40.699706,-73.957675,385 SOUTH 2 STREET,24.0,32400,38.3,R4-ELEVATOR,D9-ELEVATOR,1.0,3022307505.0,541728
40.663386,-73.989269,862 UNION STREET,45.0,43348,69.0,R4-ELEVATOR,D1-ELEVATOR,7.0,3010537501.0,672000
40.70816,-73.945056,45 SOUTH 5 STREET,12.0,16458,72.0,R2-WALK-UP,C1-WALK-UP,1.0,3030427501.0,279000
40.590686,-73.957027,2276 HOMECREST AVENUE,,14100,66.0,R2-WALK-UP,,15.0,3074147501.0,0
40.698845,-73.96029,189 ROSS STREET,25.0,40200,43.8,R4-ELEVATOR,D9-ELEVATOR,1.0,3022607501.0,683400
