programname,longitude,census_tract,latitude,x,council_district
P.S. 13 Roberto Clemente,-73.893754,1126.0,40.663673,1013726,42.0
P.S. 9 Ryer Avenue Elementary School,-73.898936,38301.0,40.857067,1012207,15.0
Tolentine Zeiser Community Life Center,-73.906589,255.0,40.862282,1010088,14.0
Gramercy School,-73.998578,103.0,40.754329,984644,3.0
P.S. 9 Teunis G. Bergen,-73.965541,205.0,40.678297,993808,35.0
P.S. 99 Isaac Asimov,-73.965595,454.0,40.621565,993801,44.0
"All Seasons A&C Day Care, LLC",-73.866977,374.0,40.873206,1021039,15.0
United Bronx Parents,-73.902814,149.0,40.833147,1011144,16.0
P.S. 111 Seton Falls,-73.840254,484.0,40.884343,1028422,12.0
Sharon Baptist - Center IV,-73.896858,395.0,40.847442,1012786,15.0
P.S. 93 William H. Prescott,-73.94684,247.0,40.679097,998995,36.0
P.S. 115 Daniel Mucatel School,-73.897262,1008.0,40.635015,1012765,46.0
P.S. 308 Clara Cardwell,-73.935499,293.0,40.688695,1002138,36.0
Red Hook Neighborhood School,-74.005166,59.0,40.677564,982817,38.0
P.S. 76 A. Philip Randolph,-73.951061,220.0,40.806768,997798,9.0
Brooklyn Gardens Elementary School,-73.897723,1130.0,40.665798,1012624,42.0
District 20 Pre-K Center at 2165 71st Street,-73.985835,258.0,40.610983,988183,44.0
Friends of Crown Heights 15,-73.879746,1192.0,40.674284,1017607,37.0
BronxWorks,-73.91959,18102.0,40.832331,1006502,16.0
Edwards L. Cleaveland,-73.938391,343.0,40.672793,1001340,36.0
Corry Academy,-73.852905,434.0,40.895366,1024917,11.0
Starrett Early Learning Center,-73.881307,105801.0,40.647716,1017187,42.0
Amalgamated Nursery School,-73.89244,281.0,40.884167,1013992,11.0
Saint Anselm School,-73.905151,79.0,40.816288,1010504,17.0
P.S. 51 Elias Howe,-73.995823,129.0,40.761479,985407,3.0
Athena Scholars,-74.005484,106.0,40.638552,982728,38.0
Jonathan Williams,-73.960981,525.0,40.70832,995068,33.0
Manhattan Nursery School,-73.987253,76.0,40.747889,987782,4.0
P.S. 179 Kensington,-73.977642,488.0,40.640463,990455,39.0
P.S. 31 Samuel F. Dupont,-73.95427,561.0,40.726587,996925,33.0
P.S. 149 Danny Kaye,-73.892822,1158.0,40.669719,1013982,42.0
Manhattan Early Childhood Center,-73.937258,273.0,40.853907,1001607,10.0
ACE Early Childhood Center,-73.990448,141.0,40.666966,986900,39.0
P.S. 11 Purvis J. Behan,-73.966291,199.0,40.685491,993599,35.0
P.S. 28 Mount Hope,-73.903522,23302.0,40.848057,1010942,15.0
District 20 Pre-K Center at 1423 62nd Street,-73.996729,250.0,40.625899,985158,44.0
East Harlem CHS Bilingual Head Start - 111th,-73.947832,17402.0,40.797069,998694,9.0
P.S. 58 The Carroll,-73.994938,77.0,40.680149,985654,39.0
Breukelen Head Start,-73.896005,982.0,40.648732,1013108,42.0
Mosholu Montefiore - Van Cortlandt,-73.894008,409.0,40.882997,1013559,11.0
St. Clare Of Assisi Early Childhood Academy,-73.856686,250.0,40.851398,1023898,13.0
Highbridge Advisory Council Early Childhood Center #3,-73.924251,201.0,40.842325,1005202,16.0
Redeemer St. John's Nursery School,-74.019635,140.0,40.62032,978799,43.0
P.S. 67 Mohegan School,-73.884788,363.0,40.843945,1016127,17.0
The Peck Slip School,-74.002406,1501.0,40.708766,983583,1.0
P.S. 110 Theodore Schoenfeld,-73.900751,149.0,40.835286,1011714,16.0
"St. Jemuel Group Family Day Care, Inc",-73.864555,328.0,40.862109,1021715,13.0
Grand St Settlement Head Start Center,-73.979547,1002.0,40.715824,989920,2.0
P.S. 226 Alfred De B. Mason,-73.97635,446.0,40.615252,990816,44.0
P.S. 120 Carlos Tapia,-73.93834,389.0,40.700609,1001196,34.0
P.S. 188 The Island School,-73.977904,20.0,40.719598,990375,2.0
"Einstein Daycare, Inc.",-73.926153,866.0,40.655612,1004740,41.0
M.A.C.A.D.E.M.Y.,-73.948787,319.0,40.668857,998457,35.0
LPBC Day Care,-74.005436,198.0,40.618784,982741,43.0
P.S. 256 Benjamin Banneker,-73.950433,253.0,40.690725,997996,36.0
Riverdale Temple Nursery School,-73.912208,309.0,40.891762,1008523,11.0
P.S. 116 Mary Lindley Murray,-73.978116,70.0,40.744838,990314,2.0
BCS Duffield Children's Center,-73.981761,31.0,40.692598,989308,35.0
P.S. 398 Walter Weaver,-73.926959,882.0,40.663559,1004514,41.0
P.S. 319,-73.954217,527.0,40.709674,996943,34.0
P.S. 98 Shorac Kappock,-73.917059,303.0,40.867826,1007190,10.0
Bubble Bee Day Care,-74.006886,53.0,40.674385,982340,38.0
P.S. 7 Samuel Stern,-73.939349,196.0,40.801007,1001042,8.0
P.S. 192 The Magnet School for Math and Science Inquiry,-73.979995,476.0,40.629303,989803,44.0
P.S. 5 Ellen Lurie,-73.922894,299.0,40.85899,1005579,10.0
Promesa Head Start,-73.921803,20501.0,40.849339,1005884,16.0
Lehman College Childcare Center,-73.89286,409.0,40.875028,1013880,11.0
Saint Peter's Preschool,-73.881465,1174.0,40.682594,1017126,37.0
P.S. 135 Sheldon A. Brookner,-73.933114,870.0,40.65364,1002809,41.0
PAL Arnold and Marie Schwartz Early Learn Center,-73.894388,1126.0,40.666064,1013549,42.0
Bronx Day Care Center Inc.,-73.894944,37504.0,40.846515,1013316,15.0
Regent School,-73.863127,390.0,40.881188,1022099,12.0
"New Sunflower Daycare Center, Llc",-74.008179,176.0,40.605093,981979,43.0
Ella Baker School,-73.960059,118.0,40.765359,995314,5.0
River Park Nursery School,-73.971097,181.0,40.793032,992253,6.0
District 2 Pre-K Center at P.S. 343 The Peck Slip School,-74.002406,1501.0,40.708766,983583,1.0
P.S. 6 Lillie D. Blake,-73.960713,142.0,40.777455,995131,4.0
P.S. 16 Wakefield,-73.854829,414.0,40.902205,1024381,11.0
Heartshare Human Services of New York,-74.005247,280.0,40.603405,982793,43.0
P.S. 59 William Floyd,-73.943652,28502.0,40.696733,999875,36.0
P.S. 375 Jackie Robinson School,-73.959031,325.0,40.665035,995616,35.0
Bais Sarah School,-73.99263,248.0,40.624186,986296,44.0
Children's Aid Society,-73.927936,283.0,40.860412,1004184,10.0
Children's Aid Society's P.S. 5 Early Childhood Program,-73.922894,299.0,40.85899,1005579,10.0
P.S. 91 The Albany Avenue School,-73.93994,806.0,40.661886,1000913,41.0
NYC Montessori Charter School,-73.921887,39.0,40.808695,1005874,8.0
Virginia Day Nursery,-73.97454,24.0,40.724601,991307,2.0
A. Fantis Parochial School,-73.99145,9.0,40.690159,986621,33.0
Dominican Women's Development Center,-73.933037,261.0,40.845196,1002777,10.0
Zion Day Care,-73.990593,236.0,40.633057,986861,44.0
P.S. 33 Chelsea Prep,-73.999531,97.0,40.748977,984348,3.0
P.S. 63 Author's Academy,-73.902705,149.0,40.830995,1011175,16.0
Milestones UWS,-73.983953,163.0,40.78132,988694,6.0
P.S. 34 Oliver H. Perry,-73.949649,573.0,40.726135,998206,33.0
The Cheder,-73.975748,46201.0,40.627087,990982,44.0
Cassidy's Place,-73.948506,14402.0,40.776523,998516,5.0
Holy Family School,-73.851484,78.0,40.828912,1025351,18.0
P.S. 310 Marble Hill,-73.905244,269.0,40.872895,1010456,14.0
Mid Bronx CCRP ECC 4,-73.929869,189.0,40.833776,1003657,8.0
"Tabernacle Church of God Day Care Center, Inc.",-73.953678,241.0,40.690353,997096,36.0
P.S. 15 Patrick F. Daly,-74.011558,53.0,40.677343,981044,38.0
"Yeshivat Beth Hillel of Krasna, Inc.",-73.982151,478.0,40.63425,989204,44.0
Community Life Center 2,-73.945475,200.0,40.80483,999345,9.0
P.S. 142 Amalia Castro,-73.984452,1402.0,40.718383,988560,1.0
"Little Einsteins of Canarsie, LLC",-73.906386,996.0,40.634314,1010233,46.0
P.S. 329 Surfside,-73.996292,342.0,40.574607,985280,47.0
WHEDco Early Childhood Discovery Center,-73.919292,197.0,40.836725,1006583,16.0
Bnos Square of Williamsburg,-73.955303,241.0,40.693044,996621,33.0
Friends of Crown Heights 9,-73.95161,31701.0,40.672613,997673,36.0
Washington Heights Academy,-73.92114,293.0,40.865384,1006073,10.0
Bedford Stuyvesant Early Childhood Development Center,-73.932441,295.0,40.684933,1002987,36.0
P.S. 360,-73.902573,273.0,40.874411,1011194,14.0
Henry Street Settlement Day Care,-73.982797,202.0,40.714054,989019,1.0
Bay Ridge Child Care Center,-74.010487,80.0,40.650667,981340,38.0
Urban Concepts/Round the Clock,,,,996309,
St. Lucy Early Childhood Academy,-73.861719,328.0,40.861282,1022500,13.0
HELP III,-73.891433,367.0,40.840627,1014290,17.0
Seabury Child Care Center,-73.86141,16.0,40.816875,1022611,18.0
The New American Academy at Roberto Clemente State Park,-73.921467,53.0,40.852536,1005976,16.0
Beth Jacob Day Care Center,-73.989058,232.0,40.635922,987287,44.0
P.S. 219 Kennedy-King,-73.922919,886.0,40.659288,1005636,41.0
Promesa Multi-Cultural DCC II,-73.904558,231.0,40.84663,1010656,15.0
P.S. 138 Samuel Randall,-73.853366,74.0,40.822665,1024834,18.0
St. Athanasius School,-73.979239,246.0,40.615966,990014,47.0
Goddard Riverside Day Care 1,-73.970644,177.0,40.789999,992379,6.0
Round the Clock Nursery,-73.895583,38302.0,40.858312,1013166,15.0
Holy Rosary Early Childhood at St. Mary Star of the Sea,-73.789563,516.0,40.854213,1042465,13.0
The Little Brooklyn Pre-K Center at 173-177 25th Street,-73.998973,101.0,40.661059,984535,38.0
P.S. 216 Arturo Toscanini,-73.969964,37401.0,40.590564,992592,47.0
Community Life Center 1,-73.936567,194.0,40.801499,1001812,8.0
District 20 Pre-K Center at 369 93rd Street,-74.031381,58.0,40.618041,975538,43.0
Yeled V'Yalda 1257,-73.986693,226.0,40.641793,987943,39.0
"Community Parents, Inc.",-73.927007,882.0,40.662494,1004501,41.0
Grant Day Care Center,-73.957318,20901.0,40.811919,996065,7.0
Bushwick United Development Fund,-73.958096,523.0,40.711824,995867,34.0
P.S. 270 Johann DeKalb,-73.961478,193.0,40.690202,994933,35.0
Be Above 52,-73.912268,217.0,40.849425,1008522,14.0
Hamilton Madison House EarlyLearn Center 2,-73.99684,25.0,40.711566,985126,1.0
Holy Rosary School,-73.842626,360.0,40.867571,1027777,13.0
P.S. 108 Assemblyman Angelo Del Toro Educational Complex,-73.948368,17401.0,40.795146,998546,8.0
Education Alliance - East Broadway,-73.988302,6.0,40.714211,987493,1.0
P.S. 185 The Early Childhood Discovery and Design Magnet School,-73.949251,186.0,40.798511,998301,9.0
South Bronx III,-73.906331,14702.0,40.837926,1010169,16.0
YM & YWHA of Washington Heights and Inwood,-73.929129,285.0,40.859993,1003854,10.0
P.S. 214 Michael Friedsam,-73.863151,1202.0,40.676513,1022209,37.0
Creative Steps Early Childhood Center,-73.997023,5501.0,40.727126,985075,1.0
Harlem Children's Zone Head Start,-73.948172,190.0,40.802263,998599,9.0
Friends of Crown Heights 16,-73.874884,1118.0,40.669503,1018958,42.0
Imagine Brooklyn Heights,-73.992831,502.0,40.695717,986238,33.0
UFBCO,-73.94007,239.0,40.833655,1000834,7.0
Urban Strategies 1,-73.878197,1194.0,40.671892,1018038,42.0
P.S. 23 The New Children's School,-73.894742,395.0,40.85294,1013369,15.0
Sound Dale Center for ECE,-73.870728,68.0,40.829767,1020025,18.0
NYL - William O'Connor,-74.030699,162.0,40.615448,975727,43.0
P.S. 154 Jonathan D. Hyatt,-73.926204,23.0,40.808034,1004679,8.0
P.S. 171 Patrick Henry,-73.951961,168.0,40.792122,997552,8.0
Be Above 37,-73.939237,333.0,40.665652,1001107,35.0
P.S. 380 John Wayne Elementary,-73.952985,531.0,40.702427,997286,33.0
P.S. 20 Anna Silver,-73.986648,3001.0,40.72154,987951,1.0
P.S. 152 Dyckman Valley,-73.927936,283.0,40.860412,1004184,10.0
BMCC Early Childhood Center,-74.012117,39.0,40.716838,980891,1.0
P.S. 304 Early Childhood School,-73.829753,152.0,40.827471,1031366,13.0
A House on Beekman Preschool,-73.910547,35.0,40.809153,1009013,8.0
P.S. 132 The Conselyea School,-73.946108,497.0,40.71466,999190,34.0
Yeshiva Karlin Stolin,-73.984056,470.0,40.624695,988676,44.0
Candy Kid's Day Care Center,-73.947424,824.0,40.650903,998839,40.0
CCLC at 4 NY Plaza,-74.011325,9.0,40.702373,981110,1.0
P.S. 106 Parkchester,-73.855175,222.0,40.836374,1024325,18.0
P.S. 230 Doris L. Cohen,-73.980761,498.0,40.645017,989589,39.0
East Harlem Block Nursery 2,-73.937064,210.0,40.810664,1001672,9.0
"Kiderific Nursery School, Inc.",-73.833769,26602.0,40.844085,1030243,13.0
Cornerstone Academy for Social Action,-73.830366,46202.0,40.883025,1031157,12.0
P.S. 96 Joseph Lanzetta,-73.937558,194.0,40.800256,1001538,8.0
Earth School,-73.981521,2601.0,40.724435,989372,2.0
Riverdale Montessori School,-73.900386,345.0,40.905523,1011786,11.0
P.S. 48 Mapleton,-73.987396,244.0,40.621871,987749,44.0
P.S. 3 Charrette School,-74.006466,73.0,40.732593,982458,3.0
Children's Aid Society Drew Hamilton ECC,,,,1000111,
P.S. 288 The Shirley Tanyhill,-73.99194,342.0,40.574411,986489,47.0
Yeshiva Jesode Hatorah,-73.96112,535.0,40.704135,995030,33.0
P.S. 295,-73.988297,147.0,40.660976,987497,38.0
Queen of the Rosary Catholic Academy,-73.937387,481.0,40.713264,1001608,34.0
The River School,-73.972591,8601.0,40.74428,991845,4.0
Central Park East I,-73.949381,17401.0,40.793763,998266,8.0
Kindstart Preschool,-74.000443,182.0,40.614044,984127,43.0
Bambi Day Care,-73.959725,556.0,40.601446,995434,48.0
