dbn,programname,geodistrict,programtype,accessibility,earlylearnseats,bbl,nonsiblingoffers,duallanguageprograms
03MAVQ,Goddard Riverside at Lincoln Square Neighborhood Center,3,NYCEEC,No Information Available,All,1011560020.0,,
02M397,Spruce Street School,2,District School,Fully Accessible,,1001007502.0,,
18K066,P.S. 66,18,District School,Fully Accessible,,3081290060.0,Some,
04MAWG,East Harlem CHS Bilingual Head Start Program,4,NYCEEC,No Information Available,All,1017090016.0,,Y
19KAXU,University Settlement Children's Corner,19,NYCEEC,No Information Available,All,3038030046.0,,
02MAUM,Chung Pak Day Care Center,2,NYCEEC,No Information Available,All,1001980126.0,,
15K172,P.S. 172 Beacon School of Excellence,15,District School,No Accessibility,,3006690001.0,Some,
10X344,Ampark Neighborhood,10,District School,No Accessibility,,2032520182.0,Some,
20KCNN,"Little Brilliant Minds, Inc.",20,NYCEEC,No Information Available,,3055130044.0,,
11XAFA,UCP/NYC'S Bronx Children's Program,11,NYCEEC,No Information Available,,2044110300.0,,
10XAOU,Marble Hill Nursery School,10,NYCEEC,No Information Available,,1022150116.0,,
06MASH,Friends of Crown Heights DCC #28,6,NYCEEC,No Information Available,All,1022160001.0,,
16K627,Brighter Choice Community School,16,District School,No Accessibility,,3017730014.0,Some,Y
05M030,P.S. 30 Hernandez/Hughes,5,District School,Partially Accessible,,1017760020.0,All,
12X061,P.S. 61 Francisco Oller,12,District School,No Accessibility,,2029390045.0,All,
20KCDI,Beth Jacob of Borough Park,20,NYCEEC,No Information Available,,3056170043.0,,
20KCIE,Bnos Chaya,20,NYCEEC,No Information Available,,3056180004.0,,
17KBJS,Friends of Crown Heights 10,17,NYCEEC,No Information Available,Some,3012530007.0,,
15KBYN,Bumble Bees R Us 2,15,NYCEEC,No Information Available,All,3005800016.0,,
20KBMM,Brooklyn Chinese American Association,20,NYCEEC,No Information Available,All,3056720011.0,,
05M197,P.S. 197 John B. Russwurm,5,District School,No Accessibility,,1017330017.0,All,
04M038,P.S. 38 Roberto Clemente,4,District School,No Accessibility,,1016520016.0,All,
03MAQH,Goddard Riverside Preschool at W 83rd 2,3,NYCEEC,No Information Available,All,1012130042.0,,
10X054,P.S./I.S. 54,10,District School,Fully Accessible,,2032780014.0,Some,
05MAXF,Addie Mae Collins 1,5,NYCEEC,No Information Available,All,1017770005.0,,
09XARC,Fulton (Center #4),9,NYCEEC,No Information Available,All,2029300075.0,,
09XAZC,Jesus Loves the Little Angels 2,9,NYCEEC,No Information Available,,2027870038.0,,
20KBPS,Mother Love,20,NYCEEC,No Information Available,,3054480058.0,,
20KBJO,"Yeled V'Yalda ECC, Inc.",20,Half Day Programs,No Information Available,,,,
04M057,James Weldon Johnson,4,District School,No Accessibility,,1016400139.0,Some,Y
20KAAE,Adelphi Academy of Brooklyn,20,NYCEEC,No Information Available,,3060330001.0,,
08X583,P.S. 583,8,District School,Fully Accessible,,2037330005.0,Some,
11XAQK,Saints Philip & James School,11,NYCEEC,No Information Available,,2047070001.0,,
02M011,P.S. 11 William T. Harris,2,District School,No Accessibility,,1007440024.0,,
04M146,P.S. 146 Ann M. Short,4,District School,Fully Accessible,,1017000001.0,All,
04MAVX,Franklin Plaza,4,NYCEEC,No Information Available,All,1016560001.0,,
13KBLI,Young Minds Day Care Center,13,NYCEEC,No Information Available,,3020140026.0,,
10X003,P.S. 3 Raul Julia Micro Society,10,District School,Fully Accessible,,2030620043.0,Some,
11X112,P.S. 112 Bronxwood,11,District School,No Accessibility,,2049050500.0,All,
09XASB,New Covenant Christian School,9,NYCEEC,No Information Available,,2026140043.0,,
19K108,P.S. 108 Sal Abbracciamento,19,District School,No Accessibility,,3039260045.0,All,Y
10XAPK,Salvation Army - Tremont,10,NYCEEC,No Information Available,All,2030370015.0,,
09X055,P.S. 55 Benjamin Franklin,9,District School,No Accessibility,,2029020001.0,All,
16K005,P.S. 5 Dr. Ronald Mcnair,16,District School,No Accessibility,,3014900001.0,All,Y
02M158,P.S. 158 Bayard Taylor,2,District School,Partially Accessible,,1014890001.0,Some,
14KBLT,Tompkins Children's Center,14,NYCEEC,No Information Available,All,3017400001.0,,
05MAGT,Saint Charles Borromeo,5,NYCEEC,No Information Available,,1020270041.0,,
10X226,P.S. 226,10,District School,Partially Accessible,,2032220100.0,Some,Y
11XAPY,Susan Wagner Day Care,11,NYCEEC,No Information Available,Some,2049050001.0,,
12X196,P.S. 196,12,District School,No Accessibility,,2037750025.0,,
13Z090,District 13 Pre-K Center at 25 Dock Street,13,Pre-K Center,No Information Available,,3000367504.0,,
10XAOR,Kingsbridge Montessori School,10,NYCEEC,No Information Available,,2031900001.0,,
19K273,P.S. 273 Wortman,19,District School,No Accessibility,,3044010001.0,All,
20Z013,District 20 Pre-K Center at 1668 46th Street,20,Pre-K Center,No Information Available,,3054370038.0,,
20K204,P.S. 204 Vince Lombardi,20,District School,Partially Accessible,,3062940001.0,,
17K161,P.S. 161 The Crown,17,District School,No Accessibility,,3012970026.0,All,
09XANZ,Walton (Center #5),9,NYCEEC,No Information Available,All,2028510021.0,,
09X126,P.S. 126 Dr Marjorie H Dunbar,9,District School,No Accessibility,,2025260083.0,All,
12X691,Bronx Little School,12,District School,Partially Accessible,,2039210030.0,Some,
07X049,P.S. 49 Willis Avenue,7,District School,No Accessibility,,2023020040.0,Some,Y
17KBNV,Friends of Crown Heights #16,17,NYCEEC,No Information Available,All,3012350058.0,,
15Z108,The Little Brooklyn Pre-K Center at 219 25th Street,15,Pre-K Center,No Information Available,,3006520070.0,,
19K328,P.S. 328 Phyllis Wheatley,19,District School,No Accessibility,,3037680001.0,All,
17K249,P.S. 249 The Caton,17,District School,Partially Accessible,,3050750001.0,Some,
18KBXV,Yeled V'Yalda 6012,18,Half Day Programs,No Information Available,,3079820040.0,,
15KBEP,Brooklyn Chinese American Association Day Care,15,NYCEEC,No Information Available,All,3009247501.0,,
16K335,P.S. 335 Granville T. Woods,16,District School,No Accessibility,,3013550023.0,All,
13KBLK,Bedford Stuyvesant ECDC 5Q,13,Half Day Programs,No Information Available,,3019690030.0,,
02MBMN,NY Preschool 94th Street,2,NYCEEC,No Information Available,,1015570025.0,,
18KCNU,Learning Zone,18,NYCEEC,No Information Available,,3082430018.0,,
08X069,P.S. 69 Journey Prep School,8,District School,No Accessibility,,2035240020.0,Some,
02M183,P.S. 183 Robert L. Stevenson,2,District School,No Accessibility,,1014610007.0,,
09Z066,Garden of Learning and Discovery Pre-K Center at 1434 Ogden Avenue,9,Pre-K Center,No Information Available,,2025220070.0,,
02MANG,Imagine Early Learning Center at Vets Kids,2,NYCEEC,No Information Available,,1009550005.0,,
20KAOA,Yeshiva HeadStart 40th Street,20,Half Day Programs,No Information Available,,3053450006.0,,
10XAPB,Riverdale Presbytarian Church and Nursery School,10,NYCEEC,No Information Available,,2059120013.0,,
17KCPM,"High Definition Day Care, Inc.",17,NYCEEC,No Information Available,,3048377501.0,,
09XASE,Fort George Universal Pre-K,9,NYCEEC,No Information Available,,2029110030.0,,
11XAYD,Laconia Day Care Center and Infant Care,11,NYCEEC,No Information Available,,2049030042.0,,
13KBNK,Bedford Stuyvesant ECDC 262,13,Half Day Programs,No Information Available,,3018020051.0,,
09XAOF,Tremont Monterey Day Care Center II,9,NYCEEC,No Information Available,All,2029190005.0,,
01M063,P.S. 63 The STAR Academy,1,District School,No Accessibility,,1004310014.0,All,
10XAEN,St. Simon Stock,10,NYCEEC,No Information Available,,2031490140.0,,
17KCIO,Honeydew Drop Playhouse,17,NYCEEC,No Information Available,,3050720035.0,,
17K181,P.S. 181 Brooklyn,17,District School,Partially Accessible,,3049040010.0,Some,
06MADL,Good Shepherd School,6,NYCEEC,No Information Available,,1022420019.0,,
18K114,P.S. 114 Ryder Elementary,18,District School,Partially Accessible,,3081600022.0,Some,
12XAEP,St. Thomas Aquinas School,12,NYCEEC,No Information Available,,2029850017.0,,
14KBLY,Graham Child Care Center,14,NYCEEC,No Information Available,Some,3030260001.0,,
19KBPD,Sylvia Klein Child Care Center,19,NYCEEC,No Information Available,Some,3042920061.0,,
08XARM,Trabajamos Community Head Start,8,NYCEEC,No Information Available,All,2027010001.0,,
11Z038,District 11 Pre-K Center at 1684 White Plains Road,11,Pre-K Center,No Information Available,,2040370001.0,,
02M198,P.S. 198 Isador E. Ida Straus,2,District School,No Accessibility,,1015240023.0,Some,
20KCTG,Worldtots,20,NYCEEC,No Information Available,,3057700005.0,,
02MAUY,Hamilton Madison House EarlyLearn Center 6,2,NYCEEC,No Information Available,All,1000910013.0,,
07X065,P.S. 65 Mother Hale Academy,7,District School,Fully Accessible,,2025710001.0,All,
15K024,P.S. 24,15,District School,Fully Accessible,,3007010001.0,,Y
19KBLB,Friends of Crown Heights 18,19,NYCEEC,No Information Available,All,3039760070.0,,
11XAPV,Rainbow Rhymes Learning Center,11,NYCEEC,No Information Available,,2049770051.0,,
21K238,P.S. 238 Anne Sullivan,21,District School,Partially Accessible,,3066400013.0,All,Y
07XAMW,East Side House,7,NYCEEC,No Information Available,All,2022980040.0,,
15KCRY,5015 Worldtots,15,NYCEEC,No Information Available,,3007937501.0,,
10X086,P.S. 86 Kingsbridge Heights,10,District School,Partially Accessible,,2032470070.0,Some,
12X044,P.S. 44 David C. Farragut,12,District School,No Accessibility,,2029490064.0,All,
09XANU,HELP II,9,NYCEEC,No Information Available,All,2027870001.0,,
10XADV,Saint John School,10,NYCEEC,No Information Available,,2057080088.0,,
02M041,P.S. 41 Greenwich Village,2,District School,No Accessibility,,1006060049.0,,
09X163,P.S. 163 Arthur A. Schomburg,9,District School,No Accessibility,,2031420048.0,Some,
09XAQZ,Mid Bronx CCRP ECC 1,9,NYCEEC,No Information Available,All,2024720034.0,,
13KCHM,"Alonzo A. Daughtry Memorial Day Care Center, Inc.",13,NYCEEC,No Information Available,Some,3004010001.0,,
01MAUC,Grand St Settlement,1,NYCEEC,No Information Available,All,1003230001.0,,
08XADL,St. Francis de Chantal School,8,NYCEEC,No Information Available,,2054520001.0,,
16KAXC,Bishop Sexton,16,NYCEEC,No Information Available,All,3017040025.0,,
09X449,Grant Avenue Elementary School,9,District School,No Accessibility,,2024460043.0,Some,
06MBGU,Sugar Hill Museum Preschool,6,NYCEEC,No Information Available,,1020697501.0,,
11XAZB,Santa Maria Early Childhood Academy,11,NYCEEC,No Information Available,,2039910075.0,,
05MBFX,Urban Concepts/Round the Clock,5,NYCEEC,No Information Available,,1020447501.0,,
12X006,P.S. 6 West Farms,12,District School,No Accessibility,,2030050010.0,All,
10Z091,Rose Hill Pre-K Center at 3605 Sedgwick Avenue,10,Pre-K Center,No Information Available,,2032580190.0,,
84K702,Community Partnership Charter School Pre-Kindergarten,13,Charter School,No Accessibility,,3019330102.0,,
09XAWX,Fabiana Day Care Academy Universal Pre-K,9,NYCEEC,No Information Available,,2024220035.0,,
19K213,P.S. 213 New Lots,19,District School,No Accessibility,,3043240001.0,All,
04M072,The Lexington Academy,4,District School,No Accessibility,,1016320011.0,All,
10X059,P.S. 59 The Community School of Technology,10,District School,No Accessibility,,2030490037.0,All,
05MAXC,ECDO Child Start Center,5,NYCEEC,No Information Available,All,1020300010.0,,
19KBJR,Friends of Crown Heights 19,19,NYCEEC,No Information Available,Some,3042980007.0,,
20Z067,District 20 Pre-K Center at 1355 84th Street,20,Pre-K Center,No Information Available,,3063090048.0,,
20KBZG,Ring Around The Rosie,20,NYCEEC,No Information Available,,3061770040.0,,
05M194,P.S. 194 Countee Cullen,5,District School,No Accessibility,,1020290011.0,All,
17KAAS,Associated Beth Rivkah School - UPK,17,Half Day Programs,No Information Available,,3013310019.0,,
03M163,P.S. 163 Alfred E. Smith,3,District School,No Accessibility,,1018520099.0,Some,Y
19KBGS,Urban Strategies 5 - Georgia L. McMurray ECDC,19,NYCEEC,No Information Available,All,3042710005.0,,
20KBPO,"Brooklyn Child Care, Inc.",20,NYCEEC,No Information Available,,3061530001.0,,
06M192,P.S. 192 Jacob H. Schiff,6,District School,Partially Accessible,,1019880166.0,All,Y
11XAPQ,Bronx House 2,11,NYCEEC,No Information Available,,2043490001.0,,
16KBZU,Bedford Stuyvesant ECDC 510,16,NYCEEC,No Information Available,Some,3018110019.0,,
18KCGP,Birch Family Services,18,NYCEEC,No Information Available,All,3079150010.0,,
06M008,P.S. 8 Luis Belliard,6,District School,Fully Accessible,,1021120001.0,All,
18KAVQ,Hebrew Educational Society,18,NYCEEC,No Information Available,Some,3083180008.0,,
14KBKH,Bushwick United HDFC 9,14,NYCEEC,No Information Available,All,3022760037.0,,
05M046,P.S. 46 Arthur Tappan,5,District School,No Accessibility,,1021060050.0,All,
11XADQ,St. Helena School,11,NYCEEC,No Information Available,,2039320075.0,,
02MBMK,Vanderbilt Ymca,2,NYCEEC,No Information Available,,1013200034.0,,
11X105,P.S. 105 Sen Abraham Bernstein,11,District School,No Accessibility,,2042880001.0,Some,
06M348,Washington Heights Expeditionary Learning School,6,District School,Partially Accessible,,1021550035.0,Some,Y
01M140,P.S. 140 Nathan Straus,1,District School,No Accessibility,,1003440001.0,Some,
13K133,P.S. 133 William A. Butler,13,District School,Fully Accessible,,3009400111.0,Some,Y
15KANO,Yeshivas Boyan Tifereth Mordechai Shlomo,15,NYCEEC,No Information Available,,3056040001.0,,
15KCMK,"Brooklyn Treehouse Preeschool, Inc.",15,NYCEEC,No Information Available,,3006377501.0,,
14K084,P.S. 84 Jose De Diego,14,District School,No Accessibility,,3023910001.0,Some,
02MBBE,Lexington Children's Center,2,NYCEEC,No Information Available,All,1016260001.0,,
19KABU,Be-er Hagolah Institutes,19,NYCEEC,No Information Available,,3044520080.0,,
01M184,P.S. 184 Shuang Wen,1,District School,Partially Accessible,,1002450007.0,Some,
01M363,Neighborhood School,1,District School,No Accessibility,,1004310014.0,Some,
10Z092,Rose Hill Pre-K Center at 3560 Webster Avenue,10,Pre-K Center,No Information Available,,2033607501.0,,
10Z098,Rose Hill Pre-K Center at 5500 Broadway,10,Pre-K Center,No Information Available,,2032640109.0,,
12X531,Archer Elementary School,12,District School,Partially Accessible,,2039210030.0,,
03MBGT,Finger Painted Hands,3,NYCEEC,No Information Available,,1012130042.0,,
10XAYE,Little Scholars Early Development Center,10,NYCEEC,No Information Available,,2028610114.0,,
20KCNP,Little Sunshine Preschool,20,NYCEEC,No Information Available,,3063320071.0,,
08X072,P.S. 72 Dr. William Dorney,8,District School,Partially Accessible,,2054400001.0,All,
10XAYB,Lil Inventors - University Avenue,10,NYCEEC,No Information Available,,2032140001.0,,
17K316,P.S. 316 Elijah Stroud,17,District School,No Accessibility,,3011670018.0,Some,
14KBME,Nuestros Ninos DCC II,14,NYCEEC,No Information Available,All,3024080032.0,,
13K056,P.S. 56 Lewis H. Latimer,13,District School,Partially Accessible,,3019830010.0,Some,
