source_relation,date_day,organization_id,organization_name,currency,taps,new_downloads,tap_new_downloads,redownloads,tap_redownloads,total_downloads,tap_total_downloads,conversions,tap_installs,impressions,spend
"",2022-11-01,3219110,Tip Tap Cat,USD,49,10,10,0,0,10,10,10,10,673,80.92
"",2023-02-06,3219111,Gaming Studio,EUR,205,27,27,0,0,27,27,27,27,1954,75.06
"",2024-12-10,3219110,Tip Tap Cat,USD,342,121,121,0,0,121,121,121,121,1873,30.74
"",2023-02-10,3219110,Tip Tap Cat,USD,11,6,6,0,0,6,6,6,6,736,76.39
"",2022-03-11,3219111,Gaming Studio,EUR,13,4,4,0,0,4,4,4,4,196,80.63
"",2022-06-24,3219110,Tip Tap Cat,USD,47,28,28,0,0,28,28,28,28,259,61.5
"",2025-02-03,3219112,App Developer Pro,EUR,199,102,102,0,0,102,102,102,102,997,15.3
"",2024-05-25,3219111,Gaming Studio,EUR,54,19,19,0,0,19,19,19,19,718,14.33
"",2022-10-19,3219110,Tip Tap Cat,USD,83,21,21,0,0,21,21,21,21,1335,91.05
"",2021-12-09,3219110,Tip Tap Cat,USD,191,27,27,0,0,27,27,27,27,2976,59.64
"",2024-11-22,3219110,Tip Tap Cat,USD,99,39,39,0,0,39,39,39,39,1962,89.33
"",2024-08-17,3219112,App Developer Pro,EUR,41,17,17,0,0,17,17,17,17,225,79.97
"",2023-09-03,3162550,Joseph Markiewicz,USD,23,11,11,0,0,11,11,11,11,1727,55.55
"",2021-12-19,3219110,Tip Tap Cat,USD,9,4,4,0,0,4,4,4,4,426,5.95
"",2025-05-27,3219110,Tip Tap Cat,USD,147,58,58,0,0,58,58,58,58,792,33.59
"",2025-10-08,3219110,Tip Tap Cat,USD,121,17,17,0,0,17,17,17,17,1890,42.93
"",2022-11-02,3219110,Tip Tap Cat,USD,11,1,1,0,0,1,1,1,1,204,47.55
"",2023-05-15,3219110,Tip Tap Cat,USD,127,64,64,0,0,64,64,64,64,1728,92.88
"",2025-08-05,3219110,Tip Tap Cat,USD,113,42,42,0,0,42,42,42,42,768,77.41
"",2025-03-30,3162550,Joseph Markiewicz,USD,169,32,32,0,0,32,32,32,32,1207,76.63
"",2023-07-04,3219110,Tip Tap Cat,USD,26,11,11,0,0,11,11,11,11,244,7.86
"",2025-07-26,3219110,Tip Tap Cat,USD,82,48,48,0,0,48,48,48,48,443,36.81
"",2024-12-05,3219110,Tip Tap Cat,USD,286,142,142,0,0,142,142,142,142,1652,87.56
"",2022-09-09,3219110,Tip Tap Cat,USD,134,21,21,0,0,21,21,21,21,818,49.01
"",2022-05-16,3219112,App Developer Pro,EUR,48,13,13,0,0,13,13,13,13,254,98.28
"",2021-12-14,3219110,Tip Tap Cat,USD,11,4,4,0,0,4,4,4,4,350,5.03
"",2025-05-05,3219111,Gaming Studio,EUR,90,49,49,0,0,49,49,49,49,1580,32.61
"",2024-11-05,3219111,Gaming Studio,EUR,51,24,24,0,0,24,24,24,24,313,20.83
"",2021-12-16,3219110,Tip Tap Cat,USD,5,1,1,0,0,1,1,1,1,318,5.07
"",2021-12-15,3219110,Tip Tap Cat,USD,10,3,3,0,0,3,3,3,3,546,6.05
"",2023-07-01,3219110,Tip Tap Cat,USD,47,7,7,0,0,7,7,7,7,559,45.24
"",2023-06-10,3219111,Gaming Studio,EUR,125,29,29,0,0,29,29,29,29,1456,91.85
"",2025-11-25,3219110,Tip Tap Cat,USD,129,20,20,0,0,20,20,20,20,716,25.11
"",2022-06-01,3219111,Gaming Studio,EUR,115,66,66,0,0,66,66,66,66,916,91.57
"",2022-02-16,3219110,Tip Tap Cat,USD,130,35,35,0,0,35,35,35,35,741,50.85
"",2025-06-02,3219110,Tip Tap Cat,USD,121,23,23,0,0,23,23,23,23,617,71.65
"",2021-12-13,3219110,Tip Tap Cat,USD,7,1,1,0,0,1,1,1,1,492,5.26
"",2022-04-15,3162550,Joseph Markiewicz,USD,14,2,2,0,0,2,2,2,2,110,60.56
"",2023-06-11,3162550,Joseph Markiewicz,USD,82,3,3,0,0,3,3,3,3,501,21.4
"",2023-09-06,3219112,App Developer Pro,EUR,25,3,3,0,0,3,3,3,3,1648,18.6
"",2023-02-19,3219111,Gaming Studio,EUR,90,38,38,0,0,38,38,38,38,483,35.35
"",2023-07-11,3219112,App Developer Pro,EUR,78,44,44,0,0,44,44,44,44,1182,60.64
"",2025-01-05,3162550,Joseph Markiewicz,USD,56,12,12,0,0,12,12,12,12,780,73.21
"",2021-12-11,3219110,Tip Tap Cat,USD,5,1,1,0,0,1,1,1,1,290,5.71
"",2023-01-27,3219111,Gaming Studio,EUR,88,42,42,0,0,42,42,42,42,1282,37.86
"",2023-02-08,3219110,Tip Tap Cat,USD,14,4,4,0,0,4,4,4,4,176,49.25
"",2024-11-04,3219111,Gaming Studio,EUR,215,101,101,0,0,101,101,101,101,1684,75.6
"",2025-06-26,3162550,Joseph Markiewicz,USD,141,46,46,0,0,46,46,46,46,1308,31.33
"",2022-01-14,3162550,Joseph Markiewicz,USD,52,10,10,0,0,10,10,10,10,320,67.15
"",2022-09-07,3219110,Tip Tap Cat,USD,216,82,82,0,0,82,82,82,82,1969,63.4
