property_id,property_name,address_1,hospital_general_medical_1,leed_us_project_id,multifamily_housing_number_5,egrid_output_emissions_rate,personal_services_health,indoor_water_intensity_all,bar_nightclub_gross_floor,alert_meter_has_less_than,hospital_general_medical_10,hospital_general_medical_7,vocational_school_gross_floor,national_median_site_energy,hospital_general_medical_2,residence_hall_dormitory,source_eui_kbtu_ft,bank_branch_gross_floor_area,restaurant_worker_density,national_median_energy_star,enclosed_mall_gross_floor,convenience_store_without,multifamily_housing_number,green_power_onsite_kwh,county,indirect_ghg_emissions_metric,self_storage_facility_gross,data_center_cooling_equipment,estimated_values_water,convenience_store_with_gas,green_power_offsite_kwh,difference_from_national_1,manufacturing_industrial,parking_open_parking_lot,financial_office_number_of,other_gross_floor_area_ft,medical_office_percent_that_1,data_center_it_site_energy,district_steam_use_kbtu,percent_of_recs_retained,other_weekly_operating_hours,direct_ghg_emissions_metric,office_computer_density_number,weather_normalized_site_energy,senior_care_community_gross,hotel_gross_floor_area_ft,latitude,primary_property_type_self,hospital_general_medical,fuel_oil_2_use_kbtu,national_median_reference,multifamily_housing_gross,estimated_values_energy,office_weekly_operating_hours,veterinary_office_gross_floor,release_date,medical_office_percent_that,weather_normalized_source,hospital_general_medical_4,estimated_data_flag_fuel,indoor_water_use_all_water,refrigerated_warehouse_gross,national_median_site_eui,kerosene_use_kbtu
2652616,157 East 57th (540),157 EAST 57 STREET,Not Available,Not Available,0.73131,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,6728956.6,Not Available,Not Available,95,Not Available,Not Available,50,Not Available,Not Available,214.41,Not Available,Not Available,392.1,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,-25.8,Not Available,0,Not Available,Not Available,Not Available,Not Available,7143.4,Not Available,Not Available,14.2,Not Available,Not Available,Not Available,Not Available,40.760693,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,153150,No,Not Available,Not Available,2016-03-17T12:11:10.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.3,Not Available
4721449,80 Clarkson Avenue,80 Clarkson Avenue,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,11310698.8,Not Available,Not Available,108.9,Not Available,Not Available,50,Not Available,Not Available,280,Not Available,Not Available,102.4,Not Available,Not Available,No,Not Available,0,-32.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,369.2,Not Available,7230095.2,Not Available,Not Available,40.654974,Multifamily Housing,Not Available,1308792,Fannie Mae Industry Survey - Multifamily,97137,No,Not Available,Not Available,2016-03-28T12:47:57.000,Not Available,103.3,Not Available,No,Not Available,Not Available,116.4,Not Available
4442657,Third Hsg Bldg #7,65-52 / 65-46 160th Street,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,10383761.8,Not Available,Not Available,83,Not Available,Not Available,50,Not Available,Not Available,142,Not Available,Not Available,0,Not Available,Not Available,No,Not Available,Not Available,-44.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,426.7,Not Available,5605190.9,Not Available,Not Available,,Multifamily Housing,Not Available,5749632,Fannie Mae Industry Survey - Multifamily,70000,No,Not Available,Not Available,2016-03-09T09:47:09.000,Not Available,80.9,Not Available,No,Not Available,Not Available,148.3,Not Available
2565227,FASHION ASSOCIATES,148 WEST 37TH STREET,Not Available,Not Available,Not Available,82.9,Not Available,4.74,Not Available,Ok,Not Available,Not Available,Not Available,9989731.6,Not Available,Not Available,105.7,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,231.1,Not Available,Not Available,No,Not Available,0,-51.4,Not Available,Not Available,Not Available,6216,Not Available,Not Available,Not Available,Not Available,Not Available,153.7,1.3493,4796522.4,Not Available,Not Available,40.752465,Office,Not Available,2070013.6,CBECS - Office & Bank/Financial,Not Available,No,55,Not Available,2016-03-30T17:20:37.000,Not Available,103.8,Not Available,No,Not Available,Not Available,97.4,Not Available
3120476,Sardi Building,234 West 44th Street,Not Available,Not Available,Not Available,82.9,Not Available,147.53,Not Available,Ok,Not Available,Not Available,Not Available,3746204.9,Not Available,Not Available,357.2,Not Available,5.52395,50,Not Available,Not Available,Not Available,Not Available,Not Available,518.9,Not Available,Not Available,No,Not Available,0,141.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1808335.5,Not Available,Not Available,128.5,0.856,9047476.2,Not Available,Not Available,40.757921,Office,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,No,55,Not Available,2016-03-17T17:40:18.000,Not Available,356,Not Available,Not Available,8185.8,Not Available,67.5,Not Available
2664118,Sovereign - 425 East 58th Street,425 East 58th Street,Not Available,Not Available,0.37895,82.9,Not Available,45.05,Not Available,Ok,Not Available,Not Available,Not Available,87610486.1,Not Available,Not Available,194,Not Available,Not Available,50,Not Available,Not Available,1035,Not Available,Not Available,2396.8,Not Available,Not Available,No,Not Available,0,38.2,Not Available,0,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,5044.4,Not Available,116169047.2,Not Available,Not Available,40.758684,Multifamily Housing,Not Available,7137842.8,Fannie Mae Industry Survey - Multifamily,950000,No,Not Available,Not Available,2016-02-22T09:40:24.000,100,188,Not Available,No,43470.8,Not Available,90.8,Not Available
4794437,Cypress Garden,139-66 35th Avenue,Not Available,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,12610893.4,Not Available,Not Available,258.5,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,331.5,Not Available,Not Available,No,Not Available,0,9.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,709.3,Not Available,13847966.8,87106,Not Available,40.765431,Senior Care Community,Not Available,8870129.4,CBECS - Nursing,Not Available,Yes,Not Available,Not Available,2016-03-01T11:21:40.000,Not Available,256.9,Not Available,No,Not Available,Not Available,144.8,Not Available
2710969,Clearview 2 Bldg M-01 to M-04,16-24 200th Street,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,4308016.2,Not Available,Not Available,249,Not Available,Not Available,50,Not Available,Not Available,144,Not Available,Not Available,119.6,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,28.9,Not Available,3519,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,218.3,Not Available,5505443,Not Available,Not Available,40.783582,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,35520,Yes,Not Available,Not Available,2016-03-30T13:47:53.000,Not Available,244.8,Not Available,Not Available,Not Available,Not Available,121.3,Not Available
2816688,lisa dawn apartment,200 West 113th St,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,6105003.3,Not Available,Not Available,151.4,Not Available,Not Available,50,Not Available,Not Available,77,Not Available,Not Available,66.6,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,-2.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,379.8,Not Available,5923124.5,Not Available,Not Available,40.8014,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,51000,No,Not Available,Not Available,2016-03-23T09:41:56.000,Not Available,150.3,Not Available,Not Available,Not Available,Not Available,119.7,Not Available
3273431,Manhattan Tower Condominium,203 West 90th Street,Not Available,Not Available,0.71168,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,13745005.6,Not Available,Not Available,73.6,Not Available,Not Available,50,Not Available,Not Available,126,Not Available,Not Available,0,Not Available,Not Available,No,Not Available,Not Available,-39.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,439.2,Not Available,8335901,Not Available,Not Available,40.790353,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,118031,No,Not Available,Not Available,2016-04-01T12:06:28.000,Not Available,74.2,Not Available,Not Available,Not Available,Not Available,116.5,Not Available
2978177,"84th Associates, LLC",79-18/79-02,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,11201422.4,Not Available,Not Available,63.1,Not Available,Not Available,50,Not Available,Not Available,126,Not Available,Not Available,7.1,Not Available,Not Available,No,Not Available,0,-52.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,328.1,Not Available,5325119,Not Available,Not Available,,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,90000,No,Not Available,Not Available,2016-03-02T11:58:42.000,Not Available,63.1,Not Available,Not Available,Not Available,Not Available,124.5,Not Available
4843831,Saint Joseph Realty LLC,2306 Ocean Ave,Not Available,Not Available,0,82.9,Not Available,71.67,Not Available,Ok,Not Available,Not Available,Not Available,7663698.2,Not Available,Not Available,103.1,Not Available,Not Available,50,Not Available,Not Available,118.12,Not Available,Not Available,67.8,Not Available,Not Available,No,Not Available,0,-13.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,310.5,Not Available,6878210,Not Available,Not Available,40.605363,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,84375,No,Not Available,Not Available,2016-03-15T16:23:18.000,Not Available,105.4,Not Available,Not Available,6047.1,Not Available,90.8,Not Available
2545989,315 WEST 39TH STREET,315 WEST 39TH STREET,Not Available,Not Available,Not Available,82.9,Not Available,15.5,Not Available,Ok,Not Available,Not Available,Not Available,19513618.9,Not Available,Not Available,134.7,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,USA,332.4,Not Available,Not Available,No,Not Available,0,-38.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,538.8,1.57251,11662268.5,Not Available,Not Available,40.755638,Office,Not Available,5494663,CBECS - Office & Bank/Financial,Not Available,No,44.77,Not Available,2016-03-28T16:49:54.000,Not Available,132.7,Not Available,No,2384,Not Available,126.9,Not Available
2921869,UPS - Manhattan South,319 Spring Street,Not Available,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,27002969.3,Not Available,Not Available,172.8,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,New York,548.3,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,12.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1266.4,39.92016,30590406.2,Not Available,Not Available,40.726,Non-Refrigerated Warehouse,Not Available,Not Available,CBECS - Unrefrigerated Warehouse & Distribution Center,Not Available,No,144,Not Available,2016-03-01T13:01:34.000,Not Available,173.3,Not Available,Not Available,Not Available,Not Available,101.9,Not Available
4442823,Second Housing Company Inc,161-29 Harry Van Arsdale Jr. Ave,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,33921104.6,Not Available,Not Available,84.9,Not Available,Not Available,50,Not Available,Not Available,1348,Not Available,Not Available,1454.8,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,-44.4,Not Available,269800,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70.5,Not Available,18095361.8,Not Available,Not Available,40.7318,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,665000,No,Not Available,Not Available,2016-03-09T09:47:09.000,Not Available,81.3,Not Available,Not Available,Not Available,Not Available,51,Not Available
3267780,101 Clinton Street,101 Clinton Street,Not Available,Not Available,0,82.9,Not Available,26.02,Not Available,Ok,Not Available,Not Available,Not Available,3426640,Not Available,Not Available,172.1,Not Available,Not Available,50,Not Available,Not Available,65,Not Available,Not Available,163.6,Not Available,Not Available,No,Not Available,0,30.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,133.1,Not Available,4513097.7,Not Available,Not Available,40.693148,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,51276,No,Not Available,Not Available,2016-03-14T10:26:09.000,Not Available,172.8,Not Available,Not Available,1334.4,Not Available,66.8,Not Available
2678646,Deepdale Gardens L4,63-10 252 Street,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,4106712.8,Not Available,Not Available,178.7,Not Available,Not Available,50,Not Available,Not Available,88,Not Available,Queens,82.7,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,33,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,237.3,Not Available,5511656.3,Not Available,Not Available,40.7559,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,43778,No,Not Available,Not Available,2016-03-23T11:38:01.000,Not Available,178.7,Not Available,No,Not Available,Not Available,93.8,Not Available
2775733,Los Tres Unidos,1680 Madison Avenue,Not Available,Not Available,0,82.9,Not Available,121.9,Not Available,Ok,Not Available,Not Available,Not Available,16819173.1,Not Available,Not Available,96.8,Not Available,Not Available,50,Not Available,Not Available,261,Not Available,New York,67.5,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,-33.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,548.4,Not Available,11218509.6,Not Available,Not Available,40.797083,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,138390,No,Not Available,Not Available,2016-03-30T11:32:49.000,Not Available,97.4,Not Available,Not Available,Not Available,Not Available,121.5,Not Available
2954753,350 West 51st Street,350 West 51st Street,Not Available,Not Available,1.26167,82.9,Not Available,54.66,Not Available,Ok,Not Available,Not Available,Not Available,10865966.3,Not Available,Not Available,159.7,Not Available,Not Available,50,Not Available,Not Available,154,Not Available,Not Available,284.6,Not Available,Not Available,No,Not Available,0,9.6,Not Available,Not Available,Not Available,Not Available,90,Not Available,Not Available,Not Available,Not Available,565.9,Not Available,Not Available,Not Available,Not Available,40.76374,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,112549,No,Not Available,Not Available,2016-03-08T14:39:19.000,80,Not Available,Not Available,No,6659.2,Not Available,89.2,Not Available
2738339,(7408) - The Cielo Condominium,450 East 83rd Street,Not Available,Not Available,0.68157,82.9,Not Available,36.8,Not Available,Ok,Not Available,Not Available,Not Available,12284833.3,Not Available,Not Available,207.3,Not Available,Not Available,50,Not Available,Not Available,175,Not Available,Not Available,691.3,Not Available,Not Available,No,Not Available,0,62.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,614.8,2,20014108.2,Not Available,Not Available,40.77444,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,180466,No,65,Not Available,2016-04-01T16:16:51.000,Not Available,206.1,Not Available,Not Available,6802,Not Available,66.5,Not Available
2942082,560 Lefferts Ave - 40243,560 Lefferts Ave,Not Available,Not Available,0,82.9,Not Available,63.89,Not Available,Ok,Not Available,Not Available,Not Available,5771180.7,Not Available,Not Available,98.7,Not Available,Not Available,50,Not Available,Not Available,83,Not Available,Not Available,58.6,Not Available,Not Available,No,Not Available,0,-25.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,190.8,Not Available,4325681.6,Not Available,Not Available,40.662873,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,60707,No,Not Available,Not Available,2016-03-17T09:47:26.000,Not Available,98.5,Not Available,Not Available,3878.6,Not Available,95.1,Not Available
