white_1,economic_need_index,female_2,male_2,grade_2,white_2,asian_2
29,88.6%,49.1,50.9,0,8.7,2.1
176,No Data,29.3,70.7,0,36.8,9.2
218,34.7%,50.6,49.4,68,40.4,20.8
57,54.9%,49.9,50.1,77,8.6,71.0
130,No Data,47.3,52.7,39,43.3,9.7
26,62.5%,21.0,79.0,0,5.5,10.8
5,91.2%,47.8,52.2,50,2.2,3.5
246,18.9%,72.3,27.7,0,65.4,13.8
0,83.3%,53.1,46.9,0,0.0,0.2
8,81.6%,46.3,53.7,38,3.1,25.5
9,84.0%,57.6,42.4,0,4.4,0.5
120,27.6%,50.5,49.5,16,43.3,15.9
20,74.5%,46.1,53.9,139,2.6,92.3
258,7.6%,49.0,51.0,55,58.2,13.8
8,No Data,59.8,40.2,0,4.3,2.7
5,86.2%,50.0,50.0,29,4.5,2.7
5,92.8%,54.9,45.1,33,2.3,5.6
4,70.3%,100.0,0.0,0,1.5,2.5
136,10.1%,44.2,55.8,50,58.9,15.2
29,No Data,55.6,44.4,0,4.2,5.4
62,52.7%,47.3,52.7,48,18.6,17.1
3,No Data,50.2,49.8,0,0.7,90.7
4,No Data,58.9,41.1,45,1.8,3.6
12,78.3%,43.3,56.7,48,4.3,8.2
5,No Data,42.8,57.2,0,0.9,69.0
24,70.7%,55.8,44.2,0,5.5,31.4
344,18.6%,59.2,40.8,0,62.1,21.5
78,48.7%,53.5,46.5,50,20.1,20.8
518,5.1%,51.3,48.7,122,68.4,9.4
209,50.6%,60.5,39.5,0,14.4,7.4
25,96.5%,45.0,55.0,0,8.1,48.2
15,55.4%,45.0,55.0,136,1.7,94.3
46,93.7%,44.8,55.2,0,13.6,17.5
181,17.8%,52.6,47.4,57,50.1,7.8
22,69.4%,33.4,66.6,0,5.0,11.2
114,No Data,55.3,44.7,0,38.9,34.8
5,71.1%,57.0,43.0,0,2.6,5.7
50,64.0%,49.9,50.1,54,7.3,69.4
