multiple_race_categories_not_represented_1,grade_3,grade_5,grade_10,grade_k,dbn,asian_1,grade_12,multiple_race_categories_not_represented_2,english_language_learners_2
5,0,0,155,0,02M529,29,154,0.7,9.6
7,44,41,0,68,01M142,8,0,2.1,7.9
0,0,0,10,0,02M586,2,28,0.0,4.9
9,0,0,89,0,02M294,21,87,2.5,4.2
25,0,0,0,66,02M340,19,0,12.0,1.4
0,0,0,102,0,02M438,131,87,0.0,90.0
11,0,0,0,0,01M839,99,0,2.9,3.7
16,0,0,94,0,03M417,22,86,3.9,1.0
0,27,33,0,33,01M034,18,0,0.0,7.4
0,37,34,0,28,04M037,1,0,0.0,4.3
21,30,27,0,28,02M150,30,0,11.3,2.7
109,0,0,693,0,03M485,530,683,4.0,0.1
2,0,0,62,0,01M650,9,99,0.9,3.4
36,0,0,0,0,02M167,375,0,2.6,4.5
16,0,0,69,0,02M560,42,238,2.4,2.3
17,44,43,0,45,01M315,29,0,5.9,1.4
14,0,0,483,0,02M420,351,331,0.8,6.3
0,0,0,80,0,03M404,19,41,0.0,3.1
28,0,0,95,0,02M422,54,0,5.0,2.3
40,94,86,0,114,02M290,68,0,6.3,2.7
10,52,0,0,68,02M527,34,0,3.4,2.4
14,29,25,0,25,03M149,8,0,4.9,9.1
42,156,145,0,146,02M011,139,0,4.5,3.4
31,144,103,0,127,02M011,111,0,3.6,3.6
2,0,0,69,0,02M313,7,92,0.8,6.2
6,33,43,0,47,01M361,27,0,2.2,6.7
5,43,42,0,35,01M064,20,0,1.8,6.4
4,0,0,141,0,02M550,46,64,1.0,89.4
0,0,0,100,0,02M438,108,98,0.0,86.4
9,28,34,0,22,03M149,5,0,3.5,10.2
32,0,0,94,0,02M260,63,0,6.5,0.6
31,72,82,0,67,02M151,35,0,6.0,3.9
27,0,0,0,0,02M167,378,0,2.0,4.6
6,0,0,116,0,02M411,246,105,1.3,0.2
4,0,0,0,0,03M250,5,0,2.1,5.3
16,100,80,0,100,03M333,50,0,2.1,1.8
44,0,0,106,0,02M260,76,0,7.3,0.3
45,56,53,0,90,02M527,43,0,11.6,4.7
6,80,65,0,61,04M083,58,0,1.3,10.7
15,92,85,0,102,03M075,9,0,2.6,13.2
27,0,0,114,0,02M298,47,109,5.6,1.7
20,0,0,172,0,02M655,30,107,3.2,8.5
19,0,0,110,0,02M411,180,116,4.1,0.4
9,0,0,0,0,02M896,170,0,2.3,8.0
32,120,110,0,125,02M158,83,0,4.2,5.1
9,0,0,103,0,02M439,26,119,2.2,3.9
50,0,0,130,0,02M439,29,98,11.3,1.1
7,0,0,66,0,02M531,3,50,3.0,1.7
3,51,50,0,60,03M076,2,0,0.6,9.2
7,72,87,0,53,04M083,54,0,1.6,10.7
2,0,0,118,0,02M288,20,89,0.5,3.0
8,0,0,458,0,02M420,373,375,0.5,4.3
11,0,0,110,0,02M392,22,89,2.6,7.6
5,0,0,105,0,03M402,7,69,1.5,14.4
23,63,64,0,53,03M180,7,0,3.9,4.7
8,47,54,0,52,02M051,87,0,2.2,9.5
158,0,0,641,0,03M485,518,668,5.8,0.0
36,0,0,0,0,02M312,305,0,6.5,1.4
6,0,0,212,0,01M515,318,145,1.1,70.2
72,0,0,417,0,02M630,100,252,5.0,0.7
5,48,43,0,39,01M064,17,0,1.7,6.6
9,0,0,166,0,02M580,38,78,1.7,4.7
9,0,0,110,0,03M307,9,87,2.2,9.5
16,0,0,127,0,02M449,36,114,3.3,7.8
6,0,0,123,0,02M393,9,91,1.3,8.5
18,38,23,0,45,01M315,22,0,6.5,0.7
4,0,0,0,0,02M177,7,0,7.1,3.6
25,126,95,0,117,02M006,82,0,3.4,2.5
24,0,0,165,0,02M298,43,102,4.5,2.4
5,25,0,0,73,02M267,25,0,1.9,4.6
34,107,82,0,96,03M084,23,0,5.2,7.2
30,0,0,127,0,03M541,117,105,6.7,0.0
43,99,88,0,90,03M333,45,0,5.7,2.3
7,0,0,106,0,02M533,51,0,2.2,10.3
25,0,0,99,0,02M282,40,79,6.5,4.7
113,118,113,149,100,01M539,579,178,6.5,0.4
10,65,64,0,65,01M142,21,0,2.6,10.4
6,68,70,0,77,04M083,50,0,1.3,8.9
60,0,0,817,0,02M475,2409,818,1.8,0.1
9,0,61,0,0,03M243,19,0,3.8,0.0
30,0,0,0,0,02M391,66,0,8.5,0.0
6,0,0,114,0,02M544,14,127,1.9,4.4
6,0,0,121,0,02M303,5,76,1.6,14.9
7,0,0,333,0,02M400,224,310,0.5,7.5
18,26,31,0,37,02M225,12,0,5.6,3.7
2,0,0,29,0,02M565,7,14,1.3,0.0
30,58,56,0,56,02M212,37,0,8.7,2.6
9,0,0,0,0,01M839,86,0,2.4,4.8
3,0,0,192,0,03M505,3,124,0.6,8.7
21,91,86,0,115,03M333,48,0,2.7,1.8
7,12,11,0,23,02M347,6,0,3.6,8.7
23,0,0,152,0,02M418,275,142,3.5,1.2
13,0,0,0,0,02M896,156,0,3.4,7.7
8,0,0,117,0,02M300,15,86,2.0,7.5
0,0,0,0,0,02M131,324,0,0.0,34.5
15,0,0,286,0,02M400,159,334,1.2,7.7
5,0,0,101,0,02M544,15,122,1.6,4.5
14,87,106,0,102,03M075,18,0,2.5,14.0
52,0,0,377,0,03M479,118,306,4.1,0.0
17,101,105,0,99,03M075,23,0,2.8,14.7
4,0,0,90,0,02M432,19,55,1.4,3.9
153,0,0,847,0,02M475,2507,833,4.5,0.0
13,0,0,119,0,02M543,29,90,3.0,6.0
11,0,0,0,0,02M177,20,0,4.7,1.7
27,89,66,0,102,03M084,20,0,4.8,8.5
37,75,120,0,87,02M116,122,0,6.3,9.6
3,56,49,0,55,03M076,0,0,0.6,8.5
36,0,0,103,0,02M439,30,82,8.7,2.7
6,0,0,202,0,02M489,186,134,0.8,8.0
5,0,0,102,0,02M296,21,97,1.2,7.8
5,145,144,0,101,02M124,812,0,0.6,32.1
6,0,0,0,0,01M378,40,0,2.3,7.6
11,0,0,107,0,02M419,10,66,2.9,6.8
29,73,79,0,76,01M184,499,0,4.4,17.4
21,44,49,0,56,01M364,24,0,6.5,4.7
68,0,0,0,0,03M054,94,0,8.0,1.1
11,0,0,105,0,02M615,45,89,2.5,1.6
47,51,0,0,70,02M397,56,0,13.0,2.5
22,30,26,0,38,02M225,18,0,7.1,2.9
18,0,0,0,0,03M245,24,0,4.4,3.2
16,0,0,117,0,02M449,20,111,3.6,3.6
12,0,0,211,0,02M425,27,129,1.7,6.7
1,0,0,0,0,02M131,355,0,0.2,32.6
7,27,8,0,31,02M347,5,0,3.3,7.0
2,0,0,100,0,01M448,92,51,0.7,19.4
10,0,0,0,0,02M255,79,0,2.6,0.0
6,0,0,52,0,01M292,32,58,2.4,11.8
10,0,0,124,0,02M534,14,0,4.3,2.6
91,149,115,0,136,03M087,65,0,10.4,2.9
13,0,0,122,0,03M299,6,67,3.4,11.1
13,0,0,160,0,02M655,38,104,2.3,9.1
51,115,133,0,109,02M116,138,0,7.0,9.1
43,113,69,0,102,02M033,158,0,6.8,5.2
27,0,0,116,0,02M376,33,108,5.9,0.4
