bin,respondent_house_number,boro,certification_status,ecb_violation_status,aggravated_level
1063561,4180,1,CERTIFICATE ACCEPTED,RESOLVE,NO
4214942,146-13,4,CERTIFICATE ACCEPTED,RESOLVE,NO
3073089,567,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
4282022,137-41,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3158018,1961,3,CURE ACCEPTED,RESOLVE,NO
4116924,,4,N/A - DISMISSED,RESOLVE,NO
5016906,29,5,NO COMPLIANCE RECORDED,ACTIVE,NO
2119684,22-60,2,CERTIFICATE ACCEPTED,RESOLVE,NO
4246909,151-31,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4467728,134-29,4,N/A - DISMISSED,RESOLVE,NO
4004862,35-06,4,CERTIFICATE ACCEPTED,RESOLVE,NO
4220531,186-09,4,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
3221483,406,3,CERTIFICATE ACCEPTED,RESOLVE,
2115273,3152,2,CERTIFICATE ACCEPTED,RESOLVE,NO
4285375,115-50,4,CERTIFICATE ACCEPTED,RESOLVE,NO
3193811,2565,3,COMPLIANCE-INSP/DOC,RESOLVE,
4099309,20-15,4,CERTIFICATE ACCEPTED,RESOLVE,
4259407,114-15,4,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
3092072,192,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
4273686,122-43,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
5125752,56,5,NO COMPLIANCE RECORDED,ACTIVE,NO
4533710,14-38,4,CERTIFICATE ACCEPTED,RESOLVE,
2016465,141-50,2,NO COMPLIANCE RECORDED,ACTIVE,NO
3154311,67,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3106243,840,3,CERTIFICATE ACCEPTED,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
4229578,91-40,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
2064313,937,2,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
4282508,139-29,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4298920,120,4,CURE ACCEPTED,RESOLVE,NO
4042822,109-15,4,CERTIFICATE ACCEPTED,RESOLVE,
3323047,195,3,N/A - DISMISSED,RESOLVE,NO
4251696,114-25,4,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 2
1088161,140,1,CERTIFICATE ACCEPTED,RESOLVE,NO
3000078,45,3,CERTIFICATE ACCEPTED,RESOLVE,NO
4832824,27-70,4,N/A - DISMISSED,RESOLVE,NO
1032308,132,1,CERTIFICATE ACCEPTED,RESOLVE,NO
3057659,1000,3,CERTIFICATE ACCEPTED,RESOLVE,NO
4198698,101-46,4,CERTIFICATE ACCEPTED,RESOLVE,NO
1051615,337,1,COMPLIANCE-INSP/DOC,RESOLVE,NO
5.045488E+6,,5,CERTIFICATE ACCEPTED,RESOLVE,NO
1063079,2244,1,COMPLIANCE-INSP/DOC,RESOLVE,NO
3102889,889,3,CERTIFICATE ACCEPTED,RESOLVE,
4114160,52-25,4,CURE ACCEPTED,RESOLVE,NO
4858527,47-21,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4169867,38-02,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3227314,1308,3,CERTIFICATE ACCEPTED,RESOLVE,NO
1010078,311,1,CERTIFICATE ACCEPTED,RESOLVE,NO
4258739,111-15,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
1083799,38-68,1,CERTIFICATE ACCEPTED,RESOLVE,NO
2014615,50,2,CERTIFICATE ACCEPTED,RESOLVE,NO
4444851,118-35,4,CURE ACCEPTED,RESOLVE,NO
3207027,923,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
1033816,18-54,1,CERTIFICATE ACCEPTED,RESOLVE,NO
3032310,268,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3042012,56,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
3227314,1308,3,CERTIFICATE ACCEPTED,RESOLVE,NO
3072359,3511,3,CERTIFICATE ACCEPTED,RESOLVE,NO
4229578,91-40,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3203631,44-36,3,CERTIFICATE ACCEPTED,RESOLVE,NO
1088222,1094,1,CERTIFICATE ACCEPTED,RESOLVE,NO
4005194,43-01,4,CERTIFICATE ACCEPTED,RESOLVE,NO
3327951,200,3,CERTIFICATE ACCEPTED,RESOLVE,NO
4044594,104-13,4,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
3106243,840,3,CERTIFICATE ACCEPTED,RESOLVE,
4618574,95-50,4,CERTIFICATE ACCEPTED,RESOLVE,NO
3174613,330,3,CERTIFICATE ACCEPTED,RESOLVE,MULTIPLE OFFENSE
4069253,5-44,4,CERTIFICATE ACCEPTED,RESOLVE,NO
4137671,38-07,4,CERTIFICATE ACCEPTED,RESOLVE,
3076207,9375,3,CERTIFICATE ACCEPTED,RESOLVE,NO
4005607,27-34,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
2003303,,2,COMPLIANCE-INSP/DOC,RESOLVE,NO
2058324,857,2,COMPLIANCE-INSP/DOC,RESOLVE,NO
3167701,1170,3,N/A - DISMISSED,RESOLVE,NO
1020031,207,1,CERTIFICATE ACCEPTED,RESOLVE,
5146933,18,5,COMPLIANCE-INSP/DOC,RESOLVE,NO
409211400.00%,69-79,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
1087958,555,1,CERTIFICATE ACCEPTED,RESOLVE,NO
2094152,,2,COMPLIANCE-INSP/DOC,RESOLVE,NO
3085154,564,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
1034137,306,1,N/A - DISMISSED,RESOLVE,NO
3048072,28-18,3,CERTIFICATE ACCEPTED,RESOLVE,NO
1063561,4180,1,COMPLIANCE-INSP/DOC,RESOLVE,NO
4229578,91-40,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3194184,2344,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
3030995,714,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
4858527,47-21,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3089997,3417,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
2083953,3639,2,CERTIFICATE ACCEPTED,RESOLVE,NO
1038590,201,1,CERTIFICATE ACCEPTED,RESOLVE,NO
4090993,65-24,4,CERTIFICATE ACCEPTED,RESOLVE,NO
3077203,521,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 2
1052990,,1,COMPLIANCE-INSP/DOC,RESOLVE,NO
3183492,2609,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
4525148,145-05,4,CURE ACCEPTED,RESOLVE,NO
3079050,175,3,CERTIFICATE ACCEPTED,RESOLVE,NO
3244710,3057,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3.087079E+6,90,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3229466,627,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
4248454,94-10A,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4019111,24-26,4,CERTIFICATE ACCEPTED,RESOLVE,NO
2024964,1227,2,COMPLIANCE-INSP/DOC,RESOLVE,NO
4225210,91-12,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4286455,146-18,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3053464,1439,3,CERTIFICATE ACCEPTED,RESOLVE,
3053464,89,3,CERTIFICATE ACCEPTED,RESOLVE,
4098481,15-19,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
5025617,,5,COMPLIANCE-INSP/DOC,RESOLVE,
4.302244E+6,446,4,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
3134013,2030,3,CERTIFICATE ACCEPTED,RESOLVE,NO
4223348,89-32,4,CURE ACCEPTED,RESOLVE,NO
4010379,32-33,4,CERTIFICATE ACCEPTED,RESOLVE,
4541421,6107,4,CERTIFICATE ACCEPTED,RESOLVE,NO
3111195,4401,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
2090861,1121,2,COMPLIANCE-INSP/DOC,RESOLVE,NO
5045863,1562,5,CERTIFICATE ACCEPTED,RESOLVE,NO
5123868,382,5,CERTIFICATE ACCEPTED,RESOLVE,
5025420,109,5,COMPLIANCE-INSP/DOC,RESOLVE,NO
2014305,3556,2,CERTIFICATE ACCEPTED,RESOLVE,
2010040,641,2,COMPLIANCE-INSP/DOC,RESOLVE,NO
3072437,12,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3087170,220,3,CURE ACCEPTED,RESOLVE,NO
511316900.00%,,5,CERTIFICATE ACCEPTED,RESOLVE,NO
3028159,220,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3244651,220,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
1048787,157,1,CERTIFICATE ACCEPTED,RESOLVE,NO
4538480,156-03,4,CERTIFICATE ACCEPTED,RESOLVE,
3201777,2303,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
5000824,23,5,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
3116678,,3,CURE ACCEPTED,RESOLVE,NO
1043348,250,1,CERTIFICATE ACCEPTED,RESOLVE,NO
4212143,90-17,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3225728,1050,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
4225711,89-56,4,CERTIFICATE ACCEPTED,RESOLVE,NO
