address,additionalpriorities,nta,extendedhoursallschools,community_board,outofdistrictofferspkconly
5721 6 Avenue,,Sunset Park East,AM/PM,307.0,
1564 Saint Peters Avenue,,Van Nest-Morris Park-Westchester Square,PM,210.0,
720 57 Street,,Sunset Park East,AM/PM,307.0,
499 East 175 Street,,Claremont-Bathgate,Contact Program,206.0,
671 Prospect Place,,Crown Heights North,PM,308.0,
858 Jamaica Avenue,,Cypress Hills-City Line,,305.0,
800 Lydig Avenue,,Pelham Parkway,,211.0,
140 58 Street,,Sunset Park West,Contact Program,307.0,
1181 East New York Avenue,,Crown Heights North,AM/PM,308.0,
2500 Creston Avenue&,,Bedford Park-Fordham North,,207.0,
670  East 219 Street,,Williamsbridge-Olinville,PM,212.0,
71 Lincoln Place,,Park Slope-Gowanus,AM/PM,306.0,
349 Cabrini Boul evard,,Washington Heights North,Contact Program,112.0,
3314 Neptune Avenue,,Seagate-Coney Island,AM/PM,313.0,
1750 Amsterdam Avenue,,Hamilton Heights,Contact Program,109.0,
608 East 139 Street,,Mott Haven-Port Morris,,201.0,
3415 Olinville Avenue,,Williamsbridge-Olinville,,212.0,
1515 Southern Boulevard,,Crotona Park East,Contact Program,203.0,
1070 East 104 Street,,Canarsie,Contact Program,318.0,
1975 51 Street,,Borough Park,Contact Program,312.0,
1436 67 Street,,Bensonhurst West,,311.0,
512 Carroll Street,FRL/EMLL,Park Slope-Gowanus,Contact Program,306.0,
1608 First Avenue,,Yorkville,AM/PM,108.0,
280 Rivington Street,,Lower East Side,Contact Program,103.0,
613 New Lots Avenue,,East New York,AM/PM,305.0,
2015 64 Street,,Bensonhurst West,Contact Program,311.0,
515 Blake Avenue,,East New York (Pennsylvania Ave),AM/PM,305.0,
410 West 40 Street,,Clinton,Contact Program,104.0,
250 East 156 Street,,East Concourse-Concourse Village,Contact Program,204.0,
2023 Pacific Street,,Ocean Hill,,316.0,
984 Faile Street,,Hunts Point,Contact Program,202.0,
1871 Walton Avenue,,Mount Hope,Contact Program,205.0,
117 Remsen Street,,Brooklyn Heights-Cobble Hill,Contact Program,302.0,
675 4 Avenue,,Sunset Park West,AM/PM,307.0,
1070 Castle Hill Avenue,,Westchester-Unionport,Contact Program,209.0,
250 Utica Avenue,,Crown Heights North,AM/PM,308.0,
2125 Watson Avenue,,Westchester-Unionport,AM/PM,209.0,
2745 Atlantic Avenue,,East New York,AM/PM,305.0,
4035 White Plains Road,,Williamsbridge-Olinville,AM/PM,212.0,
311 East 82 Street,,Yorkville,Contact Program,108.0,
4222 4 avenue,,Sunset Park West,Contact Program,307.0,
1181 Nelson Avenue,,Highbridge,Contact Program,204.0,
2951 West 3 Street,,West Brighton,,313.0,
121 West 128 Street,,Central Harlem North-Polo Grounds,Contact Program,110.0,
508 East 120 Street,,East Harlem North,AM,111.0,
650 Hollywood Avenue,,Schuylerville-Throgs Neck-Edgewater Park,Contact Program,210.0,
717 East 105 Street,,Canarsie,AM/PM,318.0,
2217 Caton Avenue,,Prospect Lefferts Gardens-Wingate,AM/PM,314.0,
2580 Amsterdam Avenue,,Washington Heights North,,112.0,
749 East 163 Street,,Morrisania-Melrose,PM,203.0,
2348 Webster Avenue,,Fordham South,PM,206.0,
3440 White Plains Road,,Williamsbridge-Olinville,Contact Program,212.0,
285 Delancy Street,FRL/EMLL/STH,Lower East Side,PM,103.0,
850 50 Street,,Sunset Park East,,312.0,
225 Adelphi Street,,Fort Greene,AM/PM,302.0,
1555 East 174 Street,,West Farms-Bronx River,AM/PM,209.0,
143 Baxter Street,,SoHo-TriBeCa-Civic Center-Little Italy,,102.0,
4360-78 Broadway,,Washington Heights North,Contact Program,112.0,
200 West Tremont Avenue,,University Heights-Morris Heights,Contact Program,205.0,
669 Lenox Avenue,,Central Harlem North-Polo Grounds,Contact Program,110.0,
2547 East Tremont Avenue,,Van Nest-Morris Park-Westchester Square,,211.0,
610-614 West 175 Street,,Washington Heights South,PM,112.0,
365 83 Street,,Bay Ridge,AM/PM,310.0,
425 West 123 Street,FRL/EMLL,Morningside Heights,PM,109.0,
801 Bartholdi Street,,Williamsbridge-Olinville,Contact Program,212.0,
1573 Madison Avenue,,East Harlem South,,111.0,
110 Taylor Street,,Williamsburg,Contact Program,301.0,
306 Fort Washington Avenue,,Washington Heights South,Contact Program,112.0,
800 Concourse Village East,,East Concourse-Concourse Village,Contact Program,204.0,
440 West 53 Street,,Clinton,,104.0,
590 Sheffield Avenue,,East New York (Pennsylvania Ave),Contact Program,305.0,
425 Henry Street,,Carroll Gardens-Columbia Street-Red Hook,AM/PM,306.0,
415 Avenue S,,Homecrest,PM,315.0,
169 West 87 Street,,Upper West Side,AM/PM,107.0,
133 Kings First Walk,,Crown Heights North,Contact Program,308.0,
10 Reade Street,,SoHo-TriBeCa-Civic Center-Little Italy,,101.0,All
757 Cauldwell Avenue,,Melrose South-Mott Haven North,Contact Program,201.0,
222 West 134 Street,,Central Harlem North-Polo Grounds,Contact Program,110.0,
125 East 181 Street,,Fordham South,Contact Program,205.0,
60-62 East 97 Street,,East Harlem South,AM/PM,111.0,
2336 Andrews Avenue,,Kingsbridge Heights,AM/PM,207.0,
140 58 Street,,Sunset Park West,,307.0,All
34 Avenue D,,Lower East Side,PM,103.0,
421 Throop Avenue,,Stuyvesant Heights,AM/PM,303.0,
670 Parkside Avenue,,Prospect Lefferts Gardens-Wingate,,309.0,
193 10 Avenue,,Hudson Yards-Chelsea-Flatiron-Union Square,AM/PM,104.0,
1472 Montgomery Avenue,,University Heights-Morris Heights,AM/PM,205.0,
2465 Bathgate Avenue,,Belmont,AM/PM,206.0,
433 East 100 Street,,East Harlem South,,111.0,
8801 Glenwood Road,,Canarsie,AM/PM,318.0,
4 River Road,,Lenox Hill-Roosevelt Island,AM/PM,108.0,
5480 Broadway,,Marble Hill-Inwood,AM,208.0,
3030 Godwin Terrace,,Spuyten Duyvil-Kingsbridge,AM,208.0,
529 West 155 Street,,Washington Heights South,Contact Program,112.0,
143 5 Prospect Place,,Crown Heights North,PM,308.0,
976 President Street,,Crown Heights South,PM,309.0,
700 East 179 Street,,East Tremont,Contact Program,206.0,
14 Hope Street,,North Side-South Side,AM/PM,301.0,
781 Castle Hill Avenue,,Soundview-Castle Hill-Clason Point-Harding Park,PM,209.0,
313 East 183 Street,,Fordham South,Contact Program,205.0,
2322 Third Avenue,,East Harlem North,Contact Program,111.0,
1144 Hoe Avenue,,Morrisania-Melrose,AM/PM,203.0,
5625 Arlington Avenue,,North Riverdale-Fieldston-Riverdale,AM/PM,208.0,
100 Clermont Avenue,,Fort Greene,Contact Program,302.0,
730 Kelly Street,,Longwood,PM,202.0,
52 Chambers Street,,SoHo-TriBeCa-Civic Center-Little Italy,,101.0,
253 South Street,,Lower East Side,Contact Program,103.0,
302-306 East 111 Street,,East Harlem North,PM,111.0,
813 Hancock Street,,Stuyvesant Heights,PM,303.0,
125 West 109 Street,,Morningside Heights,PM,107.0,
3573 Bruckner Boulevard,,Pelham Bay-Country Club-City Island,AM,210.0,
333 Classon Avenue,,Bedford,,303.0,
114 East 122 Street,,East Harlem North,Contact Program,111.0,
41 West 117 Street,,Central Harlem South,Contact Program,110.0,
502 Morris Avenue,,Mott Haven-Port Morris,Contact Program,201.0,
2270 Bronx Park East,,Bronxdale,AM/PM,211.0,
301 West 140 Street,,Central Harlem North-Polo Grounds,,110.0,
763 President Street,,Park Slope-Gowanus,AM/PM,306.0,
1771 Popham Avenue,,University Heights-Morris Heights,Contact Program,205.0,
265 Warwick Street,,East New York,,305.0,
40 Division Street,,Chinatown,AM,103.0,
1273 57 Street,,Borough Park,AM/PM,312.0,
2872 Saint Theresa Avenue,,Pelham Bay-Country Club-City Island,AM/PM,210.0,
1620 Saint Johns Place,,Crown Heights North,Contact Program,308.0,
201 Saint Anns Avenue,,Mott Haven-Port Morris,Contact Program,201.0,
64 Division Avenue,,Williamsburg,,301.0,
1930 Andrews Avenue,,University Heights-Morris Heights,Contact Program,205.0,
360 East 168 Street,,East Concourse-Concourse Village,Contact Program,204.0,
1290 Spofford Avenue,,Hunts Point,Contact Program,202.0,
2570 Pitkin Avenue,,East New York,AM/PM,305.0,
219 East 109 Street,,East Harlem North,,111.0,
425 West 130 Street,,Manhattanville,AM,109.0,
1449 Shakespeare Avenue,,Highbridge,Contact Program,204.0,
1841 Park Avenue,,East Harlem North,AM,111.0,
279 East Burnside Avenue,,Mount Hope,AM/PM,205.0,
265 Ralph Avenue,,Stuyvesant Heights,Contact Program,303.0,
2465 Bathgate Avenue,,Belmont,,206.0,
168 Morningside Avenue,D5/D6,Manhattanville,AM/PM,109.0,
1180 Tinton Avenue,,Morrisania-Melrose,Contact Program,203.0,
50 Jefferson Avenue,,Clinton Hill,AM,303.0,
331 East 70 Street,,Lenox Hill-Roosevelt Island,Contact Program,108.0,
1520 86 Street,,Bath Beach,AM,311.0,
1258 65 Street,,Dyker Heights,PM,310.0,
450 Pacific Street,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,PM,302.0,
320 East 20 Street,,Gramercy,,106.0,
171 West 107 Street,,Morningside Heights,Contact Program,107.0,
250 West 127 Street,,Central Harlem North-Polo Grounds,Contact Program,110.0,
750 Prospect Avenue,,Longwood,Contact Program,202.0,
272 macdonough street,,Stuyvesant Heights,Contact Program,303.0,
7806-08 New Utrecht Avenue,,Bensonhurst West,,311.0,
928 55 Street,,Borough Park,AM/PM,312.0,
90 Chauncey Street,,Crown Heights North,Contact Program,303.0,
3816 Waldo Avenue,,Spuyten Duyvil-Kingsbridge,AM/PM,208.0,
51 Saint Edwards Street,,Fort Greene,,302.0,
510-16 West 145 Street,,Hamilton Heights,AM/PM,109.0,
440 Lenox Road,,East Flatbush-Farragut,AM/PM,317.0,
159-30 Harlem River Drive,,Central Harlem North-Polo Grounds,Contact Program,110.0,
131 Broome Street,,Lower East Side,PM,103.0,
1646 Montgomery Avenue,,University Heights-Morris Heights,,205.0,
1695 Seward Avenue,,Soundview-Castle Hill-Clason Point-Harding Park,,209.0,
2050 Second Avenue,,East Harlem South,,111.0,
601 Ocean View Avenue,,Brighton Beach,,313.0,
2514 Wilson Avenue,,Allerton-Pelham Gardens,AM/PM,211.0,
2111 Crotona Avenue,,East Tremont,Contact Program,206.0,
490 Fenimore Street,,Prospect Lefferts Gardens-Wingate,AM,309.0,
1711 Haight Avenue,,Van Nest-Morris Park-Westchester Square,AM/PM,211.0,
3130 Rochambeau Avenue,,Norwood,Contact Program,207.0,
219 East 109 Street,,East Harlem North,Contact Program,111.0,
494 Marcy Avenue,,Bedford,AM/PM,303.0,
289 Lewis Avenue,,Stuyvesant Heights,AM/PM,303.0,
7415 Fort Hamilton Parkway,,Dyker Heights,,310.0,All
115 Chrystie Street,,Chinatown,Contact Program,103.0,
Mcdonald ,,Kensington-Ocean Parkway,Contact Program,312.0,
420 Lefferts Avenue,,Prospect Lefferts Gardens-Wingate,AM/PM,309.0,
309 47 Street,,Sunset Park West,Contact Program,307.0,
1829 Lexington Avenue,,East Harlem North,PM,111.0,
610 East 12 Street,FRL/EMLL/STH,Lower East Side,Contact Program,103.0,
374 Pine Street,,East New York,Contact Program,305.0,
215 South End Avenue,,Battery Park City-Lower Manhattan,AM/PM,101.0,
535 Union Avenue,,Mott Haven-Port Morris,,201.0,All
811 54 Street,,Sunset Park East,,312.0,
2863 Webster Avenue,,Bedford Park-Fordham North,PM,207.0,
2589 7 Avenue,,Central Harlem North-Polo Grounds,Contact Program,110.0,
2150 Linden Boulevard,,East New York,AM/PM,305.0,
421 East 161 Street,,Morrisania-Melrose,AM/PM,203.0,
1021 45 Street,,Sunset Park East,Contact Program,312.0,
5601 16 Avenue,,Borough Park,Contact Program,312.0,
1600 Park Place,,Crown Heights North,AM,308.0,
560 West 169 Street,FRL/Families Impacted by Incarceration,Washington Heights South,AM,112.0,
131 Saint Nicholas Avenue,,Central Harlem South,PM,110.0,
2401 Beverley Road,EMLL,Erasmus,AM/PM,317.0,
124 Monitor Street,,Greenpoint,PM,301.0,
80 West End Avenue,,Lincoln Square,Contact Program,107.0,
105 Willis Avenue,,Mott Haven-Port Morris,,201.0,Some
1065 Beach Avenue,,Soundview-Bruckner,Contact Program,209.0,
60 Cook Street,,East Williamsburg,,301.0,
257 Bay Ridge Avenue,,Bay Ridge,AM/PM,310.0,
