recordid,censusblock_2010,:@computed_region_92fq_4b7q,species,street,bin,spc_common,x,condition,zip_original,bbl,council_district
948,4001,50.0,QUPA,E 14 ST,1084936.0,"OAK, PIN",987498.9958,Good,10003,1008700024.0,2.0
519,2002,10.0,PYCA,KING ST,1008142.0,"PEAR, CALLERY",983155.4844,Good,10014,1005207501.0,3.0
960,1000,50.0,GLTR,E 14 ST,1006906.0,HONEYLOCUST,988094.8267,Good,10003,1004690030.0,2.0
484,3001,10.0,GLTR,CHARLTON ST,1007827.0,HONEYLOCUST,982888.8339,Poor,10014,1005060012.0,3.0
283,2003,32.0,PYCA,W BROADWAY,1079918.0,"PEAR, CALLERY",983406.5623,Excellent,10013,1004760070.0,1.0
728,2002,32.0,GLTR,GREENWICH ST,1002813.0,HONEYLOCUST,981445.1063,Excellent,10013,1002160001.0,1.0
886,5001,50.0,GLTR,E 10 ST,1006462.0,HONEYLOCUST,988217.2517,Good,10003,1004520047.0,2.0
225,2006,32.0,QUPA,PARK PL,,"OAK, PIN",980624.981,Good,10007,,
26,3000,32.0,GLTR,HARRISON ST,1001541.0,HONEYLOCUST,981244.4123,Poor,10013,1001420019.0,1.0
962,4000,50.0,GLTR,E 14 ST,1019511.0,HONEYLOCUST,988046.0347,Good,10003,1008960019.0,2.0
444,1002,10.0,AIAL,WASHINGTON ST,1010356.0,TREE OF HEAVEN,981634.857,Poor,10013,1005960001.0,3.0
959,1000,50.0,GLTR,E 14 ST,1006906.0,HONEYLOCUST,988070.7319,Good,10003,1004690030.0,2.0
365,3011,10.0,ZESE,WATTS ST,1007125.0,"ZELKOVA, JAPANESE",982686.5271,Excellent,10013,1004770073.0,3.0
229,2006,32.0,GIBI,PARK PL,,GINKGO,980624.981,Dead,10007,,
37,4004,32.0,TICO,GREENWICH ST,1084857.0,"LINDEN, LITTLE LEAF",981379.9341,Poor,10013,1001817501.0,1.0
973,4000,50.0,GLTR,E 14 ST,1019496.0,HONEYLOCUST,987812.3151,Good,10003,1008960001.0,2.0
375,3009,10.0,PYCA,BROOME ST,1007379.0,"PEAR, CALLERY",982713.2323,Excellent,10013,1004910026.0,3.0
474,3001,10.0,ZESE,VAN DAM ST,1007834.0,"ZELKOVA, JAPANESE",983092.2524,Good,10013,1005060045.0,3.0
975,6000,50.0,GIBI,E 14 ST,1006511.0,GINKGO,988499.0866,Good,10003,1004550005.0,2.0
860,3000,50.0,PYCA,E 10 ST,1077992.0,"PEAR, CALLERY",987367.003,Good,10012,1004660048.0,2.0
715,1001,32.0,UNKNOWN,LAFAYETTE ST,1007222.0,UNKNOWN LIVE TREES,984905.8605,Unknown,10013,1004820031.0,1.0
851,2010,32.0,PLAC,BOWERY,1008204.0,LONDON PLANETREE,986363.6453,Good,10003,1005217503.0,1.0
193,2001,32.0,GLTR,GREENWICH ST,1066187.0,HONEYLOCUST,981195.2289,Excellent,10007,1001377502.0,1.0
864,3000,50.0,PYCA,E 10 ST,1077988.0,"PEAR, CALLERY",987332.8804,Good,10012,1004660048.0,2.0
874,4000,50.0,GLTR,E 10 ST,1006411.0,HONEYLOCUST,988256.6434,Good,10003,1004510021.0,2.0
507,2005,10.0,PYCA,KING ST,1008091.0,"PEAR, CALLERY",983118.3993,Excellent,10014,1005190021.0,3.0
977,6000,50.0,GIBI,E 14 ST,1006511.0,GINKGO,988499.0866,Good,10003,1004550005.0,2.0
840,3002,50.0,GIBI,E 10 ST,1006775.0,GINKGO,987567.9938,Good,10003,1004650019.0,2.0
584,1002,32.0,PS,WASHINGTON ST,1001059.0,PLANTING SITE,980416.8378,Planting Space,10006,1000540001.0,1.0
976,2000,32.0,PYCA,BOWERY,1007397.0,"PEAR, CALLERY",986085.4655,Excellent,10003,1004920023.0,1.0
161,3000,32.0,QURU,CHAMBERS ST,1066406.0,"OAK, NORTHERN RED",980845.5519,Excellent,10013,1001420050.0,1.0
917,6001,50.0,PYCA,1 AV,1006493.0,"PEAR, CALLERY",988875.5002,Good,10003,1004540040.0,2.0
151,3000,32.0,QUPA,CHAMBERS ST,1066406.0,"OAK, PIN",980845.5519,Good,10013,1001420050.0,1.0
811,3001,50.0,PYCA,STUYVESANT ST,1006791.0,"PEAR, CALLERY",987598.9563,Good,10013,1004650043.0,2.0
1001,2001,32.0,SOJA,SPRING ST,1007484.0,JAPANESE PAGODA TREE,985597.9686,Good,10003,1004930041.0,1.0
765,7000,50.0,TICO,2 AV,1006363.0,"LINDEN, LITTLE LEAF",987785.2002,Good,10006,1004500008.0,2.0
133,4010,32.0,PYCA,READE ST,1079166.0,"PEAR, CALLERY",981612.9281,Excellent,10013,1001410002.0,1.0
226,2006,32.0,QUPA,PARK PL,,"OAK, PIN",980624.981,Good,10007,,
693,2004,32.0,GLTR,WEST ST,1087238.0,HONEYLOCUST,979917.2251,Excellent,10009,1000167514.0,1.0
