latitude,longitude,cenblock20,permityear,bbl,floorsprop,centract20,addressst,dcpedited,:@computed_region_sbqj_enih,occ_init,zoningdst2,zoningdst1,geomsource,landmark,the_geom,job_desc
40.81318351815265,-73.94602407804793,360610226003003.0,,1019370027,5.0,36061022600.0,WEST 131 STREET,,20.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.94602407804793, 40.8131835181525]}",ALT-CO FILED TO INCREASE THE TOTAL NUMBER OF DWELLING UNITS FROM NINE TO TEN UNITS. PROPOSED INTERIOR RENOVATION AS PER PLANS FILED. NEW C OF O TO BE OBTAINED.
40.59947253944317,-73.94394690658893,360470574002002.0,,3073600017,2.0,36047057400.0,GRAVESEND NECK ROAD,,36.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.94394690658893, 40.59947253944302]}",Converting existing one family to two family with  Horizontal Enlargement. Obtain new C of O.
40.687816,-73.910158,360470413001002.0,2023.0,3034220065,,36047041300.0,SCHAEFER STREET,,53.0,Residential: 1-2 Family Houses (J-3),,R6,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.910158, 40.68781599999984]}",DEMO OF TWO FAMILY DWELLING
40.618849,-74.012125,360470148001000.0,,3062670002,3.0,36047014800.0,12 AVENUE,,41.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-74.012125, 40.618848999999855]}",Proposed new 1-family building at vacant land. Obtain a new C of O.
40.722224,-73.950128,360470569001002.0,2023.0,3026790034,6.0,36047056900.0,MANHATTAN AVENUE,,57.0,Empty Site,,C4-5D,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.950128, 40.72222399999984]}",
40.804211597015936,-73.93776269821896,360610196003002.0,,1017730057,13.0,36061019600.0,LEXINGTON AVENUE,,16.0,Empty Site,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.93776269821896, 40.80421159701579]}",PROPOSE NEW 13-STORY MIXED-USE BUILDING AS PER PLAN. OBTAIN NEW C OF O.
40.75994067436603,-73.96404944534343,360610108022000.0,,1013510006,2.0,36061010802.0,EAST 58 STREET,,9.0,,,,BIN DOB buildingfootprints,Yes,"{'type': 'Point', 'coordinates': [-73.96404944534343, 40.75994067436588]}",INTERIOR RENOVATION AND CONVERSION OF EXISTING 2 STORY COMMERCIAL BUILDING INTO ONE FAMILY DWELLING. WORK TO INCLUDE GENERAL CONSTRUCTION WORK AS PER PLANS. ADDITIONAL WORK (PLUMBING MECHANICAL) TO BE FILED SEPARATELY. OBTAIN A NEW C.O. UPON COMPLETION.
40.61896295146191,-73.90317469832567,360470706011002.0,,3084420049,3.0,36047070601.0,EAST 74 STREET,,38.0,Empty Site,,,BBL DOB MapPLUTO,,"{'type': 'Point', 'coordinates': [-73.90317469832567, 40.618962951461775]}",Erect New 2 Family dwelling.
40.677736,-73.984548,360470119012012.0,,3004410016,7.0,36047011901.0,UNION STREET,,50.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.984548, 40.67773599999985]}",NB PROPOSED 6 FAMILY 7 STORY W/ CELLAR RESIDENTIAL AND COMMERCIAL MIXED USE BUILDING.
40.835602408367386,-73.9388694547331,360610243012000.0,2023.0,1021100052,4.0,36061024301.0,WEST 162 STREET,hotel_prop/classa_init/otherb_prop/otherb_init/hotel_init,21.0,,,,BIN DOB buildingfootprints,Yes,"{'type': 'Point', 'coordinates': [-73.9388694547331, 40.835602408367244]}",CONVERT EXISTING SRO TO TWO-FAMILY DWELLING INTERIOR PARTITIONS AS PER PLANS FILED HEREWITH.
40.598293,-74.063978,360850074002000.0,2023.0,5031210084,2.0,36085007400.0,WATERFORD COURT,,76.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-74.063978, 40.59829299999985]}",new 2 family dwelling
40.590948,-73.985846,360470306001007.0,2013.0,3069010034,3.0,36047030600.0,BAY 46 STREET,,35.0,Empty Site,,R5,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.98584600000001, 40.590947999999855]}",
40.67893570945374,-73.8779581081141,360471192001001.0,,3041530025,3.0,36047119200.0,MILFORD STREET,,47.0,Empty Site,,R5,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.8779581081141, 40.67893570945359]}",
40.785519455268826,-73.97697113038666,360610171002001.0,,1012300032,5.0,36061017100.0,AMSTERDAM AVENUE,,12.0,,,,BIN DOB buildingfootprints,Yes,"{'type': 'Point', 'coordinates': [-73.97697113038666, 40.785519455268684]}",Alteration in Cellar to convert from Residential use to commercia.
40.82927937488817,-73.82772202165204,360050166001005.0,,2055330097,3.0,36005016600.0,CALHOUN AVENUE,,28.0,Empty Site,,,BBL DOB MapPLUTO,,"{'type': 'Point', 'coordinates': [-73.82772202165204, 40.829279374888024]}",PROPOSED 3 STORY ONE FAMILY NEW BUILDING.
40.639957,-74.003769,360470108021001.0,,3056510016,6.0,36047010802.0,51 STREET,,39.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-74.003769, 40.63995699999983]}",NEW CONSTRUCTION OF 6-STORY BUILDING WITH CELLAR FOR 15 RESIDENTIAL UNITS AND COMMUNITY FACILITY. OBTAIN A CERTIFICATE OF OCCUPANCY.
40.736713,-73.721165,360811571015010.0,,4085780001,2.0,36081157101.0,83 AVENUE,,63.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.721165, 40.73671299999986]}",HEREWITH TO PROPOSE  ( 2 ) STORY ( 1) FAMILY DWELLING WITH CELLAR
40.737989391610974,-73.98462459488674,360610068003000.0,2022.0,1008770034,6.0,36061006800.0,GRAMERCY PARK NORTH,,7.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.98462459488674, 40.73798939161082]}",RENOVATION OF EXISTING SINGLE-FAMILY STRUCTURE; VERTICAL ENLARGEMENT. NEW SCHEDULE OF OCCUPANCY TO BE OBTAINED.
40.68954342568253,-73.929760794187,360470387003001.0,,3016270083,4.0,36047038700.0,QUINCY STREET,,52.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.929760794187, 40.689543425682366]}",PROPOSED ALTERATION CO TO UPDATE THE CERTIFICATE OF OCCUPANCY FOR A 2 FAMILY 4 STORY BUILDING
40.57700295372589,-73.96545249921965,360470362003007.0,,3086710932,2.0,36047036200.0,BRIGHTON BEACH AVENUE,,35.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.96545249921965, 40.57700295372574]}",BUILD EXTENTION
40.66279000449242,-73.98744663701444,360470149023001.0,,3010540042,3.0,36047014902.0,WEBSTER PLACE,,45.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.98744663701444, 40.66279000449228]}",INTERIOR RENOVATION AND HORIZONTAL EXTENSION TO AN EXISTING ONE-FAMILY DWELLING PLUMBING WORK AS PER PLANS NO CHANGE OF USE EGRESS OR OCCUPANCY NEW C. OF O.
40.658085,-73.897818,360471132001004.0,,3038660001,6.0,36047113200.0,SNEDIKER AVENUE,,47.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.897818, 40.65808499999985]}",NEW 5 STORY RESIDENTIAL BUILDING OF 23 DWELLING UNITS OBTAIN NEW C OF O.
40.715203,-73.950039,360470501003017.0,,3027517506,,36047050100.0,SKILLMAN AVENUE,,57.0,Residential: Not Specified (RES),,R6B,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.950039, 40.715202999999846]}",
40.66545865136323,-73.99125144208779,360470141021001.0,,3010520024,5.0,36047014102.0,16 STREET,,45.0,Empty Site,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.99125144208779, 40.66545865136308]}",Construct new five (5) story residential building as per plans filed.
40.69220244499238,-73.9234081396696,360470395002002.0,2025.0,3032940025,0.0,36047039500.0,BUSHWICK AVENUE,,53.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.9234081396696, 40.69220244499224]}",Full demolition to a two story house
40.7546512516678,-73.99280584489334,360610111001000.0,2023.0,1007610022,9.0,36061011100.0,WEST 37 STREET,,8.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.99280584489335, 40.75465125166766]}",MINOR WORK FOR CHANGE OF USE & OCCUPANCY AT THE FIRST FLOOR TO HEALTH & FITNESS ESTABLISHMENT PER ZR32-413.NO CHANGE IN BULK OR EGRESS. MH PL SP FA APPLICATIONS FILEDSEPARATELY
40.8152438979176,-73.9071580730269,360050073001000.0,2007.0,2026430060,7.0,36005007300.0,CONCORD AVENUE,,23.0,Empty Site,,R7-1,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.9071580730269, 40.81524389791746]}",
40.75790022542709,-73.9092237783496,360810163001001.0,2023.0,4007400004,3.0,36081016300.0,31 AVENUE,,72.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.9092237783496, 40.757900225426944]}",CONVERT EXISTING TWO FAMILY (AS PER C.O. #Q186940) TO 3 FAMILY WITH GENERAL RENOVATION IN CELLAR & 1ST FLOOR. (NO ENLARGEMENT NOR PREDOMINANT BUILT-UP AREA PROPOSED).
40.60666998507497,-74.0098431933889,360470180002003.0,2022.0,3063970071,2.0,36047018000.0,BAY 13 STREET,,37.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-74.0098431933889, 40.606669985074824]}",INTERIOR RENOVATION OF EXISTING 2 STORY RESIDENTIAL BUILDING. NO CHANGE IN EGRESSUSE OR OCCUPANCY.
40.5895,-74.08759999999998,360850070011002.0,2025.0,5033690060,3.0,36085007001.0,ATLANTIC AVENUE,,76.0,Empty Site,,,Lat/Lon DOB,,"{'type': 'Point', 'coordinates': [-74.08759999999998, 40.589499999999845]}",ONE FAMILY SEMI DETACHED RESIDENCE
40.68282145561226,-73.9873638320969,360470071002001.0,2023.0,3004050007,4.0,36047007100.0,BOND STREET,,48.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.9873638320969, 40.682821455612114]}",Renovation and conversion of existing commercial building to a mixed-used building. Architectural work.
40.7170849585626,-73.95994608808785,360470553003003.0,,3023430005,3.0,36047055300.0,NORTH 5 STREET,,57.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.95994608808785, 40.71708495856245]}",Installation of partitions in cellar for mechanical equipment all other related work filed under application # 321994017.
40.63792126279855,-73.94848518962978,360470788011000.0,,3052310037,4.0,36047078801.0,NOSTRAND AVENUE,,43.0,Empty Site,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.94848518962978, 40.637921262798386]}",PROPOSED FOUR (4) STORY RESIDENTIAL BUILDING.
40.511068,-74.195421,360850198004036.0,,5066620068,2.0,36085019800.0,ANCHORAGE LANE,,77.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-74.195421, 40.511067999999845]}",proposed 2 story 1 family residence.
40.68655509366151,-73.9071054406394,360470411002002.0,2024.0,3034460019,4.0,36047041100.0,MOFFAT STREET,,53.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.9071054406394, 40.68655509366136]}",New vertical  enlargement for 4 story and penthouse 5 dwelling unit on existing 3 family 3 story  building
40.77733450921421,-73.97550344917744,360610157001000.0,2023.0,1011260029,13.0,36061015700.0,CENTRAL PARK WEST,,12.0,,,,BIN DOB buildingfootprints,Yes,"{'type': 'Point', 'coordinates': [-73.97550344917744, 40.77733450921407]}",CHANGE UNIT 1-SW FROM A DOCTORS OFFICE TO AN APARTMENT.
40.609009282695794,-73.9056747100706,360470702013007.0,2025.0,3086190007,2.0,36047070201.0,GAYLORD DRIVE SOUTH,,38.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.9056747100706, 40.60900928269565]}",Proposed vertical enlargement to existing one-family house
40.82902966475676,-73.84900164166947,360050078002002.0,2018.0,2038160023,3.0,36005007800.0,BLACKROCK AVENUE,,26.0,Empty Site,,R5,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.84900164166947, 40.82902966475662]}",
40.561655,-73.918184,360810916036008.0,2024.0,4163500300,3.0,36081091603.0,PALMER DRIVE,,58.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.918184, 40.56165499999985]}",New 3 story 1 family building.
40.630185084498144,-73.98520397835046,360470474002001.0,2024.0,3054540078,3.0,36047047400.0,50 STREET,,39.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.98520397835046, 40.63018508449799]}",HORIZONTAL ENLARGEMENT TO EXISTING 3-STORY AND CELLAR BUILDING.PARTITIONS & PLUMBING AS PER PLANS. Filing to Address Violation #39091761Y
40.798014,-73.937585,360610188004001.0,2022.0,1016670120,15.0,36061018800.0,EAST 117 STREET,,16.0,Empty Site,,R9A,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.937585, 40.79801399999987]}",
40.72517366183516,-73.95034336483107,360470571004003.0,,3026480053,4.0,36047057100.0,LEONARD STREET,,57.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.95034336483107, 40.725173661835015]}",PROPOSED ONE STORY VERTICAL AND REAR ENLARGEMENT WITH PENTHOUSE ON EXISTING 3 STORY RESIDENTIAL BUILDING. CONVERT EXISTING 3 DWELLING UNITS INTO 4 DWELLING UNITS. OBTAIN NEW CERTIFICATE OF OCCUPANCY.
40.637227853208366,-74.10885914088988,360850105001000.0,,5001390080,2.0,36085010500.0,ALBAN STREET,,74.0,Empty Site,,,BBL DOB MapPLUTO,,"{'type': 'Point', 'coordinates': [-74.10885914088989, 40.637227853208216]}",New two story single family building with cellar.
40.621979862404096,-74.02352847293156,360470142003001.0,,3060190050,3.0,36047014200.0,84 STREET,,41.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-74.02352847293156, 40.621979862403926]}",Change from one car parking to two (2) car parking. Amendment to show existing easement and to answer audit objections
40.692362058694776,-73.78967614756453,360810262001001.0,,4121640046,2.0,36081026200.0,UNION HALL STREET,,71.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.78967614756453, 40.69236205869462]}",
40.700830265848815,-73.95782047933558,360470537002000.0,,3022240034,6.0,36047053700.0,BEDFORD AVENUE,,56.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.95782047933558, 40.70083026584865]}",PROPOSING VERTICAL AND HORIZONTAL ENLARGEMENT TO AN EXISTING THREE STORY MIXED USE BUILDING
40.67984281249575,-73.96542140729986,360470203002001.0,2013.0,3011307506,3.0,36047020300.0,DEAN STREET,,49.0,Empty Site,,R6B,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.96542140729986, 40.679842812495586]}",
40.77608522154706,-73.9569608521052,360610140002000.0,,1015100029,6.0,36061014000.0,EAST 81 STREET,,11.0,Empty Site,,R8B,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.9569608521052, 40.77608522154688]}",
40.6591033940118,-73.98455959776707,360470169005000.0,2024.0,3008760003,3.0,36047016900.0,8 AVENUE,,45.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.98455959776707, 40.65910339401165]}",INTERIOR RENOVATION CONVERTING EXISTING COMMERCIAL 3 STORY BUILDING INTO RESIDENTIAL BUILDING
