job_number,addressnum,occ_prop,ntaname20,:@computed_region_f5dn_yrer,policepcnt,hotelinit,firedivsn,bldg_class,pl_pfirm15,boro,job_type,classaprop,schsubdist,compltyear,datepermit,specldst2
B01018022,172,Empty Site,Marine Park-Mill Basin-Bergen Beach,5.0,63.0,,15.0,1 Family,,3,Demolition,0.0,22_2,2024.0,2024-10-30T00:00:00.000,
220597272,836,Empty Site,Longwood,34.0,42.0,,6.0,V0,,2,Demolition,0.0,12_1,,,
B01091813,2647,,East New York-City Line,45.0,75.0,0.0,15.0,Other,,3,New Building,7.0,19_2,,,EC-5
B01227416,2715,,Madison,32.0,61.0,,15.0,2 Family,,3,Alteration,2.0,22_3,,,
220716937,3029,Residential: 3 or More Units (R-2),Allerton,29.0,47.0,0.0,7.0,C1,,2,New Building,8.0,11_1,2023.0,2021-05-14T00:00:00.000,
B01175943,863,,Sunset Park (East)-Borough Park (West),2.0,66.0,,8.0,Other,,3,Alteration,5.0,20_1,,,
B01178945,290,,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,68.0,84.0,0.0,11.0,Other,,3,New Building,99.0,15_3,,,
220743998,447,Residential: 1-2 Family Houses (R-3),Mott Haven-Port Morris,49.0,40.0,,6.0,S2,,2,Alteration,2.0,7_2,,,
B00972688,756,,East New York-New Lots,45.0,75.0,0.0,15.0,3 Family,,3,New Building,3.0,19_2,,,
B00757866,633,,Prospect Lefferts Gardens-Wingate,17.0,71.0,0.0,15.0,Other,,3,New Building,75.0,17_2,,,
B08029338,232,,Park Slope,14.0,78.0,,11.0,1 Family,,3,Alteration,1.0,15_2,2024.0,2023-01-13T00:00:00.000,
Q00543172,39-57,,Woodside,53.0,108.0,0.0,14.0,3 Family,,4,New Building,3.0,30_2,2024.0,2022-11-04T00:00:00.000,
M01158854,1386,Empty Site,Upper East Side-Lenox Hill-Roosevelt Island,23.0,19.0,,3.0,Other,,1,Demolition,0.0,2_5,,2025-08-05T00:00:00.000,TA
B01028510,618,,Prospect Lefferts Gardens-Wingate,17.0,71.0,,15.0,1 Family,,3,Alteration,1.0,17_2,,,
Q00478037,264-35,,Douglaston-Little Neck,26.0,111.0,,14.0,1 Family,,4,Alteration,1.0,26_3,2023.0,,
B01106463,3101,,East Flatbush-Erasmus,61.0,67.0,,15.0,2 Family,,3,Alteration,2.0,17_3,,,
B01200414,35,,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,14.0,76.0,,11.0,1 Family,,3,Alteration,1.0,15_3,,,
M00948794,203,,Harlem (North),18.0,32.0,,3.0,Other,,1,Alteration,9.0,5_1,,,
B00846794,1206,,Midwood,60.0,70.0,,15.0,1 Family,,3,Alteration,1.0,22_1,,2023-06-07T00:00:00.000,
B00807217,8303,,Dyker Heights,10.0,68.0,0.0,8.0,Other,,3,New Building,11.0,20_2,2024.0,2023-08-29T00:00:00.000,
B00849187,300,,East Williamsburg,36.0,90.0,,11.0,Other,1.0,3,Alteration,6.0,14_2,,,
B01060252,83,Empty Site,East New York-City Line,45.0,75.0,,15.0,2 Family,,3,Demolition,0.0,19_2,,,
B00969633,44,,Bath Beach,1.0,62.0,0.0,8.0,2 Family,,3,New Building,2.0,20_2,,,
M00599497,533,,SoHo-Little Italy-Hudson Square,57.0,1.0,,1.0,Other,1.0,1,Alteration,9.0,2_2,,,
Q00505434,17-33,,Whitestone-Beechhurst,22.0,109.0,,14.0,2 Family,,4,Alteration,2.0,25_1,2022.0,,
B00966290,540,,Bedford-Stuyvesant (West),69.0,79.0,0.0,11.0,2 Family,,3,New Building,2.0,14_1,,,
320491115,1223,Residential: 3 or More Units (R-2),Bushwick (East),42.0,83.0,0.0,15.0,C7,,3,New Building,7.0,32_1,2016.0,2013-09-27T00:00:00.000,
B00960234,269,,Bedford-Stuyvesant (East),69.0,81.0,0.0,15.0,Other,,3,New Building,7.0,16_1,,2024-12-06T00:00:00.000,
B00954591,269,,Brooklyn Heights,68.0,84.0,0.0,11.0,Other,,3,Alteration,10.0,15_3,,2024-08-06T00:00:00.000,
121325832,116,Residential: 1-2 Family Houses (R-3),Harlem (North),18.0,28.0,0.0,6.0,R0,,1,New Building,2.0,5_1,,,
210178216,1008,Residential: 3 or More Units (R-2),Highbridge,50.0,44.0,0.0,6.0,C1,,2,New Building,7.0,9_1,,,
B00768789,1582,,Bushwick (West),42.0,83.0,,11.0,Other,,3,Alteration,7.0,32_2,,2023-04-05T00:00:00.000,
320460069,73,Residential: 1-2 Family Houses (R-3),Bath Beach,1.0,62.0,0.0,8.0,B3,,3,New Building,2.0,20_2,2014.0,2012-08-16T00:00:00.000,
B00806958,196,,Bedford-Stuyvesant (West),69.0,79.0,0.0,11.0,3 Family,,3,New Building,3.0,13_3,2024.0,2023-05-24T00:00:00.000,
310187213,631,Assembly: Other (A-3),South Williamsburg,36.0,90.0,,11.0,M9,,3,Alteration,2.0,14_1,,,
B01197727,1062,,Dyker Heights,10.0,68.0,,8.0,Other,,3,Alteration,10.0,20_2,,,
321383276,561,Residential: 3 or More Units (R-2),Greenpoint,36.0,94.0,0.0,11.0,V1,,3,New Building,8.0,14_3,,2023-12-05T00:00:00.000,
B01203899,643,,Sunset Park (Central),9.0,72.0,,8.0,Other,,3,Alteration,4.0,15_1,,,
M00580473,509,,Hell's Kitchen,12.0,18.0,0.0,3.0,Other,,1,New Building,158.0,2_3,,2024-01-05T00:00:00.000,CL
M00558120,265,,Chinatown-Two Bridges,70.0,7.0,0.0,1.0,Other,1.0,1,New Building,1313.0,1_1,,2022-04-12T00:00:00.000,
B01097709,340,,Sunset Park (West),9.0,72.0,,8.0,Other,,3,Alteration,6.0,15_1,,,
M00670804,38,,Upper East Side-Carnegie Hill,23.0,19.0,0.0,3.0,1 Family,,1,Alteration,1.0,2_5,,2023-03-15T00:00:00.000,
B00825484,2944,,Brighton Beach,21.0,60.0,0.0,8.0,2 Family,1.0,3,New Building,2.0,21_1,,,OP
210182489,1270,Residential: 3 or More Units (R-2),Morrisania,34.0,42.0,0.0,6.0,A1,,2,New Building,26.0,9_4,,,
B01186082,860,,Dyker Heights,10.0,68.0,,8.0,1 Family,,3,Alteration,1.0,20_1,,,
321993438,453,Residential: 3 or More Units (R-2),East New York (North),45.0,75.0,0.0,15.0,V1,,3,New Building,10.0,19_2,,,MIH
Q00802856,760,,Far Rockaway-Bayswater,51.0,101.0,0.0,13.0,1 Family,,4,New Building,1.0,27_1,,2023-05-09T00:00:00.000,
B00781447,370,,Downtown Brooklyn-DUMBO-Boerum Hill,68.0,84.0,0.0,11.0,Other,,3,New Building,144.0,15_3,,2025-03-06T00:00:00.000,DB
121186037,409,Residential: 3 or More Units (R-2),Hell's Kitchen,12.0,18.0,0.0,3.0,D1,,1,New Building,7.0,2_3,2017.0,2015-06-05T00:00:00.000,
110315267,45,"Residential: Hotels, Dormitories (R-1)",Midtown South-Flatiron-Union Square,11.0,14.0,0.0,3.0,R0,,1,New Building,300.0,2_4,,,
M00723130,27,,Tribeca-Civic Center,56.0,1.0,,1.0,Other,,1,Alteration,6.0,2_2,,2023-04-10T00:00:00.000,TMU
B01238024,1919,,Gravesend (West),1.0,62.0,,8.0,1 Family,,3,Alteration,1.0,21_2,,,
B01014620,273,,South Williamsburg,36.0,90.0,,11.0,Other,,3,Alteration,8.0,14_1,,,
Q00567930,106,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,51.0,100.0,0.0,13.0,1 Family,1.0,4,New Building,1.0,27_2,,2022-05-18T00:00:00.000,
B00960851,1320,,Canarsie,5.0,69.0,,15.0,2 Family,,3,Alteration,2.0,18_2,,2024-06-06T00:00:00.000,
S00966948,26,,Annadale-Huguenot-Prince's Bay-Woodrow,15.0,123.0,0.0,8.0,1 Family,,5,New Building,1.0,31_1,,,SRD
B00713932,279,,Williamsburg,36.0,90.0,,11.0,Other,,3,Alteration,7.0,14_3,2023.0,2023-01-18T00:00:00.000,
B00913651,844,,Sunset Park (East)-Borough Park (West),2.0,66.0,,8.0,Other,,3,Alteration,4.0,20_1,,,
321447467,55,Residential: 3 or More Units (R-2),Park Slope,14.0,78.0,,11.0,C5,,3,Alteration,6.0,13_1,,,
B00932176,195,,East New York-New Lots,45.0,75.0,,15.0,Other,,3,Alteration,63.0,19_3,2025.0,,
M01088441,199,Empty Site,East Harlem (North),7.0,23.0,,3.0,Other,,1,Demolition,0.0,4_1,2024.0,2024-12-03T00:00:00.000,EHC
B00651570,218,,Downtown Brooklyn-DUMBO-Boerum Hill,68.0,84.0,0.0,11.0,Other,,3,New Building,218.0,13_2,2024.0,2022-04-04T00:00:00.000,
Q00478347,149-53,,Ozone Park,62.0,106.0,0.0,13.0,2 Family,,4,New Building,2.0,27_4,2023.0,2021-12-15T00:00:00.000,
M01090928,312,,Harlem (South),18.0,28.0,,3.0,Other,,1,Alteration,59.0,3_2,,,
Q00517904,106-11,,South Jamaica,41.0,103.0,0.0,13.0,Other,,4,New Building,1.0,28_1,,,
B01018413,84,,Bushwick (West),42.0,83.0,,15.0,2 Family,,3,Alteration,2.0,32_1,,,
B01167086,843,,Midwood,60.0,70.0,,15.0,1 Family,,3,Alteration,1.0,21_3,,,
Q00583565,632,,Rockaway Beach-Arverne-Edgemere,51.0,100.0,0.0,13.0,2 Family,1.0,4,New Building,2.0,27_1,2023.0,,
S00974213,130,,Westerleigh-Castleton Corners,4.0,121.0,,8.0,2 Family,,5,Alteration,2.0,31_4,,,
Q00545935,166-32,,Bay Terrace-Clearview,22.0,109.0,,14.0,2 Family,,4,Alteration,2.0,25_1,2024.0,2022-06-09T00:00:00.000,
B01151113,48,,Downtown Brooklyn-DUMBO-Boerum Hill,68.0,84.0,0.0,11.0,Other,,3,New Building,99.0,15_3,,,DB
322087790,107,Empty Site,Bushwick (East),42.0,83.0,,15.0,D3,,3,Demolition,0.0,32_1,2023.0,2023-06-15T00:00:00.000,
B01156400,485,,Williamsburg,36.0,90.0,0.0,11.0,2 Family,,3,New Building,2.0,14_3,,2025-02-25T00:00:00.000,
B08036378,407,,East New York (North),45.0,75.0,0.0,15.0,3 Family,,3,New Building,3.0,19_2,,,
M00913220,54,Empty Site,East Village,70.0,9.0,,1.0,Other,,1,Demolition,0.0,1_3,2024.0,2024-11-04T00:00:00.000,
B00760057,264,,South Williamsburg,36.0,90.0,,11.0,2 Family,,3,Alteration,2.0,14_1,,2022-06-30T00:00:00.000,
M01019087,12$,,Midtown South-Flatiron-Union Square,11.0,13.0,,1.0,Other,,1,Alteration,1.0,2_3,,,
210178314,627,Residential: 3 or More Units (R-2),Hunts Point,8.0,41.0,0.0,6.0,C1,,2,New Building,8.0,8_1,2020.0,2019-05-13T00:00:00.000,
320726924,8757,Empty Site,Bath Beach,1.0,62.0,,8.0,C0,,3,Demolition,0.0,20_2,2013.0,2013-06-05T00:00:00.000,
M00987375,309,,Upper West Side (Central),20.0,20.0,,3.0,Other,,1,Alteration,9.0,3_1,,,
Q00500746,25-57,,Astoria (East)-Woodside (North),39.0,114.0,0.0,14.0,3 Family,,4,New Building,3.0,30_2,2022.0,2022-01-20T00:00:00.000,
B00673634,237,,Greenpoint,36.0,94.0,0.0,11.0,Other,,3,New Building,70.0,14_3,2025.0,2022-05-26T00:00:00.000,
320894751,1608,Residential: 3 or More Units (R-2),Flatbush,60.0,70.0,0.0,15.0,D3,,3,New Building,12.0,22_1,2015.0,2014-05-19T00:00:00.000,
M00952100,166,,Upper West Side-Lincoln Square,20.0,20.0,,3.0,Other,,1,Alteration,47.0,3_1,,,
B01053863,111,,Williamsburg,36.0,90.0,0.0,11.0,Other,,3,New Building,23.0,14_3,,,
Q00708811,90-31,,Elmhurst,66.0,110.0,,14.0,Other,,4,Alteration,60.0,24_1,,,
123198351,261,Residential: 3 or More Units (R-2),Gramercy,71.0,13.0,,1.0,C7,,1,Alteration,8.0,2_4,,,
201037617,1993,Residential: 3 or More Units (J-0),Tremont,35.0,48.0,0.0,7.0,C0,,2,New Building,3.0,10_3,2011.0,2006-06-26T00:00:00.000,
Q00508108,14-21,,College Point,22.0,109.0,,14.0,1 Family,,4,Alteration,1.0,25_1,2023.0,,
Q00753233,118-24,,Cambria Heights,63.0,105.0,,13.0,1 Family,,4,Alteration,1.0,29_2,,,
M01015398,312,,Upper West Side (Central),20.0,20.0,,3.0,2 Family,,1,Alteration,2.0,3_1,,2024-07-12T00:00:00.000,
B01043133,239,,Bedford-Stuyvesant (West),69.0,79.0,,11.0,2 Family,,3,Alteration,2.0,13_3,2025.0,2024-10-07T00:00:00.000,
B01144775,124,,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,32.0,61.0,0.0,8.0,1 Family,1.0,3,New Building,1.0,22_3,,2025-07-30T00:00:00.000,
B00820752,139,,Cypress Hills,45.0,75.0,,15.0,3 Family,,3,Alteration,3.0,19_1,,,
322091847,634 REAR,Empty Site,East Flatbush-Farragut,61.0,67.0,,15.0,C1,,3,Demolition,0.0,22_1,,2021-06-04T00:00:00.000,
Q00482674,62-26,,Rockaway Beach-Arverne-Edgemere,51.0,100.0,0.0,13.0,2 Family,1.0,4,New Building,2.0,27_1,2022.0,,
Q00509157,149-56,,Ozone Park,62.0,106.0,0.0,13.0,2 Family,,4,New Building,2.0,27_4,2022.0,2021-07-28T00:00:00.000,
321588055,831,Residential: 3 or More Units (R-2),Bushwick (West),42.0,83.0,0.0,11.0,V0,,3,New Building,7.0,32_2,,2022-06-13T00:00:00.000,
X00515857,2183,,Fordham Heights,6.0,46.0,0.0,7.0,Other,,2,New Building,60.0,10_4,2024.0,2022-04-14T00:00:00.000,
M01096340,241,,Harlem (North),18.0,32.0,0.0,3.0,3 Family,,1,Alteration,3.0,5_1,,2025-07-17T00:00:00.000,
120808812,26,Residential: 3 or More Units (R-2),East Village,70.0,9.0,0.0,1.0,R0,,1,New Building,5.0,1_3,2017.0,2012-10-05T00:00:00.000,
B01225450,702,,Prospect Heights,16.0,77.0,,11.0,2 Family,,3,Alteration,2.0,13_1,,,
M01212910,1143,,Upper East Side-Carnegie Hill,23.0,19.0,,3.0,Other,,1,Alteration,1.0,2_5,,,PI
B01028713,970,,Canarsie,5.0,69.0,0.0,15.0,3 Family,,3,New Building,2.0,18_2,,,
M00694856,56,,Kingsbridge-Marble Hill,48.0,50.0,0.0,7.0,Other,,1,New Building,36.0,10_1,,2022-06-15T00:00:00.000,
B01147007,395,,East New York (North),45.0,75.0,0.0,15.0,3 Family,,3,New Building,3.0,19_2,,,
Q00478390,45-63,,Bayside,26.0,111.0,,14.0,2 Family,,4,Alteration,2.0,26_2,2024.0,2022-01-27T00:00:00.000,
B01141262,1083,,Mapleton-Midwood (West),2.0,66.0,,15.0,1 Family,,3,Alteration,1.0,21_3,,,OP
B00688296,373,,Bushwick (West),42.0,83.0,,11.0,Other,,3,Alteration,9.0,32_2,2023.0,2023-03-17T00:00:00.000,
B01068424,175,,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,14.0,78.0,,11.0,3 Family,,3,Alteration,3.0,15_3,,2025-04-30T00:00:00.000,
B01089265,167,Empty Site,Greenpoint,36.0,94.0,,11.0,1 Family,,3,Demolition,0.0,14_3,,,
B01081973,417,,Park Slope,14.0,78.0,,11.0,2 Family,,3,Alteration,2.0,15_2,,,
M00749692,779,,Washington Heights (South),47.0,33.0,,7.0,Other,,1,Alteration,92.0,6_2,,,
140967746,!37,Residential: 1-2 Family Houses (R-3),West Village,57.0,6.0,,1.0,C3,,1,Alteration,1.0,2_2,,2021-12-16T00:00:00.000,
B08005429,836,,East Flatbush-Farragut,61.0,67.0,0.0,15.0,Other,,3,New Building,8.0,22_1,,2024-04-05T00:00:00.000,
M00729758,447,,Washington Heights (South),47.0,33.0,0.0,7.0,2 Family,,1,Alteration,2.0,6_2,,2023-05-09T00:00:00.000,
B00737801,125,,Williamsburg,36.0,90.0,,11.0,Other,,3,Alteration,4.0,14_3,,,
B00764099,196,,Park Slope,14.0,78.0,,11.0,2 Family,,3,Alteration,2.0,13_1,,2024-11-08T00:00:00.000,
421337217,211-40,Residential: 3 or More Units (R-2),Bay Terrace-Clearview,22.0,109.0,,14.0,D4,,4,Alteration,60.0,25_1,,,
B00798191,1676,,Borough Park,2.0,66.0,0.0,8.0,1 Family,,3,New Building,1.0,20_3,,2023-03-14T00:00:00.000,
M00957673,666,,Washington Heights (North),47.0,34.0,,7.0,Other,,1,Alteration,88.0,6_1,,,
Q00489969,26-17,,Old Astoria-Hallets Point,39.0,114.0,0.0,14.0,3 Family,,4,New Building,3.0,30_3,2024.0,,
Q00510375,34-20,,Jackson Heights,65.0,115.0,,14.0,Other,,4,Alteration,60.0,30_1,,,
B00929785,1863,,Borough Park,2.0,66.0,,8.0,3 Family,,3,Alteration,3.0,21_3,,2024-01-19T00:00:00.000,
200862316,112,Residential: 1-2 Family Houses (J-3),Soundview-Clason Point,58.0,43.0,0.0,6.0,V0,1.0,2,New Building,2.0,8_2,,2014-09-11T00:00:00.000,
B00847301,1118,,East Flatbush-Erasmus,61.0,67.0,,15.0,Other,,3,Alteration,8.0,22_1,2025.0,2024-03-21T00:00:00.000,
S00770077,305,,Port Richmond,4.0,121.0,,8.0,2 Family,,5,Alteration,2.0,31_4,,,
B01133689,5901,,Sunset Park (Central),9.0,72.0,,8.0,Other,,3,Alteration,4.0,20_1,,,
Q00509768,106-43,,South Jamaica,41.0,103.0,,13.0,3 Family,,4,Alteration,3.0,28_1,,,
B01138866,1892,,Gravesend (East)-Homecrest,32.0,61.0,,15.0,1 Family,,3,Alteration,1.0,21_2,,2025-01-09T00:00:00.000,OP
220326751,202,Residential: 3 or More Units (R-2),Wakefield-Woodlawn,29.0,47.0,,7.0,B9,,2,Alteration,3.0,11_2,,,
M00522293,259,,Chinatown-Two Bridges,70.0,7.0,0.0,1.0,Other,1.0,1,New Building,666.0,1_1,,2022-04-06T00:00:00.000,
210069432,601,Residential: 3 or More Units (R-2),Melrose,49.0,40.0,0.0,6.0,R0,,2,New Building,78.0,7_3,2011.0,2009-02-20T00:00:00.000,
M00681817,216,,East Midtown-Turtle Bay,71.0,17.0,,3.0,1 Family,,1,Alteration,1.0,2_4,,2023-10-17T00:00:00.000,
B01038287,287,,Sunset Park (West),9.0,72.0,0.0,11.0,3 Family,,3,New Building,3.0,15_2,,2025-04-24T00:00:00.000,
B01175942,2222,,Marine Park-Mill Basin-Bergen Beach,5.0,63.0,0.0,15.0,2 Family,1.0,3,New Building,2.0,22_2,,,
B01012866,2703,,Gravesend (South),21.0,60.0,0.0,8.0,3 Family,1.0,3,New Building,3.0,21_2,,2025-08-06T00:00:00.000,
M01134757,2060,,East Harlem (North),7.0,25.0,0.0,3.0,Other,,1,New Building,73.0,5_1,,,125TH
B00742434,58,,Greenpoint,36.0,94.0,0.0,11.0,Other,,3,New Building,4.0,14_3,2024.0,2022-09-28T00:00:00.000,
B01201735,1314,,Borough Park,2.0,66.0,0.0,8.0,Other,,3,New Building,5.0,20_3,,,
B00670903,1548,,Borough Park,2.0,66.0,0.0,11.0,Other,,3,New Building,4.0,20_3,2025.0,2023-01-30T00:00:00.000,
Q01180517,161,,Far Rockaway-Bayswater,51.0,101.0,0.0,13.0,2 Family,1.0,4,New Building,2.0,27_1,,,
X00714072,966,,Longwood,8.0,41.0,,6.0,Other,,2,Alteration,6.0,12_2,2023.0,2022-11-03T00:00:00.000,
B08052841,150,,Bushwick (West),42.0,83.0,,11.0,Other,,3,Alteration,4.0,32_2,,,
320912624,11,Residential: 3 or More Units (R-2),Bushwick (West),42.0,83.0,0.0,11.0,V0,,3,New Building,5.0,32_2,,,
M00599489,405,,Inwood,47.0,34.0,0.0,7.0,Other,,1,New Building,224.0,6_1,2025.0,2022-05-11T00:00:00.000,IN
B00843630,457,,Crown Heights (North),16.0,77.0,,11.0,Other,,3,Alteration,10.0,17_1,,2023-07-07T00:00:00.000,
201050414,614,Residential: 3 or More Units (J-0),Melrose,49.0,40.0,0.0,6.0,C0,,2,New Building,3.0,7_3,2012.0,2008-05-30T00:00:00.000,
B01078563,1640,,Mapleton-Midwood (West),2.0,66.0,,15.0,Other,,3,Alteration,0.0,21_3,,,OP
B01077912,178,,Bedford-Stuyvesant (West),69.0,79.0,0.0,11.0,Other,,3,New Building,7.0,14_1,,2025-01-22T00:00:00.000,
M00617738,104,,Upper West Side-Lincoln Square,20.0,20.0,,3.0,Other,,1,Alteration,85.0,3_1,,,
B00805594,1482,,East Flatbush-Farragut,61.0,67.0,0.0,15.0,Other,,3,New Building,9.0,22_1,,2023-07-05T00:00:00.000,
M01148437,189,,Chinatown-Two Bridges,70.0,7.0,,1.0,Other,,1,Alteration,8.0,2_1,,,
Q01145359,688,Empty Site,Ridgewood,54.0,104.0,,14.0,2 Family,,4,Demolition,0.0,24_4,,2025-03-26T00:00:00.000,
B00752833,229,,East Williamsburg,36.0,90.0,,11.0,2 Family,,3,Alteration,2.0,14_2,,2022-10-05T00:00:00.000,
420331420,65-32,Residential: 3 or More Units (R-2),Woodside,53.0,108.0,0.0,14.0,V0,,4,New Building,14.0,30_2,,,
B01194236,202,,Williamsburg,36.0,94.0,,11.0,Other,,3,Alteration,2.0,14_3,,2025-08-26T00:00:00.000,
B01199719,134,,Bedford-Stuyvesant (West),69.0,79.0,,11.0,2 Family,,3,Alteration,2.0,13_3,,,
M01141962,1,,,,,,,3 Family,,1,Alteration,70.0,,,,
X00824559,512,,Morrisania,34.0,42.0,,6.0,Other,,2,Alteration,16.0,8_1,,,
Q01211806,175,,Far Rockaway-Bayswater,51.0,101.0,0.0,13.0,2 Family,1.0,4,New Building,2.0,27_1,,,
S01212154,@465,,Westerleigh-Castleton Corners,4.0,121.0,0.0,8.0,2 Family,,5,New Building,2.0,31_4,,2025-07-31T00:00:00.000,
B00662428,447,,Park Slope,14.0,78.0,,11.0,1 Family,,3,Alteration,1.0,15_2,2024.0,2022-09-13T00:00:00.000,
X00599806,2769,,Bedford Park,24.0,52.0,0.0,7.0,Other,,2,New Building,44.0,10_2,2024.0,2022-05-31T00:00:00.000,
X00981171,1661,,Pelham Parkway-Van Nest,59.0,49.0,0.0,7.0,3 Family,,2,New Building,3.0,11_1,,,
123325687,427,Residential: 3 or More Units (R-2),Upper East Side-Yorkville,23.0,19.0,0.0,3.0,R0,,1,New Building,21.0,2_5,2021.0,2018-06-14T00:00:00.000,
320934968,982,Residential: 3 or More Units (R-2),Flatlands,5.0,63.0,,15.0,S2,,3,Alteration,3.0,22_1,,,
B00707948,1125,,Bushwick (West),42.0,83.0,,11.0,Other,,3,Alteration,7.0,32_1,,2022-06-09T00:00:00.000,
B01210811,8313,,Gravesend (West),1.0,62.0,,8.0,Other,,3,Alteration,59.0,21_2,,2025-08-19T00:00:00.000,
M00622867,240,,West Village,57.0,6.0,,1.0,1 Family,,1,Alteration,1.0,2_2,2024.0,2022-07-01T00:00:00.000,
B01174645,937,,Bedford-Stuyvesant (West),69.0,79.0,,11.0,Other,,3,Alteration,4.0,13_3,,,
B00864377,575,,East New York (North),45.0,75.0,0.0,15.0,2 Family,,3,New Building,2.0,19_2,,,
B01200101,984,,Bedford-Stuyvesant (West),69.0,79.0,,11.0,Other,,3,Alteration,2.0,13_3,,,
B01202867,5117,,Sunset Park (Central),9.0,72.0,,8.0,Other,,3,Alteration,4.0,15_1,,,
Q00977014,28-08,,Old Astoria-Hallets Point,39.0,114.0,0.0,14.0,Other,,4,New Building,25.0,30_3,,,
B00653652,134,,Clinton Hill,68.0,88.0,0.0,11.0,Other,,3,New Building,6.0,13_2,2025.0,2022-05-05T00:00:00.000,
B01205632,373,,Park Slope,14.0,78.0,,11.0,Other,,3,Alteration,4.0,15_2,,,
B00901987,1403,,Flatlands,5.0,63.0,0.0,15.0,2 Family,,3,Alteration,2.0,22_2,,,
B01147777,429,,Ocean Hill,55.0,73.0,,15.0,2 Family,,3,Alteration,2.0,16_1,,2025-08-15T00:00:00.000,
121115177,158,Residential: 3 or More Units (R-2),Gramercy,71.0,13.0,,1.0,C6,,1,Alteration,5.0,2_4,,,
B00914765,67,,East Williamsburg,36.0,90.0,0.0,11.0,Other,,3,New Building,6.0,14_2,,2024-02-15T00:00:00.000,
B01089688,%600,,Bedford-Stuyvesant (West),69.0,79.0,,11.0,2 Family,,3,Alteration,2.0,13_3,,2025-05-21T00:00:00.000,
200996137,1424,Residential: 3 or More Units (J-2),Westchester Square,43.0,45.0,0.0,6.0,D1,,2,New Building,84.0,11_1,2010.0,2005-11-04T00:00:00.000,
B01092358,183,Empty Site,East Williamsburg,36.0,94.0,,11.0,1 Family,,3,Demolition,0.0,14_2,2025.0,2025-03-07T00:00:00.000,
B00899914,823,,Prospect Lefferts Gardens-Wingate,17.0,71.0,0.0,15.0,Other,,3,New Building,17.0,17_2,,2025-07-21T00:00:00.000,
B00937881,483,Empty Site,Bedford-Stuyvesant (West),69.0,79.0,,11.0,1 Family,,3,Demolition,0.0,13_3,2024.0,2024-10-16T00:00:00.000,
B00767767,167,,Greenpoint,36.0,94.0,,11.0,3 Family,,3,Alteration,3.0,14_3,,2023-05-03T00:00:00.000,
Q08050460,150-21,,South Ozone Park,62.0,106.0,,13.0,2 Family,,4,Alteration,2.0,27_3,,,
M01077201,2459,,Harlem (North),18.0,32.0,,3.0,Other,,1,Alteration,8.0,5_1,,,
M08050063,313,,East Midtown-Turtle Bay,71.0,17.0,,3.0,Other,,1,Alteration,1.0,2_4,,,TA
