bin,borough,queens_cooperatives_comparable_properties_gross_income_per_sqft,comparable_rental_2_neighborhood,comparable_rental_1_est_gross_income,queens_cooperatives_comparable_properties_building_classification,comparable_rental_1_gross_sqft,queens_cooperatives_comparable_properties_year_built,comparable_rental_2_building_classification
411384100.00%,4,13.5,FLUSHING-NORTH,932434,D4-ELEVATOR,74032,1962,D1-ELEVATOR
4443759.0,4,14.57,BAYSIDE,2134727,D4-ELEVATOR,146525,1961,D3-ELEVATOR
,4,14.1,FOREST HILLS,1600499,D4-ELEVATOR,97200,1949,D1-ELEVATOR
,4,8.92,FAR ROCKAWAY,793994,D4-ELEVATOR,73500,1941,D1-ELEVATOR
,4,10.84,JACKSON HEIGHTS,86578,C6-WALK-UP,10208,1920,C1-WALK-UP
4453850.0,4,13.7,KEW GARDENS,1915664,D4-ELEVATOR,140196,1955,D1-ELEVATOR
,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1958,D1-ELEVATOR
,4,12.75,ELMHURST,192140,C6-WALK-UP,15752,1921,C1-WALK-UP
4075144.0,4,15.4,REGO PARK,26595320,D4-ELEVATOR,1741458,1966,D3-ELEVATOR
,4,9.19,RIDGEWOOD,235000,C6-WALK-UP,15976,1921,C1-WALK-UP
4076012.0,4,15.4,REGO PARK,26595320,D4-ELEVATOR,1741458,1967,D3-ELEVATOR
4114755.0,4,15.5,FLUSHING-NORTH,413000,D4-ELEVATOR,26522,1951,D1-ELEVATOR
,4,15.8,ASTORIA,716762,C6-WALK-UP,45417,1931,C9-WALK-UP
4454864.0,4,13.63,FLUSHING-NORTH,235000,C6-WALK-UP,17213,1952,C1-WALK-UP
4459039.0,4,12.15,FLUSHING-NORTH,393110,C6-WALK-UP,40800,1951,C1-WALK-UP
4072078.0,4,14.4,REGO PARK,2157611,D4-ELEVATOR,144444,1956,D7-ELEVATOR
,4,14.41,JACKSON HEIGHTS,626972,D4-ELEVATOR,30618,1962,D3-ELEVATOR
4051481.0,4,14.0,FOREST HILLS,673213,D4-ELEVATOR,49664,1931,D1-ELEVATOR
4119911.0,4,13.25,FLUSHING-NORTH,235000,C6-WALK-UP,17213,1950,C1-WALK-UP
,4,10.5,JACKSON HEIGHTS,643345,D4-ELEVATOR,48300,1955,D1-ELEVATOR
,4,12.75,ELMHURST,192140,C6-WALK-UP,15752,1921,C1-WALK-UP
,4,12.64,SUNNYSIDE,382283,D4-ELEVATOR,26100,1961,D1-ELEVATOR
4431974.0,4,14.1,FOREST HILLS,1600499,D4-ELEVATOR,97200,1949,D1-ELEVATOR
4050657.0,4,14.0,FOREST HILLS,1600499,D4-ELEVATOR,97200,1947,D1-ELEVATOR
4112570.0,4,13.75,FLUSHING-NORTH,932434,D4-ELEVATOR,74032,1960,D1-ELEVATOR
,4,15.9,SUNNYSIDE,1219183,D4-ELEVATOR,76630,1932,D1-ELEVATOR
443156500.00%,4,13.3,FLUSHING-NORTH,4840000,D4-ELEVATOR,317277,1953,D7-ELEVATOR
4064929.0,4,12.6,KEW GARDENS,666174,D4-ELEVATOR,53250,1959,D1-ELEVATOR
4208486.0,4,10.9,KEW GARDENS,1006738,D4-ELEVATOR,92000,1948,D1-ELEVATOR
,4,16.0,FOREST HILLS,935938,D4-ELEVATOR,52800,1958,D1-ELEVATOR
,4,8.98,JACKSON HEIGHTS,680016,D4-ELEVATOR,60000,1939,D1-ELEVATOR
,4,10.84,JACKSON HEIGHTS,86578,C6-WALK-UP,10208,1917,C1-WALK-UP
4137452.0,4,15.31,ELMHURST,626972,D4-ELEVATOR,30618,1963,D1-ELEVATOR
4450092.0,4,14.57,BAYSIDE,2134727,D4-ELEVATOR,146525,1960,D3-ELEVATOR
407461400.00%,4,15.4,REGO PARK,26595320,D4-ELEVATOR,1741458,1962,D3-ELEVATOR
4072144.0,4,15.4,REGO PARK,3909882,D4-ELEVATOR,275197,1941,D3-ELEVATOR
4114278.0,4,13.0,FLUSHING-NORTH,886397,D4-ELEVATOR,68257,1935,D1-ELEVATOR
,4,15.91,SUNNYSIDE,483321,D4-ELEVATOR,40800,1928,D1-ELEVATOR
,4,11.82,SPRINGFIELD GARDENS,332312,C6-WALK-UP,28116,1958,C9-WALK-UP
,4,12.75,ELMHURST,192140,C6-WALK-UP,15752,1921,C1-WALK-UP
,4,10.84,RIDGEWOOD,235000,C6-WALK-UP,15976,1921,C1-WALK-UP
4192903.0,4,14.0,KEW GARDENS,1576450,D4-ELEVATOR,102500,1961,D1-ELEVATOR
4444171.0,4,13.0,FLUSHING-NORTH,596412,C6-WALK-UP,44100,1950,C1-WALK-UP
4431969.0,4,14.1,FOREST HILLS,1600499,D4-ELEVATOR,97200,1949,D1-ELEVATOR
4052786.0,4,13.0,FOREST HILLS,569552,D4-ELEVATOR,49000,1960,D1-ELEVATOR
4113262.0,4,11.0,FLUSHING-NORTH,2691386,D4-ELEVATOR,261919,1959,D1-ELEVATOR
4035443.0,4,12.3,JACKSON HEIGHTS,579491,D4-ELEVATOR,46854,1930,D1-ELEVATOR
,4,13.7,KEW GARDENS,1702787,D4-ELEVATOR,124343,1935,D1-ELEVATOR
,4,12.97,FAR ROCKAWAY,4256300,D4-ELEVATOR,155000,1962,D7-ELEVATOR
4213038.0,4,11.8,JAMAICA,1178683,D4-ELEVATOR,100947,1960,D1-ELEVATOR
4434846.0,4,11.82,SPRINGFIELD GARDENS,332312,D4-ELEVATOR,28116,1962,C9-WALK-UP
4454129.0,4,12.0,FLUSHING-SOUTH,115233,C6-WALK-UP,12580,1952,C9-WALK-UP
4051520.0,4,12.0,REGO PARK,1137494,D4-ELEVATOR,90500,1963,D1-ELEVATOR
,4,13.0,JACKSON HEIGHTS,269693,C6-WALK-UP,20750,1922,C1-WALK-UP
4539430.0,4,11.5,REGO PARK,26595320,D4-ELEVATOR,1741458,1952,D1-ELEVATOR
4447971.0,4,12.0,BAYSIDE,393110,C6-WALK-UP,40800,1948,C1-WALK-UP
4079667.0,4,15.8,FOREST HILLS,1418367,D4-ELEVATOR,95644,1974,D1-ELEVATOR
4304908.0,4,14.04,FAR ROCKAWAY,3013652,D4-ELEVATOR,214701,1963,D1-ELEVATOR
,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1958,D1-ELEVATOR
4166895.0,4,13.2,JAMAICA,886397,D4-ELEVATOR,68257,1964,D1-ELEVATOR
,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1958,D1-ELEVATOR
4434873.0,4,11.82,KEW GARDENS,930577,D4-ELEVATOR,82500,1964,D1-ELEVATOR
,4,15.62,WOODSIDE,349940,C6-WALK-UP,22410,1926,C1-WALK-UP
4075055.0,4,15.3,REGO PARK,940500,D4-ELEVATOR,73620,1948,D1-ELEVATOR
4007116.0,4,13.54,,744498,D4-ELEVATOR,48000,1939,
,4,10.84,JACKSON HEIGHTS,86578,C6-WALK-UP,10208,1920,C1-WALK-UP
4440833.0,4,14.62,FLUSHING-NORTH,282936,C6-WALK-UP,19489,1957,C1-WALK-UP
4444179.0,4,13.0,FLUSHING-NORTH,596412,C6-WALK-UP,44100,1950,C1-WALK-UP
4050956.0,4,12.6,REGO PARK,1137494,D4-ELEVATOR,90500,1951,D1-ELEVATOR
,4,21.67,ELMHURST,626972,D4-ELEVATOR,30618,1962,D1-ELEVATOR
4113042.0,4,14.0,FLUSHING-NORTH,932434,D4-ELEVATOR,74032,1967,D1-ELEVATOR
4210603.0,4,11.8,JAMAICA,1178683,D4-ELEVATOR,100947,1958,D1-ELEVATOR
,4,13.0,JACKSON HEIGHTS,643345,D4-ELEVATOR,48300,1952,D1-ELEVATOR
4208864.0,4,11.8,JAMAICA,1178683,D4-ELEVATOR,100947,1961,D1-ELEVATOR
4445147.0,4,12.5,FLUSHING-NORTH,596412,C6-WALK-UP,44100,1950,C1-WALK-UP
4443883.0,4,14.52,FLUSHING-NORTH,282936,C6-WALK-UP,19489,1952,C1-WALK-UP
4078004.0,4,15.8,REGO PARK,1783961,D4-ELEVATOR,112800,1939,D3-ELEVATOR
4037316.0,4,12.3,JACKSON HEIGHTS,579491,D4-ELEVATOR,46854,1939,D1-ELEVATOR
4113180.0,4,11.1,FLUSHING-NORTH,648977,D4-ELEVATOR,59100,1937,D1-ELEVATOR
,4,14.0,FLUSHING-NORTH,527997,C6-WALK-UP,31680,1940,C1-WALK-UP
,4,14.0,FLUSHING-NORTH,932434,D4-ELEVATOR,74032,1963,D1-ELEVATOR
4079530.0,4,13.7,KEW GARDENS,892598,D4-ELEVATOR,70059,1966,D1-ELEVATOR
,4,14.1,FOREST HILLS,1600499,D4-ELEVATOR,97200,1942,D1-ELEVATOR
,4,16.41,ASTORIA,349940,C6-WALK-UP,22410,1927,C1-WALK-UP
4051529.0,4,12.0,REGO PARK,1137494,D4-ELEVATOR,90500,1956,D1-ELEVATOR
4072064.0,4,13.9,REGO PARK,699362,D4-ELEVATOR,52080,1930,D7-ELEVATOR
4113143.0,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1962,D1-ELEVATOR
4078801.0,4,15.8,REGO PARK,1783961,D4-ELEVATOR,112800,1933,D3-ELEVATOR
4000969.0,4,16.0,SUNNYSIDE,1122870,D4-ELEVATOR,72700,1932,D1-ELEVATOR
4142266.0,4,11.9,BAYSIDE,150583,C6-WALK-UP,10500,1949,C1-WALK-UP
4455175.0,4,14.52,FLUSHING-NORTH,282936,C6-WALK-UP,19489,1958,C1-WALK-UP
4144767.0,4,12.0,FLUSHING-NORTH,393110,C6-WALK-UP,40800,1949,C1-WALK-UP
4455010.0,4,12.75,FLUSHING-NORTH,150583,C6-WALK-UP,10500,1951,C1-WALK-UP
4072145.0,4,15.4,REGO PARK,26595320,D4-ELEVATOR,1741458,1952,D3-ELEVATOR
,4,11.7,FLUSHING-NORTH,393110,C6-WALK-UP,40800,1950,C1-WALK-UP
,4,14.5,FLUSHING-NORTH,4620453,D4-ELEVATOR,298620,1953,D7-ELEVATOR
4193459.0,4,11.0,JAMAICA,584966,D4-ELEVATOR,53200,1928,D1-ELEVATOR
,4,12.5,FLUSHING-NORTH,596412,C6-WALK-UP,44100,1950,C1-WALK-UP
406524800.00%,4,14.0,KEW GARDENS,528827,D4-ELEVATOR,37772,1964,D1-ELEVATOR
4113160.0,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1962,D1-ELEVATOR
4037153.0,4,13.0,ELMHURST,781531,D4-ELEVATOR,60000,1941,D1-ELEVATOR
4104167.0,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1958,D1-ELEVATOR
,4,10.84,JACKSON HEIGHTS,86578,C6-WALK-UP,10208,1917,C1-WALK-UP
,4,12.5,FLUSHING-NORTH,596412,C6-WALK-UP,44100,1950,C1-WALK-UP
,4,13.2,FLUSHING-NORTH,5208126,D4-ELEVATOR,470000,1956,D7-ELEVATOR
4431770.0,4,11.0,JACKSON HEIGHTS,1853290,D4-ELEVATOR,157692,1961,D1-ELEVATOR
4047257.0,4,12.0,CORONA,1853290,D4-ELEVATOR,157692,1964,D1-ELEVATOR
4435122.0,4,11.5,REGO PARK,2347652,D4-ELEVATOR,204340,1955,D1-ELEVATOR
4432081.0,4,16.1,FOREST HILLS,935938,D4-ELEVATOR,52800,1950,D1-ELEVATOR
4051134.0,4,12.0,REGO PARK,1137494,D4-ELEVATOR,90500,1955,D1-ELEVATOR
4460022.0,4,12.5,FLUSHING-NORTH,596412,C6-WALK-UP,44100,1949,C1-WALK-UP
4279082.0,4,11.82,SPRINGFIELD GARDENS,332312,C6-WALK-UP,28116,1950,C9-WALK-UP
,4,10.7,JACKSON HEIGHTS,1101205,D4-ELEVATOR,100000,1955,D1-ELEVATOR
,4,13.0,FLUSHING-NORTH,596412,C6-WALK-UP,44100,1950,C1-WALK-UP
4.0524270E+6,4,15.25,FOREST HILLS,872910,D4-ELEVATOR,64822,1949,D1-ELEVATOR
4434855.0,4,11.82,SPRINGFIELD GARDENS,332312,D4-ELEVATOR,28116,1960,C9-WALK-UP
4051478.0,4,11.75,KEW GARDENS,2347652,D4-ELEVATOR,204340,1949,D1-ELEVATOR
4457066.0,4,12.75,FLUSHING-SOUTH,115233,C6-WALK-UP,12580,1948,C9-WALK-UP
4207766.0,4,11.8,JAMAICA,939317,D4-ELEVATOR,79572,1961,D1-ELEVATOR
,4,8.98,JACKSON HEIGHTS,680016,D4-ELEVATOR,60000,1939,D1-ELEVATOR
4002131.0,4,15.0,SUNNYSIDE,975601,D4-ELEVATOR,61320,1942,D1-ELEVATOR
4113173.0,4,11.5,FLUSHING-NORTH,2691386,D4-ELEVATOR,261919,1959,D1-ELEVATOR
4459706.0,4,14.5,FLUSHING-NORTH,734536,C6-WALK-UP,51150,1952,C7-WALK-UP
4115401.0,4,12.4,FLUSHING-NORTH,2227799,D4-ELEVATOR,180882,1962,D1-ELEVATOR
,4,12.0,FLUSHING-NORTH,393110,C6-WALK-UP,40800,1950,C1-WALK-UP
4431751.0,4,12.75,FLUSHING-NORTH,2745542,D4-ELEVATOR,239600,1962,D7-ELEVATOR
,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1958,D1-ELEVATOR
4052585.0,4,14.0,REGO PARK,26595320,D4-ELEVATOR,1741458,1965,D1-ELEVATOR
4120088.0,4,13.19,FLUSHING-NORTH,198524,C6-WALK-UP,17850,1951,C1-WALK-UP
4038743.0,4,11.3,ELMHURST,757477,D4-ELEVATOR,65000,1953,D1-ELEVATOR
4007085.0,4,18.45,WOODSIDE,226262,C6-WALK-UP,13672,1928,C1-WALK-UP
,4,14.1,FOREST HILLS,1600499,D4-ELEVATOR,97200,1939,D1-ELEVATOR
,4,12.5,FLUSHING-NORTH,596412,C6-WALK-UP,44100,1950,C1-WALK-UP
,4,14.52,FLUSHING-NORTH,282936,C6-WALK-UP,19489,1952,C1-WALK-UP
406524200.00%,4,14.0,KEW GARDENS,528827,D4-ELEVATOR,37772,1963,D1-ELEVATOR
4051278.0,4,12.64,FOREST HILLS,935938,D4-ELEVATOR,52800,1949,D1-ELEVATOR
4451255.0,4,12.3,BAYSIDE,150583,C6-WALK-UP,10500,1937,C1-WALK-UP
4007112.0,4,12.64,SO. JAMAICA-BAISLEY PARK,8140602,D4-ELEVATOR,644035,1971,D3-ELEVATOR
,4,13.7,KEW GARDENS,1702787,D4-ELEVATOR,124343,1935,D1-ELEVATOR
4455192.0,4,14.52,FLUSHING-NORTH,282936,C6-WALK-UP,19489,1957,C1-WALK-UP
4435377.0,4,11.82,SPRINGFIELD GARDENS,332312,C6-WALK-UP,28116,1950,C9-WALK-UP
,4,12.2,QUEENS VILLAGE,590700,C6-WALK-UP,47776,1951,C9-WALK-UP
4454685.0,4,12.0,FLUSHING-SOUTH,115233,C6-WALK-UP,12580,1950,C9-WALK-UP
4456615.0,4,12.0,FLUSHING-SOUTH,115233,C6-WALK-UP,12580,1949,C9-WALK-UP
4144355.0,4,12.3,FLUSHING-NORTH,393110,C6-WALK-UP,40800,1948,C1-WALK-UP
4432129.0,4,12.74,ELMHURST,192140,C6-WALK-UP,15752,1950,C1-WALK-UP
4075121.0,4,15.4,REGO PARK,26595320,D4-ELEVATOR,1741458,1950,D3-ELEVATOR
4143568.0,4,13.0,BAYSIDE,596412,C6-WALK-UP,44100,1940,C1-WALK-UP
4595675.0,4,8.68,FLUSHING-NORTH,393110,C6-WALK-UP,40800,1950,C1-WALK-UP
,4,10.84,JACKSON HEIGHTS,86578,C6-WALK-UP,10208,1917,C1-WALK-UP
4119923.0,4,13.08,FLUSHING-NORTH,235000,C6-WALK-UP,17213,1951,C1-WALK-UP
4116426.0,4,12.85,FLUSHING-NORTH,886397,D4-ELEVATOR,68257,1966,D1-ELEVATOR
4456592.0,4,12.0,FLUSHING-SOUTH,115233,C6-WALK-UP,12580,1948,C9-WALK-UP
4078346.0,4,15.8,REGO PARK,1783961,D4-ELEVATOR,112800,1930,D3-ELEVATOR
4039444.0,4,13.5,ELMHURST,408055,D4-ELEVATOR,32070,1937,D1-ELEVATOR
,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1958,D1-ELEVATOR
4077889.0,4,15.4,FOREST HILLS,324054,D4-ELEVATOR,20220,1961,D1-ELEVATOR
4454676.0,4,14.57,BAYSIDE,2134727,D4-ELEVATOR,146525,1969,D3-ELEVATOR
4104145.0,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1958,D1-ELEVATOR
4052343.0,4,14.1,FOREST HILLS,1600499,D4-ELEVATOR,97200,1964,D1-ELEVATOR
,4,11.5,JAMAICA,3893904,D4-ELEVATOR,357885,1952,D1-ELEVATOR
4119112.0,4,18.2,WOODSIDE,199189,C6-WALK-UP,10944,1932,C1-WALK-UP
4461962.0,4,12.5,JACKSON HEIGHTS,406614,D4-ELEVATOR,33600,1966,D7-ELEVATOR
4432037.0,4,12.0,REGO PARK,1137494,D4-ELEVATOR,90500,1949,D1-ELEVATOR
4315314.0,4,12.0,FLUSHING-SOUTH,115233,C6-WALK-UP,12580,1952,C9-WALK-UP
,4,11.29,ASTORIA,4256300,D4-ELEVATOR,155000,1948,D1-ELEVATOR
,4,14.04,FAR ROCKAWAY,3013652,C6-WALK-UP,214701,1950,D1-ELEVATOR
4210164.0,4,11.8,JAMAICA,1178683,D4-ELEVATOR,100947,1962,D1-ELEVATOR
,4,14.0,REGO PARK,3909882,D4-ELEVATOR,275197,1950,D7-ELEVATOR
4435022.0,4,7.7,RICHMOND HILL,375000,C6-WALK-UP,34695,1958,C1-WALK-UP
4454142.0,4,14.0,ELMHURST,626972,D4-ELEVATOR,30618,1964,D1-ELEVATOR
4052243.0,4,13.6,FOREST HILLS,867313,D4-ELEVATOR,53525,1939,D1-ELEVATOR
4135988.0,4,14.62,ASTORIA,396563,C6-WALK-UP,25570,1949,C1-WALK-UP
4035820.0,4,11.0,ELMHURST,1381453,D4-ELEVATOR,95904,1937,D1-ELEVATOR
4171647.0,4,11.7,JAMAICA,580256,D4-ELEVATOR,55626,1961,D1-ELEVATOR
,4,14.3,HOLLISWOOD,4132718,C6-WALK-UP,290112,1950,C9-WALK-UP
,4,13.2,FLUSHING-NORTH,4840000,D4-ELEVATOR,317277,1958,D7-ELEVATOR
4434868.0,4,11.82,SPRINGFIELD GARDENS,332312,D4-ELEVATOR,28116,1964,C9-WALK-UP
,4,13.75,JACKSON HEIGHTS,228128,C6-WALK-UP,17662,1920,C1-WALK-UP
,4,15.91,SUNNYSIDE,1122870,D4-ELEVATOR,72700,1927,D1-ELEVATOR
4431985.0,4,14.1,FOREST HILLS,1600499,D4-ELEVATOR,97200,1949,D1-ELEVATOR
4454005.0,4,12.0,FLUSHING-SOUTH,115233,C6-WALK-UP,12580,1948,C9-WALK-UP
4113184.0,4,11.1,FLUSHING-NORTH,648977,D4-ELEVATOR,59100,1938,D1-ELEVATOR
,4,14.1,FOREST HILLS,1600499,D4-ELEVATOR,97200,1949,D1-ELEVATOR
,4,12.0,FLUSHING-NORTH,393110,C6-WALK-UP,40800,1949,C1-WALK-UP
4450011.0,4,12.94,FLUSHING-NORTH,140850,C6-WALK-UP,12915,1951,C1-WALK-UP
4072149.0,4,13.0,REGO PARK,748781,D4-ELEVATOR,62400,1939,D1-ELEVATOR
,4,12.1,SUNNYSIDE,483321,D4-ELEVATOR,40800,1931,D1-ELEVATOR
4460150.0,4,12.0,FLUSHING-SOUTH,115233,C6-WALK-UP,12580,1948,C9-WALK-UP
,4,11.75,FLUSHING-NORTH,3787000,D4-ELEVATOR,270499,1952,D1-ELEVATOR
,4,12.09,FLUSHING-NORTH,235000,C6-WALK-UP,17213,1950,C1-WALK-UP
,4,15.8,FOREST HILLS,1783961,D4-ELEVATOR,112800,1920,D1-ELEVATOR
4019108.0,4,13.41,,3573864,D4-ELEVATOR,352800,1965,
4120327.0,4,23.86,SUNNYSIDE,4657515,D4-ELEVATOR,251350,1928,D1-ELEVATOR
4075096.0,4,15.4,REGO PARK,26595320,D4-ELEVATOR,1741458,1955,D3-ELEVATOR
