fullpermitno,trailerstate,axle10space,endzipcode,truckyear,permitallowedto,axle5weight,overallheight,trailerlength,totalnumberofaxle,totalgrossweight,axle2weight,axle3space
P8MR-20221215-46869,NY,,10473,2014,2022-12-15T05:30:00.000Z,5625.0,10.02,52.02,6,49100,13300,31.11
X2AU-2023531-20863,NY,,22222,2008,2023-05-31T05:30:00.000Z,18500.0,13.06,60.0,9,160000,18500,5.0
X2ES-2021916-25930,PA,,11223,2014,2021-09-16T06:30:00.000Z,16500.0,12.06,53.0,5,79500,17000,4.04
I15L-20221216-46993,ME,,11232,2013,2022-12-16T05:30:00.000Z,6666.0,13.05,48.0,6,40000,6666,4.06
E92Z-202268-20517,PA,,10036,2007,2022-06-08T03:59:00.000Z,,13.06,40.0,4,55000,14333,30.0
TIQA-202183-20515,NJ,,11231,2015,2021-08-03T05:30:00.000Z,16500.0,13.06,60.0,5,78000,16500,4.06
BXR4-2022830-31896,ME,,10044,2005,2022-08-30T03:59:00.000Z,,13.06,47.01,4,38000,8000,27.05
JCA4-202345-14334,NJ,,10017,2000,2023-04-05T05:30:00.000Z,14850.0,13.0,50.0,8,117950,14850,4.06
C6U7-2022524-18543,NJ,,10017,1997,2022-05-24T05:30:00.000Z,19500.0,13.0,50.0,8,151400,19800,4.06
OQQ7-20211027-30978,PA,,10029,2016,2021-10-27T03:59:00.000Z,13000.0,13.06,42.0,5,49000,5000,4.0
E7F6-2022106-36910,PA,,11105,1998,2022-10-06T03:29:00.000Z,,13.06,47.03,4,55000,15000,33.09
FPHK-2023822-27630,NJ,,11111,2018,2023-08-22T05:30:00.000Z,22000.0,13.0,57.0,6,124000,22000,4.09
UFY7-2023426-17175,PA,,10033,2019,2023-04-26T02:59:00.000Z,7000.0,12.06,44.0,5,47000,13000,28.04
DVK7-20221031-40525,NJ,,11430,2022,2022-10-31T05:30:00.000Z,14250.0,14.11,48.0,5,71000,14250,4.06
GYUX-202314-182,NJ,,10017,2003,2023-01-04T05:30:00.000Z,15625.0,12.08,55.0,5,74500,15625,4.06
HZV9-2021115-32275,VT,,11111,2016,2021-11-05T05:30:00.000Z,13400.0,11.06,53.0,6,79000,13400,4.08
RY1T-20211124-34199,ME,,11231,1996,2021-11-24T23:58:00.000Z,5000.0,13.06,53.0,5,48000,15000,12.05
S73A-2022913-33444,NJ,,10017,1994,2022-09-13T05:30:00.000Z,19200.0,13.0,55.0,6,110800,19600,4.06
FZZ3-2023315-11268,NJ,,10017,2016,2023-03-15T05:30:00.000Z,15625.0,12.08,55.0,5,74500,15625,4.06
UAQ4-2023119-2296,NJ,4.01,22222,2016,2023-01-19T15:00:00.000Z,6000.0,13.0,48.0,10,64000,6000,4.04
AOBB-2023119-34454,NY,,10462,2006,2023-11-09T16:00:00.000Z,,8.06,50.0,4,49000,14000,36.06
SRCS-20211216-36734,ME,,22222,2011,2021-12-16T05:30:00.000Z,11000.0,13.06,53.0,5,55000,11000,4.06
IUB4-2021816-21992,NJ,,22222,2018,2021-08-16T05:30:00.000Z,9250.0,13.06,64.0,5,49000,9250,30.0
IKZZ-202223-3458,ME,,11435,2007,2022-02-03T23:58:00.000Z,5000.0,13.06,53.0,5,48000,15000,12.05
QF27-2021126-35272,ME,,11111,2020,2021-12-06T05:30:00.000Z,9600.0,11.06,53.0,6,60000,9600,4.08
DFKN-2021722-19212,PA,,10011,2010,2021-07-22T03:59:00.000Z,,13.06,48.07,4,42000,21000,30.06
D12Y-2022426-14682,ME,,11415,2019,2022-04-26T05:30:00.000Z,17200.0,13.06,40.0,6,99000,17200,4.06
E4P1-2022119-41785,PA,,11111,2016,2022-11-09T15:00:00.000Z,4500.0,11.0,48.0,5,30000,4500,4.04
AEG7-2022929-35828,NY,,10039,2009,2022-09-29T05:29:00.000Z,,13.06,45.0,4,54000,18000,38.1
O4MA-202238-7612,IA,,11581,2020,2022-03-08T05:30:00.000Z,20000.0,13.08,53.0,7,140000,20000,5.0
NTL4-2023121-35977,PA,,10007,2012,2023-12-01T03:59:00.000Z,13000.0,13.06,53.0,5,49000,5000,4.0
FGWM-20221019-38801,PA,,11693,2019,2022-10-19T03:58:00.000Z,,13.06,43.05,4,23000,7000,33.02
RDX8-20221024-39596,PA,,11249,2007,2022-10-24T00:00:00.000Z,6500.0,13.0,45.0,5,41500,12000,34.09
I38O-2021820-22621,ME,,11111,2020,2021-08-20T05:30:00.000Z,9600.0,11.06,53.0,6,60000,9600,4.08
YXWB-202395-28483,NC,,22222,2018,2023-09-05T05:30:00.000Z,8000.0,13.06,52.0,5,40000,9000,43.06
GIMG-2022711-24719,GA,,10030,2021,2022-07-11T02:59:00.000Z,,12.09,48.0,4,21360,7740,32.0
VTMI-2023518-19814,ME,,10455,2017,2023-05-18T05:30:00.000Z,17200.0,13.06,57.0,6,99000,17200,4.06
TBQA-20221212-46168,ME,,0,2018,2022-12-12T05:30:00.000Z,8400.0,13.06,48.0,5,42000,8400,4.06
YXKM-20221121-43375,GA,,11207,2020,2022-11-21T02:59:00.000Z,10000.0,13.06,48.0,5,60740,15370,4.02
PSDO-202224-3543,TX,,11111,2005,2022-02-04T05:30:00.000Z,5835.0,12.06,50.0,7,47000,5833,4.04
