fullpermitno,trailerstate,axle10space,endzipcode,truckyear,permitallowedto,axle5weight,overallheight,trailerlength,totalnumberofaxle,totalgrossweight,axle2weight,axle3space
I578-2023130-4091,NJ,,22222,2000,2023-01-30T05:30:00.000Z,7200.0,13.06,50.0,6,50000,7200,4.06
K7SD-202189-21230,GA,,10268,2016,2021-08-09T03:59:00.000Z,,13.01,40.0,4,27400,7400,33.03
J9J9-2023215-7090,NJ,,22222,1997,2023-02-15T05:30:00.000Z,7200.0,13.06,50.0,6,50000,7200,4.06
UPBS-20221020-39173,NJ,,10017,2002,2022-10-20T05:30:00.000Z,19500.0,13.0,50.0,8,151400,19800,4.06
R3P7-2023925-30240,ME,,22222,2020,2023-09-25T05:30:00.000Z,9000.0,13.06,53.0,6,58000,11500,4.06
FDBW-20231026-32983,PA,,22222,2022,2023-10-26T05:30:00.000Z,4750.0,12.08,34.02,7,44000,7000,4.06
VU4X-2021128-35646,PA,,10012,2018,2021-12-08T01:59:00.000Z,5080.0,13.06,45.0,5,34900,13660,32.0
OLIL-202384-26117,NJ,,22222,1993,2023-08-04T05:30:00.000Z,7200.0,13.06,50.0,6,50000,7200,4.06
WQMT-20231020-32489,NJ,,22222,2003,2023-10-20T05:30:00.000Z,6200.0,12.0,48.0,5,36200,5900,4.06
SSQT-2022819-30328,NJ,,22222,2017,2022-08-19T05:30:00.000Z,7200.0,13.06,50.0,6,50000,7200,4.06
C6BC-20221130-44146,ME,,11111,2022,2022-11-30T05:30:00.000Z,5000.0,13.06,53.0,6,41000,11000,4.04
ZT1Y-202185-20897,ME,,22222,2013,2021-08-05T05:30:00.000Z,14500.0,13.06,48.0,5,70000,14500,4.03
HNYD-2022613-21108,NJ,,22222,2003,2022-06-13T05:30:00.000Z,6200.0,12.0,48.0,5,36200,5900,4.06
TUZA-2023112-33666,NJ,,22222,2016,2023-11-02T05:30:00.000Z,15625.0,12.08,55.0,5,74500,15625,4.06
ZGET-202215-239,PA,,11222,1999,2022-01-05T04:59:00.000Z,7333.0,13.06,42.06,5,42659,13660,22.1
QF27-2021126-35331,NJ,,22222,2011,2021-12-06T16:00:00.000Z,6000.0,12.0,48.0,9,58000,6000,4.06
P54D-2022118-1279,PA,,11101,2005,2022-01-18T03:59:00.000Z,,13.06,45.0,4,40000,10000,40.0
Y52W-2023210-6537,TN,,10019,2021,2023-02-10T05:30:00.000Z,7534.0,13.06,48.0,6,42600,5000,4.03
SSTF-2023912-29130,NJ,,11430,1994,2023-09-12T05:30:00.000Z,16500.0,13.0,80.0,5,78000,16500,4.06
VJV5-20221117-42935,PA,,10452,2017,2022-11-17T05:30:00.000Z,16750.0,13.06,48.0,5,79000,16750,4.04
NWEC-2023120-2721,NJ,,22222,2017,2023-01-20T05:30:00.000Z,8500.0,13.06,53.0,5,48000,8500,4.06
VV9L-2022113-41179,,,11419,2023,2022-11-03T15:00:00.000Z,,13.04,,3,62300,21800,4.04
DHTB-2023815-26952,NJ,,22222,1999,2023-08-15T05:30:00.000Z,8800.0,13.06,48.0,5,47200,8800,4.02
EAQZ-2023927-30486,KY,,10452,2007,2023-09-27T05:30:00.000Z,16500.0,13.06,48.0,5,78000,16500,4.04
PADY-202214-148,NJ,,22222,2017,2022-01-04T05:30:00.000Z,7200.0,13.06,50.0,6,50000,7200,4.06
Y6SF-202319-820,ME,,10455,2019,2023-01-09T05:30:00.000Z,17200.0,13.06,57.0,6,99000,17200,4.06
