dfta_id,programphone,location1,communityboard,sunhouropen,councildist,providertype,censustract,latitude,wedhourclose
11S01,718-665-5250,"{'type': 'Point', 'coordinates': [-73.909661, 40.804413]}",201.0,00:00,17.0,HOME DELIVERED MEAL SERVICE CONTRACTS,19.0,40.804413,05:00
4AT01,718-894-3441,"{'type': 'Point', 'coordinates': [-73.876664, 40.709285]}",405.0,,30.0,OLDER ADULT CENTER CONTRACTS,619.0,40.709285,
2TT01,718-434-3266,"{'type': 'Point', 'coordinates': [-73.966441, 40.631068]}",314.0,,45.0,OLDER ADULT CENTER CONTRACTS,528.0,40.631068,
C3506,718-773-2600,"{'type': 'Point', 'coordinates': [-73.938974, 40.67388]}",308.0,00:00,36.0,OLDER ADULT CENTER CONTRACTS,343.0,40.67388,05:00
VN601,718-291-3935,"{'type': 'Point', 'coordinates': [-73.803554, 40.688564]}",412.0,,28.0,OLDER ADULT CENTER CONTRACTS,196.0,40.688564,
2TZ01,718-232-0055,"{'type': 'Point', 'coordinates': [-73.986423, 40.602894]}",311.0,,43.0,OLDER ADULT CENTER CONTRACTS,404.0,40.602894,
N6804,718-996-5200,"{'type': 'Point', 'coordinates': [-73.968428, 40.580542]}",313.0,00:00,48.0,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,35601.0,40.580542,05:00
W1202,718-748-0650,"{'type': 'Point', 'coordinates': [-74.035376, 40.638645]}",310.0,00:00,47.0,OLDER ADULT CENTER CONTRACTS,34.0,40.638645,05:00
11V01,718-665-5250,"{'type': 'Point', 'coordinates': [-73.923486, 40.812322]}",201.0,,8.0,HOME DELIVERED MEAL SERVICE CONTRACTS,41.0,40.812322,
6HS01,718-686-3222,"{'type': 'Point', 'coordinates': [-73.961112, 40.618643]}",314.0,00:00,44.0,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,768.0,40.618643,05:00
C3001,212-722-2205@,"{'type': 'Point', 'coordinates': [-73.939037, 40.801704]}",111.0,00:00,8.0,OLDER ADULT CENTER CONTRACTS,196.0,40.801704,05:00
29F01,718-748-0650,"{'type': 'Point', 'coordinates': [-74.023321, 40.633477]}",310.0,,47.0,HOME DELIVERED MEAL SERVICE CONTRACTS,130.0,40.633477,
C5807,718-822-0486,"{'type': 'Point', 'coordinates': [-73.828806, 40.844355]}",210.0,00:00,13.0,OLDER ADULT CENTER CONTRACTS,26602.0,40.844355,04:00
C1103,718-731-6300,"{'type': 'Point', 'coordinates': [-73.904562, 40.848936]}",205.0,00:00,15.0,OLDER ADULT CENTER CONTRACTS,23302.0,40.848936,04:00
32V01,212-417-3700,"{'type': 'Point', 'coordinates': [-74.007477, 40.708497]}",101.0,00:00,1.0,LEGAL SERVICES CONTRACTS,1502.0,40.708497,05:00
C6901,929-458-2150,"{'type': 'Point', 'coordinates': [-73.891989, 40.841212]}",206.0,00:00,17.0,OLDER ADULT CENTER CONTRACTS,367.0,40.841212,04:00
29E01,212-273-5200,"{'type': 'Point', 'coordinates': [-73.885082, 40.651173]}",305.0,,42.0,HOME DELIVERED MEAL SERVICE CONTRACTS,105801.0,40.651173,
N7001,646-713-2420,"{'type': 'Point', 'coordinates': [-73.941726, 40.791585]}",111.0,00:00,8.0,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,170.0,40.791585,05:00
C4902,718-886-8203,"{'type': 'Point', 'coordinates': [-73.800335, 40.75939]}",407.0,00:00,19.0,OLDER ADULT CENTER CONTRACTS,1185.0,40.75939,05:00
C4101,212-349-2770,"{'type': 'Point', 'coordinates': [-73.983237, 40.713266]}",103.0,00:00,2.0,OLDER ADULT CENTER CONTRACTS,202.0,40.713266,05:00
W2401,212-828-6055,"{'type': 'Point', 'coordinates': [-73.943288, 40.789473]}",111.0,00:00,8.0,OLDER ADULT CENTER CONTRACTS,170.0,40.789473,05:00
C9003,718-498-2990,"{'type': 'Point', 'coordinates': [-73.905278, 40.663471]}",316.0,00:00,41.0,OLDER ADULT CENTER CONTRACTS,912.0,40.663471,05:00
C1801,718-448-5757,"{'type': 'Point', 'coordinates': [-74.134422, 40.634927]}",501.0,00:00,49.0,OLDER ADULT CENTER CONTRACTS,213.0,40.634927,03:00
N5101,718-409-1619,"{'type': 'Point', 'coordinates': [-73.856898, 40.836585]}",209.0,00:00,18.0,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,212.0,40.836585,05:00
C2602,212-283-5475,"{'type': 'Point', 'coordinates': [-73.9365, 40.830242]}",110.0,00:00,9.0,OLDER ADULT CENTER CONTRACTS,24302.0,40.830242,05:00
C6401,718-932-6916,"{'type': 'Point', 'coordinates': [-73.911047, 40.753724]}",401.0,00:00,26.0,OLDER ADULT CENTER CONTRACTS,163.0,40.753724,03:45
W1702,718-475-5283,"{'type': 'Point', 'coordinates': [-74.183774, 40.565339]}",503.0,00:00,51.0,OLDER ADULT CENTER CONTRACTS,228.0,40.565339,04:00
C1107,917-633-5951,"{'type': 'Point', 'coordinates': [-73.866773, 40.814436]}",209.0,00:00,18.0,OLDER ADULT CENTER CONTRACTS,20.0,40.814436,04:00
1E302,718-542-0006,"{'type': 'Point', 'coordinates': [-73.895879, 40.822052]}",202.0,00:00,17.0,ELDER ABUSE SERVICES CONTRACTS,87.0,40.822052,05:00
W1302,718-651-0096,"{'type': 'Point', 'coordinates': [-73.872861, 40.756866]}",403.0,00:00,21.0,OLDER ADULT CENTER CONTRACTS,375.0,40.756866,04:00
C3201,718-331-6800,"{'type': 'Point', 'coordinates': [-73.989235, 40.606369]}",311.0,00:00,43.0,OLDER ADULT CENTER CONTRACTS,270.0,40.606369,04:00
C8501,212-260-2731,"{'type': 'Point', 'coordinates': [-73.978369, 40.720462]}",103.0,00:00,2.0,OLDER ADULT CENTER CONTRACTS,20.0,40.720462,05:00
C9004,917-962-8277,"{'type': 'Point', 'coordinates': [-73.909072, 40.667312]}",316.0,00:00,41.0,OLDER ADULT CENTER CONTRACTS,906.0,40.667312,05:00
N5303,212-349-3724,"{'type': 'Point', 'coordinates': [-74.000566, 40.713086]}",103.0,00:00,1.0,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,27.0,40.713086,05:00
C3602,212,"{'type': 'Point', 'coordinates': [-73.970904, 40.788212]}",107.0,00:00,6.0,OLDER ADULT CENTER CONTRACTS,173.0,40.788212,05:00
W1503,212-267-0499,"{'type': 'Point', 'coordinates': [-74.010667, 40.717604]}",101.0,00:00,1.0,OLDER ADULT CENTER CONTRACTS,39.0,40.717604,05:00
C2103,212-233-8930,"{'type': 'Point', 'coordinates': [-73.994726, 40.716358]}",103.0,00:00,1.0,OLDER ADULT CENTER CONTRACTS,16.0,40.716358,05:00
C6501,718-225-6750,"{'type': 'Point', 'coordinates': [-73.723122, 40.761577]}",411.0,00:00,23.0,OLDER ADULT CENTER CONTRACTS,152902.0,40.761577,04:00
C3103,718-993-5146,"{'type': 'Point', 'coordinates': [-73.922179, 40.815197]}",201.0,00:00,8.0,OLDER ADULT CENTER CONTRACTS,51.0,40.815197,04:30
W2403,212-828-6104,"{'type': 'Point', 'coordinates': [-73.93665, 40.794319]}",111.0,00:00,8.0,OLDER ADULT CENTER CONTRACTS,180.0,40.794319,04:30
3M801,212-962-7817,"{'type': 'Point', 'coordinates': [-74.008296, 40.712828]}",101.0,00:00,1.0,CASE MANAGEMENT SERVICES CONTRACTS,21.0,40.712828,05:00
W1402,212-991-3726,"{'type': 'Point', 'coordinates': [-73.991235, 40.765461]}",104.0,00:00,3.0,OLDER ADULT CENTER CONTRACTS,135.0,40.765461,04:30
W2001,718-782-6335,"{'type': 'Point', 'coordinates': [-73.943775, 40.704366]}",301.0,00:00,34.0,OLDER ADULT CENTER CONTRACTS,491.0,40.704366,04:00
C9403,718-263-6995,"{'type': 'Point', 'coordinates': [-73.819822, 40.721128]}",408.0,00:00,24.0,OLDER ADULT CENTER CONTRACTS,77903.0,40.721128,04:00
C8307,718-646-4100,"{'type': 'Point', 'coordinates': [-73.954127, 40.578026]}",315.0,00:00,48.0,OLDER ADULT CENTER CONTRACTS,61004.0,40.578026,04:00
N5701,212-666-4000,"{'type': 'Point', 'coordinates': [-73.959058, 40.813512]}",109.0,00:00,7.0,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,211.0,40.813512,05:00
C5804,718-882-8513,"{'type': 'Point', 'coordinates': [-73.851046, 40.871144]}",211.0,00:00,12.0,OLDER ADULT CENTER CONTRACTS,348.0,40.871144,04:00
C3501,718-638-6910,"{'type': 'Point', 'coordinates': [-73.952667, 40.676909]}",308.0,00:00,36.0,OLDER ADULT CENTER CONTRACTS,315.0,40.676909,05:00
2K201,718-934-4180,"{'type': 'Point', 'coordinates': [-73.954127, 40.578026]}",315.0,00:00,48.0,CAREGIVER SERVICES CONTRACTS,61004.0,40.578026,05:00
4DV01,917-288-7600,"{'type': 'Point', 'coordinates': [-73.784561, 40.713508]}",408.0,,24.0,OLDER ADULT CENTER CONTRACTS,466.0,40.713508,
C1714,718-232-2311,"{'type': 'Point', 'coordinates': [-74.002266, 40.637498]}",312.0,00:00,38.0,OLDER ADULT CENTER CONTRACTS,116.0,40.637498,04:00
C8304,212-712-0170,"{'type': 'Point', 'coordinates': [-73.977739, 40.780342]}",107.0,00:00,6.0,OLDER ADULT CENTER CONTRACTS,161.0,40.780342,05:00
2MF01,718-257-1600,"{'type': 'Point', 'coordinates': [-73.920355, 40.621348]}",318.0,00:00,46.0,CASE MANAGEMENT SERVICES CONTRACTS,690.0,40.621348,05:00
W2405,212-828-6756,"{'type': 'Point', 'coordinates': [-73.93759, 40.796935]}",111.0,00:00,8.0,OLDER ADULT CENTER CONTRACTS,188.0,40.796935,04:00
C5103,212-966-5460,"{'type': 'Point', 'coordinates': [-73.995895, 40.7205]}",102.0,00:00,1.0,OLDER ADULT CENTER CONTRACTS,41.0,40.7205,05:00
49901,212-337-3333,"{'type': 'Point', 'coordinates': [-73.835639, 40.770483]}",407.0,00:00,19.0,TRANSPORTATION SERVICES CONTRACTS,907.0,40.770483,05:00
N6203,718-396-5425,"{'type': 'Point', 'coordinates': [-73.877655, 40.75489]}",403.0,00:00,25.0,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,277.0,40.75489,05:00
C0204,718-658-0980,"{'type': 'Point', 'coordinates': [-73.783147, 40.690054]}",412.0,00:00,27.0,OLDER ADULT CENTER CONTRACTS,266.0,40.690054,04:00
C4001,718-832-3726,"{'type': 'Point', 'coordinates': [-73.981201, 40.668419]}",306.0,00:00,39.0,OLDER ADULT CENTER CONTRACTS,153.0,40.668419,04:00
6G801,212-991-0003,"{'type': 'Point', 'coordinates': [-73.991847, 40.745782]}",105.0,00:00,3.0,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,95.0,40.745782,05:00
6XQ01,212-453-9500,"{'type': 'Point', 'coordinates': [-74.012948, 40.702411]}",101.0,,1.0,HOME DELIVERED MEAL SERVICE CONTRACTS,9.0,40.702411,
C0601,212-749-8400,"{'type': 'Point', 'coordinates': [-73.966593, 40.801704]}",107.0,00:00,7.0,OLDER ADULT CENTER CONTRACTS,195.0,40.801704,04:00
7C401,212-966-9852,"{'type': 'Point', 'coordinates': [-74.00376, 40.743172]}",104.0,00:00,3.0,NEW YORK CONNECTS CONTRACTS,83.0,40.743172,05:00
