dfta_id,programname,programaddress,bin,programstate,:@computed_region_efsh_h5xi,sponsorname,thuhourclose,bbl,frihourclose
30901,ARC XVI - TRAN INDIVIDUAL RIDES - MN NORTH (309),108 WEST  146 STREET,1060189.0,NY,13097.0,ARC XVI FORT WASHINGTON INC,04:30,1020140036.0,04:30
C5301,OCEAN BAY CDC OLDER ADULT CENTER (C53),57-17 Shore Front Parkway,4536732.0,NY,20530.0,OCEAN BAY COMMUNITY DEVELOPMENT CORPORATION,04:00,4159260001.0,04:00
W1402,LIFELONG LEARNING CENTER @ ENCORE WEST (W14),755 10th Avenue,1087482.0,NY,12081.0,ENCORE COMMUNITY SERVICES,04:30,1010800030.0,04:30
N7201,VILLAGE VIEW NORC (N72),175 E. 4th St.,1077559.0,NY,11729.0,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,05:00,1004320001.0,05:00
C5901,RIDGEWOOD OLDER ADULT CENTER AND SERVICES (C59),5914 70th Avenue,4084122.0,NY,15310.0,RIDGEWOOD OLDER ADULT CENTER AND SERVICES INC,04:00,4035080009.0,04:00
5M401,CASC CMA SI (5M4),120 Stuyvesant Place Suite 409,5000084.0,NY,10369.0,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,05:00,5000080060.0,05:00
C8307,JASA SENIOR ALLIANCE OLDER ADULT CENTER (C83),161 Corbin Place,3245719.0,NY,13826.0,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,04:00,3087190073.0,04:00
C0806,BERGEN BASIN PENN WORTMAN OLDER ADULT CENTER (C08),530 Stanley Avenue,3324010.0,NY,17214.0,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,05:00,3043690011.0,05:00
W1301,GOLDEN PHOENIX 1 (ELMCOR NSC) (W13),98-19 Astoria Blvd,4032768.0,NY,14511.0,ELMCOR YOUTH & ADULT ACTIVITIES INC,05:00,4013720045.0,05:00
28E01,RISEBORO HDM - BROOKLYN 1 (28E),80 Seigel Street,3071447.0,NY,17213.0,RISEBORO COMMUNITY PARTNERSHIP INC,05:00,3030960030.0,05:00
N5202,GODDARD RIVERSIDE WEST SIDE NORC (N52),593 COLUMBUS AVENUE,1079511.0,NY,12421.0,GODDARD-RIVERSIDE COMMUNITY CENTER,05:00,1012020001.0,05:00
C9601,BORO PARK Y OAC (C96),4912 14th Avenue,3328617.0,NY,17621.0,YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION OF BORO PARK,04:00,3056420042.0,04:00
C3901,HANAC ANGELO PETROMELIS OLDER ADULT CENTER (C39),13-28 123rd Street,4096960.0,NY,14191.0,HANAC INC.,03:30,4039970035.0,03:30
C7203,CORONA OAC (C72),107-24 Corona Avenue,4431694.0,NY,14510.0,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,05:00,4019420053.0,05:00
C2801,CYPRESS HILLS FULTON STREET SENIOR CITIZENS CENTER (C28),3208 Fulton Street,3092631.0,NY,17215.0,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC,04:15,3041400013.0,04:15
W1906,PSS HARLEM (W19),127 West 127th Street,1057904.0,NY,12424.0,PRESBYTERIAN SENIOR SERVICES,04:00,1019120012.0,04:00
C5103,NYFSC MOTT STREET OLDER ADULT CENTER (C51),180 Mott Street,1007156.0,NY,12075.0,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,05:00,1004790001.0,05:00
1E701,SUNNYSIDE - ELDER JUSTICE - QN NORTH (1E7),43-31 39th Street,4436677.0,NY,16861.0,SUNNYSIDE COMMUNITY SERVICES INC,05:00,4001910005.0,05:00
2ME01,HEIGHTS AND HILLS - CMA (2ME),81 WILLOUGHBY STREET,3000350.0,NY,16865.0,HEIGHTS AND HILLS INC.,05:00,3001480046.0,05:00
N6201,SELFHELP BOULEVARD GARDENS NORC (N62),51-42 30th AVENUE,4431254.0,NY,14787.0,SELFHELP COMMUNITY SERVICES INC,05:00,4011110001.0,05:00
C3503,SETH LOW SOCIAL CLUB (C35),137 Belmont Avenue,3327015.0,NY,17614.0,FORT GREENE COUNCIL,05:00,3037270001.0,05:00
C4201,HOMECREST BENSONHURST OAC & AVE T BROOKLYN (C42),6915 15th Avenue,3156583.0,NY,13511.0,HOMECREST COMMUNITY SERVICES INC,3 :00,3061580001.0,3 :00
C3513,TERESA MOORE OAC (C35),270 2 Linden Blvd,3326995.0,NY,17215.0,FORT GREENE COUNCIL,05:00,3044880001.0,05:00
C0205,ALLEN AME ROCKAWAY BLVD SENIOR CENTER (C02),123-10 143rd Street,4261337.0,NY,24671.0,ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,05:00,4120390044.0,05:00
N5601,ISABELLA GERIATRIC FT GEORGE VISTAS NORC (N56),17 FT. GEORGE HILL,1064067.0,NY,13098.0,ISABELLA GERIATRIC CENTER INC,05:00,1021700131.0,05:00
C0802,BERGEN BASIN INDEPENDENCE OLDER ADULT CENTER (C08),114 Taylor Street,3059905.0,NY,17613.0,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,05:00,3021760001.0,05:00
11V01,EAST SIDE HOUSE INC. (11V),337 ALEXANDER AVENUE,2090408.0,NY,10932.0,EAST SIDE HOUSE INC,,2023150038.0,
C3511,HUGH GILROY OAC (C35),447 Kingsborough 4th Walk,3035751.0,NY,13516.0,FORT GREENE COUNCIL,05:00,3013440175.0,05:00
C3701,GRAND ST SETTLEMENT GRAND COALITION OF OLDER ADULTS OAC (C37),175  Delancey street,1000000.0,NY,11723.0,GRAND STREET SETTLEMENT INC,05:00,1003477501.0,05:00
C9404,YOUNG ISRAEL WAVECREST & BAYSWATER SENIOR LEAGUE (C94),2716 Healy Avenue,4300494.0,NY,20529.0,YOUNG ISRAEL PROGRAMS INC,04:00,4157220041.0,04:00
C0804,BERGEN BASIN MIDWOOD OLDER ADULT CENTER (C08),2164 Ralph Avenue,3218178.0,NY,13825.0,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,05:00,3078390001.0,05:00
C3902,HARMONY JVL OLDER ADULT CENTER (C39),27-40 Hoyt Avenue South,4537921.0,NY,16859.0,HANAC INC.,04:30,4008390001.0,04:30
C9003,WAYSIDE OUT TILDEN SENIOR CENTER (C90),630 Mother Gaston Blvd,3326549.0,NY,17614.0,WAYSIDE OUT-REACH DEVELOPMENT INC,05:00,3035760001.0,05:00
C2003,MMCC-CDC OLDER ADULT CENTER MARBLE HILL (C20),5365 Broadway,1082782.0,NY,11272.0,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT,04:30,1022150623.0,04:30
61401,SENTRY- TRAN INDIVIDUAL RIDES - CITYWIDE (614),90 Lincoln Avenue,2000682.0,NY,10932.0,Fejost LLC,05:00,2023080001.0,05:00
C1716,CCNS WOODHAVEN-RICHMOND HILL OAC (C17),89-02 91st Street,4185709.0,NY,24017.0,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,04:00,4089720004.0,04:00
C8101,EDUCATIONAL ALLIANCE SIROVICH OLDER ADULT CENTER (C81),331 East 12th Street,1006502.0,NY,11724.0,THE EDUCATIONAL ALLIANCE INC,05:00,1004540052.0,05:00
C2802,CYPRESS HILLS ADULT SOCIAL CLUB (C28),475 Fountain Avenue,3337041.0,NY,17215.0,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC,04:15,3042920061.0,04:15
C3001,CASABE aENIOR HOUSES AKA EAST HARLEM NSC (C30),150 East 121st Street,1054378.0,NY,13093.0,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,05:00,1017690021.0,05:00
C7101,SOUTHSIDE LOS SURES DAVID SANTIAGO (C71),201 South 4th Street,3321304.0,NY,17613.0,SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP,04:00,3024320025.0,04:00
W2201,JASA BARTOW (COOP CITY NSC) (W22),2049 Bartow Avenue,2097466.0,NY,12344.0,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,06:00,2051410100.0,06:00
W1601,BETANCES (W16),%401 St Anns Avenue,2090993.0,NY,10932.0,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,04:00,2022690100.0,04:00
C0807,BERGEN BASIN VANDALIA OLDER ADULT CENTER (C08),47 Vandalia Avenue,3348859.0,NY,13830.0,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,05:00,3044310100.0,05:00
C1901,CENTRAL HARLEM KENNEDY (C19),34 W 134th Street,1083985.0,NY,13095.0,CENTRAL HARLEM SENIOR CITIZENS CENTERS INC.,05:00,1017300016.0,05:00
20I01,BLS – LEGAL SERVICES – BK MN & SI (20I),105 Court Street 4th Floor,3002702.0,NY,16865.0,BROOKLYN LEGAL SERVICES INC,04:30,3002710023.0,04:30
C7601,STANLEY ISAACS NSC/HOLMES OLDER ADULT CENTER (C76),415 E 93rd Street,1082367.0,NY,10099.0,STANLEY M ISAACS NEIGHBORHOOD CENTER INC,05:00,1015730001.0,05:00
C1709,CC NS SEASIDE OAC (C17),320 Beach 94th Street,4303571.0,NY,20531.0,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,04:00,4161260004.0,04:00
C3602,GODDARD RIVERSIDE OAC AT WEST 88TH STREET (C36),593 Columbus Avenue,1079511.0,NY,12421.0,GODDARD-RIVERSIDE COMMUNITY CENTER,05:00,1012020001.0,05:00
1E601,CBN - ELDER JUSTICE - MN (1E6),312 East 109th Street,1074278.0,NY,12426.0,CARTER BURDEN NETWORK INC.,05:00,1016800045.0,05:00
C7301,ST. GABRIEL'S EPISCOPAL CHURCH OAC (C73),331 Hawthorne Street,3000000.0,NY,13509.0,ST GABRIELS EPISCOPAL CHURCH,05:00,3048140071.0,05:00
24E02,JASA BROOKLYN HOME DELIVERED MEALS - BROOKLYN 7 (24E),1201 PENNSYLVANIA AVENUE,3336175.0,NY,13830.0,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,05:00,3044350001.0,05:00
C5809,RAIN NEREID OAC (C58),720 Nereid Avenue,2069882.0,NY,11275.0,REGIONAL AID FOR INTERIM NEEDS INC,04:00,2050460033.0,04:00
W1603,CARVER (W16),55 East 102nd Street,1082659.0,NY,12426.0,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,04:00,1016080023.0,04:00
C2301,CONGREGATION YETEV LEV --WILLIAMSBURG SATMAR (C23),125 Heyward Street,3060997.0,NY,17613.0,CONGREGATION YETEV LEV DSATMAR,05:00,3022250042.0,00:00
4G801,SAMUEL FIELD GMH QN (4G8),58-20 LITTLE NECK PARKWAY,4173029.0,NY,14197.0,COMMONPOINT QUEENS,04:00,4083520051.0,04:00
36G01,ENCORE HOME DELIVERED MEALS (36G),239 WEST   49 STREET,1024789.0,NY,12081.0,ENCORE COMMUNITY SERVICES,,1010210009.0,
30902,ARC XVI - TRAN GROUP RIDES - MN NORTH (309),108 WEST  146 STREET,1060189.0,NY,13097.0,ARC XVI FORT WASHINGTON INC,05:00,1020140036.0,05:00
C3509,MARIA LAWTON OAC (C35),400 Hart Street,3341752.0,NY,17213.0,FORT GREENE COUNCIL,05:00,3015950024.0,05:00
C2103,CPC NY CHINATOWN NEIGHBORHOOD SENIOR CENTER (C21),55 Chrystie Street,1003915.0,NY,11723.0,CHINESE AMERICAN PLANNING COUNCIL INC,05:00,1003030027.0,05:00
N7401,AMALGAMATED PK RESEVOIR NORC (N74),98 VAN CORTLANDT PARK SOUTH,2086312.0,NY,11609.0,YM YWHA OF THE BRONX dba RIVERDALE YM YWHA,05:00,2059520374.0,05:00
6G801,GREENWICH HOUSE GMH MN 1-8 (6G8),122 WEST   27 STREET,1015051.0,NY,11722.0,GREENWICH HOUSE INC.,05:00,1008020056.0,05:00
C8601,UNITED NEIGHBORHOOD SENIOR CITIZENS CTR (C86),475 53rd Street,3013917.0,NY,18180.0,UNITED SENIOR CITIZENS OF SUNSET PARK INC,04:00,3008070046.0,04:00
C5808,RAIN MT. CARMEL OAC (C58),2405 Southern Boulevard,2013061.0,NY,10936.0,REGIONAL AID FOR INTERIM NEEDS INC,04:00,2031150005.0,04:00
4MD01,QCH CMA QN 4 6 (4MD),108-25 62nd Drive,4432108.0,NY,14786.0,QUEENS COMMUNITY HOUSE INC.,05:00,4021590015.0,05:00
3K401,HMH – LOWER MANHATTAN (3K4),50 Madison Street,1077420.0,NY,13096.0,HAMILTON MADISON HOUSE INC,00:00,1001110100.0,00:00
C6902,SAGE CENTER HARLEM (C69),220 West 143rd Street,1086084.0,NY,12427.0,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,05:00,1020280016.0,05:00
4AT01,MIDDLE VILLAGE ADULT CENTER (4AT),69-10 75th St.,4091868.0,NY,15309.0,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA,,4037860020.0,
C0502,ARC XVI CENTRAL HARLEM CENTER (C05),1W1S,1060054.0,NY,12427.0,ARC XVI FORT WASHINGTON INC,05:00,1020080013.0,05:00
C1501,CANAAN SENIOR SERVICE CENTER (C15),1428 5th Avenue,1051430.0,NY,12423.0,CANAAN BAPTIST CHURCH OF CHRIST,05:00,1016000021.0,05:00
46G01,JASA QUEENS HOME DELIVERED MEALS (46G),131 BEACH   19 STREET,4301622.0,NY,20529.0,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,,4158100055.0,
19601,RAIN EASTCHESTER - TRAN INDIVIDUAL RIDES - BX NORTH (196),1246 Burke Avenue,2093501.0,NY,11607.0,REGIONAL AID FOR INTERIM NEEDS INC,04:00,2045810001.0,04:00
6K101,HMH – CITYWIDE (6K1),100 Gold Street Lower Level,1001289.0,NY,13096.0,HAMILTON MADISON HOUSE INC,03:00,1000940025.0,03:00
C1706,CCNS THE BAY OAC (C17),3643 Nostrand Avenue,3344554.0,NY,13512.0,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,04:00,3074051001.0,04:00
C5801,RAIN BOSTON EAST OAC (C58),3450 Boston Road,2060739.0,NY,11607.0,REGIONAL AID FOR INTERIM NEEDS INC,06:00,2047370105.0,06:00
