address,streetname,schooldist,factype,datasource,bin,geometry
10875 AVENUE D,AVENUE D,18.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,3332519,POINT(1012093.788561821 178414.8768324852)
2441 WALLACE AVENUE,WALLACE AVENUE,11.0,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,doe_lcgms,2051313,POINT(1021632.0171523094 253486.412712574)
246 EAST 121 STREET,EAST 121 STREET,4.0,SUPPORT MENTAL HEALTH,nysomh_mentalhealth,1085301,POINT(1001954.7459712029 230835.82584953308)
47 MCKEEVER PLACE,MCKEEVER PLACE,17.0,HOUSING SUPPORT,moeo_socialservicesitelocations,3388698,POINT(995733.4494814873 181439.55068540573)
100 CLERMONT AVENUE,CLERMONT AVENUE,13.0,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,doe_lcgms,3058088,POINT(992115.2373404503 192301.72467565536)
95-20 63 ROAD,63 ROAD,28.0,REGISTERED BUSINESS SCHOOLS,nysed_activeinstitutions,4050422,POINT(1022744.187271595 205456.61619710922)
,,9.0,PLAYGROUND,dpr_parksproperties,0,POINT(1010486.861307621 247215.01340341568)
23 SIDNEY PLACE,SIDNEY PLACE,15.0,HIGH SCHOOL - NON-PUBLIC,nysed_activeinstitutions,3002579,POINT(985824.5972185135 191481.89616680145)
270 EAST 167 STREET,EAST 167 STREET,9.0,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,doe_lcgms,2002410,POINT(1007993.2304010391 242504.76886177063)
6823 FIFTH AVENUE,FIFTH AVENUE,20.0,SENIOR SERVICES,dfta_contracts,3145313,POINT(978503.4523568153 170077.4012517929)
3041 KINGSBRIDGE AVENUE,KINGSBRIDGE AVENUE,10.0,CAMP - ALL AGE,dohmh_daycare,2083194,POINT(1009807.9715948105 259698.26504659653)
25 INDIAN ROAD,INDIAN ROAD,6.0,MUSIC,dcla_culturalinstitutions,1065081,POINT(1006709.5731797218 257135.34771871567)
69-02 64 STREET,64 STREET,24.0,EARLY EDUCATION PROGRAM,doe_universalprek,4088138,POINT(1013613.536075592 195831.94249629974)
1220 FIFTH AVENUE,FIFTH AVENUE,4.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations,1074157,POINT(997575.583471775 228007.5571269989)
2581 ATLANTIC AVENUE,ATLANTIC AVENUE,19.0,SUPPORT MENTAL HEALTH,nysomh_mentalhealth,3326689,POINT(1012230.4395451546 185589.19844770432)
43 SNYDER AVENUE,SNYDER AVENUE,17.0,ELEMENTARY SCHOOL - PUBLIC,doe_lcgms,3117230,POINT(996391.6542363167 175746.43475961685)
,,17.0,STATE HISTORIC PLACE,nysparks_historicplaces,0,POINT(996235.2043509483 179639.9036140442)
5015 BAY PARKWAY,BAY PARKWAY,21.0,SCHOOL BUS DEPOT,doe_busroutesgarages,3171052,POINT(991233.7351408005 165855.0967965126)
141 HINSDALE STREET,HINSDALE STREET,19.0,SCHOOL BUS DEPOT,doe_busroutesgarages,3405403,POINT(1011871.6357655525 184121.40355825424)
3117 AVENUE W,AVENUE W,22.0,SCHOOL BASED HOSPITAL EXTENSION CLINIC,nysdoh_healthfacilities,3201629,POINT(1002559.9314222336 156917.76023578644)
215 WEST 125 STREET,WEST 125 STREET,5.0,WORKFORCE 1 CAREER CENTERS,moeo_socialservicesitelocations,1058659,POINT(998386.5293598175 234279.75446510315)
15 BEACH STREET,BEACH STREET,31.0,ELEMENTARY SCHOOL - NON-PUBLIC,nysed_activeinstitutions,5013661,POINT(962918.9478712082 167932.943918705)
55-20 METROPOLITAN AVENUE,METROPOLITAN AVENUE,24.0,DOE UNIVERSAL PRE-K,doe_universalprek,4080234,POINT(1009680.5332407951 198929.05663394928)
11109 QUEENS BLVD,,28.0,COMMERCIAL GARAGE & PARKING LOT,dca_operatingbusinesses,4307915,POINT(1029200.020667553 201359.2072057724)
596 BROADWAY,BROADWAY,2.0,NEW MEDIA,dcla_culturalinstitutions,1007944,POINT(985160.9929208755 203345.9756383896)
1919 PROSPECT AVENUE,PROSPECT AVENUE,12.0,SCHOOL'S OUT NEW YORK CITY (SONYC),moeo_socialservicesitelocations,2094582,POINT(1014655.924685955 246724.64576292038)
27 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,31.0,DROP-IN CENTER,moeo_socialservicesitelocations,5023694,POINT(947747.9796924591 172439.3305888176)
10-25 41 AVENUE,41 AVENUE,30.0,,dycd_service_sites,4433386,POINT(999620.4007844925 214564.69309854507)
2265 BATHGATE AVENUE,BATHGATE AVENUE,10.0,SUPPORTED SRO-OMH,moeo_socialservicesitelocations,2127588,POINT(1013968.19298172 250474.7400379181)
,,31.0,RECREATIONAL FIELD/COURTS,dpr_parksproperties,0,POINT(952646.1501774788 162679.4912595749)
40-06 WARREN STREET,WARREN STREET,24.0,COMPREHENSIVE OUTPATIENT CLINIC,nysoasas_programs,4435525,POINT(1020130.3471498489 212104.44261312485)
2094 FULTON AVE,,23.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,0,POINT(1008145.7726516724 186441.46234416962)
79-01 BROADWAY,BROADWAY,24.0,SUPPORT MENTAL HEALTH,nysomh_mentalhealth,4437132,POINT(1015930.158264637 210753.06195783615)
601 EAST 163 STREET,EAST 163 STREET,8.0,ANTI-GUN VIOLENCE INITIATIVE,moeo_socialservicesitelocations,2116861,POINT(1009847.6700453758 239491.41451072693)
2890 ARTHUR KILL ROAD,ARTHUR KILL ROAD,31.0,SCHOOL BUS DEPOT,doe_busroutesgarages,5086699,POINT(920952.1151151657 138320.50545310974)
6055 STRICKLAND AVENUE,STRICKLAND AVENUE,22.0,SCHOOL BUS DEPOT,doe_busroutesgarages,3343229,POINT(1008210.3309445381 161681.88419818878)
150-10 HILLSIDE AVENUE,HILLSIDE AVENUE,28.0,PSYCHOSOCIAL CLUB-OMH,moeo_socialservicesitelocations,4207127,POINT(1038029.9597582817 196748.9698472023)
69-61 GRAND AVENUE,GRAND AVENUE,24.0,SENIOR CENTER,dfta_contracts,4058561,POINT(1013712.4190626144 204244.18874502182)
3820 THIRD AVENUE,THIRD AVENUE,9.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,2092127,POINT(1011521.3242797852 244399.7352218628)
1220 GERARD AVENUE,GERARD AVENUE,9.0,SCHOOL'S OUT NEW YORK CITY (SONYC),moeo_socialservicesitelocations,2097130,POINT(1006467.0942058563 243729.95974826813)
154 SHEFFIELD AVENUE,SHEFFIELD AVENUE,19.0,SCHOOL BUS DEPOT,doe_busroutesgarages,3393335,POINT(1012688.1079931259 184721.45025348663)
9502 SEAVIEW AVENUE,SEAVIEW AVENUE,18.0,SCHOOL'S OUT NEW YORK CITY (SONYC),moeo_socialservicesitelocations,3235056,POINT(1014592.4075613022 169742.50831842422)
9115 5 AVENUE,5 AVENUE,20.0,AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,dycd_service_sites,3154775,POINT(976303.2416276932 164436.9414601326)
1680 JEROME AVENUE,,9.0,TOW TRUCK COMPANY,dca_operatingbusinesses,2008154,POINT(1008306.9904112816 247560.98349237442)
555 WEST 57 STREET,,2.0,COMMERCIAL GARAGE & PARKING LOT,dca_operatingbusinesses,1027072,POINT(986883.8790369034 219955.1464691162)
,,,TRANSPORTATION FACILITY,dcp_colp,0,POINT(984004.037106514 192845.10695695877)
70 W 93RD ST,,3.0,COMMERCIAL GARAGE & PARKING LOT,dca_operatingbusinesses,1031627,POINT(992884.9926567078 227263.98470115662)
1117 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,22.0,COMMUNITY SERVICES,dycd_service_sites,3178901,POINT(993721.1932864189 168953.23421096802)
,,2.0,COMPOST,dsny_fooddrop,0,POINT(997102.7432990074 221796.13495779037)
685 TINTON AVENUE,TINTON AVENUE,7.0,ELEMENTARY SCHOOL - NON-PUBLIC,nysed_activeinstitutions,2004684,POINT(1010388.7832078934 236684.87279891968)
2021 GRAND CONOURSE,,9.0,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,nysdoh_healthfacilities,0,POINT(1010684.1371016502 249616.86948680878)
CHELSEA SQ,,2.0,4-YEAR INDEPENDENT,nysed_activeinstitutions,1083573,POINT(983092.357573986 211002.74608278275)
7305 FT HAMILTON PARKWAY,FT HAMILTON PARKWAY,20.0,AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES; FAMILY SUPPORT,dycd_service_sites,3148031,POINT(980147.3129410744 167426.0464234352)
,,15.0,NEIGHBORHOOD PARK,dpr_parksproperties,0,POINT(987672.5696034431 180273.06119585037)
,,12.0,SCHOOL BUS DEPOT,doe_busroutesgarages,0,POINT(1018187.0000023842 243875.99999189377)
119 EAST 107 STREET,EAST 107 STREET,4.0,INDOOR PARKING GARAGE,dcp_colp,1090142,POINT(999078.9066519737 228441.23087835312)
9-16 27 AVENUE,27 AVENUE,30.0,CIVICS CLASSES,moeo_socialservicesitelocations,4005573,POINT(1003461.1754655838 221087.698574543)
1083 FIFTH AVENUE,FIFTH AVENUE,2.0,PRIVATE MUSEUMS AND SITES,nysed_activeinstitutions,1046966,POINT(995740.5958976746 224775.5932559967)
239 VANDERBILT AVENUE,VANDERBILT AVENUE,13.0,PRE-SCHOOL FOR STUDENTS WITH DISABILITIES,nysed_activeinstitutions,3329856,POINT(992815.0854477882 190946.80138397217)
2195 GRAND CONCOURSE,GRAND CONCOURSE,10.0,EARLY EDUCATION PROGRAM,doe_universalprek,2013759,POINT(1011528.078874588 251138.86898899078)
500 WEST 138 STREET,WEST 138 STREET,6.0,YOUTH RECREATIONAL SERVICES/YOUTH ATHLETIC LEAGUES,moeo_socialservicesitelocations,1084132,POINT(997238.9959383011 238393.46742391586)
