geocoded_column,:@computed_region_efsh_h5xi,primary_fur_color,hectare_squirrel_number,other_interactions,climbing,moans,quaas,shift,:@computed_region_f5dn_yrer
"{'type': 'Point', 'coordinates': [-73.9703010856224, 40.7701983575511]}",,Gray,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9576530157255, 40.7868659490397]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9583101927652, 40.7852649316039]}",,Gray,5,runs from (us),False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9802079259866, 40.7678723471007]}",,Gray,10,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9759432151552, 40.7733240612552]}",,Gray,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9709040623777, 40.7701163892686]}",,Gray,3,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9703781726172, 40.7787526130321]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9702228131711, 40.7742131587983]}",,Gray,12,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9701310753277, 40.7768001008083]}",,Gray,6,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.978400938697, 40.7677411911854]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9726958070536, 40.7706096126328]}",,Gray,9,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9761440627966, 40.7706035301542]}",,Gray,4,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9707274055755, 40.7723889080377]}",,Gray,10,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9561344937861, 40.7940823884086]}",,,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9539734770934, 40.7956055442]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9534509627885, 40.7921084224711]}",,Gray,7,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9709104380323, 40.7769096957616]}",,Gray,16,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9593126695714, 40.797533370163]}",,,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9681093100008, 40.7731753915361]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9785300509908, 40.7721127748427]}",,Gray,7,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9589414339242, 40.7907073888277]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9719888241794, 40.7667681685356]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9570817579092, 40.7964221087879]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9666521094255, 40.7842753517648]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9629615594409, 40.7924176425827]}",,Gray,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9769319450348, 40.7743883576247]}",,Gray,11,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9712327308512, 40.7748702909218]}",,Cinnamon,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9574809028248, 40.7950013620207]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9570528770427, 40.7990973804149]}",,Cinnamon,7,mad!,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9724801784201, 40.7790131966689]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9530040923555, 40.7922896176936]}",,Gray,10,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9595645962539, 40.7899599350145]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9579724119943, 40.7948709900016]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9698959071826, 40.7716763799299]}",,Gray,5,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9510747586301, 40.7973106833951]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.970173142921, 40.7762349924081]}",,Gray,19,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.969345754447, 40.7770429650288]}",,Gray,2,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9685604013735, 40.7773439909065]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9748706415584, 40.7744174965072]}",,Gray,2,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9702788578386, 40.7694484997295]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9786603147149, 40.7671937837017]}",,Cinnamon,9,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9547711796823, 40.7908540751983]}",,Gray,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9704862864304, 40.7739583111676]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9597418366664, 40.7964417084985]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9578924882613, 40.789806297824]}",,Gray,2,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9694630409125, 40.769737659647]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9679336341793, 40.7754186579647]}",,Gray,1,watching,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9645147011741, 40.7772566833799]}",,Gray,4,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9553811810434, 40.7970895007931]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9669432929573, 40.779136518298]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9646610347972, 40.7790583544252]}",,Gray,5,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9746918762076, 40.7655231883678]}",,Gray,2,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9699672074164, 40.7774389345748]}",,Gray,7,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.976730206737, 40.773709213914]}",,Gray,1,runs from (goes up a tree),True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.96942403275091, 40.7755898126674]}",,Cinnamon,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9577113026056, 40.7904332453456]}",,Black,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9721592378418, 40.776034583573]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9721797824576, 40.7801213843628]}",,Gray,7,approaches (very friendly),False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9773821135611, 40.7690453494383]}",,Gray,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9696517826558, 40.7769658302844]}",,Gray,4,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9617612388703, 40.7952875954297]}",,Gray,4,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9638837160341, 40.7809747900833]}",,Gray,7,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9706323458769, 40.771319603426505]}",,Cinnamon,3,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.95826439540551, 40.8000460061272]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9570056123953, 40.7878756067582]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9754778808471, 40.7685619029765]}",,Gray,1,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9660110060416, 40.7809990098597]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9689700100267, 40.7775169562765]}",,Gray,5,,False,False,True,PM,19
"{'type': 'Point', 'coordinates': [-73.9792153893146, 40.7688272492961]}",,Cinnamon,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9691050656013, 40.7808139538222]}",,Black,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9737773613311, 40.7673662611015]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9679008849677, 40.7759013923034]}",,Gray,2,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9575943815564, 40.7933755266787]}",,Gray,7,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9684758245091, 40.7858531619022]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9706360005275, 40.7717074044466]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9704082821356, 40.7690280985956]}",,Gray,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9737091707831, 40.7713732567512]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9529230207908, 40.7960663442573]}",,Gray,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.964474836001, 40.7883840104749]}",,Gray,1,gnd to tree,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9550351380957, 40.7974681522214]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9659034359706, 40.77975166888441]}",,Cinnamon,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.97035767623, 40.7714036487747]}",,Gray,9,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9514111329059, 40.797508587289705]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9761447791484, 40.7690147873986]}",,Cinnamon,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9586214081667, 40.7937473968735]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9767191629692, 40.7730786298701]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9753283783695, 40.7733043910649]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.96955698970422, 40.7712062147171]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9700759073973, 40.7680560871695]}",10090.0,Gray,1,,False,False,False,AM,23
"{'type': 'Point', 'coordinates': [-73.9570130017159, 40.7996027428625]}",,Black,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9613780522542, 40.790786197111]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9721854790038, 40.7761086352438]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9787658435198, 40.7689419765393]}",,Gray,7,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9573930079918, 40.7934570294469]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9708364583591, 40.7723691587433]}",,Gray,1,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9651828383592, 40.7802820943863]}",,Gray,6,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9698714743386, 40.7743814661685]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9584970643213, 40.7982886348696]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9721670042434, 40.776085913838]}",,Gray,9,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9785133301426, 40.7718260288338]}",,Cinnamon,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.95812430217221, 40.794431473386]}",,Cinnamon,1,avoiding a dog,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9767949141123, 40.774454583585]}",,,1,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9753574279936, 40.7683211694257]}",,Gray,8,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.96098856868342, 40.7961108640319]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9713519158027, 40.7798470142991]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9713330594434, 40.7771924214236]}",,Gray,10,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9745953710328, 40.7728284025195]}",,Gray,7,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9652357279671, 40.7819296887147]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.958494212554, 40.7995008636057]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9728660779622, 40.7753294525644]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9698843507358, 40.7803754187581]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9754836796706, 40.7738879545412]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9691094942294, 40.776760392858]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9644293195773, 40.7813829172072]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9741621946917, 40.7752481472025]}",,Gray,1,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9592819491968, 40.7941062008626]}",,,6,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.967097592707, 40.7854119342538]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9724063986771, 40.7705711897977]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9647284206644, 40.7839611840884]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9708002461415, 40.7726685284831]}",,Gray,10,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9665709146738, 40.7839384318554]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9661785940531, 40.7742569936186]}",,Gray,1,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9719036217446, 40.7803588122409]}",,Gray,1,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9530263552489, 40.7920949788358]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9584696083284, 40.7980121226635]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9735750352959, 40.7694500333777]}",,Cinnamon,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9718720403657, 40.7702335056337]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9635028497015, 40.7928207574906]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9641293283734, 40.7907654006019]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9740007759509, 40.7650077086539]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9551524422379, 40.7910535596756]}",,Black,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9735120882106, 40.7715915415169]}",,Gray,7,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.97537445393071, 40.7671162211032]}",,Gray,12,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9568382279233, 40.7975685470963]}",,Gray,7,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9763430829342, 40.7686351097159]}",,Cinnamon,11,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9745687653791, 40.7776396926997]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9698762023146, 40.77820556881131]}",,Gray,9,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9750283794865, 40.7724101927821]}",,Cinnamon,8,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9687847410656, 40.778185700305]}",,Gray,9,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9770718586754, 40.7729752391435]}",,Gray,9,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9773096718574, 40.7738053862489]}",,Gray,6,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9808247660048, 40.7689408831287]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.96839940647311, 40.7710765500799]}",,Cinnamon,6,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9790896775237, 40.7688048644871]}",,Cinnamon,10,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9626527908786, 40.7912472380247]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9685080639873, 40.77453097941551]}",,Cinnamon,3,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9731457102903, 40.7660255393205]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9623696148045, 40.792184861375]}",,Gray,4,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9695964983454, 40.7802302192799]}",,Black,8,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9775681731459, 40.7676421190309]}",,Gray,3,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9707197274481, 40.7773956803431]}",,Gray,12,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.964080104186, 40.7907898627287]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9581173730857, 40.7954772170549]}",,Gray,8,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9591695545875, 40.7938116360767]}",,Gray,8,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9772422664657, 40.773436329163]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9687476703117, 40.7742856696093]}",,Cinnamon,1,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9772053786965, 40.7663906573332]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9574749571848, 40.7981898890735]}",,Gray,8,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9578316525492, 40.7890102959629]}",,Gray,1,"froze,sight of dogs",False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9568143871234, 40.7899001700041]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.971791854883, 40.7802971729784]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9532170504865, 40.7919669739962]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9558809064648, 40.7952765022241]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9792754037291, 40.7679690700399]}",,Gray,8,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9756810453606, 40.7756257458036]}",,Cinnamon,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9571233640232, 40.7992458980266]}",,Gray,4,climbing,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9770235090023, 40.774135208066]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9637279711853, 40.7905198502307]}",,Gray,9,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.959709414696, 40.7919745085986]}",,Black,3,ran up tree,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9701596268736, 40.7702106607329]}",,Gray,9,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9759830650957, 40.7683034739069]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9675023138703, 40.7872554700995]}",,Cinnamon,1,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9602222116708, 40.793779699421]}",,Gray,5,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9714243547433, 40.7713973982359]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.967181612203, 40.7787752287055]}",,Gray,3,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9689000978955, 40.7828364735236]}",,Gray,10,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.963846339804, 40.7834051716226]}",,Cinnamon,1,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9623922773932, 40.7814944428327]}",,Cinnamon,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9763433202401, 40.7738473490681]}",,Cinnamon,10,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.972212563004, 40.7761311465857]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9795081274695, 40.7691431548544]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9681042612938, 40.772331431865]}",,Gray,4,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9671147090087, 40.7772624641112]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9786898656279, 40.77208330970651]}",,Gray,8,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9746229094643, 40.7748467061969]}",,Gray,5,avoided people,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9786714207307, 40.7696870806229]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9717425494287, 40.7664227676653]}",,Gray,7,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9754270368984, 40.7702411502308]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9716147061553, 40.7813911036179]}",,Gray,1,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9540022445432, 40.7979409854977]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9776854797916, 40.7683102295663]}",,Cinnamon,4,runs from (boy on bike),False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.971905618214, 40.776238547063]}",,Gray,10,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9757413215621, 40.7692582758978]}",,Gray,4,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9539400028236, 40.79800412717]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9741824992294, 40.7689486657963]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9664630067791, 40.7756361515825]}",,Gray,4,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9662438996681, 40.7890381809441]}",,Cinnamon,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9589627056561, 40.7847591558491]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9642411990432, 40.7779692777193]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.978426472499, 40.771904101844]}",,Cinnamon,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9710760196868, 40.7725506006789]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9671851611243, 40.7750878657618]}",,Gray,1,approaches (came very close to me),False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9758152322587, 40.7692377401467]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9738817388158, 40.7712709366093]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9683608295976, 40.7842927405327]}",,Cinnamon,4,ran from dog-walker,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9756603846107, 40.7672531319384]}",,Cinnamon,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9772026572674, 40.7691598773017]}",,Cinnamon,14,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9648626810032, 40.7804506112843]}",,Gray,2,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9750463844984, 40.7666871742836]}",,Gray,8,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9696173677837, 40.7705202790525]}",,Gray,4,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9716404781264, 40.7753181851766]}",,Gray,2,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9755560786227, 40.7662992317575]}",,Gray,5,curious but shy,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.963858549251, 40.7808999610914]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9675047480308, 40.7789234397249]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9671130680114, 40.7784859700171]}",,Gray,7,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9718597156773, 40.7765858763313]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9678774314725, 40.7738535171265]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.97428114848522, 40.775533619083]}",,Gray,8,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9588660250232, 40.7982597947515]}",,Gray,3,dog chased,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9692943291611, 40.7769536102488]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9638774579549, 40.7913532129148]}",,Gray,5,eventually ran from lawnmower (tail flag),False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9729378674198, 40.7672407594559]}",,Gray,4,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.970315671921, 40.7720905395472]}",,Gray,2,,False,False,False,PM,19
