legal_business_name,bin,nta,seating_interest_sidewalk,zip,latitude,approved_for_sidewalk_seating,bbl
136 ALEXANDER CAFE LLC,2124647.0,Mott Haven-Port Morris,openstreets,10454,40.807367,no,2022967502.0
5404 myrtle corp,,Ridgewood,sidewalk,11385,40.699583,yes,
joes pizza bedford llc,3062194.0,North Side-South Side,roadway,11249,40.716815,no,3023350028.0
Butcher's Block Hospitality,1011451.0,West Village,sidewalk,10014,40.737553,yes,1006250062.0
Felice Gold Street LLC,1085948.0,Battery Park City-Lower Manhattan,roadway,10038,40.707753,no,1000680028.0
Congee Village Restaurant & Bar of Flushing Inc.,4534920.0,Flushing,both,11354,40.760911,yes,4049707501.0
LENWICH 83RD LLC,1031205.0,Upper West Side,sidewalk,10024,40.784216,yes,1011960064.0
G&amp;L BAR &amp; RESTAURANT INC.,4215551.0,South Jamaica,sidewalk,11435,40.694447,yes,4100880117.0
GUACUCO BED-STUY LLC,3413813.0,Bedford,both,11221,40.691962,yes,3017810040.0
Gizona corporation,,,openstreets,10011,,no,
prima pasta & cafe inc,4294016.0,Lindenwood-Howard Beach,both,11414,40.654982,yes,4140480083.0
46 02 Skillman Cafe LLC,4001250.0,Hunters Point-Sunnyside-West Maspeth,both,11104,40.74654,yes,4001370027.0
PANMARK LTD,4121244.0,Auburndale,roadway,11358,40.757905,no,4053730010.0
ICE CREAM HOUSE ON AVE M LLC,3180687.0,Midwood,both,11230,40.61826,yes,3067370050.0
Two Hands Williamsburg LLC,,North Side-South Side,both,11249,40.716334,yes,
CECILIA'S FOODS INC.,1053662.0,Central Harlem North-Polo Grounds,both,10027,40.809378,yes,1017250072.0
Jin Ding Food Inc.,4140069.0,Queensboro Hill,sidewalk,11355,40.745823,yes,4064010003.0
villa tapia restaurant corp,2091058.0,Mott Haven-Port Morris,sidewalk,10454,40.807892,yes,2022830053.0
Gt Kingston Diner Inc,4202337.0,South Ozone Park,both,11419,40.684147,yes,4095320004.0
50 GREENWICH AVE SUSHI INC,1078114.0,West Village,both,10011,40.735679,yes,1006060019.0
ANDREWS THIRTY-FIFTH STREET COFFEE SHOP INC.,1015222.0,Midtown-Midtown South,both,10018,40.751749,yes,1008110001.0
LA BRUSCHETTA RESTAURANT OF NY INC,3021506.0,Park Slope-Gowanus,roadway,11215,40.669179,no,3009890042.0
Sweet Chick Vernon LLC,4000045.0,Hunters Point-Sunnyside-West Maspeth,both,11101,40.745956,yes,4000280003.0
Smeireles Inc,2047037.0,Pelham Parkway,both,10461,40.852788,yes,2042190068.0
SWEETGREEN NEW YORK LLC,1017019.0,Midtown-Midtown South,both,10016,40.746077,yes,1008620029.0
"ACBP SoHa, LLC",1056058.0,Morningside Heights,sidewalk,10025,40.806654,yes,1018670074.0
LIAO DE HEN INC,1001800.0,Chinatown,sidewalk,10013,40.715153,yes,1001630032.0
Archway on Water Corp.,3000090.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,sidewalk,11201,40.702763,yes,3000400001.0
1995 Hylan Restaurant Corp,,,both,10306,,yes,
M D R HOSPITALITY GROUP INC,2026489.0,Westchester-Unionport,roadway,10462,40.831318,no,2038110041.0
1236 Second Avenue Restaurant Corp,,,both,10065,,yes,
"MANHATTANVILLE COFFEE, LLC",1060761.0,Central Harlem North-Polo Grounds,sidewalk,10030,40.821318,yes,1020437503.0
GRILL ON BBQ CORP,4119195.0,Murray Hill,both,11354,40.764897,yes,4052660012.0
PITANT SPORT TEAM INC,3102596.0,Rugby-Remsen Village,both,11212,40.655509,yes,3046910037.0
LENWICH 43RD LLC,1026365.0,Clinton,sidewalk,10036,40.75942,yes,1010530032.0
Pollos Sabroso Corp,2025620.0,West Farms-Bronx River,sidewalk,10472,40.83167,yes,2037860001.0
RULE OF THIRDS,3065494.0,Greenpoint,both,11222,40.724526,yes,3026160031.0
Flava Cuisine LLC,2064799.0,Williamsbridge-Olinville,sidewalk,10466,40.891331,yes,2048680052.0
Mahakan Inc.,4314617.0,Elmhurst,sidewalk,11373,40.736402,yes,4024770018.0
IKE CORP,4156902.0,Bayside-Bayside Hills,both,11361,40.759326,yes,4073140029.0
301 South LLC,1085492.0,Battery Park City-Lower Manhattan,both,10280,40.710233,yes,1000160001.0
El Sason De Mi Abuela Corp,2090512.0,West Farms-Bronx River,both,10472,40.828786,yes,2037750007.0
Upi Yuliastuti Restaurant Inc,4037782.0,Elmhurst-Maspeth,sidewalk,11373,40.74342,yes,4015220002.0
Ming's,1003600.0,Lower East Side,roadway,10002,40.714467,no,1002830074.0
364 Atlantic Ave,3000879.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,both,11217,40.687466,yes,3001830016.0
"Francesca Merchants, LLC",3336354.0,Carroll Gardens-Columbia Street-Red Hook,both,11231,40.677237,yes,3004700001.0
SUSHI NOZAWA NYC LLC,1086100.0,SoHo-TriBeCa-Civic Center-Little Italy,both,10012,40.725281,yes,1004907501.0
RIGAL CORP,4017008.0,Steinway,openstreets,11105,40.775285,no,4008320054.0
Zona Sur Corp,3010927.0,Sunset Park West,sidewalk,11232,40.650256,yes,3007280041.0
Renzan Sushi Corporation,1049872.0,Yorkville,sidewalk,10028,40.775438,yes,1015450001.0
FRIENDSHIP FOODS ONE INC,1003922.0,Chinatown,roadway,10002,40.717659,no,1003040005.0
SOUTH 4TH RESTAURANT COMPANY LLC,3072636.0,Bushwick North,sidewalk,11237,40.707742,yes,3031900037.0
"Mee759, INC",1026752.0,Clinton,both,10019,40.76522,yes,1010620036.0
NOT TODAY MAYBE TOMORROW TAVERN LLC,3068748.0,East Williamsburg,sidewalk,11211,40.71458,yes,3027600001.0
"976 Madison Restaurant, LLC",1041796.0,Upper East Side-Carnegie Hill,both,10075,40.774522,yes,1013910014.0
Pizzatown,,,both,11217,,yes,
Snacking Made Easy LLC,3019193.0,Park Slope-Gowanus,sidewalk,11217,40.678651,yes,3009440004.0
23 Winehouse LLC,1055206.0,Central Harlem South,both,10026,40.802254,yes,1018307503.0
Munch Food LLC,3171275.0,Midwood,roadway,11230,40.624052,no,3065310018.0
Water Street Tavern Corp.,3000090.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,roadway,11201,40.702763,no,3000400001.0
Commonwealth Hospitality LLC,3061765.0,North Side-South Side,both,11249,40.719689,yes,3023100038.0
NY SHOPKEEPER INC,4532164.0,Flushing,both,11354,40.760725,yes,4049720237.0
Shannon Cafe LLC,1038441.0,Turtle Bay-East Midtown,both,10022,40.75517,yes,1013240025.0
LOS CAFETALES RESTAURANT CORP,4029940.0,Jackson Heights,both,11372,40.747278,yes,4012890039.0
Gen Kame Inc,1084996.0,Midtown-Midtown South,sidewalk,10001,40.747511,yes,1007760004.0
1801 BAKERY CORP.,4443901.0,College Point,both,11356,40.782991,yes,4041280019.0
1359 Bway Corp,1015240.0,Midtown-Midtown South,sidewalk,10018,40.751704,yes,1008120022.0
Bay Parkway Seafood Palace Inc,3167065.0,Bensonhurst West,both,11214,40.602252,yes,3063800042.0
Janice pizzeria inc DBA ciccios,3191277.0,Bensonhurst East,both,11223,40.596648,yes,3071010050.0
Ovenly,3064668.0,Greenpoint,sidewalk,11222,40.729704,yes,3025560054.0
NORTHERN WANGMANDOO INC,4578063.0,Murray Hill,sidewalk,11354,40.765298,yes,4050180012.0
"SC Hospitality LLC,",,,roadway,10036,,no,
"HAMA NEW YORK, INC.",1025025.0,Clinton,openstreets,10036,40.760463,no,1010360057.0
CORNER 660 LLC,3337840.0,Prospect Heights,sidewalk,11238,40.675406,yes,3011670010.0
LA VECCHIA LLC,1000000.0,Hudson Yards-Chelsea-Flatiron-Union Square,both,10016,40.743777,yes,1008577503.0
"French Onion Soup, LLC",1083719.0,Midtown-Midtown South,sidewalk,10019,40.763379,yes,1010070029.0
Joe's Ginger Corp.,1001697.0,Chinatown,both,10013,40.714851,yes,1001620022.0
CCAS INC,4016430.0,Steinway,openstreets,11105,40.774736,no,4008220033.0
SPIN NYC LLC,1016287.0,Hudson Yards-Chelsea-Flatiron-Union Square,both,10010,40.740599,yes,1008510041.0
RACHEL ON NINTH COPR,1024959.0,Clinton,roadway,10036,40.759341,no,1010340003.0
106 La Contenta LLC,1004300.0,Lower East Side,both,10002,40.71891,yes,1003530051.0
J &amp; S Wholesome Choice Inc,3023432.0,Park Slope-Gowanus,sidewalk,11215,40.666444,yes,3010350005.0
Jobito Bronx,2008405.0,University Heights-Morris Heights,sidewalk,10453,40.852916,yes,2028630046.0
ARBOR MOUSE LLC,3196561.0,West Brighton,sidewalk,11224,40.575552,yes,3072660254.0
PARAISO BAR & LOUNGE INC,4212032.0,Jamaica,sidewalk,11423,40.709236,yes,4099050128.0
akram restaurant management inc,1003083.0,SoHo-TriBeCa-Civic Center-Little Italy,both,10013,40.718332,yes,1002360031.0
red panda asian bistro inc,4050410.0,Rego Park,both,11374,40.730605,yes,4020790001.0
"TAPAS Y MAS, LLC",1015462.0,Hudson Yards-Chelsea-Flatiron-Union Square,both,10011,40.739801,yes,1008210011.0
Europa bakery & pastry shop,3133618.0,Bensonhurst West,sidewalk,11204,40.616269,yes,3055490001.0
EL PAISANITO RESTAURANT CORP,2041695.0,Westchester-Unionport,both,10462,40.837292,yes,2039730012.0
Jing Wei Hotpot,3403972.0,Sunset Park East,roadway,11220,40.636562,no,3057850009.0
DA FOOD SERVICES CORP,1064984.0,Marble Hill-Inwood,sidewalk,10034,40.867566,yes,1022410024.0
TK Food Concepts LLC,3062619.0,North Side-South Side,sidewalk,11249,40.714601,yes,3023800025.0
Sonovi Inc.,3140937.0,Borough Park,sidewalk,11219,40.632642,yes,3057090001.0
Grain House Inc,1055946.0,Upper West Side,roadway,10025,40.80012,no,1018600064.0
ZEST HOSPITALITY INC.,1005431.0,Chinatown,roadway,10002,40.718117,no,1004130004.0
PASTICCERIA LUCA INC.,2012161.0,Belmont,sidewalk,10458,40.855128,yes,2030740022.0
Wonderful Express Inc.,3158360.0,Bensonhurst West,sidewalk,11228,40.61809,yes,3061910035.0
ICE CREAM HOUSE ON 36TH STREET LLC,3125055.0,Borough Park,both,11218,40.64123,yes,3053490084.0
LOTUS WEST CORP,1026414.0,Clinton,both,10036,40.759829,yes,1010540029.0
"Dining Innovation New York, Inc.",,,sidewalk,10036,,yes,
MI GRAN SUENO GRILL & LOUNGE RESTAURANT CORP,1059964.0,Manhattanville,both,10031,40.821305,yes,1020020050.0
AFB LOUNGE LLC,,,both,11103,,yes,
GYRO KING FOODS CORP,2014027.0,Fordham South,both,10468,40.862447,yes,2031840039.0
SWEETGREEN NEW YORK LLC,1009195.0,West Village,sidewalk,10003,40.734009,yes,1005640001.0
TAK HING KITCHEN INC,3166817.0,Bensonhurst West,sidewalk,11214,40.605263,yes,3063730053.0
1470 ESTRELLA BAR RESTAURANT CORP,2008106.0,West Concourse,both,10452,40.841614,yes,2028440001.0
Naughty Gull,1009773.0,West Village,sidewalk,10014,40.730436,yes,1005830001.0
Dinosaur Restaurants LLC,3007368.0,Park Slope-Gowanus,sidewalk,11215,40.677774,yes,3004410021.0
Yanez corp,4004794.0,Queensbridge-Ravenswood-Long Island City,sidewalk,11101,40.753429,yes,4003960037.0
Pecoshitas Rest & Bakery LLC,4030002.0,Jackson Heights,sidewalk,11372,40.747463,yes,4012910047.0
KISSAKI OMAKASE LLC,1006538.0,East Village,both,10003,40.725435,yes,1004570008.0
649 Broadway Coffee and Bakery LLC,1077824.0,West Village,sidewalk,10012,40.726794,yes,1005320020.0
"THE PANDERING PIG, INC",1064356.0,Washington Heights North,both,10033,40.854553,yes,1021790213.0
SHNY RESTAURANT GROUP LLC,1026453.0,Clinton,both,10036,40.760535,yes,1010550029.0
Bread Gallery Inc,3066981.0,Greenpoint,both,11222,40.725499,yes,3026850007.0
GREEN GARDEN VILLAGE INC,1006934.0,SoHo-TriBeCa-Civic Center-Little Italy,sidewalk,10013,40.718908,yes,1004700028.0
Bordeaux LLC,3175213.0,Homecrest,roadway,11230,40.610695,no,3066170042.0
Embe restaurant corp,1009559.0,West Village,both,10011,40.734185,yes,1005740072.0
Dun Huang New Land Corp,3424339.0,Clinton Hill,both,11205,40.693714,yes,3018937504.0
LARESCO HOLDINGS LLC,3398113.0,Park Slope-Gowanus,roadway,11215,40.666831,no,3010400048.0
BEREZKA NY INC,3202824.0,Homecrest,roadway,11235,40.59106,no,3074110074.0
"BELONG CAFE, LLC",1056690.0,Morningside Heights,both,10025,40.80309,yes,1018800061.0
OMAR'S LES LLC,1066637.0,Chinatown,openstreets,10002,40.718735,no,1004197501.0
Restaurante la Libertad Corp.,1062699.0,Washington Heights South,both,10032,40.833724,yes,1021150001.0
Padishah Corp.,,,roadway,11229,,no,
Lar Portugues Ltd.,4230254.0,Queens Village,sidewalk,11428,40.720537,yes,4107410162.0
Whosik Inc.,4443442.0,Murray Hill,both,11354,40.763034,yes,4050340014.0
MR.Q'S GOURMET INC,,Sunset Park East,both,11220,40.63646,yes,
ZENITH THAI INC,4085294.0,Ridgewood,both,11385,40.702477,yes,4035370022.0
Sivan Design LLC,1055855.0,Central Harlem South,sidewalk,10026,40.804505,yes,1018480053.0
SC BROADWAY LLC,1057329.0,Morningside Heights,both,10025,40.805121,yes,1018940050.0
PLG Social LLC,3114847.0,Prospect Lefferts Gardens-Wingate,both,11225,40.659579,yes,3050310001.0
SWEETGREEN NEW YORK LLC,1008367.0,West Village,both,10014,40.730087,yes,1005270076.0
JUST SALAD PARK SLOPE LLC,3021291.0,Park Slope-Gowanus,roadway,11215,40.669407,no,3009860046.0
"309 fresh, LLC",,,sidewalk,10017,,yes,
APQ 708 THIRD AVENUE NY LLC,1036177.0,Turtle Bay-East Midtown,both,10017,40.752328,yes,1012990033.0
"YA CAFE, INC.",3245110.0,Brighton Beach,sidewalk,11235,40.577633,yes,3086910047.0
Chela INC.,3021861.0,Park Slope-Gowanus,both,11215,40.67013,yes,3009980040.0
931 Manhattan Cafe LLC,3064579.0,Greenpoint,roadway,11222,40.731193,no,3025500044.0
GYRO KING FOODS CORP,2014027.0,Fordham South,sidewalk,10468,40.862447,yes,2031840039.0
Tropical Sensation,1055979.0,Morningside Heights,openstreets,10025,40.800935,no,1018610062.0
Boythaicorp,1025038.0,Clinton,openstreets,10036,40.761081,no,1010370001.0
J &amp; N RST INC.,4443901.0,College Point,sidewalk,11356,40.782988,yes,4041280019.0
SHAN FENG HOUSE INC,,,roadway,11354,,no,
inbing inc,4060285.0,Maspeth,both,11378,40.720129,yes,4026980046.0
The Manhattan Ocean Club Associates LLC,1035250.0,Midtown-Midtown South,both,10019,40.76452,yes,1012747502.0
GOLDEN CITY SEAFOOD RESTAURANT INC,3133617.0,Bensonhurst West,sidewalk,11204,40.616963,yes,3055480145.0
Ugu YT INC,3054615.0,Clinton Hill,both,11205,40.69379,yes,3018947501.0
joes pizza bedford llc,3062194.0,North Side-South Side,roadway,11249,40.716815,no,3023350028.0
BLUE CITY LOUNGE CORP,4042212.0,East Elmhurst,both,11368,40.757809,yes,4017020062.0
127 Westchester Square LLC,2128715.0,Westchester-Unionport,openstreets,10461,40.840252,no,2038590011.0
Pearl and Front Corp.,3000090.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,sidewalk,11201,40.702461,yes,3000400001.0
SWEETGREEN NEW YORK LLC,1000829.0,Battery Park City-Lower Manhattan,sidewalk,10005,40.705749,yes,1000270017.0
"HUD HOSPITALITY, LLC",1015901.0,Midtown-Midtown South,openstreets,10018,40.749903,no,1008370052.0
Naruto Japanese restaurant inc,4534920.0,Flushing,roadway,11354,40.760911,no,4049707501.0
Little Cheers Inc,4028467.0,Woodside,sidewalk,11377,40.745371,yes,4012410083.0
E & S SWEET BITES INC,2043448.0,Van Nest-Morris Park-Westchester Square,sidewalk,10462,40.845097,yes,2040490006.0
"IL CAFFE LATTE 2, INC",1061320.0,Hamilton Heights,sidewalk,10031,40.824867,yes,1020590054.0
"KYOTO OMEN U.S.A., INC.",1007787.0,SoHo-TriBeCa-Civic Center-Little Italy,both,10012,40.72583,yes,1005030023.0
Hot Ramen Inc,4119428.0,Murray Hill,sidewalk,11358,40.762573,yes,4052810001.0
RTA Holdings LLC,1070014.0,Midtown-Midtown South,both,10019,40.765611,yes,1010287501.0
Miller's Ale House,5000000.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,both,10314,40.575922,yes,5024600098.0
Tessa and Lucho Inc,3004484.0,Carroll Gardens-Columbia Street-Red Hook,both,11231,40.683374,yes,3003430023.0
570 KCBS CORP,1081136.0,Midtown-Midtown South,both,10019,40.762736,yes,1012720020.0
LOTUS WEST CORP,1026414.0,Clinton,sidewalk,10036,40.759829,yes,1010540029.0
Water St Tavern Corp.,3000090.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,sidewalk,11201,40.702763,yes,3000400001.0
battista ristorante corp,3220816.0,Flatlands,sidewalk,11234,40.618714,yes,3078910037.0
Seiwa Chu-Kou USA Corp,1038489.0,Turtle Bay-East Midtown,sidewalk,10022,40.756589,yes,1013250131.0
Benjys Kosher Pizza & Dairy Restaurant,4143473.0,Kew Gardens Hills,both,11367,40.724898,yes,4066230033.0
Chingoo restaurant,3068603.0,East Williamsburg,both,11211,40.715768,yes,3027540023.0
TONG SAM GYUP GOO YI CORP.,4119565.0,Murray Hill,both,11358,40.761991,yes,4052850133.0
Beto's Restaurant Inc,,,both,10455,,yes,
Comeau,3153439.0,Bay Ridge,both,11209,40.623259,yes,3060430045.0
35-09 Ditmars Bagel Corp,4016549.0,Steinway,both,11105,40.774763,yes,4008240004.0
Universal Halal Inc,4204761.0,South Ozone Park,sidewalk,11419,40.689053,yes,4095820006.0
absolutelydivinecookies.com llc,4036224.0,Jackson Heights,both,11372,40.749527,yes,4014710001.0
AHASCRA LLC,1000000.0,Midtown-Midtown South,both,10019,40.765002,yes,1010260055.0
DOUBLE DEEP LLC,3063037.0,North Side-South Side,sidewalk,11211,40.710676,yes,3024110027.0
Flushing Tea House,4539690.0,Flushing,sidewalk,11354,40.761372,yes,4049710003.0
ZHANG BA GOU INC,1010077.0,West Village,sidewalk,10014,40.730861,yes,1005890037.0
PGT REST CORP.,1008204.0,West Village,both,10012,40.724655,yes,1005217503.0
SWEETGREEN NEW YORK LLC,1015261.0,Midtown-Midtown South,both,10021,40.752577,yes,1008130050.0
Ozone Pizzeria Inc.,4189621.0,Ozone Park,both,11417,40.680689,yes,4091190035.0
