globalid,council_district,landmark_district_or_building,doing_business_as_dba,borough,approved_for_roadway_seating
{50BEAADB-FB74-4A6C-8A08-EAA3F1A38DE1},42.0,no,MARIA ON THE GRILL,Brooklyn,no
{DC2D3953-BA67-4D82-8385-2F2B60BCA052},4.0,no,MK,Manhattan,no
{3352695D-50F4-4CE0-8463-030F20B1EB28},20.0,no,On & On 168 Inc.,Queens,no
{98EE33AB-C829-47A7-8176-5343120C8056},6.0,no,Bodrum Turkish Mediterranean Restaurant,Manhattan,no
{CF474F88-0AF3-4888-8981-AFD8F6D083AB},2.0,yes,SWEETGREEN,Manhattan,yes
{136FEF73-8001-4B0B-8DF5-87DD4DB26360},45.0,no,SIP N CHAT COCKTAIL,Brooklyn,yes
{AF707F47-EBE1-4D00-88C1-F87442E6E46A},1.0,yes,FELIX ROASTING CO.,Manhattan,yes
{4E6C56CF-2CF6-4FA4-8D3E-40107408FA6E},13.0,no,Legendary Bar & Grill Corp.,Bronx,no
{99AFA8BC-2AEC-43B3-8CC5-C2C11A289193},35.0,no,THE HOLLER,Brooklyn,no
f7ab1b53-8fb3-4f2e-81ae-9685d7cd305d,4.0,no,pitagrillnyc corp,Manhattan,no
{4E49320F-19AB-49D3-8D3C-0DF508D8E378},3.0,yes,RAMEN DANBO,Manhattan,no
{E0EF622A-B9DA-4E7A-8443-DDDA712042F9},40.0,no,BABE&AL / IDEAL SUPERMARKET,Brooklyn,no
{49922736-8EF8-4DBD-8D94-26F53F7D5818},4.0,no,THE MAZE,Manhattan,yes
{CB0789B5-B6FF-43E8-89BC-F2E84DB739E5},4.0,no,KAZUNORI 28th Street LLC.,Manhattan,yes
{2CBACAD1-49B6-4D8D-8F25-A3F415A9C586},3.0,no,ABOUT COFFEE,Manhattan,yes
{2A8144B7-52D1-4834-824F-2EBA03473A03},11.0,no,LAST STOP BAR &amp; GRILL,Bronx,yes
{FA5C9C6B-0290-4E23-8DD3-C9ABC42DACA1},34.0,no,Farewell Group LLC,Brooklyn,yes
{E76DE63C-AA88-451F-8976-2129FCEC491E},33.0,no,Ample Hills Creamery,Brooklyn,no
{B2DF6704-044B-47C1-89F9-E46218438B00},6.0,no,Cobra Restaurant Inc.,Manhattan,no
{86DEF9C6-303A-46DE-8B86-EB1A87C6AB18},9.0,no,KEUR COUMBA RESTAURANT,Manhattan,no
{7B2532AF-7B0A-41AA-8EC9-211A066B7EFA},5.0,no,TC Ventures Inc,Manhattan,no
{32B94A38-F33C-44A6-8498-CA4A55B9EC84},9.0,no,LUCILLE'S COFFEE AND COCKTAILS,Manhattan,no
{830805AA-3B17-4420-8B7F-0E660B27FF76},1.0,no,Le Pain Quotidien,Manhattan,yes
{8362237D-4B79-4C95-89A2-669FF54BE88B},1.0,no,The Little One,Manhattan,yes
{412C8397-CD15-4CB1-8B11-AB8E1A32C338},2.0,no,SWEETGREEN,Manhattan,no
{9D057292-7011-4112-81AB-47796C138C9B},,no,zeppole Restaurant,Brooklyn,yes
{10088577-57E5-4117-828B-BEAABAEE0FFF},36.0,no,BASQUIAT'S BOTTLE,Brooklyn,yes
5110fb8b-9e66-4dea-81d7-f1d608b5855e,19.0,no,Brian Dempsey's,Queens,no
{4D48DE2B-ABE9-4363-8709-ACBAE2A336C8},33.0,no,Royal Falafel and shawarma Inc.,Brooklyn,yes
{E218DD57-8684-4E0D-8238-778D57E702E6},1.0,yes,SWEETGREEN,Manhattan,no
{4CC562DA-2D62-4287-86AE-36D715058C88},39.0,no,Pizzatown,Brooklyn,yes
{1A42F6C0-E873-40C5-8202-D3C0D8837C45},3.0,no,JIMMY'S,Manhattan,yes
{E3815D25-5301-4131-8F71-CE17230F3D29},21.0,no,Dream team restaurant associates inc,Queens,yes
{73BC869C-12DE-42D9-8A81-E37719FCFDA3},1.0,no,Kitchen93,Manhattan,no
{27E63DB5-4FD8-4313-8200-BCD4CACB630E},4.0,no,The Mark Hotel,Manhattan,yes
{1E02B8E9-2EF5-4662-8B3C-CAED0C8D0ED0},1.0,no,Japond Restaurant LLC,Manhattan,yes
{C67FF591-2983-4FE1-8FBD-A400D3FFDE2B},4.0,no,ktm inc,Manhattan,yes
{38FB0E0F-A668-4EA5-85D2-3DFE2E965A01},44.0,no,MABAT STEAKHOUSE,Brooklyn,no
{25A4AE67-6A83-4002-86FA-FF132EDFFF05},40.0,no,pelicanrfeef caterers,Brooklyn,no
{75898B31-C7D6-46FB-85C2-3B6F99D946B7},3.0,yes,Worthwild,Manhattan,yes
{3D399360-CF5D-4E73-8190-1E37AD15748D},20.0,no,FOUR FOUR SOUTH VILLAGE TAIPEI BEEF NOODLES,Queens,yes
{EE262C92-ACA4-48C9-8408-D81B8A14C0D4},20.0,yes,Alley41,Queens,yes
{3CB71A4F-382A-45A3-8D28-1433FF02FDB4},2.0,no,CYBELE LLC dba OEC BUN & RAMEN,Manhattan,yes
{D7B50FDF-3749-477E-81DE-D18260D71CEC},34.0,no,Bread Brothers Bagel Cafe,Brooklyn,no
{21680E41-4674-493B-83A0-45E54027A89B},49.0,no,SALLY'S SOUTHERN,Staten Island,no
{4198740B-C3D9-48AB-8B62-5DE64CA0AD3A},38.0,no,Golden Imperial Palace,Brooklyn,yes
{72324A6B-4752-4242-8EDC-4379A712B982},26.0,no,PURPLE DOUGH,Queens,yes
{22E24D7B-B3F6-4424-81B3-8821F554A38E},1.0,no,Milk Bar,Manhattan,yes
02a63244-7ec4-4712-8921-fb319e1c215a,4.0,no,Morningstar Cafe Inc,Manhattan,yes
{CC212DCE-D58F-4C3E-8FDC-2E4C52A84171},1.0,yes,Manhattan Island Group LLC,Manhattan,yes
{5DC70BAA-1371-45E6-85CA-0B364E32D311},1.0,no,MAMAN,Manhattan,yes
86223bbc-e911-4dcb-847a-eea77e4f2f12,5.0,no,Osteria Nando,Manhattan,yes
{CBD47155-634A-44AD-84AA-A9185DF1F034},,no,Flora,Brooklyn,yes
022e92d5-13cd-4947-8d0f-9839a1ecd97e,33.0,yes,Magazine,Brooklyn,yes
124a9b18-a20f-46f9-8bdc-2f5779d3cf80,17.0,no,Vista Hermosa Restaurant Inc.,Bronx,no
{A17550E8-CA9F-4D84-8DF1-439F7280766D},26.0,no,Mansion,Queens,yes
{F3D223ED-E0B0-4C06-8857-39565B8CD406},19.0,no,Ben & Teena's Ice Cream,Queens,no
1254d70e-9a6f-46dd-8708-6dfe0d5ed1c0,33.0,no,Rikovi & Sean Ltd,Brooklyn,yes
{9A535733-A800-471F-8D63-2C1E16BD4F07},23.0,no,Fresh Sub 168 Inc,Queens,no
{D1BB9747-C3C6-4959-88A6-79D526EB9A3B},5.0,no,THREE DECKER RESTAURANT LTD,Manhattan,yes
{754738E6-1581-4F79-8571-F2CBD2782D85},20.0,no,Fukuoka Food inc,Queens,no
{573AB165-CECC-44AA-88B9-ECA2ADD55D57},39.0,no,Choucroute LLC,Brooklyn,yes
{1DCCC01F-33DD-44E8-859C-068952ABF1CC},31.0,no,Tacos Y Mas Inc.,Queens,no
{620F68B0-4217-4829-855A-377F3EED47D9},20.0,no,Dengji restaurant,Queens,no
{CBBA0644-2E8D-476A-880D-947AEA44DC39},2.0,no,"Just Salad 8th Street, LLC",Manhattan,no
{B39F757B-86F2-423D-830A-91B0AA1E6922},35.0,yes,Taiga Restaurant Corp,Brooklyn,yes
{3F853C0F-ED0D-4063-84F7-062BD3122D12},1.0,yes,BLUE BOTTLE COFFEE,Manhattan,yes
{ACF9BF52-04FB-4CE6-8D60-EFAA6B878A24},1.0,no,LE PAIN QUOTIDIEN,Manhattan,yes
{10FDF162-CD3F-4B8D-8FC3-B2E4487B7C55},3.0,yes,NEW YORK BURGER CO.,Manhattan,yes
{1089FDC1-A087-4709-8327-8E66DA507FF3},4.0,yes,SWEET GREEN,Manhattan,yes
{29177B00-9171-420A-888B-C3FCE3617222},39.0,no,GOWANUS CORNER CAFE,Brooklyn,yes
{0413D3F4-A5AA-495B-8452-EE2BFB043FD5},,no,wine escape inc.,Manhattan,yes
{F97BFEB2-F5A6-4A4A-82F9-E7FC222F2A4A},10.0,no,MCDONALD'S,Manhattan,no
{6FE2C4D4-257C-4B93-81F0-B2B673D0B08E},20.0,no,JE JU ISLAND INC,Queens,yes
{2E09FCBB-EE94-45AE-8802-0A11CE7FF7D1},25.0,no,LOS CAFETALES RESTAURANT,Queens,yes
{83D70763-7B71-4D70-8D8E-941E741E3D49},4.0,yes,VIA QUADRONNO,Manhattan,yes
{089C2F2E-3D3B-4592-85BE-EF60FEB14C8C},3.0,no,JUN-MEN RAMEN BAR,Manhattan,yes
{87D00DDC-509C-4D07-81B1-5D2C03B84107},19.0,no,Thai101,Queens,no
{1F7E1DB2-4A25-445E-8FE1-7315ED4E50F1},2.0,no,KOKO WINGS,Manhattan,yes
{AF5D94E7-B2EB-458E-8328-20ED7C2B7AC7},3.0,no,Thai Chella,Manhattan,yes
{2DAE8B87-B1AE-4C7C-81EE-137917D4055C},34.0,no,TABARE RESTAURANT,Brooklyn,yes
{D7BE1970-50A9-4A41-8243-EFAA70F868D1},10.0,no,YU SUSHI INC,Manhattan,yes
{F0019916-49E7-46F3-8F48-9C8DCB8DB0FA},15.0,no,Tina Bar Restaurant,Bronx,yes
{3DB8B781-C421-47D7-887D-A703D17884DA},,yes,Dos Caminos Soho,Manhattan,yes
{ADF4DDA3-EC5E-430B-8119-A6A16E510F26},4.0,no,Javelina,Manhattan,yes
{8D5D4988-C31F-4358-866B-E050E76E5484},2.0,no,ATOBOY,Manhattan,no
{08AD024A-1008-43D6-84CC-E9386E3C93F5},2.0,yes,SWEETGREEN,Manhattan,yes
{30D58760-401F-4E07-8F59-B1D956F83F11},33.0,no,Ihop,Brooklyn,no
{07BFAB1E-FB97-4AA7-83FA-671FA20B7054},9.0,no,LIDO,Manhattan,no
efc8f777-8cd5-4897-806a-13867b2aa0f3,,yes,143 Montague Restaurant Corp.,Queens,no
{86895B40-6E0B-4FA4-80D0-9E505FEC09E2},9.0,no,JERK HOUSE CARIBBEAN RESTAURANT,Manhattan,no
{CC28147E-D065-4F80-831F-47AD32E2E4F5},19.0,no,Lima 33 inc.,Queens,yes
{FA70463C-4C60-439E-8DD2-3F17AE54C9BF},1.0,no,OLD MAN HUSTLE,Manhattan,yes
8c9d78db-9e24-40e6-8930-ad8f081b7533,25.0,no,Laly's Restaurant Corp,Queens,yes
{702A3D82-B28F-481C-8736-45EB52E0A7AE},,yes,594 VAnderbilt ave Food Corp,Brooklyn,yes
{194EE807-D649-4D87-8B1B-C6C81DDF92C1},33.0,yes,SWEETGREEN,Brooklyn,yes
{A07CAE84-A292-485B-8E25-07592474B251},19.0,yes,JOONG KOOG JIP,Queens,no
723fd835-132d-4a2f-8074-a222935255e0,34.0,no,Starr Queen LLC,Brooklyn,yes
{2AC55294-EDBA-47B6-8A2B-51BA59F6475C},,no,"Himalayan Curry House, Inc.",Manhattan,yes
{16970672-86EA-4027-8F8A-5C7F9B212164},25.0,no,Taste of Lahore,Queens,no
{57B3A5E8-923F-4584-8A4E-F2DF2E5D402C},17.0,no,MCDONALD'S,Bronx,no
{9711D0D3-B678-485A-897F-D510EA20FDEA},33.0,no,Love and Dough,Brooklyn,no
{DFAF6935-E12E-4CDF-8497-2470BBC23B76},24.0,no,El Buenb Sabor Deli Corp,Queens,no
{E97A333C-B760-4862-8BE2-58AAA72F7310},6.0,yes,Modern Bread & Bagel / Arba,Manhattan,yes
{A47D5AF3-C552-4EC0-80A8-868365BA3700},38.0,no,SUBWAY,Brooklyn,no
{DE7F1D2D-3AEF-4D61-8E13-3BB5DD0CE7B3},44.0,no,Kosher Hut of Brooklyn Inc,Brooklyn,no
6752ae7e-e9cc-443f-80c6-c8baf4ec9a2c,4.0,no,Capital Grille Holdings,Manhattan,no
{BE3A356B-C6D9-47F6-8019-787168BA97DC},3.0,no,NEW ISTANBUL GRILL INC,Manhattan,yes
{656EAFEB-378C-4D5E-8DA5-8D9E39275326},6.0,no,PIO PIO,Manhattan,yes
{6AEDE8E7-FE75-445B-869E-B862E577B04C},39.0,no,Marco Polo takeout LLC,Brooklyn,yes
{C7326999-AD5E-401B-80AB-1BF0AB5C9204},35.0,no,Wild Birds,Brooklyn,yes
{18DF1FAC-E55B-408E-8C70-3263489924C3},7.0,no,Home Sweet Harlem,Manhattan,yes
{3E93D428-2107-4AC5-843B-CA7889B3A438},33.0,no,Poke Zest,Brooklyn,no
{ADEB0013-B787-417C-8D62-8657AC3939CA},38.0,no,Fish and Beef,Brooklyn,yes
{740260A2-1BF7-435C-8CE4-E5E65D36C271},37.0,no,EL TIPICO RESTAURANT,Brooklyn,yes
{940B1524-79F1-4AA5-8729-1FF5F6962530},3.0,yes,MARKET TABLE,Manhattan,yes
{DA6BC821-B661-40D2-8F91-93C71B189C45},2.0,no,SWEETGREEN,Manhattan,yes
{DD1BE493-35C0-478B-820C-93933A8B8A4C},,no,Momo's Mediterranean Grill,Brooklyn,yes
{B33E9F63-8325-47FF-8522-DE8A001157EC},1.0,no,BURGER KING,Manhattan,no
{B6539D82-6A85-48C2-8B69-534FE7EC8DEC},6.0,no,DUNKIN DONUTS,Manhattan,no
{D72DC877-05B2-49C1-8464-CECDB2927606},34.0,no,Tong,Brooklyn,yes
eaf2d072-c88f-4e7b-8692-5bf37a779f4a,11.0,no,Cocina Chente Mexican Cuisine,Bronx,yes
{4551ABD9-C2CF-43CB-8C09-A07B2B23541B},20.0,no,Feng Ta Inc,Queens,yes
{A0CEE574-EB29-46F3-8740-AEF9EC23B260},37.0,no,J K Spot LLC,Brooklyn,yes
{415459CF-AAC7-4A3D-8C4F-16AF1620B601},33.0,no,TAQUERIA LA NORTENA CORP,Brooklyn,yes
{319BBCF4-4E5C-4109-8A39-520B301C2408},27.0,no,SMOKE BBQ PIT,Queens,no
{FE2421F6-6492-4FDC-8043-D0681262E574},40.0,no,DELI EL BIGOTES,Brooklyn,yes
{F232C84F-5235-4093-885C-A6F6B08B9AEB},4.0,no,"Public House NYC, LLC",Manhattan,no
{7BD1BDB5-A75B-43A4-8999-8F249D60799F},,yes,Curry leaves restaurants inc,Queens,yes
{C7D196E4-9292-4296-8854-8E9A76FADBF8},5.0,no,BAREBURGER,Manhattan,yes
{F1247218-BCAA-4DE1-8BF5-82FFAE61C3FA},,no,Don Giovanni ristorante,Manhattan,yes
{A7363CAC-B14B-4CC9-80F1-C4EDEE59267F},31.0,no,ISLAND FUSION FOODS,Queens,yes
{25E81CF2-17C7-4C57-86E5-3412E3A965D1},1.0,no,Peasant,Manhattan,no
{E78B5A70-E979-4E7E-8F5B-DAA407CD463E},2.0,no,The Pop-Up & Pantry by Milk Money Kitchens,Manhattan,yes
{6478A7DF-AB43-4548-8388-5F3983684EF7},36.0,no,The Tasty Waffle Company LLC,Brooklyn,no
{A7E77848-584F-4B44-84A9-F73BE3658CF9},,no,Dive 106,Manhattan,no
{65CBC7AE-C42E-42C5-829B-3126D158164F},34.0,no,"Sherwood's Keep,inc",Queens,no
{2A58C816-BADC-46FE-8E44-EFA3A4E9448F},47.0,no,86 Chikurin Sushi Inc,Brooklyn,no
{B0967ABE-81A6-4127-8C3C-677A9D723521},35.0,yes,Walter's,Brooklyn,yes
{301312D9-3CD8-4E45-8AED-EAE78EED1EA2},1.0,no,388 CAFE &amp; DELI,Manhattan,no
{D6D0B182-75CA-40F2-8B30-A02B30FCF367},30.0,no,CHEF TORIBIO #2 RESTAURANT CORP,Queens,yes
{E39DF9BD-0E56-42B8-8951-2CC9FD8A40F5},4.0,no,Woorjiip,Manhattan,yes
{C5319931-7AD3-4F02-8C8B-B9CEE19B3909},34.0,no,DEMI-MONDE,Brooklyn,no
{E579AE2A-5594-44F2-85B2-0749B29577B0},2.0,no,Atlas,Manhattan,yes
{6C842D1A-9350-4DB3-8C20-1E27D5266B54},25.0,no,TASTE OF LAHORE,Queens,yes
{E7741475-1F60-48B9-8F32-AA08F8CC5792},1.0,yes,MUSEUM OF ICE CREAM,Manhattan,yes
{3B8D7151-8D96-41F5-8D40-258D920C00F8},19.0,no,Nonnas1977,Queens,yes
{4DB1F11A-F550-40F4-8B9F-5BE6819A207E},2.0,yes,PIPA,Manhattan,yes
{EDFA343E-D5E2-4CD2-8DEC-428B8B385446},,no,Gerizim Burger Factory,Brooklyn,yes
{D70E6028-76C4-4BBF-8A15-4F4D5AB2350C},20.0,no,Kyuramen,Queens,yes
753495d8-4429-43e5-85a3-dcf6230ef749,33.0,no,Charm Kao,Brooklyn,yes
{16A798C5-7AFA-47BF-8301-BF1EF80112C3},34.0,no,Cozy Royale,Brooklyn,yes
{95B03864-17FF-43AD-8066-E8045C263B97},1.0,yes,Breads Bakery,Manhattan,yes
{358E03BF-B9FB-497B-8FB9-0E470AA36639},34.0,yes,Mallys'DELI grocery  CORP,Brooklyn,yes
8094ab26-2b85-4b1e-8638-e21e797a46fa,2.0,no,S & D Wave Group,Manhattan,no
e48bdde6-339e-42af-8122-504e7f693922,4.0,no,Kurant,Manhattan,yes
{23E55174-30C7-4A8E-8174-26A4701EDA03},4.0,no,hanamichi,Manhattan,yes
{096E1404-EBAE-48F5-8DDF-8ABD9D1F57D1},25.0,no,Prince Kababish & Chinese restaurant,Queens,yes
{5F74A534-629E-47B0-8DF8-D6205DDC7A25},,no,Wepa La Arepa,Brooklyn,no
{074B4639-501C-4DDF-8014-DC0C0C790A98},3.0,yes,Meme,Manhattan,yes
{935B8DC4-673E-4BD3-835A-436EDF6D25F6},2.0,no,"Blossom Union Square, Inc.",Manhattan,no
{581DFA07-5F64-4FC0-8960-B5BCB2077C68},35.0,no,BEER STREET SOUTH,Brooklyn,no
{069CBB39-AE8A-479E-854B-69CEA6FDE9DB},3.0,no,One on One Domestic Corporation,Manhattan,no
{57752115-8172-4F68-84AA-704587665DE5},2.0,yes,"abcV, abc Cocina, abc Kitchen",Manhattan,yes
7a94ed67-08bc-42c1-8c08-9e1c9f915fd6,1.0,no,Hair Of The Dog,Manhattan,yes
{1384C250-21C1-4BB2-86B4-E9D51BFE778A},1.0,yes,MUSEUM OF ICE CREAM,Manhattan,no
dcc132cc-20e0-415d-8c85-bddcdc74fae8,33.0,no,La Nonna Ristorante & Bar,Brooklyn,no
34271bf0-45e2-4881-8991-30f7842c5017,15.0,yes,The Bronx Beer Hall,Bronx,yes
{FCB9728F-4485-4763-8FF1-68518A6EBA78},4.0,no,FRESCO,Manhattan,yes
{967FC700-4D31-4A66-8D83-99AD86E6638C},39.0,no,BABAGHANOJ SPOT,Brooklyn,yes
{0D45F856-FFE6-4F0E-8F33-6F8797650F0A},38.0,no,La Cabana,Brooklyn,no
{414BB7F7-8A96-4274-8902-D505012E3B85},1.0,no,CHA CHAN TANG,Manhattan,yes
{817C01F6-2C8A-4EFE-8B6D-6A2D0A656F3B},,no,Patzeria Perfect Pizza,Manhattan,yes
{48608506-B844-4C95-8676-3AD64389230E},20.0,no,DENG JI RESTAURANT,Queens,yes
{7F44856D-F298-44FB-8C91-6576BF237635},11.0,yes,ST BESS RESTAURANT,Bronx,no
{41D67F68-B5DA-48CD-8E05-6AB0C0B59F6D},1.0,no,APPETHAIZE,Manhattan,yes
30cd345f-8134-49a6-8cf7-4f9ad9ae6c48,,no,The Wolfhound,Queens,no
{86460DAC-C242-4A77-87AB-64276E8EBBF6},7.0,no,GRAIN HOUSE,Manhattan,yes
{356F0EBE-7748-4DEB-8CEA-EDFD8977DC85},46.0,no,New Beach Bar LLC,Brooklyn,no
{AFF6198F-799C-4C1C-86B8-C1C143B21619},26.0,no,BISTRO PUNTA SAL,Queens,yes
{402B1DB6-5628-46C0-83E0-283E8D97FC78},4.0,no,Smith & Wollensky,Manhattan,yes
{4C640CFE-EFE9-48D5-867D-502B13A97E94},39.0,no,china glatt,Brooklyn,yes
{B94703FD-9F68-495F-8F9D-B393B1177383},24.0,no,NAOMI KOSHER PIZZA,Queens,yes
{98DECECD-2729-453A-8F66-42A19FA5C6AF},3.0,yes,MISHKA SOHO,Manhattan,yes
d9d40896-1f47-4100-867e-0a41b7eef69d,,no,Excellent Deli Corp,Brooklyn,no
{851BDD17-F320-4EA4-8B6F-D6E8D50BB99F},3.0,no,Pinch Chinese,Manhattan,no
{EDE0BDE5-97F5-4FD5-8501-AC3F679216AC},20.0,no,Kakurega Japanese Cuisine,Queens,yes
{D3965FFC-941A-47C1-8FE0-F75E4B9AC0D4},30.0,no,PETER'S GRILL & BAR CORP,Queens,yes
