objectid,legal_business_name,roadway_dimensions_length,restaurant_name,landmarkdistrict_terms,roadway_dimensions_area
10853,115 RESTAURANT CORP,,ROW HOUSE,,
1040,IDG Seaport Corp,30.0,Thai Farm Kitchen Seaport,yes,240.0
10666,EAST COAST BURGERS INC.,28.0,EAST COAST BURGERS,,224.0
10638,FRESH SUBWAY 168 INC,,SUBWAY,,
10529,Noree Thai Bazaar Inc,40.0,Noree Thai Bazaar,,320.0
10632,TASTE GOOD PLACE INC,25.0,CHINESE RESTAURANT,,200.0
1003,CDDF Inc.,34.0,Tito Murphy's,,340.0
1012,TAKE AWAY AND CAFE INC.,20.0,TAKE AWAY AND CAFE INC.,,160.0
1025,SHIAWASE FACTORY LTD,25.0,THE IZAKAYA NYC on East 4th,,250.0
10351,"RF Broadway, LLC",,RedFarm,,
10747,PEE DEE CORP.,22.0,PEE DEE STEAK,,176.0
10257,Calabria Restaurant LLC,,Il Brigante Restaurant,yes,
1060,232 Vanderbilt Ave Restaurant Corp,50.0,Graziellas Restaurant,,400.0
1024,4902 Skillman Cafe LLC,52.0,P J Horgan's,,416.0
10728,"LA TRONCALENA RESTAURANT &amp; FOOD OPERATIONS, INC.",25.0,LA TRONCALENA RESTAURANT,,175.0
10580,Springbone 90 West 3rd LLC,,Springbone Kitchen,yes,
10649,L &amp; F MARTHA CORP.,18.0,PASIONES SPORTS-BAR,,144.0
10038,Gerizim Burger Factory,30.0,Gerizim Burger Factory,,150.0
10308,APQ Bryant Park NY LLC,40.0,Le Pain Quotidien - Bryant Park,,320.0
10396,D&D Cafe LLC,56.0,D&D Cafe,,448.0
10417,SWEETGREEN NEW YORK LLC,41.0,SWEETGREEN,,328.0
10825,"S &amp; S AREITOS, INC.",42.0,AREITO LOUNGE AND GRILL,,336.0
10703,JAYAD FOODS INC,,MABAT STEAKHOUSE,,
10198,Golden Roast Inc,36.0,Golden Roast Inc,,288.0
102,Yoniski Amsterdam LLC,,Holy Schnitzel,,
10113,Congee Village Restaurant & Bar Inc.,42.0,Congee Village,,294.0
10865,REZDORA USA LLC,27.0,MAESTRO PASTA,,162.0
10642,AGIOS MARKOS CORPORATION,40.0,GRIND NYC COFFEE SHOP,,320.0
10402,Raj Mahal inc.,15.0,Raj Mahal,,105.0
10366,Ample Hills Sub 10 LLC,,Ample Hills Creamery,,
10343,ARCHWAY ON WATER CORP,,HASANI,,
10324,Foodbridge LLC,24.0,Corporate Chef,,120.0
10684,PIRK SMITH LLC,14.0,KONDITORI,,112.0
10320,"St. James Associates, LP",,Smith & Wollensky,,
10535,Burkinabe Entertainment LLC,,Yatenga French Bistro,,
10282,88 Fusion Link Inc,38.0,Shoga sushi and oyster bar,,304.0
10316,"APQ Lincoln Square NY, LLC",,Le Pain Quotidien Lincoln Sq,,
10797,HARLEM NIGHTS LTD.,20.0,HARLEM NIGHTS,,160.0
10845,KING'S STREET COFFEE INC,18.0,KING'S STREET COFFEE,,144.0
10072,"475 bake, LLC",,fresh&co,,
10255,Bogota Latin Bistro,,Bogota Latin Bistro,,
10169,IF 520 Forever Inc,30.0,If-Cha 520 Dessert,,180.0
10809,CENTER BLVD RESTAURANT LLC,60.0,AMERICAN BRASS,,480.0
10495,E & S SWEET BITES INC,,E & S SWEET BITES INC,,
10731,STELIATA CORP.,,TASTY'S DINER,,
10717,MALAY RESTAURANT INC,20.0,NEW MALAYSIA RESTAURANT,,160.0
10474,Oh Sweet Momnet INC.,25.0,Sweet Moment,,150.0
10148,ASTROS FOOD CORP,15.0,ASTROS FOOD CORP,,90.0
10656,"BLUE BOTTLE COFFEE, INC.",,BLUE BOTTLE COFFEE,,
10778,MANSIN &amp; MISCHA CORP,30.0,BLACK CAT LES,,180.0
10286,Amici Italian Foods INC,25.0,Il Bel Paese Pizzeria & Trattoria,,200.0
10841,RUAYSUB CORP,20.0,THAI DIVA CUISINE,yes,160.0
10279,bottino corp,,bottino,,
10664,FRENCH AVENUE B INC,23.0,PARDON MY FRENCH,,184.0
10836,TLS CHRYSTIE LLC,32.0,HOME SWEET HOME/ FIG 19,,256.0
10427,SWEETGREEN NEW YORK LLC,42.0,SWEETGREEN,,336.0
10026,"Triangle Apple, LLC",,"Triangle Apple, LLC dba Applebee's Neighborhood Grill & Bar",,
10568,1AND8 INC,20.0,MOIC CAFE,yes,160.0
10613,MIDTOWN EAST M &amp; V. LLC,,MULBERRY &amp; VINE,,
10630,"MC TRIBECA, LLC",38.0,MR. CHOW TRIBECCA,yes,304.0
1079,Treadwell Park LLC,73.0,Treadwell Park,,584.0
10799,BKLYN CREPE CORP.,19.0,BKLYN CREPE,,133.0
10625,GOLDEN RING INC,32.0,GOLDEN RING,,256.0
10774,BLIEBURG RESTAURANT INC.,,KEENS STEAKHOUSE,,
10814,ON &amp; ON 168 INC.,,QINGDAO,,
10557,CITY SNOOKER POOL HOUSE INC,39.0,CITY SNOOKER,,312.0
10392,Shun Fa Fa INC,40.0,Happy house seafood restaurant,,320.0
10411,zeppole Restaurant,20.0,zeppole pizzeria,,160.0
10057,NYC 155 FOODS INC,,DUNKIN DONUTS,,
10310,Bilao INC,30.0,Bilao Filipino Cuisine,,240.0
10679,TOP KARAOKE &amp; BAR INC,40.0,SPACE KARAOKE,,320.0
10807,LA PARADA RESTAURANT CORP,28.0,LA PARADA RESTAURANT,,224.0
10281,Momo Crave LLC,11.0,Momo Crave,,88.0
1005,PER Tavern Corp,73.0,The Kettle Black,,584.0
10019,Brazmex Cafe,13.0,Brazmex Cafe,,104.0
10347,Electra Enterprises llc,30.0,City Island In The City,,240.0
10830,118 HARLEM BURGER CO LLC,,HARLEM BURGER CO.,,
10268,HUKA TEL AVIV CORP,20.0,Tel Aviv Cafe,,160.0
10743,"SOMPONG THAI, INC.",22.0,SOMPONG THAI,yes,176.0
1068,1702 Rathbone's Inc,,Rathbone's Pub,,
10405,Island Seas Lounge LLC,,Island Cz Lounge,,
10098,SLJ BAR LLC,,BAR NANA,yes,
10783,ONUR SAFAK,25.0,KX BURGER &amp; BEYOND INC,,200.0
10498,E & S Sweet Bites Inc,,E & S Sweet Bites Inc,,
10626,"AVIR, LLC.",,MINNIE'S,,
10891,1274 AMSTERDAM TRATTORIA INC,,MAX SOHA,,
10461,276-8 Pizza Corp,20.0,John's Pizzeria,,160.0
10214,latte llc,,gelateria gentile,,
10732,NEW TORCH INC,,OCEAN TREASURES,,
10623,HARU AMSTERDAM AVENUE CORP,,HARU,,
10779,TASTE OF CHINA WU INC,8.0,TASTE OF CHINA,,64.0
10438,SWEETGREEN NEW YORK LLC,37.0,SWEETGREEN,yes,296.0
10742,BROADWAY BARBECUE CORP,32.0,THE STRAND SMOKE HOUSE,,256.0
10655,VENUE TRIFECTA LLC,10.0,THE GRADIENT,,80.0
10769,TUN LLC,32.0,TUOME,,256.0
10604,8920 AVENUE D INC,40.0,FLAVA II LOUNGE,,160.0
10088,Deja Vu of Staten Island,30.0,Deja Vu Restaurant and Bar,yes,180.0
10509,EIGHT ORANGES INC,50.0,The Bao,,400.0
10168,"St James Associates, LP",,Smith & Wollensky,,
10837,KINSALE ROAD INC,,DEACON BRODIE'S,,
10141,"Kushi Izakaya Restaurant, Inc",,"Kushi Izakaya Restaurant, Inc",,
10158,sichuan hotpot cuisine inc,20.0,sichuan hotpot cuisine,,160.0
10094,New Beach Bar LLC,,New Beach BAr LLC,,
1083,"JL Solo, Inc.",40.0,Senza Gluten,yes,960.0
10371,SWEETGREEN NEW YORK LLC,22.0,SWEETGREEN,,176.0
10184,106 3rd Ave NYC Inc,45.0,Brazen Fox Kitchen & Craft Beer,,360.0
10460,Saggio Restaurant Inc,16.0,Saggio Restaurant Inc,,128.0
10552,Bricklyn pizza,,Bricklyn pizza,,
10418,Brooklyn hop 2 llc,,Ihop,,
10781,TASTE OF CHINA WU INC,8.0,TASTE OF CHINA,,64.0
10209,Justified LLC,21.0,The International Bar,,168.0
10685,"PEACEFOODCAFE TOO, INC.",25.0,PEACEFOOD CAFE DOWNTOWN,,200.0
10565,Sushi X9 INC,,Sushi X9,yes,
10205,"Konkapot Entertainment, Inc",,The Water Hazard,,
10533,Zhuangstea,24.0,Silk road cafe,,192.0
10066,Kendo Sushi Inc,,Akino,,
10353,Mari Makan LLc,,Wayan,,
10805,JMFF LLC,,DORLAN'S,,
10215,ZigZag Enterprise Inc,14.0,UOTORA,,112.0
10181,THE DOLAR SHOP RESTAURANT GROUP LLC,35.0,THE DOLAR SHOP,,210.0
10646,NY HAPPY FAMILY  INC,26.0,JUYOU LOU,,208.0
10802,FETE NEW YORK LLC,50.0,THE DECO FOOD + DRINK,,400.0
10541,THE NEW SANTIAGO RESTAURANT CORP.,20.0,THE NEW SANTIAGO RESTAURANT CORP.,,160.0
10595,EBAR TENANT CORP,52.0,ELI'S TASTE,,416.0
10100,149 Second Ave Rest Inc,,The 13th Step,,
10373,DUMBO HEIGHTS M&V LLC,,Mulberry & Vine,,
10077,Little Fat Bear LLC,,Taiwan Bear House,,
10705,NINO AQ LLC,,NINOS AQ,,
10704,RIVERCREST INC.,,RIVERCREST,,
10377,"Sherwood's Keep,inc",,Sherwoods Keep inc,,
10233,LOL Stand Up Comedy Corp,12.0,LoL Times Square,,96.0
10767,60 WEST 30TH STREET INC,16.0,Sakura of Japan Teriyaki,,128.0
10658,SHNY RESTAURANT GROUP LLC,46.0,SOUTHERN HOSPITALITY,,368.0
10532,Beso NYC Corp,10.0,Beso NYC,,80.0
10446,Ode 2 Japanese INC,26.0,Edo Japanese Restaurant,yes,208.0
10314,"APQ Grand Central West NY, LLC",30.0,Le Pain Quotidien GCW,,240.0
10780,"8915 ECA, INC",34.0,ZAMAAN,,272.0
10304,Blendzville Cafe Inc,16.0,Blendzville Cafe Inc,,128.0
10729,SAKURA KAI I INC,12.0,SAKURA KAI,,96.0
10855,SOHA 116 RESTAURANT CORP,,HARLEM TAVERN,,
10131,Bakerboy LLC,18.0,Supermoon Bakehouse,,144.0
10379,SWEETGREEN NEW YORK LLC,22.0,SWEETGREEN,,176.0
10559,Da-om inc,,Yoodon,,
10333,Bombay sandwich Co LLC,20.0,Bombay sandwich Co.,yes,160.0
10530,DTT FOOD INC,23.0,Popeyes,,184.0
10280,"235 East Cafe, Inc.",20.0,Brandy's Piano Bar,,160.0
10683,K&amp;T DINER CORP.,11.0,BLVD DINER,,88.0
100,Pomp and Circumstance Hospitality LLC,,Pomp and Circumstance Hospitality,,
1066,Bushwicksocial llc,5.0,Clara's,,90.0
10189,Red Rooster Harlem LLC,,Red Rooster Harlem,,
10246,Walter 8281 Corp.,,Marco Polo Pizza & Deli,,
10452,EAR Inn Inc,44.0,The EAR Inn,yes,352.0
10395,Bardolino Pizza II Inc,,Bardolino Pizza II Inc,,
10171,"United Chicken Fingers, LLC",213.0,Park Avenue,,1704.0
10652,HARLEM GROUP PR CORP,,BEATSTRO,,
10013,La Flor Restaurant Cafe Corp.,30.0,La Flor Restaurant and Cafe,,240.0
10102,Watawa Inc,40.0,Watawa,,320.0
10526,WING HING SEAFOOD RESTAURANT INC.,40.0,WING HING SEAFOOD RESTAURANT,,320.0
10081,Ben & Teena's Ice Cream,8.0,Ben & Teena's Ice Cream,,32.0
10847,NARICHE LLC,,VINATERIA,,
10444,District 727 Inc.,17.0,District Local,,68.0
10200,TK Restaurant Corp.,79.0,TK Restaurant Corp.,yes,632.0
10637,TASTY BAKERY INC,,TASTY BAKERY,,
10387,Don Chucho Inc,11.0,Don Chucho,,88.0
10117,El Tecolote Corp,15.0,Pico de Gallo Restaurant,,60.0
10166,"French Onion Soup, LLC",80.0,Quality Bistro,,640.0
10710,36 DUET ENTERTAINMENT INC.,,DEN SOCIAL/ KARAOKE DUET,,
10752,THE BRONX ICE CO LLC,8.0,EUGENE MILLER,,64.0
105,Nuevo Don Francisco Restaurant Corp,,Nuevo Don Francisco Restaurant Corp,,
10816,"UPRIGHT HOLDINGS, LLC",20.0,UPRIGHT COFFEE,,160.0
10667,NEW TU DO RESTAURANT CORP,,NEW TU DO RESTAURANT,,
10125,Heart Connection USA Inc,,Ramen DANBO,yes,
10785,NYS LEE INCORPORATED,25.0,SKINNY'S CANTINA,,200.0
10733,141 LINCOLN AVENUE LLC,60.0,LE MXICANO,,480.0
10271,Vegan Wholesale Foods Corp,20.0,VSPOT,,160.0
10763,32 CAFE INC,52.0,BANGIA,,416.0
10542,Yatenga LLC,,Ouaga,,
10412,Snow Show Flushing Inc,33.0,Snow Show Flushing Inc,,264.0
10811,THE BARN COFFEE SHOP CORP,20.0,THE BARN COFFEE SHOP,,120.0
10327,Joe's Ginger Corp.,30.0,Joe's Ginger,,240.0
10235,Ecuapollos bar Restaurant,12.0,Ecuapollos Bar restaurant,yes,72.0
10199,Fresca Tortilla Ditmars Inc,15.0,Fresca Tortilla Ditmars Inc,,120.0
10709,LYH DITMARS HOSPITALITY CORP.,,THE DITTY,,
10864,MR. BUN SOUP DUMPLINGS INC,20.0,MR.BUN,,160.0
10517,"Trattoria Tre Colori, Inc.",25.0,"Trattoria Tre Colori, Inc.",,200.0
10021,Gerizim Burger Factory,,Gerizim Burger Factory,,
10843,SAINT ELLIE LLC,24.0,MINNOWS,,192.0
10718,HENRY ST. BRICK OVEN CAFE CORP,18.0,LUCALI,,144.0
1067,Danco Restaurant LLC,,Bella Gioia,,
10501,2013 Venture Corp.,,The Harold,,
10284,M and G together 4 ever LLC,30.0,burrito bar & kitchen,,240.0
10892,"1262 AMSTERDAM CAFE, INC",,MAX  CAFFE,,
10561,9th st ventures,,Solas,,
10516,Starbucks Corporation,,Starbucks Coffee,,
10832,"AINSPH, LLC",102.0,THE AINSWORTH,,816.0
10390,Boubou Restaurant Corp,,Boubou Restaurant Corp,,
10808,ARTHUR AVENUE FIASCO RESTAURANT CORP.,34.0,FIASCO,,272.0
10556,Wanshun Seafood Restaurant Inc,22.0,Wanshun Seafood Restaurant,,176.0
1064,Aubergine Caffe Inc.,,Aubergine Cafe,,
10175,Wu & Chien Inc,42.0,Peking Duck House,,336.0
10124,WOLF WESTSIDE LLC,100.0,WOLFGANG'S STEAKHOUSE,,800.0
10784,"MELOUTA,  CORP",12.0,BZ GRILL,,96.0
10242,Zucker's Flatiron LLC,36.0,Zucker's Bagels Flatiron,,288.0
10648,EL SALVADOR RESTAURANT DE MARINA INC,,EL SALVADOR RESTAURANT,,
10365,Java Day NY Inc,,Java Day,,
10403,Podo Inc.,19.0,Yuzu,,152.0
1016,Petite Boucherie LLC,14.0,Petite Boucherie,yes,112.0
10226,1 Buen Sabor Inc,20.0,1 Buen Sabor Inc,,160.0
10029,GPH NY LLC,,GUPSHUP,,
