bronx_cooperatives_comparable_properties_boro_block_lot,comparable_rental_1_gross_sqft,comparable_rental_2_boro_block_lot,comparable_rental_3_full_market_value,comparable_rental_3_address,comparable_rental_2_distance_from_coop_in_miles,comparable_rental_3_estimated_gross_income,comparable_rental_2_net_operating_income,comparable_rental_2_building_classification,comparable_rental_3_neighborhood,comparable_rental_1_building_classification,borough
2-02373-0043,20825,2-02615-0052,"367,000",1254 FRANKLIN AVENUE,0.23,"154,895",53678,C1-WALK-UP,MORRISANIA/LONGWOOD,C1-WALK-UP,2
2-05742-0120,100498,2-05732-0924, , ,0.17, ,689838,D1-ELEVATOR, ,D1-ELEVATOR,2
2-03987-0058,32000,2-04075-0031,"1,566,000",2446 LYVERE STREET,0.16,"442,170",198318,C1-WALK-UP,WESTCHESTER,C1-WALK-UP,2
2-02723-0028,32710,2-03301-0066, , ,3.35, ,184988,C1-WALK-UP, ,C1-WALK-UP,2
2-04429-0001,255000,2-04633-0001, , ,0.74, ,772077,D1-ELEVATOR, ,D1-ELEVATOR,2
2-03126-0028,20704,2-03082-0031,"924,000",983 EAST 181 STREET,0.67,"270,213",113725,C1-WALK-UP,EAST TREMONT,C1-WALK-UP,2
2-03271-0210,71091,2-03271-0132,"2,354,000",3873 ORLOFF AVENUE,0.07,"1,050,105",303167,D1-ELEVATOR,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,2
2-03081-0013,19750,2-03119-0058, , ,0.4, ,44202,C1-WALK-UP, ,C1-WALK-UP,2
2-05901-0001,106934,2-05798-0077,"2,772,000",3555 OXFORD AVENUE,0.31,"888,992",583456,D7-ELEVATOR,RIVERDALE,D3-ELEVATOR,2
2-03948-0047,93000,2-03947-0040,"1,298,000",2435 FRISBY AVENUE,0.06,"471,441",495598,D6-ELEVATOR,WESTCHESTER,D6-ELEVATOR,2
2-03322-0037,41955,2-03277-0014,"978,000",2385 VALENTINE AVENUE,0.86,"373,690",177181,C1-WALK-UP,FORDHAM,C1-WALK-UP,2
2-04230-0015,95370,2-03134-0001,"5,611,000",730 OAKLAND PLACE,2.3,"2,123,271",272533,D1-ELEVATOR,EAST TREMONT,D1-ELEVATOR,2
2-02933-0029,40800,2-02429-0034,"1,692,000",1055 FINDLAY AVENUE,0.63,"592,409",163818,D1-ELEVATOR,MELROSE/CONCOURSE,D7-ELEVATOR,2
2-03627-0030,32994,2-02713-0002,"1,191,000",931 FOX STREET,1.08,"490,399",579702,D7-ELEVATOR,MORRISANIA/LONGWOOD,D1-ELEVATOR,2
2-02698-0063,16000,2-05042-0025, , ,5.65, ,113994,C1-WALK-UP, ,C1-WALK-UP,2
2-05864-0526,237000,2-05950-0429, , ,0.58, ,1440497,D1-ELEVATOR, ,D1-ELEVATOR,2
2-03253-0255,100498,2-03250-0102,"2,629,000",2160 HOLLAND AVENUE,0.18,"992,584",371070,D1-ELEVATOR,PELHAM PARKWAY SOUTH,D1-ELEVATOR,2
2-02721-0043,19081,2-02522-0124, , ,2.25, ,85904,C1-WALK-UP, ,C1-WALK-UP,2
2-03237-0145,86000,2-03237-0140,"1,894,000",2682 BAILEY AVENUE,0.0,"712,136",329129,D1-ELEVATOR,KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,2
2-03112-0003,46000,2-03111-0010,"496,000",743 EAST 182 STREET,0.18,"215,772",113956,C7-WALK-UP,BELMONT,C1-WALK-UP,2
2-02948-0025,14798,2-02790-0059,"563,000",520 MORRIS PARK AVENUE,0.64,"189,478",115570,C1-WALK-UP,PARKCHESTER,C1-WALK-UP,2
2-05750-0357,108955,2-05795-0537,"3,795,000",3220 NETHERLAND AVENUE,0.44,"1,312,394",415262,D1-ELEVATOR,RIVERDALE,D1-ELEVATOR,2
2-02603-0024,38419,2-02723-0068,"776,000",903 ROGERS PLACE,0.75,"288,443",133150,C7-WALK-UP,MORRISANIA/LONGWOOD,C7-WALK-UP,2
2-03663-0002,95370,2-02713-0002,"1,191,000",931 FOX STREET,1.55,"490,399",579702,D7-ELEVATOR,MORRISANIA/LONGWOOD,D1-ELEVATOR,2
2-02511-0027,12920,2-02511-0074,"1,578,000",953 ANDERSON AVENUE,0.08,"593,632",233229,C1-WALK-UP,HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,2
2-04670-0050,79098,2-04819-0042,"2,317,000",3520 OLINVILLE AVENUE,0.8,"864,059",416689,D1-ELEVATOR,WILLIAMSBRIDGE,D1-ELEVATOR,2
2-03225-0022,26515,2-03181-0022, , ,0.46, ,112597,C1-WALK-UP, ,C1-WALK-UP,2
2-03368-0010,132000,2-04338-0012, , ,2.78, ,381833,D1-ELEVATOR, ,D1-ELEVATOR,2
2-03165-0022,30590,2-03151-0012,"815,000",2356 WALTON AVENUE,0.18,"302,006",113141,C1-WALK-UP,FORDHAM,C1-WALK-UP,2
2-02477-0015,46623,2-02477-0007,"1,656,000",1020 WALTON AVENUE,0.0,"619,752",206764,D1-ELEVATOR,MELROSE/CONCOURSE,D7-ELEVATOR,2
2-02802-0005,21720,2-02802-0014,"669,000",1848 MONROE AVENUE,0.0,"250,956",131079,C1-WALK-UP,MOUNT HOPE/MOUNT EDEN,C1-WALK-UP,2
2-03283-0013,77000,2-03287-0031,"1,419,000",2641 MARION AVENUE,0.09,"657,873",329724,D1-ELEVATOR,BEDFORD PARK/NORWOOD,D1-ELEVATOR,2
2-02627-0007,15750,2-02381-0051,"258,000",892 MELROSE AVENUE,0.25,"105,903",65145,C1-WALK-UP,MORRISANIA/LONGWOOD,C1-WALK-UP,2
2-03110-0089,19750,2-03111-0065,"694,000",2125 SOUTHERN BOULEVARD,0.06,"312,306",138233,C1-WALK-UP,EAST TREMONT,C1-WALK-UP,2
2-02518-0028,58000,2-02528-0011,"2,759,000",1105 JEROME AVENUE,0.15,"1,110,783",202460,D1-ELEVATOR,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,2
2-03284-0048,67930,2-03290-0042,"1,610,000",2964 PERRY AVENUE,0.2,"570,064",296637,D1-ELEVATOR,BEDFORD PARK/NORWOOD,D1-ELEVATOR,2
2-04845-0011,79098,2-04819-0042,"2,317,000",3520 OLINVILLE AVENUE,0.52,"864,059",416689,D1-ELEVATOR,WILLIAMSBRIDGE,D1-ELEVATOR,2
2-02516-0026,29500,2-02504-0053,"1,578,000",953 ANDERSON AVENUE,0.38,"593,632",56035,C1-WALK-UP,HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,2
2-05845-1863,38873,2-05703-0160,"1,485,000",3120 KINGSBRIDGE AVENUE,1.67,"576,895",332365,C7-WALK-UP,KINGSBRIDGE/JEROME PARK,C1-WALK-UP,2
2-05909-0152,98681,2-05907-0352,"2,772,000",3555 OXFORD AVENUE,0.17,"888,992",639811,D1-ELEVATOR,RIVERDALE,D1-ELEVATOR,2
2-05950-0406,151500,2-05827-1620,"4,774,000",5535 NETHERLAND AVENUE,0.65,"1,875,756",375174,D1-ELEVATOR,RIVERDALE,D1-ELEVATOR,2
2-05826-1685,63237,2-05814-1195,"3,476,000",210 WEST 251 STREET,0.18,"999,460",395038,D1-ELEVATOR,FIELDSTON,D1-ELEVATOR,2
2-05953-0230,152400,2-05907-0352, , ,1.3, ,639811,D1-ELEVATOR, ,D1-ELEVATOR,2
2-02799-0022,21600,2-02800-0036,"986,000",1691 EASTBURN AVENUE,0.1,"327,340",141926,D1-ELEVATOR,MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,2
2-03326-0045,55780,2-03196-0029, , ,1.91, ,392694,C1-WALK-UP, ,C1-WALK-UP,2
2-03145-0026,17460,2-03145-0028, , ,0.0, ,53298,C1-WALK-UP, ,C1-WALK-UP,2
2-03199-0062,26515,2-03152-0029,"688,000",2326 RYER AVENUE,0.29,"246,186",154106,C1-WALK-UP,FORDHAM,C1-WALK-UP,2
2-02582-0061,24790,2-02330-0001,"1,030,000",511 EAST 148 STREET,0.89,"330,522",183446,C7-WALK-UP,MOTT HAVEN/PORT MORRIS,C7-WALK-UP,2
2-04317-0025,70230,2-04317-0001,"2,035,000",2180 BOLTON STREET,0.0,"791,342",355379,D1-ELEVATOR,PELHAM PARKWAY SOUTH,D1-ELEVATOR,2
2-03226-0053,200000,2-03304-0035,"2,993,000",2575 SEDGWICK AVENUE,0.65,"939,858",889823,D1-ELEVATOR,KINGSBRIDGE HTS/UNIV HTS,D7-ELEVATOR,2
2-02522-0109,30800,2-02816-0045, , ,0.7, ,107894,C1-WALK-UP, ,D1-ELEVATOR,2
2-02443-0170,156504,2-02460-0001,"7,845,000",512 EAST 145 STREET,0.34,"5,009,398",1704508,D7-ELEVATOR,MOTT HAVEN/PORT MORRIS,D3-ELEVATOR,2
2-04252-0017,42000,2-04194-0032,"4,411,000",3555 BRUCKNER BOULEVARD,0.49,"1,480,347",262543,D1-ELEVATOR,SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,2
