novdescription,certifieddate,novid,latitude,nta,highhousenumber,bin,councildistrict,class,ordernumber,lot,originalcertifybydate,boro,currentstatusid,registrationid,novtype,streetcode
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE 1st DOOR FRAME FROM SOUTH AT WEST WALL, 1st DOOR FROM WEST AT NORTH WALL IN THE 4th ROOM FROM NORTH LOCATED AT APT 4J, 3rd STORY, 7th APARTMENT FROM WEST AT NORTH",,4867210.0,40.829864,Hamilton Heights-Sugar Hill,722,1062442.0,7.0,A,556,17,2014-10-18T00:00:00.000,MANHATTAN,19,111978,Original,29690
"§27-2107 ADM CODE OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE §27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",,,40.674019,East New York (North),2462,3089279.0,42.0,I,780,11,,BROOKLYN,9,0,,70930
§ 27-2031 ADMIN. CODE: PROVIDE HOT WATER AT ALL HOT WATER FIXTURES KITCHEN AND BATHROOM 3RD STORY EAST APT. 3L,,2728083.0,,,22 FRONT,,,C,970,15,2006-07-26T00:00:00.000,BROOKLYN,19,306067,Reissued,80930
"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). (MISSING) LOCATED AT APT 9, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST",2014-04-11T00:00:00.000,4812263.0,40.862634,University Heights (North)-Fordham,2567,2016320.0,15.0,B,1503,46,2014-05-22T00:00:00.000,BRONX,9,200072,Original,23920
"§ 27-2005 ADM CODE PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE 1st DOOR FROM SOUTH AT WEST WALL IN THE FOYER LOCATED AT APT 23, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST",2015-01-28T00:00:00.000,4967139.0,40.800036,Harlem (South),48,1054984.0,9.0,A,554,24,2015-04-03T00:00:00.000,MANHATTAN,9,108543,Original,31190
"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT CELLAR APT LT, 3rd CELLAR APT FROM EAST AT SOUTH",2019-07-10T00:00:00.000,6501922.0,40.612466,Rosebank-Shore Acres-Park Hill,280,5106239.0,49.0,C,569,1,2019-07-01T00:00:00.000,STATEN ISLAND,9,500945,Original,42795
"§ 27-2028, 2032 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FROM AN APPROVED CENTRAL HEATING SYSTEM, OR AN APPROVED SYSTEM OF GAS OR ELECTRICAL HEATING IN GOOD OPERATING CONDITION FOR THE DWELLING UNIT IN THE 2nd ROOM FROM EAST AT SOUTH LOCATED AT APT PHA, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",,7039491.0,40.727814,East Village,79,1006383.0,2.0,C,664,35,2021-01-01T00:00:00.000,MANHATTAN,19,116912,Original,31090
"§ 27-2026 ADM CODE REMOVE ALL OBSTRUCTIONS AND REPAIR ALL DEFECTS IN WASTELINE AT BATHTUB IN THE BATHROOM LOCATED AT APT 5I, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH , SECTION ''112'', 1st FROM NORTH AT EAST",2014-01-07T00:00:00.000,4728438.0,40.820051,Harlem (North),118,1060148.0,9.0,B,649,45,2014-01-09T00:00:00.000,MANHATTAN,9,116546,Original,36650
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE PRIVATE HALLWAY , THE KITCHEN , THE 3rd ROOM FROM EAST AT NORTH LOCATED AT APT 2A, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST",,4712223.0,40.8311,Crotona Park East,1327,2010493.0,17.0,A,556,92,2014-02-08T00:00:00.000,BRONX,19,221732,Original,65320
"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING METAL COVER FOR FUSE BOX AT EAST WALL IN THE KITCHEN LOCATED AT APT 1C, 1st STORY, 2nd APARTMENT FROM NORTH AT EAST",,4858538.0,40.829864,Hamilton Heights-Sugar Hill,722,1062442.0,7.0,B,506,17,2014-08-04T00:00:00.000,MANHATTAN,19,111978,Original,29690
"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 1GH, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-03-19T00:00:00.000,4769477.0,40.852685,University Heights (South)-Morris Heights,226,2008964.0,14.0,B,702,516,2014-03-20T00:00:00.000,BRONX,9,204975,Original,76850
"§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST , SECTION AT NORTH",,5695150.0,,,22 FRONT,,,B,569,15,2017-04-20T00:00:00.000,BROOKLYN,2,306067,Original,80930
"§ 27-2005, 2006, 2037 HMC: PROPERLY REPAIR AND ABATE UNSAFE ELECTRIC WIRING CONDITION CONSISTING OF EXPOSED ELECTRICAL WIRES AT CEILING IN THE BATHROOM LOCATED AT APT 27, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",,4937334.0,40.800036,Harlem (South),48,1054984.0,9.0,B,689,24,2014-12-09T00:00:00.000,MANHATTAN,19,108543,Original,31190
"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE AND/OR IMPROPERLY COUNTER BALANCED LOWER SASH AT EAST 1 WINDOW IN THE 1st ROOM FROM EAST AT SOUTH LOCATED AT APT C061, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",2017-01-24T00:00:00.000,5652989.0,40.693415,Brooklyn Heights,8,3341540.0,33.0,B,501,17,2017-02-22T00:00:00.000,BROOKLYN,9,372674,Reissued,28390
"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE DAMAGE IN THE ENTIRE APARTMENT LOCATED AT APT 56, 5th STORY, 2nd APARTMENT FROM EAST AT SOUTH , SECTION AT WEST",,4925921.0,40.800036,Harlem (South),48,1054984.0,9.0,C,510,24,2014-10-15T00:00:00.000,MANHATTAN,19,108543,Original,31190
"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE KITCHEN LOCATED AT APT 4B, 4th STORY, APARTMENT AT SOUTH , SECTION ''A-L''",,4715424.0,40.612677,Rosebank-Shore Acres-Park Hill,260,5106237.0,49.0,C,583,1,2013-11-10T00:00:00.000,STATEN ISLAND,19,500944,Original,42795
"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... CEILING IN THE PRIVATE HALLWAY LOCATED AT APT 2M, 2nd STORY, APARTMENT AT EAST",,4716855.0,40.909982,Riverdale-Spuyten Duyvil,6655,2085499.0,11.0,B,550,1086,2013-12-18T00:00:00.000,BRONX,19,201104,Original,14920
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND CEILING IN THE BATHROOM LOCATED AT APT C24B, 24th STORY",2014-09-16T00:00:00.000,4848562.0,40.818858,Manhattanville-West Harlem,3333C,1085767.0,7.0,A,556,9005,2014-09-16T00:00:00.000,MANHATTAN,9,143318,Original,13610
"§ 27-2005 ADM CODE REFIT WINDOW IN THE BATHROOM LOCATED AT APT C77, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST",,4831290.0,40.693415,Brooklyn Heights,8,3341540.0,33.0,A,529,17,2014-08-19T00:00:00.000,BROOKLYN,19,372674,Original,28390
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE BATHROOM LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",,4993745.0,40.844393,Washington Heights (South),277,1063422.0,10.0,B,508,204,2015-03-23T00:00:00.000,MANHATTAN,19,103373,Original,21190
"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR MISSING IN THE ENTIRE APARTMENT LOCATED AT APT 15, 5th STORY, 2nd APARTMENT FROM EAST AT SOUTH",,4731009.0,40.722419,SoHo-Little Italy-Hudson Square,227,1007497.0,1.0,B,702,26,2014-01-14T00:00:00.000,MANHATTAN,19,112345,Original,26790
"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR -INOPERATIVE- LOCATED AT APT C061, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",,4839071.0,40.693415,Brooklyn Heights,8,3341540.0,33.0,B,702,17,2014-07-03T00:00:00.000,BROOKLYN,19,372674,Original,28390
"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK CEILING IN THE 2nd ROOM FROM EAST AT SOUTH LOCATED AT APT B, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",,4741329.0,40.868116,Bedford Park,2721,2092513.0,14.0,B,583,43,2014-01-31T00:00:00.000,BRONX,19,211765,Original,52120
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT CEILING AND ALL WALLS AT PUBLIC HALL AT EAST , 1st STORY",2021-08-06T00:00:00.000,7409229.0,40.665466,Crown Heights (South),403,3034169.0,35.0,A,556,52,2021-11-02T00:00:00.000,BROOKLYN,19,320387,Original,62330
"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT SOUTH WALL IN THE 6th ROOM FROM EAST LOCATED AT APT 1GH, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-03-19T00:00:00.000,4769477.0,40.852685,University Heights (South)-Morris Heights,226,2008964.0,14.0,B,550,516,2014-03-20T00:00:00.000,BRONX,9,204975,Original,76850
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT EAST WALL IN THE 2nd ROOM FROM NORTH AT EAST LOCATED AT APT 4R, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH",,4788565.0,40.686021,Bedford-Stuyvesant (East),764,3045921.0,41.0,A,508,9,2014-06-15T00:00:00.000,BROOKLYN,19,325157,Original,53030
"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR INOPERATIVE LOCATED AT APT 35, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",2015-03-17T00:00:00.000,4992123.0,40.800036,Harlem (South),48,1054984.0,9.0,B,702,24,2015-03-20T00:00:00.000,MANHATTAN,9,108543,Original,31190
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING IN THE 1st ROOM FROM NORTH LOCATED AT APT 4E, 4th STORY, 4th APARTMENT FROM EAST AT SOUTH",,4841703.0,40.825563,Hamilton Heights-Sugar Hill,522,1061918.0,7.0,A,556,46,2014-09-06T00:00:00.000,MANHATTAN,19,104198,Original,36670
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING, EAST WALL IN THE PRIVATE HALLWAY LOCATED AT APT 35, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",2015-03-17T00:00:00.000,4992122.0,40.800036,Harlem (South),48,1054984.0,9.0,A,556,24,2015-05-19T00:00:00.000,MANHATTAN,9,108543,Original,31190
"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE LOCK ON VESTIBULE DOOR AT PUBLIC HALL, 1st STORY",,4790970.0,40.829864,Hamilton Heights-Sugar Hill,722,1062442.0,7.0,C,501,17,2014-03-16T00:00:00.000,MANHATTAN,19,111978,Original,29690
"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE 3rd ROOM FROM EAST AT NORTH LOCATED AT APT 6, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",2014-08-08T00:00:00.000,4861436.0,40.744328,Woodside,41-28,4431346.0,26.0,B,583,6,2014-08-08T00:00:00.000,QUEENS,19,400786,Original,11590
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WALLS AND CEILING AT(HALF BATH) IN THE 2nd BATHROOM LOCATED AT APT C23H, 23rd STORY",2014-09-16T00:00:00.000,4848558.0,40.818858,Manhattanville-West Harlem,3333C,1085767.0,7.0,A,508,9005,2014-09-16T00:00:00.000,MANHATTAN,9,143318,Original,13610
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING IN THE BATHROOM LOCATED AT APT 1, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2020-09-19T00:00:00.000,6922180.0,40.682007,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,246,3004809.0,39.0,B,508,16,2020-09-23T00:00:00.000,BROOKLYN,9,335597,Reissued,72230
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING AND SOUTH WALL IN THE 4th ROOM FROM NORTH LOCATED AT APT 3RE, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",,4850976.0,40.807474,Mott Haven-Port Morris,513,2000055.0,8.0,A,508,2,2014-09-21T00:00:00.000,BRONX,22,208329,Original,25800
"§ 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYS HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY",,6498455.0,40.87399,Williamsbridge-Olinville,3331,2056886.0,12.0,A,500,49,2019-09-20T00:00:00.000,BRONX,19,218506,Original,55520
"§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2015-04-22T00:00:00.000,5072597.0,40.846921,Mount Hope,1812,2009359.0,14.0,B,569,59,2015-05-04T00:00:00.000,BRONX,9,205445,Original,20020
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE 2nd ROOM FROM EAST AT SOUTH LOCATED AT APT B, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",,4741329.0,40.868116,Bedford Park,2721,2092513.0,14.0,B,508,43,2014-01-31T00:00:00.000,BRONX,19,211765,Original,52120
"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING ESCUTCHEON PLATES AT HEAT RISERS THRU-OUT IN THE ENTIRE APARTMENT LOCATED AT APT 16, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",,4896350.0,40.862634,University Heights (North)-Fordham,2567,2016320.0,15.0,B,506,46,2014-10-06T00:00:00.000,BRONX,19,200072,Original,23920
"§ 27-2005, 2007 ADM CODE FIRE EGRESS DEFECTIVE. REMOVE OBSTRUCTING BARS OR UNLAWFUL GATES FROM WINDOW TO FIRE ESCAPE OR PROVIDE APPROVED TYPE GATE .. IN THE ENTIRE APARTMENT LOCATED AT APT 1, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2014-07-25T00:00:00.000,4866749.0,40.715477,Chinatown-Two Bridges,65,1001791.0,1.0,B,521,22,2014-08-18T00:00:00.000,MANHATTAN,9,102507,Original,12810
"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR IN THE PRIVATE HALLWAY LOCATED AT BSMT-APT A, 1st BSMT-APT FROM WEST AT NORTH",2013-11-12T00:00:00.000,4715461.0,40.864261,Inwood,109,1064734.0,10.0,B,502,1,2013-12-16T00:00:00.000,MANHATTAN,9,104417,Original,29190
"§ 27-2045 ADM CODE POST A PROPER NOTICE OF SMOKE DETECTOR REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, AT OR NEAR THE MAIL BOX MISSING AT PUBLIC HALL, 1st STORY",,6498455.0,40.87399,Williamsbridge-Olinville,3331,2056886.0,12.0,A,700,49,2019-09-20T00:00:00.000,BRONX,19,218506,Original,55520
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING IN THE BATHROOM LOCATED AT APT A8H, 8th STORY, 1st APARTMENT FROM SOUTH AT WEST",2014-03-17T00:00:00.000,4737879.0,40.818858,Manhattanville-West Harlem,3333C,1085767.0,7.0,B,508,9005,2014-01-27T00:00:00.000,MANHATTAN,19,143318,Original,13610
"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK CEILING IN THE BATHROOM LOCATED AT APT 4F, 4th STORY, 3rd APARTMENT FROM WEST AT NORTH",,4919417.0,40.852685,University Heights (South)-Morris Heights,226,2008964.0,14.0,B,583,516,2014-11-10T00:00:00.000,BRONX,19,204975,Original,76850
"§ 27-2005 ADM CODE PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION RADIATOR IN THE 1st ROOM FROM NORTH AT EAST LOCATED AT APT 6F, 6th STORY, 2nd APARTMENT FROM NORTH AT EAST , SECTION AT NORTH",,4733360.0,40.843061,Mount Eden-Claremont (West),1654,2007333.0,15.0,A,554,5,2014-03-21T00:00:00.000,BRONX,19,207422,Original,51620
"§ 27-2005 ADM CODE PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE 1st RISER FROM EAST AT SOUTH WALL IN THE 2nd BATHROOM FROM EAST LOCATED AT APT 1GH, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-03-19T00:00:00.000,4769476.0,40.852685,University Heights (South)-Morris Heights,226,2008964.0,14.0,A,554,516,2014-05-19T00:00:00.000,BRONX,9,204975,Original,76850
"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) NORTH WALL, WEST WALL IN THE FOYER LOCATED AT APT 23, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST",2015-01-26T00:00:00.000,4967141.0,40.800036,Harlem (South),48,1054984.0,9.0,C,617,24,2015-01-17T00:00:00.000,MANHATTAN,19,108543,Original,31190
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING IN THE BATHROOM LOCATED AT APT 4F, 4th STORY, 3rd APARTMENT FROM WEST AT NORTH",,4919417.0,40.852685,University Heights (South)-Morris Heights,226,2008964.0,14.0,B,508,516,2014-11-10T00:00:00.000,BRONX,19,204975,Original,76850
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE 4th ROOM FROM EAST AT SOUTH LOCATED AT APT 1R, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",,4819071.0,40.655911,Brownsville,664,3082972.0,42.0,B,508,48,2014-06-02T00:00:00.000,BROOKLYN,19,302183,Original,89970
§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE LOCK AT ENTRANCE D OOR TO BUILDING,2013-12-31T00:00:00.000,4726204.0,40.852685,University Heights (South)-Morris Heights,226,2008964.0,14.0,B,501,516,2014-01-06T00:00:00.000,BRONX,9,204975,Original,76850
"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE AND/OR DRY ROTTED WOOD FLOOR IN THE FOYER LOCATED AT APT C061, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",,4839070.0,40.693415,Brooklyn Heights,8,3341540.0,33.0,A,501,17,2014-09-01T00:00:00.000,BROOKLYN,19,372674,Original,28390
"§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 0; WG TO REPLACE = 0; WG TO REPAIR = 8; LOCATED AT APT 6, 3rd STORY",,4869994.0,40.663067,East New York-New Lots,575,3085038.0,42.0,C,790,51,2014-08-09T00:00:00.000,BROOKLYN,9,335352,Original,76430
"§ 27-2005, 2006, 2037 HMC: PROPERLY REPAIR AND ABATE UNSAFE ELECTRIC WIRING CONDITION CONSISTING OF ,ELECTRIC OUTLETS AT WEST WALL IN THE KITCHEN LOCATED AT APT 1A, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST",,4712919.0,40.8311,Crotona Park East,1327,2010493.0,17.0,B,689,92,2013-12-11T00:00:00.000,BRONX,19,221732,Original,65320
