fax_number,number_programs,:@computed_region_f5dn_yrer,extracurricular_activities,addtl_info1,state_code,community_board,priority09,priority07,end_time
212-488-3335,1,12,"Art, Music, Dance, Photography, Knitting, Museum, Science, French, Comic Book, Daily Peer Tutoring, Student Government, MOUSE Squad","Before and after-school program offered, Saturday program offered",NY,4.0,,,3:30 PM
718-302-3726,1,36,"Art, Board Games, Cheerleading, Chess, Community Service, Cooking, Drama, Flag Football, Gardening, Greenpoint Youth Court, iMentor, Improv Comedy, International, Literary and Art Journal, National Honor Society, Readers are Leaders, Recruiting Ambassadors, Student Council, Technology, Urban Explorers, Video Gaming, Y Scholars program",,NY,1.0,,,3:15 PM
212-283-8109,1,18,"Advisory, Choral Ensemble, Dance, Debate Team, International, Mentoring, Moot Court, Music, Poetry, Squash Book","Uniform Required: white shirt, black pants/skirt, black shoes, red/black school sweater with school logo; sweater available for purchase at the school",NY,10.0,,,3:00 PM
718-665-2363,1,49,"Respect for All Program, Annual 'World's Fair' Exhibition, Book, College Tours, Community Service, Dance, Discussion Groups, DJ Mixing, Literature Appreciation Program, Museum, Newsletter, PSAT/SAT Prep, Readers in Residence, Special Events Committee, Spoken Word, Student Government, Student Leadership Retreats, Visual and Performing Arts Appreciation Program, Writers, Spectrum","Dress Code Required: long or short-sleeved white polo shirt, black or khaki slacks/skirt (no shorter than 3 inches above the knee), black, brown or khaki colored shoes; optional tie for boys, Students participate in several college visits throughout the school year; visits are daytime, overnight or three day trips, Chancellor’s Arts Endorsed Diploma",NY,1.0,,,3:00 PM
718-329-8559,3,24,"National Honor Society, Chamber Music, Brass Quintet, Campus Council, Chess, Clarinet Quartet, Conflict Resolution/Peer Mediation, Newsletter Team, Dance, Drama, Guitar Class, Gospel Choir, Latin Band, Men's Choir, Music Section Leaders, Musical Theatre, Percussion Ensemble, Philosophy, Prom Committee, Regents Preparation, Rock Band, Saturday Academy/Tutoring, Saxophone Quartet, School Leadership Team (SLT), several performances and competitions throughout the Tri-State Area, String Quartet, Student Council, Student Recital Series, Woodwind Quintet, Yearbook Committee, Yoga, Recycle-A-Bicycle, Teen Battle Chef, Volunteer and Internship Programs, Disney's Magic Music Days, Six-Flags Music Showcase, Journalism, SAT Prep, College Tours, Flag Football, Basketball, Cheerleading, Swimming, Summer Band Camp, Summer Strings Camp, Summer Choir Camp",Chancellor's Arts Endorsed Diploma,NY,7.0,,,3:45 PM
718-723-7306,1,63,"Health Occupations Students of America, Student Government, Mentoring, Fairness Committee, Student Ambassadors, Dance, Step Team, Art, Service Learning Program","Dress Code Required: navy pants, grey polo shirt and  black shoes, Students in EMT and Nurse Assisting programs are  required to meet the standards for New York State  certification in those areas, EMT students must complete supervised practicum  hours in an ambulance, Nurse Assisting students must complete supervised  practicum hours in a hospital or long-term care facility",NY,13.0,,,3:32 PM
212-253-2539,1,71,"IRIS Literary Magazine, Chess, Japanese, Journalism, Model UN, Peer Mediation, Service, Student Government, MOUSE Squad, Tutoring, Yearbook, Girls A capella",Senior Year Internship,NY,6.0,,,3:30 PM
212-234-4975,1,37,"After-school Tutoring, Ballet, Band, Chorus, Dance Company, Jam Sessions, Performing Arts Major Showcase, Poetry Out Loud, Sinai Peers Encouraging Empowerment Through Knowlege (SPEEK), Spring Showcase, Student Government Association, Theatre Arts, Winter Showcase, Yearbook Committee, Young Men's Club","Uniform Required: official three-button polo shirt with school logo (must be purchased from our school), khaki pants, black shoes, Chancellor’s Arts Endorsed Diploma, Students receive a full performing arts conservatory  education",NY,9.0,,,3:15 PM
718-824-0963,1,58,"Campus Senate, Cartooning/Anime, Chess Club and Team, Creative Writing, English Classes for English Language Learners (ELLs), Fashion and Modeling, Mural Painting, Required Math and English Language Arts (ELA) After-school Tutoring, Saturday Regents Preparation, Salsa Dance, SAT Preparation, School Newspaper, Step, Student Leadership, Student Government, Young Runner's Team, Campus-wide Sports","Extended Day Program, Saturday Program and Summer School expected (based on students' academic needs), Parental involvement is expected and encouraged, Parent Association and  School Leadership Team",NY,9.0,,,3:00 PM
718-372-2514,1,21,"Recycling, Achieve 3000, After-school Program collaboratively developed by teachers and students, After-school Tutorials, Basketball, Cross-age Tutoring, Debate, Ecology, Environmental Science, Film and Video, French, Guitar, Literary Journal, National Honor Society, New York Aquarium Internships, Ocean Futures, Odyssey Blended Learning Program, Rosetta Stone Program, Saturday School Tutorials, School Newspaper, School Website, Underwater Robotics, Vocal, Drama Program, Cooking Program, Digital Media Program, Yoga Program, YWCA Program, Intel Research Program","Chancellor's Arts Endorsed Diploma, Community Service Requirement, Extended Day Program, Internship requirement at least two hours per week, Marine Sciences Concentration, Saturday Academy",NY,13.0,,,3:15 PM
718-329-0433,2,48,"Academic Intervention Services, AIDS Awareness Day, Art, Blood Drive, Breast Cancer Walk, Canned Food Drive, Chorus, Dance Company, Enchanted Garden, English Language Arts (ELA) Enrichment Program, Fashion Show, Freshman Honors Theatre Ensemble, Guitar, Math, National Honor Society, Peer Mediation, Penny Harvest, PM School- Extended Day, Poetry Slam, Science, Senior Committee, Senior Council, Stage Crew, Step Team, Student Council, Student Government, Student Producers, Summer Program, Video Production Workshop, Yearbook","All students are required to participate in Theatre Arts courses in grade 9 and are encouraged to continue to participate in grades 10-12, Students who take Theatre Arts courses throughout their high school career are eligible to sit for the Theatre Arts Citywide Exam and can receive a Chancellor's Arts Endorsed Diploma",NY,8.0,,,4:00 PM
,1,47,"National Honor Society, SkillsUSA, Health Occupations  Student Association, Theater, Marching Band, Chorus and Choir  ",,NY,12.0,,,3:00 PM
212-691-2147,1,12,"Asian Cultural Club, Black Alliance, Chorus, Classic Literature, Dance, Feminist Focus, Gay-Straight Alliance, Girls Learn International, Graphic Arts, Group Green Club, Instrumental Music, Jewish Cultural Club, Lab Theater Company, NY Learn Japanese, Literary Magazines, Middle East Studies, Model UN, Newspaper, Open Studio Art Workshops, Peer Advisors, Photography, Stand Up to Bullying, Social Action, Student Ambassadors, Student Government, Student Publications, Tech Team",,NY,4.0,,,2:50 PM
,1,36,"Community-based Service Projects (Reading Buddy Program at nearby elementary school), Debate Team, Digital Video Design, Math Team, NYS Regents Preparation & Saturday Academy, Peer Mentoring, Peer Tutoring, Photography, Recycling Team, School Spirit Team, School Tour Guides & Student Recruitment Committee, Sculpture, Student Council","Uniform Required: full navy blue and gray uniform with school logo, Summer Programs offered",NY,1.0,,,2:45 PM
718-361-9995,6,39,"After-school and Saturday Tutoring, Chamber Music, Community Mural Painting, Community Service through the Arts, Dance for non-Dance Students, Fundraising Committees, Gay-Straight Alliance, Greek, Helping Hands, Improvisation, Preparatory Jazz Band, Literary Magazine, Music Composition, National Chorale, National Honor Society, Photojournalism, Prom, School Newspaper, Step Dancing, Student Government, Yearbook, various internships and apprenticeships",Chancellor’s Arts Endorsed Diploma,NY,1.0,,,3:15 PM
718-788-8127,1,14,"Brooklyn Student Advisory Council, Campus Community, Dance, Debate, Digital Photography and Graphic Design, Drawing, Film, High School – Middle School Student Mentoring, Homework Help, LEGO Robotics, Math, Mural Painting, Newspaper, Poetry Slam, SAT Prep, Spelling Bee, Step, Student Government, Student Mentoring, Studio Art, Teen Battle Chef, Yearbook",,NY,6.0,,,3:15 PM
212-219-0743,1,57,"Yearbook, iCare Community Service, Debate Team, Drama, Rock Band, Jazz Band, iNews, Green Roof Team, Model UN, Poetry, Book, Student Government; additional clubs will be formed based on student interest",Internship Requirement,NY,2.0,,,4:00 PM
718-945-8958,1,51,"Metropolitan Museum of Art HS Tour Program, Scholars' Shadow Internships, Guitar, The World of Art; Carnegie Hall Program, Art & Design, Band, Chorus, Dance, Digital Photography, Drama, Drawing, Film Production, Independent Art Studio Morning Program, Journalism, Key Club, LEGO Robotics, Mathletes, Mentoring Program, Multicultural, Painting, Peer Tutoring, Percussion, SAT Preparation Courses, Sculpture, Shakespeare, Spanish Culture, Stage Crew, Student Government, Summer Jobs Program, Video Editing, Video Yearbook, Yearbook, Knitting & Crocheting, PBIS, Peer Mentoring, Stock Market Game","Uniform Required: navy blue Scholars' Academy polo shirt with school logo, tan khaki pants, closed-back shoes, Chancellor’s Arts Endorsed Diploma",NY,14.0,,,3:00 PM
718-410-4038,1,50,"Homework Help, Math Tutoring, Visual Arts, Theatre, Dance, Community Service, French language program, Culture Clubs, Student Government, Newsletter, Photography",Dress Code Required. Please contact the school for more information,NY,4.0,,,3:17 PM
212-647-1989,1,12,"Burton Chill Programs: Snowboarding (Winter) and Surfing (Summer), Hudson Sailing, Student Ambassadors, Student Council, Dance Team, Hula Hoop","After-school tutoring, PSAT and SAT prep classes, Regents prep classes",NY,4.0,,,3:15 PM
718-564-2541,1,60,"Brooklyn College Community Partnership Program sponsored activities: Video Production, Brooklyn College Saturday Courses, Chess, College Prep and Guidance Workshops, Computer, Conflict Resolution Training, Dance, Drama, Leadership Class, National Honor Society, Peer Mediation Center, Performance Art, Regents Prep, SAT Prep, School Yearbook, STEP, Student Government, Study Center, Technology, Teen Talk; School Clubs: Anime, Tutoring, Young Entrepreneurs","Uniform Required: white polo shirt with STAR logo or white polo shirt/blouse, black or navy blue pants/slacks/skirt",NY,14.0,,,2:45 PM
718-292-2355,1,50,"Academic Tutoring, Acting, Activism, buildOn, Math, Mock Trial/Law, National Honor Society, Photography, Poetry, SAT Prep, School Newspaper, Step/Dance, Student Council, Sustainability, The Men's Club, Yearbook (Seniors), Yoga","Dress Code Required: Boys - solid white button-down dress shirt, blue or black pants, blue or black belt, tie of choice, black, navy or brown shoes; Girls - solid white button-down dress shirt, blue or black pants/knee length skirt, white or black tights, optional blue or black belt and tie, black, navy or brown shoes",NY,4.0,,,3:15 PM
646-826-8175,2,56,"Art, Bank of America Future Leaders, Book, College for Every Student (CFES), College Mentoring for Access and Persistence (MAP), The Future Project, New York Cares, Peer Tutoring, Peer Mediation Center, Senior Activities, Student Government Organization, The Dream Team, Yearbook, Anti-Defamation League Peer Leaders (ADL), Sports Blogging/ Webcasting",Incoming students are expected to attend an Orientation in June.,NY,1.0,,,3:20 PM
,1,62,Based on student interest.  ,,NY,10.0,,,4:00 PM
718-893-7152,1,58,Latin and African Dance,"Chancellor’s Arts Endorsed Diploma, Uniform Dress Code Required: HSWC uniform shirt, black slacks/skirt (no shorter than 2 inches above the knee), black shoes or boots (during inclement weather), Extended Day offered, Weekend programs offered",NY,9.0,,,4:00 PM
718-292-4276,2,49,"After-school Activities, Band, Cheerleaders, College Courses, Conflict Resolution, Dance, Drama, HNN, Internships, Martial Arts, Network for Teaching Entrepreneurship (NFTE), Newspaper, Painting and Drawing, Part of the Solution (POTS), Photography, Poetry, Power Writers, Principal's Panel, Project Adventure, Runners, Service Learning, Steppers, Student Government, Student Leadership Group, Taconic Outdoor Science Center, Technical Drawing (drafting), Technology, Teen Battle Chef, UHHS Urban Spin Farm (with Project Eats), Video Editing, Yearbook Committee, Young Gentlemen's Group, Young Runners Program","Dress Code Required: white or purple polo with school logo/white or purple button-down shirt; black slacks/pants (no cargo pants), black shoes. Polo shirt can be ordered online or through the school., Academic Portfolio Required",NY,1.0,,,3:00 PM
718-486-2505,1,36,"Cheerleading, Chess, College Exploration, Craft Club, Dance performances, Film/Documentary Club, Full-length dramatic production, Genealogy Club, High School Heroes, Job Shadowing, Leadership Class, Music performances, Newspaper, Numerous art clubs with installations and presentations, Peer Mediation, Peer Tutoring, Puzzle, Step Team, Student Government, Travel, Yearbook","Extended Day Program, Our school requires an Academic Portfolio for graduation, Community Service, Internships, Career and College Exploration",NY,1.0,,,3:10 PM
917-441-3693,2,20,"=A 'Battle of the Grades' (schoolwide sports, activities and competitions), Anime, Annual overnight school trip for sophomores; Cartooning, Chess, Choir, Computer, Dance, Drama, Fashion Club and fashion shows, Filmmaking, Graphic Arts, Guitar, Karaoke, Ji",Uniform Required: school shirt or sweatshirt embroidered with school logo,NY,7.0,,,2:45 PM
718-480-2610,1,41,"Chess, Debate, Drumline, Guitar, Homework Assistance, Robotics, Violin","Dress Code Required: Monday – Thursday: light blue oxford short or long-sleeved shirt, blue and yellow tie, cardigan blue sweater, gray slacks, black belt, black footwear; Friday: navy blue polo shirt, khaki pants, black belt, black footwear, Community Service Requirement, Extended Day Program, Friday schedule: 8:30 AM – 3:15 PM, Weekend Program",NY,12.0,,,4:45 PM
212-346-0712,1,56,"Art, Music, Arts & Dance Festival and Talent Show, Big Brothers Big Sisters, Career Day, Chess, Drama, Euro Challenge, Fashion Show, Fed Challenge, Gay/Straight Alliance, Literary Magazine, National Honor Society, SPARK Youth Leadership, Student Government, Tutoring, Yearbook, Young Professionals Mentoring Program (YPMP), Model UN, Global Glimpse, Islands of Tolerance, Community Service Interest Club, Theater Arts, Stock Market Game","Dress Code Required every Wednesday: business attire (dress slacks/skirt, shirt/blouse, tie, dress shoes), Online Grading System, Full-time College Office",NY,1.0,,,3:30 PM
212-877-1138,1,20,"Model UN, Mock Trial Team, Cooking, Student Government, Gay/Straight Alliance, Journalism, Drama, Chess, Community Service, Yearbook; Students are able to start clubs based on their own interests",,NY,7.0,,,3:30 PM
718-599-1369,1,69,"Debate Team, Math, Mock Trial Team, Model UN, National Honor Society, Poetry, School Newspaper, Science, Stock Market Game, Student Government Association (SGA)","Uniform Required: collared polo or button-down shirt with school logo, black or khaki pants/skirt, Extended Day Program, Saturday and Evening School",NY,3.0,,,3:30 PM
718-235-4028,1,45,"Math Club, Culinary Club, Mural Painting Club, Step Team, National Honor Society, Gay-Straight- Bisexual Alliance, Women's Fitness Group, Women's Empowerment Group, Music Club, Opening Act (Theater), Piano Club","Extended Day Programs, Weekend Program offered, Student and Parent Summer Orientation, Our school requires an Academic Portfolio for graduation, Community Service Requirement",NY,5.0,,,3:11 PM
718-696-3380,1,29,"Art, Book, Theatre, Global Girls, Attendance Achievers, RISE, Chess, CPR, Dance, Step Team, First Aid Certification, National Honor Society, Regents Preparation, SAT Preparation, Tutoring, Volunteering, College Now, Bronx Community College Medical Billing and Coding Certification, Today's Students Tomorrow's Teachers, Peer Mediation Program/Certification, Cooking, Robotics, Anime","Dress Code Required: short or long-sleeved collared white shirt, black pants/skirt, black socks/tights, black shoes",NY,12.0,,,3:15 PM
718-731-2031,3,6,"Adobe Photoshop, ALT Community Service Committee, ALT News, Dance Club Executive Board, Excel, Fitness, Karate, Leadership, Microsoft Applications, National Honor Society","Students are expected to complete a project by the end of each marking period, Dress Code Required: solid, light blue collared button-down shirt/blouse, black slacks/skirt (no shorter than 3 inches above the knee), black shoes. In cold weather, black boots may be worn.",NY,5.0,,,4:00 PM
718-466-4001,1,34,"AfterWORDS Literacy Project, Big Brothers Big Sisters, Business, Capoeira (Brazilian Martial Arts), Chess, Choir, Crochet, Drama, Engineering, Hip-Hop Dance, Karate, Latin Ballroom Dance, Percussion (African and Latin), Screen Printing, Step Dance Squad, Student Crew Leader Assembly (SCLA), Table Tennis, Tech Squad, Yearbook; additional clubs added by student request","Uniform Required: school-issued polo shirt with the school logo, black or khaki pants, sneakers, Extended Day Program, Our school requires an Academic Portfolio for graduation",NY,3.0,,,3:15 PM
718-736-7117,1,63,"International Trips, After-school Samuel Field Y Recreation Program, Ambassadors Program, ARISTA National Honors Society, Art, Asian American, Book, Books and Bagels, Cheerleading, Strategy/Gaming, Choir, Dance, Drama, Glamour Girls, Fashion, Film, Gardening, Habitat for Humanity, Mentoring, Music, Robotics, Save Our Society, STEP, Theater Group, Writing Center, Yoga","We offer a 2-week interdisciplinary Summer Program in July, All ninth graders are assigned to a small learning community, There are three time schedules which are rotated yearly, Located on a beautiful 32-acre landscaped campus in eastern Queens, State-of-the-art facilty with contemporary computer labs, science labs and a theater",NY,13.0,,,3:30 PM
718-904-5055,2,43,"Dance, Drama, Visual Arts, GSA, Model UN","Dress Code Required: Maroon or white polo or white dress shirt, black pants/skirt, Extended Day and Office Hours Available, International Travel Opportunities, Math and ELA are 2 periods for freshmen, and utilize a collaborative team teaching model., Additional clubs and school-based club sports added based on student interest",NY,10.0,,,3:20 PM
718-260-2301,1,68,"Girls Inc. of NYC Teen Program, Digital Design, ROOT STEM Gardening Summer Internship, LEGO League, Green Team, Future Cities Competition, Music Ensemble, College/Career Development Workshops & Seminars, TASC ExpandED - Lifeguarding & CPR/AED First Aid Certification; Student Government, Robotics, Web Wiz, Art Explorers, Theater Arts, Self-Defense, Media Mavens, Tech Gals, Recycling and Art, Step In School, Music, Yearbook, Girls Gazette, Dance Company, Young Women Filmmakers, DJ'ing 101, Debate Program, Girls Night Out, UAI Research Squad, Junior & Senior Committees, Peer Leadership Group, New York Science & Engineering Fair, Sonia Kovalevsky Day for Young Girls in Math",,NY,2.0,,,3:20 PM
718-589-9849,1,34,"Advancement via Individual Determination (AVID), Character Education Leadership Program, College Summit, Community Service, National Honor Society, PM School, Saturday School, Student Council, Study Jams; Clubs vary each year according to student interest.","Our students are required to take four years of violin and/or dance, All students are expected to graduate with a Performing Arts Regents Diploma",NY,3.0,,,3:00 PM
718-741-5263,1,48,"Boys 2 Men, Chess, Dance; Precious, Extraordinary, Exceptional, Articulate Lady Scholars (PEARLS); National Honor Society, National Society of Black Engineers, Pretty in Pink, Robotics, Society of Hispanic Engineers","Dress Code Required: white collared shirt, black pants, black shoes/sneakers, Summer orientation for incoming freshmen",NY,8.0,,,4:30 PM
212-732-6622,2,56,"Alumni Mentoring Program, Conflict Resolution, Explorers Post 521, Fresh Start Mentoring for 9th graders, Honor Society for Young Men of Color, Lincoln-Douglas Debate Team, Math Team, Mock Trial, Moot Court, National Honor Society, Principal's Council, Senior Council, Student Government, Virtual Enterprise Competition","We require all students to dress in business casual attire, Completion of coursework results in a Business Certification Seal, Performance-based Assessment",NY,1.0,,,3:00 PM
718-922-0709,2,45,"Arista/National Honor Society, Student Government,","Uniform Required: royal blue/gray WATCH shirt, black or khaki pants/skirt; shirt, medical scrubs, lab coats may be purchased at Ideal Uniforms, Students are expected to complete 4 years of Math and Science instruction, Community Service Requirement of 60 hours each year",NY,5.0,,,2:20 PM
718-904-4285,3,43,"Full Extended Learning Time Program - After School and on Saturday; Community Service, Speech & Debate, Arista, Band, Ceramics, Chamber Choir, Chess, Dance, Debate Team, Digital Media, Forensic Program, Law Team, Leadership Program, Mock Trial, Moot Court, MOUSE Squad, Musical Theater Productions, Newspaper, Painting, Robotics, Student Council, Tech Bridge, Cooking, Zumba, Martial Arts, Opening Act Theatrical Program","Summer Bridge Program,  Lunch and Learn,  Clubs",NY,10.0,,,3:45 PM
718-629-1076,1,61,"Sculpture, Painting and Graphics Arts Program; Digital Video Production, Meditation, Digital Music and Animation Training, Girls Empowerment Group, Kurt Hahn 'Chronicle' (Newspaper), Kurt Hahn Radio, Kurt Hahn TV, Opening Act Drama, Outdoor Adventure, Peer Mediation, Peer Tutoring, Rock Climbing, Student Activities Committee, Brotherhood Young Men's Mentoring Program, Iron Chef Cooking, New York Cares Community Service, Student Activism, Poetry Slam, Gardening Program, Animal Rescue Group, Yearbook","Uniform Required: Kurt Hahn shirt with school logo. Shirts are available for purchase from our school store., Our school requires an Academic Portfolio for graduation, Extended Day Program, Community Service Requirement",NY,17.0,,,3:30 PM
212-246-2654,1,12,"Individualized Peer and Teacher Tutoring, 3-D Modeling, Big Brothers Big Sisters (American Express), CoderDojo, Cooking, Drama, Film Production, Gamer Haven, Homework Help, Martial Arts, MMO 3.0 (Massive Multiplayer Online Games), Math, Media Crew, Men of Strength, Moth StorySlam, MOUSE Squad - Beginner and Advanced, Regents Preparation, Robotics, JROTC, Skateboarding with Stoke, Student Government, Technovation Challenge (App-Design for Girls), Yearbook","Summer Overnight Orientation for freshmen in Rhinebeck, NY, Home visits scheduled for all incoming freshmen, Incoming freshmen are assessed in reading and math in the late summer prior to the school year, Summer Bridge Program offered to incoming freshmen",NY,4.0,,,3:30 PM
718-217-6287,5,63,"ACE Program, Anime, Arista Chapter, Art, Baking, Book, Boys Football, Career Week, Cartooning, Cheerleaders, College Fair, Dance Team, Desi/International, Drama, Drum Line, Fashion Show, Fitness Team, French, Haitian Club, Futura Yearbook, Humane Society, International Festival, Jobs/College Readiness, Leaders Organization, Lincoln-Douglas Debate Team, Math Olympiad, Mock Trial and Moot Court Law Competition Teams, Murals, MVB Voices/Musical Theater, Piano, Poetry, Robotics Team, Scholadecuria, Scholars, Senior Executive Board, Spring and Winter Festival for the Performing Arts, Step Team, Student Organization, Student Consultative Council, Tri-M Music Society Chapter, World Wrestling Entertainment (WWE)",,NY,13.0,,,3:14 PM
718-452-3603,1,42,"African Heritage Club, After-school Tutoring, Asset Labs, Drama, Mock Trial, Peer Tutoring, SAT Prep Course, Saturday School, Soccer, Spanish, Step Class","Dress Code Required: solid white or blue collared, button-down, shirt/blouse/school polo with logo, solid black, navy blue, gray or khaki slacks/skirt, shoes/construction boots",NY,4.0,,,3:45 PM
718-590-1052,1,34,"buildOn, Costume Design, Drama, Homework Help, Peer Tutoring, Dance, National Honor Society/Arista, School Leadership Team, School Spirit Team, Science Tutoring, Set Design, Soccer, Softball, Student Government, Technology, Yearbook, Yoga","Uniform Required: white dress shirt and tie, gray pants/slacks/skirt, navy blazer with logo, shoes, Student and Parent Summer Orientation",NY,3.0,,,3:25 PM
212-724-5748,6,20,"Amnesty International, Anime, Annual Musical, Arista, Art Exhibits, ASPIRA, Black Student Union, Chinese Student Association, Claymazing, Comic Book, Cult Classics, Dance Programs, DaVinci Scholars Program, Debate Team, Disney VoluntEars, Drama Festivals, Environmental, Fashion, Film, Future Voters of America, Gay/Straight Alliance, Girls Learn International, Habitat for Humanity, Harry Potter, Independent Film, Jewish Union, Literary Magazine, Math Team, Mock Trial, Moot Court, Murals, National Honor Society, National Language Honors Society, Newspaper, Orchestral and Vocal Concerts, Random Acts of Kindness, Red Cross, Relay For Life, School Leadership Team (SLT), Science Outreach League, Shamisen, Social Action, Splashes of Hope, Student Government Organization, Ukulele For Good, Yearbook",Chancellor’s Arts Endorsed Diploma,NY,7.0,,,4:00 PM
718-904-5099,1,43,"Debate, Drama, Newspaper, Dance, Art, Service Learning","Uniform Required: Please contact the school for more  information about school uniforms, Extended Day, Summer Bridge Program, iLearn Online Blended Learning Opportunities, College Preparatory Environment",NY,10.0,,,4:00 PM
718-388-7793,1,36,"Drama and theater, EPIC (Shakespeare); Student Government; Sisterhood Club; Video Club","Internships available for Juniors and Seniors, PM Academy for Credit Recovery/Make-Up",NY,1.0,,,3:00 PM
212-941-7934,2,57,"Chelsea SAT, Computer Repair, Dance, Drama, Electrical Engineers, Internships, Math, Mentoring, Music, National Honor Society, Prep Courses for Advanced Placement (AP) Program, SAT Prep, Student Government, Yearbook",,NY,2.0,,,4:00 PM
718-636-3819,2,69,"Bedford Gazette School Newspaper, Art, Debate Team, Drama, National Honor Society, Speech and Debate, Student Government Council, YMCA Youth and Government","Dress Code Required: white or blue shirt, tan or blue khaki pants",NY,3.0,,,4:15 PM
