brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,latitude,longitude,bin,comparable_rental_1_building_classification,comparable_rental_2_est_gross_income,comparable_rental_1_neighborhood,comparable_rental_1_boro_block_lot,brooklyn_cooperatives_comparable_properties_market_value_per_sqft,brooklyn_cooperatives_comparable_properties_year_built,census_tract,comparable_rental_2_boro_block_lot,comparable_rental_1_full_market_value,comparable_rental_1_est_gross_income,comparable_rental_1_address
3-01252-0080,"{'latitude': '40.671467165004', 'longitude': '-73.954819314869', 'human_address': '{""address"": ""1516 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.671437,-73.954805,3032181.0,C1-WALK-UP,254733.0,CROWN HEIGHTS,3-01374-0061,27.8,1931,219.0,3-01399-0020,926000,297306,"{'latitude': '40.671280815261', 'longitude': '-73.926855079827', 'human_address': '{""address"": ""1563 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05597-0058,"{'latitude': '40.640306667779', 'longitude': '-73.991752350897', 'human_address': '{""address"": ""1163 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.640347,-73.991849,3135867.0,C7-WALK-UP,157756.0,BOROUGH PARK,3-05670-0047,27.1,1926,224.0,3-05024-0063,1520000,406134,"{'latitude': '40.631225672155', 'longitude': '-73.993284116546', 'human_address': '{""address"": ""1379 54 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08721-0360,"{'latitude': '40.578653658105', 'longitude': '-73.956416161638', 'human_address': '{""address"": ""3131 BRIGHTON 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.577071,-73.956701,3245725.0,D7-ELEVATOR,2750003.0,CONEY ISLAND,3-07046-0001,56.0,1962,61002.0,3-01811-0019,12600000,3740286,"{'latitude': '40.574808038395', 'longitude': '-74.000984819778', 'human_address': '{""address"": ""3528 MERMAID AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05257-0045,"{'latitude': '40.70062638776', 'longitude': '-73.985401400454', 'human_address': '{""address"": ""135 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,-73.96968,3000000.0,C1-WALK-UP,356364.0,FLATBUSH-CENTRAL,3-05240-0001,13.28,1929,177.0,3-05240-0110,1320000,555076,"{'latitude': '40.632988900952', 'longitude': '-73.95786963222', 'human_address': '{""address"": ""1204 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00238-0061,"{'latitude': '40.695762713949', 'longitude': '-73.991750559915', 'human_address': '{""address"": ""24 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.695621,-73.991778,3001935.0,D5-ELEVATOR,1268438.0,WILLIAMSBURG-EAST,3-02764-0008,107.0,1926,502.0,3-00193-0050,4450000,1074387,"{'latitude': '40.714351822619', 'longitude': '-73.945972656618', 'human_address': '{""address"": ""692 METROPOLITAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02418-0005,"{'latitude': '40.712817564466', 'longitude': '-73.962331808156', 'human_address': '{""address"": ""325 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.712844,-73.962338,3063109.0,D9-ELEVATOR,531148.0,WILLIAMSBURG-SOUTH,3-02425-0032,56.0,1920,551.0,3-02421-0018,1660000,442937,"{'latitude': '40.708513774794', 'longitude': '-73.951314595578', 'human_address': '{""address"": ""395 HEWES STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01103-0069,"{'latitude': '40.661986480421', 'longitude': '-73.981845804957', 'human_address': '{""address"": ""423 15 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,C1-WALK-UP,267836.0,PARK SLOPE,3-01066-0014,85.0,1920,,3-01093-0001,1380000,332761,"{'latitude': '40.673251152174', 'longitude': '-73.97243430795', 'human_address': '{""address"": ""888 UNION STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07355-0042,"{'latitude': '40.597641372479', 'longitude': '-73.949031273421', 'human_address': '{""address"": ""2195 22 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,29.2,1942,,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08680-0001,"{'latitude': '40.581409975109', 'longitude': '-73.957853892268', 'human_address': '{""address"": ""40 BRIGHTON 1 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D7-ELEVATOR,3740286.0,BEDFORD STUYVESANT,3-01811-0019,56.0,1963,,3-07046-0001,8560000,2750003,"{'latitude': '40.688107634336', 'longitude': '-73.940429528122', 'human_address': '{""address"": ""510 QUINCY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06127-0011,"{'latitude': '40.614647668353', 'longitude': '-74.03204732343', 'human_address': '{""address"": ""9707 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.614586,-74.032128,3155885.0,D1-ELEVATOR,3028396.0,OCEAN PARKWAY-SOUTH,3-07234-0001,52.0,1957,162.0,3-07235-0001,9430000,3028396,"{'latitude': '40.58598656919', 'longitude': '-73.971298533254', 'human_address': '{""address"": ""2612 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-03634-0001,"{'latitude': '40.654763762279', 'longitude': '-73.907978032491', 'human_address': '{""address"": ""1407 LINDEN BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.654643,-73.907568,3326604.0,C1-WALK-UP,487624.0,FLATBUSH-EAST,3-04902-0047,27.8,1958,922.0,3-04917-0006,634000,244433,"{'latitude': '40.598455247657', 'longitude': '-73.996118147678', 'human_address': '{""address"": ""149 31 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05072-0001,"{'latitude': '40.648734407555', 'longitude': '-73.969609582063', 'human_address': '{""address"": ""5 STRATFORD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.648542,-73.969592,3116366.0,C7-WALK-UP,157756.0,BOROUGH PARK,3-05670-0047,28.6,1931,506.0,3-05024-0063,1520000,406134,"{'latitude': '40.631225672155', 'longitude': '-73.993284116546', 'human_address': '{""address"": ""1379 54 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05268-0033,"{'latitude': '40.654479118942', 'longitude': '-73.973813569582', 'human_address': '{""address"": ""651 VANDERBILT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.654057,-73.974823,3122195.0,C1-WALK-UP,356364.0,FLATBUSH-CENTRAL,3-05240-0001,18.84,1963,50202.0,3-05240-0110,1320000,555076,"{'latitude': '40.632988900952', 'longitude': '-73.95786963222', 'human_address': '{""address"": ""1204 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06296-0046,"{'latitude': '40.608773273552', 'longitude': '-73.998935439725', 'human_address': '{""address"": ""1855 82 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.608766,-73.998977,3163828.0,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,39.7,1930,278.0,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06503-0020,"{'latitude': '40.628941072506', 'longitude': '-73.971685704399', 'human_address': '{""address"": ""800 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.628805,-73.971352,3.1703270E+6,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,34.3,1958,46201.0,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05071-0034,"{'latitude': '40.647237801521', 'longitude': '-73.969390605214', 'human_address': '{""address"": ""68 STRATFORD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.647389,-73.969395,3116323.0,C7-WALK-UP,157756.0,BOROUGH PARK,3-05670-0047,34.5,1931,506.0,3-05024-0063,1520000,406134,"{'latitude': '40.631225672155', 'longitude': '-73.993284116546', 'human_address': '{""address"": ""1379 54 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01208-0038,"{'latitude': '40.677335363898', 'longitude': '-73.944535112078', 'human_address': '{""address"": ""1384 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.677375,-73.944808,3030111.0,C1-WALK-UP,218790.0,CROWN HEIGHTS,3-01223-0076,19.81,1905,313.0,3-01223-0078,530000,204301,"{'latitude': '40.674800507338', 'longitude': '-73.941152380164', 'human_address': '{""address"": ""925 ST MARK\'S AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05399-0007,"{'latitude': '40.635797245528', 'longitude': '-73.972964068292', 'human_address': '{""address"": ""510 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.635604,-73.972646,3127185.0,D1-ELEVATOR,547909.0,BAY RIDGE,3-06060-0032,48.3,1931,484.0,3-05389-0067,2460000,727326,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8802 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06330-0038,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8320 BAY PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.603493,-73.992218,3165265.0,C1-WALK-UP,458750.0,BENSONHURST,3-06333-0043,29.2,1923,290.0,3-05375-0077,2180000,582781,"{'latitude': '40.605654172849', 'longitude': '-73.997220671665', 'human_address': '{""address"": ""8420 20 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05988-0045,"{'latitude': '40.627008519064', 'longitude': '-74.026668892304', 'human_address': '{""address"": ""8024 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.626955,-74.026666,3151285.0,D1-ELEVATOR,908920.0,BAY RIDGE,3-06047-0031,67.0,1934,64.0,3-06107-0029,4510000,1206404,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8708 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01170-0009,"{'latitude': '40.674122260316', 'longitude': '-73.97144654162', 'human_address': '{""address"": ""34 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.675292,-73.969555,3029314.0,D1-ELEVATOR,1959512.0,PROSPECT HEIGHTS,3-01164-0064,51.0,1956,207.0,3-01946-0004,4870000,1439718,"{'latitude': '40.676161347247', 'longitude': '-73.970667605291', 'human_address': '{""address"": ""215 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01073-0041,"{'latitude': '40.700749929027', 'longitude': '-73.989468841473', 'human_address': '{""address"": ""35 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,-73.96968,3000000.0,D5-ELEVATOR,2536474.0,CLINTON HILL,3-01946-0004,53.0,1929,177.0,3-00236-0015,7330000,1959512,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""379 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07566-0011,"{'latitude': '40.62893181319', 'longitude': '-73.956902151871', 'human_address': '{""address"": ""1363 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.628948,-73.956992,3206225.0,D1-ELEVATOR,1507176.0,FLATBUSH-CENTRAL,3-05065-0021,32.5,1929,772.0,3-06542-0070,4540000,1456547,"{'latitude': '40.655036485639', 'longitude': '-73.955829049325', 'human_address': '{""address"": ""118 CLARKSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01902-0022,"{'latitude': '40.692953760517', 'longitude': '-73.968733817438', 'human_address': '{""address"": ""165 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.692793,-73.968735,3054797.0,D6-ELEVATOR,1486711.0,BEDFORD STUYVESANT,3-01925-0001,51.0,1954,195.0,3-01170-0005,7720000,2065014,"{'latitude': '40.691860934502', 'longitude': '-73.959692774272', 'human_address': '{""address"": ""227 TAAFFE PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06703-0067,"{'latitude': '40.62933809346', 'longitude': '-73.957175137486', 'human_address': '{""address"": ""1348 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.629217,-73.957067,3179458.0,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,34.7,1927,764.0,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
