brooklyn_cooperatives_comparable_properties_boro_block_lot,borough,postcode,comparable_rental_1_market_value_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_1_year_built,comparable_rental_2_address
3-00982-0022,3,,75.0,102.0,1915,"{'latitude': '40.668763180016', 'longitude': '-73.976608061272', 'human_address': '{""address"": ""525 4 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00217-0001,3,11201.0,34.3,40.2,1928,"{'latitude': '40.639024303267', 'longitude': '-73.966828882476', 'human_address': '{""address"": ""405 WESTMINSTER ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01059-0055,3,11217.0,101.0,74.0,1926,"{'latitude': '40.674069569571', 'longitude': '-73.97144654162', 'human_address': '{""address"": ""36 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00733-0017,3,,73.0,94.0,1900,"{'latitude': '40.685046380837', 'longitude': '-73.992259277473', 'human_address': '{""address"": ""311 BALTIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00974-0065,3,,93.0,94.0,1923,"{'latitude': '40.664494613259', 'longitude': '-73.986846351349', 'human_address': '{""address"": ""549 6 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05268-0033,3,11218.0,22.92,22.59,1917,"{'latitude': '40.636118768078', 'longitude': '-73.95838719797', 'human_address': '{""address"": ""1086 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00236-0018,3,11201.0,42.6,73.0,1920,"{'latitude': '40.617672303917', 'longitude': '-74.032842558123', 'human_address': '{""address"": ""310 94 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01107-0009,3,11215.0,94.0,92.0,1900,"{'latitude': '40.708169057316', 'longitude': '-73.942541294527', 'human_address': '{""address"": ""165 MESEROLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00238-0061,3,11201.0,119.0,141.0,1930,"{'latitude': '40.687850477469', 'longitude': '-73.991536342618', 'human_address': '{""address"": ""129 BOERUM PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05060-0008,3,11226.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00982-0062,3,,73.0,42.6,1928,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""781 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05424-0001,3,11230.0,62.0,62.0,1961,"{'latitude': '40.667123961228', 'longitude': '-73.980367254498', 'human_address': '{""address"": ""430 8 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00235-0044,3,11201.0,98.0,101.0,1900,"{'latitude': '40.688964517167', 'longitude': '-73.978433754731', 'human_address': '{""address"": ""205 ASHLAND PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01943-0006,3,11238.0,66.0,88.0,1927,"{'latitude': '40.652297321362', 'longitude': '-73.973630891536', 'human_address': '{""address"": ""829 GREENWOOD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06620-0001,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02715-0005,3,11222.0,90.0,245.0,1920,"{'latitude': '40.730090522565', 'longitude': '-73.955751984342', 'human_address': '{""address"": ""109 GREENPOINT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02464-0002,3,,49.9,96.0,1915,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""242 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01179-0066,3,11238.0,52.0,54.0,1920,"{'latitude': '40.673981012962', 'longitude': '-73.928175766891', 'human_address': '{""address"": ""1248 ST MARK\'S AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07464-0035,3,11235.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05329-0062,3,11218.0,44.0,14.82,1960,"{'latitude': '40.676321385053', 'longitude': '-73.9887644504', 'human_address': '{""address"": ""199 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07158-0063,3,11223.0,51.0,42.1,1957,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""410 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01083-0045,3,11215.0,73.0,40.5,1900,"{'latitude': '40.64512018674', 'longitude': '-73.998327015345', 'human_address': '{""address"": ""832 42 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05988-0045,3,11209.0,72.0,54.0,1927,"{'latitude': '40.618015768336', 'longitude': '-74.031381813636', 'human_address': '{""address"": ""364 93 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05597-0061,3,11219.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05064-0029,3,11226.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00238-0035,3,11201.0,221.0,103.0,1999,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1511 CORBIN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00208-0331,3,11201.0,44.3,117.0,1983,"{'latitude': '40.697726780722', 'longitude': '-73.994156212372', 'human_address': '{""address"": ""52 CLARK STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01433-0060,3,11233.0,15.35,16.37,1910,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1613 EASTERN PARKWAY EXT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02424-0018,3,,50.0,27.8,1915,"{'latitude': '40.712583986074', 'longitude': '-73.960613306645', 'human_address': '{""address"": ""743 DRIGGS AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01208-0038,3,11216.0,27.7,32.2,1905,"{'latitude': '40.674800507338', 'longitude': '-73.941264135986', 'human_address': '{""address"": ""921 ST MARK\'S AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01933-0070,3,11205.0,74.0,33.6,1926,"{'latitude': '40.575693988233', 'longitude': '-73.99435949186', 'human_address': '{""address"": ""2828 28 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06835-0012,3,11229.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06532-0076,3,11230.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06739-0006,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01325-0001,3,11225.0,22.9,27.5,1920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9720 KINGS HIGHWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06771-0013,3,11229.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01916-0001,3,11205.0,73.0,67.0,1928,"{'latitude': '40.688581219042', 'longitude': '-73.970907219944', 'human_address': '{""address"": ""299 ADELPHI STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06527-0051,3,11230.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07447-0028,3,11235.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05495-1018,3,11230.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06765-0028,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01080-0043,3,11215.0,75.0,102.0,1915,"{'latitude': '40.668763180016', 'longitude': '-73.976608061272', 'human_address': '{""address"": ""525 4 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05374-0030,3,11218.0,28.9,28.9,1931,"{'latitude': '40.634374927982', 'longitude': '-73.972698421435', 'human_address': '{""address"": ""572 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02412-0002,3,11211.0,87.0,50.0,1913,"{'latitude': '40.71072006842', 'longitude': '-73.953280990576', 'human_address': '{""address"": ""180 BORINQUEN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06459-0006,3,,42.2,43.5,1978,"{'latitude': '40.617037115709', 'longitude': '-74.036964044268', 'human_address': '{""address"": ""125 95 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00231-0017,3,11201.0,78.0,66.0,1917,"{'latitude': '40.671963251969', 'longitude': '-73.959568191482', 'human_address': '{""address"": ""505 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07578-0062,3,,33.6,74.0,1972,"{'latitude': '40.674069569571', 'longitude': '-73.97144654162', 'human_address': '{""address"": ""36 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07681-0010,3,11229.0,33.6,66.0,1972,"{'latitude': '40.619199405119', 'longitude': '-74.025508438186', 'human_address': '{""address"": ""8829 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01065-0031,3,11215.0,73.0,72.0,1928,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""74 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05825-0001,3,,49.9,49.8,1948,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1483 SHORE PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05930-0001,3,11209.0,72.0,54.0,1927,"{'latitude': '40.618015768336', 'longitude': '-74.031381813636', 'human_address': '{""address"": ""364 93 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05938-0047,3,11209.0,51.0,54.0,1960,"{'latitude': '40.637146571273', 'longitude': '-74.035450291167', 'human_address': '{""address"": ""15 MACKAY PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05548-0059,3,11204.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07422-0040,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06510-0001,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06694-0046,3,11230.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05247-0001,3,11210.0,22.92,22.59,1917,"{'latitude': '40.636118768078', 'longitude': '-73.95838719797', 'human_address': '{""address"": ""1086 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01059-0061,3,11217.0,72.0,42.6,1912,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""781 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01924-0008,3,11205.0,72.0,76.0,1931,"{'latitude': '40.690968861122', 'longitude': '-73.954413495204', 'human_address': '{""address"": ""5 SPENCER COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01415-0016,3,11213.0,23.2,17.91,1925,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""901 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-03058-0001,3,11206.0,41.4,42.7,1950,"{'latitude': '40.639629582322', 'longitude': '-73.945505767633', 'human_address': '{""address"": ""1368 NEW YORK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07089-0062,3,,49.5,54.0,1960,"{'latitude': '40.637146571273', 'longitude': '-74.035450291167', 'human_address': '{""address"": ""15 MACKAY PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07260-0020,3,11235.0,54.0,51.0,1960,"{'latitude': '40.59931837295', 'longitude': '-73.994008247892', 'human_address': '{""address"": ""2255 BENSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07398-0002,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05376-0058,3,,51.0,48.4,1957,"{'latitude': '40.586035845351', 'longitude': '-73.969409550361', 'human_address': '{""address"": ""2612 WEST STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05357-0017,3,11218.0,23.27,28.0,1930,"{'latitude': '40.636150237117', 'longitude': '-73.983715541443', 'human_address': '{""address"": ""4219 15 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01230-0025,3,11213.0,29.2,28.8,1923,"{'latitude': '40.666634083618', 'longitude': '-73.940043892134', 'human_address': '{""address"": ""1435 CARROLL STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07214-0001,3,,41.1,51.0,1963,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2375 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07250-0001,3,,49.8,57.0,1949,"{'latitude': '40.574797359265', 'longitude': '-73.990957409813', 'human_address': '{""address"": ""2950 24 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06541-0027,3,11230.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06104-0017,3,,53.0,40.8,1935,"{'latitude': '40.667612575809', 'longitude': '-73.975981311235', 'human_address': '{""address"": ""623 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01080-0035,3,11215.0,76.0,69.0,1920,"{'latitude': '40.673611671934', 'longitude': '-73.973367230345', 'human_address': '{""address"": ""862 UNION STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00226-0013,3,11201.0,88.0,95.0,1923,"{'latitude': '40.666828716133', 'longitude': '-73.978288040349', 'human_address': '{""address"": ""719 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06700-0026,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06122-0038,3,11209.0,51.0,54.0,1960,"{'latitude': '40.637146571273', 'longitude': '-74.035450291167', 'human_address': '{""address"": ""15 MACKAY PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06503-0030,3,11230.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01205-0020,3,11216.0,21.73,21.96,1925,"{'latitude': '40.66974814789', 'longitude': '-73.953013646147', 'human_address': '{""address"": ""464 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05376-0068,3,,48.4,48.4,1949,"{'latitude': '40.585399649941', 'longitude': '-73.971107406975', 'human_address': '{""address"": ""2661 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02431-0005,3,11211.0,23.33,18.23,1925,"{'latitude': '40.667186977338', 'longitude': '-73.933967164636', 'human_address': '{""address"": ""1625 PRESIDENT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06089-0044,3,11209.0,51.0,54.0,1960,"{'latitude': '40.637146571273', 'longitude': '-74.035450291167', 'human_address': '{""address"": ""15 MACKAY PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06796-0026,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06175-0036,3,11204.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07423-0011,3,11235.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01098-0001,3,,95.0,41.0,1935,"{'latitude': '40.658001346714', 'longitude': '-73.907596404937', 'human_address': '{""address"": ""165 LOTT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05606-0017,3,11219.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00242-0012,3,11201.0,103.0,54.0,1922,"{'latitude': '40.708645651376', 'longitude': '-73.951233440758', 'human_address': '{""address"": ""399 HEWES STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07370-0021,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06121-0003,3,11209.0,62.0,53.0,1961,"{'latitude': '40.634725237986', 'longitude': '-74.026006691834', 'human_address': '{""address"": ""315 OVINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00238-0065,3,11201.0,221.0,103.0,1999,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1511 CORBIN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00238-0026,3,11201.0,291.0,101.0,1920,"{'latitude': '40.690347634823', 'longitude': '-73.994348984645', 'human_address': '{""address"": ""200 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00229-0001,3,11201.0,88.0,67.0,1923,"{'latitude': '40.688581219042', 'longitude': '-73.970907219944', 'human_address': '{""address"": ""299 ADELPHI STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07584-0035,3,11230.0,25.0,41.0,1973,"{'latitude': '40.638714790823', 'longitude': '-73.945332071737', 'human_address': '{""address"": ""1401 NEW YORK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07441-0245,3,11235.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01433-0038,3,11233.0,15.35,14.77,1910,"{'latitude': '40.675409015814', 'longitude': '-73.908092246182', 'human_address': '{""address"": ""2337 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
