bin,comparable_rental_1_dist_from_coop_in_miles,brooklyn_cooperatives_comparable_properties_full_market_value,brooklyn_cooperatives_comparable_properties_gross_sqft,bbl,comparable_rental_1_total_units,comparable_rental_2_year_built,nta,comparable_rental_2_total_units,brooklyn_cooperatives_comparable_properties_building_classification,comparable_rental_2_building_classification,comparable_rental_2_full_market_value,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft
3323070.0,5.6,17100000,316000,3045900051.0,420,1949.0,Prospect Lefferts Gardens-Wingate                                          ,462.0,D4-ELEVATOR,D1-ELEVATOR,17400000.0,16.0
3107316.0,1.05,4080000,152200,3048150037.0,172,1958.0,Prospect Lefferts Gardens-Wingate                                          ,172.0,D4-ELEVATOR,D1-ELEVATOR,5110000.0,12.64
3003050.0,0.4,768000,7680,3002910043.0,16,1913.0,Carroll Gardens-Columbia Street-Red Hook                                   ,20.0,C6-WALK-UP,C1-WALK-UP,463000.0,24.14
3128758.0,0.85,2140000,76840,3054400015.0,11,1931.0,Borough Park                                                               ,16.0,D4-ELEVATOR,C1-WALK-UP,590000.0,10.72
3146369.0,0.85,4850000,72312,3058870006.0,78,1928.0,Bay Ridge                                                                  ,83.0,D4-ELEVATOR,D1-ELEVATOR,3070000.0,17.92
,1.1,3820000,113442,,120,1951.0,,120.0,D4-ELEVATOR,D1-ELEVATOR,3400000.0,15.88
3117134.0,2.05,1860000,85200,3051000080.0,11,1931.0,Flatbush                                                                   ,16.0,D4-ELEVATOR,C1-WALK-UP,590000.0,9.18
3127938.0,0.55,5030000,93000,3054240001.0,90,1961.0,Flatbush                                                                   ,90.0,D4-ELEVATOR,D1-ELEVATOR,4820000.0,16.01
3076111.0,0.45,709000,14500,3033230062.0,24,1916.0,Bushwick South                                                             ,27.0,C6-WALK-UP,C1-WALK-UP,518000.0,14.47
3115699.0,2.7,3160000,76338,3050460018.0,11,1931.0,Prospect Lefferts Gardens-Wingate                                          ,16.0,D4-ELEVATOR,C1-WALK-UP,590000.0,13.32
3196064.0,1.6,3790000,67272,3072380049.0,69,1960.0,Gravesend                                                                  ,69.0,D4-ELEVATOR,D1-ELEVATOR,2730000.0,16.66
,4.2,3910000,60288,,11,1931.0,,16.0,C6-WALK-UP,C1-WALK-UP,590000.0,17.37
3071200.0,4.6,15800000,447000,3030600075.0,504,1950.0,East Williamsburg                                                          ,504.0,D4-ELEVATOR,D1-ELEVATOR,16600000.0,12.61
3029327.0,0.2,1130000,18000,3011700037.0,16,1920.0,Prospect Heights                                                           ,16.0,C6-WALK-UP,C1-WALK-UP,797000.0,16.86
,0.65,1840000,56200,,35,2000.0,,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,11.68
3336512.0,1.0,23300000,421800,3069330055.0,360,1948.0,Gravesend                                                                  ,420.0,D4-ELEVATOR,D1-ELEVATOR,15800000.0,16.34
,2.7,1840000,37000,,41,1929.0,,48.0,D4-ELEVATOR,D1-ELEVATOR,1540000.0,14.72
3326025.0,1.65,5690000,114445,3002310030.0,86,1928.0,Brooklyn Heights-Cobble Hill                                               ,191.0,D4-ELEVATOR,D7-ELEVATOR,5380000.0,14.71
3024702.0,0.65,1460000,21840,3010660030.0,30,1917.0,Park Slope-Gowanus                                                         ,41.0,D4-ELEVATOR,C1-WALK-UP,2020000.0,17.93
,0.65,577000,16704,,11,1931.0,,16.0,C6-WALK-UP,C1-WALK-UP,590000.0,12.29
3083108.0,3.4,384000,18600,3036600007.0,27,1926.0,East New York                                                              ,63.0,C6-WALK-UP,C7-WALK-UP,1160000.0,9.75
3183162.0,0.65,2800000,120000,3068020001.0,35,2000.0,Madison                                                                    ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,9.8
,0.55,1870000,98955,,16,1931.0,,16.0,D4-ELEVATOR,C1-WALK-UP,355000.0,8.91
,0.6,1930000,59600,,12,1930.0,,16.0,D4-ELEVATOR,C1-WALK-UP,256000.0,11.5
3245126.0,4.75,7470000,103734,3086920030.0,112,1927.0,Brighton Beach                                                             ,139.0,D4-ELEVATOR,D1-ELEVATOR,6430000.0,19.0
3024793.0,1.9,487000,5780,3010680003.0,11,1920.0,Park Slope-Gowanus                                                         ,23.0,C6-WALK-UP,C1-WALK-UP,588000.0,20.35
,4.05,1210000,18576,,11,1931.0,,16.0,C6-WALK-UP,C1-WALK-UP,590000.0,17.37
3110191.0,2.9,2190000,115900,3049060001.0,16,1930.0,East Flatbush-Farragut                                                     ,16.0,D4-ELEVATOR,C1-WALK-UP,397000.0,8.91
,1.1,1030000,11752,,16,1920.0,,14.0,C6-WALK-UP,C1-WALK-UP,1180000.0,21.11
,0.85,7090000,132000,,156,1957.0,,103.0,D4-ELEVATOR,D1-ELEVATOR,5700000.0,15.88
3341652.0,0.0,400000,25180,3014330060.0,12,1910.0,Ocean Hill                                                                 ,19.0,C6-WALK-UP,C1-WALK-UP,311000.0,7.5
3029630.0,0.65,2130000,42798,3011790066.0,47,1926.0,Prospect Heights                                                           ,48.0,D4-ELEVATOR,D1-ELEVATOR,2030000.0,14.74
3024370.0,1.45,1030000,11732,3010580024.0,16,1920.0,Park Slope-Gowanus                                                         ,14.0,C6-WALK-UP,C1-WALK-UP,1180000.0,21.11
3126217.0,3.5,3950000,60000,3053750049.0,78,1928.0,Kensington-Ocean Parkway                                                   ,83.0,D4-ELEVATOR,D1-ELEVATOR,3070000.0,17.62
3151285.0,0.45,3940000,58860,3059880045.0,78,1928.0,Bay Ridge                                                                  ,83.0,D4-ELEVATOR,D1-ELEVATOR,3070000.0,17.92
3118668.0,1.2,3030000,110377,3051560048.0,96,1937.0,Flatbush                                                                   ,107.0,D4-ELEVATOR,D1-ELEVATOR,2770000.0,10.59
3336731.0,1.6,14600000,343584,3073920001.0,35,2000.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,13.64
,3.1,1170000,17976,,20,1931.0,,12.0,C6-WALK-UP,C1-WALK-UP,503000.0,17.4
3347526.0,0.35,2230000,55800,3053390001.0,268,1937.0,Kensington-Ocean Parkway                                                   ,48.0,D4-ELEVATOR,D1-ELEVATOR,738000.0,12.82
3245672.0,5.0,1750000,36000,3087170036.0,48,1932.0,Brighton Beach                                                             ,47.0,D4-ELEVATOR,D1-ELEVATOR,1670000.0,14.36
3155783.0,0.55,2380000,47842,3061230049.0,43,1935.0,Bay Ridge                                                                  ,48.0,D4-ELEVATOR,D1-ELEVATOR,2460000.0,14.72
3156218.0,0.3,789000,11640,3061410074.0,24,1929.0,Dyker Heights                                                              ,27.0,C6-WALK-UP,C7-WALK-UP,1090000.0,18.13
,0.7,1520000,53550,,35,2000.0,,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,10.98
3208646.0,0.5,3130000,113850,3076300012.0,96,1937.0,Midwood                                                                    ,107.0,D4-ELEVATOR,D1-ELEVATOR,2770000.0,10.59
3029636.0,1.0,6330000,125300,3011790096.0,86,1928.0,Prospect Heights                                                           ,191.0,D4-ELEVATOR,D7-ELEVATOR,5380000.0,14.95
,7.7,30800000,491050,,196,1979.0,,261.0,D4-ELEVATOR,D7-ELEVATOR,12600000.0,16.75
3000583.0,0.35,716000,9784,3001730039.0,15,1905.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,20.0,C6-WALK-UP,C1-WALK-UP,1080000.0,19.57
3136488.0,0.45,833000,24300,3056110044.0,11,1931.0,Borough Park                                                               ,16.0,C6-WALK-UP,C1-WALK-UP,590000.0,12.21
3058255.0,4.7,6440000,187667,3020610040.0,121,1960.0,Fort Greene                                                                ,138.0,D4-ELEVATOR,D1-ELEVATOR,6160000.0,12.22
3001916.0,0.55,2490000,14905,3002380006.0,15,1905.0,Brooklyn Heights-Cobble Hill                                               ,20.0,C6-WALK-UP,C1-WALK-UP,1080000.0,35.8
3120562.0,0.45,4310000,152466,3052180001.0,16,1931.0,Flatbush                                                                   ,16.0,D4-ELEVATOR,C1-WALK-UP,324000.0,10.92
,2.8,1810000,26888,,31,1920.0,,31.0,C6-WALK-UP,C1-WALK-UP,1890000.0,18.04
3156151.0,5.2,976000,14400,3061370135.0,16,1912.0,Bay Ridge                                                                  ,16.0,C6-WALK-UP,C1-WALK-UP,732000.0,18.13
3063266.0,0.1,935000,21291,3024310003.0,24,1915.0,North Side-South Side                                                      ,41.0,C6-WALK-UP,C1-WALK-UP,1040000.0,14.1
,2.05,2460000,38775,,44,1900.0,,48.0,C6-WALK-UP,C1-WALK-UP,2520000.0,16.97
3194014.0,0.2,3610000,64080,3071580063.0,135,1957.0,Homecrest                                                                  ,45.0,D4-ELEVATOR,D1-ELEVATOR,1850000.0,16.66
3028658.0,1.15,3660000,54315,3011550088.0,18,1920.0,Crown Heights North                                                        ,30.0,D4-ELEVATOR,D1-ELEVATOR,2330000.0,18.04
3126787.0,0.1,2190000,43116,3053890041.0,63,1957.0,Kensington-Ocean Parkway                                                   ,45.0,D4-ELEVATOR,D1-ELEVATOR,1850000.0,15.05
,0.5,920000,26900,,31,1920.0,,19.0,C6-WALK-UP,C1-WALK-UP,726000.0,16.13
324459000.00%,2.35,1740000,35200,3086690068.0,32,1926.0,Brighton Beach                                                             ,41.0,C6-WALK-UP,C1-WALK-UP,1270000.0,15.91
3146466.0,4.45,7650000,142396,3058890003.0,135,1972.0,Bay Ridge                                                                  ,122.0,D4-ELEVATOR,D1-ELEVATOR,3430000.0,15.88
3058256.0,4.7,6440000,187667,3020610060.0,121,1960.0,Fort Greene                                                                ,138.0,D4-ELEVATOR,D1-ELEVATOR,6160000.0,12.22
3148670.0,0.15,5230000,78000,3059390006.0,82,1926.0,Bay Ridge                                                                  ,112.0,D4-ELEVATOR,D1-ELEVATOR,4210000.0,17.92
3068058.0,1.3,816000,15225,3027320009.0,20,1930.0,North Side-South Side                                                      ,16.0,C6-WALK-UP,C1-WALK-UP,3180000.0,25.3
3187689.0,1.1,10100000,188768,3069350001.0,120,1951.0,Gravesend                                                                  ,120.0,D4-ELEVATOR,D1-ELEVATOR,3400000.0,15.88
3001950.0,0.1,1890000,29100,3002410028.0,19,1900.0,Brooklyn Heights-Cobble Hill                                               ,32.0,D4-ELEVATOR,D9-ELEVATOR,1390000.0,17.39
3020283.0,0.7,884000,12715,3009590013.0,16,1927.0,Park Slope-Gowanus                                                         ,16.0,C6-WALK-UP,C1-WALK-UP,545000.0,18.61
3002957.0,1.35,2460000,27525,3002850030.0,39,1920.0,Carroll Gardens-Columbia Street-Red Hook                                   ,32.0,C6-WALK-UP,C1-WALK-UP,2330000.0,21.55
3327971.0,4.5,26700000,751412,3030770001.0,504,1950.0,East Williamsburg                                                          ,504.0,D4-ELEVATOR,D1-ELEVATOR,16600000.0,12.67
3164683.0,2.45,1220000,42000,3063160043.0,31,1924.0,Bensonhurst West                                                           ,46.0,C6-WALK-UP,C1-WALK-UP,1290000.0,11.25
,0.35,715000,8132,,16,1931.0,,16.0,C6-WALK-UP,C1-WALK-UP,991000.0,21.22
3025463.0,0.2,2300000,32064,3010810005.0,32,1926.0,Park Slope-Gowanus                                                         ,44.0,C6-WALK-UP,C1-WALK-UP,1680000.0,19.21
3001956.0,2.3,658000,8555,3002410036.0,11,1931.0,Brooklyn Heights-Cobble Hill                                               ,11.0,C6-WALK-UP,C1-WALK-UP,672000.0,20.56
3002613.0,0.3,1740000,31920,3002680015.0,19,1920.0,Brooklyn Heights-Cobble Hill                                               ,22.0,D4-ELEVATOR,D5-ELEVATOR,1270000.0,16.08
3337179.0,1.6,1710000,40824,3061370100.0,55,1925.0,Bay Ridge                                                                  ,39.0,C6-WALK-UP,C1-WALK-UP,1000000.0,13.47
,0.25,537000,7920,,13,2002.0,,14.0,C6-WALK-UP,C1-WALK-UP,717000.0,18.13
315539000.00%,0.7,7740000,100380,3061110001.0,112,1927.0,Bay Ridge                                                                  ,139.0,D4-ELEVATOR,D1-ELEVATOR,6430000.0,20.64
,2.3,2360000,67500,,103,1952.0,,89.0,D4-ELEVATOR,D7-ELEVATOR,2940000.0,12.47
3196035.0,4.6,2310000,41436,3072240128.0,48,1932.0,Brighton Beach                                                             ,48.0,D4-ELEVATOR,D1-ELEVATOR,1710000.0,16.52
3003087.0,0.8,981000,10060,3002920050.0,12,1900.0,Carroll Gardens-Columbia Street-Red Hook                                   ,16.0,C6-WALK-UP,C1-WALK-UP,1120000.0,23.54
3144251.0,3.35,3560000,63113,3058380006.0,69,1960.0,Bay Ridge                                                                  ,69.0,D4-ELEVATOR,D1-ELEVATOR,2730000.0,16.66
3118450.0,4.9,1550000,47250,3051470004.0,53,1924.0,Flatbush                                                                   ,48.0,D4-ELEVATOR,D1-ELEVATOR,2290000.0,11.67
3195852.0,4.3,5890000,87024,3072180059.0,63,1960.0,Gravesend                                                                  ,63.0,D4-ELEVATOR,D1-ELEVATOR,3900000.0,18.1
3144391.0,1.15,2130000,42722,3058480040.0,48,1932.0,Bay Ridge                                                                  ,48.0,D4-ELEVATOR,D1-ELEVATOR,1710000.0,14.72
3002370.0,3.35,2610000,24925,3002610018.0,16,1910.0,Brooklyn Heights-Cobble Hill                                               ,31.0,C6-WALK-UP,C1-WALK-UP,859000.0,25.3
3154831.0,0.65,4100000,61176,3060900005.0,78,1928.0,Bay Ridge                                                                  ,83.0,D4-ELEVATOR,D1-ELEVATOR,3070000.0,17.92
3342200.0,1.6,2000000,47628,3061370001.0,55,1925.0,Bay Ridge                                                                  ,39.0,C6-WALK-UP,C1-WALK-UP,1000000.0,13.47
3110167.0,2.95,2160000,114346,3049050001.0,16,1930.0,East Flatbush-Farragut                                                     ,16.0,D4-ELEVATOR,C1-WALK-UP,397000.0,8.91
,0.25,3120000,90000,,35,2000.0,,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,12.32
,0.1,1180000,21750,,31,1912.0,,30.0,C6-WALK-UP,C7-WALK-UP,1900000.0,16.0
3204886.0,1.2,4240000,123786,3074560006.0,35,2000.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,12.19
3037625.0,0.45,522000,17664,3013990029.0,16,1914.0,Crown Heights North                                                        ,16.0,C6-WALK-UP,C1-WALK-UP,395000.0,11.4
3002298.0,0.75,1620000,13925,3002590047.0,14,1900.0,Brooklyn Heights-Cobble Hill                                               ,20.0,C6-WALK-UP,C1-WALK-UP,1770000.0,28.1
3120444.0,0.1,782000,41400,3052140024.0,16,1931.0,Erasmus                                                                    ,16.0,D4-ELEVATOR,C1-WALK-UP,355000.0,8.91
3001650.0,2.15,1090000,13428,3002210033.0,22,1912.0,Brooklyn Heights-Cobble Hill                                               ,16.0,C6-WALK-UP,D9-ELEVATOR,2610000.0,19.57
3170441.0,1.65,2490000,72240,3065070001.0,35,2000.0,Flatbush                                                                   ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,12.28
3001942.0,0.1,1890000,29000,3002410008.0,19,1900.0,Brooklyn Heights-Cobble Hill                                               ,32.0,D4-ELEVATOR,D9-ELEVATOR,1390000.0,17.39
,1.25,2280000,45900,,48,1932.0,,48.0,D4-ELEVATOR,D1-ELEVATOR,1710000.0,14.72
3247918.0,3.35,8050000,153192,3088060140.0,122,1957.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,135.0,D4-ELEVATOR,D1-ELEVATOR,5680000.0,15.54
3131067.0,1.3,3140000,92250,3054951014.0,11,1931.0,Ocean Parkway South                                                        ,16.0,D4-ELEVATOR,C1-WALK-UP,590000.0,12.1
3126788.0,0.35,1030000,37400,3053890046.0,42,1931.0,Kensington-Ocean Parkway                                                   ,36.0,C6-WALK-UP,C1-WALK-UP,984000.0,10.65
3196580.0,7.7,39100000,623800,3072740001.0,196,1979.0,West Brighton                                                              ,261.0,D4-ELEVATOR,D7-ELEVATOR,12600000.0,16.75
3399879.0,0.1,2850000,31093,3022750101.0,24,1910.0,Bedford                                                                    ,20.0,C6-WALK-UP,C1-WALK-UP,1100000.0,22.1
3122175.0,1.6,2130000,65640,3052680002.0,59,1931.0,Windsor Terrace                                                            ,35.0,D4-ELEVATOR,C1-WALK-UP,847000.0,11.52
3204413.0,1.3,2850000,44840,3074410263.0,35,2000.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,17.0
3028522.0,4.1,1470000,19564,3011520071.0,26,1920.0,Prospect Heights                                                           ,27.0,C6-WALK-UP,C1-WALK-UP,895000.0,20.16
3124347.0,0.3,886000,38800,3053290062.0,268,1937.0,Windsor Terrace                                                            ,48.0,C6-WALK-UP,D1-ELEVATOR,738000.0,9.6
3197060.0,0.7,3150000,73800,3072990001.0,35,2000.0,Madison                                                                    ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,13.7
3149233.0,0.7,4260000,63522,3059510001.0,78,1928.0,Bay Ridge                                                                  ,83.0,D4-ELEVATOR,D1-ELEVATOR,3070000.0,17.92
3001819.0,3.85,4580000,66400,3002360001.0,99,1926.0,Brooklyn Heights-Cobble Hill                                               ,77.0,D4-ELEVATOR,D7-ELEVATOR,4840000.0,18.46
3245066.0,5.0,3800000,56700,3086860046.0,78,1928.0,Brighton Beach                                                             ,83.0,D4-ELEVATOR,D1-ELEVATOR,3070000.0,17.92
3024724.0,0.5,692000,7500,3010660063.0,16,1931.0,Park Slope-Gowanus                                                         ,16.0,C6-WALK-UP,C1-WALK-UP,536000.0,22.28
3172890.0,0.85,8590000,174082,3065680033.0,35,2000.0,Ocean Parkway South                                                        ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,14.6
3135868.0,0.6,483000,17800,3055970061.0,11,1931.0,Borough Park                                                               ,16.0,C6-WALK-UP,C1-WALK-UP,590000.0,10.47
3322380.0,3.2,19200000,651914,3019020001.0,53,1973.0,Clinton Hill                                                               ,321.0,D4-ELEVATOR,D3-ELEVATOR,8010000.0,11.37
,1.65,1060000,15000,,20,1915.0,,20.0,C6-WALK-UP,C1-WALK-UP,1380000.0,18.97
3210665.0,4.05,861000,38000,3076740021.0,35,1937.0,Midwood                                                                    ,36.0,D4-ELEVATOR,D1-ELEVATOR,800000.0,9.53
3001689.0,0.7,394000,9435,3002260006.0,15,1905.0,Brooklyn Heights-Cobble Hill                                               ,20.0,C6-WALK-UP,C1-WALK-UP,1080000.0,13.42
3024628.0,1.8,2730000,43032,3010640037.0,47,1927.0,Park Slope-Gowanus                                                         ,71.0,D4-ELEVATOR,D9-ELEVATOR,2950000.0,16.97
3002212.0,0.15,2620000,48138,3002540001.0,19,1920.0,Brooklyn Heights-Cobble Hill                                               ,22.0,D4-ELEVATOR,D5-ELEVATOR,1270000.0,16.08
3194827.0,4.9,2970000,52800,3071820046.0,69,1960.0,Homecrest                                                                  ,69.0,D4-ELEVATOR,D1-ELEVATOR,2790000.0,16.66
3245065.0,5.0,4000000,59640,3086860037.0,78,1928.0,Brighton Beach                                                             ,83.0,D4-ELEVATOR,D1-ELEVATOR,3070000.0,17.92
3.0293950E+6,3.25,1290000,15000,3011730040.0,16,1930.0,Prospect Heights                                                           ,20.0,C6-WALK-UP,C1-WALK-UP,1150000.0,20.84
3146713.0,1.3,3070000,54432,3058940001.0,69,1960.0,Bay Ridge                                                                  ,69.0,D4-ELEVATOR,D1-ELEVATOR,2730000.0,16.66
3002034.0,0.8,939000,11750,3002470027.0,13,1931.0,Brooklyn Heights-Cobble Hill                                               ,14.0,C6-WALK-UP,C1-WALK-UP,686000.0,21.39
,0.85,1050000,12424,,16,1920.0,,16.0,C6-WALK-UP,C1-WALK-UP,1110000.0,20.39
3033966.0,1.0,807000,44700,3012920001.0,43,,Crown Heights South                                                        ,,C6-WALK-UP,,,8.52
3032644.0,0.75,289000,15384,3012610055.0,16,,Crown Heights North                                                        ,,C6-WALK-UP,,,8.85
3201013.0,0.95,2380000,47397,3073810073.0,35,2000.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,14.86
3155854.0,0.15,1910000,45540,3061260052.0,39,1925.0,Bay Ridge                                                                  ,38.0,C6-WALK-UP,C1-WALK-UP,1230000.0,13.47
3127746.0,3.4,3980000,73584,3054170058.0,69,1962.0,Flatbush                                                                   ,69.0,D4-ELEVATOR,D1-ELEVATOR,2980000.0,16.01
3321981.0,3.05,12100000,476450,3020070014.0,138,1960.0,Fort Greene                                                                ,263.0,D4-ELEVATOR,D1-ELEVATOR,11300000.0,11.98
3.3207330E+6,0.05,3560000,159454,3064620040.0,84,1917.0,Bath Beach                                                                 ,80.0,C6-WALK-UP,C1-WALK-UP,1810000.0,9.38
3122187.0,1.6,1440000,44424,3052680018.0,59,1931.0,Windsor Terrace                                                            ,35.0,D4-ELEVATOR,C1-WALK-UP,847000.0,11.5
3116008.0,3.6,690000,29200,3050560040.0,35,2000.0,Prospect Lefferts Gardens-Wingate                                          ,98.0,C6-WALK-UP,D9-ELEVATOR,22600000.0,9.94
,3.3,16200000,290160,,261,1974.0,,196.0,D4-ELEVATOR,D7-ELEVATOR,8560000.0,16.5
3030111.0,0.3,420000,21200,3012080038.0,20,1905.0,Crown Heights North                                                        ,20.0,C8-WALK-UP,C1-WALK-UP,615000.0,9.34
3201014.0,0.95,4320000,98000,3073810079.0,35,2000.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,14.16
,0.9,311000,14240,,35,2000.0,,98.0,C6-WALK-UP,D9-ELEVATOR,22600000.0,9.18
3125448.0,0.2,1350000,86946,3053570005.0,16,1930.0,Kensington-Ocean Parkway                                                   ,12.0,D4-ELEVATOR,C1-WALK-UP,359000.0,7.31
306226700.00%,0.1,1590000,29250,3023380023.0,30,1920.0,North Side-South Side                                                      ,15.0,C6-WALK-UP,C1-WALK-UP,1420000.0,16.1
3000000.0,1.25,1020000,14368,3011170001.0,20,1920.0,park-cemetery-etc-Brooklyn                                                 ,20.0,C6-WALK-UP,C1-WALK-UP,572000.0,19.02
3319420.0,0.15,6280000,212656,3002380035.0,187,1951.0,Brooklyn Heights-Cobble Hill                                               ,132.0,D4-ELEVATOR,D1-ELEVATOR,11300000.0,13.92
,1.05,3180000,87324,,35,2000.0,,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,11.69
3245440.0,4.55,2150000,38778,3087100055.0,48,1966.0,Brighton Beach                                                             ,50.0,D4-ELEVATOR,D1-ELEVATOR,1460000.0,16.41
3029640.0,0.65,4300000,85000,3011790108.0,47,1926.0,Prospect Heights                                                           ,48.0,D4-ELEVATOR,D1-ELEVATOR,2030000.0,14.95
3154984.0,5.6,1680000,16500,3061000014.0,29,1905.0,Bay Ridge                                                                  ,35.0,D4-ELEVATOR,D2-ELEVATOR,1970000.0,24.6
3211074.0,2.2,2110000,65500,3076820016.0,59,1952.0,Midwood                                                                    ,89.0,D4-ELEVATOR,D7-ELEVATOR,2940000.0,11.46
3126159.0,3.75,5770000,111861,3053740021.0,240,1957.0,Kensington-Ocean Parkway                                                   ,135.0,D4-ELEVATOR,D1-ELEVATOR,5680000.0,15.25
3001935.0,2.75,3920000,36480,3002380061.0,35,1999.0,Brooklyn Heights-Cobble Hill                                               ,46.0,D4-ELEVATOR,D9-ELEVATOR,5910000.0,25.9
3187686.0,2.5,434000,8064,3069330046.0,12,2002.0,Gravesend                                                                  ,14.0,C6-WALK-UP,C1-WALK-UP,717000.0,15.91
3144595.0,0.5,5190000,120594,3058530001.0,102,1931.0,Bay Ridge                                                                  ,122.0,D4-ELEVATOR,D1-ELEVATOR,3120000.0,13.82
,4.6,3180000,47196,,74,1920.0,,63.0,D4-ELEVATOR,D5-ELEVATOR,2040000.0,18.04
3019123.0,2.55,599000,9290,3009420061.0,24,1910.0,Prospect Heights                                                           ,22.0,D4-ELEVATOR,D9-ELEVATOR,590000.0,17.24
3029528.0,0.85,2480000,36352,3011760047.0,32,1930.0,Prospect Heights                                                           ,35.0,C6-WALK-UP,C1-WALK-UP,2110000.0,18.28
3030048.0,0.4,307000,16000,3012070028.0,23,1905.0,Crown Heights North                                                        ,20.0,C6-WALK-UP,C1-WALK-UP,423000.0,9.06
3127761.0,2.95,8160000,158230,3054180049.0,135,1963.0,Flatbush                                                                   ,106.0,D4-ELEVATOR,D1-ELEVATOR,4120000.0,15.25
