dbn,location_name,_04_expulsions,_10_superintendent,_02_superintendent,_04_superintendent,_12_expulsions,_07_expulsions,_10_principal,_06_expulsions,_08_expulsions,_0k_superintendent,_04_removals,_04_principal
19K306,P.S. 306 Ethan Allen,R,R,R,R,R,R,R,R,R,R,R,R
08X152,P.S. 152 Evergreen,R,R,R,R,R,R,R,R,R,R,R,R
18K563,It Takes a Village Academy,R,R,R,R,R,R,23,R,R,R,R,R
10X368,In-Tech Academy (M.S. / High School 368),R,R,R,R,R,R,13,R,R,R,R,R
03M163,P.S. 163 Alfred E. Smith,R,R,R,R,R,R,R,R,R,R,R,R
18K642,Urban Action Academy,R,R,R,R,R,R,9,R,R,R,R,R
04M964,Central Park East II,R,R,R,R,R,R,R,R,R,R,R,R
19K364,I.S. 364 Gateway,R,R,R,R,R,R,R,R,R,R,R,R
16K308,P.S. 308 Clara Cardwell,R,R,R,R,R,R,R,R,R,R,R,R
01M292,Orchard Collegiate Academy,R,R,R,R,R,R,R,R,R,R,R,R
10X023,P.S. 023 The New Children's School,R,R,R,R,R,R,R,R,R,R,R,R
10X696,High School of American Studies at Lehman College,R,R,R,R,R,R,R,R,R,R,R,R
06M173,P.S. 173,R,R,R,R,R,R,R,R,R,R,R,R
02M296,High School of Hospitality Management,R,R,R,R,R,R,42,R,R,R,R,R
15K295,P.S. 295,R,R,R,R,R,R,R,R,R,R,R,R
10X226,P.S. 226,R,R,R,R,R,R,R,R,R,R,R,R
11X194,P.S./M.S. 194,R,R,R,R,R,R,R,R,R,R,R,R
11X455,Harry S Truman High School,R,16,R,R,R,R,9,R,R,R,R,R
07X381,Bronx Haven High School,R,R,R,R,R,R,R,R,R,R,R,R
13K133,P.S. 133 William A. Butler,R,R,R,R,R,R,R,R,R,R,R,R
19K224,P.S. 224 Hale A. Woodruff,R,R,R,R,R,R,R,R,R,R,R,R
03M541,Manhattan / Hunter Science High School,R,R,R,R,R,R,R,R,R,R,R,R
17K590,Medgar Evers College Preparatory School,R,R,R,R,R,R,R,R,R,R,R,R
12X196,P.S. 196,R,R,R,R,R,R,R,R,R,R,R,R
06M189,P.S. 189,R,R,R,R,R,R,R,R,R,R,R,R
02M059,P.S. 059 Beekman Hill International,R,R,R,R,R,R,R,R,R,R,R,R
01M448,University Neighborhood High School,R,R,R,R,R,R,R,R,R,R,R,R
17K246,M.S. 246 Walt Whitman,R,R,R,R,R,R,R,R,R,R,R,R
20K102,P.S. 102 The Bayview,R,R,R,R,R,R,R,R,R,R,R,R
09X204,P.S. 204 Morris Heights,R,R,R,R,R,R,R,R,R,R,R,R
07X296,South Bronx Academy for Applied Media,R,R,R,R,R,R,R,R,R,R,R,R
19K502,FDNY - Captain Vernon A. Richard High School for F,R,R,R,R,R,R,22,R,R,R,R,R
04M072,The Lexington Academy,R,R,R,R,R,R,R,R,R,R,R,R
06M322,Middle School 322,R,R,R,R,R,R,R,R,R,R,R,R
02M111,P.S. 111 Adolph S. Ochs,R,R,R,R,R,R,R,R,R,R,R,R
13K553,Brooklyn Academy High School,R,R,R,R,R,R,R,R,R,R,R,R
01M188,P.S. 188 The Island School,R,R,R,R,R,R,R,R,R,R,R,R
11X355,Bronx Alliance Middle School,R,R,R,R,R,R,R,R,R,R,R,R
01M184,P.S. 184m Shuang Wen,R,R,R,R,R,R,R,R,R,R,R,R
03M256,Lafayette Academy,R,R,R,R,R,R,R,R,R,R,R,R
02M397,Spruce Street School,R,R,R,R,R,R,R,R,R,R,R,R
02M131,M.S. 131,R,R,R,R,R,R,R,R,R,R,R,R
13K499,ACORN Community High School,R,R,R,R,R,R,R,R,R,R,R,R
12X372,Urban Assembly School for Wildlife Conservation,R,R,R,R,R,R,33,R,R,R,R,R
20K048,P.S. 048 Mapleton,R,R,R,R,R,R,R,R,R,R,R,R
02M002,P.S. 002 Meyer London,R,R,R,R,R,R,R,R,R,R,R,R
03M307,"Urban Assembly School for Media Studies, The",R,R,R,R,R,R,6,R,R,R,R,R
14K196,P.S. 196 Ten Eyck,R,R,R,R,R,R,R,R,R,R,R,R
09X525,Bronx Leadership Academy High School,R,R,R,R,R,R,R,R,R,R,R,R
08X333,The Longwood Academy of Discovery,R,R,R,R,R,R,R,R,R,R,R,R
12X057,P.S. 057 Crescent,R,R,R,R,R,R,R,R,R,R,R,R
02M212,P.S. 212 Midtown West,R,R,R,R,R,R,R,R,R,R,R,R
05M036,P.S. 036 Margaret Douglas,R,R,R,R,R,R,R,R,R,R,R,R
01M019,P.S. 019 Asher Levy,R,R,R,R,R,R,R,R,R,R,R,R
02M135,The Urban Assembly School for Emergency Management,R,7,R,R,R,R,10,R,R,R,R,R
02M298,Pace High School,R,11,R,R,R,R,10,R,R,R,R,R
01M332,University Neighborhood Middle School,R,R,R,R,R,R,R,R,R,R,R,R
09X294,The Walton Avenue School,R,R,R,R,R,R,R,R,R,R,R,R
18K285,I.S. 285 Meyer Levin,R,R,R,R,R,R,R,R,R,R,R,R
14K147,P.S. 147 Isaac Remsen,R,R,R,R,R,R,R,R,R,R,R,R
03M492,"High School for Law, Advocacy and Community Justic",R,R,R,R,R,R,R,R,R,R,R,R
15K442,M.S. 442 Carroll Gardens School for Innovation,R,R,R,R,R,R,R,R,R,R,R,R
19K583,Multicultural High School,R,R,R,R,R,R,8,R,R,R,R,R
08X062,P.S. 062 Inocensio Casanova,R,R,R,R,R,R,R,R,R,R,R,R
02M288,Food and Finance High School,R,R,R,R,R,R,8,R,R,R,R,R
02M605,Humanities Preparatory Academy,R,R,R,R,R,R,R,R,R,R,R,R
19K190,P.S. 190 Sheffield,R,R,R,R,R,R,R,R,R,R,R,R
19K213,P.S. 213 New Lots,R,R,R,R,R,R,R,R,R,R,R,R
03M505,Edward A. Reynolds West Side High School,R,R,R,R,R,R,R,R,R,R,R,R
17K382,Academy for College Preparation and Career Explora,R,R,R,R,R,R,21,R,R,R,R,R
08X146,P.S. 146 Edward Collins,R,R,R,R,R,R,R,R,R,R,R,R
10X225,Theatre Arts Production Company School,R,R,R,R,R,R,R,R,R,R,R,R
09X199,P.S. 199X - The Shakespeare School,R,R,R,R,R,R,R,R,R,R,R,R
02M260,M.S. 260 Clinton School Writers & Artists,R,R,R,R,R,R,R,R,R,R,R,R
05M197,P.S. 197 John B. Russwurm,R,R,R,R,R,R,R,R,R,R,R,R
08X583,P.S. 583,R,R,R,R,R,R,R,R,R,R,R,R
02M489,High School of Economics and Finance,R,R,R,R,R,R,R,R,R,R,R,R
15K261,P.S. 261 Philip Livingston,R,R,R,R,R,R,R,R,R,R,R,R
09X505,"Bronx School for Law, Government and Justice",R,R,R,R,R,R,R,R,R,R,R,R
10X363,Academy For Personal Leadership And Excellence,R,R,R,R,R,R,R,R,R,R,R,R
14K582,M.S. 582,R,R,R,R,R,R,R,R,R,R,R,R
17K340,I.S. 340,R,R,R,R,R,R,R,R,R,R,R,R
09X582,Garden of Learning and Discovery Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R
11X169,Baychester Academy,R,R,R,R,R,R,R,R,R,R,14,R
05M517,Teachers College Community School,R,R,R,R,R,R,R,R,R,R,R,R
19K639,Brooklyn Lab School,R,7,R,R,R,R,25,R,R,R,R,R
04M037,River East Elementary,R,R,R,R,R,R,R,R,R,R,R,R
04M224,M.S. 224 Manhattan East School for Arts & Academic,R,R,R,R,R,R,R,R,R,R,R,R
13K287,P.S. 287 Bailey K. Ashford,R,R,R,R,R,R,R,R,R,R,R,R
16K594,Gotham Professional Arts Academy,R,R,R,R,R,R,11,R,R,R,R,R
09X070,P.S. 070 Max Schoenfeld,R,R,R,R,R,R,R,R,R,R,R,R
19K618,Academy of Innovative Technology,R,R,R,R,R,R,15,R,R,R,R,R
12X478,The Cinema School,R,R,R,R,R,R,R,R,R,R,R,R
04M680,"Heritage School, The",R,R,R,R,R,R,22,R,R,R,R,R
09X132,P.S. 132 Garret A. Morgan,R,R,R,R,R,R,R,R,R,R,R,R
03M258,Community Action School - MS 258,R,R,R,R,R,R,R,R,R,R,R,R
18K279,P.S. 279 Herman Schreiber,R,R,R,R,R,R,R,R,R,R,R,R
07X005,P.S. 5 Port Morris,R,R,R,R,R,R,R,R,R,R,R,R
11X299,Astor Collegiate Academy,R,R,R,R,R,R,7,R,R,R,R,R
10X340,P.S. 340,R,R,R,R,R,R,R,R,R,R,R,R
15K088,J.H.S. 088 Peter Rouget,R,R,R,R,R,R,R,R,R,R,R,R
09X011,P.S. 011 Highbridge,R,R,R,R,R,R,R,R,R,R,R,R
07X557,Mott Haven Community High School,R,6,R,R,R,R,R,R,R,R,R,R
03M417,Frank Mccourt High School,R,R,R,R,R,R,R,R,R,R,R,R
08X014,P.S. X014 Senator John Calandra,R,R,R,R,R,R,R,R,R,R,R,R
06M462,The College Academy,R,8,R,R,R,R,R,R,R,R,R,R
13K439,Brooklyn International High School,R,R,R,R,R,R,10,R,R,R,R,R
08X558,Westchester Square Academy,R,6,R,R,R,R,35,R,R,R,R,R
13K003,P.S. 003 The Bedford Village,R,R,R,R,R,R,R,R,R,R,R,R
01M363,Neighborhood School,R,R,R,R,R,R,R,R,R,R,R,R
13K412,Brooklyn Community Arts & Media High School (BCAM),R,R,R,R,R,R,R,R,R,R,R,R
09X543,High School for Violin and Dance,R,R,R,R,R,R,R,R,R,R,R,R
08X537,Bronx Arena High School,R,R,R,R,R,R,7,R,R,R,R,R
18K581,East Flatbush Community Research School,R,R,R,R,R,R,R,R,R,R,R,R
13K265,Dr. Susan S. McKinney Secondary School of the Arts,R,6,R,R,R,R,8,R,R,R,R,R
10X397,English Language Learners and International Suppor,R,R,R,R,R,R,R,R,R,R,R,R
09X323,Bronx Writing Academy,R,R,R,R,R,R,R,R,R,R,R,R
12X195,P.S. 195,R,R,R,R,R,R,R,R,R,R,20,R
03M494,High School of Arts and Technology,R,6,R,R,R,R,14,R,R,R,R,R
07X154,P.S. 154 Jonathan D. Hyatt,R,R,R,R,R,R,R,R,R,R,R,R
08X337,The School for Inquiry and Social Justice,R,R,R,R,R,R,R,R,R,R,R,R
20K112,P.S. 112 Lefferts Park,R,R,R,R,R,R,R,R,R,R,R,R
06M218,I.S. 218 Salome Urena,R,R,R,R,R,R,R,R,R,R,R,R
06M052,J.H.S. 052 Inwood,R,R,R,R,R,R,R,R,R,R,R,R
01M696,Bard High School Early College,R,R,R,R,R,R,R,R,R,R,R,R
12X211,P.S. 211,R,R,R,R,R,R,R,R,R,R,R,R
10X268,Kingsbridge International High School,R,R,R,R,R,R,R,R,R,R,R,R
15K667,Sunset Park High School,R,9,R,R,R,R,34,R,R,R,R,R
03M334,The Anderson School,R,R,R,R,R,R,R,R,R,R,R,R
19K677,East New York Elementary School of Excellence,R,R,R,8,R,R,R,R,R,R,R,11
11X357,Young Voices Academy of the Bronx,R,R,R,R,R,R,R,R,R,R,R,R
09X231,Eagle Academy for Young Men,R,R,R,R,R,R,26,R,R,R,R,R
17K221,P.S. 221 Toussaint L'Ouverture,R,R,R,R,R,R,R,R,R,R,R,R
09X229,I.S. 229 Roland Patterson,R,R,R,R,R,R,R,R,R,R,R,R
11X111,P.S. 111 Seton Falls,R,R,R,R,R,R,R,R,R,R,R,R
06M132,P.S. 132 Juan Pablo Duarte,R,R,R,R,R,R,R,R,R,R,R,7
02M544,Independence High School,R,R,R,R,R,R,7,R,R,R,R,R
10X207,P.S. 207,R,R,R,R,R,R,R,R,R,R,R,R
09X564,Claremont International HS,R,R,R,R,R,R,R,R,R,R,R,R
03M421,West Prep Academy,R,R,R,R,R,R,R,R,R,R,R,R
06M223,The Mott Hall School,R,R,R,R,R,R,R,R,R,R,R,R
09X325,Urban Science Academy,R,R,R,R,R,R,R,R,R,R,R,R
03M075,P.S. 075 Emily Dickinson,R,R,R,R,R,R,R,R,R,R,R,R
17K770,P.S. 770 New American Academy,R,R,R,R,R,R,R,R,R,R,6,R
17K397,P.S. 397 Foster-Laurie,R,R,R,R,R,R,R,R,R,R,R,R
02M655,Life Sciences Secondary School,R,R,R,R,R,R,6,R,R,R,R,R
14K414,Brooklyn Arbor Elementary School,R,R,R,R,R,R,R,R,R,R,R,R
16K765,Nelson Mandela High School,R,12,R,R,R,R,13,R,R,R,R,R
19K760,Highland Park Community School,R,R,R,R,R,R,R,R,R,R,R,R
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,R,R,R,R,R,R,R,R,R,R,7,R
06M098,P.S. 098 Shorac Kappock,R,R,R,R,R,R,R,R,R,R,R,R
05M362,Columbia Secondary School,R,R,R,R,R,R,R,R,R,R,R,R
09X404,School for Excellence,R,8,R,R,R,R,40,R,R,R,R,R
20K105,P.S. 105 The Blythebourne,R,R,R,R,R,R,R,R,R,R,R,R
17K352,Ebbets Field Middle School,R,R,R,R,R,R,R,R,R,R,R,R
04M096,P.S. 096 Joseph Lanzetta,R,R,R,R,R,R,R,R,R,R,8,R
08X448,Soundview Academy for Culture and Scholarship,R,R,R,R,R,R,R,R,R,R,R,R
06M152,P.S. 152 Dyckman Valley,R,R,R,R,R,R,R,R,R,R,R,R
12X134,P.S. 134 George F. Bristow,R,R,R,R,R,R,R,R,R,R,R,R
12X044,P.S. 044 David C. Farragut,R,R,R,R,R,R,R,R,R,R,R,R
08X432,Bronx Bridges High School,R,R,R,R,R,R,R,R,R,R,R,R
17K531,"School for Human Rights, The",R,R,R,R,R,R,R,R,R,R,R,R
08X093,P.S. 093 Albert G. Oliver,R,R,R,R,R,R,R,R,R,R,R,R
12X384,Entrada Academy,R,R,R,R,R,R,R,R,R,R,R,R
02M419,Landmark High School,R,R,R,R,R,R,R,R,R,R,R,R
08X408,Herbert H. Lehman Yabc,R,R,R,R,R,R,R,R,R,R,R,R
07X369,Young Leaders Elementary School,R,R,R,R,R,R,R,R,R,R,R,R
02M289,I.S. 289,R,R,R,R,R,R,R,R,R,R,R,R
08X269,Bronx Studio School for Writers and Artists,R,R,R,R,R,R,12,R,R,R,R,R
11X253,Bronx High School for Writing and Communication Ar,R,7,R,R,R,R,22,R,R,R,R,R
16K681,Madiba Prep Middle School,R,R,R,R,R,R,R,R,R,R,R,R
10X442,"Celia Cruz Bronx High School of Music, The",R,R,R,R,R,R,R,R,R,R,R,R
04M102,P.S. 102 Jacques Cartier,R,R,R,R,R,R,R,R,R,R,R,R
06M211,Inwood Early College for Health and Information Te,R,R,R,R,R,R,R,R,R,R,R,R
11X105,P.S. 105 Sen Abraham Bernstein,R,R,R,R,R,R,R,R,R,R,R,R
15K463,Secondary School for Journalism,R,R,R,R,R,R,R,R,R,R,R,R
12X428,Learning To Work Yabc At Monroe Academy,R,R,R,R,R,R,R,R,R,R,R,R
18K244,P.S. 244 Richard R. Green,R,R,R,R,R,R,R,R,R,R,R,R
07X065,P.S. 065 Mother Hale Academy,R,R,R,R,R,R,R,R,R,R,R,R
19K273,P.S. 273 Wortman,R,R,R,R,R,R,R,R,R,R,R,R
07X001,P.S. 001 Courtlandt School,R,R,R,R,R,R,R,R,R,R,R,R
02M972,Office of Academic Policy,R,R,R,R,R,R,R,R,R,R,R,R
09X324,Bronx Early College Academy for Teaching & Learnin,R,R,R,R,R,R,12,R,R,R,R,R
20K104,P.S./I.S. 104 The Fort Hamilton School,R,R,R,R,R,R,R,R,R,R,R,R
05M367,Academy for Social Action,R,R,R,R,R,R,8,R,R,R,R,R
02M500,Unity Center for Urban Technologies,R,R,R,R,R,R,R,R,R,R,R,R
10X045,Thomas C. Giordano Middle School 45,R,R,R,R,R,R,R,R,R,R,R,R
20K069,P.S. 69 Vincent D. Grippo School,R,R,R,R,R,R,R,R,R,R,R,R
10X353,World View High School,R,R,R,R,R,R,15,R,R,R,R,R
19K659,Cypress Hills Collegiate Preparatory School,R,R,R,R,R,R,R,R,R,R,R,R
12X316,Kappa III,R,R,R,R,R,R,R,R,R,R,R,R
08X405,Herbert H. Lehman High School,R,R,R,R,R,R,6,R,R,R,R,R
02M198,P.S. 198 Isador E. Ida Straus,R,R,R,R,R,R,R,R,R,R,R,R
09X274,The New American Academy at Roberto Clemente State,R,R,R,R,R,R,R,R,R,R,10,R
09X313,I.S. 313 School of Leadership Development,R,R,R,R,R,R,R,R,R,R,R,R
08X293,Renaissance High School for Musical Theater & Tech,R,8,R,R,R,R,32,R,R,R,R,R
12X691,Bronx Little School,R,R,R,R,R,R,R,R,R,R,R,R
06M348,Washington Heights Expeditionary Learning School,R,R,R,R,R,R,R,R,R,R,R,R
14K018,P.S. 018 Edward Bush,R,R,R,R,R,R,R,R,R,R,R,R
12X318,"I.S. X318 Math, Science & Technology Through Arts",R,R,R,R,R,R,R,R,R,R,R,R
10X351,Bronx Collaborative High School,R,R,R,R,R,R,R,R,R,R,R,R
13K670,Benjamin Banneker Academy,R,9,R,R,R,R,20,R,R,R,R,R
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,R,R,R,R,R,R,R,R,R,R,R,R
17K122,Pathways in Technology Early College High School (,R,R,R,R,R,R,R,R,R,R,R,R
19K149,P.S. 149 Danny Kaye,R,R,R,R,R,R,R,R,R,R,R,R
17K353,Elijah Stroud Middle School,R,R,R,R,R,R,R,R,R,R,R,R
07X343,Academy of Applied Mathematics and Technology,R,R,R,R,R,R,R,R,R,R,R,R
06M368,Hamilton Heights School,R,R,R,R,R,R,R,R,R,R,R,R
09X329,DreamYard Preparatory School,R,R,R,R,R,R,R,R,R,R,R,R
09X058,P.S. 058,R,R,R,R,R,R,R,R,R,R,R,R
07X527,Bronx Leadership Academy II High School,R,R,R,R,R,R,7,R,R,R,R,R
11X108,P.S. 108 Philip J. Abinanti,R,R,R,R,R,R,R,R,R,R,R,R
14K318,I.S. 318 Eugenio Maria De Hostos,R,R,R,R,R,R,R,R,R,R,R,R
19K422,Spring Creek Community School,R,R,R,R,R,R,R,R,R,R,R,R
12X066,P.S. 066 School of Higher Expectations,R,R,R,R,R,R,R,R,R,R,R,R
14K084,P.S. 084 Jose De Diego,R,R,R,R,R,R,R,R,R,R,R,R
09X088,P.S. X088 - S. Silverstein Little Sparrow School,R,R,R,R,R,R,R,R,R,R,R,R
14K477,East Williamsburg Scholars Academy,R,R,R,R,R,R,R,R,R,R,R,R
13K351,The Urban Assembly Unison School,R,R,R,R,R,R,R,R,R,R,R,R
13K527,Urban Assembly Institute of Math and Science for Y,R,R,R,R,R,R,R,R,R,R,R,R
08X561,Bronx Compass High School,R,7,R,R,R,R,20,R,R,R,R,R
08X507,Stevenson Yabc,R,R,R,R,R,R,R,R,R,R,R,R
09X413,Bronx High School for Medical Science,R,R,R,R,R,R,6,R,R,R,R,R
08X119,The Dr. Emmett W. Bassett School,R,R,R,R,R,R,R,R,R,R,R,R
14K034,P.S. 034 Oliver H. Perry,R,R,R,R,R,R,R,R,R,R,R,R
08X377,Bronx Community High School,R,6,R,R,R,R,7,R,R,R,R,R
03M076,P.S. 076 A. Philip Randolph,R,R,R,R,R,R,R,R,R,R,25,10
12X217,School of Performing Arts,R,R,R,R,R,R,R,R,R,R,R,R
01M458,Forsyth Satellite Academy,R,R,R,R,R,R,R,R,R,R,R,R
04M610,Young Women's Leadership School,R,R,R,R,R,R,R,R,R,R,R,R
06M187,P.S./I.S. 187 Hudson Cliffs,R,R,R,R,R,R,R,R,R,R,R,R
10X546,Bronx Theatre High School,R,R,R,R,R,R,16,R,R,R,R,R
02M413,School of the Future High School,R,R,R,R,R,R,7,R,R,R,R,R
11X532,Baychester Middle School,R,R,R,R,R,R,R,R,R,R,R,R
02M234,P.S. 234 Independence School,R,R,R,R,R,R,R,R,R,R,R,R
08X100,P.S. 100 Isaac Clason,R,R,R,R,R,R,R,R,R,R,R,R
13K020,P.S. 020 Clinton Hill,R,R,R,R,R,R,R,R,R,R,R,R
10X439,Bronx High School for Law and Community Service,R,R,R,R,R,R,8,R,R,R,R,R
18K066,P.S. 66,R,R,R,R,R,R,R,R,R,R,R,R
10X319,Providing Urban Learners Success In Education High,R,R,R,R,R,R,R,R,R,R,R,R
11X068,P.S. 068 Bronx,R,R,R,R,R,R,R,R,R,R,R,R
08X530,Longwood Preparatory Academy,R,R,R,R,R,R,R,R,R,R,R,R
02M531,Repertory Company High School for Theatre Arts,R,R,R,R,R,R,6,R,R,R,R,R
19K662,Liberty Avenue Middle School,R,R,R,R,R,R,R,R,R,R,R,R
12X129,M.S. 129 Academy for Independent Learning and Lead,R,R,R,R,R,R,R,R,R,R,R,R
02M418,Millennium High School,R,R,R,R,R,R,R,R,R,R,R,R
11X265,Bronx Lab School,R,R,R,R,R,R,32,R,R,R,R,R
