latitude,longitude,comparable_rental_2_neighborhood,brooklyn_cooperatives_comparable_properties_est_gross_income,community_council,brooklyn_cooperatives_comparable_properties_total_units,comparable_rental_2_gross_income_per_sqft,comparable_rental_1_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_neighborhood
40.576697,-73.96843,BAY RIDGE,453117,48.0,31,14.77,17.05,BRIGHTON BEACH
40.68219,-73.969519,BRIGHTON BEACH,5519297,35.0,300,24.9,20.59,FORT GREENE
,,EAST NEW YORK,518928,,66,12.67,12.67,FLATBUSH-EAST
40.71029,-73.950187,GREENPOINT,328618,34.0,16,49.8,18.93,WILLIAMSBURG-EAST
40.588548,-73.939599,MILL BASIN,3269950,48.0,246,42.7,13.6,SHEEPSHEAD BAY
40.688385,-73.967854,,2036731,35.0,112,,17.2,CLINTON HILL
40.692008,-73.981104,FLATBUSH-CENTRAL,2293005,35.0,183,12.88,13.02,FORT GREENE
40.690711,-73.993401,GREENPOINT,290072,33.0,20,49.8,23.0,BROOKLYN HEIGHTS
,,MILL BASIN,1249850,,96,42.7,13.6,OCEAN PARKWAY-NORTH
40.682153,-73.893072,EAST NEW YORK,1344329,37.0,88,12.67,12.67,CYPRESS HILLS
40.601378,-73.942058,MILL BASIN,1171595,46.0,100,42.7,13.6,MADISON
40.673259,-73.946981,CROWN HEIGHTS,1148000,36.0,78,13.56,12.72,CROWN HEIGHTS
,,MILL BASIN,1178035,,66,42.7,13.6,SHEEPSHEAD BAY
,,FLATBUSH-CENTRAL,1202924,,113,9.64,9.5,FLATBUSH-CENTRAL
,,MILL BASIN,1027810,,83,42.7,13.6,GRAVESEND
40.692989,-73.912145,BUSHWICK,256956,37.0,44,9.96,10.45,BUSHWICK
40.684408,-73.982495,PARK SLOPE SOUTH,342204,33.0,25,22.07,14.73,BOERUM HILL
40.697532,-73.996707,PROSPECT HEIGHTS,439359,33.0,19,16.24,21.24,BROOKLYN HEIGHTS
40.661354,-73.96968,FLATBUSH-CENTRAL,166030,39.0,16,9.5,9.64,WINDSOR TERRACE
40.617032,-73.986691,FLATBUSH-LEFFERTS GARDEN,218570,47.0,21,20.77,18.05,BOROUGH PARK
,,BAY RIDGE,899640,,72,16.01,14.65,OCEAN PARKWAY-SOUTH
40.672359,-73.973738,BROOKLYN HEIGHTS,1844966,39.0,55,28.2,26.2,PARK SLOPE
40.692336,-73.965678,CLINTON HILL,4000685,35.0,287,17.2,16.15,CLINTON HILL
,,MILL BASIN,619770,,54,42.7,13.6,MIDWOOD
40.673011,-73.967624,BROOKLYN HEIGHTS,692146,35.0,70,17.72,20.17,PROSPECT HEIGHTS
40.691949,-73.920841,BUSHWICK,77509,34.0,12,10.41,9.9,BUSHWICK
,,WILLIAMSBURG-SOUTH,294196,,35,9.88,8.61,WILLIAMSBURG-SOUTH
40.648447,-73.97547,KENSINGTON,1776251,39.0,103,7.19,11.32,KENSINGTON
40.638102,-74.033894,OCEAN PARKWAY-SOUTH,527352,43.0,50,13.51,17.2,BAY RIDGE
,,FLATBUSH-CENTRAL,1563888,,125,13.62,14.57,OCEAN PARKWAY-NORTH
40.634356,-73.965744,FLATBUSH-CENTRAL,574535,40.0,66,9.95,9.95,FLATBUSH-CENTRAL
40.637727,-73.96732,FORT GREENE,308786,40.0,28,20.72,19.09,FLATBUSH-CENTRAL
,,MILL BASIN,376370,,24,42.7,13.6,MADISON
40.631895,-73.986951,FLATBUSH-LEFFERTS GARDEN,764220,44.0,64,20.77,18.05,BOROUGH PARK
40.632753,-74.024269,BAY RIDGE,1505280,43.0,86,17.74,15.36,BAY RIDGE
40.646617,-73.966195,FLATBUSH-LEFFERTS GARDEN,322165,40.0,29,20.77,18.05,FLATBUSH-CENTRAL
40.673303,-73.971301,WINDSOR TERRACE,1518192,39.0,45,21.27,17.74,PARK SLOPE
40.676861,-73.949426,CROWN HEIGHTS,64272,36.0,11,14.73,13.88,CROWN HEIGHTS
40.711109,-73.953336,WILLIAMSBURG-SOUTH,324228,34.0,28,22.21,17.71,WILLIAMSBURG-SOUTH
40.691872,-73.995705,BOERUM HILL,138089,33.0,11,32.0,31.0,BROOKLYN HEIGHTS
40.69323,-73.941668,BAY RIDGE,1244617,36.0,66,16.01,15.23,BEDFORD STUYVESANT
40.634385,-73.997114,OCEAN PARKWAY-NORTH,1897596,44.0,156,13.02,12.88,FLATLANDS
40.64897,-73.969473,FLATBUSH-LEFFERTS GARDEN,198620,40.0,16,20.77,18.05,FLATBUSH-CENTRAL
40.692964,-73.993953,BROOKLYN HEIGHTS,184597,33.0,14,21.16,22.26,BROOKLYN HEIGHTS
40.585065,-73.934159,OCEAN PARKWAY-SOUTH,2253300,48.0,157,14.95,15.88,SHEEPSHEAD BAY
,,MILL BASIN,5086475,,360,42.7,13.6,SHEEPSHEAD BAY
40.685288,-73.952063,BEDFORD STUYVESANT,241950,36.0,20,15.35,15.56,BEDFORD STUYVESANT
40.691669,-73.929304,BEDFORD STUYVESANT,246854,36.0,16,16.31,15.42,BEDFORD STUYVESANT
,,PARK SLOPE,194630,,13,18.29,19.3,PARK SLOPE
40.699033,-73.988593,CONEY ISLAND,14847331,33.0,1026,16.7,20.59,DOWNTOWN-METROTECH
,,FLATBUSH-LEFFERTS GARDEN,559785,,36,20.77,18.05,OLD MILL BASIN
40.675526,-73.970301,CLINTON HILL,2122580,39.0,105,17.2,16.15,PROSPECT HEIGHTS
40.673891,-73.964343,COBBLE HILL,280076,35.0,15,19.66,22.18,PROSPECT HEIGHTS
,,WILLIAMSBURG-SOUTH,277077,,34,22.21,14.8,WILLIAMSBURG-SOUTH
,,MILL BASIN,1077035,,91,42.7,13.6,SHEEPSHEAD BAY
40.697153,-73.995932,FORT GREENE,776643,33.0,48,17.93,21.19,BROOKLYN HEIGHTS
40.676667,-73.945872,CROWN HEIGHTS,252885,36.0,24,12.95,12.72,CROWN HEIGHTS
40.661354,-73.96968,PARK SLOPE,541893,39.0,25,22.99,16.27,PARK SLOPE
40.674769,-73.964104,BEDFORD STUYVESANT,353879,35.0,20,20.71,20.47,PROSPECT HEIGHTS
40.615794,-73.96889,MILL BASIN,1180600,44.0,65,42.7,13.6,OCEAN PARKWAY-NORTH
40.62321,-74.039978,BAY RIDGE,1016693,43.0,72,16.01,15.23,BAY RIDGE
40.638826,-73.970533,BAY RIDGE,1691520,40.0,84,17.74,15.36,OCEAN PARKWAY-NORTH
,,FLATBUSH-LEFFERTS GARDEN,585620,,63,20.77,18.05,FLATBUSH-CENTRAL
,,WILLIAMSBURG-SOUTH,284425,,24,13.38,14.8,WILLIAMSBURG-SOUTH
40.672993,-73.971679,BUSHWICK,153873,39.0,16,21.28,18.79,PARK SLOPE
,,MILL BASIN,688810,,37,42.7,13.6,MIDWOOD
40.673921,-73.964566,CROWN HEIGHTS,631038,35.0,36,16.07,15.28,PROSPECT HEIGHTS
40.67272,-73.966175,PROSPECT HEIGHTS,559530,35.0,40,17.17,22.99,PROSPECT HEIGHTS
40.633055,-74.022438,SHEEPSHEAD BAY,608864,43.0,45,13.17,19.8,BAY RIDGE
40.575745,-73.962217,OCEAN PARKWAY-SOUTH,2937800,48.0,195,15.54,15.54,BRIGHTON BEACH
,,BAY RIDGE,1609452,,73,18.1,18.1,BAY RIDGE
40.674813,-73.964324,BEDFORD STUYVESANT,312541,35.0,16,20.71,20.47,PROSPECT HEIGHTS
40.675939,-73.97515,CARROLL GARDENS,172120,39.0,12,29.4,19.1,PARK SLOPE
40.694353,-73.995485,BROOKLYN HEIGHTS,543731,33.0,26,24.47,17.72,BROOKLYN HEIGHTS
40.700043,-73.993562,DOWNTOWN-FULTON MALL,501289,33.0,30,19.09,17.41,BROOKLYN HEIGHTS
40.613975,-73.919827,FLATBUSH-LEFFERTS GARDEN,867300,46.0,56,20.77,18.05,OLD MILL BASIN
40.580062,-73.969188,CONEY ISLAND,10448751,48.0,572,16.23,12.95,CONEY ISLAND
40.672392,-73.974279,CROWN HEIGHTS,1719622,39.0,72,23.09,37.4,PARK SLOPE
40.673366,-73.971333,BROOKLYN HEIGHTS,784217,39.0,46,21.19,17.93,PARK SLOPE
,,CARROLL GARDENS,278519,,12,19.33,19.13,PARK SLOPE
,,GREENPOINT,830707,,68,17.57,19.53,SUNSET PARK
40.672442,-73.965165,CROWN HEIGHTS,764221,35.0,51,16.07,15.28,PROSPECT HEIGHTS
40.698948,-73.993151,DOWNTOWN-FULTON FERRY,867372,33.0,41,37.4,37.3,BROOKLYN HEIGHTS
,,BAY RIDGE,262885,,16,18.13,16.82,BAY RIDGE
,,BATH BEACH,1628349,,100,12.89,14.53,BATH BEACH
,,MILL BASIN,957755,,72,42.7,13.6,MADISON
40.655528,-73.973835,FLATBUSH-CENTRAL,158866,39.0,16,9.5,9.64,WINDSOR TERRACE
,,BERGEN BEACH,450567,,41,16.15,16.15,SUNSET PARK
40.672458,-73.93262,CROWN HEIGHTS,225205,36.0,27,13.72,9.89,CROWN HEIGHTS
,,MILL BASIN,1174625,,66,42.7,13.6,SHEEPSHEAD BAY
,,WILLIAMSBURG-EAST,357285,,20,22.18,22.58,PARK SLOPE
40.642958,-73.977165,OCEAN PARKWAY-NORTH,1032993,39.0,88,15.73,11.37,OCEAN PARKWAY-NORTH
,,CONEY ISLAND,1181817,,96,15.88,15.01,BRIGHTON BEACH
,,WILLIAMSBURG-NORTH,198000,,14,15.44,18.05,WILLIAMSBURG-NORTH
,,WILLIAMSBURG-SOUTH,545700,,37,10.71,14.83,WILLIAMSBURG-SOUTH
,,BRIGHTON BEACH,2133331,,84,13.18,14.95,OCEAN PARKWAY-SOUTH
40.628434,-73.971262,MILL BASIN,1313275,45.0,121,42.7,13.6,OCEAN PARKWAY-NORTH
40.612545,-73.949684,MILL BASIN,551370,48.0,36,42.7,13.6,MADISON
40.694035,-73.994342,CLINTON HILL,1060208,33.0,81,16.63,20.17,BROOKLYN HEIGHTS
,,PARK SLOPE,166009,,18,27.4,29.1,PARK SLOPE
40.702087,-73.936225,BUSHWICK,231520,34.0,28,9.96,19.93,BUSHWICK
40.697213,-73.994915,BRIGHTON BEACH,2506400,33.0,107,24.9,17.2,BROOKLYN HEIGHTS
40.693641,-73.968905,PROSPECT HEIGHTS,488863,35.0,16,18.73,17.17,CLINTON HILL
40.673228,-73.930023,CROWN HEIGHTS,350629,36.0,40,5.8,17.41,CROWN HEIGHTS
40.574863,-73.953481,BAY RIDGE,482400,48.0,37,13.32,13.41,BRIGHTON BEACH
,,BAY RIDGE,556416,,35,13.32,11.86,BAY RIDGE
40.697213,-73.996837,FLATBUSH-CENTRAL,318071,33.0,29,39.3,17.12,BROOKLYN HEIGHTS
,,WINDSOR TERRACE,1426746,,114,21.27,11.37,WINDSOR TERRACE
40.614982,-74.037567,BAY RIDGE,2180516,43.0,91,13.72,13.72,BAY RIDGE
40.601934,-74.007152,BRIGHTON BEACH,442787,43.0,62,13.28,11.77,BATH BEACH
40.61436,-74.033331,BAY RIDGE,1559297,43.0,107,10.17,13.72,BAY RIDGE
40.669461,-73.943084,CROWN HEIGHTS,107790,35.0,16,9.89,9.42,CROWN HEIGHTS
40.637951,-73.973088,BAY RIDGE,1555441,39.0,84,17.74,15.36,OCEAN PARKWAY-NORTH
,,BENSONHURST,193774,,16,13.68,26.4,SUNSET PARK
40.605751,-73.989841,MILL BASIN,500150,44.0,31,42.7,13.6,BENSONHURST
40.659104,-73.962577,FLATBUSH-LEFFERTS GARDEN,1273580,40.0,85,20.77,18.05,FLATBUSH-LEFFERTS GARDEN
,,MILL BASIN,692545,,47,42.7,13.6,MIDWOOD
40.615693,-74.037888,BAY RIDGE,653568,43.0,41,15.65,13.78,BAY RIDGE
,,BROOKLYN HEIGHTS,812543,,24,18.29,19.95,BROOKLYN HEIGHTS
40.640256,-73.973527,OCEAN PARKWAY-NORTH,576468,39.0,41,13.06,15.65,OCEAN PARKWAY-NORTH
,,MILL BASIN,1380915,,95,42.7,13.6,OCEAN PARKWAY-SOUTH
40.671695,-73.974275,BRIGHTON BEACH,2385608,39.0,94,28.3,21.27,PARK SLOPE
40.673904,-73.895346,EAST NEW YORK,150145,37.0,16,13.41,11.68,EAST NEW YORK
40.671038,-73.923065,CROWN HEIGHTS,330899,41.0,34,14.4,12.34,CROWN HEIGHTS
40.69292,-73.919884,BUSHWICK,251098,34.0,23,10.62,9.96,BUSHWICK
40.648896,-73.960774,FLATBUSH-LEFFERTS GARDEN,708220,40.0,63,20.77,18.05,FLATBUSH-CENTRAL
40.633546,-73.951797,CROWN HEIGHTS,515810,45.0,54,12.02,14.36,MIDWOOD
40.640128,-73.965179,BROOKLYN HEIGHTS,549971,40.0,50,14.36,11.93,FLATBUSH-CENTRAL
40.693723,-73.968923,PROSPECT HEIGHTS,488863,35.0,16,18.73,17.17,CLINTON HILL
40.635293,-73.988265,FLATBUSH-LEFFERTS GARDEN,600100,44.0,43,20.77,18.05,BOROUGH PARK
,,SUNSET PARK,125178,,16,11.58,34.0,SUNSET PARK
40.685346,-73.96725,CROWN HEIGHTS,448529,35.0,24,17.59,20.84,CLINTON HILL
,,PARK SLOPE,223608,,16,16.92,16.67,SUNSET PARK
,,CROWN HEIGHTS,571231,,57,12.02,17.93,FLATBUSH-EAST
40.646929,-73.963427,FLATBUSH-LEFFERTS GARDEN,1217345,40.0,84,20.77,18.05,FLATBUSH-CENTRAL
40.696299,-73.993592,DOWNTOWN-FULTON MALL,89800,33.0,12,17.41,35.9,BROOKLYN HEIGHTS
40.638763,-73.956625,FLATBUSH-CENTRAL,1036066,40.0,77,10.47,8.65,FLATBUSH-CENTRAL
,,PARK SLOPE,602295,,40,22.99,16.27,SUNSET PARK
40.694419,-73.995716,BROOKLYN HEIGHTS,1274336,33.0,103,19.41,21.19,BROOKLYN HEIGHTS
40.69603,-73.996008,FORT GREENE,823564,33.0,33,17.93,21.19,BROOKLYN HEIGHTS
,,BRIGHTON BEACH,4072522,,200,24.9,20.59,FORT GREENE
40.724182,-73.941417,GREENPOINT,121965,33.0,14,13.1,12.11,GREENPOINT
,,PROSPECT HEIGHTS,213931,,20,17.66,16.67,SUNSET PARK
,,MIDWOOD,506863,,51,9.35,11.93,FLATBUSH-CENTRAL
40.642974,-73.977169,KENSINGTON,1342735,39.0,150,6.99,14.17,KENSINGTON
40.70766,-73.963632,WILLIAMSBURG-CENTRAL,184518,33.0,30,8.35,8.93,WILLIAMSBURG-CENTRAL
40.688676,-73.961706,PROSPECT HEIGHTS,125038,35.0,16,22.46,18.79,CLINTON HILL
,,MILL BASIN,761425,,65,42.7,13.6,MIDWOOD
,,MIDWOOD,992973,,89,9.57,15.11,MADISON
40.673073,-73.973247,BROOKLYN HEIGHTS,1388053,39.0,60,24.39,19.68,PARK SLOPE
