brooklyn_cooperatives_comparable_properties_address,comparable_rental_1_gross_sqft,community_board,comparable_rental_2_gross_sqft,comparable_rental_2_dist_from_coop_in_miles
"{'latitude': '40.672606618631', 'longitude': '-73.972674751687', 'human_address': '{""address"": ""915 PRESIDENT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",7910,6.0,7410.0,2.75
"{'latitude': '40.662110466948', 'longitude': '-73.982105049515', 'human_address': '{""address"": ""411 15 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",12612,,12160.0,0.25
"{'latitude': '40.636393187154', 'longitude': '-73.987135379895', 'human_address': '{""address"": ""4418 14 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,12.0,7596.0,2.2
"{'latitude': '40.589296304507', 'longitude': '-73.949603704658', 'human_address': '{""address"": ""2950 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,15.0,107569.0,2.3
"{'latitude': '40.693118169056', 'longitude': '-73.99682619349', 'human_address': '{""address"": ""277 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",13000,2.0,16800.0,2.75
"{'latitude': '40.676675222679', 'longitude': '-73.969196554439', 'human_address': '{""address"": ""675 VANDERBILT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",6924,8.0,7280.0,0.35
"{'latitude': '40.608773273552', 'longitude': '-73.998935439725', 'human_address': '{""address"": ""1855 82 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,11.0,107569.0,4.3
"{'latitude': '40.638690692444', 'longitude': '-73.972910165245', 'human_address': '{""address"": ""415 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",62556,12.0,57024.0,3.45
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""396 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",11700,,11524.0,0.45
"{'latitude': '40.698643494558', 'longitude': '-73.992400314335', 'human_address': '{""address"": ""75 HENRY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",157042,2.0,153424.0,4.35
"{'latitude': '40.67509062861', 'longitude': '-73.972857045219', 'human_address': '{""address"": ""225 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",73032,6.0,75535.0,0.25
"{'latitude': '40.644639139805', 'longitude': '-73.999024248293', 'human_address': '{""address"": ""826 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",18916,,17640.0,2.9
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""317 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",8188,,10508.0,0.65
"{'latitude': '40.654479118942', 'longitude': '-73.973813569582', 'human_address': '{""address"": ""651 VANDERBILT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",57600,7.0,37500.0,1.6
"{'latitude': '40.695970750246', 'longitude': '-73.995472459332', 'human_address': '{""address"": ""187 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",47925,2.0,48000.0,5.8
"{'latitude': '40.700744744272', 'longitude': '-73.989234718086', 'human_address': '{""address"": ""41 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",17640,55.0,17460.0,3.85
"{'latitude': '40.695762713949', 'longitude': '-73.991750559915', 'human_address': '{""address"": ""24 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",37500,2.0,42000.0,0.6
"{'latitude': '40.651736768813', 'longitude': '-73.965183055765', 'human_address': '{""address"": ""55 PARADE PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,14.0,7596.0,0.7
"{'latitude': '40.671867822406', 'longitude': '-73.983049832828', 'human_address': '{""address"": ""333 4 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",48000,,47925.0,1.1
"{'latitude': '40.631063312045', 'longitude': '-73.971458088', 'human_address': '{""address"": ""715 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",77160,14.0,77160.0,0.55
"{'latitude': '40.697672128422', 'longitude': '-73.994744379748', 'human_address': '{""address"": ""130 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",26084,2.0,25032.0,1.1
"{'latitude': '40.687439695741', 'longitude': '-73.967724177885', 'human_address': '{""address"": ""360 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",96952,2.0,104640.0,2.35
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""100 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,3.55
"{'latitude': '40.721275035634', 'longitude': '-73.946816971154', 'human_address': '{""address"": ""532 GRAHAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",27309,1.0,13000.0,0.8
"{'latitude': '40.670702196462', 'longitude': '-73.982539684313', 'human_address': '{""address"": ""392 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22850,,19890.0,0.35
"{'latitude': '40.672522980592', 'longitude': '-73.965110559869', 'human_address': '{""address"": ""115 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",39261,8.0,37400.0,1.9
"{'latitude': '40.586510824766', 'longitude': '-73.949066628079', 'human_address': '{""address"": ""3060 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,15.0,107569.0,2.4
"{'latitude': '40.645817999296', 'longitude': '-73.974259765762', 'human_address': '{""address"": ""179 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",245202,12.0,49800.0,0.25
"{'latitude': '40.594364129614', 'longitude': '-73.964489496344', 'human_address': '{""address"": ""2265 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",112320,15.0,43974.0,0.35
"{'latitude': '40.700601192899', 'longitude': '-73.986689185254', 'human_address': '{""address"": ""92 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",14050,55.0,14116.0,2.0
"{'latitude': '40.627008519064', 'longitude': '-74.026668892304', 'human_address': '{""address"": ""8024 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",62556,10.0,57024.0,0.7
"{'latitude': '40.64039368674', 'longitude': '-73.991900383152', 'human_address': '{""address"": ""1157 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,12.0,7596.0,2.15
"{'latitude': '40.654875040802', 'longitude': '-73.95867318209', 'human_address': '{""address"": ""32 CLARKSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,14.0,7596.0,0.55
"{'latitude': '40.696100473904', 'longitude': '-73.991588611593', 'human_address': '{""address"": ""10 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",182000,2.0,109832.0,8.5
"{'latitude': '40.698201367782', 'longitude': '-73.996420254488', 'human_address': '{""address"": ""160 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",85370,2.0,79460.0,0.15
"{'latitude': '40.675822338388', 'longitude': '-73.915437089504', 'human_address': '{""address"": ""2153 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",17000,16.0,19000.0,0.3
"{'latitude': '40.673244052996', 'longitude': '-73.982530557184', 'human_address': '{""address"": ""374 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",21568,,20640.0,0.4
"{'latitude': '40.677335363898', 'longitude': '-73.944535112078', 'human_address': '{""address"": ""1384 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",19120,8.0,19120.0,0.3
"{'latitude': '40.674826846789', 'longitude': '-73.933306941361', 'human_address': '{""address"": ""125 SCHENECTADY AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",32628,8.0,24416.0,0.3
"{'latitude': '40.578508345427', 'longitude': '-73.988412435558', 'human_address': '{""address"": ""2600 21 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.25
"{'latitude': '40.643984501015', 'longitude': '-73.974537774936', 'human_address': '{""address"": ""240 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",245202,12.0,49800.0,0.25
"{'latitude': '40.617325821112', 'longitude': '-73.987126903603', 'human_address': '{""address"": ""1941 65 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,11.0,7596.0,3.3
"{'latitude': '40.639151956948', 'longitude': '-73.972996869099', 'human_address': '{""address"": ""399 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",52542,12.0,50400.0,3.3
"{'latitude': '40.661997280309', 'longitude': '-73.886761361852', 'human_address': '{""address"": ""721 VAN SICLEN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,5.0,7596.0,4.0
"{'latitude': '40.652601701816', 'longitude': '-73.961529063122', 'human_address': '{""address"": ""416 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,14.0,7596.0,0.65
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""65 ATLANTIC AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",5732,2.0,5541.0,1.65
"{'latitude': '40.57823742787', 'longitude': '-73.986193800974', 'human_address': '{""address"": ""2746 19 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",32400,,31392.0,0.15
"{'latitude': '40.668517021881', 'longitude': '-73.919987337994', 'human_address': '{""address"": ""563 HOWARD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",15120,16.0,16100.0,0.0
"{'latitude': '40.704482124965', 'longitude': '-73.942200471866', 'human_address': '{""address"": ""108 SEIGEL STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",8456,1.0,7250.0,2.8
"{'latitude': '40.604057838232', 'longitude': '-74.005176283739', 'human_address': '{""address"": ""150 19 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",43018,,44046.0,3.0
"{'latitude': '40.644353791076', 'longitude': '-73.974606738743', 'human_address': '{""address"": ""230 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",245202,12.0,49800.0,0.25
"{'latitude': '40.629500741915', 'longitude': '-73.983150009315', 'human_address': '{""address"": ""4910 17 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,12.0,7596.0,2.5
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""111 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",21568,,20640.0,0.15
"{'latitude': '40.654365095716', 'longitude': '-73.979124657154', 'human_address': '{""address"": ""601 19 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",29133,,13400.0,0.4
"{'latitude': '40.669292850963', 'longitude': '-73.976308391816', 'human_address': '{""address"": ""314 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",11700,6.0,11524.0,0.15
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1916 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.2
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""208 BAY 22 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",18650,11.0,18608.0,2.2
"{'latitude': '40.677445259559', 'longitude': '-73.97451880334', 'human_address': '{""address"": ""117 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25924,6.0,25556.0,0.9
"{'latitude': '40.660395341028', 'longitude': '-73.986871217768', 'human_address': '{""address"": ""385 18 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",102000,,75535.0,2.35
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2552 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",54210,,50400.0,5.1
"{'latitude': '40.673814843306', 'longitude': '-73.964135972291', 'human_address': '{""address"": ""418 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",39261,8.0,37400.0,1.9
"{'latitude': '40.634183932721', 'longitude': '-73.957868445999', 'human_address': '{""address"": ""1155 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",17100,14.0,17100.0,0.2
"{'latitude': '40.606118429115', 'longitude': '-73.942933868319', 'human_address': '{""address"": ""3203 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,15.0,107569.0,1.35
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""4002 7 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",35950,7.0,30556.0,0.35
"{'latitude': '40.577029701522', 'longitude': '-73.972737980002', 'human_address': '{""address"": ""2940 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",316900,,349060.0,2.1
"{'latitude': '40.672955822137', 'longitude': '-73.966773120692', 'human_address': '{""address"": ""55 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",39261,8.0,37400.0,1.9
"{'latitude': '40.628150482204', 'longitude': '-73.959979760401', 'human_address': '{""address"": ""915 17 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.55
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2675 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",102000,,194880.0,0.45
"{'latitude': '40.604838306735', 'longitude': '-73.992435604158', 'human_address': '{""address"": ""2155 82 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,11.0,107569.0,3.95
"{'latitude': '40.673702710819', 'longitude': '-73.971439105265', 'human_address': '{""address"": ""50 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",157042,8.0,113924.0,0.85
"{'latitude': '40.698575385791', 'longitude': '-73.996164951212', 'human_address': '{""address"": ""129 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",46410,2.0,44046.0,1.5
"{'latitude': '40.604817073747', 'longitude': '-73.952346710242', 'human_address': '{""address"": ""2331 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,15.0,107569.0,1.85
"{'latitude': '40.588641633305', 'longitude': '-73.96140714281', 'human_address': '{""address"": ""701 GERALD COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",54210,13.0,50400.0,5.1
"{'latitude': '40.672548496583', 'longitude': '-73.97745963075', 'human_address': '{""address"": ""199 GARFIELD PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",48000,6.0,47925.0,0.85
"{'latitude': '40.676169517679', 'longitude': '-73.959640169252', 'human_address': '{""address"": ""698 CLASSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",30556,8.0,26952.0,0.3
"{'latitude': '40.611398158735', 'longitude': '-73.978411834713', 'human_address': '{""address"": ""1402 4 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,3.25
"{'latitude': '40.633145156633', 'longitude': '-73.945803931967', 'human_address': '{""address"": ""740 32 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",43792,,47164.0,2.25
"{'latitude': '40.617114820761', 'longitude': '-74.036748007147', 'human_address': '{""address"": ""145 95 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",81000,,96952.0,0.65
"{'latitude': '40.595551987671', 'longitude': '-73.95856709292', 'human_address': '{""address"": ""2277 HOMECREST AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,15.0,107569.0,2.4
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""7002 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",81000,10.0,96952.0,1.2
"{'latitude': '40.627773658339', 'longitude': '-73.992441379983', 'human_address': '{""address"": ""5715 15 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,12.0,7596.0,2.85
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2020 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.0
"{'latitude': '40.671662764939', 'longitude': '-73.958113616592', 'human_address': '{""address"": ""553 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",13250,8.0,13200.0,0.4
"{'latitude': '40.63427910495', 'longitude': '-73.993969279933', 'human_address': '{""address"": ""1270 51 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",153424,12.0,130842.0,2.15
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""350 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",17640,,17460.0,3.45
"{'latitude': '40.604044715252', 'longitude': '-74.016658740639', 'human_address': '{""address"": ""1511 INDEPENDENCE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",157708,11.0,101127.0,6.9
"{'latitude': '40.628920667868', 'longitude': '-73.978881829098', 'human_address': '{""address"": ""2 WEBSTER AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,12.0,7596.0,2.4
"{'latitude': '40.677982019708', 'longitude': '-73.990704144512', 'human_address': '{""address"": ""78 1 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",16313,,24543.0,0.65
"{'latitude': '40.611689194577', 'longitude': '-73.955950970978', 'human_address': '{""address"": ""1580 18 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.05
"{'latitude': '40.575664765567', 'longitude': '-73.955674751195', 'human_address': '{""address"": ""1311 BRIGHTWATER AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",230500,13.0,212405.0,7.7
"{'latitude': '40.657508640572', 'longitude': '-73.956081466005', 'human_address': '{""address"": ""125 HAWTHORNE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,9.0,7596.0,0.45
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""651 MADISON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",18550,3.0,21600.0,0.15
"{'latitude': '40.640810926762', 'longitude': '-73.973923510372', 'human_address': '{""address"": ""340 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",54210,12.0,50400.0,3.2
"{'latitude': '40.687275391457', 'longitude': '-73.974093567735', 'human_address': '{""address"": ""101 LAFAYETTE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",123700,2.0,128000.0,1.3
"{'latitude': '40.67379763347', 'longitude': '-73.959571210618', 'human_address': '{""address"": ""572 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",10992,8.0,12520.0,0.45
"{'latitude': '40.677051244359', 'longitude': '-73.970366733621', 'human_address': '{""address"": ""225 PARK PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",60000,8.0,57876.0,1.2
"{'latitude': '40.700781920764', 'longitude': '-73.990361072133', 'human_address': '{""address"": ""9 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",157042,55.0,113924.0,1.15
"{'latitude': '40.670622323391', 'longitude': '-73.947526444974', 'human_address': '{""address"": ""876 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",30700,8.0,22800.0,0.55
"{'latitude': '40.695782755051', 'longitude': '-73.993772598593', 'human_address': '{""address"": ""161 HENRY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",50932,2.0,51419.0,6.2
"{'latitude': '40.638086007495', 'longitude': '-74.009302121746', 'human_address': '{""address"": ""730 57 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",11000,,11200.0,0.65
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""227 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",24543,,24000.0,0.4
"{'latitude': '40.635913733826', 'longitude': '-73.982957513381', 'human_address': '{""address"": ""1529 42 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",11000,12.0,12800.0,0.05
"{'latitude': '40.613152285515', 'longitude': '-73.944302428875', 'human_address': '{""address"": ""2922 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",47505,15.0,47300.0,0.3
"{'latitude': '40.683252459252', 'longitude': '-73.963707560933', 'human_address': '{""address"": ""211 ST JAMES PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",11200,2.0,11250.0,1.1
"{'latitude': '40.644368806495', 'longitude': '-73.973980176256', 'human_address': '{""address"": ""225 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",245202,12.0,49800.0,0.3
"{'latitude': '40.587948517106', 'longitude': '-73.933303341066', 'human_address': '{""address"": ""3080 VOORHIES AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",194880,15.0,112320.0,1.85
"{'latitude': '40.691607850514', 'longitude': '-73.991373568321', 'human_address': '{""address"": ""77 LIVINGSTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",157042,2.0,113924.0,1.35
"{'latitude': '40.661789269409', 'longitude': '-73.959541304881', 'human_address': '{""address"": ""50 LEFFERTS AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",106392,9.0,66516.0,0.0
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9201 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",257300,10.0,194880.0,4.3
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""57 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",107569,,25075.0,1.1
"{'latitude': '40.66750081868', 'longitude': '-73.960818069068', 'human_address': '{""address"": ""27 CROWN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",39261,9.0,37400.0,1.7
"{'latitude': '40.676196179244', 'longitude': '-73.951337119834', 'human_address': '{""address"": ""1055 BERGEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",18200,8.0,21600.0,0.9
"{'latitude': '40.687908162102', 'longitude': '-73.962187210623', 'human_address': '{""address"": ""51 CLIFTON PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",9200,2.0,9500.0,1.75
"{'latitude': '40.635466606119', 'longitude': '-73.960281689186', 'human_address': '{""address"": ""1815 FOSTER AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",16000,14.0,13400.0,0.5
"{'latitude': '40.61227060517', 'longitude': '-74.034106535728', 'human_address': '{""address"": ""10031A 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",32400,10.0,40500.0,0.35
