menu_item_id,restaurant_item_name,sugar,dietary_fiber,protein_100g,restaurant_id,trans_fat,restaurant,food_category,carbohydrates_100g,carbohydrates
170466,"Baskin Robbins Bobsled Brownie Ice Cream, 4 oz Scoop",24.0,2.0,4.0,5,0.0,Baskin Robbins,Desserts,27.0,31.0
140077,"Baskin Robbins Extra Thick Shake, Strawberry, Medium",81.0,3.0,3.0,5,0.5,Baskin Robbins,Beverages,20.0,89.0
29083,Arby's Roast Turkey Farmhouse Salad,,,,3,,Arby's,Salads,,
170135,"Applebee's Cherry Coke, 16 oz",27.0,0.0,0.0,2,0.0,Applebee's,Beverages,6.0,27.0
130846,"Applebee's Classic Buffalo Sauce, for Combo Sauces & Build Your Sampler",1.0,1.0,,2,0.0,Applebee's,Toppings & Ingredients,,2.0
130850,"Applebee's Honey BBQ Sauce, for Double Crunch Bone In Wings, Boneless Wings & Riblets Basket",49.0,2.0,,2,0.0,Applebee's,Toppings & Ingredients,,55.0
90314,"Auntie Anne's Fuze, Peach Tea, 32 fl oz",45.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,5.0,45.0
170219,Arby's Bacon & Egg w/ Biscuit Platter,4.0,3.0,9.0,3,0.0,Arby's,Entrees,20.0,49.0
65004,7 Eleven Big Gulp,,,,1,,7 Eleven,Beverages,,
10511,Baskin Robbins Fresh Baked Waffle Cone,13.0,1.0,4.0,5,0.0,Baskin Robbins,Toppings & Ingredients,51.0,29.0
27254,Arby's 4 Mozzarella Sticks,3.0,2.0,14.0,3,0.5,Arby's,Appetizers & Sides,27.0,37.0
150068,Applebee's Strawberry Sparkler,47.0,0.0,,2,0.0,Applebee's,Beverages,,48.0
10566,"Baskin Robbins Fat Free Vanilla Frozen Yogurt, 2.5 oz Scoop",12.0,0.0,4.0,5,0.0,Baskin Robbins,Desserts,23.0,16.0
170179,Applebee's Whisky Bacon Burger,19.0,4.0,,2,2.0,Applebee's,Burgers,,72.0
120388,Applebee's Sugar Free Lemonade,0.0,0.0,0.0,2,0.0,Applebee's,Beverages,0.0,0.0
35388,Auntie Anne's Raisin Pretzel,16.0,2.0,7.0,4,0.0,Auntie Anne's,Baked Goods,56.0,69.0
60083,"Arby's Vanilla Shake, Small",62.0,0.0,3.0,3,0.0,Arby's,Beverages,18.0,67.0
10548,"Baskin Robbins Chocolate Ice Cream, 4 oz Scoop",19.0,2.0,4.0,5,0.0,Baskin Robbins,Desserts,23.0,26.0
29166,"Baskin Robbins Gold Medal Ribbon Milkshake, Small",72.0,1.0,3.0,5,1.0,Baskin Robbins,Beverages,20.0,91.0
150245,Baskin Robbins Chocolate Dipped Waffle Cone,22.0,2.0,4.0,5,0.0,Baskin Robbins,Desserts,52.0,40.0
90309,"Auntie Anne's Fuze, Black Tea w/ Lemon, 16 fl oz",24.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,5.0,24.0
60086,"Arby's Ultimate Chocolate Shake, Small",78.0,1.0,3.0,3,0.0,Arby's,Beverages,22.0,89.0
35056,7 Eleven Chicken Tenders,,,,1,,7 Eleven,Entrees,,
170207,"Applebee's Honey BBQ Sauce, for Applebees Riblets Platter",82.0,3.0,,2,0.0,Applebee's,Toppings & Ingredients,,92.0
150086,Applebee's Bourbon Street Steak,5.0,6.0,,2,1.0,Applebee's,Entrees,,41.0
10547,"Baskin Robbins Chocolate Ice Cream, 2.5 oz Scoop",12.0,1.0,4.0,5,0.0,Baskin Robbins,Desserts,23.0,16.0
150061,Applebee's Top Shelf Long Island Iced Tea,19.0,0.0,,2,0.0,Applebee's,Beverages,,23.0
80338,"Auntie Anne's Cherry Coke, 16 oz",40.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,9.0,40.0
10639,Baskin Robbins Oreo Cookie Cake,30.0,1.0,3.0,5,0.0,Baskin Robbins,Desserts,29.0,35.0
170186,Applebee's Signature Combo,,,,2,,Applebee's,Entrees,,
150098,Applebee's Southwestern Steak Salad,9.0,10.0,,2,1.0,Applebee's,Salads,,63.0
130838,Applebee's Honey BBQ Sauce,33.0,1.0,,2,0.0,Applebee's,Toppings & Ingredients,,37.0
90926,"Baskin Robbins Oreo Cookies n Cream Milkshake, Small",70.0,1.0,3.0,5,1.0,Baskin Robbins,Beverages,19.0,87.0
170191,Applebee's Applebees Riblets Basket,2.0,4.0,,2,0.0,Applebee's,Entrees,,59.0
170106,7 Eleven Oven Roasted Turkey Sandwich,,,,1,,7 Eleven,Sandwiches,,
150026,7 Eleven PURE Water,,,,1,,7 Eleven,Beverages,,
130847,"Applebee's Hot Buffalo Sauce, for Combo Sauces & Build Your Sampler",1.0,1.0,,2,0.0,Applebee's,Toppings & Ingredients,,3.0
10696,"Baskin Robbins Oreo 31� Below, Small",57.0,2.0,4.0,5,0.5,Baskin Robbins,Desserts,21.0,73.0
170206,"Applebee's Texas Style BBQ Sauce, for Applebees Riblets Basket",35.0,0.0,,2,0.0,Applebee's,Toppings & Ingredients,,38.0
90296,"Auntie Anne's Pina Colada Ice, 12 oz",48.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,15.0,51.0
10645,"Baskin Robbins Peanut Butter n Chocolate Ice Cream, 4 oz Scoop",17.0,2.0,6.0,5,0.0,Baskin Robbins,Desserts,22.0,25.0
35372,Auntie Anne's Jalapeno Pretzel w/ Butter & Salt,9.0,2.0,6.0,4,0.0,Auntie Anne's,Baked Goods,51.0,63.0
90325,"Auntie Anne's Peach Sweet Iced Tea, 20 fl oz",40.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,7.0,40.0
26779,"Arby's Mist Twst, Small",50.0,0.0,0.0,3,0.0,Arby's,Beverages,11.0,50.0
10807,"Baskin Robbins Ice Cream Soda, Medium",103.0,1.0,1.0,5,1.0,Baskin Robbins,Beverages,17.0,114.0
150056,Applebee's Steamed Broccoli,2.0,3.0,,2,0.0,Applebee's,Appetizers & Sides,,6.0
80347,"Auntie Anne's Coca Cola Diet, 21 oz",0.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,0.0,0.0
170229,Arby's 1/2 Pound Beef N Cheddar Sandwich,9.0,2.0,14.0,3,2.0,Arby's,Sandwiches,13.0,48.0
10623,"Baskin Robbins Mint Chocolate Chip Ice Cream, 4 oz Scoop",18.0,1.0,4.0,5,0.0,Baskin Robbins,Desserts,20.0,23.0
35423,"Auntie Anne's Lemonade Mixer, Blue Raspberry, 16 fl oz",56.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,13.0,60.0
150126,Arby's French Toast Sticks,13.0,5.0,5.0,3,0.0,Arby's,Entrees,45.0,57.0
170204,Applebee's Pepperjack Cheese,0.0,0.0,1.0,2,0.0,Applebee's,Toppings & Ingredients,0.0,0.0
140106,Baskin Robbins Chocolate Chip Cookie Dough Ice Cream Quart,18.0,0.0,4.0,5,0.0,Baskin Robbins,Desserts,29.0,21.0
530,Arby's Classic Beef n Cheddar Sandwich,9.0,2.0,12.0,3,1.0,Arby's,Sandwiches,23.0,45.0
10354,Arby's 2 Prime Cut Chicken Tenders,0.0,1.0,18.0,3,0.0,Arby's,Entrees,22.0,19.0
120391,Applebee's Bottled Water,0.0,0.0,,2,0.0,Applebee's,Beverages,,0.0
65100,Auntie Anne's Roasted Garlic & Parmesan Pretzel w/ Butter,10.0,2.0,6.0,4,0.0,Auntie Anne's,Baked Goods,51.0,65.0
150070,Applebee's Blackberry Honey Quencher Iced Tea,23.0,1.0,,2,0.0,Applebee's,Beverages,,24.0
170046,7 Eleven Big Energy Coffee,,,,1,,7 Eleven,Beverages,,
65110,"Auntie Anne's Mocha Ice, 20 fl oz",53.0,2.0,0.0,4,0.0,Auntie Anne's,Beverages,13.0,73.0
170044,7 Eleven Decaf Coffee,,,,1,,7 Eleven,Beverages,,
10615,"Baskin Robbins Oreo Soft Serve Parfait, Mini",44.0,1.0,5.0,5,0.0,Baskin Robbins,Desserts,27.0,53.0
35424,"Auntie Anne's Lemonade Mixer, Blue Raspberry, 20 fl oz",73.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,14.0,78.0
60009,"Applebee's Vanilla Shake, Kids",56.0,0.0,,2,0.0,Applebee's,Beverages,,71.0
170105,"7 Eleven Italian Sub, 6 in",,,,1,,7 Eleven,Sandwiches,,
29000,Applebee's Brownie Bite,34.0,2.0,,2,0.0,Applebee's,Desserts,,50.0
26776,"Arby's Pepsi, Small",49.0,0.0,0.0,3,0.0,Arby's,Beverages,11.0,49.0
35433,"Auntie Anne's Lemonade Mixer, Wild Cherry, 20 fl oz",73.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,14.0,78.0
170002,7 Eleven Fruit Harvest Blend,,,,1,,7 Eleven,Appetizers & Sides,,
10800,"Baskin Robbins Freeze w/ Orange Sherbet, Large",122.0,1.0,1.0,5,0.0,Baskin Robbins,Beverages,17.0,150.0
258,Arby's Buttermilk Chicken Cordon Bleu Sandwich,,,,3,,Arby's,Sandwiches,,
10272,Applebee's Pepsi,28.0,0.0,0.0,2,0.0,Applebee's,Beverages,6.0,28.0
150106,Arby's Tree Top Applesauce,11.0,2.0,0.0,3,0.0,Arby's,Appetizers & Sides,14.0,13.0
60005,"Applebee's Mozzarella Sticks, Kids",5.0,2.0,,2,0.0,Applebee's,Appetizers & Sides,,31.0
90087,Applebee's Fruit Punch,30.0,0.0,0.0,2,0.0,Applebee's,Beverages,7.0,30.0
150256,Baskin Robbins Fancy Waffle Cone w/ Almonds,23.0,2.0,5.0,5,0.0,Baskin Robbins,Desserts,49.0,42.0
65098,Auntie Anne's Roasted Garlic & Parmesan Pretzel,10.0,2.0,7.0,4,0.0,Auntie Anne's,Baked Goods,53.0,65.0
10805,"Baskin Robbins Ice Cream Float, Small",50.0,0.0,1.0,5,0.5,Baskin Robbins,Beverages,12.0,55.0
10540,Baskin Robbins Chocolate Chip Ice Cream Quart,17.0,0.0,4.0,5,0.0,Baskin Robbins,Desserts,25.0,18.0
35376,Auntie Anne's Original Pretzel w/ Butter & Salt,10.0,2.0,7.0,4,0.0,Auntie Anne's,Baked Goods,53.0,65.0
90321,"Auntie Anne's Original Unsweetened Iced Tea, 16 fl oz",0.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,0.0,0.0
170008,7 Eleven Thin Tortilla Chips,,,,1,,7 Eleven,Appetizers & Sides,,
150076,Applebee's 12 oz Butchers Reserve Top Sirloin,1.0,2.0,,2,0.5,Applebee's,Entrees,,1.0
150029,7 Eleven Cheeseburger,,,,1,,7 Eleven,Burgers,,
120387,Applebee's Half & Half Iced Tea & Lemonade,11.0,0.0,0.0,2,0.0,Applebee's,Beverages,2.0,11.0
10599,"Baskin Robbins Love Potion #31 Ice Cream, 4 oz Scoop",25.0,1.0,4.0,5,0.0,Baskin Robbins,Desserts,26.0,29.0
170472,"Baskin Robbins Macadamia Nuts N Cream Ice Cream, 2.5 oz Scoop",10.0,0.0,4.0,5,0.0,Baskin Robbins,Desserts,18.0,13.0
140011,"Applebee's Sriracha Shrimp, for Build Your Sampler",5.0,1.0,,2,0.0,Applebee's,Appetizers & Sides,,25.0
140073,"Baskin Robbins Extra Thick Shake, Jamoca, Large",88.0,2.0,3.0,5,0.5,Baskin Robbins,Beverages,14.0,98.0
35474,Auntie Anne's Cheese Dip,1.0,0.0,8.0,4,0.0,Auntie Anne's,Toppings & Ingredients,5.0,2.0
140114,"Baskin Robbins Nilla Chai Ice Cream, 4 oz Scoop",25.0,1.0,4.0,5,0.0,Baskin Robbins,Desserts,29.0,33.0
150125,Arby's Salted Caramel & Chocolate Cookie,33.0,1.0,4.0,3,0.0,Arby's,Desserts,67.0,63.0
10567,"Baskin Robbins Fat Free Vanilla Frozen Yogurt, 4 oz Scoop",20.0,0.0,4.0,5,0.0,Baskin Robbins,Desserts,23.0,26.0
29152,"Baskin Robbins Mango Banana Smoothie, Large",184.0,6.0,1.0,5,0.0,Baskin Robbins,Beverages,23.0,208.0
90307,"Auntie Anne's Fuze, Unsweetened Tea, 16 fl oz",0.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,0.0,0.0
170036,7 Eleven Wild Cherry Slurpee,26.0,0.0,0.0,1,0.0,7 Eleven,Beverages,8.0,26.0
150108,"Arby's Mist Twst, Medium",,,,3,,Arby's,Beverages,,
90339,"Auntie Anne's Breakfast Pretzel Sandwich, Egg & Cheese",5.0,1.0,11.0,4,0.0,Auntie Anne's,Sandwiches,24.0,29.0
10280,Applebee's Wild Cherry Pepsi,28.0,0.0,0.0,2,0.0,Applebee's,Beverages,6.0,28.0
170026,7 Eleven Tea,,,,1,,7 Eleven,Beverages,,
120356,Applebee's Strawberry Quencher Lemonade,45.0,1.0,,2,0.0,Applebee's,Beverages,,43.0
140107,Baskin Robbins Double Chocolate Chip Cake,33.0,2.0,4.0,5,0.0,Baskin Robbins,Desserts,33.0,42.0
150102,Applebee's Southwest Steak & Black Bean Soup,2.0,5.0,,2,0.0,Applebee's,Soup,,17.0
35069,7 Eleven Big Bite,,,,1,,7 Eleven,Sandwiches,,
150051,Applebee's Maple Pecan Mashed Sweet Potatoes,31.0,6.0,,2,0.0,Applebee's,Appetizers & Sides,,54.0
170221,Arby's Ham & Egg w/ Biscuit Platter,5.0,2.0,8.0,3,0.0,Arby's,Entrees,18.0,50.0
112747,7 Eleven Steak & Cheese Melt,,,,1,,7 Eleven,Sandwiches,,
170114,7 Eleven Savory Dips,,,,1,,7 Eleven,Toppings & Ingredients,,
10525,"Baskin Robbins Black Walnut Ice Cream, 2.5 oz Scoop",9.0,1.0,6.0,5,0.0,Baskin Robbins,Desserts,18.0,13.0
90291,Auntie Anne's Breakfast Sausage Stix w/ Butter,9.0,2.0,11.0,4,0.0,Auntie Anne's,Baked Goods,27.0,65.0
10653,"Baskin Robbins Pralines n Cream Ice Cream, 4 oz Scoop",24.0,1.0,4.0,5,0.0,Baskin Robbins,Desserts,28.0,32.0
35375,Auntie Anne's Jalapeno Pretzel w/ Butter,9.0,2.0,7.0,4,0.0,Auntie Anne's,Baked Goods,52.0,63.0
80361,"Auntie Anne's Gold Peak, Sweetened Black Tea, 21 oz",46.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,8.0,46.0
120301,"Applebee's Double Glazed Baby Back Ribs, Half Rack",0.0,1.0,,2,0.0,Applebee's,Entrees,,0.0
35478,Auntie Anne's Sweet Glaze Dip,32.0,0.0,0.0,4,0.0,Auntie Anne's,Toppings & Ingredients,80.0,32.0
35460,Auntie Anne's Cheese Pretzel Dog w/ Butter,5.0,1.0,10.0,4,0.5,Auntie Anne's,Sandwiches,27.0,33.0
170025,7 Eleven Wine,,,,1,,7 Eleven,Beverages,,
170054,7 Eleven Go!Yum Brownie Bites,,,,1,,7 Eleven,Desserts,,
120726,Baskin Robbins Caramel Banana Soft Serve Parfait,,,,5,,Baskin Robbins,Desserts,,
10290,"Applebee's Grape Juice, Kids",23.0,0.0,,2,0.0,Applebee's,Beverages,,25.0
10646,Baskin Robbins Peanut Butter n Chocolate Ice Cream Quart,17.0,1.0,7.0,5,0.0,Baskin Robbins,Desserts,27.0,20.0
80397,"Auntie Anne's Hi C Fruit Punch, 16 oz",39.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,9.0,39.0
10126,Applebee's Mozzarella Sticks,10.0,5.0,,2,1.0,Applebee's,Appetizers & Sides,,79.0
35475,Auntie Anne's Hot Salsa Cheese Dip,2.0,0.0,8.0,4,0.0,Auntie Anne's,Toppings & Ingredients,5.0,2.0
10341,"Arby's Sausage, Egg & Cheese Biscuit",5.0,1.0,9.0,3,0.0,Arby's,Sandwiches,18.0,39.0
170160,"Applebee's Ginger Ale, 30 oz",35.0,0.0,0.0,2,0.0,Applebee's,Beverages,4.0,35.0
10282,Applebee's Diet Mountain Dew,0.0,0.0,0.0,2,0.0,Applebee's,Beverages,0.0,0.0
35463,Auntie Anne's Jalapeno & Cheese Pretzel Dog,5.0,1.0,10.0,4,0.5,Auntie Anne's,Sandwiches,27.0,34.0
150090,"Applebee's Three Cheese Chicken Cavatappi, Lunch",2.0,3.0,,2,1.0,Applebee's,Entrees,,40.0
10231,Applebee's Baked Potato,2.0,3.0,,2,0.5,Applebee's,Appetizers & Sides,,41.0
90332,"Auntie Anne's Raspberry Sweet Iced Tea, 32 fl oz",64.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,7.0,67.0
170176,"Applebee's Sprite, 16 oz",25.0,0.0,0.0,2,0.0,Applebee's,Beverages,6.0,25.0
