item_name,calories,total_fat,serving_size_unit,serving_size,dietary_fiber_100g,shareable,limited_time_offer,saturated_fat_100g
"Old Fashioned Butter Pecan Ice Cream, 2.5 oz Scoop",160.0,11.0,g,71.0,1.0,0,0,7.0
"Extra Thick Shake, Vanilla, Small",440.0,16.0,fl oz,12.0,0.0,0,0,3.0
"Coca Cola, 16 oz",100.0,0.0,fl oz,16.0,0.0,0,0,0.0
"Cherries Jubilee Ice Cream, 2.5 oz Scoop",140.0,7.0,g,71.0,0.0,0,0,6.0
"Peanut Butter n Chocolate Ice Cream, 2.5 oz Scoop",190.0,13.0,g,71.0,1.0,0,0,8.0
"Lemon Sorbet, 2.5 oz Scoop",60.0,0.0,g,71.0,0.0,0,0,0.0
"Coca Cola, 32 oz",270.0,0.0,fl oz,32.0,0.0,0,0,0.0
"Gold Peak, Raspberry Tea, 21 oz",120.0,0.0,fl oz,21.0,0.0,0,0,0.0
Frozen Strawberry Lemonade,340.0,0.0,,,,0,0,
"Lemonade Mixer, Mango, 42 oz",,,fl oz,42.0,,0,0,
"Frozen Lemonade Mixer, Mango, 32 fl oz",,,fl oz,32.0,,0,0,
"Boneless Wings, Build Your Sampler",340.0,17.0,,,,0,0,
"Made w/ M&M's 31� Below, Small",720.0,29.0,oz,12.0,1.0,0,0,5.0
"Pretzel Waffle, Powdered Sugar",280.0,16.0,g,88.0,1.0,0,0,11.0
"Heath 31� Below, Mini",450.0,22.0,oz,9.0,0.0,0,0,5.0
Smokehouse Brisket Sandwich,600.0,35.0,g,203.0,1.0,0,0,6.0
"Extra Thick Shake, Jamoca, Medium",470.0,17.0,fl oz,16.0,0.0,0,0,2.0
Nestle Hot Cocoa,80.0,3.0,g,20.0,5.0,0,0,10.0
Firecracker Shrimp Cavatappi,1870.0,119.0,,,,0,0,
Bourbon Street Chicken & Shrimp,620.0,29.0,,,,0,0,
Chicken Tenders,310.0,17.0,,,,0,0,
"Fuze, Black Tea w/ Lemon, 32 fl oz",170.0,0.0,fl oz,32.0,0.0,0,0,0.0
Piece Cake,220.0,10.0,g,90.0,1.0,0,0,6.0
Roasted Almonds,,,,,,0,0,
Shamrock Farms Low Fat White Milk,90.0,2.0,g,214.0,0.0,0,0,1.0
"Icee, Coca Cola, 32 oz",290.0,0.0,fl oz,32.0,0.0,0,0,0.0
Hot Tea 16 oz,5.0,0.0,fl oz,16.0,0.0,0,0,0.0
"Bacon, Egg & Cheese Biscuit",480.0,29.0,g,173.0,1.0,0,0,9.0
"Chocolate Chip Cookie Dough Milkshake, Medium",1140.0,54.0,fl oz,24.0,0.0,0,0,5.0
Smokehouse Chicken Sandwich,530.0,26.0,g,230.0,1.0,0,1,4.0
Orange Twister,110.0,0.0,,,,0,0,
"Icee, Blue Raspberry, 32 fl oz",290.0,0.0,fl oz,32.0,0.0,0,0,0.0
Breakfast Sausage Stix,720.0,38.0,g,240.0,1.0,0,0,5.0
"Pistachio Almond Ice Cream, 2.5 oz Scoop",170.0,12.0,g,71.0,1.0,0,0,7.0
"Gold Peak, Green Tea, 21 oz",180.0,0.0,fl oz,21.0,0.0,0,0,0.0
Original Stix w/ Salt,310.0,1.0,g,119.0,2.0,0,0,0.0
"Chicken Quesadilla, for Build Your Sampler",560.0,32.0,,,,0,0,
"Hi C Fruit Punch, 32 oz",280.0,0.0,fl oz,32.0,0.0,0,0,0.0
Garlic Caesar Dressing,210.0,23.0,,,,0,0,
"Sobe Life Water, Yumberry Pomegranate, 30 oz",0.0,0.0,fl oz,30.0,0.0,0,0,0.0
Grilled Chicken Sandwich,,,,,,0,0,
"Apple Juice, Kids",100.0,0.0,,,,0,0,
"Extra Thick Shake, Chocolate, Small",520.0,15.0,fl oz,12.0,1.0,0,0,3.0
"Coca Cola, 16 oz",140.0,0.0,fl oz,16.0,0.0,0,0,0.0
Monster Hydro,,,,,,0,0,
Apple Turnover,430.0,18.0,g,128.0,2.0,0,0,7.0
Chocolate Ice Cream Quart,170.0,9.0,g,73.0,1.0,0,0,8.0
"Gold Medal Ribbon Milkshake, Medium",1020.0,45.0,fl oz,24.0,0.0,0,0,4.0
"Lemonade Mixer, Mango, 20 fl oz",300.0,0.0,fl oz,20.0,0.0,0,0,
Dew Berry Burst,180.0,0.0,,,,0,0,
"Sausage, Egg & Cheese Biscuit",,,,,,0,0,
Oreo Cookies n Cream Ice Cream Quart,170.0,10.0,g,73.0,0.0,0,0,8.0
"Pink Bubblegum Ice Cream, 4 oz Scoop",250.0,12.0,g,113.0,0.0,0,1,7.0
"Garlic Mashed Potatoes, Loaded",410.0,27.0,,,,0,0,
"Caffeine Free Diet Coke, 30 oz",0.0,0.0,fl oz,30.0,0.0,0,0,0.0
Classic Combo,,,,,,0,0,
"Icee, Wild Cherry, 21 fl oz",160.0,0.0,fl oz,21.0,0.0,0,0,0.0
7-Select GO!Smart Coconut Water,,,,,,0,0,
"Coffee, 16 oz",5.0,0.0,fl oz,16.0,0.0,0,0,0.0
American Cheese,140.0,12.0,,,,0,0,
Honey Balsamic Dressing,170.0,13.0,,,,0,0,
Bagged Candy,,,,,,0,0,
"Chocolate Chip Cookie Dough 31� Below, Medium",870.0,32.0,oz,16.0,1.0,0,0,4.0
Roast Turkey & Swiss Wrap,520.0,27.0,g,261.0,2.0,0,0,3.0
Original Stix w/ Butter,340.0,5.0,g,121.0,2.0,0,0,2.0
Garlicky Green Beans,180.0,15.0,,,,0,0,
12 Mini Pretzel Dogs w/ Butter,770.0,43.0,g,264.0,1.0,0,0,7.0
Strawberry Sundae Shooter,290.0,15.0,,,,0,0,
Apple Fritter,,,,,,0,0,
Sausage & Cheese Croissant,490.0,35.0,g,123.0,1.0,0,0,13.0
New England Clam Chowder,270.0,18.0,,,,0,0,
Smoke Mountain Sandwich,,,,,,0,1,
Bleu Cheese Dressing,240.0,25.0,,,,0,0,
Nashville Hot Fish Flatbread,630.0,30.0,g,260.0,2.0,0,1,2.0
Hand Breaded Fish & Chips,1570.0,98.0,,,,0,0,
"Nutty Coconut Ice Cream, 2.5 oz Scoop",180.0,12.0,g,71.0,1.0,0,0,8.0
Double Fudge Cookie,160.0,6.0,,,,0,0,
"Turkey & Cheese Sub, 6 in",,,,,,0,0,
"Gold Peak, Sweetened Black Tea, 16 oz",130.0,0.0,fl oz,16.0,0.0,0,0,0.0
Fresh Brewed Coffee,0.0,0.0,,,,0,0,
Hot Pockets,,,,,,0,0,
Gold Medal Ribbon Ice Cream Quart,160.0,8.0,g,73.0,0.0,0,0,7.0
Gatorade,,,oz,28.0,,0,0,
Garden Side Salad,,,,,,0,0,
"Icing on the Cake Ice Cream, 2.5 oz Scoop",200.0,12.0,g,71.0,0.0,0,0,8.0
Loaded Curly Fries,700.0,46.0,g,233.0,2.0,0,0,4.0
"Hot Tea, 12 oz",5.0,0.0,fl oz,12.0,0.0,0,0,0.0
Fries,430.0,20.0,,,,0,0,
"Daiquiri Ice Freeze, Medium",410.0,0.0,fl oz,24.0,0.0,0,0,0.0
Go!Yum Mini Cookie Cups,,,,,,0,0,
Chicken Tortilla Soup,180.0,8.0,,,,0,0,
Brazilian Dark Roast Coffee,,,,,,0,0,
Chopped Side Salad,,,,,,0,0,
"Bacon, Egg & Cheese Wrap",500.0,27.0,g,178.0,2.0,0,0,6.0
Apple Sangria,220.0,0.0,,,,0,0,
"Original Unsweetened Iced Tea, 20 fl oz",0.0,0.0,fl oz,20.0,0.0,0,0,0.0
Made w/ Snickers Sundae,1060.0,43.0,g,370.0,1.0,0,0,7.0
Shrimp N Parmesan Sirloin,630.0,41.0,oz,8.0,0.0,0,0,10.0
Mix N Match,,,,,,0,0,
"Chocolate Almond Ice Cream, 2.5 oz Scoop",180.0,11.0,g,71.0,3.0,0,1,7.0
Kings Hawaiian Nashville Hot Fish Deluxe Sandwich,670.0,31.0,g,301.0,1.0,0,1,3.0
"Icing on the Cake Ice Cream, 4 oz Scoop",320.0,18.0,g,113.0,0.0,0,0,9.0
"Fire Roasted Chicken Salad Wrap, Lunch",410.0,23.0,,,,0,0,
1 Mini Hamburger,320.0,20.0,,,,0,0,
"Sobe Life Water, Yumberry Pomegranate",0.0,0.0,fl oz,16.0,0.0,0,0,0.0
2 Potato Cakes,250.0,14.0,g,100.0,2.0,0,0,2.0
Raisin Pretzel w/ Butter,360.0,5.0,g,127.0,2.0,0,0,2.0
Cinnamon Sugar Party Pretzel,250.0,6.0,g,74.0,1.0,0,0,5.0
"Mellow Yellow, 30 oz",160.0,0.0,fl oz,30.0,0.0,0,0,0.0
Original Party Pretzel,180.0,3.0,g,62.0,2.0,0,0,2.0
Sour Cream & Onion Pretzel w/ Butter & Salt,380.0,8.0,g,130.0,2.0,0,0,3.0
Blue Ribbon Brownie,1560.0,73.0,,,,0,0,
Classic & Signature Combo,,,,,,0,0,
"Peach Unsweetened Iced Tea, 16 fl oz",0.0,0.0,fl oz,16.0,0.0,0,0,0.0
Bacon Cheddar Grilled Chicken Sandwich,890.0,48.0,,,,0,0,
Sirloin Wonton Tacos,580.0,41.0,,,,0,0,
Chicken Salad Sandwich,,,,,,0,0,
"Jamoca Almond Fudge Ice Cream, 2.5 oz Scoop",160.0,9.0,g,71.0,1.0,0,0,6.0
Diet Pepsi,0.0,0.0,fl oz,16.0,0.0,0,0,0.0
"Old Fashioned Lemonade, 21 fl oz",,,fl oz,21.0,,0,0,
"Frozen Lemonade Mixer, Wild Cherry, 32 fl oz",,,fl oz,32.0,,0,0,
Bronco Berry Sauce,60.0,0.0,g,28.0,0.0,0,0,0.0
Cappuccino Blast Caramel w/ Soft Serve,780.0,18.0,fl oz,32.0,0.0,0,0,1.0
Roasted Salted Cashews,,,,,,0,0,
Personal Cheese Pretzel Pizza,600.0,14.0,g,236.0,1.0,0,0,3.0
Original Pretzel w/ Butter,340.0,5.0,g,121.0,2.0,0,0,2.0
"Oreo Soft Serve Parfait, Regular",710.0,28.0,g,350.0,1.0,0,0,5.0
"Pralines n Cream Ice Cream, 2.5 oz Scoop",170.0,9.0,g,71.0,0.0,0,0,7.0
Cinnamon Sugar Pretzel,380.0,1.0,g,136.0,1.0,0,0,0.0
"Double Chocolate Oreo Cake, 1/8 Cake",300.0,17.0,,,,0,0,
Chipotle Steak & Egg Bowl,,,,,,0,1,
8 Jalapeno Bites,470.0,27.0,g,176.0,2.0,0,0,6.0
Brewed Iced Tea,5.0,0.0,,,,0,0,
Oreo Bites,330.0,21.0,g,71.0,1.0,0,1,14.0
"French Vanilla Ice Cream, 2.5 oz Scoop",170.0,12.0,g,71.0,0.0,0,1,10.0
10 Mini Pretzel Dogs w/ Butter,,,,,,0,0,
"Mint Chocolate Shake w/ Andes Candy Pieces, Small, 24 oz",830.0,27.0,oz,24.0,0.0,0,1,3.0
Sour Cream & Onion Pretzel,330.0,1.5,g,122.0,2.0,0,0,0.0
"Orange Sherbet, 4 oz Scoop",130.0,2.0,g,113.0,0.0,0,1,1.0
7-Select Cinnamon Roll Iced Cappuccino,,,,,,0,0,
"Breakfast Pretzel Sandwich, Bacon, Egg & Cheese",300.0,12.0,g,129.0,1.0,0,0,4.0
Nashville Hot Fish Sandwich,540.0,23.0,g,228.0,2.0,0,1,2.0
"Gold Peak, Peach Tea, 32 oz",170.0,0.0,fl oz,32.0,0.0,0,0,0.0
Mozzarella Sticks,,,,,,0,0,
"Heath 31� Below, Medium",910.0,46.0,oz,16.0,1.0,0,0,6.0
Original Pretzel,310.0,1.0,g,117.0,2.0,0,0,0.0
Sausage Biscuit,500.0,33.0,g,144.0,1.0,0,0,10.0
"Lipton Unsweetened Iced Tea, 30 oz",0.0,0.0,fl oz,30.0,0.0,0,0,0.0
"Peanut Butter n Chocolate Milkshake, Large",1590.0,91.0,fl oz,32.0,1.0,0,0,5.0
"Mist Twist, 30 oz",150.0,0.0,fl oz,30.0,0.0,0,0,0.0
5 Prime Cut Chicken Tenders,,,,,,0,0,
"Butterfinger 31� Below, Medium",850.0,34.0,oz,16.0,1.0,0,0,4.0
"Ham, Egg & Cheese Croissant",420.0,23.0,g,169.0,1.0,0,0,7.0
Cotton Candy Slurpee,100.0,0.0,fl oz,12.0,0.0,0,0,0.0
"Daiquiri Ice Freeze, Large",590.0,0.0,fl oz,32.0,0.0,0,0,0.0
"Mint Chocolate Chip Milkshake, Medium",1030.0,55.0,fl oz,24.0,0.0,0,0,5.0
"Dr Pepper, 21 oz",190.0,0.0,fl oz,21.0,0.0,0,0,0.0
Hot Chocolate,,,,,,0,0,
Jumbo Pretzel Dog,580.0,25.0,g,208.0,1.0,0,0,5.0
"Sprite, 30 oz",140.0,0.0,fl oz,30.0,0.0,0,0,0.0
"Pina Colada Ice, 20 oz",300.0,0.0,fl oz,20.0,0.0,0,0,0.0
"Lemonade Mixer, Wild Cherry, 32 fl oz",460.0,0.0,fl oz,32.0,0.0,0,0,0.0
3 Potato Cakes,370.0,21.0,g,150.0,3.0,0,0,2.0
"Made w/ Snickers 31� Below, Small",610.0,26.0,oz,91.0,0.0,0,0,1.0
"Riblets, Initial Order",1150.0,68.0,,,,0,0,
4 oz Sirloin,140.0,6.0,,,,0,0,
"Garlic Mashed Potatoes, Kids",130.0,7.0,,,,0,0,
Sour Neon Worms,,,,,,0,0,
Dark Chocolate Chunk Cookie,170.0,7.0,,,,0,0,
"Dr Pepper, 32 oz",280.0,0.0,fl oz,32.0,0.0,0,0,0.0
Personal Pepperoni Pretzel Pizza,700.0,23.0,g,255.0,1.0,0,0,4.0
Orange Juice,140.0,0.0,g,309.0,0.0,0,0,0.0
"Mountain Dew, Small",200.0,0.0,g,454.0,0.0,0,0,0.0
"Oreo Cookie Shake, Kids",790.0,38.0,,,,0,0,
"Coke Float w/ Soft Serve, Medium",430.0,11.0,fl oz,24.0,0.0,0,0,1.0
"Creole Cream Cheese Ice Cream, 4 oz Scoop",230.0,13.0,g,113.0,0.0,0,0,7.0
Original Stix w/ Salt & Butter,320.0,5.0,g,123.0,2.0,0,0,2.0
"Pretzel Waffle, Original",260.0,16.0,g,83.0,1.0,0,0,12.0
"Diet Coke, 30 oz",0.0,0.0,fl oz,30.0,0.0,0,0,0.0
Double Sausage Gravy Biscuit,970.0,56.0,g,522.0,1.0,0,0,5.0
Chocolate Chip Cookie Sundae,1370.0,58.0,,,,0,0,
"Mocha Cappuccino Blast, Small",410.0,14.0,fl oz,16.0,0.0,0,0,2.0
"Thai Shrimp Salad, Lunch",190.0,9.0,,,,0,0,
"Made w/ M&M's 31� Below, Mini",480.0,19.0,oz,9.0,1.0,0,0,5.0
"Chocolate Chip Cookie Dough 31� Below, Large",1180.0,44.0,oz,24.0,1.0,0,0,4.0
Pizza,,,,,,0,0,
"Clubhouse Grille, Lunch",540.0,31.0,,,,0,0,
"Cappuccino Blast Caramel w/ Soft Serve, Medium",570.0,14.0,fl oz,24.0,0.0,0,0,1.0
Peanut Butter Banana Waffle Bowl Sundae,970.0,58.0,g,380.0,2.0,0,0,6.0
"Pibb Extra, 16 oz",100.0,0.0,fl oz,16.0,0.0,0,0,0.0
"Mocha Cappuccino Blast, Large",790.0,27.0,fl oz,32.0,0.0,0,0,2.0
"Sprite, 16 oz",140.0,0.0,fl oz,16.0,0.0,0,0,0.0
Pepperoni Pretzel w/ Butter,480.0,16.0,g,149.0,1.0,0,0,5.0
"Bacon, Egg & Cheese Sourdough",490.0,23.0,g,170.0,1.0,0,0,5.0
"Original Cappuccino Blast, Medium",470.0,22.0,fl oz,24.0,0.0,0,0,2.0
"Ice Cream Soda, Small",510.0,21.0,fl oz,16.0,0.0,0,0,3.0
"Sausage, Egg & Cheese Wrap",630.0,41.0,g,213.0,2.0,0,0,7.0
"Oreo Cookies n Cream Ice Cream, 2.5 oz Scoop",160.0,9.0,g,71.0,0.0,0,0,7.0
"Cappuccino Blast, Large",480.0,15.0,fl oz,32.0,0.0,0,0,1.0
"Cheeseburger Egg Rolls, for Build Your Sampler",610.0,36.0,,,,0,0,
BBQ Brisket Tacos,1220.0,70.0,,,,0,0,
"FUZE Raspberry Iced Tea, 30 oz",90.0,0.0,fl oz,30.0,0.0,0,0,0.0
Apple Chimi Cheesecake,1000.0,38.0,,,,0,0,
Hazelnut Coffee,,,,,,0,0,
Go!Yum Graham Cracker Cookies,,,,,,0,0,
2 for $20,,,,,,0,0,
Shrimp Wonton Stir Fry,630.0,16.0,,,,0,0,
Italian Sausage,,,,,,0,0,
"Orange Fanta, 16 oz",100.0,0.0,fl oz,16.0,0.0,0,0,0.0
Crispy Fish Flatbread Sandwich,590.0,25.0,g,246.0,1.0,0,1,2.0
"Frozen Lemonade Mixer, Wild Cherry, 12 fl oz",240.0,0.0,fl oz,12.0,0.0,0,0,0.0
Pomegranate Lemonade,180.0,0.0,,,,0,0,
Sour Cream & Onion Pretzel w/ Butter,380.0,8.0,g,128.0,2.0,0,0,3.0
"Frozen Lemonade Mixer, Strawberry, 32 fl oz",,,fl oz,32.0,,0,0,
Tuna Salad Sandwich,,,,,,0,0,
"Made w/ Snickers 31� Below, Large",1140.0,49.0,g,24.0,17.0,0,0,104.0
"Lemon Custard Ice Cream, 4 oz Scoop",240.0,13.0,g,113.0,0.0,0,1,7.0
Watermelon Sangria,210.0,0.0,,,,0,0,
