restaurant_item_name,calories_100g,protein,year,cholesterol,sugar_100g,trans_fat_100g
Applebee's Buttermilk Ranch Dressing,,1.0,2018,15.0,,
"Baskin Robbins Lemon Custard Ice Cream, 2.5 oz Scoop",211.0,3.0,2018,45.0,18.0,0.0
"Applebee's Orange Fanta, 30 oz",19.0,0.0,2018,0.0,5.0,0.0
Applebee's Mango Frozen Lemonade,,1.0,2018,0.0,,
"Arby's Ham, Egg & Cheese Wrap",239.0,17.0,2018,160.0,3.0,0.0
Auntie Anne's Light Cream Cheese Dip,229.0,3.0,2018,20.0,0.0,0.0
7 Eleven Spicy Chicken Biscuit,,,2018,,,
7 Eleven Coca-Cola Slurpee,29.0,0.0,2018,0.0,8.0,0.0
7 Eleven Sausage Biscuit,,,2018,,,
Applebee's Build Your Soups & Salads,,,2018,,,
7 Eleven Mile High Breakfast Bowl,,,2018,,,
"Applebee's Cherry Coke, 30 oz",19.0,0.0,2018,0.0,5.0,0.0
"Auntie Anne's Frozen Lemonade Mixer, Mango, 12 fl oz",71.0,0.0,2018,0.0,16.0,0.0
Applebee's Sweet Potato Fries,,3.0,2018,0.0,,
Baskin Robbins Baseball Nut Ice Cream,,,2018,,,
"Baskin Robbins Cappuccino Blast Mocha w/ Soft Serve, Large",71.0,13.0,2018,55.0,10.0,0.0
Baskin Robbins Chocolate Chip Cookie Dough Sundae,293.0,13.0,2018,110.0,30.0,0.0
"Auntie Anne's Gold Peak, Unsweetened Black Tea, 16 oz",0.0,0.0,2018,0.0,0.0,0.0
Auntie Anne's 8 Mini Pretzel Dogs,279.0,16.0,2018,55.0,3.0,0.0
Arby's Turkey Gyro,172.0,25.0,2018,45.0,2.0,0.0
Applebee's Hot Tea,,0.0,2018,0.0,,
"Auntie Anne's Lemonade Mixer, Wild Cherry, 16 fl oz",53.0,0.0,2018,0.0,12.0,0.0
"Auntie Anne's Coca Cola Diet, 32 oz",1.0,0.0,2018,0.0,0.0,0.0
"Auntie Anne's Original Unsweetened Iced Tea, 32 fl oz",0.0,0.0,2018,0.0,0.0,0.0
Auntie Anne's Roasted Garlic & Parmesan Pretzel w/ Salt,258.0,9.0,2018,0.0,8.0,0.0
"Auntie Anne's Icee, Blue Raspberry, 16 fl oz",31.0,0.0,2018,0.0,8.0,0.0
"Auntie Anne's Fuze, Raspberry Tea, 32 fl oz",19.0,0.0,2018,0.0,5.0,0.0
"Baskin Robbins Coke Float, Medium",88.0,8.0,2018,120.0,10.0,0.0
"Auntie Anne's Frozen Lemonade Mixer, Wild Cherry, 20 fl oz",56.0,0.0,2018,0.0,13.0,0.0
Arby's Roast Turkey Ranch & Bacon Sandwich,233.0,45.0,2018,80.0,5.0,0.0
"Auntie Anne's Frozen Lemonade Mixer, Blue Raspberry, 32 fl oz",,,2018,,,
Auntie Anne's Cheese Pretzel Dog,288.0,12.0,2018,40.0,4.0,0.0
7 Eleven Pastrami Turkey Stackers,,,2018,,,
Arby's Steakhouse Onion Rings,318.0,6.0,2018,0.0,3.0,0.0
Baskin Robbins Jamoca Almond Fudge Ice Cream Quart,237.0,4.0,2018,30.0,20.0,0.0
Applebee's Oreo Cookie Shake,,25.0,2018,165.0,,
7 Eleven Asian Style Beef & Broccoli Bowl,,,2018,,,
"7 Eleven Energy Shot, Pineapple Passion Fruit",,,2018,,,
Applebee's Chili,,32.0,2018,130.0,,
"Arby's Mist Twst, Kids",,,2018,,,
7 Eleven Chocolate Chunk Cookie,,,2018,,,
Applebee's Oriental Chicken Salad,,39.0,2018,55.0,,
Auntie Anne's Sweet Mustard Dip,171.0,2.0,2018,35.0,26.0,0.0
Applebee's Lipton Peach Iced Tea,18.0,0.0,2018,0.0,5.0,0.0
Applebee's Mango Lemonade,,0.0,2018,0.0,,
7 Eleven Gummi Bears,,,2018,,,
Applebee's Riblet Platter,,71.0,2018,235.0,,
"Auntie Anne's Frozen Lemonade Mixer, Strawberry, 12 fl oz",71.0,0.0,2018,0.0,16.0,0.0
"Baskin Robbins Miami Vice Sorbet, 4 oz Scoop",88.0,0.0,2018,0.0,17.0,0.0
Applebee's Winter Dew,,0.0,2018,0.0,,
7 Eleven Double Bacon Cheddar Melt,,,2018,,,
"Auntie Anne's Fuze, Unsweetened Tea, 21 fl oz",1.0,0.0,2018,0.0,0.0,0.0
Applebee's Green Goddess Dressing,,1.0,2018,20.0,,
Applebee's 6 oz USDA Choice Top Sirloin,,34.0,2018,90.0,,
Applebee's Perfect Patron Margarita,,0.0,2018,0.0,,
Applebee's Corn Dog,,7.0,2018,35.0,,
"Auntie Anne's Breakfast Pretzel Sandwich, Sausage, Egg & Cheese",242.0,20.0,2018,110.0,3.0,0.0
Auntie Anne's Original Stix,261.0,8.0,2018,0.0,8.0,0.0
"Baskin Robbins Lemon Sorbet, 4 oz Scoop",88.0,0.0,2018,0.0,16.0,0.0
Applebee's Green Goddess Wedge Salad,,9.0,2018,60.0,,
"Baskin Robbins Mint Chocolate Chip Milkshake, Large",152.0,29.0,2018,245.0,15.0,0.0
"Baskin Robbins Chocolate Chip Milkshake, Large",152.0,22.0,2018,185.0,11.0,0.0
"Auntie Anne's Icee, Wild Cherry, 16 fl oz",31.0,0.0,2018,0.0,9.0,0.0
Applebee's Fried Shrimp,,9.0,2018,60.0,,
"Baskin Robbins Miami Vice Sorbet, 2.5 oz Scoop",85.0,0.0,2018,0.0,17.0,0.0
Applebee's Hot Fudge Sundae Dessert Shooter,,6.0,2018,65.0,,
"Auntie Anne's Frozen Lemonade Mixer, Mango, 20 fl oz",55.0,0.0,2018,0.0,13.0,0.0
Baskin Robbins Fancy Waffle Cone w/ Sprinkles,365.0,3.0,2018,10.0,31.0,0.0
Applebee's Caprese Mozzarella Burger,,50.0,2018,195.0,,
"Arby's Mint Chocolate Shake w/ Andes Candy Pieces, Large",116.0,24.0,2018,95.0,17.0,0.0
"Baskin Robbins Green Tea Ice Cream, 4 oz Scoop",204.0,5.0,2018,55.0,14.0,0.0
Applebee's Oriental Dressing,,0.0,2018,0.0,,
7 Eleven Chicken Caesar Pasta Salad,,,2018,,,
"Applebee's Fruit Punch Hi C, 16 oz",22.0,0.0,2018,0.0,6.0,0.0
"Applebee's Classic Buffalo Sauce, for Boneless Wings, Double Crunch Bone In Wings",,1.0,2018,0.0,,
"Applebee's Barqs Root Beer, 16 oz",24.0,0.0,2018,0.0,7.0,0.0
"7 Eleven Grill Items, 3 for $3, Mix n Match",,,2018,,,
"Baskin Robbins Oreo Cookies n Cream Milkshake, Large",159.0,29.0,2018,230.0,16.0,0.0
"Auntie Anne's Lemonade Mixer, Blue Raspberry, 32 fl oz",50.0,0.0,2018,0.0,12.0,0.0
Applebee's Chocolate Shake,,25.0,2018,165.0,,
"Baskin Robbins Nilla Chai Ice Cream, 2.5 oz Scoop",239.0,3.0,2018,25.0,21.0,0.0
Applebee's Chips & Salsa,,10.0,2018,0.0,,
Applebee's Swiss Cheese,,11.0,2018,40.0,,
"Applebee's Sweet Asian Chile Sauce, for Combo Sauces & Build Your Sampler",,1.0,2018,0.0,,
Arby's Pizza Slider,316.0,13.0,2018,35.0,2.0,0.0
"Applebee's Sangrias, Blackberry Sangria",,0.0,2018,0.0,,
"Auntie Anne's Cherry Coke, 32 oz",31.0,0.0,2018,0.0,8.0,0.0
Auntie Anne's Sweet Almond Pretzel w/ Butter,298.0,8.0,2018,10.0,13.0,0.0
"Auntie Anne's Frozen Lemonade Mixer, Blue Raspberry, 12 fl oz",71.0,0.0,2018,0.0,16.0,0.0
"Auntie Anne's Raspberry Sweet Iced Tea, 16 fl oz",26.0,0.0,2018,0.0,7.0,0.0
Arby's Three Cheese Steak Sandwich,255.0,42.0,2018,115.0,3.0,0.0
Baskin Robbins Mint Chocolate Chip Ice Cream Quart,233.0,3.0,2018,35.0,23.0,0.0
Auntie Anne's Original Pretzel w/ Salt,261.0,8.0,2018,0.0,8.0,0.0
"Arby's Ham, Egg & Cheese Sourdough",94.0,26.0,2018,165.0,1.0,0.0
"Baskin Robbins Gold Medal Ribbon Ice Cream, 2.5 oz Scoop",211.0,3.0,2018,30.0,18.0,0.0
7 Eleven Bananas,,,2018,,,
Applebee's Monterey Jack Cheese,,5.0,2018,20.0,,
"Baskin Robbins Made w/ M&Ms Soft Serve Parfait, Mini",197.0,9.0,2018,35.0,24.0,0.0
Arby's Buttermilk Buffalo Chicken Sandwich,,,2018,,,
"Applebee's Build Your Sampler, Choose 2",,,2018,,,
"Baskin Robbins Cotton Candy Ice Cream, 4 oz Scoop",204.0,4.0,2018,45.0,22.0,0.0
"Auntie Anne's Frozen Lemonade Mixer, Strawberry, 20 fl oz",56.0,0.0,2018,0.0,13.0,0.0
"Applebee's Coke Zero, 30 oz",0.0,0.0,2018,0.0,0.0,0.0
"Auntie Anne's Peach Sweet Iced Tea, 32 fl oz",29.0,0.0,2018,0.0,7.0,0.0
"Arby's Curly Fries, Kids",325.0,3.0,2018,0.0,0.0,0.0
"Baskin Robbins Cherries Jubilee Ice Cream, 4 oz Scoop",195.0,4.0,2018,45.0,17.0,0.0
"Auntie Anne's Root Beer, 21 oz",35.0,0.0,2018,0.0,10.0,0.0
"Applebee's Diet Sierra Mist, 30 oz",0.0,0.0,2018,0.0,0.0,0.0
"Baskin Robbins Chocolate Almond Ice Cream, 4 oz Scoop",248.0,7.0,2018,45.0,16.0,0.0
Auntie Anne's Roasted Garlic & Parmesan Pretzel w/ Butter & Salt,292.0,9.0,2018,15.0,8.0,0.0
7 Eleven 5 For $4 Grill Mix N Match,,,2018,,,
"Baskin Robbins Oreo Cookies n Cream Milkshake, Medium",159.0,21.0,2018,170.0,16.0,0.0
Arby's Ham & Swiss Croissant,286.0,16.0,2018,70.0,3.0,0.0
7 Eleven Oatmeal Raisin Cookie,,,2018,,,
Arby's Nestle Pure Life Bottled Water,0.0,0.0,2018,0.0,0.0,0.0
Auntie Anne's Original Pretzel Dog,278.0,11.0,2018,35.0,4.0,0.0
Arby's Ketchup,111.0,0.0,2018,0.0,22.0,0.0
"Auntie Anne's Pretzel Waffle, Cinnamon Sugar",333.0,3.0,2018,40.0,27.0,0.0
"Applebee's Steak Quesadilla, for Build Your Sampler",,28.0,2018,75.0,,
"Auntie Anne's Fuze, Raspberry Tea, 21 fl oz",20.0,0.0,2018,0.0,5.0,0.0
"Auntie Anne's Coca Cola, 21 oz",30.0,0.0,2018,0.0,9.0,0.0
