plate_id,issue_date,summons_number-registration_state
H99CZE,2022-06-05T00:00:00.000,1462160037-NJ
MIGUEL,2022-07-09T00:00:00.000,1449157294-NY
KHH6700,2022-06-26T00:00:00.000,1427354868-NY
KVT2775,2022-07-09T00:00:00.000,1481170120-NY
HCR4935,2022-06-15T00:00:00.000,1484769454-NY
KGB8129,2022-07-09T00:00:00.000,1481990664-NY
HZN5198,2022-06-24T00:00:00.000,1479839360-NY
GGJ3782,2022-06-20T00:00:00.000,1484768930-NY
KEP9921,2022-06-30T00:00:00.000,1482051837-NY
JSE8366,2022-06-27T00:00:00.000,1482051205-NY
KEK4221,2022-06-26T00:00:00.000,1484765102-NY
KVX9915,2022-07-07T00:00:00.000,1480966990-NY
KTN2816,2022-06-23T00:00:00.000,1480958979-NY
KMB3853,2022-07-05T00:00:00.000,1456157668-NY
KVG5372,2022-06-27T00:00:00.000,1484773056-NY
KVC8483,2022-06-10T00:00:00.000,1480632181-NY
KYC1016,2022-06-23T00:00:00.000,1481855608-NY
KNZ2527,2022-06-21T00:00:00.000,1456730988-99
HRG4576,2022-06-28T00:00:00.000,1482029420-NY
GJC8828,2022-06-28T00:00:00.000,1481987343-NY
KLT4884,2022-06-19T00:00:00.000,1478530753-NY
LYKEDAT,2022-07-03T00:00:00.000,1481942426-NY
HAS3689,2022-07-03T00:00:00.000,1457217053-NY
HYQ8891,2022-06-12T00:00:00.000,1457407255-99
KTD9171,2022-06-10T00:00:00.000,1462136102-NY
KEP8040,2022-07-04T00:00:00.000,1448879255-NY
HVJ3124,2022-07-04T00:00:00.000,1462126030-NY
KDD5624,2022-06-11T00:00:00.000,1480634888-NY
K1NGFRNS,2022-06-15T00:00:00.000,1457166951-NY
GTE1548,2022-07-04T00:00:00.000,1482078259-NY
GXS9259,2022-05-31T00:00:00.000,1452056717-NY
KPS1334,2022-06-22T00:00:00.000,1456023391-NY
LNF2986,2022-07-07T00:00:00.000,1481170077-PA
KTJ4917,2022-06-24T00:00:00.000,1481856522-NY
HZL6544,2022-06-30T00:00:00.000,1457168250-NY
KEX2744,2022-06-30T00:00:00.000,1484741780-NY
KSJ1604,2022-06-22T00:00:00.000,1478531198-NY
KHT5434,2022-06-26T00:00:00.000,1481853715-NY
JJR9260,2022-06-19T00:00:00.000,1449703768-NC
KEV9690,2022-07-03T00:00:00.000,1481828370-NY
G10NPU,2022-07-03T00:00:00.000,1484741857-NJ
JDG2992,2022-07-07T00:00:00.000,1478510122-NY
KTT3348,2022-06-30T00:00:00.000,1481842973-NY
